About|Про
With Icecast you can run your own internet radio stream from an onion address. As always, be careful about copyright issues and preferably stick to Creative Commons music or music files that you own.|За допомогою Icecast ви можете запускати власний потік інтернет-радіо з адреси цибулі. Як завжди, будьте обережні з приводу питань авторського права і, бажано, дотримуйтесь власної музики чи музичних файлів Creative Commons.
Within the network list click, Add and enter your domain name then click Edit.|У списку мереж натисніть, Додати та введіть своє доменне ім'я, після чого натисніть Редагувати.
Within the Password field enter the password which you originally set up the box with.|У полі Пароль введіть пароль, який ви спочатку встановили.
Within the software center search for "mumble" and install the client then run it. Skip through the audio setup wizard. Cancel the initial connection window.|У центрі програмного забезпечення шукайте "виклику" та встановіть клієнт, а потім запустіть його. Пропустити майстер настроювання аудіо. Скасувати початкове вікно з'єднання.
Write it down or save it|Запишіть його або збережіть його
XMPP|XMPP
xmpp based chat system|Система чату на основі xmpp
Yes|Так
You can edit the translated text on the right side of the screen.|Ви можете редагувати перекладений текст у правій частині екрана.
You can get to this system remotely via:|Ви можете відвідати цю систему за допомогою:
You can now go back to the initial Conversations app screen and start using it. You'll probably want to add contacts using the icon at the bottom right. For more information see the Conversations website (conversations.im) or subscribe to the chat group conversations@conference.siacs.eu|Тепер ви можете повернутися до початкового екрана "Розмови" та почати його використовувати. Ви, мабуть, захочете додати контакти, використовуючи значок у нижньому правому куті. Щоб отримати додаткові відомості, відвідайте веб-сторінку Розмови (conversations.im) або підпишіться на чатну групу conversations@conference.siacs.eu.
You can now log in with:|Тепер ви можете увійти в систему за допомогою:
You can see upgrade progress|Ви можете побачити оновлення прогресу
You can use left and right cursor keys to move through pages|Ви можете використовувати клавіші лівої та правої курсору для переміщення сторінок
You may also want to make another entry with the same settings but replacing tcp with udp.|Можливо, ви також захочете зробити інший запис з тими ж параметрами, але замінити tcp за допомогою udp.
You may now remove the USB drive|Тепер ви можете видалити USB-накопичувач
You might have mistyped one of them|Можливо, ви помилилися з одним із них
You will see the translations file with some instructions at the top.|Ви побачите переклад файлу з деякими інструкціями у верхній частині сторінки.
Your password must be at least 8 characters in length and only use the characters a-z A-Z and 0-9|Ваш пароль повинен містити принаймні 8 символів і використовувати лише символи a-z A-Z та 0-9
Zero knowledge pastebin|Нульове знання пастбіна
Theme|Тема
Light|Світло
Dark|Темно
Mail|Пошта
Clear|Ясно
Send email through a proxy|Надіслати електронний лист через проксі
If you find that you can't send out email and that you get 'failed delivery' messages returned instead then you may be able to proxy sent emails through another server. Sometimes ISPs or companies provide an SMTP server which can do this.|Hvis du finner ut on du ikke kan sente ut e-post og du får mislykkede leveringsmeldinger, щоб відправити проксі електронною поштою через сервер. Іноді інтернет-провайдери, які використовують SMTP-сервери, помирають від каналу.
Failed to install. For details see admin/applog.txt|Не вдалося встановити. Докладніше див. Admin / applog.txt
Installed successfully|Встановлено успішно
pihole|піхол
Unlike browser based ad blockers, pihole works at the domain name resolution level to block domains known to privide the ads appearing in web pages.|На відміну від блокувальників реклами на основі веб-переглядача, піхол працює на рівні дозволу доменних імен, щоб заблокувати домени, відомі для привітання оголошень, що з'являються на веб-сторінках.
Set your DNS IP address to the one shown and many ads will get blocked even before they're delivered to your laptop or mobile device. This can save a lot of bandwidth and generally speed up the loading of websites.| Встановіть свою IP-адресу DNS на вказану нижче, і багато оголошень будуть заблоковані ще до того, як вони будуть доставлені на ваш ноутбук або мобільний пристрій. Це може заощадити багато пропускної здатності та, як правило, прискорити завантаження веб-сайтів.
Change DNS on your internet router| Зміна DNS на вашому інтернет-маршрутизаторі
If your internet router allows you to change the DNS IP address then this is the best way to use pihole because it will then provide coverage for all of the devices and computers in your home.|Якщо ваш інтернет-маршрутизатор дозволяє вам змінити IP-адресу DNS, це найкращий спосіб використовувати пристрій, оскільки він забезпечить охоплення всіх пристроїв та комп'ютерів у вашому домі.
Change DNS on individual devices|Зміна DNS на окремих пристроях
If you can't change your internet router's DNS then you can do that on individual GNU/Linux systems as follows:| Якщо ви не можете змінити DNS вашого інтернет-маршрутизатора, ви можете зробити це в окремих системах GNU/Linux:
Remove or comment out any existing nameservers and add one with the IP address shown for the pihole app. Something like:|Вилучіть або коментуйте будь-які існуючі сервери і додайте їх з IP-адресою, вказаною для програми pihole. Щось на кшталт:
Then save and exit and prevent the file from being automatically changed with:| Потім збережіть і виходьте, щоб файл автоматично не змінювався:
If you're running the standard version of LibreServer (not the onion version) then you may need to modify your hosts file to access your own domain.|Якщо ви використовуєте стандартну версію LibreServer (а не версію цибулі), вам може знадобитися змінити файл вашого хоста, щоб отримати доступ до вашого власного домену.
Then add something like:|Потім додайте щось на зразок:
This only works when you're within your home network, so if you're outside of your home then undo the changes made above.|Це працює лише тоді, коли ви перебуваєте у вашій домашній мережі, тому, якщо ви знаходитесь за межами вашого будинку, скасуйте внесені вище зміни.
The Pi-hole is a DNS sinkhole that protects your devices from unwanted content, without installing any client-side software.|Pi-отверстие - отвір DNS, який захищає ваші пристрої від небажаного вмісту без встановлення будь-якого програмного забезпечення на стороні клієнта.
Search|Пошук
removed|Вилучено
To get email working you will need to forward some ports. Email using your onion address will work anyway, so long as you are contacting other onion based email addresses.|Щоб отримати роботу електронною поштою, вам доведеться переслати деякі порти. Електронна пошта за допомогою адреси цибулі буде працювати в будь-якому випадку, якщо ви зв'язуєтеся з іншими електронними адресами на основі лука.
Forward ports 25, 587 and 465 from your internet router|Переадресовувати порти 25, 587 і 465 з вашого інтернет-маршрутизатора
To access cryptpad you'll need to use a Tor browser. Navigate to the URL and enable javascript for the site under the NoScript icon. The screen will be blank for a few seconds while it's downloading the application into your browser.|Щоб отримати доступ до криптовалюта, потрібно скористатись браузером Tor. Перейдіть до URL-адреси та увімкніть javascript для сайту під значком NoScript. Екран стане пустим протягом декількох секунд під час завантаження програми у ваш браузер.
Cryptpad is an almost peer-to-peer application. No data is stored on the server, which only does minimal orchestration between the clients. If an adversary subsequently obtains the server they still learn nothing.|Криптад - це практично одноранговий додаток, на якому не зберігається жодних даних, що тільки мінімізує оркестровку між клієнтами. Якщо супротивник згодом отримує сервер, він нічого не навчається.
Authentication Token|Токен аутентифікації
This is only needed if you're using FreeDNS. Otherwise you can leave it blank.|Це потрібно лише, якщо ви використовуєте FreeDNS, інакше ви можете залишити його порожнім.
On the site where you obtained your domain name set up some custom nameservers as follows:|На сайті, де ви отримали своє доменне ім'я, налаштували деякі власні сервери імен наступним чином:
On the FreeDNS site go to the "Dynamic DNS" section and make sure that "link updates of the same IP together" is set to ON.|На сайті FreeDNS перейдіть до розділу "Динамічний DNS" і переконайтеся, що "оновлення посилань одного і того ж IP разом" встановлено в положення ON.
For your main domain name select "quick cron example" and then your authentication token is the random string on the last line between the ? and = characters.|Для вашого основного доменного імені виберіть "quick cron example", а потім ваш токен аутентифікації - це випадковий рядок на останньому рядку між символами? І?.
Your current IP address is shown at the top of the Dynamic DNS screen of the LibreServer user interface. You can use the "Mass Mod" feature at the top of the "Subdomains" part of the FreeDNS site to set all of your subdomains to that IP address.|Ви можете використовувати функцію "Mass Mod" у верхній частині "Subdomains" частини сайту FreeDNS, щоб встановити всі ваші субдомени до цього IP-адреса.
Select the MX entry for your main domain and change the destination to 10:mydomainname rather than 10:mail.mydomainname.|Виберіть запис MX для вашого основного домену та змініть ціль на 10:mydomainname, а не 10:mail.mydomainname.
Enter your FreeDNS login details and the authentication token on the Dynamic DNS screen of the LibreServer user interface.|Введіть дані про вхід FreeDNS та токен аутентифікації на екрані Dynamic DNS користувальницького інтерфейсу LibreServer.
To make a playlist insert a USB drive containing audio files in a directory called playlist, add a description below and then select Update|Щоб створити список відтворення, вставте USB-накопичувач, що містить аудіофайли, у каталозі під назвою списку відтворення, додайте опис нижче, а потім виберіть Оновити
To add music copy it to a directory called Music on a USB drive then plug it into your server and select Update|Щоб додати музику, скопіюйте його до каталогу під назвою Музика на USB-накопичувачі, потім підключіть його до свого сервера та виберіть Оновити
This is a wiki which stores its content in text files. Having no database makes maintaining it simpler, and it's not tied to any particular domain name so you can easily copy the files to a different domain if you need to.|Це вікі, який зберігає його вміст у текстових файлах. Немає бази даних, що робить його простішим, і не пов'язаний з певним доменним ім'ям, тому ви можете легко скопіювати файли в інший домен, якщо вам потрібно.
Provides an easy and private way to sync calendar and contacts between devices.|Надає простий і приватний спосіб синхронізації календаря та контактів між пристроями.
Using on mobile|Використання на мобільному телефоні
The user interface is a little misleading. Make sure that you log in with your username, not your email addres.|Інтерфейс користувача трохи вводить в оману. Переконайтеся, що ви ввійшли, використовуючи своє ім'я користувача, а не адреси електронної пошти.
Also choose the advanced option and enter the subdomain that you installed etesync on.|Також оберіть розширену опцію та введіть субдомен, на якому ви встановили etesync.
This is a well known system for real time collaborative editing of documents. Just log in, choose a document title and then edit. Different users will appear in different colours, and can also chat in the sidebar. This is installed as a private system in which only users on your LibreServer server will be able to create and edit documents, so it's not open to any random users on the internet.|Це відома система для спільного редагування документів у режимі реального часу. Просто увійдіть, виберіть назву документа, а потім змініть. Різні користувачі з'являться в різних кольорах, а також можуть спілкуватися на бічній панелі. Вона встановлюється як приватна система, в якій лише користувачі вашого сервера LibreServer зможуть створювати та редагувати документи, тому вони не відкриті для випадкових користувачів в Інтернеті.
This is a federated social networking system. It can federate with other popular fediverse systems.|Це федеративна соціальна мережа. Це може об'єднатись з іншими популярними федеральними системами.
This is a blogging system which has no database and only uses text files for storage.|Це система блогів, яка не має бази даних і використовує лише текстові файли для зберігання.
This is a git hosting system. It's very similar to Github in appearance and use, is lightweight and so is well suited for use on low power ARM servers.|Це Git-хостингова система. Це дуже схожий на Github за зовнішнім виглядом і використанням, легкий і тому добре підходить для використання на маломощних серверах ARM.
This is a web publishing and social network system which includes wiki, web pages, photo albums and file storage. It also has nomadic identity allowing you to easily move your account between different servers and privacy controls which allow you to define who can see what content.|Це веб-публікація та система соціальних мереж, яка включає вікі, веб-сторінки, фотоальбоми та файлове сховище. Вона також має кочовий ідентифікатор, що дозволяє легко переносити ваш обліковий запис між різними серверами та контроль конфіденційності, які дозволяють визначити, хто може бачити який вміст.
Kanbans are one way of managing projects. They're traditionally used in businesses but can also be useful for personal TODO lists or within open source or DIY projects. If you have a list of things which need to be done and want to keep track of progress then this provides a way to do that.|Канбани є одним із способів управління проектами. Вони традиційно використовуються у бізнесі, але також можуть бути корисними для особистих списків TODO або в рамках проектів з відкритим кодом або DIY. Якщо у вас є список речей, які потрібно зробити, і хочете стежити за прогресом, то це дає змогу зробити це.
The default login is username "admin" and the login password which you usually use for the web interface.|Логін за умовчанням - це ім'я користувача "admin" та пароль для входу, який ви зазвичай використовуєте для веб-інтерфейсу.
If you're using a Tor browser then you may need to allow javascript for the site by selecting the NoScript icon.|Якщо ви користуєтесь браузером Tor, вам може знадобитися дозволити javascript для сайту, вибравши значок NoScript.
Extra users can be added from the drop down menu at the top right of the screen, under "Users management".|Додаткові користувачі можуть бути додані з випадаючого меню у верхньому правому куті екрана в розділі "Керування користувачами".
This enables you to store your music on the LibreServer server and then access it from any internet connected device.|Це дозволяє зберігати музику на сервері LibreServer, а потім отримувати доступ до нього з будь-якого підключеного до Інтернету пристрою.
This is a simple and lightweight photo album for the web. Whether you're an amateur or professional photographer, or want to publish random holiday pics or cat pictures. Lychee just does what it says it does without any fuss.|Це простий і легкий фотоальбом для Інтернету. Незалежно від того, чи є ви любителем чи професійним фотографом, або хочете опублікувати фотографії з фотографіями чи святкових фотографій. Лічі просто робить те, що він говорить, це без суєти.
This provides an webmail interface suitable for use on desktop or mobile clients and with built in support for encryption.|Це забезпечує інтерфейс веб-пошти, придатний для використання на настільних або мобільних клієнтах та вбудованій підтримці шифрування.
This is a system for file synchronisation and also has many other plugins for calendar, videoconferencing, collaborative document editing and federated file sharing.|Це система для синхронізації файлів, а також має багато інших плагінів для календаря, відеоконференцій, спільного редагування документів та об'єднаного файлу.
This is a video hosting system which uses webtorrent to help distribute the files to or between clients.|Це система відеоспостереження, яка використовує webtorrent для розповсюдження файлів між клієнтами або між ними.
Use the username 'root' and your usual password to log in as the administrator. You can then change settings as needed.|Використовуйте ім'я користувача root та звичайний пароль для входу в систему як адміністратора. Після цього ви можете змінити налаштування.
This is an OStatus and ActivityPub compatible social networking server which federates with other fediverse systems. It is high-performance and so is especially well suited for running on low power single board computers without much RAM.|Це сервери соціальних мереж, сумісні з OStatus і ActivityPub, які об'єднані з іншими федеральними системами. Це висока продуктивність і тому особливо добре підходить для роботи на малопотужних одноплатних комп'ютерах без великої кількості оперативної пам'яті.
Since Pleroma supports the same protocols, any Mastodon client for Android should work with it.|Оскільки Pleroma підтримує однакові протоколи, будь-який клієнт Mastodon для Android повинен працювати з ним.
This is a fork of GNU Social which includes some extra fixes and optimisations to improve performance. It federates with other fediverse servers, such as Pleroma or Mastodon.|Це гілка GNU Social, яка включає деякі додаткові виправлення та оптимізацію для підвищення продуктивності. Він об'єднується з іншими федеральними серверами, такими як Pleroma або Mastodon.
This is an encrypted pastebin, such that the server has zero knowledge of the content. It's intended for small amounts of text less than 32K in length. It's not intended for transfering large files, or for storing pastes for more than a day.|Це зашифрований патвін, такий, що сервер має нульову інформацію про вміст. Він призначений для невеликої кількості тексту довжиною менше 32K. Він не призначений для передачі великих файлів або для зберігання паст впродовж дня.
This is a web based user interface to the Matrix federated chat system. You will need to have already installed the Matrix app for this to work.|Це веб-інтерфейс користувача для системи Matrix, об'єднаної в чат. Вам потрібно буде вже встановити додаток Matrix, щоб це працювати.
This is yet another chat system, but the server part of it isn't federated and so it's suitable for small private groups rather than for general public discussions.|Це ще одна чатова система, але серверна частина не є об'єднаною, і вона підходить для невеликих приватних груп, а не для загальних громадських обговорень.
Provides a similar capability to proprietary systems such as Dropbox, and also is well suited for use with low power single board computers. You can have one or more directories which are synchronized across your various laptops/desktops/devices, and this makes it hard for you to ever lose important files. Of course, you don't necessarily need to be running a server in order to use Syncthing, but if you do have a server which is always running then there's always at least one place to synchronize your files to or from.|Забезпечує аналогічну можливість для власних систем, таких як Dropbox, а також добре підходить для роботи з малопотужними одноплатними комп'ютерами. Ви можете мати один або декілька каталогів, які синхронізуються на різних ноутбуках або настільних комп'ютерах / пристроях, і це ускладнює втрату важливих файлів. Звичайно, вам не обов'язково потрібно запускати сервер, щоб використовувати Syncthing, але якщо у вас є сервер, який завжди працює, то завжди є хоча б одне місце для синхронізації ваших файлів з або з.
On a Debian based system:|На основі Debian-системи:
Or on Android search for the Syncthing app.|Або на пристрої Android знайдіть додаток для синхронізації.
Using the settings button within the LibreServer web interface for the Syncthing app you can then paste in any IDs for other devices. They will then sync with your server.|Використовуючи кнопку налаштувань у веб-інтерфейсі LibreServer для програми Syncthing, ви можете вставити в будь-які ідентифікатори для інших пристроїв. Потім вони будуть синхронізуватися з вашим сервером.
A system for privately creating and sharing notes and images, similar to Evernote. It can be set up so that a small number of users on the server can share their notes in a convenient way. It doesn't have any web user interface, and you need to install native clients on mobile or laptop/desktop machines.|Система для приватного створення та спільного використання нотаток і зображень, подібних до Evernote. Він може бути налаштований так, що невелика кількість користувачів на сервері може обмінюватися нотатками зручним способом. У ньому немає будь-якого веб-інтерфейсу, і вам потрібно інсталювати своїх клієнтів на мобільні або ноутбукові / настільні комп'ютери.
Since the data at rest is stored in PGP encrypted format this is a good system to use in cases where security really is a critical factor.|Оскільки дані, що перебувають у стані зберігаються у форматі PGP, зашифровані, це хороша система для використання в тих випадках, коли безпека справді є критичним чинником.
Go to https://turtlapp.com/download and you'll then be able to download the appropriate app for your laptop or phone.|Перейдіть на сторінку https://turtlapp.com/download, після чого ви зможете завантажити відповідне додаток для свого ноутбука або телефону.
Run the downloaded native app then at the bottom of the screen select "advanced settings" and enter your turl domain name, then register a new account. The password can be anything you choose, but since the client side encryption depends upon having a good password make it a long random string generated by a password manager such as KeepassX.|Запустіть завантажений нативний додаток, потім у нижній частині екрана виберіть "Додаткові налаштування" та введіть своє ім'я домену turl, а потім зареєструйте новий обліковий запис. Пароль може бути будь-яким, що ви виберете, але оскільки шифрування на стороні клієнта залежить від наявності в нього надійного пароля, це довге довільне число, створене менеджером паролів, таким як KeepassX.
You should then be able to log in and start using the app. You might also want to invite any other users of your LibreServer system to also sign up using the turtl domain name which you specified during installation.|Потім ви повинні мати можливість увійти в систему і почати користуватися додатком. Ви також можете запросити інших користувачів вашої системи LibreServer також зареєструватися, використовуючи ім'я домену turtl, яке ви вказали під час встановлення.
Disabling new registrations|Вимкнення нових реєстрацій
Once you have set up the server with however many users are needed you can then disable any new registrations by selecting Turtl on the LibreServer web interface and going to the settings screen.|Після того, як ви налаштуєте сервер, але потрібні багато користувачів, ви можете відключити будь-які нові реєстрації, вибравши Turtl у веб-інтерфейсі LibreServer і перейшовши на екран налаштувань.
This is similar to Hubzilla but with a reduced range of features concentrating exclusively upon social networking with the latest version of the Zot protocol. Nomadic identity is supported, so to can export your channels and import them on other servers if necessary, without losing followers.|Це схоже на Hubzilla, але з обмеженим спектром функцій, зосереджених виключно на соціальних мережах, з останньою версією протоколу Zot. Підтримка командної ідентичності підтримується, тому ви можете експортувати свої канали та імпортувати їх на інші сервери, якщо це необхідно, не втрачаючи прихильників.
The first account you register will be the administrator user, and from there you can go to the admin settings and disable new registrations if needed.|Перший обліковий запис, який ви реєструєте, буде користувачем адміністратора, а звідти ви можете перейти до налаштувань адміністратора та відключити нові реєстрації, якщо потрібно.
To find other users to follow select "directory" from the drop down menu at the top right of the screen and set "this site only" to "no".|Щоб знайти інших користувачів, виберіть "каталог" зі спадного меню у верхньому правому куті екрана та встановіть "лише цей сайт" на "ні".
There is an Android app available called Nomad.|Існує додаток для Android, доступний під назвою Nomad.
End-to-end encrypted sync of calendar and contacts between devices|Кінцевий цикл синхронізації календаря та контактів між пристроями
Secure, end-to-end encrypted and journaled personal information cloud synchronization for Android and the desktop, supporting contacts and calendars|Безпечна синхронізація хмарної особистої інформації для Android та настільного ПК, що підтримує контакти та календарі
Nomadic social network server|Нотативний соціальний сервер мережі
Change background|Змінити фон
Diagnostics|Діагностика
Please wait while your app is installing|Будь ласка, зачекайте до встановлення вашого додатка
The app could not be installed|Додаток не може бути встановлений
Add a new member|Додати нового учасника
Kanban focussed on simplicity and minimalism|Канбан зосередився на простоті та мінімалізмі
Emails, chat or social network posts will be blocked if they contain the following words or phrases|Повідомлення електронної пошти, чату або соціальної мережі будуть заблоковані, якщо вони містять такі слова або фрази
Muted words|Заглушені слова
Disk space is getting too low. Installation stopped.|Дисковий простір стає надто низьким. Установка зупинена.
Password changed|Пароль змінено
Play media from any UPNP/DLNA device on your local network|Відтворюйте носій з будь-якого пристрою UPNP / DLNA у вашій локальній мережі
This allows you to play media on any DLNA supporting device within your local network.|Це дозволяє відтворювати носії на будь-якому пристрої, що підтримує DLNA, у вашій локальній мережі.
No Access Control|Немає контролю доступу
DLNA doesn't have any access controls, so keep in mind that anyone with a mobile device or laptop within your local network is potentially able to play any media on the server. Hence this may not be suitable for situations where you want parental control over what media can be accessed.|У DLNA немає елементів керування доступом, тому пам'ятайте, що будь-хто з мобільних пристроїв або ноутбуків у вашій локальній мережі може відтворювати будь-які носії на цьому сервері. Тому це може бути непридатним для ситуацій, коли ви хочете батьківського контролю над тим, до яких засобів масової інформації можна звернутися.
Adding Media|Додавання медіа
You can add media by selecting the settings button from the DLNA app.|Ви можете додати медіа, вибравши кнопку налаштувань у додатку DLNA.
Your homepage can also be accessed with a Tor browser on:|Вашу домашню сторінку також можна отримати за допомогою браузера Tor на:
Chat|Чат
Media|Медіа
Social|Соціальні
Sync|Синхронізація
Publishing|Видавництво
Other|Інші
Recommended Firefox Add-ons:|Рекомендовані додатки Firefox:
Change your default domain name|Змініть назву домену за умовчанням
Do you want to change your default domain name to:|Змінити доменне ім'я за умовчанням на:
rsync failed|Помилка rsync
For most purposes Syncthing is an easier file synchronization system, but rsync is still a reliable solution if you prefer to do things the more traditional way or if you just want to create a mirror from an existing rsync server.|Для більшості цілей Syncthing - це простіша система синхронізації файлів, але rsync все ще є надійним рішенням, якщо ви віддаєте перевагу робити більш традиційний спосіб або якщо ви просто хочете створити дзеркало з існуючого сервера rsync.
Rsync is unencrypted but can be used via an onion address for transport security. If you are using it via your domain name then third parties will be able to see the content, but this may not matter if you are synchronizing already public files, such as GNU/Linux distro downloads.|Rsync є незашифрованим, але може використовуватися через адресу цибулі для забезпечення безпеки транспорту. Якщо ви використовуєте його за допомогою вашого доменного імені, треті сторони зможуть побачити вміст, але це не має значення, якщо ви синхронізуєте вже публічні файли, такі як дистрибутив GNU / Linux.
Avoid using this for private data, unless you are exclusively using rsync via the onion address.|Не використовуйте це для особистих даних, якщо ви не використовуєте виключно rsync через адресу лука.
Creating a Mirror|Створення дзеркала
Select the Settings button then enter the domain and module name for the mirror. From then on synchronization will happen once per day.|Натисніть кнопку Налаштування, потім введіть ім'я домену та модуля для дзеркала. З цього моменту синхронізація відбуватиметься раз на день.
Local Sync|Локальна синхронізація
If you created a mirror to your server you can then sync those files to other machines or devices on your local network as follows:|Якщо ви створили дзеркало на своєму сервері, ви можете синхронізувати ці файли з іншими машинами або пристроями у вашій локальній мережі наступним чином:
If "libreserver" doesn't work then you can substitute the local IP address of your server.|Якщо "libreserver" не працює, ви можете замінити локальну IP-адресу вашого сервера.
Create a mirror of public files|Створіть дзеркало загальнодоступних файлів
The domain name could not be changed|Не вдалося змінити доменне ім'я
This might be because you do not have ports 80 and 443 forwarded to the server.|Це може бути через те, що ви не маєте портів 80 і 443, які перенаправляються на сервер.
Check the port forwarding settings on your internet router.|Перевірте параметри переадресації портів у вашому інтернет-маршрутизаторі.
Please specify a domain name which will be used for your email or XMPP address.|Укажіть доменне ім'я, яке буде використовуватися для адреси електронної пошти або XMPP.
Please forward the following ports from your internet router:|Надішліть наступні порти з вашого маршрутизатора:
Search for 'Barcode Scanner', then select 'install'|Шукайте "Сканер штрих-коду", потім виберіть "встановити"
Download the DarkMessenger apk file via the link below, preferably using a Tor based browser, then install it|Завантажте apk файл DarkMessenger за посиланням нижче, бажано за допомогою браузера Tor, а потім встановіть його
Run DarkMessenger and the initial account setup will be shown. DarkMessenger only allows onion addresses to be used to create accounts|Запустіть DarkMessenger і буде показано початкову настройку облікового запису. DarkMessenger дозволяє використовувати лише адреси луків для створення облікових записів
You can obtain your onion XMPP address from the Members section within the web interface, usually at http://libreserver/admin or http://libreserver.local/admin. If you can't easily copy and paste it into the account setup within DarkMessenger then you can use the barcode scanner on the QRcode displayed|Ви можете отримати свій XMPP-адресу з розділу "Члени" у веб-інтерфейсі, як правило, на http: // libreserver / admin або http: //libreserver.local/admin. Якщо ви не можете легко скопіювати та вставити його в налаштування облікового запису в DarkMessenger, ви можете скористатися сканером штрих-кодів на відображеному QRcode.
Enter the password which you stored during initial setup of the system and also the onion domain|Введіть пароль, який ви зберегли під час початкової установки системи, а також домен лука
You should now be able to connect to your onion XMPP account and set an avatar image if necessary|Тепер ви маєте можливість підключитися до свого облікового запису XMPP і встановити аватар, якщо це необхідно
When sending or receiving pictures or other attachments for the first time you will need to accept the self-signed certificates. Select 'always' twice. This should only happen once per contact|При першому надсиланні або отриманні зображень або інших вкладень потрібно приймати самостійно підписані сертифікати. Виберіть "завжди" двічі. Це має відбуватися лише один раз за контакт
Under Settings/Expert you may want to change the automatic message deletion period. By default this is one day|У розділі Параметри / Експерт можна змінити період автоматичного видалення повідомлень. За замовчуванням це один день
When setting up a group chat first ensure that you have separately confirmed two way messaging with each of the participants individually|При створенні групового чату спочатку переконайтеся, що ви окремо підтвердили двосторонній обмін повідомленнями з кожним з учасників окремо
Enable strict TLS authentication between XMPP servers?|Увімкнути сувору аутентифікацію TLS між серверами XMPP?
If you or other people are having difficulty joining multi-user chat then enabling this might help|Якщо вам або іншим людям виникають труднощі при приєднанні до багатокористувацького чату, це може допомогти
Music can be uploaded using Nextcloud. Install the app and then create a directory called 'Music'.|Музику можна завантажувати за допомогою Nextcloud. Встановіть програму, а потім створіть каталог з назвою "Музика".
Drag your files into the Music directory and they will then become available to mpd.|Перетягніть файли до каталогу Музика і вони стануть доступними для mpd.
Select search (magnifying glass icon) and search for 'MALP', then select 'install'|Виберіть пошук (значок збільшувального скла) і знайдіть "MALP", потім виберіть "встановити"
Open MALP and from the settings select Profiles|Відкрийте MALP та виберіть з налаштувань Профілі
Enter the following settings:|Введіть такі налаштування:
Save the settings by selecting the disk icon at the top right of the screen|Збережіть налаштування, вибравши піктограму диска у правому верхньому куті екрана
You should now be able to connect to mpd on your server and select and play albums.|Тепер ви повинні мати можливість підключатися до mpd на своєму сервері, а також вибирати та відтворювати альбоми.
In a non-Tor browser navigate to http://libreserver:8250 or http://[server local IP address]:8250 and you should be able to play the selected album.|У браузері, що не входить до Tor, перейдіть до http: // libreserver: 8250 або http: // [локальний IP-адреса сервера]: 8250 і ви зможете відтворити вибраний альбом.
Setting up on the desktop|Налаштування на робочому столі
Install Sonata|Встановіть сонату
Run Sonata and enter the following settings:|Запустіть Sonata і введіть наступні налаштування:
You should now be able to see your albums listed and be able to add them to the currently playing list.|Тепер ви зможете переглядати списки своїх альбомів і додати їх до поточного списку.
In a non-Tor browser navigate to http://libreserver:8250 or http://[server local IP address]:8250 and you should be able to play the selected album.|У браузері, що не входить до Tor, перейдіть до http: // libreserver: 8250 або http: // [локальний IP-адреса сервера]: 8250 і ви зможете відтворити вибраний альбом.
Select your music file format:|Виберіть формат музичного файлу:
pixelfed allow new registrations|pixelfed дозволяють нові реєстрації
Groceries and household management|Продовольчі товари та господарство
Organization|Організація
VPN domain or IP address:|Домен VPN або IP-адреса:
VPN public key:|Відкритий ключ VPN:
Public key for this server:|Відкритий ключ для цього сервера:
Public keys for the laptops or devices that you wish to be able to use this server to connect to the internet.|Публічні ключі для ноутбуків або пристроїв, які ви хочете використовувати для підключення до Інтернету.
Network|Мережа
Set your coordinates on the map|Встановіть координати на карті
Longitude:|Довгота:
Latitude:|Широта:
Join|Приєднатися
Docs|Документи
Community network map is being generated|Генерується карта мережі спільноти
Please wait|Зачекайте
IP address (optional):|IP-адреса (необов'язково):
Export|Експорт
Add a new community network node|Додати новий вузол спільноти
Remove a community network node|Видалити вузол спільноти
WARNING: Only change this if you know what you are doing. Selecting the wrong mesh protocol may make your server disappear from the network, and be difficult to recover|ПОПЕРЕДЖЕННЯ: змініть це, лише якщо знаєте, що ви робите. Вибір неправильного протоколу сітки може змусити ваш сервер зникнути з мережі та відновити його важко
WARNING: Only change this if you know what you are doing. Setting an incorrect IP address or gateway may cause your server to become inaccessible, and may be difficult to recover|ПОПЕРЕДЖЕННЯ: змініть це, лише якщо знаєте, що ви робите. Встановлення неправильної IP-адреси або шлюзу може призвести до того, що сервер стане недоступним і може бути важко відновити
Choose your network:|Виберіть мережу:
Language is being changed|
Community Network|Мережа спільноти
Theme is being changed|Тема змінюється
Install a new app|Встановіть нову програму
Restore APPNAME from backup?|Відновити APPNAME із резервної копії?
Add or remove feeds|Додати або видалити канали
Enter an RSS feed URL to add or remove. The domain name is enough for removals.|Введіть URL-адресу каналу RSS, щоб додати або видалити. Доменне ім'я достатньо для видалення.
Show onion address|Показати адресу лука
Multi User Dungeon from the era of Welsh mainframe computing|Мультикористувач Dungeon від ери валлійських обчислень мейнфреймів
Forward the UDP port 5100 from your internet router|Пересилайте порт UDP 5100 з вашого маршрутизатора Інтернету
Since this app only uses the UDP protocol it won't work via an onion address. If you are running the onion only version of LibreServer then use its local IP address (usually 192.168.1.x) to connect to the game on the above port.|Оскільки ця програма використовує лише протокол UDP, вона не буде працювати через адресу цибулі. Якщо ви запускаєте лише версію LibreServer з цибулею, тоді використовуйте його локальну IP-адресу (зазвичай 192.168.1.x) для підключення до гри на вищенаведеному порту.
Near infinite world block sandbox game|Біля нескінченного світового блоку пісочниці гра
Federation List|Список Федерації
