About|Trong khoảng
This may take a minute or two. For details see:|Quá trình này có thể mất một hoặc hai phút. Để biết chi tiết, hãy xem:
This system isn't intended to broadcast to large audiences and the upper limit of listeners is set at ten. So a family and friends type group.|Hệ thống này không có ý định phát sóng cho các đối tượng lớn và giới hạn trên của người nghe được đặt ở mức mười. Vì vậy, một nhóm gia đình và bạn bè.
This will make a backup of the keys which encrypt your backups, protecting them against accidental loss or exposure. You should keep this drive in a safe place, separate from other backups.|Điều này sẽ tạo bản sao lưu các khóa mã hóa các bản sao lưu của bạn, bảo vệ chúng khỏi bị mất hoặc tiếp xúc ngẫu nhiên. Bạn nên giữ ổ đĩa này ở một nơi an toàn, tách biệt với các bản sao lưu khác.
This will restore the keys used to encrypt backups.|Thao tác này sẽ khôi phục các khóa được sử dụng để mã hóa các bản sao lưu.
To add a new paragraph use the + button|Để thêm đoạn mới, hãy sử dụng nút +
To claim/fork a page from another server click on the flag icon|Để yêu cầu / nĩa trang từ một máy chủ khác, hãy nhấp vào biểu tượng cờ
To edit a paragraph double click on it|Để chỉnh sửa một đoạn nhấp đúp vào nó
To remove a paragraph just delete all of its text|Để xóa một đoạn, chỉ cần xóa tất cả văn bản của nó
To upload music files install Syncthing then copy album directories into ~/Sync/music_upload, then within Koel go to settings and scan the directory /music|Để tải lên các tệp nhạc, hãy cài đặt Đồng bộ hóa rồi sao chép các thư mục album vào ~ / Sync / music_upload, sau đó trong Koel hãy đi tới cài đặt và quét thư mục / nhạc
Tor Bridges|Tor Bridges
Translate|Dịch
Translations|Bản dịch
Turkish|Thổ Nhĩ Kỳ
Type: SRV|Loại: SRV
Ukrainian|Tiếng Ukraina
Uncheck use global user information.|Bỏ chọn sử dụng thông tin người dùng toàn cầu.
Uninstall|Gỡ cài đặt
Update|Cập nhật
Updates settings changed|Cài đặt cập nhật đã thay đổi
Upgrade|Nâng cấp
Upgrades happen automatically. You don't need to start them manually like this, except in rare circumstances|Việc nâng cấp diễn ra tự động. Bạn không cần phải bắt đầu chúng theo cách thủ công như thế này, ngoại trừ trong những trường hợp hiếm hoi
Upload|Tải lên
URL to upload from|URL để tải lên từ
USB drive format has failed|Định dạng ổ USB không thành công
USB drive format in progress|Định dạng ổ đĩa USB đang được xử lý
USB drive format is complete|Định dạng ổ USB hoàn tất
Username: |Tên người dùng:
Username: admin|Tên người dùng: quản trị viên
Members|Người dùng
Using your preferred editor|Sử dụng trình soạn thảo ưa thích của bạn
Video broadcast|Phát video
Vietnamese|Tiếng Việt
Voice chat|Trò chuyện thoại
WARNING: THIS WILL ERASE ALL CONTENT OF THE USB DRIVE|CẢNH BÁO: NÀY S ER XÓA TẤT CẢ NỘI DUNG CỦA Ổ USB
We're sorry, but the username you gave is not suitable. Check that it does not contain spaces, is lower case and at least 3 characters in length.|Chúng tôi rất tiếc nhưng tên người dùng bạn đã cung cấp không phù hợp. Kiểm tra xem nó không chứa dấu cách, có chữ thường và ít nhất 3 ký tự.
Web publishing system|Hệ thống xuất bản web
When done editing click on the wiki button again|Khi chỉnh sửa xong, hãy nhấp lại vào nút wiki
When it's done it will appear on the apps screen|Khi nó được thực hiện nó sẽ xuất hiện trên màn hình ứng dụng
When removal is finished it will disappear from apps|Khi xóa xong, nó sẽ biến mất khỏi ứng dụng
When you are done with translating select the 'import' button on the translations screen.|Khi bạn hoàn tất việc dịch, hãy chọn nút 'nhập' trên màn hình bản dịch.
When you've added your translations select the 'update' button. This will update the translations file for the selected language. Note that this does not change the current language within the user interface. If you want to do that go back to the language screen, select a language and then the 'select' button.|Khi bạn đã thêm bản dịch, hãy chọn nút 'cập nhật'. Thao tác này sẽ cập nhật tệp bản dịch cho ngôn ngữ đã chọn. Lưu ý rằng điều này không thay đổi ngôn ngữ hiện tại trong giao diện người dùng. Nếu bạn muốn làm điều đó quay trở lại màn hình ngôn ngữ, chọn một ngôn ngữ và sau đó chọn nút 'chọn'.
Whichever screen you are currently on, you can get back to the previous screen by clicking or pressing on the LibreServer logo at the top.|Cho dù bạn đang ở màn hình nào, bạn có thể quay lại màn hình trước đó bằng cách nhấp hoặc nhấn vào biểu tượng LibreServer ở trên cùng.
With Icecast you can run your own internet radio stream from an onion address. As always, be careful about copyright issues and preferably stick to Creative Commons music or music files that you own.|Với Icecast, bạn có thể chạy luồng radio internet của riêng bạn từ một địa chỉ hành tây. Như mọi khi, hãy cẩn thận về các vấn đề bản quyền và tốt nhất là nên gắn vào các tệp nhạc hoặc nhạc Creative Commons mà bạn sở hữu.
Within the network list click, Add and enter your domain name then click Edit.|Trong danh sách mạng nhấp, Thêm và nhập tên miền của bạn, sau đó nhấp vào Chỉnh sửa.
Within the Password field enter the password which you originally set up the box with.|Trong trường Mật khẩu, nhập mật khẩu mà bạn đã thiết lập ban đầu với hộp.
Within the software center search for "mumble" and install the client then run it. Skip through the audio setup wizard. Cancel the initial connection window.|Trong phần tìm kiếm trung tâm phần mềm cho "mumble" và cài đặt máy khách, hãy chạy nó. Bỏ qua trình hướng dẫn cài đặt âm thanh. Hủy cửa sổ kết nối ban đầu.
Write it down or save it|Viết xuống hoặc lưu
XMPP|XMPP
xmpp based chat system|xmpp dựa trên hệ thống trò chuyện
Yes|Vâng
You can edit the translated text on the right side of the screen.|Bạn có thể chỉnh sửa văn bản đã dịch ở bên phải màn hình.
You can get to this system remotely via:|Bạn có thể truy cập hệ thống này từ xa qua:
You can now go back to the initial Conversations app screen and start using it. You'll probably want to add contacts using the icon at the bottom right. For more information see the Conversations website (conversations.im) or subscribe to the chat group conversations@conference.siacs.eu|Bây giờ bạn có thể quay lại màn hình ứng dụng Cuộc trò chuyện ban đầu và bắt đầu sử dụng nó. Có thể bạn sẽ muốn thêm liên hệ bằng biểu tượng ở dưới cùng bên phải. Để biết thêm thông tin, hãy xem trang web Conversations (conversation.im) hoặc đăng ký vào nhóm chat@conference.siacs.eu
You can now log in with:|Bây giờ bạn có thể đăng nhập bằng:
You can see upgrade progress|Bạn có thể xem tiến trình nâng cấp
You can use left and right cursor keys to move through pages|Bạn có thể sử dụng các phím con trỏ chuột trái và phải để di chuyển qua các trang
You may also want to make another entry with the same settings but replacing tcp with udp.|Bạn cũng có thể muốn tạo một mục nhập khác có cùng cài đặt nhưng thay thế tcp bằng udp.
You may now remove the USB drive|Bây giờ bạn có thể tháo ổ USB
You might have mistyped one of them|Bạn có thể đã nhập sai một trong số chúng
You will see the translations file with some instructions at the top.|Bạn sẽ thấy tệp bản dịch với một số hướng dẫn ở trên cùng.
Your password must be at least 8 characters in length and only use the characters a-z A-Z and 0-9|Mật khẩu của bạn phải dài ít nhất 8 ký tự và chỉ sử dụng các ký tự a-z A-Z và 0-9
Zero knowledge pastebin|Zero pastebin kiến ​​thức
Theme|Chủ đề
Light|Ánh sáng
Dark|Tối
Mail|Thư
Clear|Thông thoáng
If you find that you can't send out email and that you get 'failed delivery' messages returned instead then you may be able to proxy sent emails through another server. Sometimes ISPs or companies provide an SMTP server which can do this.|Hvis du finner có thể được sử dụng để gửi thư điện tử tại địa chỉ email của bạn, bạn có thể gửi proxy qua e-post thông qua máy chủ en annen. Đôi khi các ISP của máy chủ có thể sử dụng SMTP-server chết dit kan doen.
Send email through a proxy|Gửi email qua proxy
Failed to install. For details see admin/applog.txt|Cai đặt thât bại. Để biết chi tiết, hãy xem admin/applog.txt
Installed successfully|Cài đặt thành công
pihole|lỗ khoan
Unlike browser based ad blockers, pihole works at the domain name resolution level to block domains known to privide the ads appearing in web pages.|Không giống như trình chặn quảng cáo dựa trên trình duyệt, lỗ hổng hoạt động ở cấp độ phân giải tên miền để chặn các tên miền được biết là bảo mật các quảng cáo xuất hiện trong các trang web.
Set your DNS IP address to the one shown and many ads will get blocked even before they're delivered to your laptop or mobile device. This can save a lot of bandwidth and generally speed up the loading of websites.| Đặt địa chỉ IP DNS của bạn thành địa chỉ được hiển thị và nhiều quảng cáo sẽ bị chặn ngay cả trước khi chúng được phân phối tới máy tính xách tay hoặc thiết bị di động của bạn. Điều này có thể tiết kiệm rất nhiều băng thông và thường tăng tốc độ tải các trang web.
Change DNS on your internet router| Thay đổi DNS trên bộ định tuyến internet của bạn
If your internet router allows you to change the DNS IP address then this is the best way to use pihole because it will then provide coverage for all of the devices and computers in your home.|Nếu bộ định tuyến internet của bạn cho phép bạn thay đổi địa chỉ IP DNS thì đây là cách tốt nhất để sử dụng lỗ hổng vì nó sẽ cung cấp mức độ phù hợp cho tất cả các thiết bị và máy tính trong nhà của bạn.
Change DNS on individual devices|Thay đổi DNS trên các thiết bị riêng lẻ
If you can't change your internet router's DNS then you can do that on individual GNU/Linux systems as follows:| Nếu bạn không thể thay đổi DNS của router internet thì bạn có thể thực hiện điều đó trên các hệ thống GNU/Linux riêng lẻ như sau:
Remove or comment out any existing nameservers and add one with the IP address shown for the pihole app. Something like:|Xóa hoặc nhận xét ra bất kỳ máy chủ tên hiện có nào và thêm một máy chủ tên có địa chỉ IP được hiển thị cho ứng dụng lỗ hổng. Một cái gì đó như:
Then save and exit and prevent the file from being automatically changed with:| Sau đó lưu và thoát và ngăn không cho tệp tự động bị thay đổi với:
If you're running the standard version of LibreServer (not the onion version) then you may need to modify your hosts file to access your own domain.|Nếu bạn đang chạy phiên bản tiêu chuẩn của LibreServer (không phải phiên bản hành tây) thì bạn có thể cần phải sửa đổi tập tin host của bạn để truy cập vào tên miền của riêng bạn.
Then add something like:|Sau đó thêm một cái gì đó như:
This only works when you're within your home network, so if you're outside of your home then undo the changes made above.|Điều này chỉ hoạt động khi bạn đang ở trong mạng gia đình của bạn, vì vậy nếu bạn đang ở bên ngoài nhà của bạn sau đó hoàn tác các thay đổi được thực hiện ở trên.
The Pi-hole is a DNS sinkhole that protects your devices from unwanted content, without installing any client-side software.|Lỗ Pi là lỗ hổng DNS bảo vệ thiết bị của bạn khỏi nội dung không mong muốn mà không cần cài đặt bất kỳ phần mềm phía máy khách nào.
Search|Tìm kiếm
removed|Đã xóa
To get email working you will need to forward some ports. Email using your onion address will work anyway, so long as you are contacting other onion based email addresses.|Để nhận email hoạt động, bạn cần chuyển tiếp một số cổng. Email sử dụng địa chỉ hành tây của bạn sẽ hoạt động, miễn là bạn đang liên hệ với các địa chỉ email dựa trên hành tây khác.
Forward ports 25, 587 and 465 from your internet router|Chuyển tiếp cổng 25, 587 và 465 từ bộ định tuyến internet của bạn
To access cryptpad you'll need to use a Tor browser. Navigate to the URL and enable javascript for the site under the NoScript icon. The screen will be blank for a few seconds while it's downloading the application into your browser.|Để truy cập vào cryptpad, bạn cần sử dụng trình duyệt Tor.Điều hướng đến URL và kích hoạt javascript cho trang web dưới biểu tượng NoScript, màn hình sẽ trống trong vài giây khi tải ứng dụng xuống trình duyệt của bạn.
Cryptpad is an almost peer-to-peer application. No data is stored on the server, which only does minimal orchestration between the clients. If an adversary subsequently obtains the server they still learn nothing.|Cryptpad là một ứng dụng gần như ngang hàng.Không có dữ liệu nào được lưu trữ trên máy chủ, mà chỉ có sự phối hợp tối thiểu giữa các máy khách, nếu một kẻ thù sau đó có được máy chủ thì họ vẫn không học được gì.
Authentication Token|Mã xác thực
This is only needed if you're using FreeDNS. Otherwise you can leave it blank.|Điều này chỉ cần thiết nếu bạn đang sử dụng FreeDNS, nếu không bạn có thể để trống.
On the site where you obtained your domain name set up some custom nameservers as follows:|Trên trang web nơi bạn có được tên miền của mình, hãy thiết lập một số máy chủ định danh tùy chỉnh như sau:
On the FreeDNS site go to the "Dynamic DNS" section and make sure that "link updates of the same IP together" is set to ON.|Trên trang web FreeDNS, hãy chuyển đến phần "Dynamic DNS" và đảm bảo rằng "cập nhật liên kết của cùng một IP với nhau" được đặt thành BẬT.
For your main domain name select "quick cron example" and then your authentication token is the random string on the last line between the ? and = characters.|Đối với tên miền chính của bạn, hãy chọn "ví dụ cron nhanh" và sau đó mã thông báo xác thực của bạn là chuỗi ngẫu nhiên trên dòng cuối cùng giữa ký tự? Và =.
Your current IP address is shown at the top of the Dynamic DNS screen of the LibreServer user interface. You can use the "Mass Mod" feature at the top of the "Subdomains" part of the FreeDNS site to set all of your subdomains to that IP address.|Bạn có thể sử dụng tính năng "Mass Mod" ở đầu phần "Miền phụ" của trang web FreeDNS để đặt tất cả tên miền phụ của bạn thành Địa chỉ IP.
Select the MX entry for your main domain and change the destination to 10:mydomainname rather than 10:mail.mydomainname.|Chọn mục MX cho tên miền chính của bạn và thay đổi đích đến 10:mydomainname thay vì 10:mail.mydomainname.
Enter your FreeDNS login details and the authentication token on the Dynamic DNS screen of the LibreServer user interface.|Nhập chi tiết đăng nhập FreeDNS của bạn và mã thông báo xác thực trên màn hình DNS động của giao diện người dùng LibreServer.
To make a playlist insert a USB drive containing audio files in a directory called playlist, add a description below and then select Update|Để tạo danh sách phát, hãy chèn ổ USB chứa tệp âm thanh vào thư mục có tên danh sách phát, thêm mô tả bên dưới rồi chọn Cập nhật
To add music copy it to a directory called Music on a USB drive then plug it into your server and select Update|Để thêm nhạc, hãy sao chép nhạc vào thư mục có tên Âm nhạc trên ổ USB rồi cắm nó vào máy chủ của bạn và chọn Cập nhật
This is a wiki which stores its content in text files. Having no database makes maintaining it simpler, and it's not tied to any particular domain name so you can easily copy the files to a different domain if you need to.|Đây là một wiki lưu trữ nội dung của nó trong các tập tin văn bản. Không có cơ sở dữ liệu nào làm cho việc duy trì nó đơn giản hơn và nó không gắn với bất kỳ tên miền cụ thể nào để bạn có thể dễ dàng sao chép các tệp vào một miền khác nếu cần.
Provides an easy and private way to sync calendar and contacts between devices.|Cung cấp một cách dễ dàng và riêng tư để đồng bộ hóa lịch và danh bạ giữa các thiết bị.
Using on mobile|Sử dụng trên thiết bị di động
The user interface is a little misleading. Make sure that you log in with your username, not your email addres.|Giao diện người dùng hơi gây hiểu nhầm. Đảm bảo rằng bạn đăng nhập bằng tên người dùng của mình, không phải là địa chỉ email của bạn.
Also choose the advanced option and enter the subdomain that you installed etesync on.|Cũng chọn tùy chọn nâng cao và nhập tên miền phụ mà bạn đã cài đặt etesync.
This is a well known system for real time collaborative editing of documents. Just log in, choose a document title and then edit. Different users will appear in different colours, and can also chat in the sidebar. This is installed as a private system in which only users on your LibreServer server will be able to create and edit documents, so it's not open to any random users on the internet.|Đây là một hệ thống nổi tiếng để chỉnh sửa cộng tác trong thời gian thực của tài liệu. Chỉ cần đăng nhập, chọn tiêu đề tài liệu và sau đó chỉnh sửa. Những người dùng khác nhau sẽ xuất hiện với các màu khác nhau và cũng có thể trò chuyện trong thanh bên. Điều này được cài đặt như một hệ thống riêng tư, trong đó chỉ người dùng trên máy chủ LibreServer của bạn mới có thể tạo và chỉnh sửa tài liệu, vì vậy nó không mở cho bất kỳ người dùng ngẫu nhiên nào trên internet.
This is a federated social networking system. It can federate with other popular fediverse systems.|Đây là một hệ thống mạng xã hội được liên kết. Nó có thể liên kết với các hệ thống vũ trụ phổ biến khác.
This is a blogging system which has no database and only uses text files for storage.|Đây là một hệ thống viết blog không có cơ sở dữ liệu và chỉ sử dụng các tệp văn bản để lưu trữ.
This is a git hosting system. It's very similar to Github in appearance and use, is lightweight and so is well suited for use on low power ARM servers.|Đây là một hệ thống lưu trữ git. Nó rất giống với Github trong diện mạo và sử dụng, có trọng lượng nhẹ và rất phù hợp để sử dụng trên các máy chủ ARM công suất thấp.
This is a web publishing and social network system which includes wiki, web pages, photo albums and file storage. It also has nomadic identity allowing you to easily move your account between different servers and privacy controls which allow you to define who can see what content.|Đây là một trang web xuất bản và hệ thống mạng xã hội bao gồm wiki, trang web, album ảnh và lưu trữ tập tin. Nó cũng có bản sắc du mục cho phép bạn dễ dàng di chuyển tài khoản giữa các máy chủ khác nhau và các điều khiển riêng tư cho phép bạn xác định ai có thể xem nội dung nào.
Kanbans are one way of managing projects. They're traditionally used in businesses but can also be useful for personal TODO lists or within open source or DIY projects. If you have a list of things which need to be done and want to keep track of progress then this provides a way to do that.|Kanbans là một cách để quản lý các dự án. Chúng thường được sử dụng trong các doanh nghiệp nhưng cũng có thể hữu ích cho danh sách TODO cá nhân hoặc trong các dự án nguồn mở hoặc DIY. Nếu bạn có một danh sách những điều cần phải được thực hiện và muốn theo dõi tiến độ thì điều này cung cấp một cách để làm điều đó.
The default login is username "admin" and the login password which you usually use for the web interface.|Đăng nhập mặc định là tên người dùng "quản trị" và mật khẩu đăng nhập mà bạn thường sử dụng cho giao diện web.
If you're using a Tor browser then you may need to allow javascript for the site by selecting the NoScript icon.|Nếu bạn đang sử dụng trình duyệt Tor thì bạn có thể cần phải cho phép javascript cho trang web bằng cách chọn biểu tượng NoScript.
Extra users can be added from the drop down menu at the top right of the screen, under "Users management".|Bạn có thể thêm người dùng bổ sung từ trình đơn thả xuống ở trên cùng bên phải của màn hình, trong "Quản lý người dùng".
This enables you to store your music on the LibreServer server and then access it from any internet connected device.|Điều này cho phép bạn lưu trữ nhạc của bạn trên máy chủ LibreServer và sau đó truy cập nó từ bất kỳ thiết bị kết nối internet nào.
This is a simple and lightweight photo album for the web. Whether you're an amateur or professional photographer, or want to publish random holiday pics or cat pictures. Lychee just does what it says it does without any fuss.|Đây là một album ảnh đơn giản và nhẹ cho web. Cho dù bạn là nhiếp ảnh gia chuyên nghiệp hay chuyên nghiệp hay muốn xuất bản các bức ảnh kỳ nghỉ hoặc mèo kỳ nghỉ. Lychee chỉ làm những gì nó nói nó mà không có bất kỳ fuss.
This provides an webmail interface suitable for use on desktop or mobile clients and with built in support for encryption.|Điều này cung cấp giao diện webmail phù hợp để sử dụng trên máy tính để bàn hoặc máy khách di động và được hỗ trợ mã hóa.
This is a system for file synchronisation and also has many other plugins for calendar, videoconferencing, collaborative document editing and federated file sharing.|Đây là một hệ thống đồng bộ hóa tập tin và cũng có nhiều plugin khác cho lịch, hội nghị truyền hình, chỉnh sửa tài liệu cộng tác và chia sẻ tệp liên kết.
This is a video hosting system which uses webtorrent to help distribute the files to or between clients.|Đây là một hệ thống lưu trữ video sử dụng webtorrent để giúp phân phối các tập tin đến hoặc giữa các khách hàng.
Use the username 'root' and your usual password to log in as the administrator. You can then change settings as needed.|Sử dụng tên người dùng 'root' và mật khẩu thông thường của bạn để đăng nhập với tư cách quản trị viên. Sau đó, bạn có thể thay đổi cài đặt nếu cần.
This is an OStatus and ActivityPub compatible social networking server which federates with other fediverse systems. It is high-performance and so is especially well suited for running on low power single board computers without much RAM.|Đây là một máy chủ mạng xã hội tương thích với OStatus và ActivityPub liên kết với các hệ thống liên kết khác. Đó là hiệu suất cao và do đó đặc biệt phù hợp để chạy trên các máy tính bảng điện công suất thấp mà không cần nhiều RAM.
Since Pleroma supports the same protocols, any Mastodon client for Android should work with it.|Vì Pleroma hỗ trợ các giao thức giống nhau, nên bất kỳ ứng dụng Mastodon nào cho Android đều phải làm việc với nó.
This is a fork of GNU Social which includes some extra fixes and optimisations to improve performance. It federates with other fediverse servers, such as Pleroma or Mastodon.|Đây là một nhánh của GNU Social bao gồm một số sửa lỗi và tối ưu hóa để cải thiện hiệu suất. Nó liên kết với các máy chủ fedors khác, chẳng hạn như Pleroma hoặc Mastodon.
This is an encrypted pastebin, such that the server has zero knowledge of the content. It's intended for small amounts of text less than 32K in length. It's not intended for transfering large files, or for storing pastes for more than a day.|Đây là một mật mã được mã hóa, sao cho máy chủ không có kiến ​​thức về nội dung. Nó dành cho số lượng văn bản nhỏ dưới 32K. Nó không có ý định chuyển các tập tin lớn, hoặc để lưu trữ bột nhão trong hơn một ngày.
This is a web based user interface to the Matrix federated chat system. You will need to have already installed the Matrix app for this to work.|Đây là giao diện người dùng dựa trên web tới hệ thống trò chuyện được liên kết ma trận. Bạn sẽ cần phải cài đặt ứng dụng Ma trận để làm việc này.
This is yet another chat system, but the server part of it isn't federated and so it's suitable for small private groups rather than for general public discussions.|Đây là một hệ thống trò chuyện khác, nhưng phần máy chủ của nó không được liên kết và vì vậy nó phù hợp cho các nhóm riêng nhỏ hơn là cho các cuộc thảo luận chung.
Provides a similar capability to proprietary systems such as Dropbox, and also is well suited for use with low power single board computers. You can have one or more directories which are synchronized across your various laptops/desktops/devices, and this makes it hard for you to ever lose important files. Of course, you don't necessarily need to be running a server in order to use Syncthing, but if you do have a server which is always running then there's always at least one place to synchronize your files to or from.|Cung cấp khả năng tương tự cho các hệ thống độc quyền như Dropbox và cũng rất phù hợp để sử dụng với các máy tính bảng điện đơn thấp. Bạn có thể có một hoặc nhiều thư mục được đồng bộ hóa trên nhiều máy tính xách tay / máy tính để bàn / thiết bị khác nhau và điều này khiến bạn khó có thể mất các tệp quan trọng. Tất nhiên, bạn không nhất thiết phải chạy một máy chủ để sử dụng Syncthing, nhưng nếu bạn có một máy chủ luôn chạy thì luôn có ít nhất một nơi để đồng bộ hóa các tệp của bạn đến hoặc đi.
On a Debian based system:|Trên hệ thống dựa trên Debian:
Or on Android search for the Syncthing app.|Hoặc trên tìm kiếm Android cho ứng dụng Đồng bộ hóa.
Using the settings button within the LibreServer web interface for the Syncthing app you can then paste in any IDs for other devices. They will then sync with your server.|Sử dụng nút cài đặt trong giao diện web LibreServer cho ứng dụng Đồng bộ hóa, sau đó bạn có thể dán bất kỳ ID nào cho các thiết bị khác. Sau đó, họ sẽ đồng bộ hóa với máy chủ của bạn.
A system for privately creating and sharing notes and images, similar to Evernote. It can be set up so that a small number of users on the server can share their notes in a convenient way. It doesn't have any web user interface, and you need to install native clients on mobile or laptop/desktop machines.|Một hệ thống để tạo và chia sẻ ghi chú và hình ảnh riêng tư, tương tự như Evernote. Nó có thể được thiết lập để một số lượng nhỏ người dùng trên máy chủ có thể chia sẻ ghi chú của họ một cách thuận tiện. Nó không có bất kỳ giao diện người dùng web nào và bạn cần phải cài đặt ứng dụng khách gốc trên thiết bị di động hoặc máy tính xách tay / máy tính để bàn.
Since the data at rest is stored in PGP encrypted format this is a good system to use in cases where security really is a critical factor.|Kể từ khi dữ liệu ở phần còn lại được lưu trữ trong định dạng mã hóa PGP, đây là một hệ thống tốt để sử dụng trong trường hợp an ninh thực sự là một yếu tố quan trọng.
Go to https://turtlapp.com/download and you'll then be able to download the appropriate app for your laptop or phone.|Truy cập https://turtlapp.com/download và sau đó bạn sẽ có thể tải xuống ứng dụng thích hợp cho máy tính xách tay hoặc điện thoại của mình.
Run the downloaded native app then at the bottom of the screen select "advanced settings" and enter your turl domain name, then register a new account. The password can be anything you choose, but since the client side encryption depends upon having a good password make it a long random string generated by a password manager such as KeepassX.|Chạy ứng dụng gốc đã tải xuống rồi ở cuối màn hình, chọn "cài đặt nâng cao" và nhập tên miền turl của bạn, sau đó đăng ký tài khoản mới. Mật khẩu có thể là bất cứ thứ gì bạn chọn, nhưng vì mã hóa phía máy khách phụ thuộc vào việc có một mật khẩu tốt làm cho nó trở thành một chuỗi ngẫu nhiên dài được tạo bởi trình quản lý mật khẩu như KeepassX.
You should then be able to log in and start using the app. You might also want to invite any other users of your LibreServer system to also sign up using the turtl domain name which you specified during installation.|Sau đó, bạn có thể đăng nhập và bắt đầu sử dụng ứng dụng. Bạn cũng có thể muốn mời bất kỳ người dùng nào khác của hệ thống LibreServer của bạn cũng đăng ký bằng tên miền turtl mà bạn đã chỉ định trong khi cài đặt.
Disabling new registrations|Vô hiệu hóa đăng ký mới
Once you have set up the server with however many users are needed you can then disable any new registrations by selecting Turtl on the LibreServer web interface and going to the settings screen.|Một khi bạn đã thiết lập các máy chủ với tuy nhiên nhiều người dùng là cần thiết, bạn có thể vô hiệu hóa bất kỳ đăng ký mới bằng cách chọn Turtl trên giao diện web LibreServer và đi đến màn hình cài đặt.
This is similar to Hubzilla but with a reduced range of features concentrating exclusively upon social networking with the latest version of the Zot protocol. Nomadic identity is supported, so to can export your channels and import them on other servers if necessary, without losing followers.|Điều này tương tự như Hubzilla nhưng với một phạm vi giảm các tính năng tập trung hoàn toàn vào mạng xã hội với phiên bản mới nhất của giao thức Zot. Danh tính du mục được hỗ trợ, do đó, để có thể xuất kênh của bạn và nhập chúng trên các máy chủ khác nếu cần, mà không làm mất người theo dõi.
The first account you register will be the administrator user, and from there you can go to the admin settings and disable new registrations if needed.|Tài khoản đầu tiên bạn đăng ký sẽ là người dùng quản trị viên và từ đó bạn có thể đi tới cài đặt quản trị và vô hiệu hóa đăng ký mới nếu cần.
To find other users to follow select "directory" from the drop down menu at the top right of the screen and set "this site only" to "no".|Để tìm người dùng khác theo dõi "thư mục" được chọn từ trình đơn thả xuống ở trên cùng bên phải của màn hình và đặt "trang web này chỉ" thành "không".
There is an Android app available called Nomad.|Có một ứng dụng Android có tên là Nomad.
End-to-end encrypted sync of calendar and contacts between devices|Đồng bộ hóa lịch và danh bạ được mã hóa từ đầu đến cuối giữa các thiết bị
Secure, end-to-end encrypted and journaled personal information cloud synchronization for Android and the desktop, supporting contacts and calendars|Đồng bộ hóa đám mây thông tin cá nhân được mã hóa và được mã hóa an toàn, được mã hóa đầu cuối cho Android và máy tính để bàn, hỗ trợ danh bạ và lịch
Nomadic social network server|Máy chủ mạng xã hội du mục
Change background|Thay đổi nền
Diagnostics|Chẩn đoán
Please wait while your app is installing|Vui lòng chờ trong khi ứng dụng của bạn đang cài đặt
The app could not be installed|Không thể cài đặt ứng dụng
Add a new member|Thêm thành viên mới
Kanban focussed on simplicity and minimalism|Kanban tập trung vào sự đơn giản và tối giản
Emails, chat or social network posts will be blocked if they contain the following words or phrases|Các bài đăng trên email, trò chuyện hoặc mạng xã hội sẽ bị chặn nếu chúng chứa các từ hoặc cụm từ sau
Muted words|Từ bị tắt tiếng
Disk space is getting too low. Installation stopped.|Dung lượng đĩa quá thấp. Đã ngừng cài đặt.
Password changed|mật khẩu đã được thay đổi
Play media from any UPNP/DLNA device on your local network|Phát phương tiện từ bất kỳ thiết bị UPNP / DLNA nào trên mạng cục bộ của bạn
This allows you to play media on any DLNA supporting device within your local network.|Điều này cho phép bạn phát phương tiện trên bất kỳ thiết bị hỗ trợ DLNA nào trong mạng nội bộ của bạn.
No Access Control|Không có kiểm soát truy cập
DLNA doesn't have any access controls, so keep in mind that anyone with a mobile device or laptop within your local network is potentially able to play any media on the server. Hence this may not be suitable for situations where you want parental control over what media can be accessed.|DLNA không có bất kỳ điều khiển truy cập nào, do đó, hãy nhớ rằng bất kỳ ai có thiết bị di động hoặc máy tính xách tay trong mạng nội bộ của bạn đều có khả năng phát bất kỳ phương tiện nào trên máy chủ. Do đó điều này có thể không phù hợp cho các tình huống mà bạn muốn kiểm soát của cha mẹ đối với những gì phương tiện truyền thông có thể được truy cập.
Adding Media|Thêm phương tiện
You can add media by selecting the settings button from the DLNA app.|Bạn có thể thêm phương tiện bằng cách chọn nút cài đặt từ ứng dụng DLNA.
Your homepage can also be accessed with a Tor browser on:|Trang chủ của bạn cũng có thể được truy cập bằng trình duyệt Tor trên:
Chat|Trò chuyện
Media|Truyền thông
Social|Xã hội
Sync|Đồng bộ hóa
Publishing|Xuất bản
Other|Khác
Recommended Firefox Add-ons:|Tiện ích Firefox được đề xuất:
Change your default domain name|Thay đổi tên miền mặc định của bạn
Do you want to change your default domain name to:|Bạn có muốn thay đổi tên miền mặc định của mình thành:
rsync failed|rsync thất bại
For most purposes Syncthing is an easier file synchronization system, but rsync is still a reliable solution if you prefer to do things the more traditional way or if you just want to create a mirror from an existing rsync server.|Đối với hầu hết các mục đích Syncthing là một hệ thống đồng bộ hóa tệp dễ dàng hơn, nhưng rsync vẫn là một giải pháp đáng tin cậy nếu bạn muốn thực hiện mọi thứ theo cách truyền thống hơn hoặc nếu bạn chỉ muốn tạo một bản sao từ máy chủ rsync hiện có.
