About|Over
When it's done it will appear on the apps screen|Als het klaar is, verschijnt het op het scherm met apps
When removal is finished it will disappear from apps|Wanneer het verwijderen is voltooid, verdwijnt het uit apps
When you are done with translating select the 'import' button on the translations screen.|Wanneer u klaar bent met vertalen, selecteert u de knop 'Importeren' in het scherm Vertalingen.
When you've added your translations select the 'update' button. This will update the translations file for the selected language. Note that this does not change the current language within the user interface. If you want to do that go back to the language screen, select a language and then the 'select' button.|Wanneer u uw vertalingen heeft toegevoegd, selecteert u de knop 'update'. Hiermee wordt het vertalingenbestand voor de geselecteerde taal bijgewerkt. Merk op dat dit de huidige taal binnen de gebruikersinterface niet verandert. Als u dat wilt doen, gaat u terug naar het taalscherm, selecteert u een taal en vervolgens de knop 'Selecteren'.
Whichever screen you are currently on, you can get back to the previous screen by clicking or pressing on the LibreServer logo at the top.|Op welk scherm u zich ook bevindt, u kunt teruggaan naar het vorige scherm door op het LibreServer-logo bovenaan te klikken of erop te drukken.
With Icecast you can run your own internet radio stream from an onion address. As always, be careful about copyright issues and preferably stick to Creative Commons music or music files that you own.|Met Icecast kunt u uw eigen internetradiostream uitvoeren vanaf een uienadres. Wees zoals altijd voorzichtig met auteursrechten en blijf bij voorkeur bij Creative Commons muziek- of muziekbestanden waarvan u de eigenaar bent.
Within the network list click, Add and enter your domain name then click Edit.|Klik in de lijst met netwerken op Toevoegen en voer uw domeinnaam in en klik vervolgens op Bewerken.
Within the Password field enter the password which you originally set up the box with.|Voer in het veld Wachtwoord het wachtwoord in waarmee u de box oorspronkelijk hebt ingesteld.
Within the software center search for "mumble" and install the client then run it. Skip through the audio setup wizard. Cancel the initial connection window.|Zoek in het softwarecentrum naar 'mompel' en installeer de client en voer deze uit. Doorloop de wizard voor het instellen van audio. Annuleer het eerste verbindingsvenster.
Write it down or save it|Schrijf het op of sla het op
XMPP|XMPP
xmpp based chat system|xmpp gebaseerd chat-systeem
Yes|Ja
You can edit the translated text on the right side of the screen.|U kunt de vertaalde tekst bewerken aan de rechterkant van het scherm.
You can get to this system remotely via:|U kunt dit systeem op afstand bereiken via:
You can now go back to the initial Conversations app screen and start using it. You'll probably want to add contacts using the icon at the bottom right. For more information see the Conversations website (conversations.im) or subscribe to the chat group conversations@conference.siacs.eu|U kunt nu teruggaan naar het beginscherm van de app Conversaties en deze gaan gebruiken. U wilt waarschijnlijk contactpersonen toevoegen met behulp van het pictogram rechtsonder. Ga voor meer informatie naar de Conversations-website (conversations.im) of abonneer u op de chatgroep conversations@conference.siacs.eu
You can now log in with:|U kunt nu inloggen met:
You can see upgrade progress|U kunt de voortgang van de upgrade zien
You can use left and right cursor keys to move through pages|U kunt linker en rechter cursortoetsen gebruiken om door pagina's te bladeren
You may also want to make another entry with the same settings but replacing tcp with udp.|U kunt ook een andere vermelding met dezelfde instellingen maken maar tcp vervangen door udp.
You may now remove the USB drive|U kunt nu het USB-station verwijderen
You might have mistyped one of them|Mogelijk hebt u een van deze verkeerd getypt
You will see the translations file with some instructions at the top.|U ziet het vertalingenbestand met enkele instructies bovenaan.
Your password must be at least 8 characters in length and only use the characters a-z A-Z and 0-9|Uw wachtwoord moet minimaal 8 tekens lang zijn en mag alleen de tekens a-z A-Z en 0-9 gebruiken
Zero knowledge pastebin|Nul kennis pastebin
Theme|Thema
Light|Licht
Dark|Donker
Mail|Mail
Clear|Duidelijk
Send email through a proxy|Verzend e-mail via een proxy
If you find that you can't send out email and that you get 'failed delivery' messages returned instead then you may be able to proxy sent emails through another server. Sometimes ISPs or companies provide an SMTP server which can do this.|Hvis du finner ut at du ikke kan een e-mail sturen naar du får mislykkede leveringsmeldinger, kan via een e-post via en annen server. Soms bieden ISP's van bedrijven een SMTP-server die dit kan doen.
Failed to install. For details see admin/applog.txt|Installatie mislukt. Voor details zie admin/applog.txt
Installed successfully|Met succes geïnstalleerd
pihole|pihole
Unlike browser based ad blockers, pihole works at the domain name resolution level to block domains known to privide the ads appearing in web pages.|In tegenstelling tot browsergebaseerde ad blockers, werkt pihole op het resolutieniveau van de domeinnaam om domeinen te blokkeren waarvan bekend is dat ze de advertenties verspreiden die in webpagina's verschijnen.
Set your DNS IP address to the one shown and many ads will get blocked even before they're delivered to your laptop or mobile device. This can save a lot of bandwidth and generally speed up the loading of websites.| Stel uw DNS IP-adres in op het getoonde adres en veel advertenties worden geblokkeerd voordat ze worden afgeleverd op uw laptop of mobiele apparaat. Dit kan veel bandbreedte besparen en over het algemeen het laden van websites versnellen
Change DNS on your internet router| Wijzig DNS op uw internetrouter
If your internet router allows you to change the DNS IP address then this is the best way to use pihole because it will then provide coverage for all of the devices and computers in your home.|Als u op uw internetrouter het DNS IP-adres kunt wijzigen, is dit de beste manier om pihole te gebruiken, omdat het dan dekking biedt voor alle apparaten en computers in uw huis.
Change DNS on individual devices|Verander DNS op individuele apparaten
If you can't change your internet router's DNS then you can do that on individual GNU/Linux systems as follows:| Als u de DNS van uw internetrouter niet kunt wijzigen, kunt u dat op de volgende GNU/Linux-systemen als volgt doen:
Remove or comment out any existing nameservers and add one with the IP address shown for the pihole app. Something like:|Verwijder of becommentarieer eventuele bestaande naamservers en voeg er een toe met het IP-adres dat wordt weergegeven voor de pihole-app. Iets als:
Then save and exit and prevent the file from being automatically changed with:| Sla vervolgens op en sluit af en voorkom dat het bestand automatisch wordt gewijzigd met:
If you're running the standard version of LibreServer (not the onion version) then you may need to modify your hosts file to access your own domain.|Als u de standaardversie van LibreServer gebruikt (niet de uienversie), moet u mogelijk uw hosts-bestand wijzigen om toegang te krijgen tot uw eigen domein.
Then add something like:|Voeg vervolgens iets toe als:
This only works when you're within your home network, so if you're outside of your home then undo the changes made above.|Dit werkt alleen als u zich binnen uw thuisnetwerk bevindt, dus als u zich buiten uw huis bevindt, maakt u de bovenstaande wijzigingen ongedaan
The Pi-hole is a DNS sinkhole that protects your devices from unwanted content, without installing any client-side software.|De Pi-hole is een DNS-sinkhole die uw apparaten beschermt tegen ongewenste inhoud zonder software voor de client te installeren.
Search|Zoeken
removed|verwijderd
To get email working you will need to forward some ports. Email using your onion address will work anyway, so long as you are contacting other onion based email addresses.|Om e-mail aan het werk te krijgen, moet u enkele poorten doorsturen. E-mail met uw ui-adres werkt sowieso, als u maar contact houdt met andere ui-e-mailadressen.
Forward ports 25, 587 and 465 from your internet router|Stuur poorten 25, 587 en 465 door vanaf uw internetrouter
To access cryptpad you'll need to use a Tor browser. Navigate to the URL and enable javascript for the site under the NoScript icon. The screen will be blank for a few seconds while it's downloading the application into your browser.|Om toegang te krijgen tot cryptpad, moet je een Tor-browser gebruiken. Navigeer naar de URL en schakel JavaScript in voor de site onder het pictogram NoScript. Het scherm zal een paar seconden leeg blijven terwijl het de toepassing in je browser downloadt.
Cryptpad is an almost peer-to-peer application. No data is stored on the server, which only does minimal orchestration between the clients. If an adversary subsequently obtains the server they still learn nothing.|Cryptpad is een bijna peer-to-peer-toepassing.Er worden geen gegevens opgeslagen op de server, die slechts minimale orkestratie tussen de clients uitvoert.Als een tegenstander vervolgens de server verkrijgt, leren ze nog steeds niets.
Authentication Token|Verificatietoken
This is only needed if you're using FreeDNS. Otherwise you can leave it blank.|Dit is alleen nodig als u FreeDNS gebruikt, anders kunt u het leeg laten.
On the site where you obtained your domain name set up some custom nameservers as follows:|Op de site waar u uw domeinnaam hebt verkregen, kunt u enkele aangepaste naamservers instellen:
On the FreeDNS site go to the "Dynamic DNS" section and make sure that "link updates of the same IP together" is set to ON.|Ga op de FreeDNS-site naar het gedeelte "Dynamische DNS" en zorg ervoor dat "updates van hetzelfde IP-adres koppelen" is ingesteld op AAN.
For your main domain name select "quick cron example" and then your authentication token is the random string on the last line between the ? and = characters.|Selecteer voor uw hoofddomein "snel cronvoorbeeld" en dan is uw authenticatietoken de willekeurige reeks op de laatste regel tussen de tekens? En =.
Your current IP address is shown at the top of the Dynamic DNS screen of the LibreServer user interface. You can use the "Mass Mod" feature at the top of the "Subdomains" part of the FreeDNS site to set all of your subdomains to that IP address.|U kunt de "Mass Mod" -functie bovenaan het gedeelte "Subdomeinen" van de FreeDNS-site gebruiken om al uw subdomeinen op die IP-adres.
Select the MX entry for your main domain and change the destination to 10:mydomainname rather than 10:mail.mydomainname.|Selecteer het MX-item voor uw hoofddomein en wijzig de bestemming in 10: mijndomeinnaam in plaats van 10: mail.domeinnaam.
Enter your FreeDNS login details and the authentication token on the Dynamic DNS screen of the LibreServer user interface.|Voer uw FreeDNS-inloggegevens en het verificatietoken in op het dynamische DNS-scherm van de gebruikersinterface van LibreServer.
To make a playlist insert a USB drive containing audio files in a directory called playlist, add a description below and then select Update|Als u een afspeellijst wilt maken, plaatst u een USB-station met audiobestanden in een map met de naam afspeellijst, voegt u een onderstaande beschrijving toe en selecteert u vervolgens Update
To add music copy it to a directory called Music on a USB drive then plug it into your server and select Update|Als u muziek wilt toevoegen, kopieert u deze naar een map met de naam Muziek op een USB-station, sluit u deze vervolgens aan op uw server en selecteert u Bijwerken
This is a wiki which stores its content in text files. Having no database makes maintaining it simpler, and it's not tied to any particular domain name so you can easily copy the files to a different domain if you need to.|Dit is een wiki die de inhoud opslaat in tekstbestanden. Het ontbreken van een database maakt het onderhoud eenvoudiger en het is niet gebonden aan een bepaalde domeinnaam, dus u kunt de bestanden gemakkelijk kopiëren naar een ander domein als dat nodig is.
Provides an easy and private way to sync calendar and contacts between devices.|Biedt een eenvoudige en persoonlijke manier om agenda's en contacten tussen apparaten te synchroniseren.
Using on mobile|Gebruik op mobiel
The user interface is a little misleading. Make sure that you log in with your username, not your email addres.|De gebruikersinterface is een beetje misleidend. Zorg ervoor dat u inlogt met uw gebruikersnaam, niet uw e-mailadres.
Also choose the advanced option and enter the subdomain that you installed etesync on.|Kies ook de geavanceerde optie en voer het subdomein in waarop u etesync hebt geïnstalleerd.
This is a well known system for real time collaborative editing of documents. Just log in, choose a document title and then edit. Different users will appear in different colours, and can also chat in the sidebar. This is installed as a private system in which only users on your LibreServer server will be able to create and edit documents, so it's not open to any random users on the internet.|Dit is een bekend systeem voor het in realtime samen bewerken van documenten. Log in, kies een documenttitel en bewerk deze. Verschillende gebruikers verschijnen in verschillende kleuren en kunnen ook in de zijbalk chatten. Dit wordt geïnstalleerd als een privésysteem waarin alleen gebruikers op uw LibreServer-server documenten kunnen maken en bewerken, dus het staat niet open voor willekeurige gebruikers op internet.
This is a federated social networking system. It can federate with other popular fediverse systems.|Dit is een gefederaliseerd sociaal netwerksysteem. Het kan federeren met andere populaire Fediverse-systemen.
This is a blogging system which has no database and only uses text files for storage.|Dit is een blogsysteem dat geen database heeft en alleen tekstbestanden gebruikt voor opslag.
This is a git hosting system. It's very similar to Github in appearance and use, is lightweight and so is well suited for use on low power ARM servers.|Dit is een git hosting systeem. Het lijkt qua uiterlijk en gebruik sterk op Github, is lichtgewicht en dus goed geschikt voor gebruik op ARM-servers met een laag vermogen.
This is a web publishing and social network system which includes wiki, web pages, photo albums and file storage. It also has nomadic identity allowing you to easily move your account between different servers and privacy controls which allow you to define who can see what content.|Dit is een webpublicatie en sociaal netwerksysteem dat wiki, webpagina's, fotoalbums en bestandsopslag omvat. Het heeft ook een nomadische identiteit, waardoor u eenvoudig uw account kunt verplaatsen tussen verschillende servers en privacycontroles waarmee u kunt definiëren wie welke inhoud kan zien.
Kanbans are one way of managing projects. They're traditionally used in businesses but can also be useful for personal TODO lists or within open source or DIY projects. If you have a list of things which need to be done and want to keep track of progress then this provides a way to do that.|Kanbans zijn een manier om projecten te beheren. Ze worden traditioneel gebruikt in bedrijven, maar kunnen ook nuttig zijn voor persoonlijke TODO-lijsten of in open source- of doe-het-zelf-projecten. Als u een lijst hebt met dingen die moeten worden gedaan en u wilt de voortgang bijhouden, dan biedt dit een manier om dat te doen.
The default login is username "admin" and the login password which you usually use for the web interface.|De standaard login is gebruikersnaam "admin" en het login-wachtwoord dat u gewoonlijk voor de webinterface gebruikt.
If you're using a Tor browser then you may need to allow javascript for the site by selecting the NoScript icon.|Als u een Tor-browser gebruikt, moet u mogelijk javascript voor de site toestaan ​​door het pictogram NoScript te selecteren.
Extra users can be added from the drop down menu at the top right of the screen, under "Users management".|Extra gebruikers kunnen worden toegevoegd via het vervolgkeuzemenu rechtsbovenin het scherm, onder "Gebruikersbeheer".
This enables you to store your music on the LibreServer server and then access it from any internet connected device.|Hiermee kunt u uw muziek opslaan op de LibreServer-server en vervolgens openen vanaf elk apparaat dat op internet is aangesloten.
This is a simple and lightweight photo album for the web. Whether you're an amateur or professional photographer, or want to publish random holiday pics or cat pictures. Lychee just does what it says it does without any fuss.|Dit is een eenvoudig en licht fotoalbum voor internet. Of u nu een amateur- of professionele fotograaf bent of willekeurige vakantiefoto's of kattenfoto's wilt publiceren. Lychee doet gewoon wat het zegt, zonder gedoe.
This provides an webmail interface suitable for use on desktop or mobile clients and with built in support for encryption.|Dit biedt een webmailinterface die geschikt is voor gebruik op desktop- of mobiele clients en met ingebouwde ondersteuning voor codering.
This is a system for file synchronisation and also has many other plugins for calendar, videoconferencing, collaborative document editing and federated file sharing.|Dit is een systeem voor bestandssynchronisatie en heeft ook vele andere plug-ins voor kalender, videoconferenties, documentbewerking door samenwerking en federatief delen van bestanden.
This is a video hosting system which uses webtorrent to help distribute the files to or between clients.|Dit is een video-hostingsysteem dat webtorrent gebruikt om de bestanden naar of tussen clients te verspreiden.
Use the username 'root' and your usual password to log in as the administrator. You can then change settings as needed.|Gebruik de gebruikersnaam 'root' en uw gebruikelijke wachtwoord om u aan te melden als beheerder. U kunt vervolgens de instellingen naar behoefte wijzigen.
This is an OStatus and ActivityPub compatible social networking server which federates with other fediverse systems. It is high-performance and so is especially well suited for running on low power single board computers without much RAM.|Dit is een OSTatus- en ActivityPub-compatibele sociale netwerkserver die federeert met andere Fediverse-systemen. Het is high-performance en dus vooral geschikt voor gebruik op low-power computers met één bord zonder veel RAM.
Since Pleroma supports the same protocols, any Mastodon client for Android should work with it.|Aangezien Pleroma dezelfde protocollen ondersteunt, zou elke Mastodon-client voor Android ermee moeten werken.
This is a fork of GNU Social which includes some extra fixes and optimisations to improve performance. It federates with other fediverse servers, such as Pleroma or Mastodon.|Dit is een vork van GNU Social die enkele extra fixes en optimalisaties bevat om de prestaties te verbeteren. Het federeert met andere fediverse-servers, zoals Pleroma of Mastodon.
This is an encrypted pastebin, such that the server has zero knowledge of the content. It's intended for small amounts of text less than 32K in length. It's not intended for transfering large files, or for storing pastes for more than a day.|Dit is een versleutelde pastebin, zodanig dat de server geen kennis heeft van de inhoud. Het is bedoeld voor kleine hoeveelheden tekst met een lengte van minder dan 32K. Het is niet bedoeld voor het overbrengen van grote bestanden of voor het bewaren van pasta's gedurende meer dan een dag.
This is a web based user interface to the Matrix federated chat system. You will need to have already installed the Matrix app for this to work.|Dit is een webgebaseerde gebruikersinterface voor het Matrix federated chat-systeem. U moet de Matrix-app al hebben geïnstalleerd voordat dit werkt.
This is yet another chat system, but the server part of it isn't federated and so it's suitable for small private groups rather than for general public discussions.|Dit is nog een ander chatsysteem, maar het servergedeelte is niet federatief en dus geschikt voor kleine privégroepen in plaats van voor algemene openbare discussies.
Provides a similar capability to proprietary systems such as Dropbox, and also is well suited for use with low power single board computers. You can have one or more directories which are synchronized across your various laptops/desktops/devices, and this makes it hard for you to ever lose important files. Of course, you don't necessarily need to be running a server in order to use Syncthing, but if you do have a server which is always running then there's always at least one place to synchronize your files to or from.|Biedt een vergelijkbare mogelijkheid voor bedrijfseigen systemen zoals Dropbox, en is ook zeer geschikt voor gebruik met energiezuinige computers met één bord. U kunt een of meer mappen hebben die over uw verschillende laptops / desktops / apparaten worden gesynchroniseerd, waardoor het voor u moeilijk wordt om ooit belangrijke bestanden te verliezen. U hoeft natuurlijk niet per se een server te gebruiken om Syncthing te gebruiken, maar als u een server hebt die altijd actief is, is er altijd minstens één plaats waar u uw bestanden naartoe kunt synchroniseren.
On a Debian based system:|Op een op Debian gebaseerd systeem:
Or on Android search for the Syncthing app.|Of zoek op Android naar de Syncthing-app.
Using the settings button within the LibreServer web interface for the Syncthing app you can then paste in any IDs for other devices. They will then sync with your server.|Via de knop Instellingen in de LibreServer-webinterface voor de Syncthing-app kunt u vervolgens ID's voor andere apparaten plakken. Ze zullen dan synchroniseren met uw server.
A system for privately creating and sharing notes and images, similar to Evernote. It can be set up so that a small number of users on the server can share their notes in a convenient way. It doesn't have any web user interface, and you need to install native clients on mobile or laptop/desktop machines.|Een systeem voor het persoonlijk maken en delen van notities en afbeeldingen, vergelijkbaar met Evernote. Het kan zo worden ingesteld dat een klein aantal gebruikers op de server hun aantekeningen op een gemakkelijke manier kan delen. Het heeft geen webgebruikersinterface en u moet native clients installeren op mobiele of laptop / desktopcomputers.
Since the data at rest is stored in PGP encrypted format this is a good system to use in cases where security really is a critical factor.|Aangezien de gegevens in rust worden opgeslagen in een PGP-gecodeerd formaat, is dit een goed systeem om te gebruiken in gevallen waarin beveiliging echt een kritieke factor is.
Go to https://turtlapp.com/download and you'll then be able to download the appropriate app for your laptop or phone.|Ga naar https://turtlapp.com/download en je kunt dan de juiste app voor je laptop of telefoon downloaden.
Run the downloaded native app then at the bottom of the screen select "advanced settings" and enter your turl domain name, then register a new account. The password can be anything you choose, but since the client side encryption depends upon having a good password make it a long random string generated by a password manager such as KeepassX.|Voer de gedownloade native app uit en klik vervolgens onderaan het scherm op "geavanceerde instellingen" en voer uw turl-domeinnaam in en registreer vervolgens een nieuw account. Het wachtwoord kan alles zijn wat u kiest, maar aangezien de codering aan de kant van de client afhankelijk is van een goed wachtwoord, is dit een lange willekeurige reeks die wordt gegenereerd door een wachtwoordbeheerder zoals KeepassX.
You should then be able to log in and start using the app. You might also want to invite any other users of your LibreServer system to also sign up using the turtl domain name which you specified during installation.|U zou dan moeten kunnen inloggen en de app gaan gebruiken. U kunt ook andere gebruikers van uw LibreServer-systeem uitnodigen om u ook aan te melden met de turtl-domeinnaam die u tijdens de installatie hebt opgegeven.
Disabling new registrations|Nieuwe registraties uitschakelen
Once you have set up the server with however many users are needed you can then disable any new registrations by selecting Turtl on the LibreServer web interface and going to the settings screen.|Nadat u de server hebt ingesteld met hoeveel gebruikers u ook nodig heeft, kunt u nieuwe registraties uitschakelen door Turtl te selecteren in de webinterface van LibreServer en naar het instellingenscherm te gaan.
This is similar to Hubzilla but with a reduced range of features concentrating exclusively upon social networking with the latest version of the Zot protocol. Nomadic identity is supported, so to can export your channels and import them on other servers if necessary, without losing followers.|Dit is vergelijkbaar met Hubzilla, maar met een beperkt aantal functies die zich uitsluitend richten op sociale netwerken met de nieuwste versie van het Zot-protocol. Nomadische identiteit wordt ondersteund, zodat u uw kanalen kunt exporteren en indien nodig op andere servers kunt importeren, zonder uw volgers te verliezen.
Zap also has sophisticated privacy controls which enable you to decide exactly how you wish to interact with other users and what information of yours they can view.|Zap heeft ook geavanceerde privacymaatregelen waarmee u precies kunt bepalen hoe u met andere gebruikers wilt communiceren en welke informatie u kunt bekijken.
The first account you register will be the administrator user, and from there you can go to the admin settings and disable new registrations if needed.|Het eerste account dat u registreert, is de beheerder en vanaf daar kunt u naar de beheerinstellingen gaan en indien nodig nieuwe registraties uitschakelen.
To find other users to follow select "directory" from the drop down menu at the top right of the screen and set "this site only" to "no".|Om andere gebruikers te vinden die moeten volgen, selecteert u "map" in het vervolgkeuzemenu rechtsboven in het scherm en stelt u "deze site alleen" in op "nee".
There is an Android app available called Nomad.|Er is een Android-app beschikbaar die Nomad wordt genoemd.
End-to-end encrypted sync of calendar and contacts between devices|End-to-end gecodeerde synchronisatie van agenda en contacten tussen apparaten
Secure, end-to-end encrypted and journaled personal information cloud synchronization for Android and the desktop, supporting contacts and calendars|Veilige, end-to-end versleutelde en journaled cloud-synchronisatie van persoonlijke gegevens voor Android en de desktop, ter ondersteuning van contacten en kalenders
Nomadic social network server|Nomadische sociale netwerkserver
Zap is a full featured social network application running under the Zot6 protocol. It provides enhanced privacy modes and identity/content mirroring across multiple servers ("nomadic identity").|Zap is een complete sociale netwerktoepassing die wordt uitgevoerd onder het Zot6-protocol. Het biedt verbeterde privacymodi en identiteits- / inhoudspiegeling op meerdere servers ("nomadische identiteit").
Change background|Verander de achtergrond
Diagnostics|Diagnostics
Please wait while your app is installing|Even geduld terwijl uw app bezig is met installeren
The app could not be installed|De app kan niet worden geïnstalleerd
Add a new member|Voeg een nieuw lid toe
Kanban focussed on simplicity and minimalism|Kanban richtte zich op eenvoud en minimalisme
Emails, chat or social network posts will be blocked if they contain the following words or phrases|E-mails, chat- of sociale netwerkposten worden geblokkeerd als ze de volgende woorden of zinsdelen bevatten
Muted words|Gedempte woorden
Disk space is getting too low. Installation stopped.|Schijfruimte wordt te laag. Installatie gestopt.
Password changed|wachtwoord veranderd
Play media from any UPNP/DLNA device on your local network|Speel media af vanaf elk UPNP / DLNA-apparaat op uw lokale netwerk
This allows you to play media on any DLNA supporting device within your local network.|Hiermee kunt u media afspelen op elk DLNA-ondersteunend apparaat binnen uw lokale netwerk.
No Access Control|Geen toegangscontrole
DLNA doesn't have any access controls, so keep in mind that anyone with a mobile device or laptop within your local network is potentially able to play any media on the server. Hence this may not be suitable for situations where you want parental control over what media can be accessed.|DLNA heeft geen toegangscontrole, dus houd er rekening mee dat iedereen met een mobiel apparaat of laptop in uw lokale netwerk mogelijk alle media op de server kan afspelen. Daarom is dit misschien niet geschikt voor situaties waarin u ouderlijk toezicht wilt hebben over welke media toegankelijk zijn.
Adding Media|Media toevoegen
You can add media by selecting the settings button from the DLNA app.|U kunt media toevoegen door de knop Instellingen in de DLNA-app te selecteren.
Your homepage can also be accessed with a Tor browser on:|Uw startpagina kan ook worden geopend met een Tor-browser op:
Chat|Chat
Media|Media
Social|Social
Sync|Sync
Publishing|Publishing
Other|andere
Recommended Firefox Add-ons:|Aanbevolen Firefox-add-ons:
Change your default domain name|Verander uw standaard domeinnaam
Do you want to change your default domain name to:|Wilt u uw standaard domeinnaam wijzigen in:
rsync failed|rsync is mislukt
For most purposes Syncthing is an easier file synchronization system, but rsync is still a reliable solution if you prefer to do things the more traditional way or if you just want to create a mirror from an existing rsync server.|Voor de meeste doeleinden is Syncthing een eenvoudiger bestandssynchronisatiesysteem, maar rsync is nog steeds een betrouwbare oplossing als u de dingen liever op een meer traditionele manier doet of als u alleen een mirror van een bestaande rsync-server wilt maken.
Rsync is unencrypted but can be used via an onion address for transport security. If you are using it via your domain name then third parties will be able to see the content, but this may not matter if you are synchronizing already public files, such as GNU/Linux distro downloads.|Rsync is niet-versleuteld maar kan via een uienadres worden gebruikt voor transportbeveiliging. Als u het via uw domeinnaam gebruikt, zullen derden de inhoud kunnen zien, maar dit kan niet uit maken of u al openbare bestanden synchroniseert, zoals GNU / Linux distro-downloads.
Avoid using this for private data, unless you are exclusively using rsync via the onion address.|Gebruik dit niet voor privégegevens, tenzij u uitsluitend rsync gebruikt via het uienadres.
Creating a Mirror|Een spiegel maken
Select the Settings button then enter the domain and module name for the mirror. From then on synchronization will happen once per day.|Selecteer de knop Instellingen en voer vervolgens de domein- en modulenaam voor de spiegel in. Vanaf dan zal de synchronisatie eenmaal per dag plaatsvinden.
Local Sync|Lokale synchronisatie
If you created a mirror to your server you can then sync those files to other machines or devices on your local network as follows:|Als u een mirror voor uw server hebt gemaakt, kunt u die bestanden als volgt met andere machines of apparaten in uw lokale netwerk synchroniseren:
If "libreserver" doesn't work then you can substitute the local IP address of your server.|Als "libreserver" niet werkt, kunt u het lokale IP-adres van uw server vervangen.
Create a mirror of public files|Maak een mirror van openbare bestanden
The domain name could not be changed|De domeinnaam kan niet worden gewijzigd
This might be because you do not have ports 80 and 443 forwarded to the server.|Dit kan zijn omdat u poorten 80 en 443 niet hebt doorgestuurd naar de server.
Check the port forwarding settings on your internet router.|Controleer de poortdoorschakelingsinstellingen op uw internetrouter.
Please specify a domain name which will be used for your email or XMPP address.|Geef een domeinnaam op die voor uw e-mail- of XMPP-adres wordt gebruikt.
Please forward the following ports from your internet router:|Stuur alstublieft de volgende poorten door vanaf uw internetrouter:
Search for 'Barcode Scanner', then select 'install'|Zoek naar 'Barcode Scanner' en selecteer vervolgens 'installeren'
Download the DarkMessenger apk file via the link below, preferably using a Tor based browser, then install it|Download het DarkMessenger APK-bestand via de onderstaande link, bij voorkeur met behulp van een Tor-gebaseerde browser en installeer het vervolgens
Run DarkMessenger and the initial account setup will be shown. DarkMessenger only allows onion addresses to be used to create accounts|Voer DarkMessenger uit en de initiële accountinstellingen worden getoond. DarkMessenger staat alleen ui-adressen toe om accounts te maken
You can obtain your onion XMPP address from the Members section within the web interface, usually at http://libreserver/admin or http://libreserver.local/admin. If you can't easily copy and paste it into the account setup within DarkMessenger then you can use the barcode scanner on the QRcode displayed|U kunt uw ui XMPP-adres verkrijgen via het gedeelte Leden in de webinterface, meestal op http: // libreserver / admin of http: // libreserver.local/admin. Als u het niet gemakkelijk kunt kopiëren en in de accountconfiguratie in DarkMessenger kunt plakken, kunt u de streepjescodescanner op de weergegeven QRcode gebruiken
Enter the password which you stored during initial setup of the system and also the onion domain|Voer het wachtwoord in dat u hebt opgeslagen tijdens de eerste installatie van het systeem en ook het uiendomein
You should now be able to connect to your onion XMPP account and set an avatar image if necessary|Je zou nu in staat moeten zijn om verbinding te maken met je ui-XMPP-account en zo nodig een avatarafbeelding in te stellen
When sending or receiving pictures or other attachments for the first time you will need to accept the self-signed certificates. Select 'always' twice. This should only happen once per contact|Wanneer u voor de eerste keer foto's of andere bijlagen verzendt of ontvangt, moet u de zelfondertekende certificaten accepteren. Selecteer 'altijd' twee keer. Dit zou slechts één keer per contact mogen gebeuren
Under Settings/Expert you may want to change the automatic message deletion period. By default this is one day|Onder Instellingen / Expert wilt u wellicht de periode voor het verwijderen van automatische berichten wijzigen. Standaard is dit één dag
When setting up a group chat first ensure that you have separately confirmed two way messaging with each of the participants individually|Zorg er bij het instellen van een groepschat voor dat u afzonderlijk tweewegsberichten met elk van de deelnemers afzonderlijk hebt bevestigd
Enable strict TLS authentication between XMPP servers?|Schakel strikte TLS-verificatie tussen XMPP-servers in?
If you or other people are having difficulty joining multi-user chat then enabling this might help|Als u of andere mensen moeite hebben om deel te nemen aan multi-user chat, dan kan inschakelen hiervan helpen
Music can be uploaded using NextCloud. Install the app and then create a directory called 'Music'.|Muziek kan worden geüpload met behulp van NextCloud. Installeer de app en maak vervolgens een map met de naam 'Muziek'.
Drag your files into the Music directory and they will then become available to mpd.|Sleep uw bestanden naar de muziekmap en ze zullen dan beschikbaar zijn voor MPD.
Select search (magnifying glass icon) and search for 'MALP', then select 'install'|Selecteer zoeken (vergrootglaspictogram) en zoek naar 'MALP' en selecteer vervolgens 'installeren'
Open MALP and from the settings select Profiles|Open MALP en selecteer in de instellingen Profielen
Enter the following settings:|Voer de volgende instellingen in:
Save the settings by selecting the disk icon at the top right of the screen|Sla de instellingen op door het schijfpictogram in de rechterbovenhoek van het scherm te selecteren
You should now be able to connect to mpd on your server and select and play albums.|Je zou nu in staat moeten zijn om verbinding te maken met mpd op je server en albums te selecteren en af te spelen.
In a non-Tor browser navigate to http://libreserver:8250 or http://[server local IP address]:8250 and you should be able to play the selected album.|Ga in een niet-Tor-browser naar http: // libreserver: 8250 of http: // [server local IP address]: 8250 en je zou het geselecteerde album kunnen afspelen.
Setting up on the desktop|Instellen op het bureaublad
Install Sonata|Installeer Sonata
Run Sonata and enter the following settings:|Voer Sonata uit en voer de volgende instellingen in:
You should now be able to see your albums listed and be able to add them to the currently playing list.|U zou nu uw albums in de lijst moeten kunnen zien en ze aan de lijst kunnen toevoegen.
