About|Handla om
You can now go back to the initial Conversations app screen and start using it. You'll probably want to add contacts using the icon at the bottom right. For more information see the Conversations website (conversations.im) or subscribe to the chat group conversations@conference.siacs.eu|Du kan nu gå tillbaka till den ursprungliga dialogrutan Konversationer och börja använda den. Du kommer noga att lägga till kontakter med ikonen längst ner till höger. Mer information finns på Konversations webbplats (conversations.im) eller prenumerera på chattgruppen conversations@conference.siacs.eu
You can now log in with:|Du kan nu logga in med:
You can see upgrade progress|Du kan se uppgraderingsframsteg
You can use left and right cursor keys to move through pages|Du kan använda vänster och höger markörknappar för att flytta igenom sidor
You may also want to make another entry with the same settings but replacing tcp with udp.|Du kan också vilja göra en annan post med samma inställningar men ersätta tcp med udp.
You may now remove the USB drive|Du kan nu ta bort USB-enheten
You might have mistyped one of them|Du kanske har mistyped en av dem
You will see the translations file with some instructions at the top.|Du kommer att se översättningsfilen med några instruktioner högst upp.
Your password must be at least 8 characters in length and only use the characters a-z A-Z and 0-9|Ditt lösenord måste vara minst 8 tecken och använd endast tecknen a-z A-Z och 0-9
Zero knowledge pastebin|Nollkunskap pastebin
Theme|Tema
Light|Ljus
Dark|Mörk
Mail|Post
Clear|Klar
Send email through a proxy|Skicka e-post via en proxy
If you find that you can't send out email and that you get 'failed delivery' messages returned instead then you may be able to proxy sent emails through another server. Sometimes ISPs or companies provide an SMTP server which can do this.|Om du upptäcker att du inte kan skicka e-post och då du får felmeddelanden, kan du skicka proxy via e-post via en annan server. Ibland lever leverantörer av företag en SMTP-server som kan göra detta.
Failed to install. For details see admin/applog.txt|Det gick inte att installera. För detaljer, se admin/applog.txt
Installed successfully|Installeras framgångsrikt
pihole|pihole
Unlike browser based ad blockers, pihole works at the domain name resolution level to block domains known to privide the ads appearing in web pages.|Till skillnad från webbläsarbaserade annonsblockerare fungerar pihole på domännamnets upplösningsnivå för att blockera domäner som är kända för att privide de annonser som visas på webbsidor.
Set your DNS IP address to the one shown and many ads will get blocked even before they're delivered to your laptop or mobile device. This can save a lot of bandwidth and generally speed up the loading of websites.| Ange din DNS-IP-adress till den som visas och många annonser kommer att blockeras redan innan de levereras till din bärbara eller mobila enhet. Detta kan spara mycket bandbredd och generellt påskynda laddningen av webbplatser.
Change DNS on your internet router| Ändra DNS på din Internet-router
If your internet router allows you to change the DNS IP address then this is the best way to use pihole because it will then provide coverage for all of the devices and computers in your home.|Om din internetrouter låter dig ändra DNS-IP-adressen är det här det bästa sättet att använda pihole eftersom det då kommer att ge täckning för alla enheter och datorer i ditt hem.
Change DNS on individual devices|Ändra DNS på enskilda enheter
If you can't change your internet router's DNS then you can do that on individual GNU/Linux systems as follows:| Om du inte kan ändra din Internet-routers DNS kan du göra det på enskilda GNU/Linux-system enligt följande:
Remove or comment out any existing nameservers and add one with the IP address shown for the pihole app. Something like:|Ta bort eller kommentera eventuella befintliga namnservrar och lägg till en med IP-adressen som visas för pihole-appen. Något som:
Then save and exit and prevent the file from being automatically changed with:| Spara sedan och avsluta och förhindra att filen ändras automatiskt med:
If you're running the standard version of LibreServer (not the onion version) then you may need to modify your hosts file to access your own domain.|Om du kör standardversionen av LibreServer (inte lökversionen) kan du behöva ändra din hosts-fil för att komma åt din egen domän.
Then add something like:|Lägg sedan till något som:
This only works when you're within your home network, so if you're outside of your home then undo the changes made above.|Detta fungerar bara när du är i ditt hemnätverk, så om du är utanför ditt hem, ångra du de ändringar som gjorts ovan.
The Pi-hole is a DNS sinkhole that protects your devices from unwanted content, without installing any client-side software.|Pi-hålet är ett DNS-synhål som skyddar dina enheter från oönskade innehåll utan att installera någon programvara på klientsidan.
Search|Sök
removed|avlägsnas
To get email working you will need to forward some ports. Email using your onion address will work anyway, so long as you are contacting other onion based email addresses.|För att få e-postarbeten måste du vidarebefordra vissa portar. E-post med din lökadress fungerar ändå, så länge du kontaktar andra lökbaserade e-postadresser.
Forward ports 25, 587 and 465 from your internet router|Vidarekoppla portar 25, 587 och 465 från din internetrouter
To access cryptpad you'll need to use a Tor browser. Navigate to the URL and enable javascript for the site under the NoScript icon. The screen will be blank for a few seconds while it's downloading the application into your browser.|För att komma åt krypteringsrutan måste du använda en Tor-webbläsare. Navigera till webbadressen och aktivera javascript för webbplatsen under NoScript-ikonen. Skärmen blir tom i några sekunder medan programmet laddas ned i webbläsaren.
Cryptpad is an almost peer-to-peer application. No data is stored on the server, which only does minimal orchestration between the clients. If an adversary subsequently obtains the server they still learn nothing.|Cryptpad är en nästan peer-to-peer-applikation. Ingen data lagras på servern, vilket bara gör minimal orkestration mellan klienterna. Om en motståndare därefter får servern lär de fortfarande ingenting.
Authentication Token|Autentiseringstoken
This is only needed if you're using FreeDNS. Otherwise you can leave it blank.|Detta behövs bara om du använder FreeDNS. Annars kan du lämna den tom.
On the site where you obtained your domain name set up some custom nameservers as follows:|På den webbplats där du fått ditt domännamn, ställer du in några anpassade namnvisare enligt följande:
On the FreeDNS site go to the "Dynamic DNS" section and make sure that "link updates of the same IP together" is set to ON.|På FreeDNS-sidan går du till avsnittet "Dynamisk DNS" och ser till att "länkuppdateringar av samma IP tillsammans" är inställda på ON.
For your main domain name select "quick cron example" and then your authentication token is the random string on the last line between the ? and = characters.|För ditt huvuddomännamn välj "quick cron example" och sedan är din autentiseringstoken den slumpmässiga strängen på den sista raden mellan? Och = tecknen.
Your current IP address is shown at the top of the Dynamic DNS screen of the LibreServer user interface. You can use the "Mass Mod" feature at the top of the "Subdomains" part of the FreeDNS site to set all of your subdomains to that IP address.|Du kan använda funktionen "Mass Mod" längst upp i delen "Underdomäner" på FreeDNS-webbplatsen för att ställa in alla dina underdomäner till det IP-adress.
Select the MX entry for your main domain and change the destination to 10:mydomainname rather than 10:mail.mydomainname.|Välj MX-posten för din huvuddomän och ändra destinationen till 10: mydomaninname i stället för 10: mail.mydomainname.
Enter your FreeDNS login details and the authentication token on the Dynamic DNS screen of the LibreServer user interface.|Ange dina FreeDNS-inloggningsuppgifter och autentiseringstoken på den dynamiska DNS-skärmen i LibreServer-användargränssnittet.
To make a playlist insert a USB drive containing audio files in a directory called playlist, add a description below and then select Update|Om du vill göra en spellista infogar en USB-enhet som innehåller ljudfiler i en katalog som heter spellista, lägg till en beskrivning nedan och välj sedan Uppdatera
To add music copy it to a directory called Music on a USB drive then plug it into your server and select Update|För att lägga till musik kopiera den till en katalog med namnet Musik på en USB-enhet och anslut den till din server och välj Uppdatera
This is a wiki which stores its content in text files. Having no database makes maintaining it simpler, and it's not tied to any particular domain name so you can easily copy the files to a different domain if you need to.|Detta är en wiki som lagrar innehållet i textfiler. Att ha ingen databas gör det enklare att hålla det och det är inte knutet till ett visst domännamn så att du enkelt kan kopiera filerna till en annan domän om du behöver.
Provides an easy and private way to sync calendar and contacts between devices.|Ger ett enkelt och privat sätt att synkronisera kalender och kontakter mellan enheter.
Using on mobile|Används på mobilen
The user interface is a little misleading. Make sure that you log in with your username, not your email addres.|Användargränssnittet är lite vilseledande. Se till att du loggar in med ditt användarnamn, inte din e-postadress.
Also choose the advanced option and enter the subdomain that you installed etesync on.|Välj också det avancerade alternativet och ange den underdomän som du installerade etesync på.
This is a well known system for real time collaborative editing of documents. Just log in, choose a document title and then edit. Different users will appear in different colours, and can also chat in the sidebar. This is installed as a private system in which only users on your LibreServer server will be able to create and edit documents, so it's not open to any random users on the internet.|Detta är ett välkänt system för samarbetande redigering av dokument i realtid. Bara logga in, välj en dokumenttitel och redigera sedan. Olika användare kommer att visas i olika färger och kan också chatta i sidofältet. Detta är installerat som ett privat system där endast användare på din LibreServer-server kan skapa och redigera dokument, så det är inte öppet för slumpmässiga användare på internet.
This is a federated social networking system. It can federate with other popular fediverse systems.|Detta är ett federerat socialt nätverkssystem. Det kan federera med andra populära fediverse-system.
This is a blogging system which has no database and only uses text files for storage.|Detta är ett bloggsystem som inte har någon databas och använder endast textfiler för lagring.
This is a git hosting system. It's very similar to Github in appearance and use, is lightweight and so is well suited for use on low power ARM servers.|Detta är ett git-värdsystem. Det liknar Github i utseende och användning, är lätt och passar så bra för ARM-servrar med låg effekt.
This is a web publishing and social network system which includes wiki, web pages, photo albums and file storage. It also has nomadic identity allowing you to easily move your account between different servers and privacy controls which allow you to define who can see what content.|Detta är ett webbpublicerings- och socialt nätverkssystem som innehåller wiki, webbsidor, fotoalbum och fillagring. Det har också nomadisk identitet som gör att du enkelt kan flytta ditt konto mellan olika servrar och integritetsregler som gör att du kan definiera vem som kan se vilket innehåll som helst.
Kanbans are one way of managing projects. They're traditionally used in businesses but can also be useful for personal TODO lists or within open source or DIY projects. If you have a list of things which need to be done and want to keep track of progress then this provides a way to do that.|Kanbans är ett sätt att hantera projekt. De används traditionellt i företag men kan också vara användbara för personliga TODO-listor eller inom öppen källkod eller DIY-projekt. Om du har en lista över saker som behöver göras och vill hålla koll på framsteg så ger detta ett sätt att göra det.
The default login is username "admin" and the login password which you usually use for the web interface.|Standardinloggningen är användarnamnet "admin" och lösenordet för inloggning som du brukar använda för webbgränssnittet.
If you're using a Tor browser then you may need to allow javascript for the site by selecting the NoScript icon.|Om du använder en Tor-webbläsare kan du behöva tillåta javascript för webbplatsen genom att välja NoScript-ikonen.
Extra users can be added from the drop down menu at the top right of the screen, under "Users management".|Extra användare kan läggas till från nedrullningsmenyn längst upp till höger på skärmen under "Användarhantering".
This enables you to store your music on the LibreServer server and then access it from any internet connected device.|Detta gör att du kan lagra din musik på LibreServer-servern och sedan komma åt den från vilken internetanslutning som helst.
This is a simple and lightweight photo album for the web. Whether you're an amateur or professional photographer, or want to publish random holiday pics or cat pictures. Lychee just does what it says it does without any fuss.|Detta är ett enkelt och lättfotoalbum för webben. Oavsett om du är en amatör eller professionell fotograf, eller vill publicera slumpmässiga semesterbilder eller kattbilder. Lychee gör precis vad det säger det gör utan några väsen.
This provides an webmail interface suitable for use on desktop or mobile clients and with built in support for encryption.|Detta ger ett webbmailgränssnitt som är lämpligt för användning på stationära eller mobila klienter och med inbyggt stöd för kryptering.
This is a system for file synchronisation and also has many other plugins for calendar, videoconferencing, collaborative document editing and federated file sharing.|Detta är ett system för filsynkronisering och har också många andra plugins för kalender, videokonferenser, samarbetande dokumentredigering och federerad fildelning.
This is a video hosting system which uses webtorrent to help distribute the files to or between clients.|Detta är ett videosystem som använder webtorrent för att hjälpa till att distribuera filerna till eller mellan klienter.
Use the username 'root' and your usual password to log in as the administrator. You can then change settings as needed.|Använd användarnamnet 'root' och ditt vanliga lösenord för att logga in som administratör. Du kan sedan ändra inställningar efter behov.
This is an OStatus and ActivityPub compatible social networking server which federates with other fediverse systems. It is high-performance and so is especially well suited for running on low power single board computers without much RAM.|Det här är en OStatus och ActivityPub-kompatibel social nätverksserver som förbinder sig med andra fediverse-system. Det är högpresterande och är särskilt lämpat för att köra på enkla datorer med låg effekt utan mycket RAM.
Since Pleroma supports the same protocols, any Mastodon client for Android should work with it.|Eftersom Pleroma stöder samma protokoll, borde en Mastodon-klient för Android arbeta med den.
This is a fork of GNU Social which includes some extra fixes and optimisations to improve performance. It federates with other fediverse servers, such as Pleroma or Mastodon.|Detta är en gaffel av GNU Social som innehåller några extra fixar och optimeringar för att förbättra prestanda. Den förbinder sig med andra fediverse-servrar, som Pleroma eller Mastodon.
This is an encrypted pastebin, such that the server has zero knowledge of the content. It's intended for small amounts of text less than 32K in length. It's not intended for transfering large files, or for storing pastes for more than a day.|Detta är en krypterad pastebin, så att servern har ingen kunskap om innehållet. Den är avsedd för små mängder text mindre än 32K i längd. Det är inte avsett att överföra stora filer, eller för att lagra pastor i mer än en dag.
This is a web based user interface to the Matrix federated chat system. You will need to have already installed the Matrix app for this to work.|Detta är ett webbaserat användargränssnitt till det matrisförbundna chattsystemet. Du måste redan ha installerat Matrix-appen för att detta ska fungera.
This is yet another chat system, but the server part of it isn't federated and so it's suitable for small private groups rather than for general public discussions.|Det här är ännu ett chatt system, men serverns del av det är inte federerat och så det är lämpligt för små privata grupper snarare än för allmänna diskussioner.
Provides a similar capability to proprietary systems such as Dropbox, and also is well suited for use with low power single board computers. You can have one or more directories which are synchronized across your various laptops/desktops/devices, and this makes it hard for you to ever lose important files. Of course, you don't necessarily need to be running a server in order to use Syncthing, but if you do have a server which is always running then there's always at least one place to synchronize your files to or from.|Ger liknande möjligheter till proprietära system som Dropbox, och är också väl lämpad för användning med enkla datorer med låg effekt. Du kan ha en eller flera kataloger som är synkroniserade över olika bärbara datorer / skrivbord / enheter, och det gör det svårt för dig att någonsin förlora viktiga filer. Självklart behöver du inte nödvändigtvis köra en server för att kunna använda Syncthing, men om du har en server som alltid körs finns det alltid minst en plats för att synkronisera dina filer till eller från.
On a Debian based system:|På ett Debian-baserat system:
Or on Android search for the Syncthing app.|Eller på Android-sökning efter Syncthing-appen.
Using the settings button within the LibreServer web interface for the Syncthing app you can then paste in any IDs for other devices. They will then sync with your server.|Genom att använda inställningsknappen i LibreServer-webbgränssnittet för Syncthing-appen kan du sedan klistra in några ID-skivor för andra enheter. De kommer då att synkronisera med din server.
A system for privately creating and sharing notes and images, similar to Evernote. It can be set up so that a small number of users on the server can share their notes in a convenient way. It doesn't have any web user interface, and you need to install native clients on mobile or laptop/desktop machines.|Ett system för privat skapande och delning av anteckningar och bilder, som liknar Evernote. Det kan ställas in så att ett litet antal användare på servern kan dela sina anteckningar på ett bekvämt sätt. Det har inget webbgränssnitt, och du behöver installera inbyggda klienter på mobila eller bärbara / stationära maskiner.
Since the data at rest is stored in PGP encrypted format this is a good system to use in cases where security really is a critical factor.|Eftersom data i vila är lagrade i PGP-krypterat format är detta ett bra system att använda i fall där säkerhet verkligen är en kritisk faktor.
Go to https://turtlapp.com/download and you'll then be able to download the appropriate app for your laptop or phone.|Gå till https://turtlapp.com/download och du kan då hämta den lämpliga appen till din bärbara dator eller telefon.
Run the downloaded native app then at the bottom of the screen select "advanced settings" and enter your turl domain name, then register a new account. The password can be anything you choose, but since the client side encryption depends upon having a good password make it a long random string generated by a password manager such as KeepassX.|Kör den nedladdade inbyggda appen och klicka sedan på längden på skärmen välj "advanced settings" och skriv in ditt turl domännamn, registrera sedan ett nytt konto. Lösenordet kan vara allt du väljer, men eftersom klientsidan kryptering beror på att du har ett bra lösenord gör det en lång slumpmässig sträng som genereras av en lösenordshanterare som KeepassX.
You should then be able to log in and start using the app. You might also want to invite any other users of your LibreServer system to also sign up using the turtl domain name which you specified during installation.|Då ska du kunna logga in och börja använda appen. Du kanske också vill bjuda in andra användare av ditt LibreServer-system för att även registrera dig med hjälp av det turtl-domännamn som du angav under installationen.
Disabling new registrations|Inaktiverar nya registreringar
Once you have set up the server with however many users are needed you can then disable any new registrations by selecting Turtl on the LibreServer web interface and going to the settings screen.|När du har konfigurerat servern med många användare behöver du då avaktivera nya registreringar genom att välja Turtl på LibreServer webbgränssnitt och gå till inställningsskärmen.
This is similar to Hubzilla but with a reduced range of features concentrating exclusively upon social networking with the latest version of the Zot protocol. Nomadic identity is supported, so to can export your channels and import them on other servers if necessary, without losing followers.|Detta liknar Hubzilla men med ett minskat utbud av funktioner som uteslutande koncentrerar sig på socialt nätverk med den senaste versionen av Zot-protokollet. Nomadisk identitet stöds, så att du kan exportera dina kanaler och importera dem på andra servrar om det behövs, utan att förlora följare.
The first account you register will be the administrator user, and from there you can go to the admin settings and disable new registrations if needed.|Det första kontot du registrerar kommer att vara administratörs användare, och därifrån kan du gå till administratörsinställningarna och inaktivera nya registreringar om det behövs.
To find other users to follow select "directory" from the drop down menu at the top right of the screen and set "this site only" to "no".|För att hitta andra användare att följa välj "katalog" från rullgardinsmenyn längst upp till höger på skärmen och sätt bara "den här sidan" till "nej".
There is an Android app available called Nomad.|Det finns en Android-app tillgänglig som heter Nomad.
End-to-end encrypted sync of calendar and contacts between devices|End-to-end krypterad synkronisering av kalender och kontakter mellan enheter
Secure, end-to-end encrypted and journaled personal information cloud synchronization for Android and the desktop, supporting contacts and calendars|Säker, end-to-end krypterad och journaliserad personlig information cloud synkronisering för Android och skrivbordet, stödja kontakter och kalendrar
Nomadic social network server|Nomadisk social nätverksserver
Change background|Ändra bakgrund
Diagnostics|Diagnostik
Please wait while your app is installing|Var god vänta medan appen installeras
The app could not be installed|Appen kunde inte installeras
Add a new member|Lägg till en ny medlem
Kanban focussed on simplicity and minimalism|Kanban fokuserade på enkelhet och minimalism
Emails, chat or social network posts will be blocked if they contain the following words or phrases|Emails, chatt eller sociala nätverkstjänster blockeras om de innehåller följande ord eller fraser
Muted words|Dämpade ord
Disk space is getting too low. Installation stopped.|Diskutrymme blir för lågt. Installation stoppad.
Password changed|lösenordet ändrat
Play media from any UPNP/DLNA device on your local network|Spela media från någon UPNP / DLNA-enhet på ditt lokala nätverk
This allows you to play media on any DLNA supporting device within your local network.|Det här låter dig spela media på en DLNA-supportenhet i ditt lokala nätverk.
No Access Control|Ingen åtkomstkontroll
DLNA doesn't have any access controls, so keep in mind that anyone with a mobile device or laptop within your local network is potentially able to play any media on the server. Hence this may not be suitable for situations where you want parental control over what media can be accessed.|DLNA har inga åtkomstkontroller, så kom ihåg att alla med en mobil enhet eller bärbar dator inom ditt lokala nätverk kan spela upp media på servern. Därför kanske det inte är lämpligt för situationer där du vill ha föräldrakontroll över vilka medier som kan nås.
Adding Media|Lägga till media
You can add media by selecting the settings button from the DLNA app.|Du kan lägga till media genom att välja inställningsknappen från DLNA-appen.
Your homepage can also be accessed with a Tor browser on:|Din hemsida kan också nås med en Tor-webbläsare på:
Chat|Chat
Media|media
Social|Social
Sync|Sync
Publishing|Publishing
Other|Andra
Recommended Firefox Add-ons:|Rekommenderade Firefox-tillägg:
Change your default domain name|Ändra ditt domännamn
Do you want to change your default domain name to:|Vill du ändra ditt domännamn till:
rsync failed|rsync misslyckades
For most purposes Syncthing is an easier file synchronization system, but rsync is still a reliable solution if you prefer to do things the more traditional way or if you just want to create a mirror from an existing rsync server.|För de flesta syften är Syncthing ett enklare filsynkroniseringssystem, men rsync är fortfarande en pålitlig lösning om du föredrar att göra saker på det mer traditionella sättet eller om du bara vill skapa en spegel från en befintlig rsync-server.
Rsync is unencrypted but can be used via an onion address for transport security. If you are using it via your domain name then third parties will be able to see the content, but this may not matter if you are synchronizing already public files, such as GNU/Linux distro downloads.|Rsync är okrypterad men kan användas via en lökadress för transportsäkerhet. Om du använder det via ditt domännamn kommer tredje parter att kunna se innehållet, men det kan inte hända att du synkroniserar redan offentliga filer, som t.ex. GNU / Linux distro-nedladdningar.
Avoid using this for private data, unless you are exclusively using rsync via the onion address.|Undvik att använda detta för privata uppgifter, såvida du inte använder rsync via lökadressen.
Creating a Mirror|Skapa en spegel
Select the Settings button then enter the domain and module name for the mirror. From then on synchronization will happen once per day.|Välj knappen Inställningar och ange domännamnet och modulnamnet för spegeln. Från och med då händer synkronisering en gång per dag.
Local Sync|Lokal synkronisering
If you created a mirror to your server you can then sync those files to other machines or devices on your local network as follows:|Om du skapade en spegel till din server kan du sedan synkronisera dessa filer till andra maskiner eller enheter på ditt lokala nätverk enligt följande:
If "libreserver" doesn't work then you can substitute the local IP address of your server.|Om "libreserver" inte fungerar kan du ersätta din servers lokala IP-adress.
Create a mirror of public files|Skapa en spegel av offentliga filer
The domain name could not be changed|Domännamnet kunde inte ändras
This might be because you do not have ports 80 and 443 forwarded to the server.|Det här kan bero på att du inte har portar 80 och 443 vidarebefordrad till servern.
Check the port forwarding settings on your internet router.|Kontrollera inställningarna för port vidarebefordran på din internet router.
Please specify a domain name which will be used for your email or XMPP address.|Ange ett domännamn som ska användas för din e-postadress eller XMPP-adress.
Please forward the following ports from your internet router:|Vänligen skicka följande portar från din internetrouter:
Search for 'Barcode Scanner', then select 'install'|Sök efter 'Streckkodsläsare', välj sedan 'installera'
Download the DarkMessenger apk file via the link below, preferably using a Tor based browser, then install it|Hämta filen DarkMessenger apk via länken nedan, helst genom att använda en Tor-baserad webbläsare och installera den sedan
Run DarkMessenger and the initial account setup will be shown. DarkMessenger only allows onion addresses to be used to create accounts|Kör DarkMessenger och inställningen för första kontot visas. DarkMessenger tillåter bara lökadresser att användas för att skapa konton
You can obtain your onion XMPP address from the Members section within the web interface, usually at http://libreserver/admin or http://libreserver.local/admin. If you can't easily copy and paste it into the account setup within DarkMessenger then you can use the barcode scanner on the QRcode displayed|Du kan få din lök-XMPP-adress från avsnittet Medlemmar i webbgränssnittet, vanligtvis på http: // libreserver / admin eller http: //libreserver.local/admin. Om du inte enkelt kan kopiera och klistra in den i kontoinställningen inom DarkMessenger kan du använda streckkodsläsaren på QRcode som visas
Enter the password which you stored during initial setup of the system and also the onion domain|Ange lösenordet som du lagrade under första installationen av systemet och även på lökdomänen
You should now be able to connect to your onion XMPP account and set an avatar image if necessary|Du borde nu kunna ansluta till ditt lök XMPP-konto och ställa in en avatarbild om det behövs
When sending or receiving pictures or other attachments for the first time you will need to accept the self-signed certificates. Select 'always' twice. This should only happen once per contact|När du skickar eller tar emot bilder eller andra bilagor för första gången måste du acceptera de självsignerade certifikaten. Välj "alltid" två gånger. Detta bör bara hända en gång per kontakt
Under Settings/Expert you may want to change the automatic message deletion period. By default this is one day|Under Inställningar / Expert kanske du vill ändra den automatiska meddelandestiden. Som standard är det en dag
When setting up a group chat first ensure that you have separately confirmed two way messaging with each of the participants individually|När du konfigurerar en gruppchatt måste du först försäkra dig om att du separat har bekräftat tvåvägsmeddelanden med var och en av deltagarna individuellt
Enable strict TLS authentication between XMPP servers?|Aktivera strikt TLS-autentisering mellan XMPP-servrar?
If you or other people are having difficulty joining multi-user chat then enabling this might help|Om du eller andra personer har problem med att bli medlem i flera användare kan det hända att det här hjälper
Music can be uploaded using Nextcloud. Install the app and then create a directory called 'Music'.|Musik kan laddas upp med Nextcloud. Installera appen och skapa sedan en katalog som heter "Musik".
Drag your files into the Music directory and they will then become available to mpd.|Dra dina filer till musikkatalogen och de kommer då att bli tillgängliga för mpd.
Select search (magnifying glass icon) and search for 'MALP', then select 'install'|Välj sökning (förstoringsglasikonen) och sök efter "MALP", välj sedan "installera"
Open MALP and from the settings select Profiles|Öppna MALP och välj Profiler från inställningarna
Enter the following settings:|Ange följande inställningar:
Save the settings by selecting the disk icon at the top right of the screen|Spara inställningarna genom att välja diskikonen längst upp till höger på skärmen
You should now be able to connect to mpd on your server and select and play albums.|Du borde nu kunna ansluta till mpd på din server och välja och spela album.
In a non-Tor browser navigate to http://libreserver:8250 or http://[server local IP address]:8250 and you should be able to play the selected album.|I en icke-Tor-webbläsare navigera till http: // libreserver: 8250 eller http: // [server lokal IP-adress]: 8250 och du ska kunna spela det valda albumet.
Setting up on the desktop|Ställa in på skrivbordet
Install Sonata|Installera Sonata
Run Sonata and enter the following settings:|Kör Sonata och ange följande inställningar:
You should now be able to see your albums listed and be able to add them to the currently playing list.|Du borde nu kunna se dina album listade och kunna lägga till dem i den aktuella spellistan.
In a non-Tor browser navigate to http://libreserver:8250 or http://[server local IP address]:8250 and you should be able to play the selected album.|I en icke-Tor-webbläsare navigera till http: // libreserver: 8250 eller http: // [server lokal IP-adress]: 8250 och du ska kunna spela det valda albumet.
Select your music file format:|Välj ditt musikfilformat:
pixelfed allow new registrations|pixelfed tillåter nya registreringar
Groceries and household management|Livsmedel och hushållsförvaltning
Organization|Organisation
VPN domain or IP address:|VPN-domän eller IP-adress:
VPN public key:|VPN public key:
Public key for this server:|Offentlig nyckel för den här servern:
Public keys for the laptops or devices that you wish to be able to use this server to connect to the internet.|Offentliga nycklar för de bärbara datorer eller enheter som du vill kunna använda den här servern för att ansluta till internet.
Network|Nätverk
Set your coordinates on the map|Ange dina koordinater på kartan
Longitude:|Longitud:
Latitude:|Latitud:
Join|Ansluta sig
Docs|Dokument
Community network map is being generated|Gemenskapens nätverkskarta genereras
Please wait|Vänta
IP address (optional):|IP-adress (tillval):
Export|Exportera
Add a new community network node|Lägg till ett nytt nätverksknutarn för nätverk
Remove a community network node|Ta bort ett nätverksknutarn för samhället
WARNING: Only change this if you know what you are doing. Selecting the wrong mesh protocol may make your server disappear from the network, and be difficult to recover|VARNING: Ändra bara detta om du vet vad du gör. Om du väljer fel nätverksprotokoll kan din server försvinna från nätverket och vara svår att återställa
WARNING: Only change this if you know what you are doing. Setting an incorrect IP address or gateway may cause your server to become inaccessible, and may be difficult to recover|VARNING: Ändra bara detta om du vet vad du gör. Om du anger en felaktig IP-adress eller gateway kan din server bli oåtkomlig, och det kan vara svårt att återställa
Choose your network:|Välj ditt nätverk:
Language is being changed|Språk ändras
Community Network|Gemenskapsnätverket
Theme is being changed|Teman ändras
Install a new app|Installera en ny app
Restore APPNAME from backup?|Återställ APPNAME från säkerhetskopiering?
Add or remove feeds|Lägg till eller ta bort flöden
Enter an RSS feed URL to add or remove. The domain name is enough for removals.|Ange en RSS-feedadress för att lägga till eller ta bort. Domännamnet är tillräckligt för flyttningar.
Show onion address|Visa lökadress
Multi User Dungeon from the era of Welsh mainframe computing|Multi User Dungeon från tiden för welsh mainframe computing
Forward the UDP port 5100 from your internet router|Vidarebefordra UDP-porten 5100 från din internetrouter
Since this app only uses the UDP protocol it won't work via an onion address. If you are running the onion only version of LibreServer then use its local IP address (usually 192.168.1.x) to connect to the game on the above port.|Eftersom den här appen bara använder UDP-protokollet fungerar den inte via en lökadress. Om du kör löken bara versionen av LibreServer använder du dess lokala IP-adress (vanligtvis 192.168.1.x) för att ansluta till spelet på ovanstående port.
Near infinite world block sandbox game|Nära oändlig värld block sandbox spel
Federation List|Federationslista
Add or remove the domain names for instances with whom you wish to federate. Don't include your own domain names.|Lägg till eller ta bort domännamnen för instanser med vilka du vill federera. Ta inte med dina egna domännamn.
Notify via|Meddela via
Receive admin notifications|Få administratörsmeddelanden
New calendar event|Ny kalenderhändelse
New direct message|Nytt direktmeddelande
New reply|Nytt svar
New shared item|Nytt delat objekt
New follow request|Ny följningsförfrågan
Number of connections on HTTP port is high|Antalet anslutningar på HTTP-porten är stort
Number of connections on HTTPS port is high|Antalet anslutningar på HTTPS-porten är stort
Cryptpad allow new signups|Cryptpad tillåter nya registreringar
Name of the Dungeon Master|Dungeon Master-namn
Message Of The Day|Dagens meddelande
port|nätverksport
Server Password|Server lösenord
DNS over TLS|DNS över TLS
IP Address|IP-adress
New git patch|Ny git patch
liked your post|gillade ditt inlägg
IRC Password|IRC-lösenord
Reaction by|Reaktion av
ssh connections too high|ssh-anslutningar för höga
