About|Σχετικά με
Secure realtime collaboration with docs, presentations, drawing and voting. Documents are ephemeral and unless you save them will be deleted when you close the browser.|Εξασφαλίστε συνεργασία σε πραγματικό χρόνο με έγγραφα, παρουσιάσεις, σχεδίαση και ψηφοφορία. Τα έγγραφα είναι εφήμερα και εκτός εάν τα αποθηκεύσετε θα διαγραφούν όταν κλείσετε το πρόγραμμα περιήγησης.
Secure Shell|Secure Shell
Select|Επιλέγω
Select 'Apply' and 'Ok', then on the menu 'Server' and 'Connect'.|Επιλέξτε 'Apply' και 'Ok', στη συνέχεια στο μενού 'Server' και 'Connect'.
Select 'Next' to create the account. If eveything is working after a couple of minutes you should see the account status change to 'online' in green|Επιλέξτε "Επόμενο" για να δημιουργήσετε το λογαριασμό. Εάν το eveything λειτουργεί μετά από λίγα λεπτά, θα πρέπει να δείτε την αλλαγή της κατάστασης του λογαριασμού σε "online" με πράσινο χρώμα
Select search (magnifying glass icon) and search for 'Orbot' (not the legacy version), then select 'install'|Επιλέξτε αναζήτηση (με το μεγεθυντικό φακό) και αναζητήστε το 'Orbot' (όχι την έκδοση παλαιού τύπου) και, στη συνέχεια, επιλέξτε 'install'
Select the 'translate' button. You will see a new screen with English text on the left and translated text on the right.|Επιλέξτε το κουμπί 'μετάφραση'. Θα δείτε μια νέα οθόνη με αγγλικό κείμενο στα αριστερά και μεταφρασμένο κείμενο στα δεξιά.
Select the Autojoin channels tab, click Add and enter #libreserver as the channel name.|Επιλέξτε την καρτέλα "Αυτόματη σύνδεση καναλιών", κάντε κλικ στην επιλογή "Προσθήκη" και εισάγετε #libreserver ως όνομα καναλιού.
Select the entry within the servers box, then enter ircaddress.onion/6697 or mydomainname/6697 and press Enter.|Επιλέξτε την καταχώρηση μέσα στο πλαίσιο διακομιστών και, στη συνέχεια, πληκτρολογήστε ircaddress.onion/6697 ή mydomainname/6697 και πατήστε Enter.
Select the wiki button at the bottom of the screen, next to pages, to enable or disable editing.|Επιλέξτε το κουμπί wiki στο κάτω μέρος της οθόνης, δίπλα στις σελίδες, για να ενεργοποιήσετε ή να απενεργοποιήσετε την επεξεργασία.
Selecting the server by pressing on it then connects you to the server so that you can chat with other connected users|Επιλέγοντας τον διακομιστή πιέζοντας το στη συνέχεια θα σας συνδέσει στο διακομιστή έτσι ώστε να μπορείτε να συνομιλήσετε με άλλους συνδεδεμένους χρήστες
Serbian|Σέρβος
Setting up on a laptop|Εγκατάσταση σε φορητό υπολογιστή
Setting up on Android|Ρύθμιση στο Android
Setting up with an Android phone|Ρύθμιση με τηλέφωνο Android
Settings|Ρυθμίσεις
Setup on Android|Ρύθμιση στο Android
Shortcode|Σύντομος κωδικός
Shutdown|ΤΕΡΜΑΤΙΣΜΟΣ ΛΕΙΤΟΥΡΓΙΑΣ
Shutting down|Κλείνοντας
Simple kanban|Απλή kanban
Simple Markdown blogging|Απλό blogging στο Markdown
Simple notes|Απλές σημειώσεις
Slovak|Σλοβάκος
Slovenian|Σλοβενικά
Somali|Σομαλικά
Spanish (International)|Ισπανικά (Διεθνής)
SSH access is disabled|Η πρόσβαση SSH είναι απενεργοποιημένη
SSH access is enabled|Η πρόσβαση SSH είναι ενεργοποιημένη
Stream Description|Περιγραφή ροής
Streaming media|Streaming media
Submit|υποβάλλουν
Submitting your translations to the LibreServer project|Υποβάλετε τις μεταφράσεις σας στο έργο LibreServer
Swedish|Σουηδικά
System Monitor|Παρακολούθηση συστήματος
Systems may be temporarily unavailable in the next few minutes|Τα συστήματα ενδέχεται προσωρινά να μην είναι διαθέσιμα τα επόμενα λεπτά
Tagalog|Tagalog
Tamil|Tamil
Thai|Ταϊλάνδη
Thankyou for choosing the LibreServer home internet appliance|Ευχαριστώ για την επιλογή της οικιακής συσκευής διαδικτύου LibreServer
The account will now be removed. This may take a minute or two. For details see:|Ο λογαριασμός θα καταργηθεί. Αυτό μπορεί να διαρκέσει ένα λεπτό ή δύο. Για λεπτομέρειες δείτε:
The classic low bandwidth chat system|Το κλασικό σύστημα συνομιλίας χαμηλού εύρους ζώνης
The LibreServer system isn't primarily aimed at companies or institutions, but if you're a one person company or freelancer then having the ability to run your own accounting system and keep the data private and also backed up is useful. Akaunting provides a nice web based system for small business accounts, and is also quite usable within a mobile web browser.|Το σύστημα LibreServer δεν απευθύνεται κυρίως σε εταιρείες ή ιδρύματα, αλλά αν είστε εταιρεία ενός ατόμου ή ελεύθερος επαγγελματίας τότε έχετε τη δυνατότητα να εκτελέσετε το δικό σας λογιστικό σύστημα και να διατηρήσετε τα δεδομένα ιδιωτικά και επίσης να δημιουργήσετε αντίγραφα ασφαλείας είναι χρήσιμη. Το Akaunting παρέχει ένα ωραίο σύστημα που βασίζεται στο διαδίκτυο για λογαριασμούς μικρών επιχειρήσεων και είναι επίσης αρκετά εύχρηστο μέσα σε ένα πρόγραμμα περιήγησης για κινητά.
A new member is being added. This may take a minute or two.|Ο νέος χρήστης προστίθεται. Καταγράψτε ή αποθηκεύστε τον κωδικό πρόσβασης.
The passwords do not match|Οι κωδικοί δεν ταιριάζουν
There are a few things to know about using the federated wiki.|Υπάρχουν μερικά πράγματα που πρέπει να γνωρίζετε για τη χρήση του ομοσπονδιακού wiki.
There are no apps installed. Select the plus button above to install new apps.|Δεν υπάρχουν εγκατεστημένες εφαρμογές. Επιλέξτε το κουμπί συν παραπάνω για να εγκαταστήσετε νέες εφαρμογές.
This app may be useful if you have a new child or babysitting duties. It helps caregivers track sleep, feedings, diaper changes, and tummy time to learn about and predict baby's needs without as much guess work.|Αυτή η εφαρμογή μπορεί να είναι χρήσιμη αν έχετε νέα καθήκοντα παιδιού ή babysitting. Βοηθάει τους φροντιστές να παρακολουθούν τον ύπνο, τις τροφές, τις αλλαγές της πάνας και τον χρόνο της κοιλιάς για να μάθουν και να προβλέψουν τις ανάγκες του μωρού χωρίς να φαντάζουν ότι εργάζονται.
This is a server system which enables you to run internet apps such as a blog or federated social network.|Πρόκειται για ένα σύστημα διακομιστών που σας επιτρέπει να εκτελείτε εφαρμογές στο διαδίκτυο, όπως ένα blog ή ομοσπονδιακό κοινωνικό δίκτυο.
This is certainly the type of data which you might want to keep private and away from companies who might otherwise use surveillance of parenting app data to try to guilt you into buying all sorts of junk that you don't really need or can't afford.|Αυτό είναι σίγουρα ο τύπος των δεδομένων που ίσως θέλετε να κρατήσετε ιδιωτικά και μακριά από εταιρείες που διαφορετικά θα μπορούσαν να χρησιμοποιήσουν την παρακολούθηση δεδομένων γονικής εφαρμογής για να προσπαθήσουν να σας ενοχοποιήσουν στην αγορά όλων των ειδών σκουπίδια που δεν χρειάζεστε πραγματικά ή δεν μπορείτε να αντέξετε οικονομικά .
This is your new password|Αυτός είναι ο νέος σας κωδικός πρόσβασης
This may take a few minutes.|Αυτό μπορεί να διαρκέσει μερικά λεπτά.
This may take a minute or two. For details see:|Αυτό μπορεί να διαρκέσει ένα λεπτό ή δύο. Για λεπτομέρειες δείτε:
This system isn't intended to broadcast to large audiences and the upper limit of listeners is set at ten. So a family and friends type group.|Το σύστημα αυτό δεν προορίζεται να μεταδοθεί σε μεγάλο κοινό και το ανώτατο όριο των ακροατών είναι δέκα. Έτσι, μια ομάδα τύπου οικογένειας και φίλων.
This will make a backup of the keys which encrypt your backups, protecting them against accidental loss or exposure. You should keep this drive in a safe place, separate from other backups.|Αυτό θα δημιουργήσει ένα αντίγραφο ασφαλείας των κλειδιών που κρυπτογραφούν τα αντίγραφα ασφαλείας σας, προστατεύοντάς τα από τυχαία απώλεια ή έκθεση. Θα πρέπει να κρατήσετε αυτή τη μονάδα σε ασφαλές μέρος, ξεχωριστά από άλλα αντίγραφα ασφαλείας.
This will restore the keys used to encrypt backups.|Αυτό θα επαναφέρει τα κλειδιά που χρησιμοποιούνται για την κρυπτογράφηση των αντιγράφων ασφαλείας.
To add a new paragraph use the + button|Για να προσθέσετε μια νέα παράγραφο, χρησιμοποιήστε το κουμπί +
To claim/fork a page from another server click on the flag icon|Για να διεκδικήσετε / πιέστε μια σελίδα από άλλο διακομιστή, κάντε κλικ στο εικονίδιο σημαίας
To edit a paragraph double click on it|Για να επεξεργαστείτε μια παράγραφο, κάντε διπλό κλικ πάνω της
To remove a paragraph just delete all of its text|Για να καταργήσετε μια παράγραφο απλά διαγράψτε όλο το κείμενο της
To upload music files install Syncthing then copy album directories into ~/Sync/music_upload, then within Koel go to settings and scan the directory /music|Για να ανεβάσετε αρχεία μουσικής, εγκαταστήστε το Synching και, στη συνέχεια, αντιγράψτε τους καταλόγους άλμπουμ στο ~ / Sync / music_upload, στη συνέχεια στο Koel πηγαίνετε στις ρυθμίσεις και σαρώστε τον κατάλογο / μουσική
Tor Bridges|Tor Γέφυρες
Translate|Μεταφράζω
Translations|Μεταφράσεις
Turkish|τούρκικος
Type: SRV|Τύπος: SRV
Ukrainian|Ουκρανός
Uncheck use global user information.|Καταργήστε την επιλογή χρήσης πληροφοριών παγκόσμιου χρήστη.
Uninstall|Καταργήστε την εγκατάσταση
Update|Εκσυγχρονίζω
Updates settings changed|Οι ρυθμίσεις ενημερώσεων άλλαξαν
Upgrade|Αναβαθμίζω
Upgrades happen automatically. You don't need to start them manually like this, except in rare circumstances|Οι αναβαθμίσεις πραγματοποιούνται αυτόματα. Δεν χρειάζεται να τα ξεκινήσετε χειροκίνητα όπως αυτό, εκτός από σπάνιες περιπτώσεις
Upload|Μεταφόρτωση
URL to upload from|URL για να ανεβάσετε από
USB drive format has failed|Η μορφή μονάδας USB απέτυχε
USB drive format in progress|Μορφή δίσκου USB σε εξέλιξη
USB drive format is complete|Η μονάδα δίσκου USB έχει ολοκληρωθεί
Username: |Όνομα χρήστη:
Username: admin|Όνομα χρήστη: admin
Members|Χρήστες
Using your preferred editor|Χρησιμοποιώντας το πρόγραμμα επεξεργασίας που προτιμάτε
Video broadcast|Μετάδοση βίντεο
Vietnamese|Βιετναμέζοι
Voice chat|Φωνητική συνομιλία
WARNING: THIS WILL ERASE ALL CONTENT OF THE USB DRIVE|ΠΡΟΕΙΔΟΠΟΙΗΣΗ: ΑΥΤΟ ΑΠΕΥΘΥΝΕΙ ΟΛΕΣ ΟΙ ΠΕΡΙΕΚΤΙΚΟΤΗΤΕΣ ΤΟΥ USB DRIVE
We're sorry, but the username you gave is not suitable. Check that it does not contain spaces, is lower case and at least 3 characters in length.|Λυπούμαστε, αλλά το όνομα χρήστη που δώσατε δεν είναι κατάλληλο. Ελέγξτε ότι δεν περιέχει κενά, πεζά και τουλάχιστον 3 χαρακτήρες.
Web publishing system|Σύστημα δημοσίευσης ιστού
When done editing click on the wiki button again|Όταν τελειώσετε την επεξεργασία, κάντε ξανά κλικ στο κουμπί wiki
When it's done it will appear on the apps screen|Όταν ολοκληρωθεί, θα εμφανιστεί στην οθόνη εφαρμογών
When removal is finished it will disappear from apps|Όταν ολοκληρωθεί η κατάργηση, θα εξαφανιστεί από τις εφαρμογές
When you are done with translating select the 'import' button on the translations screen.|Όταν ολοκληρώσετε τη μετάφραση, επιλέξτε το κουμπί "εισαγωγή" στην οθόνη μεταφράσεων.
When you've added your translations select the 'update' button. This will update the translations file for the selected language. Note that this does not change the current language within the user interface. If you want to do that go back to the language screen, select a language and then the 'select' button.|Όταν προσθέσετε τις μεταφράσεις σας, επιλέξτε το κουμπί "ενημέρωση". Αυτό θα ενημερώσει το αρχείο μεταφράσεων για την επιλεγμένη γλώσσα. Σημειώστε ότι αυτό δεν αλλάζει την τρέχουσα γλώσσα μέσα στο περιβάλλον εργασίας χρήστη. Εάν θέλετε να το κάνετε αυτό, επιστρέψτε στην οθόνη γλώσσας, επιλέξτε μια γλώσσα και, στη συνέχεια, το κουμπί "επιλέξτε".
Whichever screen you are currently on, you can get back to the previous screen by clicking or pressing on the LibreServer logo at the top.|Όποια οθόνη βρίσκεστε αυτήν τη στιγμή, μπορείτε να επιστρέψετε στην προηγούμενη οθόνη κάνοντας κλικ ή πατώντας το λογότυπο LibreServer στην κορυφή.
With Icecast you can run your own internet radio stream from an onion address. As always, be careful about copyright issues and preferably stick to Creative Commons music or music files that you own.|Με Icecast μπορείτε να εκτελέσετε τη δική σας ραδιοφωνική ροή από μια διεύθυνση κρεμμυδιού. Όπως πάντα, προσέξτε τα ζητήματα πνευματικής ιδιοκτησίας και, κατά προτίμηση, κολλήστε στα αρχεία μουσικής ή μουσικής Creative Commons που έχετε στην κατοχή σας.
Within the network list click, Add and enter your domain name then click Edit.|Μέσα στη λίστα του δικτύου, κάντε κλικ στην επιλογή Προσθήκη και εισαγάγετε το όνομα τομέα και, στη συνέχεια, κάντε κλικ στην επιλογή Επεξεργασία.
Within the Password field enter the password which you originally set up the box with.|Στο πεδίο Password (Κωδικός πρόσβασης) πληκτρολογήστε τον κωδικό πρόσβασης με τον οποίο δημιουργήσατε αρχικά το πλαίσιο.
Within the software center search for "mumble" and install the client then run it. Skip through the audio setup wizard. Cancel the initial connection window.|Μέσα στο κέντρο του λογισμικού, αναζητήστε "mumble" και εγκαταστήστε τον πελάτη, στη συνέχεια εκτελέστε τον. Περάστε από τον οδηγό ρύθμισης ήχου. Ακυρώστε το αρχικό παράθυρο σύνδεσης.
Write it down or save it|Γράψτε το ή αποθηκεύστε το
XMPP|XMPP
xmpp based chat system|xpp σύστημα συνομιλίας με βάση
Yes|Ναί
You can edit the translated text on the right side of the screen.|Μπορείτε να επεξεργαστείτε το μεταφρασμένο κείμενο στη δεξιά πλευρά της οθόνης.
You can get to this system remotely via:|Μπορείτε να μεταβείτε σε αυτό το σύστημα εξ αποστάσεως μέσω:
You can now go back to the initial Conversations app screen and start using it. You'll probably want to add contacts using the icon at the bottom right. For more information see the Conversations website (conversations.im) or subscribe to the chat group conversations@conference.siacs.eu|Τώρα μπορείτε να επιστρέψετε στην αρχική οθόνη της εφαρμογής Συνομιλίες και να την χρησιμοποιήσετε. Θα θελήσετε πιθανώς να προσθέσετε επαφές χρησιμοποιώντας το εικονίδιο που βρίσκεται κάτω δεξιά. Για περισσότερες πληροφορίες, ανατρέξτε στον ιστότοπο "Συνομιλίες" (conversations.im) ή εγγραφείτε στην ομάδα συζητήσεων conversations@conference.siacs.eu
You can now log in with:|Τώρα μπορείτε να συνδεθείτε με:
You can see upgrade progress|Μπορείτε να δείτε την πρόοδο της αναβάθμισης
You can use left and right cursor keys to move through pages|Μπορείτε να χρησιμοποιήσετε τα πλήκτρα αριστερού και δεξιού δρομέα για να μετακινηθείτε στις σελίδες
You may also want to make another entry with the same settings but replacing tcp with udp.|Μπορεί επίσης να θέλετε να κάνετε μια άλλη καταχώρηση με τις ίδιες ρυθμίσεις, αλλά αντικαθιστώντας το tcp με το udp.
You may now remove the USB drive|Τώρα μπορείτε να αφαιρέσετε τη μονάδα USB
You might have mistyped one of them|Μπορεί να έχετε πλημμυρίσει ένα από αυτά
You will see the translations file with some instructions at the top.|Θα δείτε το αρχείο μεταφράσεων με κάποιες οδηγίες στην κορυφή.
Your password must be at least 8 characters in length and only use the characters a-z A-Z and 0-9|Ο κωδικός σας πρέπει να έχει μήκος τουλάχιστον 8 χαρακτήρων και να χρησιμοποιεί μόνο τους χαρακτήρες a-z A-Z και 0-9
Zero knowledge pastebin|Zero knowledge pastebin
Theme|Θέμα
Light|Φως
Dark|Σκοτάδι
Mail|Ταχυδρομείο
Clear|Σαφή
Send email through a proxy|Αποστολή μηνυμάτων μέσω διακομιστή μεσολάβησης
If you find that you can't send out email and that you get 'failed delivery' messages returned instead then you may be able to proxy sent emails through another server. Sometimes ISPs or companies provide an SMTP server which can do this.|Ο πελάτης μπορεί να στέλνει e-mail και να αποστέλλει μηνύματα μέσω ηλεκτρονικού ταχυδρομείου μέσω κεντρικού διακομιστή. Μερικές φορές οι πάροχοι υπηρεσιών ISP του SMTP-server πεθαίνουν.
Failed to install. For details see admin/applog.txt|Απέτυχε η εγκατάσταση. Για λεπτομέρειες ανατρέξτε στο admin/applog.txt
Installed successfully|Εγκαταστήθηκε με επιτυχία
pihole|pihole
Unlike browser based ad blockers, pihole works at the domain name resolution level to block domains known to privide the ads appearing in web pages.|Σε αντίθεση με τους μηχανισμούς αποκλεισμού διαφημίσεων που βασίζονται στο πρόγραμμα περιήγησης, το pihole λειτουργεί στο επίπεδο ανάλυσης ονομάτων τομέα για να αποκλείσει τομείς που είναι γνωστοί για την προβολή των διαφημίσεων που εμφανίζονται σε ιστοσελίδες.
Set your DNS IP address to the one shown and many ads will get blocked even before they're delivered to your laptop or mobile device. This can save a lot of bandwidth and generally speed up the loading of websites.| Ρυθμίστε τη διεύθυνση IP DNS σας σε αυτή που εμφανίζεται και πολλές διαφημίσεις θα μπλοκαριστούν ακόμα και πριν να παραδοθούν στον φορητό ή κινητό σας υπολογιστή. Αυτό μπορεί να εξοικονομήσει πολύ εύρος ζώνης και γενικά να επιταχύνει τη φόρτωση ιστοσελίδων
Change DNS on your internet router| Αλλαγή DNS στον δρομολογητή σας στο διαδίκτυο
If your internet router allows you to change the DNS IP address then this is the best way to use pihole because it will then provide coverage for all of the devices and computers in your home.|Εάν ο δρομολογητής σας στο διαδίκτυο σας επιτρέπει να αλλάξετε τη διεύθυνση IP DNS, τότε αυτός είναι ο καλύτερος τρόπος για να χρησιμοποιήσετε το pihole γιατί θα παρέχει κάλυψη για όλες τις συσκευές και τους υπολογιστές στο σπίτι σας.
Change DNS on individual devices|Αλλαγή DNS σε μεμονωμένες συσκευές
If you can't change your internet router's DNS then you can do that on individual GNU/Linux systems as follows:| Εάν δεν μπορείτε να αλλάξετε το DNS του δρομολογητή του διαδικτύου σας τότε μπορείτε να το κάνετε αυτό σε μεμονωμένα συστήματα GNU/Linux ως εξής:
Remove or comment out any existing nameservers and add one with the IP address shown for the pihole app. Something like:|Καταργήστε ή σχολιάστε τυχόν υπάρχοντες διακομιστές nameservers και προσθέστε ένα με τη διεύθυνση IP που εμφανίζεται για την εφαρμογή pihole. Κάτι σαν:
Then save and exit and prevent the file from being automatically changed with:| Στη συνέχεια, αποθηκεύστε και εξόδου και αποτρέψτε την αυτόματη αλλαγή του αρχείου με:
If you're running the standard version of LibreServer (not the onion version) then you may need to modify your hosts file to access your own domain.|Εάν εκτελείτε την τυπική έκδοση του LibreServer (όχι την έκδοση κρεμμυδιού), τότε ίσως χρειαστεί να τροποποιήσετε το αρχείο hosts για να αποκτήσετε πρόσβαση στον δικό σας τομέα.
Then add something like:|Στη συνέχεια, προσθέστε κάτι σαν:
This only works when you're within your home network, so if you're outside of your home then undo the changes made above.|Αυτό λειτουργεί μόνο όταν βρίσκεστε μέσα στο οικιακό σας δίκτυο, οπότε αν βρίσκεστε εκτός του σπιτιού σας, ακυρώστε τις παραπάνω αλλαγές
The Pi-hole is a DNS sinkhole that protects your devices from unwanted content, without installing any client-side software.|Το Pi-hole είναι μια δεξαμενή DNS που προστατεύει τις συσκευές σας από ανεπιθύμητο περιεχόμενο, χωρίς εγκατάσταση λογισμικού πελάτη.
Search|Ψάξιμο
removed|Καταργήθηκε
To get email working you will need to forward some ports. Email using your onion address will work anyway, so long as you are contacting other onion based email addresses.|Για να πάρετε την εργασία μέσω ηλεκτρονικού ταχυδρομείου, θα χρειαστεί να προωθήσετε μερικές θύρες. Το ηλεκτρονικό ταχυδρομείο με τη διεύθυνση του κρεμμυδιού σας θα λειτουργήσει έτσι κι αλλιώς, εφ '
Forward ports 25, 587 and 465 from your internet router|Προωθητικές θύρες 25, 587 και 465 από τον δρομολογητή σας στο διαδίκτυο
To access cryptpad you'll need to use a Tor browser. Navigate to the URL and enable javascript for the site under the NoScript icon. The screen will be blank for a few seconds while it's downloading the application into your browser.|Για να αποκτήσετε πρόσβαση στο cryptpad, θα χρειαστεί να χρησιμοποιήσετε ένα πρόγραμμα περιήγησης Tor. Πλοηγηθείτε στη διεύθυνση URL και ενεργοποιήστε το javascript για τον ιστότοπο με το εικονίδιο NoScript, ενώ η οθόνη θα είναι κενή για λίγα δευτερόλεπτα ενώ θα μεταφορτώσει την εφαρμογή στο πρόγραμμα περιήγησης.
Cryptpad is an almost peer-to-peer application. No data is stored on the server, which only does minimal orchestration between the clients. If an adversary subsequently obtains the server they still learn nothing.|Το Cryptpad είναι μια εφαρμογή σχεδόν ομότιμης σύνδεσης (peer-to-peer application), δεν αποθηκεύονται δεδομένα στον εξυπηρετητή, ο οποίος κάνει ελάχιστη ενορχήστρωση μεταξύ των πελατών.
Authentication Token|Token ελέγχου ταυτότητας
This is only needed if you're using FreeDNS. Otherwise you can leave it blank.|Αυτό είναι απαραίτητο μόνο αν χρησιμοποιείτε το FreeDNS, διαφορετικά μπορείτε να το αφήσετε κενό.
On the site where you obtained your domain name set up some custom nameservers as follows:|Στον ιστότοπο στον οποίο αποκτήσατε το όνομα τομέα σας δημιουργήσαμε ορισμένους προσαρμοσμένους διακομιστές ονομάτων ως εξής:
On the FreeDNS site go to the "Dynamic DNS" section and make sure that "link updates of the same IP together" is set to ON.|Στην τοποθεσία FreeDNS μεταβείτε στην ενότητα "Δυναμικό DNS" και βεβαιωθείτε ότι η "ενημερώσεις συνδέσεων του ίδιου IP μαζί" είναι ενεργοποιημένη.
For your main domain name select "quick cron example" and then your authentication token is the random string on the last line between the ? and = characters.|Για το κύριο όνομα τομέα επιλέξτε το παράδειγμα γρήγορου cron και, στη συνέχεια, το διακριτικό ελέγχου ταυτότητας είναι η τυχαία συμβολοσειρά στην τελευταία γραμμή ανάμεσα στους χαρακτήρες? Και =.
Your current IP address is shown at the top of the Dynamic DNS screen of the LibreServer user interface. You can use the "Mass Mod" feature at the top of the "Subdomains" part of the FreeDNS site to set all of your subdomains to that IP address.|Μπορείτε να χρησιμοποιήσετε τη λειτουργία "Mass Mod" στην κορυφή του τμήματος "Υποτομέων" της τοποθεσίας FreeDNS για να ρυθμίσετε όλους τους υποτομείς σας σε αυτό Διεύθυνση IP.
Select the MX entry for your main domain and change the destination to 10:mydomainname rather than 10:mail.mydomainname.|Επιλέξτε την καταχώρηση MX για τον κύριο τομέα και αλλάξτε τον προορισμό σε 10: mydomainname αντί 10: mail.mydomainname.
Enter your FreeDNS login details and the authentication token on the Dynamic DNS screen of the LibreServer user interface.|Καταχωρίστε τα στοιχεία σύνδεσης του FreeDNS και το διακριτικό ελέγχου ταυτότητας στην οθόνη Dynamic DNS της διεπαφής χρήστη LibreServer.
To make a playlist insert a USB drive containing audio files in a directory called playlist, add a description below and then select Update|Για να δημιουργήσετε μια λίστα αναπαραγωγής, τοποθετήστε μια μονάδα USB που περιέχει αρχεία ήχου σε έναν κατάλογο που ονομάζεται playlist, προσθέστε μια περιγραφή παρακάτω και, στη συνέχεια, επιλέξτε Ενημέρωση
To add music copy it to a directory called Music on a USB drive then plug it into your server and select Update|Για να προσθέσετε μουσική, αντιγράψτε το σε έναν κατάλογο που ονομάζεται Μουσική σε μια μονάδα USB και, στη συνέχεια, συνδέστε τον στο διακομιστή σας και επιλέξτε Ενημέρωση
This is a wiki which stores its content in text files. Having no database makes maintaining it simpler, and it's not tied to any particular domain name so you can easily copy the files to a different domain if you need to.|Αυτό είναι ένα wiki που αποθηκεύει το περιεχόμενό του σε αρχεία κειμένου. Έχοντας καμία βάση δεδομένων δεν κάνει τη διατήρησή της απλούστερη και δεν είναι συνδεδεμένη με κάποιο συγκεκριμένο όνομα τομέα, ώστε να μπορείτε εύκολα να αντιγράψετε τα αρχεία σε διαφορετικό τομέα αν χρειαστεί.
Provides an easy and private way to sync calendar and contacts between devices.|Παρέχει έναν εύκολο και ιδιωτικό τρόπο συγχρονισμού ημερολογίου και επαφών μεταξύ συσκευών.
Using on mobile|Χρήση στο κινητό
The user interface is a little misleading. Make sure that you log in with your username, not your email addres.|Το περιβάλλον χρήστη είναι λίγο παραπλανητικό. Βεβαιωθείτε ότι έχετε συνδεθεί με το όνομα χρήστη σας, όχι με τα email σας.
Also choose the advanced option and enter the subdomain that you installed etesync on.|Επίσης, επιλέξτε την προχωρημένη επιλογή και εισάγετε τον υποτομέα στον οποίο εγκαταστάσατε το etesync.
This is a well known system for real time collaborative editing of documents. Just log in, choose a document title and then edit. Different users will appear in different colours, and can also chat in the sidebar. This is installed as a private system in which only users on your LibreServer server will be able to create and edit documents, so it's not open to any random users on the internet.|Πρόκειται για ένα πολύ γνωστό σύστημα για συνεργατική επεξεργασία εγγράφων σε πραγματικό χρόνο. Απλώς συνδεθείτε, επιλέξτε έναν τίτλο εγγράφου και στη συνέχεια επεξεργαστείτε. Οι διαφορετικοί χρήστες θα εμφανίζονται σε διαφορετικά χρώματα και μπορούν επίσης να συνομιλήσουν στην πλαϊνή γραμμή. Αυτό είναι εγκατεστημένο ως ιδιωτικό σύστημα στο οποίο μόνο οι χρήστες του διακομιστή LibreServer θα μπορούν να δημιουργούν και να επεξεργάζονται έγγραφα, οπότε δεν είναι ανοιχτοί σε τυχαίους χρήστες στο διαδίκτυο.
This is a federated social networking system. It can federate with other popular fediverse systems.|Πρόκειται για ένα ομοσπονδιακό σύστημα κοινωνικής δικτύωσης. Μπορεί να ομοσπονδία με άλλα δημοφιλή συστήματα fediverse.
This is a blogging system which has no database and only uses text files for storage.|Αυτό είναι ένα σύστημα blogging που δεν έχει βάση δεδομένων και χρησιμοποιεί μόνο αρχεία κειμένου για αποθήκευση.
This is a git hosting system. It's very similar to Github in appearance and use, is lightweight and so is well suited for use on low power ARM servers.|Αυτό είναι ένα σύστημα φιλοξενίας git. Είναι πολύ παρόμοιο με το Github σε εμφάνιση και χρήση, είναι ελαφρύ και έτσι είναι πολύ κατάλληλο για χρήση σε διακομιστές χαμηλής ισχύος ARM.
This is a web publishing and social network system which includes wiki, web pages, photo albums and file storage. It also has nomadic identity allowing you to easily move your account between different servers and privacy controls which allow you to define who can see what content.|Πρόκειται για ένα σύστημα δημοσίευσης ιστού και κοινωνικού δικτύου το οποίο περιλαμβάνει wiki, ιστοσελίδες, άλμπουμ φωτογραφιών και αποθήκευση αρχείων. Έχει επίσης νομαδική ταυτότητα που σας επιτρέπει να μεταφέρετε εύκολα το λογαριασμό σας μεταξύ διαφορετικών διακομιστών και ελέγχων απορρήτου που σας επιτρέπουν να καθορίσετε ποιος μπορεί να δει ποιο περιεχόμενο.
Kanbans are one way of managing projects. They're traditionally used in businesses but can also be useful for personal TODO lists or within open source or DIY projects. If you have a list of things which need to be done and want to keep track of progress then this provides a way to do that.|Οι Kanbans είναι ένας τρόπος διαχείρισης των έργων. Χρησιμοποιούνται παραδοσιακά στις επιχειρήσεις, αλλά μπορούν επίσης να είναι χρήσιμες για προσωπικούς καταλόγους TODO ή σε έργα ανοιχτού κώδικα ή DIY. Εάν έχετε μια λίστα με πράγματα που πρέπει να γίνουν και θέλετε να παρακολουθείτε την πρόοδο, τότε αυτό παρέχει έναν τρόπο να το κάνετε αυτό.
The default login is username "admin" and the login password which you usually use for the web interface.|Η προεπιλεγμένη σύνδεση είναι το όνομα χρήστη "admin" και ο κωδικός πρόσβασης που συνήθως χρησιμοποιείτε για τη διεπαφή ιστού.
If you're using a Tor browser then you may need to allow javascript for the site by selecting the NoScript icon.|Εάν χρησιμοποιείτε ένα πρόγραμμα περιήγησης Tor, ίσως χρειαστεί να επιτρέψετε τη δημιουργία javascript για τον ιστότοπο επιλέγοντας το εικονίδιο NoScript.
Extra users can be added from the drop down menu at the top right of the screen, under "Users management".|Πρόσθετοι χρήστες μπορούν να προστεθούν από το αναπτυσσόμενο μενού στην επάνω δεξιά γωνία της οθόνης, στην ενότητα "Διαχείριση χρηστών".
This enables you to store your music on the LibreServer server and then access it from any internet connected device.|Αυτό σας επιτρέπει να αποθηκεύσετε τη μουσική σας στο διακομιστή LibreServer και στη συνέχεια να έχετε πρόσβαση σε αυτή από οποιαδήποτε συνδεδεμένη στο διαδίκτυο συσκευή.
