About|關於
If you're running the standard version of LibreServer (not the onion version) then you may need to modify your hosts file to access your own domain.|如果您正在運行LibreServer的標準版本（而不是洋蔥版），那麼您可能需要修改您的hosts文件以訪問您自己的域。
Then add something like:|然後添加如下內容：
This only works when you're within your home network, so if you're outside of your home then undo the changes made above.|這僅適用於您在家庭網絡中的情況，因此如果您在家外，則撤消上述更改
The Pi-hole is a DNS sinkhole that protects your devices from unwanted content, without installing any client-side software.|Pi-hole是一個DNS sinkhole，可以保護您的設備免受不必要的內容的侵害，而無需安裝任何客戶端軟件。
Search|搜索
removed|去除
To get email working you will need to forward some ports. Email using your onion address will work anyway, so long as you are contacting other onion based email addresses.|要使電子郵件正常工作，您需要轉發一些端口。 只要您聯繫其他基於洋蔥的電子郵件地址，使用您的洋蔥地址的電子郵件仍然有效。
Forward ports 25, 587 and 465 from your internet router|從您的互聯網路由器轉發端口25,587和465
To access cryptpad you'll need to use a Tor browser. Navigate to the URL and enable javascript for the site under the NoScript icon. The screen will be blank for a few seconds while it's downloading the application into your browser.|要訪問cryptpad，您需要使用Tor瀏覽器。 導航到URL並在NoScript圖標下為站點啟用javascript。 在將應用程序下載到瀏覽器中時，屏幕將為空白幾秒鐘。
Cryptpad is an almost peer-to-peer application. No data is stored on the server, which only does minimal orchestration between the clients. If an adversary subsequently obtains the server they still learn nothing.|Cryptpad是一個幾乎是點對點的應用程序。 沒有數據存儲在服務器上，只在客戶端之間進行最小的編排。 如果對手隨後獲得了服務器，他們仍然沒有學到任何東西。
Authentication Token|身份驗證令牌
This is only needed if you're using FreeDNS. Otherwise you can leave it blank.|只有在使用FreeDNS時才需要這樣做。 否則你可以留空。
On the site where you obtained your domain name set up some custom nameservers as follows:|在您獲取域名的站點上設置一些自定義名稱服務器，如下所示：
On the FreeDNS site go to the "Dynamic DNS" section and make sure that "link updates of the same IP together" is set to ON.|在FreeDNS站點上，轉到“動態DNS”部分，確保“將相同IP的鏈接更新”設置為“開”。
For your main domain name select "quick cron example" and then your authentication token is the random string on the last line between the ? and = characters.|對於您的主域名選擇“快速cron示例”，然後您的身份驗證令牌是最後一行之間的隨機字符串？ 和=字符。
Your current IP address is shown at the top of the Dynamic DNS screen of the LibreServer user interface. You can use the "Mass Mod" feature at the top of the "Subdomains" part of the FreeDNS site to set all of your subdomains to that IP address.|您當前的IP地址顯示在LibreServer用戶界面的動態DNS屏幕頂部。 您可以使用FreeDNS網站“Subdomains”部分頂部的“Mass Mod”功能將所有子域設置為該IP地址。
Select the MX entry for your main domain and change the destination to 10:mydomainname rather than 10:mail.mydomainname.|選擇主域的MX條目，並將目標更改為10：mydomainname而不是10：mail.mydomainname。
Enter your FreeDNS login details and the authentication token on the Dynamic DNS screen of the LibreServer user interface.|在LibreServer用戶界面的動態DNS屏幕上輸入您的FreeDNS登錄詳細信息和身份驗證令牌。
To make a playlist insert a USB drive containing audio files in a directory called playlist, add a description below and then select Update|要製作播放列表，請將包含音頻文件的USB驅動器插入名為播放列表的目錄中，在下面添加說明，然後選擇“更新”
To add music copy it to a directory called Music on a USB drive then plug it into your server and select Update|要添加音樂，請將其複製到USB驅動器上名為Music的目錄中，然後將其插入服務器並選擇更新
This is a wiki which stores its content in text files. Having no database makes maintaining it simpler, and it's not tied to any particular domain name so you can easily copy the files to a different domain if you need to.|這是一個將其內容存儲在文本文件中的Wiki。沒有數據庫使維護更簡單，並且它不依賴於任何特定的域名，因此您可以根據需要輕鬆地將文件複製到其他域。
Provides an easy and private way to sync calendar and contacts between devices.|提供一種簡單而私密的方式來同步設備之間的日曆和聯繫人。
Using on mobile|在移動設備上使用
The user interface is a little misleading. Make sure that you log in with your username, not your email addres.|用戶界面有點誤導。確保使用您的用戶名登錄，而不是使用電子郵件地址登錄。
Also choose the advanced option and enter the subdomain that you installed etesync on.|同時選擇高級選項並輸入您在其上安裝etesync的子域。
This is a well known system for real time collaborative editing of documents. Just log in, choose a document title and then edit. Different users will appear in different colours, and can also chat in the sidebar. This is installed as a private system in which only users on your LibreServer server will be able to create and edit documents, so it's not open to any random users on the internet.|這是用於文檔的實時協作編輯的眾所周知的系統。只需登錄，選擇文檔標題，然後進行編輯。不同的用戶將以不同的顏色顯示，也可以在側邊欄中聊天。這是作為一個私人系統安裝的，其中只有LibreServer服務器上的用戶才能創建和編輯文檔，因此它不對互聯網上的任何隨機用戶開放。
This is a federated social networking system. It can federate with other popular fediverse systems.|這是一個聯合社交網絡系統。它可以與其他流行的fediverse系統聯合。
This is a blogging system which has no database and only uses text files for storage.|這是一個沒有數據庫的博客系統，只使用文本文件進行存儲。
This is a git hosting system. It's very similar to Github in appearance and use, is lightweight and so is well suited for use on low power ARM servers.|這是一個git託管系統。它在外觀和使用方面與Github非常相似，重量輕，非常適合在低功耗ARM服務器上使用。
This is a web publishing and social network system which includes wiki, web pages, photo albums and file storage. It also has nomadic identity allowing you to easily move your account between different servers and privacy controls which allow you to define who can see what content.|這是一個網絡發布和社交網絡系統，包括維基，網頁，相冊和文件存儲。它還具有游牧身份，允許您輕鬆地在不同服務器和隱私控制之間移動您的帳戶，從而可以定義誰可以查看哪些內容。
Kanbans are one way of managing projects. They're traditionally used in businesses but can also be useful for personal TODO lists or within open source or DIY projects. If you have a list of things which need to be done and want to keep track of progress then this provides a way to do that.|看板是管理項目的一種方式。它們傳統上用於商業，但也可用於個人TODO列表或開源或DIY項目。如果您有一系列需要完成的事情並希望跟踪進度，那麼這就提供了一種方法。
The default login is username "admin" and the login password which you usually use for the web interface.|默認登錄名是用戶名“admin”和您通常用於Web界面的登錄密碼。
If you're using a Tor browser then you may need to allow javascript for the site by selecting the NoScript icon.|如果您使用的是Tor瀏覽器，則可能需要通過選擇NoScript圖標為該網站允許javascript。
Extra users can be added from the drop down menu at the top right of the screen, under "Users management".|可以從屏幕右上角的“用戶管理”下的下拉菜單中添加額外用戶。
This enables you to store your music on the LibreServer server and then access it from any internet connected device.|這使您可以將音樂存儲在LibreServer服務器上，然後從任何連接到互聯網的設備訪問它。
This is a simple and lightweight photo album for the web. Whether you're an amateur or professional photographer, or want to publish random holiday pics or cat pictures. Lychee just does what it says it does without any fuss.|這是一個簡單輕便的網絡相冊。無論您是業餘攝影師還是專業攝影師，或想發布隨機假日照片或貓圖片。荔枝只是做它所說的沒有任何大驚小怪。
This provides an webmail interface suitable for use on desktop or mobile clients and with built in support for encryption.|這提供了適用於桌面或移動客戶端的webmail接口，並且內置了對加密的支持。
This is a system for file synchronisation and also has many other plugins for calendar, videoconferencing, collaborative document editing and federated file sharing.|這是一個用於文件同步的系統，還有許多其他用於日曆，視頻會議，協作文檔編輯和聯合文件共享的插件。
This is a video hosting system which uses webtorrent to help distribute the files to or between clients.|這是一個視頻託管系統，它使用webtorrent幫助將文件分發到客戶端或客戶端之間。
Use the username 'root' and your usual password to log in as the administrator. You can then change settings as needed.|使用用戶名“root”和常用密碼以管理員身份登錄。然後，您可以根據需要更改設置。
This is an OStatus and ActivityPub compatible social networking server which federates with other fediverse systems. It is high-performance and so is especially well suited for running on low power single board computers without much RAM.|這是一個OStatus和ActivityPub兼容的社交網絡服務器，它與其他的fediverse系統聯合。它具有高性能，因此特別適合在沒有太多RAM的低功耗單板計算機上運行。
Since Pleroma supports the same protocols, any Mastodon client for Android should work with it.|由於Pleroma支持相同的協議，因此Android的任何Mastodon客戶端都應該使用它。
This is a fork of GNU Social which includes some extra fixes and optimisations to improve performance. It federates with other fediverse servers, such as Pleroma or Mastodon.|這是GNU Social的一個分支，它包含一些額外的修復和優化以提高性能。它與其他fediverse服務器聯合，例如Pleroma或Mastodon。
This is an encrypted pastebin, such that the server has zero knowledge of the content. It's intended for small amounts of text less than 32K in length. It's not intended for transfering large files, or for storing pastes for more than a day.|這是一個加密的pastebin，因此服務器對內容沒有任何了解。它適用於少量長度小於32K的文本。它不是用於傳輸大文件，也不是用於存儲超過一天的粘貼。
This is a web based user interface to the Matrix federated chat system. You will need to have already installed the Matrix app for this to work.|這是Matrix聯合聊天系統的基於Web的用戶界面。您需要已經安裝了Matrix應用程序才能實現此功能。
This is yet another chat system, but the server part of it isn't federated and so it's suitable for small private groups rather than for general public discussions.|這是另一個聊天系統，但它的服務器部分不是聯合的，因此它適用於小型私人組而不是一般的公共討論。
Provides a similar capability to proprietary systems such as Dropbox, and also is well suited for use with low power single board computers. You can have one or more directories which are synchronized across your various laptops/desktops/devices, and this makes it hard for you to ever lose important files. Of course, you don't necessarily need to be running a server in order to use Syncthing, but if you do have a server which is always running then there's always at least one place to synchronize your files to or from.|提供與Dropbox等專有系統類似的功能，也非常適合與低功耗單板計算機一起使用。您可以擁有一個或多個在各種筆記本電腦/台式機/設備上同步的目錄，這使您很難丟失重要文件。當然，您不一定需要運行服務器才能使用Syncthing，但如果您確實有一台始終運行的服務器，那麼始終至少有一個地方可以同步您的文件。
On a Debian based system:|在基於Debian的系統上：
Or on Android search for the Syncthing app.|或者在Android上搜索Syncthing應用。
Using the settings button within the LibreServer web interface for the Syncthing app you can then paste in any IDs for other devices. They will then sync with your server.|使用LibreServer Web界面中的設置按鈕為Syncthing應用程序，您可以粘貼其他設備的任何ID。然後，他們將與您的服務器同步。
A system for privately creating and sharing notes and images, similar to Evernote. It can be set up so that a small number of users on the server can share their notes in a convenient way. It doesn't have any web user interface, and you need to install native clients on mobile or laptop/desktop machines.|私人創建和共享筆記和圖像的系統，類似於Evernote。它可以設置為使服務器上的少量用戶可以方便地共享他們的筆記。它沒有任何Web用戶界面，您需要在移動或筆記本電腦/台式機上安裝本機客戶端。
Since the data at rest is stored in PGP encrypted format this is a good system to use in cases where security really is a critical factor.|由於靜態數據以PGP加密格式存儲，因此在安全性確實是關鍵因素的情況下，這是一個很好的系統。
Go to https://turtlapp.com/download and you'll then be able to download the appropriate app for your laptop or phone.|轉到https://turtlapp.com/download，然後您就可以為您的筆記本電腦或手機下載相應的應用程序。
Run the downloaded native app then at the bottom of the screen select "advanced settings" and enter your turl domain name, then register a new account. The password can be anything you choose, but since the client side encryption depends upon having a good password make it a long random string generated by a password manager such as KeepassX.|運行下載的本機應用程序，然後在屏幕底部選擇“高級設置”並輸入您的turl域名，然後註冊一個新帳戶。密碼可以是您選擇的任何密碼，但由於客戶端加密取決於具有良好的密碼，因此密碼管理器（如KeepassX）生成的長隨機字符串。
You should then be able to log in and start using the app. You might also want to invite any other users of your LibreServer system to also sign up using the turtl domain name which you specified during installation.|然後，您應該能夠登錄並開始使用該應用程序。您可能還想邀請LibreServer系統的任何其他用戶也使用您在安裝期間指定的turtl域名進行註冊。
Disabling new registrations|禁用新註冊
Once you have set up the server with however many users are needed you can then disable any new registrations by selecting Turtl on the LibreServer web interface and going to the settings screen.|一旦您設置了服務器，但需要很多用戶，您可以通過選擇LibreServer Web界面上的Turtl並進入設置屏幕來禁用任何新註冊。
This is similar to Hubzilla but with a reduced range of features concentrating exclusively upon social networking with the latest version of the Zot protocol. Nomadic identity is supported, so to can export your channels and import them on other servers if necessary, without losing followers.|這與Hubzilla類似，但功能範圍縮小，專注於使用最新版Zot協議的社交網絡。支持游牧身份，因此可以導出您的頻道並在必要時將其導入其他服務器，而不會丟失關注者。
The first account you register will be the administrator user, and from there you can go to the admin settings and disable new registrations if needed.|您註冊的第一個帳戶將是管理員用戶，從那裡您可以轉到管理員設置並在需要時禁用新註冊。
To find other users to follow select "directory" from the drop down menu at the top right of the screen and set "this site only" to "no".|要查找其他用戶，請從屏幕右上角的下拉菜單中選擇“目錄”，並將“僅此站點”設置為“否”。
There is an Android app available called Nomad.|有一個名為Nomad的Android應用程序。
End-to-end encrypted sync of calendar and contacts between devices|設備之間的日曆和聯繫人的端到端加密同步
Secure, end-to-end encrypted and journaled personal information cloud synchronization for Android and the desktop, supporting contacts and calendars|適用於Android和桌面的安全，端到端加密和記錄的個人信息云同步，支持聯繫人和日曆
Nomadic social network server|游牧社交網絡服務器
Change background|換背景
Diagnostics|診斷
Please wait while your app is installing|請等待您的應用安裝
The app could not be installed|該應用無法安裝
Add a new member|添加新成員
Kanban focussed on simplicity and minimalism|看板專注於簡約和極簡主義
Emails, chat or social network posts will be blocked if they contain the following words or phrases|如果電子郵件，聊天或社交網絡帖子包含以下字詞或短語，則會被阻止
Muted words|無言的話
Disk space is getting too low. Installation stopped.|磁盤空間過低。 安裝停止了。
Password changed|密碼已更改
Play media from any UPNP/DLNA device on your local network|從本地網絡上的任何UPNP / DLNA設備播放媒體
This allows you to play media on any DLNA supporting device within your local network.|這允許您在本地網絡中的任何DLNA支持設備上播放媒體。
No Access Control|無訪問控制
DLNA doesn't have any access controls, so keep in mind that anyone with a mobile device or laptop within your local network is potentially able to play any media on the server. Hence this may not be suitable for situations where you want parental control over what media can be accessed.|DLNA沒有任何訪問控制，因此請記住，在本地網絡中擁有移動設備或筆記本電腦的任何人都有可能在服務器上播放任何媒體。 因此，這可能不適合您希望家長控制可訪問的媒體的情況。
Adding Media|添加媒體
You can add media by selecting the settings button from the DLNA app.|您可以通過從DLNA應用程序中選擇設置按鈕來添加媒體。
Your homepage can also be accessed with a Tor browser on:|您也可以使用Tor瀏覽器訪問您的主頁：
Chat|聊天
Media|媒體
Social|社會
Sync|同步
Publishing|出版
Other|其他
Recommended Firefox Add-ons:|推薦的Firefox附加組件：
Change your default domain name|
Do you want to change your default domain name to:|
rsync failed|rsync失敗了
For most purposes Syncthing is an easier file synchronization system, but rsync is still a reliable solution if you prefer to do things the more traditional way or if you just want to create a mirror from an existing rsync server.|對於大多數用途，Syncthing是一個更簡單的文件同步系統，但如果您更喜歡以更傳統的方式執行操作，或者只是想從現有rsync服務器創建鏡像，則rsync仍然是可靠的解決方案。
Rsync is unencrypted but can be used via an onion address for transport security. If you are using it via your domain name then third parties will be able to see the content, but this may not matter if you are synchronizing already public files, such as GNU/Linux distro downloads.|Rsync是未加密的，但可以通過洋蔥地址用於傳輸安全性。 如果您通過您的域名使用它，那麼第三方將能夠看到內容，但如果您正在同步已經公開的文件，例如GNU / Linux發行版下載，這可能無關緊要。
Avoid using this for private data, unless you are exclusively using rsync via the onion address.|避免將此用於私人數據，除非您通過洋蔥地址專門使用rsync。
Creating a Mirror|創建鏡像
Select the Settings button then enter the domain and module name for the mirror. From then on synchronization will happen once per day.|選擇“設置”按鈕，然後輸入鏡像的域和模塊名稱。 從那時起，同步將每天發生一次。
Local Sync|本地同步
If you created a mirror to your server you can then sync those files to other machines or devices on your local network as follows:|如果您為服務器創建了鏡像，則可以將這些文件同步到本地網絡上的其他計算機或設備，如下所示：
If "libreserver" doesn't work then you can substitute the local IP address of your server.|如果“libreserver”不起作用，那麼您可以替換服務器的本地IP地址。
Create a mirror of public files|創建公共文件的鏡像
The domain name could not be changed|域名無法更改
This might be because you do not have ports 80 and 443 forwarded to the server.|這可能是因為您沒有將端口80和443轉發到服務器。
Check the port forwarding settings on your internet router.|檢查Internet路由器上的端口轉發設置。
Please specify a domain name which will be used for your email or XMPP address.|請指定將用於您的電子郵件或XMPP地址的域名。
Please forward the following ports from your internet router:|請從您的互聯網路由器轉發以下端口：
Search for 'Barcode Scanner', then select 'install'|搜索“條碼掃描器”，然後選擇“安裝”
Download the DarkMessenger apk file via the link below, preferably using a Tor based browser, then install it|通過下面的鏈接下載DarkMessenger apk文件，最好使用基於Tor的瀏覽器，然後安裝
Run DarkMessenger and the initial account setup will be shown. DarkMessenger only allows onion addresses to be used to create accounts|運行DarkMessenger並顯示初始帳戶設置。 DarkMessenger僅允許使用洋蔥地址來創建帳戶
You can obtain your onion XMPP address from the Members section within the web interface, usually at http://libreserver/admin or http://libreserver.local/admin. If you can't easily copy and paste it into the account setup within DarkMessenger then you can use the barcode scanner on the QRcode displayed|您可以從Web界面中的“成員”部分獲取洋蔥XMPP地址，通常位於http：// libreserver / admin或http：//libreserver.local/admin。如果您無法輕鬆將其複制並粘貼到DarkMessenger中的帳戶設置中，那麼您可以使用顯示的QRcode上的條形碼掃描儀
Enter the password which you stored during initial setup of the system and also the onion domain|輸入在初始設置系統期間存儲的密碼以及洋蔥域
You should now be able to connect to your onion XMPP account and set an avatar image if necessary|您現在應該可以連接到您的洋蔥XMPP帳戶並在必要時設置頭像圖像
When sending or receiving pictures or other attachments for the first time you will need to accept the self-signed certificates. Select 'always' twice. This should only happen once per contact|首次發送或接收圖片或其他附件時，您需要接受自簽名證書。選擇“始終”兩次。這應該只發生一次
Under Settings/Expert you may want to change the automatic message deletion period. By default this is one day|在“設置/專家”下，您可能想要更改自動消息刪除期間。默認情況下，這是一天
When setting up a group chat first ensure that you have separately confirmed two way messaging with each of the participants individually|首先設置群聊時，請確保您已單獨確認每個參與者的雙向消息
Enable strict TLS authentication between XMPP servers?|在XMPP服務器之間啟用嚴格的TLS身份驗證？
If you or other people are having difficulty joining multi-user chat then enabling this might help|如果您或其他人在加入多用戶聊天時遇到困難，那麼啟用此功能可能會有所幫助
Music can be uploaded using Nextcloud. Install the app and then create a directory called 'Music'.|可以使用Nextcloud上傳音樂。 安裝應用程序，然後創建一個名為“音樂”的目錄。
Drag your files into the Music directory and they will then become available to mpd.|將文件拖到Music目錄中，然後它們將可用於mpd。
Select search (magnifying glass icon) and search for 'MALP', then select 'install'|選擇搜索（放大鏡圖標）並蒐索“MALP”，然後選擇“安裝”
Open MALP and from the settings select Profiles|打開MALP並從設置中選擇配置文件
Enter the following settings:|輸入以下設置：
Save the settings by selecting the disk icon at the top right of the screen|通過選擇屏幕右上角的磁盤圖標來保存設置
You should now be able to connect to mpd on your server and select and play albums.|您現在應該能夠連接到服務器上的mpd並選擇並播放專輯。
In a non-Tor browser navigate to http://libreserver:8250 or http://[server local IP address]:8250 and you should be able to play the selected album.|在非Tor瀏覽器中，導航到http：// libreserver：8250或http：// [服務器本地IP地址]：8250，您應該能夠播放所選專輯。
Setting up on the desktop|在桌面上設置
Install Sonata|安裝Sonata
Run Sonata and enter the following settings:|運行Sonata並輸入以下設置：
You should now be able to see your albums listed and be able to add them to the currently playing list.|您現在應該能夠看到列出的相冊，並能夠將它們添加到當前播放的列表中。
In a non-Tor browser navigate to http://libreserver:8250 or http://[server local IP address]:8250 and you should be able to play the selected album.|在非Tor瀏覽器中，導航到http：// libreserver：8250或http：// [服務器本地IP地址]：8250，您應該能夠播放所選專輯。
Select your music file format:|選擇您的音樂文件格式：
pixelfed allow new registrations|pixelfed允許新的註冊
Groceries and household management|雜貨和家庭管理
Organization|組織
VPN domain or IP address:|VPN域或IP地址：
VPN public key:|VPN公鑰：
Public key for this server:|此服務器的公鑰：
Public keys for the laptops or devices that you wish to be able to use this server to connect to the internet.|您希望能夠使用此服務器連接到互聯網的筆記本電腦或設備的公鑰。
Network|網絡
Set your coordinates on the map|在地圖上設置坐標
Longitude:|經度：
Latitude:|緯度：
Join|加入
Docs|文件
Community network map is being generated|正在生成社區網絡地圖
Please wait|請耐心等待
IP address (optional):|IP地址（可選）：
Export|出口
Add a new community network node|添加新的社區網絡節點
Remove a community network node|刪除社區網絡節點
WARNING: Only change this if you know what you are doing. Selecting the wrong mesh protocol may make your server disappear from the network, and be difficult to recover|警告：只有在知道自己在做什麼的情況下才能更改此項。 選擇錯誤的網狀協議可能會使您的服務器從網絡中消失，並且難以恢復
WARNING: Only change this if you know what you are doing. Setting an incorrect IP address or gateway may cause your server to become inaccessible, and may be difficult to recover|警告：只有在知道自己在做什麼的情況下才能更改此項。 設置錯誤的IP地址或網關可能會導致服務器無法訪問，並且可能難以恢復
Choose your network:|選擇你的網絡：
Language is being changed|語言正在改變
Community Network|社區網絡
Theme is being changed|主題正在改變
Install a new app|安裝新應用
Restore APPNAME from backup?|從備份恢復APPNAME？
Add or remove feeds|添加或刪除Feed
Enter an RSS feed URL to add or remove. The domain name is enough for removals.|輸入要添加或刪除的RSS源URL。 域名足以刪除。
Show onion address|顯示洋蔥地址
Multi User Dungeon from the era of Welsh mainframe computing|來自威爾士大型機計算時代的多用戶地下城
Forward the UDP port 5100 from your internet router|從您的互聯網路由器轉發UDP端口5100
Since this app only uses the UDP protocol it won't work via an onion address. If you are running the onion only version of LibreServer then use its local IP address (usually 192.168.1.x) to connect to the game on the above port.|由於此應用程序僅使用UDP協議，因此無法通過洋蔥地址工作。 如果您正在運行僅有洋蔥版本的LibreServer，則使用其本地IP地址（通常為192.168.1.x）連接到上述端口上的遊戲。
Near infinite world block sandbox game|近無限世界塊沙盒遊戲
Federation List|聯邦名單
Add or remove the domain names for instances with whom you wish to federate. Don't include your own domain names.|添加或刪除要與其聯合的實例的域名。 不要包含您自己的域名。
Notify via|通知通過
Receive admin notifications|接收管理員通知
New calendar event|新日曆活動
New direct message|新直接訊息
New reply|新回覆
New shared item|新共享項
New follow request|新的關注請求
Number of connections on HTTP port is high|HTTP端口上的連接數很高
Number of connections on HTTPS port is high|HTTPS端口上的連接數很高
Cryptpad allow new signups|加密板允許新註冊
Name of the Dungeon Master|地牢大師的名字
Message Of The Day|每日訊息
port|網絡端口
Server Password|服務器密碼
DNS over TLS|TLS上的DNS
IP Address|IP地址
New git patch|新的git補丁
liked your post|喜歡你的帖子
IRC Password|IRC密碼
Reaction by|反應由
ssh connections too high|ssh 連接太高
