About|Noin
Upgrades happen automatically. You don't need to start them manually like this, except in rare circumstances|Päivitykset tapahtuvat automaattisesti. Sinun ei tarvitse aloittaa niitä manuaalisesti näin, paitsi harvinaisissa olosuhteissa
Upload|upload
URL to upload from|URL lähetettäväksi
USB drive format has failed|USB-asema on epäonnistunut
USB drive format in progress|USB-asema on käynnissä
USB drive format is complete|USB-asema on valmis
Username: |Käyttäjätunnus:
Username: admin|Käyttäjätunnus: admin
Members|käyttäjät
Using your preferred editor|Käyttämällä haluamaasi editoria
Video broadcast|Videon lähetys
Vietnamese|vietnam
Voice chat|Äänipuhelu
WARNING: THIS WILL ERASE ALL CONTENT OF THE USB DRIVE|VAROITUS: TÄTÄ POISTA KAIKKI USB-ASEMAN SISÄLTÖ
We're sorry, but the username you gave is not suitable. Check that it does not contain spaces, is lower case and at least 3 characters in length.|Pahoittelemme, mutta antamasi käyttäjänimi ei ole sopiva. Varmista, että se ei sisällä välilyöntejä, on pienikokoinen ja pituudeltaan vähintään 3 merkkiä.
Web publishing system|Web-julkaisujärjestelmä
When done editing click on the wiki button again|Kun olet valmis, napsauta wiki-painiketta uudelleen
When it's done it will appear on the apps screen|Kun se on tehty, se näkyy sovellusnäytössä
When removal is finished it will disappear from apps|Kun poistuminen on valmis, se poistuu sovelluksista
When you are done with translating select the 'import' button on the translations screen.|Kun olet valmis kääntämisen jälkeen, valitse "tuonti" -painike käännösten näytöllä.
When you've added your translations select the 'update' button. This will update the translations file for the selected language. Note that this does not change the current language within the user interface. If you want to do that go back to the language screen, select a language and then the 'select' button.|Kun olet lisännyt käännöksesi, valitse päivitys -painike. Tämä päivittää valitun kielen käännöstiedoston. Huomaa, että tämä ei muuta nykyistä kieltä käyttöliittymässä. Jos haluat tehdä tämän, palaa kielivalikkoon valitsemalla kieli ja sitten "valitse" -painike.
Whichever screen you are currently on, you can get back to the previous screen by clicking or pressing on the LibreServer logo at the top.|Minkälainen näyttö tällä hetkellä on, voit palata edelliseen näyttöön napsauttamalla tai painamalla yläosassa olevaa LibreServer-logoa.
With Icecast you can run your own internet radio stream from an onion address. As always, be careful about copyright issues and preferably stick to Creative Commons music or music files that you own.|Icecastilla voit käyttää oman Internet-radion streamia sipulin osoitteesta. Kuten aina, ole varovainen tekijänoikeuskysymyksistä ja mieluummin kiinni Creative Commons -musiikista tai musiikkitiedostoista, joita omistat.
Within the network list click, Add and enter your domain name then click Edit.|Valitse verkko-luettelossa Lisää ja syötä verkkotunnuksesi nimi ja napsauta Muokkaa.
Within the Password field enter the password which you originally set up the box with.|Kirjoita Salasana-kenttään salasana, jonka alunperin laatikko asetettiin.
Within the software center search for "mumble" and install the client then run it. Skip through the audio setup wizard. Cancel the initial connection window.|Ohjelmistokeskuksen sisällä etsiä "mumble" ja asenna asiakas ja suorita se. Ohita ohjatun ääniasetustoiminnon avulla. Peruuta alkutili-ikkuna.
Write it down or save it|Kirjoita se tai tallenna se
XMPP|XMPP
xmpp based chat system|xmpp-pohjainen chat-järjestelmä
Yes|Joo
You can edit the translated text on the right side of the screen.|Voit muokata käännettyä tekstiä näytön oikealla puolella.
You can get to this system remotely via:|Voit päästä järjestelmään etäyhteyden kautta:
You can now go back to the initial Conversations app screen and start using it. You'll probably want to add contacts using the icon at the bottom right. For more information see the Conversations website (conversations.im) or subscribe to the chat group conversations@conference.siacs.eu|Voit nyt palata aloituskeskustelut-sovelluksen näyttöön ja aloittaa sen käytön. Luultavasti haluat lisätä yhteystietoja kuvakkeen alapuolella oikealla. Lisätietoja on Keskustelut -sivustossa (conversations.im) tai tilaamalla keskusteluryhmät conversations@conference.siacs.eu
You can now log in with:|Voit nyt kirjautua sisään seuraavilla tavoilla:
You can see upgrade progress|Näet päivityksen edistyksen
You can use left and right cursor keys to move through pages|Voit siirtyä sivun kautta vasemmalla ja oikealla nuolipainikkeella
You may also want to make another entry with the same settings but replacing tcp with udp.|Voit myös haluta tehdä toisen merkinnän samoilla asetuksilla, mutta korvata tcp: n udp: lla.
You may now remove the USB drive|Voit nyt poistaa USB-aseman
You might have mistyped one of them|Saatat olla väärin yksi niistä
You will see the translations file with some instructions at the top.|Näet käännöstiedoston joidenkin ohjeiden yläosassa.
Your password must be at least 8 characters in length and only use the characters a-z A-Z and 0-9|Salasanasi on oltava vähintään 8 merkkiä pitkä ja käytä vain a-z A-Z ja 0-9 merkkejä
Zero knowledge pastebin|Nolla tietämyspastaa
Theme|Teema
Light|valo
Dark|Tumma
Mail|posti
Clear|Asia selvä
Send email through a proxy|Lähetä sähköpostia proxy-välityksellä
If you find that you can't send out email and that you get 'failed delivery' messages returned instead then you may be able to proxy sent emails through another server. Sometimes ISPs or companies provide an SMTP server which can do this.|Lähettäjän sähköpostiosoite ja sähköpostiosoite ovat lähettäneet välityspalvelimen sähköpostitse kautta en annen palvelimen. Joskus palveluntarjoajan Internet-palveluntarjoajan palveluntarjoajan palveluntarjoaja joutuu kärsimään.
Failed to install. For details see admin/applog.txt|Asennuksen epäonnistuminen. Lisätietoja on ohjeaiheessa admin/applog.txt
Installed successfully|Asennettu onnistuneesti
pihole|pihole
Unlike browser based ad blockers, pihole works at the domain name resolution level to block domains known to privide the ads appearing in web pages.|Toisin kuin selainpohjaiset mainosten salpaajat, pihole toimii verkkotunnuksen resoluution tasolla estää verkkotunnukset, joiden tiedetään vahvistavan verkkosivujen mainoksia.
Set your DNS IP address to the one shown and many ads will get blocked even before they're delivered to your laptop or mobile device. This can save a lot of bandwidth and generally speed up the loading of websites.| Aseta DNS-IP-osoitteen näyttöön ja monet mainokset estetään, ennen kuin ne toimitetaan kannettavalle tietokoneelle tai mobiililaitteelle. Tämä voi säästää paljon kaistanleveyttä ja yleensä nopeuttaa verkkosivustojen lataamista
Change DNS on your internet router| Vaihda DNS Internet-reitittimessäsi
If your internet router allows you to change the DNS IP address then this is the best way to use pihole because it will then provide coverage for all of the devices and computers in your home.|Jos Internet-reitittimesi avulla voit muuttaa DNS-IP-osoitetta, tämä on paras tapa käyttää pihole, koska se antaa kattavuuden kaikille kotona oleville laitteille ja tietokoneille.
Change DNS on individual devices|Vaihda DNS yksittäisillä laitteilla
If you can't change your internet router's DNS then you can do that on individual GNU/Linux systems as follows:| Jos et voi muuttaa Internet-reitittimen DNS: tä, voit tehdä sen yksittäisissä GNU/Linux-järjestelmissä seuraavasti:
Remove or comment out any existing nameservers and add one with the IP address shown for the pihole app. Something like:|Poista olemassa olevat palvelinten nimet ja poista ne ja lisää ne yhdellä IP-osoitteen kanssa, joka on osoitettu pihole -sovellukselle. Jotain:
Then save and exit and prevent the file from being automatically changed with:| Tallenna sitten ja poistu ja estä tiedostoa automaattisesti muuttamalla:
If you're running the standard version of LibreServer (not the onion version) then you may need to modify your hosts file to access your own domain.|Jos käytät LibreServern vakioversion (ei sipuliversiota), sinun on ehkä muokattava isäntätiedostoasi päästäksesi omaan verkkotunnustasi.
Then add something like:|Lisää sitten jotain:
This only works when you're within your home network, so if you're outside of your home then undo the changes made above.|Tämä toimii vain, kun olet kotiverkossasi, joten jos olet ulkopuolella kotisi, kumoa edellä tehdyt muutokset
The Pi-hole is a DNS sinkhole that protects your devices from unwanted content, without installing any client-side software.|Pi-reikä on DNS-läpivienti, joka suojaa laitteitasi ei-toivotulta sisällöltä ilman, että asennat mitään asiakaspuolen ohjelmistoa.
Search|Hae
removed|poistettu
To get email working you will need to forward some ports. Email using your onion address will work anyway, so long as you are contacting other onion based email addresses.|Jotta saisit sähköpostia, sinun on toimitettava joitain portteja. Sähköposti käyttäen sipuliosoitteesi toimii joka tapauksessa, niin kauan kuin otat yhteyttä muihin sipulipohjaisiin sähköpostiosoitteisiin.
Forward ports 25, 587 and 465 from your internet router|Välitä portit 25, 587 ja 465 Internet-reitittimestasi
To access cryptpad you'll need to use a Tor browser. Navigate to the URL and enable javascript for the site under the NoScript icon. The screen will be blank for a few seconds while it's downloading the application into your browser.|Jos haluat käyttää salakirjoitinta, sinun on käytettävä Tor-selainta. Siirry URL-osoitteeseen ja salli sivuston javascript NoScript-kuvakkeen alla. Näyttö on tyhjä muutamassa sekunnissa, kun se lataa sovelluksen selaimeesi.
Cryptpad is an almost peer-to-peer application. No data is stored on the server, which only does minimal orchestration between the clients. If an adversary subsequently obtains the server they still learn nothing.|Cryptpad on lähes peer-to-peer -sovellus, eikä palvelimelle ole tallennettu tietoja, mikä vain minimoi asiakkaiden välisen orkestroinnin. Jos vastapuoli myöhemmin saa palvelimen, he eivät vieläkään saa mitään tietoa.
Authentication Token|Todennusmerkki
This is only needed if you're using FreeDNS. Otherwise you can leave it blank.|Tämä on tarpeen vain, jos käytät FreeDNS-ohjelmaa. Muutoin voit jättää sen tyhjäksi.
On the site where you obtained your domain name set up some custom nameservers as follows:|Verkkotunnuksestasi hankitulla sivustolla perustettiin joitain mukautettuja nimipalvelimia seuraavasti:
On the FreeDNS site go to the "Dynamic DNS" section and make sure that "link updates of the same IP together" is set to ON.|Siirry FreeDNS-sivustoon kohtaan "Dynaaminen DNS" -osio ja varmista, että samojen IP-yhteyksien päivitykset tulevat ON-tilaan.
For your main domain name select "quick cron example" and then your authentication token is the random string on the last line between the ? and = characters.|Päädynimesi nimeksi valitaan "nopea cron-esimerkki" ja sitten todennusmerkki on viimeisen rivin satunnaisjono merkkijoukon? Ja = välillä.
Your current IP address is shown at the top of the Dynamic DNS screen of the LibreServer user interface. You can use the "Mass Mod" feature at the top of the "Subdomains" part of the FreeDNS site to set all of your subdomains to that IP address.|Voit käyttää "Mass Mod" -ominaisuutta FreeDNS-sivuston "Aliverkkotunnukset" -osan yläreunassa asettaaksesi kaikki aliverkkotunnuksesi siihen IP-osoite.
Select the MX entry for your main domain and change the destination to 10:mydomainname rather than 10:mail.mydomainname.|Valitse MX-merkintä pääverkostasi ja muuta määränpää 10: mydomainname-osoite sijaan 10: mail.mydomainname.
Enter your FreeDNS login details and the authentication token on the Dynamic DNS screen of the LibreServer user interface.|Syötä FreeDNS-kirjautumistiedot ja todennusmerkki LibreServer-käyttöliittymän Dynamic DNS -näytöllä.
To make a playlist insert a USB drive containing audio files in a directory called playlist, add a description below and then select Update|Voit lisätä soittolistaan ​​USB-aseman, joka sisältää äänitiedostoja soittolistassa, lisää alla oleva kuvaus ja valitse sitten Päivitä
To add music copy it to a directory called Music on a USB drive then plug it into your server and select Update|Lisää musiikki kopioi se USB-asemaan nimeltä Musiikki-hakemistoon ja liitä se sitten palvelimeen ja valitse Päivitä
This is a wiki which stores its content in text files. Having no database makes maintaining it simpler, and it's not tied to any particular domain name so you can easily copy the files to a different domain if you need to.|Tämä on wiki, joka tallentaa sen sisällön tekstitiedostoihin. Tietokannan ylläpitäminen tekee siitä yksinkertaisemman, eikä se ole sidoksissa mihinkään tietylle verkkotunnukselle, joten voit helposti kopioida tiedostot toiseen verkkotunnukseen, jos tarvitset.
Provides an easy and private way to sync calendar and contacts between devices.|Tarjoaa helpon ja yksityisen tavan synkronoida kalenteri ja yhteystiedot laitteiden välillä.
Using on mobile|Käyttäminen mobiililaitteilla
The user interface is a little misleading. Make sure that you log in with your username, not your email addres.|Käyttöliittymä on hieman harhaanjohtava. Varmista, että kirjaudut käyttäjänimesi, ei sähköpostiosoitteiden, kanssa.
Also choose the advanced option and enter the subdomain that you installed etesync on.|Valitse myös lisäasetus ja syötä alasivusto, johon olet asentanut etesyncin.
This is a well known system for real time collaborative editing of documents. Just log in, choose a document title and then edit. Different users will appear in different colours, and can also chat in the sidebar. This is installed as a private system in which only users on your LibreServer server will be able to create and edit documents, so it's not open to any random users on the internet.|Tämä on tunnettu järjestelmä reaaliaikaiseen dokumenttien yhteistoimintaan. Kirjaudu sisään vain, valitse asiakirja ja muokkaa sitä. Eri käyttäjät näyttävät eri väreissä ja voivat myös keskustella sivupalkissa. Tämä on asennettu yksityiseksi järjestelmäksi, jossa vain LibreServer-palvelimen käyttäjät voivat luoda ja muokata asiakirjoja, joten se ei ole avoin millekään satunnaiselle käyttäjälle Internetissä.
This is a federated social networking system. It can federate with other popular fediverse systems.|Tämä on yhdistetty sosiaalisen verkostoitumisen järjestelmä. Se voi liittää muiden suosittujen fediverse-järjestelmien kanssa.
This is a blogging system which has no database and only uses text files for storage.|Tämä on bloggausjärjestelmä, jolla ei ole tietokantaa ja käyttää vain tekstitiedostoja tallennukseen.
This is a git hosting system. It's very similar to Github in appearance and use, is lightweight and so is well suited for use on low power ARM servers.|Tämä on git hosting -järjestelmä. Se on hyvin samanlainen kuin Github ulkonäössä ja käytössä, on kevyt ja sopii hyvin käytettäväksi pienitehoisissa ARM-palvelimissa.
This is a web publishing and social network system which includes wiki, web pages, photo albums and file storage. It also has nomadic identity allowing you to easily move your account between different servers and privacy controls which allow you to define who can see what content.|Tämä on verkkojulkaisu ja sosiaalinen verkosto, joka sisältää wikin, verkkosivut, valokuva-albumit ja tiedoston tallennuksen. Se on myös nomadinen henkilöllisyys, jonka avulla voit helposti siirtää tilisi eri palvelinten ja tietoturvavalvonnan välillä. Näin voit määrittää, kuka voi nähdä sisällön.
Kanbans are one way of managing projects. They're traditionally used in businesses but can also be useful for personal TODO lists or within open source or DIY projects. If you have a list of things which need to be done and want to keep track of progress then this provides a way to do that.|Kanban on yksi tapa hallita hankkeita. Niitä käytetään perinteisesti yrityksissä, mutta ne voivat olla hyödyllisiä myös henkilökohtaisiin TODO-luetteloihin tai avoimen lähdekoodin tai DIY-projektien yhteydessä. Jos sinulla on luettelo asioista, jotka on tehtävä ja haluat seurata edistymistä, niin tämä tarjoaa keinon tehdä niin.
The default login is username "admin" and the login password which you usually use for the web interface.|Oletus kirjautumiseen on käyttäjätunnus "admin" ja kirjautumissalasana, jota yleensä käytät web-käyttöliittymään.
If you're using a Tor browser then you may need to allow javascript for the site by selecting the NoScript icon.|Jos käytät Tor-selainta, sinun on ehkä sallittava sivuston javascript valitsemalla NoScript-kuvake.
Extra users can be added from the drop down menu at the top right of the screen, under "Users management".|Lisäkäyttäjiä voidaan lisätä pudotusvalikosta näytön oikeassa yläkulmassa kohdassa Käyttäjien hallinta.
This enables you to store your music on the LibreServer server and then access it from any internet connected device.|Tämän avulla voit tallentaa musiikkisi LibreServer-palvelimelle ja käyttää sitä mistä tahansa internetyhteydestä.
This is a simple and lightweight photo album for the web. Whether you're an amateur or professional photographer, or want to publish random holiday pics or cat pictures. Lychee just does what it says it does without any fuss.|Tämä on yksinkertainen ja kevyt valokuva-albumi verkossa. Olitpa amatööri tai ammattimainen valokuvaaja tai haluat julkaista satunnaisia ​​loma-kuvia tai kissan kuvia. Lychee vain tekee sen, mitä se sanoo, ilman mitään hätää.
This provides an webmail interface suitable for use on desktop or mobile clients and with built in support for encryption.|Tämä tarjoaa webmail-rajapinnan, joka soveltuu käytettäväksi työpöydällä tai mobiililaitteilla ja sisäänrakennetulla salauksella.
This is a system for file synchronisation and also has many other plugins for calendar, videoconferencing, collaborative document editing and federated file sharing.|Tämä on tiedostojen synkronointijärjestelmä, ja siinä on myös monia muita kalenteri-, videokonferensseja, yhteistoiminnallisten asiakirjojen muokkausta ja tiedostojen jakamista.
This is a video hosting system which uses webtorrent to help distribute the files to or between clients.|Tämä on video hosting-järjestelmä, joka käyttää webtorrentia jakamaan tiedostot asiakkaille tai niiden välillä.
Use the username 'root' and your usual password to log in as the administrator. You can then change settings as needed.|Käytä käyttäjätunnusta "root" ja tavallinen salasana kirjautumalla sisään järjestelmänvalvojana. Voit muuttaa asetuksia tarpeen mukaan.
This is an OStatus and ActivityPub compatible social networking server which federates with other fediverse systems. It is high-performance and so is especially well suited for running on low power single board computers without much RAM.|Tämä on OStatus- ja ActivityPub-yhteensopiva sosiaalinen verkko-palvelin, joka liittää muiden fediversien järjestelmien kanssa. Se on erittäin suorituskykyinen, joten se sopii erityisen hyvin käytettäväksi pienitehoisissa yhden korttikoneissa ilman paljon RAM-muistia.
Since Pleroma supports the same protocols, any Mastodon client for Android should work with it.|Koska Pleroma tukee samoja protokollia, minkä tahansa Androidin Mastodon-asiakkaan pitäisi työskennellä sen kanssa.
This is a fork of GNU Social which includes some extra fixes and optimisations to improve performance. It federates with other fediverse servers, such as Pleroma or Mastodon.|Tämä on GNU Socialin haarukka, joka sisältää joitain lisäkorjauksia ja optimointeja suorituskyvyn parantamiseksi. Se yhdistää muiden palvelimien kanssa, kuten Pleroma tai Mastodon.
This is an encrypted pastebin, such that the server has zero knowledge of the content. It's intended for small amounts of text less than 32K in length. It's not intended for transfering large files, or for storing pastes for more than a day.|Tämä on salattu lippu, jolla palvelimella ei ole tietoa sisällöstä. Se on tarkoitettu pienempiin tekstiin, joiden pituus on alle 32 k. Se ei ole tarkoitettu suurien tiedostojen siirtämiseen tai tahran säilyttämiseen yli päivälle.
This is a web based user interface to the Matrix federated chat system. You will need to have already installed the Matrix app for this to work.|Tämä on Web-pohjainen käyttöliittymä Matrix-yhdistyneeseen chat-järjestelmään. Matrix-sovelluksen on oltava asennettuna jo toimimaan.
This is yet another chat system, but the server part of it isn't federated and so it's suitable for small private groups rather than for general public discussions.|Tämä on vielä uusi chat-järjestelmä, mutta sen palvelinosa ei ole yhdistetty, joten se sopii pienille yksityisille ryhmille eikä yleisön keskusteluille.
Provides a similar capability to proprietary systems such as Dropbox, and also is well suited for use with low power single board computers. You can have one or more directories which are synchronized across your various laptops/desktops/devices, and this makes it hard for you to ever lose important files. Of course, you don't necessarily need to be running a server in order to use Syncthing, but if you do have a server which is always running then there's always at least one place to synchronize your files to or from.|Edellyttää samanlaisia ​​ominaisuuksia kuin omaperäiset järjestelmät, kuten Dropbox, ja soveltuu hyvin myös pienitehoisten yhden korttikoneen käyttöön. Voit saada yhden tai useamman hakemiston, joka on synkronoitu eri kannettavien tietokoneiden / pöytätietokoneiden / laitteiden välillä, mikä vaikeuttaa sinua menettämässä tärkeitä tiedostoja. Tietenkään sinun ei välttämättä tarvitse käyttää palvelinta, jotta voit käyttää synkronointia, mutta jos sinulla on palvelin, joka on aina käynnissä, on aina vähintään yksi paikka synkronoida tiedostot tai lähde.
On a Debian based system:|Debian-järjestelmässä:
Or on Android search for the Syncthing app.|Tai Android-haulla Synktinen sovellus.
Using the settings button within the LibreServer web interface for the Syncthing app you can then paste in any IDs for other devices. They will then sync with your server.|Käyttämällä Asetukset-painiketta LibreServer-web-käyttöliittymässä Synkronoitosovelluksen avulla voit liittää minkä tahansa tunnuksen muihin laitteisiin. Ne synkronoituvat sitten palvelimen kanssa.
A system for privately creating and sharing notes and images, similar to Evernote. It can be set up so that a small number of users on the server can share their notes in a convenient way. It doesn't have any web user interface, and you need to install native clients on mobile or laptop/desktop machines.|Järjestelmä, joka luo ja jakaa muistiinpanoja ja kuvia, kuten Evernote. Se voidaan määrittää niin, että pieni määrä käyttäjiä palvelimella voi jakaa muistiinpanonsa kätevästi. Se ei ole web-käyttöliittymää, ja sinun on asennettava alkuperäisiä asiakkaita mobiiliin tai kannettavaan / pöytäkoneeseen.
Since the data at rest is stored in PGP encrypted format this is a good system to use in cases where security really is a critical factor.|Koska lepotilassa olevat tiedot tallennetaan PGP-salattuun muotoon, tämä on hyvä järjestelmä, jota käytetään tapauksissa, joissa turvallisuus on todella kriittinen tekijä.
Go to https://turtlapp.com/download and you'll then be able to download the appropriate app for your laptop or phone.|Siirry osoitteeseen https://turtlapp.com/download ja voit sitten ladata sopivan sovelluksen kannettavaksi tai puhelimellesi.
Run the downloaded native app then at the bottom of the screen select "advanced settings" and enter your turl domain name, then register a new account. The password can be anything you choose, but since the client side encryption depends upon having a good password make it a long random string generated by a password manager such as KeepassX.|Suorita ladattu natiivi sovellus, valitse näytön alareunasta "Lisäasetukset" ja kirjoita turl-verkkotunnuksesi ja rekisteröi uusi tili. Salasana voi olla mikä tahansa, mutta koska asiakaspuolen salaus riippuu siitä, että sinulla on hyvä salasana, se tekee salasanan hallinnan, kuten KeepassX: n, pitkän satunnaisen merkkijonon.
You should then be able to log in and start using the app. You might also want to invite any other users of your LibreServer system to also sign up using the turtl domain name which you specified during installation.|Sinun pitäisi sitten kirjautua sisään ja aloittaa sovelluksen käyttäminen. Haluat myös haluta kutsua muita LibreServer-järjestelmän käyttäjiä myös rekisteröitymään turtl-verkkotunnuksen avulla, jonka olet määrittänyt asennuksen aikana.
Disabling new registrations|Uusien rekisteröitymisten poistaminen käytöstä
Once you have set up the server with however many users are needed you can then disable any new registrations by selecting Turtl on the LibreServer web interface and going to the settings screen.|Kun olet määrittänyt palvelimen, mutta tarvitset kuitenkin paljon käyttäjiä, voit poistaa kaikki uudet rekisteröinnit valitsemalla Turtl-ohjelman Freedombon web-käyttöliittymästä ja siirtymällä asetusten näyttöön.
This is similar to Hubzilla but with a reduced range of features concentrating exclusively upon social networking with the latest version of the Zot protocol. Nomadic identity is supported, so to can export your channels and import them on other servers if necessary, without losing followers.|Tämä on samanlainen kuin Hubzilla mutta pienempi valikoima ominaisuuksia, jotka keskittyvät yksinomaan sosiaaliseen verkostoon uusimman Zot-protokollan avulla. Nomadista identiteettiä tuetaan, jotta voimme viedä kanavasi ja tuoda ne muille palvelimille, ilman että menetämme seuraajia.
The first account you register will be the administrator user, and from there you can go to the admin settings and disable new registrations if needed.|Rekisteröitymän ensimmäinen tili on järjestelmänvalvojan käyttäjä, ja sieltä voit siirtyä admin-asetuksiin ja poistaa tarvittaessa uusia rekisteröintejä.
To find other users to follow select "directory" from the drop down menu at the top right of the screen and set "this site only" to "no".|Voit etsiä muita käyttäjiä seuraamaan valikosta "hakemisto" pudotusvalikosta näytön oikeassa yläkulmassa ja asettamaan "vain tämä sivusto" -asetukseksi "ei".
There is an Android app available called Nomad.|Käytössä on Android-sovellus nimeltä Nomad.
End-to-end encrypted sync of calendar and contacts between devices|Kalenterin ja yhteyksien välinen salattu salattu synkronointi laitteiden välillä
Secure, end-to-end encrypted and journaled personal information cloud synchronization for Android and the desktop, supporting contacts and calendars|Turvallinen, päästä päähän salattu ja päivitetty henkilökohtainen tieto pilvi synkronointi Android ja työpöydälle, yhteystietojen ja kalenterien tukeminen
Nomadic social network server|Nomadinen sosiaalisen verkon palvelin
Change background|Vaihda taustakuva
Diagnostics|diagnostiikka
Please wait while your app is installing|Odota, kun sovelluksesi asentuu
The app could not be installed|Sovellusta ei voitu asentaa
Add a new member|Lisää uusi jäsen
Kanban focussed on simplicity and minimalism|Kanban keskittyi yksinkertaisuuteen ja minimalismiin
Emails, chat or social network posts will be blocked if they contain the following words or phrases|Sähköposti-, chat- tai sosiaalisen verkoston viestit estetään, jos ne sisältävät seuraavat sanat tai lauseet
Muted words|Poistettu sanat
Disk space is getting too low. Installation stopped.|Levytila on liian alhainen. Asennus pysähtyi.
Password changed|Salasana vaihdettu
Play media from any UPNP/DLNA device on your local network|Toista media paikallisverkon UPNP / DLNA-laitteelta
This allows you to play media on any DLNA supporting device within your local network.|Näin voit toistaa mediaa missä tahansa DLNA-tukilaitteessa paikallisessa verkossasi.
No Access Control|Ei pääsyä
DLNA doesn't have any access controls, so keep in mind that anyone with a mobile device or laptop within your local network is potentially able to play any media on the server. Hence this may not be suitable for situations where you want parental control over what media can be accessed.|DLNA: lla ei ole käyttöoikeuksien hallintaa, joten muista, että kuka tahansa, jolla on paikallisverkossa oleva mobiililaite tai kannettava tietokone, voi mahdollisesti pelata palvelimella olevia tietovälineitä. Siksi tämä ei ehkä sovi tilanteisiin, joissa haluat, että vanhempien valvonta on mahdollista, millä mediasovelluksella on pääsy.
Adding Media|Median lisääminen
You can add media by selecting the settings button from the DLNA app.|Voit lisätä tiedotusvälineitä valitsemalla DLNA-sovelluksen asetukset-painikkeen.
Your homepage can also be accessed with a Tor browser on:|Kotisivullesi pääsee myös Tor-selaimella:
Chat|Chat
Media|Media
Social|sosiaaliset
Sync|sync
Publishing|julkaisu
Other|Muut
Recommended Firefox Add-ons:|Suositellut Firefox-lisäosat:
Change your default domain name|Muuta oletusalueen nimeä
Do you want to change your default domain name to:|Haluatko muuttaa oletusalueen nimeäsi:
rsync failed|rsync epäonnistui
For most purposes Syncthing is an easier file synchronization system, but rsync is still a reliable solution if you prefer to do things the more traditional way or if you just want to create a mirror from an existing rsync server.|Useimmissa tapauksissa Syncthing on helpompi tiedostojen synkronointijärjestelmä, mutta rsync on edelleen luotettava ratkaisu, jos haluat tehdä asioita perinteisemmällä tavalla tai jos haluat vain luoda peilin olemassa olevasta rsync-palvelimesta.
Rsync is unencrypted but can be used via an onion address for transport security. If you are using it via your domain name then third parties will be able to see the content, but this may not matter if you are synchronizing already public files, such as GNU/Linux distro downloads.|Rsync on salaamaton, mutta sitä voidaan käyttää sipuliosoitteen avulla kuljetuksen turvallisuuteen. Jos käytät sitä verkkotunnuksesi kautta, kolmannet osapuolet voivat nähdä sisällön, mutta tämä ei välttämättä ole tärkeää, jos synkronoit jo julkisia tiedostoja, kuten GNU / Linux-lataus.
Avoid using this for private data, unless you are exclusively using rsync via the onion address.|Vältä tätä käyttöä yksityisille tiedoille, ellet käytä yksinomaan rsyncia sipuliosoitteen kautta.
Creating a Mirror|Peilin luominen
Select the Settings button then enter the domain and module name for the mirror. From then on synchronization will happen once per day.|Valitse Asetukset-painike ja kirjoita sitten peilin domeeni ja moduulin nimi. Siitä lähtien synkronointi tapahtuu kerran päivässä.
Local Sync|Paikallinen synkronointi
If you created a mirror to your server you can then sync those files to other machines or devices on your local network as follows:|Jos olet luonut palvelimelle peilin, voit synkronoida nämä tiedostot muihin paikallisen verkon koneisiin tai laitteisiin seuraavasti:
If "libreserver" doesn't work then you can substitute the local IP address of your server.|Jos "libreserver" ei toimi, voit korvata palvelimesi paikallisen IP-osoitteen.
Create a mirror of public files|Luo julkisten tiedostojen peili
The domain name could not be changed|Verkkotunnusta ei voitu muuttaa
This might be because you do not have ports 80 and 443 forwarded to the server.|Tämä voi johtua siitä, että palvelimelle ei ole lähetetty portteja 80 ja 443.
Check the port forwarding settings on your internet router.|Tarkista internet-reitittimen porttisiirtoasetukset.
Please specify a domain name which will be used for your email or XMPP address.|Määritä verkkotunnus, jota käytetään sähköpostiisi tai XMPP-osoitteeseesi.
Please forward the following ports from your internet router:|Lähetä seuraavat portit Internet-reitittimestäsi:
Search for 'Barcode Scanner', then select 'install'|Etsi 'Viivakoodinlukija' ja valitse sitten 'Asenna'
Download the DarkMessenger apk file via the link below, preferably using a Tor based browser, then install it|Lataa DarkMessenger apk-tiedosto alla olevan linkin avulla, mieluiten Tor-pohjaisen selaimen avulla, ja asenna se sitten
Run DarkMessenger and the initial account setup will be shown. DarkMessenger only allows onion addresses to be used to create accounts|Suorita DarkMessenger ja alkuperäinen tiliasetus näytetään. DarkMessenger sallii vain sipuliosoitteiden käytön tilin luomisessa
You can obtain your onion XMPP address from the Members section within the web interface, usually at http://libreserver/admin or http://libreserver.local/admin. If you can't easily copy and paste it into the account setup within DarkMessenger then you can use the barcode scanner on the QRcode displayed|Voit hankkia sipulisi XMPP-osoitteen Web-käyttöliittymän jäsenten osiosta, yleensä osoitteesta http: // libreserver / admin tai http: //libreserver.local/admin. Jos et voi kopioida ja liittää sitä helposti DarkMessengerin tiliasetukseen, voit käyttää viivakoodinlukijaa näytettävällä QR-koodilla
Enter the password which you stored during initial setup of the system and also the onion domain|Syötä salasana, jonka tallensit järjestelmän alkuasennuksen aikana, sekä sipuli-verkkotunnuksen
You should now be able to connect to your onion XMPP account and set an avatar image if necessary|Sinun pitäisi nyt pystyä muodostamaan yhteys sipulisi XMPP-tiliin ja asettamaan avatar-kuvan tarvittaessa
