About|hakkında
To upload music files install Syncthing then copy album directories into ~/Sync/music_upload, then within Koel go to settings and scan the directory /music|Müzik dosyalarını yüklemek için Syncthing uygulamasını kurun ve ardından albüm dizinlerini ~ / Sync / music_upload dosyasına kopyalayın, ardından Koel içinde ayarlara gidin ve dizini / müziği tarayın
Tor Bridges|Tor Köprüler
Translate|Çevirmek
Translations|Çeviriler
Turkish|Türk
Type: SRV|Türü: SRV
Ukrainian|Ukrayna
Uncheck use global user information.|Global kullanıcı bilgilerini kullan onay kutusunun işaretini kaldırın.
Uninstall|Kaldırma
Update|Güncelleştirme
Updates settings changed|Güncelleme ayarları değişti
Upgrade|Yükselt
Upgrades happen automatically. You don't need to start them manually like this, except in rare circumstances|Yükseltmeler otomatik olarak gerçekleşir. Nadir durumlar dışında bunları manuel olarak başlatmanız gerekmez.
Upload|Yükleme
URL to upload from|Tarafından yüklenecek URL
USB drive format has failed|USB sürücü formatı başarısız oldu
USB drive format in progress|USB sürücü formatı devam ediyor
USB drive format is complete|USB sürücü formatı tamamlandı
Username: |Kullanıcı adı:
Username: admin|Kullanıcı adı: admin
Members|Kullanıcılar
Using your preferred editor|Tercih editörünüzü kullanma
Video broadcast|Video yayını
Vietnamese|Vietnam
Voice chat|Sesli sohbet
WARNING: THIS WILL ERASE ALL CONTENT OF THE USB DRIVE|UYARI: BU USB SÜRÜCÜNÜN TÜM İÇERİĞİ SİLECEKTİR
We're sorry, but the username you gave is not suitable. Check that it does not contain spaces, is lower case and at least 3 characters in length.|Üzgünüz, ama verdiğiniz kullanıcı adı uygun değil. Boşluk içermediğinden, küçük harf olduğundan ve en az 3 karakter uzunluğunda olduğundan emin olun.
Web publishing system|Web yayın sistemi
When done editing click on the wiki button again|Düzenleme bittiğinde tekrar wiki düğmesine tıklayın
When it's done it will appear on the apps screen|Tamamlandığında uygulamalar ekranında görünecek
When removal is finished it will disappear from apps|Kaldırma işlemi bittiğinde, uygulamalardan kaybolacak
When you are done with translating select the 'import' button on the translations screen.|Çeviri ile işiniz bittiğinde, çeviriler ekranında 'içe aktar' düğmesini seçin.
When you've added your translations select the 'update' button. This will update the translations file for the selected language. Note that this does not change the current language within the user interface. If you want to do that go back to the language screen, select a language and then the 'select' button.|Çevirilerinizi eklediğinizde 'güncelleme' düğmesini seçin. Bu, seçilen dilin çeviriler dosyasını güncelleyecektir. Bunun, kullanıcı arayüzündeki mevcut dili değiştirmediğine dikkat edin. Bunu yapmak isterseniz, dil ekranına geri dönün, bir dil ve ardından 'seçin' düğmesini seçin.
Whichever screen you are currently on, you can get back to the previous screen by clicking or pressing on the LibreServer logo at the top.|Şu anda hangi ekran üzerindeyseniz, üstteki LibreServer logosuna tıklayarak veya üzerine basarak önceki ekrana dönebilirsiniz.
With Icecast you can run your own internet radio stream from an onion address. As always, be careful about copyright issues and preferably stick to Creative Commons music or music files that you own.|Icecast ile kendi internet radyo akışınızı bir soğan adresinden çalıştırabilirsiniz. Her zaman olduğu gibi, telif hakkı sorunlarına dikkat edin ve tercihen sahip olduğunuz Creative Commons müzik veya müzik dosyalarına yapıştırın.
Within the network list click, Add and enter your domain name then click Edit.|Ağ listesi içinde, Ekle ve alan adınızı girin, ardından Düzenle'yi tıklayın.
Within the Password field enter the password which you originally set up the box with.|Şifre alanında, kutuyu orijinal olarak ayarladığınız şifreyi girin.
Within the software center search for "mumble" and install the client then run it. Skip through the audio setup wizard. Cancel the initial connection window.|Yazılım merkezinde "mumble" kelimesini arayın ve müşteriyi kurun, ardından çalıştırın. Ses kurulum sihirbazını atlayın. İlk bağlantı penceresini iptal edin.
Write it down or save it|Yaz ya da kaydet
XMPP|XMPP
xmpp based chat system|xmpp tabanlı sohbet sistemi
Yes|Evet
You can edit the translated text on the right side of the screen.|Çevrilen metni ekranın sağ tarafında düzenleyebilirsiniz.
You can get to this system remotely via:|Bu sisteme uzaktan aşağıdaki yollarla ulaşabilirsiniz:
You can now go back to the initial Conversations app screen and start using it. You'll probably want to add contacts using the icon at the bottom right. For more information see the Conversations website (conversations.im) or subscribe to the chat group conversations@conference.siacs.eu|Artık ilk Konuşmalar uygulaması ekranına geri dönüp kullanmaya başlayabilirsiniz. Sağ alttaki simgeyi kullanarak muhtemelen kişi eklemek isteyeceksiniz. Daha fazla bilgi için Konuşmalar web sitesine bakın (conversations.im) veya sohbet grubuna abone olun conversations@conference.siacs.eu
You can now log in with:|Şimdi giriş yapabilirsiniz:
You can see upgrade progress|Yükseltme ilerlemesini görebilirsiniz
You can use left and right cursor keys to move through pages|Sayfalarda ilerlemek için sol ve sağ imleç tuşlarını kullanabilirsiniz.
You may also want to make another entry with the same settings but replacing tcp with udp.|Aynı ayarlarla başka bir giriş yapmak isteyebilirsiniz, ancak tcp'yi udp ile değiştirebilirsiniz.
You may now remove the USB drive|Şimdi USB sürücüsünü kaldırabilirsiniz
You might have mistyped one of them|Bunlardan birini yanlış yazmış olabilirsiniz
You will see the translations file with some instructions at the top.|En üstteki bazı talimatları içeren çeviriler dosyasını göreceksiniz.
Your password must be at least 8 characters in length and only use the characters a-z A-Z and 0-9|Şifreniz en az 8 karakter uzunluğunda olmalı ve sadece a-z A-Z ve 0-9 karakterlerini kullanın.
Zero knowledge pastebin|Sıfır bilgi pastebin
Light|ışık
Dark|karanlık
Theme|Tema
Clear|Açık
Send email through a proxy|Bir proxy üzerinden e-posta gönder
If you find that you can't send out email and that you get 'failed delivery' messages returned instead then you may be able to proxy sent emails through another server. Sometimes ISPs or companies provide an SMTP server which can do this.|Hvis du finner ut du rü tü rü nü vü vüü vüü vüü vüü vüü vüü vüüü vüü vüü vüüü vüüüüüüüükanlar, e-posta yolu ile e-posta yoluyla en annen sunucusu üzerinden. Bazen bedrijven leveren een SMTP sunucusu ISP'leri ölür.
Mail|Posta
Failed to install. For details see admin/applog.txt|Yükleme başarısız. Ayrıntılar için bkz. Admin / applog.txt
Installed successfully|Başarıyla yüklendi
pihole|pihole
Unlike browser based ad blockers, pihole works at the domain name resolution level to block domains known to privide the ads appearing in web pages.|Tarayıcı tabanlı reklam engelleyicilerin tersine, pihole, web sayfalarında görünen reklamları gizlediği bilinen alanları engellemek için alan adı çözünürlük seviyesinde çalışır.
Set your DNS IP address to the one shown and many ads will get blocked even before they're delivered to your laptop or mobile device. This can save a lot of bandwidth and generally speed up the loading of websites.| DNS IP adresinizi gösterilene ayarlayın ve dizüstü veya mobil cihazınıza teslim edilmeden önce birçok reklam engellenecektir. Bu, çok fazla bant genişliği kaydedebilir ve genellikle web sitelerinin yüklenmesini hızlandırabilir.
Change DNS on your internet router| İnternet yönlendiricinizde DNS'i değiştir
If your internet router allows you to change the DNS IP address then this is the best way to use pihole because it will then provide coverage for all of the devices and computers in your home.|İnternet yönlendiriciniz DNS IP adresini değiştirmenize izin veriyorsa, o zaman bu, pihole'u kullanmanın en iyi yoludur, çünkü daha sonra evinizdeki tüm cihazlar ve bilgisayarlar için kapsama alanı sağlayacaktır.
Change DNS on individual devices|Tek tek cihazlarda DNS'yi değiştir
If you can't change your internet router's DNS then you can do that on individual GNU/Linux systems as follows:| İnternet yönlendiricinizin DNS'sini değiştiremezseniz, bunu aşağıdaki gibi tek tek GNU/Linux sistemlerinde yapabilirsiniz:
Remove or comment out any existing nameservers and add one with the IP address shown for the pihole app. Something like:|Varolan ad görevlilerini kaldırın veya yorumlayın ve korsanlık uygulaması için gösterilen IP adresiyle bir tane ekleyin. Bir şey gibi:
Then save and exit and prevent the file from being automatically changed with:| Sonra kaydedin ve çıkın ve aşağıdaki gibi otomatik olarak değiştirilmesini önleyin:
If you're running the standard version of LibreServer (not the onion version) then you may need to modify your hosts file to access your own domain.|LibreServer'un standart sürümünü (soğan sürümü değil) çalıştırıyorsanız, kendi etki alanınıza erişmek için hosts dosyanızı değiştirmeniz gerekebilir.
Then add something like:|Sonra bir şey ekleyin:
This only works when you're within your home network, so if you're outside of your home then undo the changes made above.|Bu yalnızca ev ağınız içinde olduğunuzda çalışır, bu nedenle evinizin dışındaysanız, yukarıdaki değişiklikleri geri alın.
The Pi-hole is a DNS sinkhole that protects your devices from unwanted content, without installing any client-side software.|Pi-deliği, herhangi bir istemci tarafı yazılımı yüklemeden cihazlarınızı istenmeyen içerikten koruyan bir DNS deliğidir.
Search|Arama
removed|çıkarıldı
To get email working you will need to forward some ports. Email using your onion address will work anyway, so long as you are contacting other onion based email addresses.|E-posta almak için bazı bağlantı noktalarını yönlendirmeniz gerekir. Soğan adresinizi kullanarak e-posta, başka soğan tabanlı e-posta adresleriyle iletişim kurduğunuz sürece yine de işe yarayacaktır.
Forward ports 25, 587 and 465 from your internet router|İnternet yönlendiricinizden 25, 587 ve 465 numaralı ileri bağlantı noktaları
To access cryptpad you'll need to use a Tor browser. Navigate to the URL and enable javascript for the site under the NoScript icon. The screen will be blank for a few seconds while it's downloading the application into your browser.|Cryptpad'e erişmek için bir Tor tarayıcısı kullanmanız gerekecek, URL'ye gidin ve NoScript simgesi altındaki site için javascript'i etkinleştirin.Uygulamayı tarayıcınıza indirirken birkaç saniye boyunca ekran boş olacaktır.
Cryptpad is an almost peer-to-peer application. No data is stored on the server, which only does minimal orchestration between the clients. If an adversary subsequently obtains the server they still learn nothing.|Cryptpad hemen hemen eşler arası bir uygulamadır.Tüm sunucu üzerinde saklanan, sadece istemciler arasında minimum düzenleme yapan bir veri yok.Sunucu bir sunucuya ulaşırsa, hala bir şey öğrenmezler.
Authentication Token|Kimlik Doğrulama Jetonu
This is only needed if you're using FreeDNS. Otherwise you can leave it blank.|Bu sadece FreeDNS kullanıyorsanız gereklidir, aksi takdirde boş bırakabilirsiniz.
On the site where you obtained your domain name set up some custom nameservers as follows:|Alan adınızı aldığınız sitede, bazı özel ad alıcılar şöyle ayarlanır:
On the FreeDNS site go to the "Dynamic DNS" section and make sure that "link updates of the same IP together" is set to ON.|FreeDNS sitesinde "Dinamik DNS" bölümüne gidin ve "aynı IP'nin birlikte güncellemelerini güncellemenin" AÇIK olarak ayarlandığından emin olun.
For your main domain name select "quick cron example" and then your authentication token is the random string on the last line between the ? and = characters.|Ana alan adınız için "hızlı cron örneği" yi seçin ve ardından kimlik doğrulama jetonu,? Ve = karakterleri arasındaki son satırdaki rastgele dizgidir.
Your current IP address is shown at the top of the Dynamic DNS screen of the LibreServer user interface. You can use the "Mass Mod" feature at the top of the "Subdomains" part of the FreeDNS site to set all of your subdomains to that IP address.|Tüm alt etki alanlarınızı ayarlamak için FreeDNS sitesinin "Subdomain" bölümünün üstündeki "Mass Mod" özelliğini kullanabilirsiniz. IP adresi
Select the MX entry for your main domain and change the destination to 10:mydomainname rather than 10:mail.mydomainname.|Ana alan adınız için MX girişini seçin ve hedefi 10:mail.mydomainname yerine 10:mydomainname olarak değiştirin.
Enter your FreeDNS login details and the authentication token on the Dynamic DNS screen of the LibreServer user interface.|LibreServer kullanıcı arayüzünün Dinamik DNS ekranında FreeDNS giriş ayrıntılarınızı ve kimlik doğrulama jetonunuzu girin.
To make a playlist insert a USB drive containing audio files in a directory called playlist, add a description below and then select Update|Bir çalma listesi oluşturmak için çalma listesi adı verilen bir dizinde ses dosyaları içeren bir USB sürücü takın, aşağıya bir açıklama ekleyin ve ardından Güncelle'yi seçin.
To add music copy it to a directory called Music on a USB drive then plug it into your server and select Update|Müzik eklemek için bir USB sürücüdeki Müzik adlı bir dizine kopyalayın ve ardından sunucunuza bağlayın ve Güncelle'yi seçin.
This is a wiki which stores its content in text files. Having no database makes maintaining it simpler, and it's not tied to any particular domain name so you can easily copy the files to a different domain if you need to.|Bu, içeriğini metin dosyalarında saklayan bir wiki'dir. Veritabanına sahip olmak, daha basit kalmasını sağlar ve herhangi bir etki alanı adına bağlı değildir, böylece dosyaları gerektiğinde kolayca farklı bir etki alanına kopyalayabilirsiniz.
Provides an easy and private way to sync calendar and contacts between devices.|Cihazlar arasında takvim ve kişileri senkronize etmenin kolay ve özel bir yolunu sunar.
Using on mobile|Mobilde kullanma
The user interface is a little misleading. Make sure that you log in with your username, not your email addres.|Kullanıcı arayüzü biraz yanıltıcıdır. E-posta adreslerinizi değil, kullanıcı adınızla giriş yaptığınızdan emin olun.
Also choose the advanced option and enter the subdomain that you installed etesync on.|Ayrıca gelişmiş seçeneği seçin ve etesync'i kurduğunuz alt alanı girin.
This is a well known system for real time collaborative editing of documents. Just log in, choose a document title and then edit. Different users will appear in different colours, and can also chat in the sidebar. This is installed as a private system in which only users on your LibreServer server will be able to create and edit documents, so it's not open to any random users on the internet.|Bu, belgelerin gerçek zamanlı işbirlikli düzenlenmesi için iyi bilinen bir sistemdir. Sadece giriş yapın, bir belge başlığı seçin ve sonra düzenleyin. Farklı kullanıcılar farklı renklerde görünecek ve ayrıca kenar çubuğunda sohbet edebilecek. Bu, yalnızca LibreServer sunucunuzdaki kullanıcıların belgeleri oluşturabilmeleri ve düzenleyebildikleri özel bir sistem olarak kurulmaktadır, bu nedenle internetteki herhangi bir rastgele kullanıcıya açık değildir.
This is a federated social networking system. It can federate with other popular fediverse systems.|Bu birleşik bir sosyal ağ sistemi. Diğer popüler fedense sistemleriyle birleşebilir.
This is a blogging system which has no database and only uses text files for storage.|Bu, veritabanına sahip olmayan ve yalnızca depolama için metin dosyalarını kullanan bir bloglama sistemidir.
This is a git hosting system. It's very similar to Github in appearance and use, is lightweight and so is well suited for use on low power ARM servers.|Bu bir git barındırma sistemi. Görünüşte ve kullanımda Github'a çok benzer, hafiftir ve bu nedenle düşük güçlü ARM sunucularında kullanım için uygundur.
This is a web publishing and social network system which includes wiki, web pages, photo albums and file storage. It also has nomadic identity allowing you to easily move your account between different servers and privacy controls which allow you to define who can see what content.|Bu wiki, web sayfaları, fotoğraf albümleri ve dosya depolama içeren bir web yayıncılığı ve sosyal ağ sistemidir. Ayrıca, hesabınızı farklı sunucular ve gizlilik denetimleri arasında kolayca taşıyabilmenizi sağlayan, hangi içeriğin kimin görebileceğini tanımlamanıza olanak veren göçebe kimliği de vardır.
Kanbans are one way of managing projects. They're traditionally used in businesses but can also be useful for personal TODO lists or within open source or DIY projects. If you have a list of things which need to be done and want to keep track of progress then this provides a way to do that.|Kanbans, projeleri yönetmenin bir yoludur. Geleneksel olarak işletmelerde kullanılırlar, ancak kişisel TODO listeleri veya açık kaynak veya DIY projeleri için de yararlı olabilirler. Eğer yapılması gereken ve ilerlemeyi takip etmek isteyen şeylerin bir listesi varsa, bunu yapmak için bir yol sağlar.
The default login is username "admin" and the login password which you usually use for the web interface.|Varsayılan giriş, "admin" kullanıcı adı ve genellikle web arayüzü için kullandığınız giriş şifresidir.
If you're using a Tor browser then you may need to allow javascript for the site by selecting the NoScript icon.|Bir Tor tarayıcısı kullanıyorsanız, site için javascript'i NoScript simgesini seçerek izin vermeniz gerekebilir.
Extra users can be added from the drop down menu at the top right of the screen, under "Users management".|Ekstra kullanıcılar, "Kullanıcılar yönetimi" altında, ekranın sağ üstündeki açılır menüden eklenebilir.
This enables you to store your music on the LibreServer server and then access it from any internet connected device.|Bu, müziğinizi LibreServer sunucusunda saklamanızı ve daha sonra internet bağlantılı herhangi bir cihazdan erişmenizi sağlar.
This is a simple and lightweight photo album for the web. Whether you're an amateur or professional photographer, or want to publish random holiday pics or cat pictures. Lychee just does what it says it does without any fuss.|Bu, web için basit ve hafif bir fotoğraf albümü. İster amatör veya profesyonel bir fotoğrafçı olun, ister rasgele tatil fotoğraflarını veya kedi resimlerini yayınlayın. Lychee, herhangi bir karışıklık olmadan yaptığı şeyi yapar.
This provides an webmail interface suitable for use on desktop or mobile clients and with built in support for encryption.|Bu, masaüstü veya mobil istemcilerde kullanım için uygun ve şifreleme için destekli bir web posta arabirimi sağlar.
This is a system for file synchronisation and also has many other plugins for calendar, videoconferencing, collaborative document editing and federated file sharing.|Bu, dosya senkronizasyonu için bir sistemdir ve ayrıca takvim, video konferans, ortak belge düzenleme ve federe dosya paylaşımı için birçok eklentiye sahiptir.
This is a video hosting system which uses webtorrent to help distribute the files to or between clients.|Bu, istemcilere veya istemciler arasında dosya dağıtmak için webtorrent kullanan bir video barındırma sistemidir.
Use the username 'root' and your usual password to log in as the administrator. You can then change settings as needed.|Yönetici olarak giriş yapmak için kullanıcı adı 'root' ve normal şifrenizi kullanın. Daha sonra ayarları gerektiği gibi değiştirebilirsiniz.
This is an OStatus and ActivityPub compatible social networking server which federates with other fediverse systems. It is high-performance and so is especially well suited for running on low power single board computers without much RAM.|Bu, diğer fedense sistemleriyle birleştiren bir OStatus ve ActivityPub uyumlu bir sosyal ağ sunucusudur. Yüksek performanslıdır ve bu nedenle çok fazla RAM olmadan düşük güçte tek kartlı bilgisayarlarda çalışmak için özellikle uygundur.
Since Pleroma supports the same protocols, any Mastodon client for Android should work with it.|Pleroma aynı protokolleri desteklediğinden, Android için herhangi bir Mastodon istemcisi onunla çalışmalıdır.
This is a fork of GNU Social which includes some extra fixes and optimisations to improve performance. It federates with other fediverse servers, such as Pleroma or Mastodon.|Bu, performansı iyileştirmek için bazı ekstra düzeltmeler ve iyileştirmeler içeren bir GNU Social'ın çatalıdır. Pleroma veya Mastodon gibi diğer fedense sunucuları ile birleştirir.
This is an encrypted pastebin, such that the server has zero knowledge of the content. It's intended for small amounts of text less than 32K in length. It's not intended for transfering large files, or for storing pastes for more than a day.|Bu, şifrelenmiş bir macun macudur, öyle ki sunucu içeriğin sıfır bilgisine sahiptir. Uzunluğunda 32 K'den daha az metin miktarları için tasarlanmıştır. Büyük dosyaları aktarmak veya bir günden fazla bir süre boyunca pastaları depolamak için tasarlanmamıştır.
This is a web based user interface to the Matrix federated chat system. You will need to have already installed the Matrix app for this to work.|Bu, Matrix federasyonlu sohbet sistemine web tabanlı bir kullanıcı arabirimidir. Bunun çalışması için Matrix uygulamasını zaten yüklemiş olmanız gerekir.
This is yet another chat system, but the server part of it isn't federated and so it's suitable for small private groups rather than for general public discussions.|Bu başka bir sohbet sistemidir, ancak sunucunun bir kısmı federasyon değildir ve genel kamuoyu tartışmalarından ziyade küçük özel gruplar için uygundur.
Provides a similar capability to proprietary systems such as Dropbox, and also is well suited for use with low power single board computers. You can have one or more directories which are synchronized across your various laptops/desktops/devices, and this makes it hard for you to ever lose important files. Of course, you don't necessarily need to be running a server in order to use Syncthing, but if you do have a server which is always running then there's always at least one place to synchronize your files to or from.|Dropbox gibi tescilli sistemlere benzer bir özellik sunar ve ayrıca düşük güçlü tek kartlı bilgisayarlarla kullanım için çok uygundur. Çeşitli dizüstü / masaüstü bilgisayarlarınız / cihazlarınızda senkronize edilen bir veya daha fazla dizine sahip olabilirsiniz ve bu da önemli dosyaları kaybetmenizi zorlaştırır. Elbette, Syncthing'i kullanmak için bir sunucu çalıştırmanız gerekmiyor, ancak her zaman çalışan bir sunucunuz varsa, dosyalarınızı her zaman en az bir kez senkronize etmek için bir yer var.
On a Debian based system:|Debian tabanlı bir sistemde:
Or on Android search for the Syncthing app.|Ya da Syncthing uygulaması için Android aramada.
Using the settings button within the LibreServer web interface for the Syncthing app you can then paste in any IDs for other devices. They will then sync with your server.|Syncthing uygulaması için LibreServer web arayüzündeki ayarlar düğmesini kullanarak, diğer cihazlar için herhangi bir ID'ye yapıştırabilirsiniz. Daha sonra sunucunuzla senkronize olacaklar.
A system for privately creating and sharing notes and images, similar to Evernote. It can be set up so that a small number of users on the server can share their notes in a convenient way. It doesn't have any web user interface, and you need to install native clients on mobile or laptop/desktop machines.|Evernote'a benzer şekilde, notları ve görüntüleri özel olarak oluşturmak ve paylaşmak için bir sistem. Sunucudaki az sayıda kullanıcının notlarını uygun bir şekilde paylaşabilmesi için ayarlanabilir. Herhangi bir web kullanıcı arayüzüne sahip değildir ve mobil veya dizüstü / masaüstü makinelerde yerel istemciler yüklemeniz gerekir.
Since the data at rest is stored in PGP encrypted format this is a good system to use in cases where security really is a critical factor.|Geri kalan veriler PGP şifrelenmiş formatta depolandığından, bu güvenlik gerçekten kritik bir faktör olduğu durumlarda kullanmak için iyi bir sistemdir.
Go to https://turtlapp.com/download and you'll then be able to download the appropriate app for your laptop or phone.|Https://turtlapp.com/download adresine gidin ve daha sonra dizüstü veya telefonunuz için uygun uygulamayı indirebileceksiniz.
Run the downloaded native app then at the bottom of the screen select "advanced settings" and enter your turl domain name, then register a new account. The password can be anything you choose, but since the client side encryption depends upon having a good password make it a long random string generated by a password manager such as KeepassX.|İndirilen yerel uygulamayı çalıştırın, daha sonra ekranın alt kısmında "gelişmiş ayarlar" ı seçin ve tür alan adınızı girin, ardından yeni bir hesap kaydedin. Parola, seçtiğiniz herhangi bir şey olabilir, ancak istemci tarafı şifrelemesi, iyi bir parolaya sahip olduğundan, onu KeepassX gibi bir parola yöneticisi tarafından oluşturulan uzun bir rasgele dizge haline getirir.
You should then be able to log in and start using the app. You might also want to invite any other users of your LibreServer system to also sign up using the turtl domain name which you specified during installation.|Ardından, giriş yapıp uygulamayı kullanmaya başlayabilirsiniz. Ayrıca LibreServer sisteminizin diğer kullanıcılarını kurulum sırasında belirttiğiniz turtl alan adını kullanarak da kaydettirmek isteyebilirsiniz.
Disabling new registrations|Yeni kayıtların devre dışı bırakılması
Once you have set up the server with however many users are needed you can then disable any new registrations by selecting Turtl on the LibreServer web interface and going to the settings screen.|Ancak, çok sayıda kullanıcıya ihtiyaç duyduğunuzda sunucuyu kurduktan sonra, LibreServer web arayüzünde Turtl'i seçip ayarlar ekranına giderek yeni kayıtlarınızı devre dışı bırakabilirsiniz.
This is similar to Hubzilla but with a reduced range of features concentrating exclusively upon social networking with the latest version of the Zot protocol. Nomadic identity is supported, so to can export your channels and import them on other servers if necessary, without losing followers.|Bu, Hubzilla'ya benzer, ancak Zot protokolünün en son sürümüyle yalnızca sosyal ağ üzerinde yoğunlaşan özelliklerin kısıtlı olmasıyla. Göçmen kimliği desteklenir, böylece kanallarınızı dışa aktarabilmek ve gerektiğinde izleyicileri kaybetmeden bunları diğer sunuculara aktarabilirsiniz.
The first account you register will be the administrator user, and from there you can go to the admin settings and disable new registrations if needed.|Kaydettiğiniz ilk hesap yönetici kullanıcı olacak ve oradan yönetici ayarlarına gidebilir ve gerekirse yeni kayıtları devre dışı bırakabilirsiniz.
To find other users to follow select "directory" from the drop down menu at the top right of the screen and set "this site only" to "no".|Diğer kullanıcıları bulmak için, ekranın sağ üstündeki açılır menüden "dizin" i seçin ve "sadece bu siteyi" "no" olarak ayarlayın.
There is an Android app available called Nomad.|Nomad adı verilen bir Android uygulaması var.
End-to-end encrypted sync of calendar and contacts between devices|Cihazların uçtan uca şifrelenmiş senkronizasyonu ve cihazlar arasındaki iletişim
Secure, end-to-end encrypted and journaled personal information cloud synchronization for Android and the desktop, supporting contacts and calendars|Android ve masaüstü için güvenli, uçtan uca şifrelenmiş ve günlük kişisel bilgi bulut senkronizasyonu, rehber ve kişileri destekleme
Nomadic social network server|Göçebe sosyal ağ sunucusu
Change background|Arka planı değiştir
Diagnostics|Teşhis
Please wait while your app is installing|Uygulamanız yüklenirken lütfen bekleyin
The app could not be installed|Uygulama yüklenemedi
Add a new member|Yeni üye ekle
Kanban focussed on simplicity and minimalism|Kanban sadelik ve minimalizme odaklandı
Emails, chat or social network posts will be blocked if they contain the following words or phrases|Aşağıdaki kelimeleri veya cümleleri içeren e-postalar, sohbet veya sosyal ağ yayınları engellenir
Muted words|Sessiz kelimeler
Disk space is getting too low. Installation stopped.|Disk alanı çok düşük oluyor. Yükleme durduruldu.
Password changed|şifre değişti
Play media from any UPNP/DLNA device on your local network|Yerel ağınızdaki herhangi bir UPNP / DLNA cihazından medya oynatın
This allows you to play media on any DLNA supporting device within your local network.|Bu, yerel ağınızdaki herhangi bir DLNA destekleyen cihazda medya oynatmanıza izin verir.
No Access Control|Erişim Kontrolü Yok
DLNA doesn't have any access controls, so keep in mind that anyone with a mobile device or laptop within your local network is potentially able to play any media on the server. Hence this may not be suitable for situations where you want parental control over what media can be accessed.|DLNA'nın herhangi bir erişim kontrolü yoktur, bu nedenle yerel ağınızdaki bir mobil cihaz veya dizüstü bilgisayar kullanan herhangi birinin, sunucudaki herhangi bir ortamı potansiyel olarak oynayabileceğini unutmayın. Bu, hangi medyanın erişilebileceği konusunda ebeveyn kontrolü istediğiniz durumlar için uygun olmayabilir.
Adding Media|Medya Ekleme
You can add media by selecting the settings button from the DLNA app.|DLNA uygulamasından ayarlar düğmesini seçerek medya ekleyebilirsiniz.
Your homepage can also be accessed with a Tor browser on:|Ana sayfanıza ayrıca bir Tor tarayıcısıyla da erişilebilir:
Chat|Sohbet
Media|Medya
Social|Sosyal
Sync|Senkronizasyon
Publishing|Yayıncılık
Other|Diğer
Recommended Firefox Add-ons:|Önerilen Firefox Eklentileri:
Change your default domain name|Varsayılan etki alanı adınızı değiştirin
Do you want to change your default domain name to:|Varsayılan alan adınızı şu şekilde değiştirmek istiyor musunuz:
rsync failed|rsync başarısız oldu
For most purposes Syncthing is an easier file synchronization system, but rsync is still a reliable solution if you prefer to do things the more traditional way or if you just want to create a mirror from an existing rsync server.|Çoğu amaç için Senkronizasyon daha kolay bir dosya senkronizasyon sistemidir, ancak daha geleneksel bir şekilde yapmayı tercih ediyorsanız veya mevcut bir rsync sunucusundan bir ayna oluşturmak istiyorsanız, rsync hala güvenilir bir çözümdür.
Rsync is unencrypted but can be used via an onion address for transport security. If you are using it via your domain name then third parties will be able to see the content, but this may not matter if you are synchronizing already public files, such as GNU/Linux distro downloads.|Rsync şifrelenmemiş ancak taşıma güvenliği için bir soğan adresi aracılığıyla kullanılabilir. Etki alanı adınız üzerinden kullanıyorsanız, üçüncü taraflar içeriği görebilecek, ancak GNU / Linux dağıtım indirmeleri gibi zaten ortak dosyaları senkronize ediyor olmanız önemli olmayabilir.
Avoid using this for private data, unless you are exclusively using rsync via the onion address.|Soğan adresi aracılığıyla sadece rsync kullanmıyorsanız, bunu özel veriler için kullanmaktan kaçının.
Creating a Mirror|Ayna Oluşturmak
Select the Settings button then enter the domain and module name for the mirror. From then on synchronization will happen once per day.|Ayarlar düğmesini seçin, ardından aynanın alan adını ve modül adını girin. O andan itibaren senkronizasyon günde bir kez olacak.
Local Sync|Yerel Senkronizasyon
If you created a mirror to your server you can then sync those files to other machines or devices on your local network as follows:|Sunucunuz için bir yansıtma oluşturduysanız, bu dosyaları yerel ağınızdaki diğer makinelere veya cihazlara aşağıdaki gibi senkronize edebilirsiniz:
If "libreserver" doesn't work then you can substitute the local IP address of your server.|"LibreServer" işe yaramazsa, sunucunuzun yerel IP adresini değiştirebilirsiniz.
Create a mirror of public files|Genel dosyalar yansıtması oluşturma
The domain name could not be changed|Etki alanı adı değiştirilemedi
This might be because you do not have ports 80 and 443 forwarded to the server.|Bunun nedeni, sunucuya iletilen 80 ve 443 numaralı bağlantı noktalarının olmamasıdır.
Check the port forwarding settings on your internet router.|İnternet yönlendiricinizdeki bağlantı noktası yönlendirme ayarlarını kontrol edin.
Please specify a domain name which will be used for your email or XMPP address.|Lütfen e-posta adresiniz veya XMPP adresiniz için kullanılacak bir etki alanı adı belirtin.
Please forward the following ports from your internet router:|Lütfen aşağıdaki bağlantı noktalarını internet yönlendiricinizden iletin:
Search for 'Barcode Scanner', then select 'install'|'Barkod Okuyucu' için arama yapın, ardından 'install' seçeneğini seçin
Download the DarkMessenger apk file via the link below, preferably using a Tor based browser, then install it|DarkMessenger apk dosyasını aşağıdaki bağlantıyı kullanarak, tercihen Tor tabanlı bir tarayıcı kullanarak indirin, sonra kurun
Run DarkMessenger and the initial account setup will be shown. DarkMessenger only allows onion addresses to be used to create accounts|DarkMessenger'ı çalıştırın; ilk hesap ayarları gösterilecektir. DarkMessenger, sadece soğan adreslerinin hesap oluşturmak için kullanılmasına izin veriyor.
