About|حول
This system isn't intended to broadcast to large audiences and the upper limit of listeners is set at ten. So a family and friends type group.|لا يهدف هذا النظام إلى البث إلى جماهير كبيرة ويتم تعيين الحد الأعلى للمستمعين في عشرة. لذلك مجموعة من العائلة والأصدقاء.
This will make a backup of the keys which encrypt your backups, protecting them against accidental loss or exposure. You should keep this drive in a safe place, separate from other backups.|سيعمل هذا على عمل نسخة احتياطية من المفاتيح التي تقوم بتشفير النُسخ الاحتياطية الخاصة بك ، مما يحميهم من الفقدان العرضي أو التعرض. يجب عليك الحفاظ على محرك الأقراص هذا في مكان آمن ، منفصل عن النسخ الاحتياطية الأخرى.
This will restore the keys used to encrypt backups.|سيقوم هذا باستعادة المفاتيح المستخدمة لتشفير النسخ الاحتياطية.
To add a new paragraph use the + button|لإضافة فقرة جديدة ، استخدم زر +
To claim/fork a page from another server click on the flag icon|للمطالبة بتشكيل صفحة من خادم آخر ، انقر فوق رمز العلم
To edit a paragraph double click on it|لتحرير فقرة انقر مرتين على ذلك
To remove a paragraph just delete all of its text|لإزالة فقرة فقط قم بحذف كل النص الخاص بها
To upload music files install Syncthing then copy album directories into ~/Sync/music_upload, then within Koel go to settings and scan the directory /music|لتحميل ملفات الموسيقى قم بتثبيت Syncthing ثم انسخ دلائل الألبوم إلى ~ / Sync / music_upload ، ثم داخل Koel اذهب إلى الإعدادات والمسح الضوئي للدليل / الموسيقى
Tor Bridges|تور الجسور
Translate|ترجمه
Translations|ترجمة
Turkish|اللغة التركية
Type: SRV|النوع: SRV
Ukrainian|الأوكراني
Uncheck use global user information.|قم بإلغاء تحديد استخدام معلومات المستخدم العالمية.
Uninstall|الغاء التثبيت
Update|تحديث
Updates settings changed|تم تغيير إعدادات التحديثات
Upgrade|تطوير
Upgrades happen automatically. You don't need to start them manually like this, except in rare circumstances|الترقيات يحدث تلقائيا. لا تحتاج إلى تشغيلها يدويًا هكذا ، إلا في حالات نادرة
Upload|تحميل
URL to upload from|عنوان URL للتحميل من
USB drive format has failed|فشل تنسيق محرك أقراص USB
USB drive format in progress|تنسيق محرك USB قيد التقدم
USB drive format is complete|اكتمل تنسيق محرك أقراص USB
Username: |اسم المستخدم:
Username: admin|اسم المستخدم: المشرف
Members|المستخدمين
Using your preferred editor|باستخدام المحرر المفضل لديك
Video broadcast|بث الفيديو
Vietnamese|الفيتنامية
Voice chat|محادثة صوتية
WARNING: THIS WILL ERASE ALL CONTENT OF THE USB DRIVE|تحذير: هذا سوف يزيل كل محتويات محرك أقراص USB
We're sorry, but the username you gave is not suitable. Check that it does not contain spaces, is lower case and at least 3 characters in length.|عذرًا ، ولكن اسم المستخدم الذي قدمته غير مناسب. تأكد من عدم احتوائه على مسافات ، وأن يكون حجمه أقل و 3 أحرف على الأقل.
Web publishing system|نظام النشر على شبكة الإنترنت
When done editing click on the wiki button again|عند الانتهاء من التحرير ، انقر فوق زر wiki مرة أخرى
When it's done it will appear on the apps screen|عند الانتهاء ، ستظهر على شاشة التطبيقات
When removal is finished it will disappear from apps|عند انتهاء عملية الإزالة ، ستختفي من التطبيقات
When you are done with translating select the 'import' button on the translations screen.|عندما تنتهي من الترجمة ، اختر زر "استيراد" على شاشة الترجمة.
When you've added your translations select the 'update' button. This will update the translations file for the selected language. Note that this does not change the current language within the user interface. If you want to do that go back to the language screen, select a language and then the 'select' button.|عندما تضيف ترجماتك ، حدد زر "تحديث". سيؤدي هذا إلى تحديث ملف الترجمة للغة المحددة. لاحظ أن هذا لا يغير اللغة الحالية داخل واجهة المستخدم. إذا كنت ترغب في القيام بذلك ، ارجع إلى شاشة اللغة ، حدد لغة ثم اختر الزر "تحديد".
Whichever screen you are currently on, you can get back to the previous screen by clicking or pressing on the LibreServer logo at the top.|أيًا كانت الشاشة التي تستخدمها حاليًا ، يمكنك العودة إلى الشاشة السابقة عن طريق النقر أو الضغط على شعار LibreServer في الأعلى.
With Icecast you can run your own internet radio stream from an onion address. As always, be careful about copyright issues and preferably stick to Creative Commons music or music files that you own.|مع Icecast يمكنك تشغيل بث راديو الإنترنت الخاص بك من عنوان البصل. كما هو الحال دائمًا ، كن حذرًا بشأن مشكلات حقوق الطبع والنشر ويفضل التمسك بملفات موسيقى أو ملفات موسيقى Creative Commons التي تمتلكها.
Within the network list click, Add and enter your domain name then click Edit.|ضمن قائمة الشبكات ، انقر فوق إضافة ، ثم أدخل اسم المجال الخاص بك ، ثم انقر فوق تحرير.
Within the Password field enter the password which you originally set up the box with.|ضمن حقل كلمة المرور ، أدخل كلمة المرور التي قمت بإعدادها في الأصل.
Within the software center search for "mumble" and install the client then run it. Skip through the audio setup wizard. Cancel the initial connection window.|ضمن مركز البرامج ابحث عن "mumble" وقم بتثبيت العميل ثم قم بتشغيله. تخطي معالج إعداد الصوت. إلغاء نافذة الاتصال الأولية.
Write it down or save it|اكتبه أو احفظه
XMPP|XMPP
xmpp based chat system|xmpp نظام الدردشة على أساس
Yes|نعم فعلا
You can edit the translated text on the right side of the screen.|يمكنك تحرير النص المترجم على الجانب الأيمن من الشاشة.
You can get to this system remotely via:|يمكنك الوصول إلى هذا النظام عن بُعد عبر:
You can now go back to the initial Conversations app screen and start using it. You'll probably want to add contacts using the icon at the bottom right. For more information see the Conversations website (conversations.im) or subscribe to the chat group conversations@conference.siacs.eu|يمكنك الآن الرجوع إلى شاشة تطبيق المحادثات المبدئية والبدء في استخدامها. ستحتاج على الأرجح إلى إضافة جهات اتصال باستخدام الرمز في الجزء السفلي الأيسر. لمزيد من المعلومات ، راجع موقع المحادثات (conversations.im) أو اشترك في المحادثة chatations@conference.siacs.eu
You can now log in with:|يمكنك الآن تسجيل الدخول بـ:
You can see upgrade progress|يمكنك رؤية تقدم الترقية
You can use left and right cursor keys to move through pages|يمكنك استخدام مفاتيح المؤشر الأيسر والأيمن للتنقل خلال الصفحات
You may also want to make another entry with the same settings but replacing tcp with udp.|قد تحتاج أيضًا إلى إدخال إدخال آخر بنفس الإعدادات مع استبدال tcp بـ udp.
You may now remove the USB drive|يمكنك الآن إزالة محرك أقراص USB
You might have mistyped one of them|ربما أخطأت في نطق أحدها
You will see the translations file with some instructions at the top.|سترى ملف الترجمة مع بعض التعليمات في الجزء العلوي.
Your password must be at least 8 characters in length and only use the characters a-z A-Z and 0-9|يجب أن تتكون كلمة المرور الخاصة بك من 8 أحرف على الأقل ولا تستخدم سوى الأحرف a-z A-Z و0-9
Zero knowledge pastebin|صفر pastebin المعرفة
Theme|موضوع
Light|ضوء
Dark|داكن
Mail|بريد
Clear|واضح
Send email through a proxy|إرسال البريد الإلكتروني من خلال وكيل
If you find that you can't send out email and that you get 'failed delivery' messages returned instead then you may be able to proxy sent emails through another server. Sometimes ISPs or companies provide an SMTP server which can do this.|إذا وجدت أنك لا تستطيع إرسال البريد الإلكتروني وأنك عادت إلى رسائل "فشل التسليم" ، فقد تتمكن من إرسال رسائل البريد الإلكتروني من خلال خادم وكيل آخر. في بعض الأحيان ، يوفر مزودو خدمات الإنترنت أو الشركات خادم SMTP يمكنه القيام بذلك.
Failed to install. For details see admin/applog.txt|فشل فى التثبيت. لمعرفة التفاصيل ، راجع admin/applog.txt
Installed successfully|المثبتة بنجاح
pihole|pihole
Unlike browser based ad blockers, pihole works at the domain name resolution level to block domains known to privide the ads appearing in web pages.| على عكس حاصرات الإعلانات المستندة إلى المتصفح ، يعمل pihole على مستوى تحليل اسم النطاق لحظر المجالات المعروفة بخصوصية الإعلانات التي تظهر في صفحات الويب.
Set your DNS IP address to the one shown and many ads will get blocked even before they're delivered to your laptop or mobile device. This can save a lot of bandwidth and generally speed up the loading of websites.| قم بتعيين عنوان IP الخاص بـ DNS إلى العنوان الظاهر وسيتم حظر العديد من الإعلانات حتى قبل تسليمها إلى الكمبيوتر المحمول أو الجهاز المحمول الخاص بك. هذا يمكن أن يوفر الكثير من عرض النطاق الترددي وعموما تسريع تحميل مواقع الويب
Change DNS on your internet router| تغيير DNS على جهاز توجيه الإنترنت الخاص بك
If your internet router allows you to change the DNS IP address then this is the best way to use pihole because it will then provide coverage for all of the devices and computers in your home.| إذا كان جهاز توجيه الإنترنت يسمح لك بتغيير عنوان IP الخاص بـ DNS ، فهذا هو أفضل طريقة لاستخدام pihole لأنه سيوفر تغطية لكافة الأجهزة وأجهزة الكمبيوتر في منزلك.
Change DNS on individual devices|تغيير DNS على الأجهزة الفردية
If you can't change your internet router's DNS then you can do that on individual GNU/Linux systems as follows:|إذا كنت لا تستطيع تغيير DNS الخاص بموجه الإنترنت ، فيمكنك القيام بذلك على أنظمة GNU/Linux الفردية على النحو التالي:
Remove or comment out any existing nameservers and add one with the IP address shown for the pihole app. Something like:| أزل أو أخرج أي خوادم أسماء موجودة وأضف عنوانًا واحدًا مع عنوان IP الموضح لتطبيق pihole. شيء من هذا القبيل:
Then save and exit and prevent the file from being automatically changed with:| ثم حفظ وإنهاء ومنع تغيير الملف تلقائياً مع:
If you're running the standard version of LibreServer (not the onion version) then you may need to modify your hosts file to access your own domain.| إذا كنت تقوم بتشغيل الإصدار القياسي من LibreServer (وليس إصدار البصلة) ، فقد تحتاج إلى تعديل ملف المضيف الخاص بك للوصول إلى نطاقك الخاص.
Then add something like:| ثم أضف شيئًا مثل:
This only works when you're within your home network, so if you're outside of your home then undo the changes made above.|هذا لا يعمل إلا عندما تكون داخل شبكتك المنزلية ، لذلك إذا كنت خارج منزلك ، فقم بالتراجع عن التغييرات التي قمت بها أعلاه
The Pi-hole is a DNS sinkhole that protects your devices from unwanted content, without installing any client-side software.|إن Pi-hole عبارة عن فتحة للثقب في نظام أسماء النطاقات تحمي أجهزتك من المحتوى غير المرغوب فيه ، بدون تثبيت أي برنامج من جانب العميل.
Search|بحث
removed|إزالة
To get email working you will need to forward some ports. Email using your onion address will work anyway, so long as you are contacting other onion based email addresses.|للحصول على عمل البريد الإلكتروني ، ستحتاج إلى إعادة توجيه بعض المنافذ ، وسيعمل البريد الإلكتروني باستخدام عنوان البصل الخاص بك على أي حال ، طالما أنك تتصل بعناوين بريد إلكتروني أخرى قائمة على onion.
Forward ports 25, 587 and 465 from your internet router|قم بإعادة توجيه المنافذ 25 و 587 و 465 من موجه الإنترنت الخاص بك
To access cryptpad you'll need to use a Tor browser. Navigate to the URL and enable javascript for the site under the NoScript icon. The screen will be blank for a few seconds while it's downloading the application into your browser.|للوصول إلى cryptpad ، ستحتاج إلى استخدام متصفح تور. انتقل إلى عنوان URL وتمكين جافا سكريبت للموقع تحت رمز NoScript ، وستظل الشاشة فارغة لبضع ثوان أثناء تنزيل التطبيق إلى متصفحك.
Cryptpad is an almost peer-to-peer application. No data is stored on the server, which only does minimal orchestration between the clients. If an adversary subsequently obtains the server they still learn nothing.|Cryptpad هو تطبيق من نظير إلى نظير تقريبًا ، ولا يتم تخزين أي بيانات على الخادم ، والتي لا تؤدي سوى الحد الأدنى من التنسيق بين العملاء ، فإذا حصل الخصم بعد ذلك على الخادم ، فلا يزالون لا يتعلمون شيئًا.
Authentication Token|رمز المصادقة
This is only needed if you're using FreeDNS. Otherwise you can leave it blank.|هذا مطلوب فقط إذا كنت تستخدم FreeDNS ، وإلا يمكنك تركه فارغًا.
On the site where you obtained your domain name set up some custom nameservers as follows:|على الموقع الذي حصلت فيه على اسم نطاقك ، عيّن بعض خوادم الأسماء المخصصة على النحو التالي:
On the FreeDNS site go to the "Dynamic DNS" section and make sure that "link updates of the same IP together" is set to ON.|في موقع FreeDNS ، انتقل إلى قسم "نظام أسماء النطاقات الديناميكي" وتأكد من تعيين "تحديثات الروابط لنفس عنوان IP معًا" على تشغيل.
For your main domain name select "quick cron example" and then your authentication token is the random string on the last line between the ? and = characters.|بالنسبة لاسم النطاق الرئيسي الخاص بك ، حدد "مثال سريع على cron" ومن ثم الرمز المميز للمصادقة هو سلسلة عشوائية في السطر الأخير بين الحرفين "و".
Your current IP address is shown at the top of the Dynamic DNS screen of the LibreServer user interface. You can use the "Mass Mod" feature at the top of the "Subdomains" part of the FreeDNS site to set all of your subdomains to that IP address.|يمكنك استخدام ميزة "Mass Mod" في الجزء العلوي من الجزء "Subdomains" من موقع FreeDNS لتعيين كل نطاقاتك الفرعية على ذلك عنوان IP.
Select the MX entry for your main domain and change the destination to 10:mydomainname rather than 10:mail.mydomainname.|حدد إدخال MX للنطاق الرئيسي الخاص بك وقم بتغيير الوجهة إلى 10: اسم المستخدم بدلاً من 10: mail.mydomainname.
Enter your FreeDNS login details and the authentication token on the Dynamic DNS screen of the LibreServer user interface.|أدخل تفاصيل تسجيل الدخول FreeDNS ورمز المصادقة على شاشة Dynamic DNS لواجهة مستخدم LibreServer.
To make a playlist insert a USB drive containing audio files in a directory called playlist, add a description below and then select Update|لإنشاء قائمة تشغيل ، أدخل محرك أقراص USB يحتوي على ملفات صوتية في دليل يسمى قائمة التشغيل ، ثم أضف وصفًا أدناه ثم حدد تحديث
To add music copy it to a directory called Music on a USB drive then plug it into your server and select Update|لإضافة الموسيقى ، قم بنسخها إلى دليل يسمى "الموسيقى" على محرك أقراص USB ثم قم بتوصيله بالخادم الخاص بك واختر تحديث
This is a wiki which stores its content in text files. Having no database makes maintaining it simpler, and it's not tied to any particular domain name so you can easily copy the files to a different domain if you need to.| هذا هو الويكي الذي يخزن محتواه في ملفات نصية. إن عدم وجود قاعدة بيانات يجعل الاحتفاظ بها أكثر بساطة ، ولا يرتبط بأي اسم نطاق معين حتى يمكنك نسخ الملفات بسهولة إلى نطاق مختلف إذا كنت بحاجة إلى ذلك.
Provides an easy and private way to sync calendar and contacts between devices.|يوفر طريقة سهلة وخاصة لمزامنة التقويم وجهات الاتصال بين الأجهزة.
Using on mobile|باستخدام على الهاتف المحمول
The user interface is a little misleading. Make sure that you log in with your username, not your email addres.|واجهة المستخدم صغيرة مضللة. تأكد من تسجيل الدخول باستخدام اسم المستخدم الخاص بك ، وليس عنوان بريدك الإلكتروني.
Also choose the advanced option and enter the subdomain that you installed etesync on.| اختر أيضًا الخيار المتقدم وأدخل المجال الفرعي الذي قمت بتثبيته etesync.
This is a well known system for real time collaborative editing of documents. Just log in, choose a document title and then edit. Different users will appear in different colours, and can also chat in the sidebar. This is installed as a private system in which only users on your LibreServer server will be able to create and edit documents, so it's not open to any random users on the internet.|هذا نظام معروف جيدًا لتحرير المستندات في الوقت الفعلي. ما عليك سوى تسجيل الدخول واختيار عنوان المستند ثم تحريره. سيظهر مختلف المستخدمين بألوان مختلفة ، ويمكنهم أيضًا الدردشة في الشريط الجانبي. يتم تثبيته كنظام خاص يستطيع فيه فقط المستخدمون على خادم LibreServer الخاص بك إنشاء المستندات وتحريرها ، لذا فهي غير مفتوحة لأي مستخدمين عشوائيين على الإنترنت.
This is a federated social networking system. It can federate with other popular fediverse systems.|هذا هو نظام الشبكات الاجتماعية المتحدة. يمكن أن تتضافر مع أنظمة fediverse شعبية أخرى.
This is a blogging system which has no database and only uses text files for storage.|  هذا هو نظام التدوين الذي لا يحتوي على قاعدة بيانات ويستخدم فقط ملفات نصية للتخزين.
This is a git hosting system. It's very similar to Github in appearance and use, is lightweight and so is well suited for use on low power ARM servers.|هذا هو نظام استضافة بوابة. انها تشبه الى حد بعيد جيثب في المظهر والاستخدام ، وهي خفيفة الوزن وغير مناسبة تماما للاستخدام على خوادم ARM منخفضة الطاقة.
This is a web publishing and social network system which includes wiki, web pages, photo albums and file storage. It also has nomadic identity allowing you to easily move your account between different servers and privacy controls which allow you to define who can see what content.| هذا هو نظام النشر على شبكة الإنترنت والشبكات الاجتماعية التي تشمل الويكي ، صفحات الويب ، ألبومات الصور وتخزين الملفات. كما أن لديها هوية بدوية تسمح لك بتحريك حسابك بسهولة بين الخوادم المختلفة وضوابط الخصوصية التي تسمح لك بتحديد من يمكنه رؤية المحتوى.
Kanbans are one way of managing projects. They're traditionally used in businesses but can also be useful for personal TODO lists or within open source or DIY projects. If you have a list of things which need to be done and want to keep track of progress then this provides a way to do that.|Kanbans هي طريقة واحدة لإدارة المشاريع. وهي تُستخدم تقليديًا في الأنشطة التجارية ، ولكنها يمكن أن تكون مفيدة أيضًا لقوائم TODO الشخصية أو في مشاريع مفتوحة المصدر أو DIY. إذا كان لديك قائمة بالأشياء التي يجب القيام بها وتريد متابعة التقدم ، فهذا يوفر طريقة للقيام بذلك.
The default login is username "admin" and the login password which you usually use for the web interface.|  تسجيل الدخول الافتراضي هو اسم المستخدم "admin" وكلمة مرور تسجيل الدخول التي تستخدمها عادةً لواجهة الويب.
If you're using a Tor browser then you may need to allow javascript for the site by selecting the NoScript icon.|   إذا كنت تستخدم متصفح Tor ، فقد تحتاج إلى السماح بجافا سكريبت للموقع عن طريق تحديد رمز NoScript.
Extra users can be added from the drop down menu at the top right of the screen, under "Users management".| يمكن إضافة مستخدمين إضافيين من القائمة المنسدلة في أعلى يمين الشاشة ، ضمن "إدارة المستخدمين".
This enables you to store your music on the LibreServer server and then access it from any internet connected device.|  يمكّنك هذا من تخزين الموسيقى الخاصة بك على خادم LibreServer ومن ثم الوصول إليها من أي جهاز متصل بالإنترنت.
This is a simple and lightweight photo album for the web. Whether you're an amateur or professional photographer, or want to publish random holiday pics or cat pictures. Lychee just does what it says it does without any fuss.|  هذا ألبوم صور بسيط وخفيف للويب. سواء كنت مصورًا هواةًا أو محترفًا ، أو تريد نشر صور عشوائية لعطلة أو صور قطة. Lychee فقط ما تقول أنها تفعل دون أي ضجة.
This provides an webmail interface suitable for use on desktop or mobile clients and with built in support for encryption.| يوفر ذلك واجهة بريد ويب مناسبة للاستخدام على أجهزة الكمبيوتر المكتبية أو الجوالة ومع دعم مضمّن للتشفير.
This is a system for file synchronisation and also has many other plugins for calendar, videoconferencing, collaborative document editing and federated file sharing.|  هذا نظام لمزامنة الملفات ويحتوي أيضًا على العديد من المكونات الإضافية الأخرى للتقويم ومؤتمرات الفيديو وتحرير المستندات التعاونية ومشاركة الملفات المتحدة.
This is a video hosting system which uses webtorrent to help distribute the files to or between clients.|   هذا هو نظام استضافة الفيديو الذي يستخدم webtorrent للمساعدة في توزيع الملفات إلى أو بين العملاء.
Use the username 'root' and your usual password to log in as the administrator. You can then change settings as needed.|استخدم اسم المستخدم "الجذر" وكلمة المرور المعتادة لتسجيل الدخول كمسؤول. يمكنك بعد ذلك تغيير الإعدادات حسب الحاجة.
This is an OStatus and ActivityPub compatible social networking server which federates with other fediverse systems. It is high-performance and so is especially well suited for running on low power single board computers without much RAM.| هذا هو خادم الشبكات الاجتماعية متوافق مع OStatus و ActivityPub الذي يتحد مع أنظمة fediverse الأخرى. إنها عالية الأداء وهي مناسبة بشكل خاص للتشغيل على أجهزة الكمبيوتر ذات اللوحة الواحدة منخفضة الطاقة دون ذاكرة الوصول العشوائي.
Since Pleroma supports the same protocols, any Mastodon client for Android should work with it.|بما أن Pleroma تدعم نفس البروتوكولات ، فإن أي عميل Mastodon for Android يجب أن يعمل معها.
This is a fork of GNU Social which includes some extra fixes and optimisations to improve performance. It federates with other fediverse servers, such as Pleroma or Mastodon.|هذه عبارة عن شوكة جنو الاجتماعية التي تتضمن بعض الإصلاحات والتحسينات الإضافية لتحسين الأداء. يتحد مع خوادم fediverse أخرى ، مثل Pleroma أو Mastodon.
This is an encrypted pastebin, such that the server has zero knowledge of the content. It's intended for small amounts of text less than 32K in length. It's not intended for transfering large files, or for storing pastes for more than a day.|هذا هو pastebin مشفرة ، بحيث يكون الخادم صفر المعرفة للمحتوى. إنها مخصصة لكميات صغيرة من النص أقل من 32 كيلو بايت. لا يهدف إلى نقل الملفات الكبيرة ، أو لتخزين المعاجين لأكثر من يوم واحد.
This is a web based user interface to the Matrix federated chat system. You will need to have already installed the Matrix app for this to work.|هذه واجهة مستخدم تستند إلى الويب إلى نظام الدردشة المدمجة في Matrix. ستحتاج إلى تثبيت تطبيق Matrix بالفعل حتى يعمل.
This is yet another chat system, but the server part of it isn't federated and so it's suitable for small private groups rather than for general public discussions.|هذا نظام دردشة آخر ، لكن جزء الخادم منه غير متحد ، لذا فهو مناسب للمجموعات الخاصة الصغيرة وليس للمناقشات العامة العامة.
Provides a similar capability to proprietary systems such as Dropbox, and also is well suited for use with low power single board computers. You can have one or more directories which are synchronized across your various laptops/desktops/devices, and this makes it hard for you to ever lose important files. Of course, you don't necessarily need to be running a server in order to use Syncthing, but if you do have a server which is always running then there's always at least one place to synchronize your files to or from.|يوفر إمكانية مماثلة للأنظمة الاحتكارية مثل Dropbox ، وهو مناسب تمامًا للاستخدام مع أجهزة الكمبيوتر ذات اللوحة الواحدة ذات الطاقة المنخفضة. يمكن أن يكون لديك واحد أو أكثر من الدلائل التي تتم مزامنتها عبر أجهزة الكمبيوتر المحمول / أجهزة سطح المكتب / الأجهزة المختلفة ، وهذا يجعل من الصعب عليك أن تفقد الملفات الهامة. بالطبع ، لا تحتاج بالضرورة إلى تشغيل خادم من أجل استخدام Syncthing ، ولكن إذا كان لديك خادم يعمل دائمًا ، فهناك دائمًا مكان واحد على الأقل لمزامنة ملفاتك من أو إلى.
On a Debian based system:|على نظام ديبيان قائم على:
Or on Android search for the Syncthing app.|أو على Android للبحث عن تطبيق Syncthing.
Using the settings button within the LibreServer web interface for the Syncthing app you can then paste in any IDs for other devices. They will then sync with your server.|باستخدام زر الإعدادات داخل واجهة الويب LibreServer لتطبيق Syncthing ، يمكنك لصق أي معرفات للأجهزة الأخرى. ثم يقومون بالمزامنة مع الخادم الخاص بك.
A system for privately creating and sharing notes and images, similar to Evernote. It can be set up so that a small number of users on the server can share their notes in a convenient way. It doesn't have any web user interface, and you need to install native clients on mobile or laptop/desktop machines.|نظام لإنشاء ومشاركة الملاحظات والصور بشكل خاص ، على غرار Evernote. يمكن إعداده بحيث يمكن لعدد صغير من المستخدمين على الخادم مشاركة ملاحظاتهم بطريقة مناسبة. ليس لديها أي واجهة مستخدم ويب ، وتحتاج إلى تثبيت عملاء أصليين على الأجهزة المحمولة أو الكمبيوتر المحمول / سطح المكتب.
Since the data at rest is stored in PGP encrypted format this is a good system to use in cases where security really is a critical factor.|نظرًا لتخزين البيانات في وضع PGP بتنسيق مشفر ، يعد هذا نظامًا جيدًا لاستخدامه في الحالات التي يكون فيها الأمان في الحقيقة عاملاً حاسماً.
Go to https://turtlapp.com/download and you'll then be able to download the appropriate app for your laptop or phone.|انتقل إلى https://turtlapp.com/download وستتمكن حينئذٍ من تنزيل التطبيق المناسب لجهاز الكمبيوتر المحمول أو الهاتف.
Run the downloaded native app then at the bottom of the screen select "advanced settings" and enter your turl domain name, then register a new account. The password can be anything you choose, but since the client side encryption depends upon having a good password make it a long random string generated by a password manager such as KeepassX.|قم بتشغيل التطبيق الأصلي الذي تم تنزيله ثم في أسفل الشاشة حدد "إعدادات متقدمة" وأدخل اسم نطاقك turl ، ثم تسجيل حساب جديد. يمكن أن تكون كلمة المرور أي شيء تختاره ، ولكن نظرًا لأن تشفير جانب العميل يعتمد على جعل كلمة المرور الجيدة تجعلها سلسلة عشوائية طويلة يتم إنشاؤها بواسطة مدير كلمات المرور مثل KeepassX.
You should then be able to log in and start using the app. You might also want to invite any other users of your LibreServer system to also sign up using the turtl domain name which you specified during installation.|يجب أن تكون قادرًا على تسجيل الدخول والبدء في استخدام التطبيق. قد ترغب أيضًا في دعوة أي مستخدمين آخرين لنظام LibreServer إلى الاشتراك أيضًا باستخدام اسم نطاق turtl الذي حددته أثناء التثبيت.
Disabling new registrations|تعطيل التسجيلات الجديدة
Once you have set up the server with however many users are needed you can then disable any new registrations by selecting Turtl on the LibreServer web interface and going to the settings screen.|وبمجرد الانتهاء من إعداد الخادم مع وجود حاجة إلى العديد من المستخدمين ، يمكنك عندئذ تعطيل أي تسجيلات جديدة عن طريق اختيار Turtl على واجهة الويب LibreServer والانتقال إلى شاشة الإعدادات.
This is similar to Hubzilla but with a reduced range of features concentrating exclusively upon social networking with the latest version of the Zot protocol. Nomadic identity is supported, so to can export your channels and import them on other servers if necessary, without losing followers.|هذا يشبه Hubzilla ولكن مع مجموعة محدودة من الميزات التي تركز حصرا على الشبكات الاجتماعية مع أحدث إصدار من بروتوكول ZOT. يتم دعم الهوية البدوية ، لذلك يمكنك تصدير قنواتك واستيرادها على خوادم أخرى إذا لزم الأمر ، دون أن تفقد أي متابعين.
The first account you register will be the administrator user, and from there you can go to the admin settings and disable new registrations if needed.|الحساب الأول الذي تقوم بالتسجيل به سيكون مستخدم المسؤول ، ومن هناك يمكنك الانتقال إلى إعدادات المسؤول وتعطيل التسجيلات الجديدة إذا لزم الأمر.
To find other users to follow select "directory" from the drop down menu at the top right of the screen and set "this site only" to "no".|للعثور على مستخدمين آخرين لمتابعة "الدليل" المحدد من القائمة المنسدلة في أعلى يمين الشاشة وتعيين "هذا الموقع فقط" إلى "لا".
There is an Android app available called Nomad.|هناك تطبيق Android متاح يسمى Nomad.
End-to-end encrypted sync of calendar and contacts between devices|المزامنة المشفرة بين نهاية التقويم والتقويم بين الأجهزة
Secure, end-to-end encrypted and journaled personal information cloud synchronization for Android and the desktop, supporting contacts and calendars|تزامن سحابي لمعلوماتك الشخصية الآمنة والمحفوظة من Google إلى Android وسطح المكتب ، مع دعم جهات الاتصال والتقاويم
Nomadic social network server|خادم الشبكة الاجتماعية الرحل
Change background|غير الخلفية
Diagnostics|التشخيص
Please wait while your app is installing|الرجاء الانتظار حتى يتم تثبيت تطبيقك
The app could not be installed|لا يمكن تثبيت التطبيق
Add a new member|أضف عضوًا جديدًا
Kanban focussed on simplicity and minimalism|كانبان يركز على البساطة والسلاسة
Emails, chat or social network posts will be blocked if they contain the following words or phrases|سيتم حظر الرسائل الإلكترونية أو الدردشة أو المشاركات عبر الشبكات الاجتماعية إذا كانت تحتوي على الكلمات أو العبارات التالية
Muted words|الكلمات المخفية
Disk space is getting too low. Installation stopped.|مساحة القرص تصبح منخفضة للغاية. توقف التثبيت.
Password changed|تم تغيير كلمة السر
Play media from any UPNP/DLNA device on your local network|قم بتشغيل الوسائط من أي جهاز UPNP / DLNA على شبكتك المحلية
This allows you to play media on any DLNA supporting device within your local network.|يتيح لك هذا تشغيل الوسائط على أي جهاز يدعم DLNA في الشبكة المحلية.
No Access Control|لا تحكم في الوصول
DLNA doesn't have any access controls, so keep in mind that anyone with a mobile device or laptop within your local network is potentially able to play any media on the server. Hence this may not be suitable for situations where you want parental control over what media can be accessed.|لا تمتلك DLNA أي عناصر تحكم في الوصول ، لذا ضع في اعتبارك أن أي شخص لديه جهاز محمول أو كمبيوتر محمول داخل الشبكة المحلية الخاصة بك قد يكون قادرًا على تشغيل أي وسائط على الخادم. وبالتالي قد لا يكون هذا مناسبًا للحالات التي تريد فيها السيطرة الأبوية على الوسائط التي يمكن الوصول إليها.
Adding Media|اضافة وسائل الاعلام
You can add media by selecting the settings button from the DLNA app.|يمكنك إضافة الوسائط عن طريق تحديد زر الإعدادات من تطبيق DLNA.
Your homepage can also be accessed with a Tor browser on:|يمكن أيضًا الوصول إلى صفحتك الرئيسية من خلال متصفح تور على:
Chat|الدردشة
Media|وسائل الاعلام
Social|الاجتماعي
Sync|متزامنة
Publishing|النشر
Other|أخرى
Recommended Firefox Add-ons:|إضافات فايرفوكس الموصى بها:
Change your default domain name|تغيير اسم المجال الافتراضي الخاص بك
Do you want to change your default domain name to:|هل تريد تغيير اسم نطاقك الافتراضي إلى:
rsync failed|فشل rsync
For most purposes Syncthing is an easier file synchronization system, but rsync is still a reliable solution if you prefer to do things the more traditional way or if you just want to create a mirror from an existing rsync server.|بالنسبة لمعظم الأغراض Syncthing هو أسهل نظام مزامنة الملفات ، ولكن rsync لا يزال حلا موثوقا إذا كنت تفضل أن تفعل الأشياء بطريقة أكثر تقليدية أو إذا كنت ترغب فقط في إنشاء نسخة متطابقة من خادم rsync موجود.
