About|Über
This will make a backup of the keys which encrypt your backups, protecting them against accidental loss or exposure. You should keep this drive in a safe place, separate from other backups.|Dadurch wird eine Sicherungskopie der Schlüssel erstellt, die Ihre Backups verschlüsseln und sie vor versehentlichem Verlust oder unbeabsichtigtem Zugriff schützen. Sie sollten dieses Laufwerk getrennt von anderen Sicherungen an einem sicheren Ort aufbewahren.
This will restore the keys used to encrypt backups.|Dadurch werden die Schlüssel wiederhergestellt, die zum Verschlüsseln von Sicherungen verwendet werden.
To add a new paragraph use the + button|Um einen neuen Absatz hinzuzufügen, benutzen Sie die + Taste
To claim/fork a page from another server click on the flag icon|Um eine Seite von einem anderen Server abzurufen oder zu forkieren, klicken Sie auf das Flaggensymbol
To edit a paragraph double click on it|Um einen Absatz zu bearbeiten, doppelklicken Sie darauf
To remove a paragraph just delete all of its text|Um einen Absatz zu entfernen, löschen Sie einfach den gesamten Text
To upload music files install Syncthing then copy album directories into ~/Sync/music_upload, then within Koel go to settings and scan the directory /music|Um Musikdateien hochzuladen, installieren Sie Syncthing, kopieren Sie dann die Albumverzeichnisse in ~ /Sync/music_upload, dann gehen Sie in Koel zu Einstellungen und scannen das Verzeichnis /Musik
Tor Bridges|Tor Brücken
Translate|Übersetzen
Translations|Übersetzungen
Turkish|Türkisch
Type: SRV|Typ: SRV
Ukrainian|ukrainisch
Uncheck use global user information.|Deaktivieren Sie globale Benutzerinformationen verwenden.
Uninstall|Deinstallieren
Update|Aktualisieren
Updates settings changed|Die Einstellungen für Updates wurden geändert
Upgrade|Aktualisierung
Upgrades happen automatically. You don't need to start them manually like this, except in rare circumstances|Upgrades erfolgen automatisch. Sie müssen sie nicht manuell so starten, außer in seltenen Fällen
Upload|Hochladen
URL to upload from|URL zum Hochladen von
USB drive format has failed|Das USB-Laufwerkformat ist fehlgeschlagen
USB drive format in progress|USB-Laufwerk formatiert
USB drive format is complete|USB-Laufwerkformat ist abgeschlossen
Username: |Nutzername:
Username: admin|Benutzername: admin
Members|Benutzer
Using your preferred editor|Verwenden Sie Ihren bevorzugten Editor
Video broadcast|Videoübertragung
Vietnamese|Vietnamesisch
Voice chat|Sprachchat
WARNING: THIS WILL ERASE ALL CONTENT OF THE USB DRIVE|WARNUNG: DIESES LÖSCHT ALLE INHALTE DES USB-LAUFWERKS
We're sorry, but the username you gave is not suitable. Check that it does not contain spaces, is lower case and at least 3 characters in length.|Es tut uns leid, aber der von Ihnen angegebene Benutzername ist nicht geeignet. Überprüfen Sie, dass es keine Leerzeichen enthält, kleingeschrieben und mindestens 3 Zeichen lang ist.
Web publishing system|Web-Publishing-System
When done editing click on the wiki button again|Wenn Sie fertig sind, klicken Sie erneut auf den Wiki-Button
When it's done it will appear on the apps screen|Wenn es fertig ist, wird es auf dem Bildschirm angezeigt
When removal is finished it will disappear from apps|Wenn die Deinstallation abgeschlossen ist, verschwindet sie aus den Apps
When you are done with translating select the 'import' button on the translations screen.|Wenn Sie mit der Übersetzung fertig sind, wählen Sie auf dem Übersetzungsbildschirm die Schaltfläche "Importieren".
When you've added your translations select the 'update' button. This will update the translations file for the selected language. Note that this does not change the current language within the user interface. If you want to do that go back to the language screen, select a language and then the 'select' button.|Wenn Sie Ihre Übersetzungen hinzugefügt haben, wählen Sie die Schaltfläche "Aktualisieren". Dadurch wird die Übersetzungsdatei für die ausgewählte Sprache aktualisiert. Beachten Sie, dass dies die aktuelle Sprache in der Benutzeroberfläche nicht ändert. Wenn Sie dies tun möchten, gehen Sie zurück zum Sprachbildschirm, wählen Sie eine Sprache und dann die Schaltfläche "Auswählen".
Whichever screen you are currently on, you can get back to the previous screen by clicking or pressing on the LibreServer logo at the top.|Egal, auf welchem ​​Bildschirm Sie sich gerade befinden, Sie können zum vorherigen Bildschirm zurückkehren, indem Sie oben auf das LibreServer-Logo klicken oder darauf drücken.
With Icecast you can run your own internet radio stream from an onion address. As always, be careful about copyright issues and preferably stick to Creative Commons music or music files that you own.|Mit Icecast können Sie Ihren eigenen Internetradio-Stream von einer Zwiebeladresse aus betreiben. Seien Sie wie immer vorsichtig bei Urheberrechtsfragen und halten Sie sich vorzugsweise an Creative Commons Musik- oder Musikdateien, die Sie besitzen.
Within the network list click, Add and enter your domain name then click Edit.|Klicken Sie in der Netzwerkliste auf Hinzufügen, geben Sie Ihren Domainnamen ein und klicken Sie auf Bearbeiten.
Within the Password field enter the password which you originally set up the box with.|Geben Sie im Feld Passwort das Passwort ein, mit dem Sie die Box ursprünglich eingerichtet haben.
Within the software center search for "mumble" and install the client then run it. Skip through the audio setup wizard. Cancel the initial connection window.|Suchen Sie im Software Center nach "mumble" und installieren Sie den Client, und führen Sie ihn aus. Überspringen Sie den Audio-Setup-Assistenten. Brechen Sie das ursprüngliche Verbindungsfenster ab.
Write it down or save it|Schreiben Sie es auf oder speichern Sie es
XMPP|XMPP
xmpp based chat system|xmpp basiertes Chat-System
Yes|Ja
You can edit the translated text on the right side of the screen.|Sie können den übersetzten Text auf der rechten Seite des Bildschirms bearbeiten.
You can get to this system remotely via:|Sie erreichen dieses System per Fernzugriff über:
You can now go back to the initial Conversations app screen and start using it. You'll probably want to add contacts using the icon at the bottom right. For more information see the Conversations website (conversations.im) or subscribe to the chat group conversations@conference.siacs.eu|Sie können jetzt zum ersten Conversations App-Bildschirm zurückkehren und ihn verwenden. Wahrscheinlich möchten Sie Kontakte hinzufügen, indem Sie das Symbol unten rechts verwenden. Weitere Informationen finden Sie auf der Conversations-Website (conversations.im) oder abonnieren Sie die Chat-Gruppe conversations@conference.siacs.eu
You can now log in with:|Sie können sich jetzt einloggen mit:
You can see upgrade progress|Sie können den Fortschritt des Upgrades sehen
You can use left and right cursor keys to move through pages|Sie können die linke und rechte Cursortaste verwenden, um sich durch die Seiten zu bewegen
You may also want to make another entry with the same settings but replacing tcp with udp.|Vielleicht möchten Sie auch einen anderen Eintrag mit denselben Einstellungen erstellen, aber tcp durch udp ersetzen.
You may now remove the USB drive|Sie können jetzt das USB-Laufwerk entfernen
You might have mistyped one of them|Sie haben sich möglicherweise einen von ihnen vertippt
You will see the translations file with some instructions at the top.|Sie werden die Übersetzungsdatei mit einigen Anweisungen oben sehen.
Your password must be at least 8 characters in length and only use the characters a-z A-Z and 0-9|Ihr Passwort muss mindestens 8 Zeichen lang sein und nur die Zeichen a-z A-Z und 0-9 verwenden
Zero knowledge pastebin|Null Wissen Pastebin
Theme|Thema
Light|Licht
Dark|Dunkel
Mail|E-Mail
If you find that you can't send out email and that you get 'failed delivery' messages returned instead then you may be able to proxy sent emails through another server. Sometimes ISPs or companies provide an SMTP server which can do this.|Wenn Sie feststellen, dass Sie keine E-Mails versenden können und stattdessen "fehlgeschlagene Zustellung" -Nachrichten angezeigt werden, können Sie versendete E-Mails möglicherweise über einen anderen Server weiterleiten. Manchmal stellen ISPs oder Firmen einen SMTP-Server zur Verfügung, der dies tun kann.
Clear|klar
Send email through a proxy|Senden Sie eine E-Mail über einen Proxy
Failed to install. For details see admin/applog.txt|Installation fehlgeschlagen. Einzelheiten finden Sie unter admin/applog.txt
Installed successfully|Erfolgreich installiert
pihole|pihole
Unlike browser based ad blockers, pihole works at the domain name resolution level to block domains known to privide the ads appearing in web pages.|Im Gegensatz zu browserbasierten Adblockern arbeitet pihole auf der Ebene der Domain-Namensauflösung, um Domains zu blockieren, von denen bekannt ist, dass sie die auf Webseiten erscheinenden Anzeigen schützen
Set your DNS IP address to the one shown and many ads will get blocked even before they're delivered to your laptop or mobile device. This can save a lot of bandwidth and generally speed up the loading of websites.| Stellen Sie Ihre DNS-IP-Adresse auf die angezeigte ein und viele Anzeigen werden blockiert, noch bevor sie an Ihren Laptop oder Ihr Mobilgerät übertragen werden. Dies kann viel Bandbreite sparen und das Laden von Websites beschleunigen
Change DNS on your internet router| Ändern Sie DNS auf Ihrem Internet-Router
If your internet router allows you to change the DNS IP address then this is the best way to use pihole because it will then provide coverage for all of the devices and computers in your home.|Wenn Ihr Internet-Router Ihnen erlaubt, die DNS-IP-Adresse zu ändern, dann ist dies der beste Weg, um pihole zu verwenden, da er dann für alle Geräte und Computer in Ihrem Heim eine Abdeckung bietet
Change DNS on individual devices|Ändern Sie DNS auf einzelnen Geräten
If you can't change your internet router's DNS then you can do that on individual GNU/Linux systems as follows:| Wenn Sie das DNS Ihres Internet-Routers nicht ändern können, können Sie dies auf einzelnen GNU/Linux-Systemen wie folgt tun:
Remove or comment out any existing nameservers and add one with the IP address shown for the pihole app. Something like:|Entfernen oder kommentieren Sie vorhandene Nameserver und fügen Sie einen mit der IP-Adresse hinzu, die für die pihole App angezeigt wird. Etwas wie:
Then save and exit and prevent the file from being automatically changed with:| Dann speichern und beenden und verhindern, dass die Datei automatisch mit: geändert wird
If you're running the standard version of LibreServer (not the onion version) then you may need to modify your hosts file to access your own domain.|Wenn Sie die Standardversion von LibreServer (nicht die Onion-Version) ausführen, müssen Sie möglicherweise Ihre Hosts-Datei ändern, um auf Ihre eigene Domain zugreifen zu können
Then add something like:|Fügen Sie dann etwas hinzu wie:
This only works when you're within your home network, so if you're outside of your home then undo the changes made above.|Dies funktioniert nur, wenn Sie sich in Ihrem Heimnetzwerk befinden. Wenn Sie sich also außerhalb Ihres Hauses befinden, machen Sie die oben vorgenommenen Änderungen rückgängig.
The Pi-hole is a DNS sinkhole that protects your devices from unwanted content, without installing any client-side software.|Das Pi-Loch ist eine DNS-Versenkung, die Ihre Geräte vor unerwünschten Inhalten schützt, ohne dass eine clientseitige Software installiert wird.
Search|Suche
removed|Entfernt
To get email working you will need to forward some ports. Email using your onion address will work anyway, so long as you are contacting other onion based email addresses.|Damit E-Mails funktionieren, müssen Sie einige Ports weiterleiten. E-Mails mit Ihrer Zwiebeladresse funktionieren trotzdem, sofern Sie sich an andere Zwiebel-basierte E-Mail-Adressen wenden.
Forward ports 25, 587 and 465 from your internet router|Leiten Sie die Ports 25, 587 und 465 von Ihrem Internet-Router weiter
To access cryptpad you'll need to use a Tor browser. Navigate to the URL and enable javascript for the site under the NoScript icon. The screen will be blank for a few seconds while it's downloading the application into your browser.|Um auf das Cryptpad zugreifen zu können, müssen Sie einen Tor-Browser verwenden. Navigieren Sie zur URL und aktivieren Sie Javascript für die Website unter dem NoScript-Symbol. Der Bildschirm bleibt einige Sekunden lang leer, während die Anwendung in Ihren Browser heruntergeladen wird.
Cryptpad is an almost peer-to-peer application. No data is stored on the server, which only does minimal orchestration between the clients. If an adversary subsequently obtains the server they still learn nothing.|Cryptpad ist eine fast Peer-to-Peer-Anwendung: Auf dem Server werden keine Daten gespeichert, wodurch nur eine minimale Orchestrierung zwischen den Clients erfolgt. Wenn ein Angreifer anschließend den Server erhält, erfährt er immer noch nichts.
Authentication Token|Authentifizierungs-Token
This is only needed if you're using FreeDNS. Otherwise you can leave it blank.|Dies ist nur erforderlich, wenn Sie FreeDNS verwenden, andernfalls können Sie es leer lassen.
On the site where you obtained your domain name set up some custom nameservers as follows:|An der Site, an der Sie Ihren Domainnamen erhalten haben, richten Sie einige benutzerdefinierte Nameserver wie folgt ein:
On the FreeDNS site go to the "Dynamic DNS" section and make sure that "link updates of the same IP together" is set to ON.|Gehen Sie auf der FreeDNS-Site zum Abschnitt "Dynamic DNS" und stellen Sie sicher, dass "Link-Aktualisierungen derselben IP-Adresse zusammen" auf EIN gesetzt sind.
For your main domain name select "quick cron example" and then your authentication token is the random string on the last line between the ? and = characters.|Wählen Sie für Ihren Hauptdomänennamen "quick cron example" aus. Dann ist Ihr Authentifizierungstoken die zufällige Zeichenfolge in der letzten Zeile zwischen den Zeichen? Und =.
Your current IP address is shown at the top of the Dynamic DNS screen of the LibreServer user interface. You can use the "Mass Mod" feature at the top of the "Subdomains" part of the FreeDNS site to set all of your subdomains to that IP address.|Sie können die "Mass Mod" -Funktion oben im "Subdomains" -Teil der FreeDNS-Site verwenden, um alle Ihre Subdomains darauf einzustellen IP-Adresse
Select the MX entry for your main domain and change the destination to 10:mydomainname rather than 10:mail.mydomainname.|Wählen Sie den MX-Eintrag für Ihre Hauptdomäne aus, und ändern Sie das Ziel in 10:meinDomänenname statt 10:Mail.MeineDomänenname.
Enter your FreeDNS login details and the authentication token on the Dynamic DNS screen of the LibreServer user interface.|Geben Sie Ihre FreeDNS-Anmeldedaten und das Authentifizierungstoken im Bildschirm Dynamic DNS der LibreServer-Benutzeroberfläche ein.
To make a playlist insert a USB drive containing audio files in a directory called playlist, add a description below and then select Update|Um eine Wiedergabeliste zu erstellen, fügen Sie ein USB-Laufwerk mit Audiodateien in ein Verzeichnis namens Wiedergabeliste ein. Fügen Sie unten eine Beschreibung hinzu und wählen Sie dann Aktualisieren
To add music copy it to a directory called Music on a USB drive then plug it into your server and select Update|Um Musik hinzuzufügen, kopieren Sie sie in ein Verzeichnis namens Music auf einem USB-Laufwerk, schließen Sie sie an Ihren Server an und wählen Sie Aktualisieren
This is a wiki which stores its content in text files. Having no database makes maintaining it simpler, and it's not tied to any particular domain name so you can easily copy the files to a different domain if you need to.|Dies ist ein Wiki, das seinen Inhalt in Textdateien speichert. Da es keine Datenbank gibt, ist die Wartung einfacher, und es ist nicht an einen bestimmten Domänennamen gebunden, sodass Sie die Dateien bei Bedarf problemlos in eine andere Domäne kopieren können.
Provides an easy and private way to sync calendar and contacts between devices.|Bietet eine einfache und private Möglichkeit, Kalender und Kontakte zwischen Geräten zu synchronisieren.
Using on mobile|Verwendung auf dem Handy
The user interface is a little misleading. Make sure that you log in with your username, not your email addres.|Die Benutzeroberfläche ist etwas irreführend. Stellen Sie sicher, dass Sie sich mit Ihrem Benutzernamen und nicht mit Ihrer E-Mail-Adresse anmelden.
Also choose the advanced option and enter the subdomain that you installed etesync on.|Wählen Sie auch die erweiterte Option und geben Sie die Subdomain ein, auf der Sie Etesync installiert haben.
This is a well known system for real time collaborative editing of documents. Just log in, choose a document title and then edit. Different users will appear in different colours, and can also chat in the sidebar. This is installed as a private system in which only users on your LibreServer server will be able to create and edit documents, so it's not open to any random users on the internet.|Dies ist ein bekanntes System für die kollaborative Bearbeitung von Dokumenten in Echtzeit. Einfach einloggen, einen Dokumenttitel auswählen und dann bearbeiten. Verschiedene Benutzer werden in verschiedenen Farben angezeigt und können auch in der Seitenleiste chatten. Dies wird als privates System installiert, in dem nur Benutzer auf Ihrem LibreServer-Server Dokumente erstellen und bearbeiten können. Es ist also nicht für beliebige Benutzer im Internet zugänglich.
This is a federated social networking system. It can federate with other popular fediverse systems.|Dies ist ein soziales Verbundsystem. Es kann mit anderen gängigen Fediversum-Systemen zusammengeschlossen werden.
This is a blogging system which has no database and only uses text files for storage.|Dies ist ein Blogging-System, das keine Datenbank hat und nur Textdateien zur Speicherung verwendet.
This is a git hosting system. It's very similar to Github in appearance and use, is lightweight and so is well suited for use on low power ARM servers.|Dies ist ein Git-Hosting-System. Es ist dem Erscheinungsbild und der Verwendung von Github sehr ähnlich, ist leicht und daher gut für den Einsatz auf ARM-Servern mit niedrigem Stromverbrauch geeignet.
This is a web publishing and social network system which includes wiki, web pages, photo albums and file storage. It also has nomadic identity allowing you to easily move your account between different servers and privacy controls which allow you to define who can see what content.|Dies ist ein Web-Publishing- und soziales Netzwerksystem, das Wiki, Webseiten, Fotoalben und Dateispeicherung umfasst. Es verfügt auch über eine nomadische Identität, mit der Sie Ihr Konto problemlos zwischen verschiedenen Servern verschieben können, und Sie können die Kontrolle der Privatsphäre festlegen, um festzulegen, wer welchen Inhalt sehen kann.
Kanbans are one way of managing projects. They're traditionally used in businesses but can also be useful for personal TODO lists or within open source or DIY projects. If you have a list of things which need to be done and want to keep track of progress then this provides a way to do that.|Kanbans sind eine Möglichkeit, Projekte zu verwalten. Sie werden traditionell in Unternehmen verwendet, können aber auch für persönliche TODO-Listen oder für Open Source- oder DIY-Projekte nützlich sein. Wenn Sie eine Liste der Dinge haben, die noch erledigt werden müssen und Sie den Fortschritt verfolgen möchten, bietet dies eine Möglichkeit, dies zu tun.
The default login is username "admin" and the login password which you usually use for the web interface.|Das Standard-Login ist der Benutzername "admin" und das Login-Passwort, das Sie normalerweise für die Webschnittstelle verwenden.
If you're using a Tor browser then you may need to allow javascript for the site by selecting the NoScript icon.|Wenn Sie einen Tor-Browser verwenden, müssen Sie möglicherweise Javascript für die Website zulassen, indem Sie das NoScript-Symbol auswählen.
Extra users can be added from the drop down menu at the top right of the screen, under "Users management".|Zusätzliche Benutzer können über das Dropdown-Menü oben rechts auf dem Bildschirm unter "Benutzerverwaltung" hinzugefügt werden.
This enables you to store your music on the LibreServer server and then access it from any internet connected device.|Auf diese Weise können Sie Ihre Musik auf dem LibreServer-Server speichern und dann von jedem mit dem Internet verbundenen Gerät darauf zugreifen.
This is a simple and lightweight photo album for the web. Whether you're an amateur or professional photographer, or want to publish random holiday pics or cat pictures. Lychee just does what it says it does without any fuss.|Dies ist ein einfaches und leichtes Fotoalbum für das Web. Egal, ob Sie Amateur- oder Profifotograf sind oder willkürliche Urlaubsbilder oder Katzenbilder veröffentlichen möchten. Lychee macht einfach das, was es sagt, ohne viel Aufhebens.
This provides an webmail interface suitable for use on desktop or mobile clients and with built in support for encryption.|Dies bietet eine Webmail-Oberfläche, die für die Verwendung auf Desktop- oder mobilen Clients geeignet ist und eine integrierte Verschlüsselungsunterstützung bietet.
This is a system for file synchronisation and also has many other plugins for calendar, videoconferencing, collaborative document editing and federated file sharing.|Dies ist ein System für die Dateisynchronisierung und enthält auch viele andere Plugins für Kalender, Videokonferenzen, gemeinsame Bearbeitung von Dokumenten und gemeinsame Dateifreigabe.
This is a video hosting system which uses webtorrent to help distribute the files to or between clients.|Dies ist ein Video-Hosting-System, das webtorrent zur Verteilung der Dateien an oder zwischen Clients verwendet.
Use the username 'root' and your usual password to log in as the administrator. You can then change settings as needed.|Verwenden Sie den Benutzernamen "root" und Ihr gewöhnliches Passwort, um sich als Administrator anzumelden. Sie können dann die Einstellungen nach Bedarf ändern.
This is an OStatus and ActivityPub compatible social networking server which federates with other fediverse systems. It is high-performance and so is especially well suited for running on low power single board computers without much RAM.|Dies ist ein OStatus- und ActivityPub-kompatibler Server für soziale Netzwerke, der mit anderen Systemen von fediverse zusammengeschlossen wird. Es ist leistungsstark und eignet sich daher besonders für den Betrieb auf Single-Board-Computern mit niedrigem Stromverbrauch ohne viel RAM.
Since Pleroma supports the same protocols, any Mastodon client for Android should work with it.|Da Pleroma die gleichen Protokolle unterstützt, sollte jeder Mastodon-Client für Android damit arbeiten.
This is a fork of GNU Social which includes some extra fixes and optimisations to improve performance. It federates with other fediverse servers, such as Pleroma or Mastodon.|Dies ist eine Abspaltung von GNU Social, die einige zusätzliche Korrekturen und Optimierungen zur Verbesserung der Leistung enthält. Es wird mit anderen fediverse-Servern wie Pleroma oder Mastodon zusammengeschlossen.
This is an encrypted pastebin, such that the server has zero knowledge of the content. It's intended for small amounts of text less than 32K in length. It's not intended for transfering large files, or for storing pastes for more than a day.|Dies ist ein verschlüsselter Pastebin, sodass der Server keine Kenntnis über den Inhalt hat. Es ist für kleine Textmengen mit einer Länge von weniger als 32 KB gedacht. Es ist nicht dafür gedacht, große Dateien zu übertragen oder Pasten länger als einen Tag zu speichern.
This is a web based user interface to the Matrix federated chat system. You will need to have already installed the Matrix app for this to work.|Dies ist eine webbasierte Benutzeroberfläche für das eingebundene Matrix-Chat-System. Sie müssen die Matrix-App bereits installiert haben, damit dies funktioniert.
This is yet another chat system, but the server part of it isn't federated and so it's suitable for small private groups rather than for general public discussions.|Dies ist ein weiteres Chat-System, aber der Serverteil ist nicht föderiert und daher eher für kleine private Gruppen als für allgemeine öffentliche Diskussionen geeignet.
Provides a similar capability to proprietary systems such as Dropbox, and also is well suited for use with low power single board computers. You can have one or more directories which are synchronized across your various laptops/desktops/devices, and this makes it hard for you to ever lose important files. Of course, you don't necessarily need to be running a server in order to use Syncthing, but if you do have a server which is always running then there's always at least one place to synchronize your files to or from.|Bietet eine ähnliche Funktion wie proprietäre Systeme wie Dropbox und ist auch für den Einsatz mit Single Board-Computern mit niedrigem Stromverbrauch geeignet. Sie können ein oder mehrere Verzeichnisse haben, die über Ihre verschiedenen Laptops / Desktops / Geräte hinweg synchronisiert werden. Dies macht es Ihnen schwer, wichtige Dateien jemals zu verlieren. Natürlich müssen Sie nicht unbedingt einen Server betreiben, um Syncthing verwenden zu können. Wenn Sie jedoch einen Server haben, der immer läuft, gibt es immer mindestens einen Ort, an dem Sie Ihre Dateien synchronisieren können.
On a Debian based system:|Auf einem Debian-basierten System:
Or on Android search for the Syncthing app.|Oder bei Android nach der Syncthing-App suchen.
Using the settings button within the LibreServer web interface for the Syncthing app you can then paste in any IDs for other devices. They will then sync with your server.|Über die Schaltfläche "Einstellungen" in der LibreServer-Weboberfläche für die Syncthing-App können Sie dann beliebige IDs für andere Geräte einfügen. Sie werden dann mit Ihrem Server synchronisiert.
A system for privately creating and sharing notes and images, similar to Evernote. It can be set up so that a small number of users on the server can share their notes in a convenient way. It doesn't have any web user interface, and you need to install native clients on mobile or laptop/desktop machines.|Ein System zum privaten Erstellen und Teilen von Notizen und Bildern, ähnlich wie bei Evernote. Sie kann so eingerichtet werden, dass eine kleine Anzahl von Benutzern auf dem Server ihre Notizen bequem teilen kann. Es hat keine Web-Benutzeroberfläche und Sie müssen native Clients auf mobilen Computern oder Notebooks / Desktop-Computern installieren.
Since the data at rest is stored in PGP encrypted format this is a good system to use in cases where security really is a critical factor.|Da die ruhenden Daten in einem PGP-verschlüsselten Format gespeichert werden, ist dies ein gutes System für den Fall, dass die Sicherheit wirklich ein kritischer Faktor ist.
Go to https://turtlapp.com/download and you'll then be able to download the appropriate app for your laptop or phone.|Gehen Sie zu https://turtlapp.com/download und Sie können dann die entsprechende App für Ihren Laptop oder Ihr Telefon herunterladen.
Run the downloaded native app then at the bottom of the screen select "advanced settings" and enter your turl domain name, then register a new account. The password can be anything you choose, but since the client side encryption depends upon having a good password make it a long random string generated by a password manager such as KeepassX.|Führen Sie die heruntergeladene native App aus. Wählen Sie dann am unteren Bildschirmrand "Erweiterte Einstellungen" aus, geben Sie Ihren Turl-Domänennamen ein und registrieren Sie ein neues Konto. Das Kennwort kann beliebig sein. Da die clientseitige Verschlüsselung jedoch davon abhängt, ob ein gutes Kennwort verwendet wird, ist es ein langer zufälliger String, der von einem Kennwortmanager wie KeepassX generiert wird.
You should then be able to log in and start using the app. You might also want to invite any other users of your LibreServer system to also sign up using the turtl domain name which you specified during installation.|Sie sollten sich dann anmelden und die App verwenden können. Möglicherweise möchten Sie auch andere Benutzer Ihres LibreServer-Systems einladen, sich ebenfalls mit dem Turtl-Domänennamen anzumelden, den Sie bei der Installation angegeben haben.
Disabling new registrations|Deaktivieren neuer Registrierungen
Once you have set up the server with however many users are needed you can then disable any new registrations by selecting Turtl on the LibreServer web interface and going to the settings screen.|Nachdem Sie den Server mit vielen Benutzern eingerichtet haben, können Sie alle neuen Registrierungen deaktivieren, indem Sie Turtl auf der LibreServer-Weboberfläche auswählen und zum Einstellungsbildschirm wechseln.
This is similar to Hubzilla but with a reduced range of features concentrating exclusively upon social networking with the latest version of the Zot protocol. Nomadic identity is supported, so to can export your channels and import them on other servers if necessary, without losing followers.|Dies ist ähnlich wie bei Hubzilla, jedoch mit weniger Funktionen, die sich ausschließlich auf soziale Netzwerke mit der neuesten Version des Zot-Protokolls konzentrieren. Nomadic Identity wird unterstützt, sodass Sie Ihre Kanäle exportieren und bei Bedarf auf anderen Servern importieren können, ohne Follower zu verlieren.
The first account you register will be the administrator user, and from there you can go to the admin settings and disable new registrations if needed.|Das erste Konto, das Sie registrieren, ist der Administratorbenutzer. Von dort aus können Sie zu den Administratoreinstellungen gehen und gegebenenfalls neue Registrierungen deaktivieren.
To find other users to follow select "directory" from the drop down menu at the top right of the screen and set "this site only" to "no".|Um andere Benutzer zu finden, denen Sie folgen möchten, wählen Sie "Verzeichnis" aus dem Dropdown-Menü oben rechts auf dem Bildschirm und setzen Sie "Nur diese Site" auf "Nein".
There is an Android app available called Nomad.|Es gibt eine Android-App namens Nomad.
End-to-end encrypted sync of calendar and contacts between devices|End-to-End-verschlüsselte Synchronisierung von Kalender und Kontakten zwischen Geräten
Secure, end-to-end encrypted and journaled personal information cloud synchronization for Android and the desktop, supporting contacts and calendars|Sichere, durchgängig verschlüsselte und dokumentierte Cloud-Synchronisierung der persönlichen Daten für Android und den Desktop, die Kontakte und Kalender unterstützt
Nomadic social network server|Nomadischer Server für soziale Netzwerke
Change background|Hintergrund ändern
Diagnostics|Diagnose
Please wait while your app is installing|Bitte warten Sie, während Ihre App installiert wird
The app could not be installed|Die App konnte nicht installiert werden
Add a new member|Neues Mitglied hinzufügen
Kanban focussed on simplicity and minimalism|Kanban konzentrierte sich auf Einfachheit und Minimalismus
Emails, chat or social network posts will be blocked if they contain the following words or phrases|E-Mails, Chat- oder Social-Network-Beiträge werden blockiert, wenn sie die folgenden Wörter oder Ausdrücke enthalten
Muted words|Gedämpfte Worte
Disk space is getting too low. Installation stopped.|Der Speicherplatz wird zu niedrig. Die Installation wurde gestoppt.
Password changed|Passwort geändert
Play media from any UPNP/DLNA device on your local network|Geben Sie Medien von jedem UPNP / DLNA-Gerät in Ihrem lokalen Netzwerk wieder
This allows you to play media on any DLNA supporting device within your local network.|Dadurch können Sie Medien auf einem beliebigen DLNA-fähigen Gerät in Ihrem lokalen Netzwerk abspielen.
No Access Control|Keine Zugriffskontrolle
DLNA doesn't have any access controls, so keep in mind that anyone with a mobile device or laptop within your local network is potentially able to play any media on the server. Hence this may not be suitable for situations where you want parental control over what media can be accessed.|DLNA verfügt nicht über Zugriffskontrollen. Denken Sie daran, dass Personen mit einem mobilen Gerät oder Laptop in Ihrem lokalen Netzwerk möglicherweise alle Medien auf dem Server wiedergeben können. Daher ist dies möglicherweise nicht für Situationen geeignet, in denen Sie die elterliche Kontrolle darüber haben möchten, auf welche Medien zugegriffen werden kann.
Adding Media|Medien hinzufügen
You can add media by selecting the settings button from the DLNA app.|Sie können Medien hinzufügen, indem Sie in der DLNA-App die Schaltfläche Einstellungen auswählen.
Your homepage can also be accessed with a Tor browser on:|Auf Ihre Homepage kann auch mit einem Tor-Browser zugegriffen werden:
Chat|Chat
Media|Medien
Social|Soziales
Sync|Sync
Publishing|Veröffentlichung
Other|Andere
Recommended Firefox Add-ons:|Empfohlene Firefox-Add-Ons:
Change your default domain name|Ändern Sie Ihren Standarddomänennamen
Do you want to change your default domain name to:|Möchten Sie Ihren Standard-Domainnamen ändern in:
rsync failed|rsync ist fehlgeschlagen
For most purposes Syncthing is an easier file synchronization system, but rsync is still a reliable solution if you prefer to do things the more traditional way or if you just want to create a mirror from an existing rsync server.|Für die meisten Zwecke ist Syncthing ein einfacheres Dateisynchronisationssystem. Rsync ist jedoch immer noch eine zuverlässige Lösung, wenn Sie es lieber auf traditionelle Weise machen oder einfach einen Spiegel aus einem vorhandenen Rsync-Server erstellen möchten.
Rsync is unencrypted but can be used via an onion address for transport security. If you are using it via your domain name then third parties will be able to see the content, but this may not matter if you are synchronizing already public files, such as GNU/Linux distro downloads.|Rsync ist nicht verschlüsselt, kann jedoch zur Transportsicherheit über eine Zwiebeladresse verwendet werden. Wenn Sie es über Ihren Domainnamen verwenden, können Dritte den Inhalt sehen. Dies kann jedoch keine Rolle spielen, wenn Sie bereits öffentliche Dateien synchronisieren, z. B. GNU / Linux-Distro-Downloads.
Avoid using this for private data, unless you are exclusively using rsync via the onion address.|Verwenden Sie diese Option nicht für private Daten, es sei denn, Sie verwenden ausschließlich rsync über die Zwiebeladresse.
Creating a Mirror|Spiegel erstellen
