about|Di
Within the network list click, Add and enter your domain name then click Edit.|All'interno dell'elenco delle reti fai clic su Aggiungi e inserisci il tuo nome di dominio, quindi fai clic su Modifica.
Within the Password field enter the password which you originally set up the box with.|All'interno del campo Password inserisci la password con cui hai originariamente impostato la casella.
Within the software center search for "mumble" and install the client then run it. Skip through the audio setup wizard. Cancel the initial connection window.|All'interno del centro del software cerca "mumble" e installa il client, quindi eseguilo. Passare attraverso la procedura guidata di configurazione audio. Annulla la finestra di connessione iniziale.
Write it down or save it|Annotarlo o salvarlo
XMPP|XMPP
xmpp based chat system|sistema di chat basato su xmpp
Yes|sì
You can edit the translated text on the right side of the screen.|È possibile modificare il testo tradotto sul lato destro dello schermo.
You can get to this system remotely via:|È possibile accedere a questo sistema da remoto tramite:
You can now go back to the initial Conversations app screen and start using it. You'll probably want to add contacts using the icon at the bottom right. For more information see the Conversations website (conversations.im) or subscribe to the chat group conversations@conference.siacs.eu|Ora puoi tornare alla schermata iniziale delle conversazioni e iniziare a usarlo. Probabilmente vorrai aggiungere contatti usando l'icona in basso a destra. Per maggiori informazioni visita il sito web Conversations (conversations.im) o iscriviti al gruppo chat conversations@conference.siacs.eu
You can now log in with:|Ora puoi accedere con:
You can see upgrade progress|Puoi vedere i progressi dell'aggiornamento
You can use left and right cursor keys to move through pages|È possibile utilizzare i tasti cursore sinistro e destro per spostarsi tra le pagine
You may also want to make another entry with the same settings but replacing tcp with udp.|Si consiglia inoltre di creare un'altra voce con le stesse impostazioni ma sostituendo tcp con udp.
You may now remove the USB drive|Ora puoi rimuovere l'unità USB
You might have mistyped one of them|Potresti aver sbagliato a digitare uno di loro
You will see the translations file with some instructions at the top.|Vedrai il file delle traduzioni con alcune istruzioni in alto.
Your password must be at least 8 characters in length and only use the characters a-z A-Z and 0-9|La tua password deve contenere almeno 8 caratteri e usare solo i caratteri a-z A-Z e 0-9
Zero knowledge pastebin|Conoscenza zero pastebin
Theme|Tema
Light|Leggero
Dark|Buio
Mail|posta
Clear|Chiaro
Send email through a proxy|Invia email tramite un proxy
If you find that you can't send out email and that you get 'failed delivery' messages returned instead then you may be able to proxy sent emails through another server. Sometimes ISPs or companies provide an SMTP server which can do this.|Hvis du finner ut a du ikke kan sende ut e-post su får mislykkede leveringsmeldinger, kan du sende proxy via e-post via en annen server. A volte gli ISP di bedrijven leveren een SMTP-server die dit kan doen.
Failed to install. For details see admin/applog.txt|Installazione fallita. Per dettagli vedi admin/applog.txt
Installed successfully|Installato con successo
pihole|pihole
Unlike browser based ad blockers, pihole works at the domain name resolution level to block domains known to privide the ads appearing in web pages.|A differenza dei bloccanti di annunci basati su browser, pihole funziona a livello di risoluzione dei nomi di dominio per bloccare i domini noti per privare gli annunci che compaiono nelle pagine Web.
Set your DNS IP address to the one shown and many ads will get blocked even before they're delivered to your laptop or mobile device. This can save a lot of bandwidth and generally speed up the loading of websites.| Imposta il tuo indirizzo IP DNS su quello mostrato e molti annunci verranno bloccati anche prima di essere consegnati al tuo laptop o dispositivo mobile. Ciò può far risparmiare molta banda e in genere velocizzare il caricamento dei siti Web.
Change DNS on your internet router| Cambia DNS sul tuo router internet
If your internet router allows you to change the DNS IP address then this is the best way to use pihole because it will then provide coverage for all of the devices and computers in your home.|Se il tuo router internet ti consente di cambiare l'indirizzo IP DNS, questo è il modo migliore per utilizzare Pihole perché fornirà la copertura per tutti i dispositivi e i computer della tua casa.
Change DNS on individual devices|Cambia DNS su singoli dispositivi
If you can't change your internet router's DNS then you can do that on individual GNU/Linux systems as follows:| Se non è possibile modificare il DNS del router internet, è possibile farlo su singoli sistemi GNU/Linux come segue:
Remove or comment out any existing nameservers and add one with the IP address shown for the pihole app. Something like:|Rimuovi o commenta tutti i nameserver esistenti e aggiungine uno con l'indirizzo IP mostrato per l'app pihole. Qualcosa come:
Then save and exit and prevent the file from being automatically changed with:| Quindi salvare ed uscire e impedire che il file venga automaticamente modificato con:
If you're running the standard version of LibreServer (not the onion version) then you may need to modify your hosts file to access your own domain.|Se stai utilizzando la versione standard di LibreServer (non la versione di cipolla), potresti dover modificare il file hosts per accedere al tuo dominio.
Then add something like:|Quindi aggiungere qualcosa come:
This only works when you're within your home network, so if you're outside of your home then undo the changes made above.|Funziona solo quando sei all'interno della rete domestica, quindi se sei fuori casa, annulla le modifiche fatte sopra.
The Pi-hole is a DNS sinkhole that protects your devices from unwanted content, without installing any client-side software.|Il Pi-hole è un sinkhole DNS che protegge i tuoi dispositivi da contenuti indesiderati, senza installare alcun software sul lato client.
Search|Ricerca
removed|rimosso
To get email working you will need to forward some ports. Email using your onion address will work anyway, so long as you are contacting other onion based email addresses.|Per far funzionare le e-mail dovrai inoltrare alcune porte, ma l'e-mail che utilizza il tuo indirizzo cipolla funzionerà comunque, purché tu stia contattando altri indirizzi email basati sulla cipolla.
Forward ports 25, 587 and 465 from your internet router|Inoltra le porte 25, 587 e 465 dal tuo router internet
To access cryptpad you'll need to use a Tor browser. Navigate to the URL and enable javascript for the site under the NoScript icon. The screen will be blank for a few seconds while it's downloading the application into your browser.|Per accedere al cryptpad dovrai utilizzare un browser Tor. Vai all'URL e abilita javascript per il sito sotto l'icona NoScript. Lo schermo sarà vuoto per qualche secondo mentre sta scaricando l'applicazione nel tuo browser.
Cryptpad is an almost peer-to-peer application. No data is stored on the server, which only does minimal orchestration between the clients. If an adversary subsequently obtains the server they still learn nothing.|Cryptpad è un'applicazione quasi peer-to-peer: nessun dato è memorizzato sul server, il che richiede solo un'orchestrazione minima tra i client, ma se un avversario ottiene successivamente il server non apprende ancora nulla.
Authentication Token|Token di autenticazione
This is only needed if you're using FreeDNS. Otherwise you can leave it blank.|Questo è necessario solo se stai usando FreeDNS, altrimenti puoi lasciarlo vuoto.
On the site where you obtained your domain name set up some custom nameservers as follows:|Nel sito in cui hai ottenuto il tuo nome di dominio, imposta alcuni server dei nomi personalizzati come segue:
On the FreeDNS site go to the "Dynamic DNS" section and make sure that "link updates of the same IP together" is set to ON.|Sul sito di FreeDNS, vai alla sezione "DNS dinamico" e assicurati che "Collega gli aggiornamenti dello stesso IP insieme" sia impostato su ON.
For your main domain name select "quick cron example" and then your authentication token is the random string on the last line between the ? and = characters.|Per il tuo nome di dominio principale seleziona "quick cron example" e il tuo token di autenticazione è la stringa casuale sull'ultima riga tra i caratteri? E =.
Your current IP address is shown at the top of the Dynamic DNS screen of the LibreServer user interface. You can use the "Mass Mod" feature at the top of the "Subdomains" part of the FreeDNS site to set all of your subdomains to that IP address.|Puoi utilizzare la funzione "Mass Mod" nella parte superiore della sezione "Sottodomini" del sito FreeDNS per impostare tutti i tuoi sottodomini su quello Indirizzo IP
Select the MX entry for your main domain and change the destination to 10:mydomainname rather than 10:mail.mydomainname.|Seleziona la voce MX per il tuo dominio principale e cambia la destinazione in 10: mydomainname anziché 10: mail.mydomainname.
Enter your FreeDNS login details and the authentication token on the Dynamic DNS screen of the LibreServer user interface.|Immettere i dettagli di accesso di FreeDNS e il token di autenticazione nella schermata DNS dinamico dell'interfaccia utente di LibreServer.
To make a playlist insert a USB drive containing audio files in a directory called playlist, add a description below and then select Update|Per fare in modo che una playlist inserisca un'unità USB contenente file audio in una directory denominata playlist, aggiungi una descrizione sotto e poi seleziona Aggiorna
To add music copy it to a directory called Music on a USB drive then plug it into your server and select Update|Per aggiungere musica, copialo in una directory chiamata Musica su un'unità USB, quindi collegalo al tuo server e seleziona Aggiorna
This is a wiki which stores its content in text files. Having no database makes maintaining it simpler, and it's not tied to any particular domain name so you can easily copy the files to a different domain if you need to.|Questa è una wiki che memorizza il suo contenuto in file di testo. Non avere un database rende più semplice la manutenzione e non è legato ad alcun nome di dominio particolare, quindi è possibile copiare facilmente i file in un dominio diverso se necessario.
Provides an easy and private way to sync calendar and contacts between devices.|Fornisce un modo semplice e privato per sincronizzare calendario e contatti tra dispositivi.
Using on mobile|Utilizzo sul cellulare
The user interface is a little misleading. Make sure that you log in with your username, not your email addres.|L'interfaccia utente è un po 'fuorviante. Assicurati di accedere con il tuo nome utente, non con il tuo indirizzo email.
Also choose the advanced option and enter the subdomain that you installed etesync on.|Scegli anche l'opzione avanzata e inserisci il sottodominio su cui hai installato etesync.
This is a well known system for real time collaborative editing of documents. Just log in, choose a document title and then edit. Different users will appear in different colours, and can also chat in the sidebar. This is installed as a private system in which only users on your LibreServer server will be able to create and edit documents, so it's not open to any random users on the internet.|Questo è un sistema ben noto per la modifica collaborativa in tempo reale dei documenti. Basta accedere, scegliere un titolo del documento e quindi modificare. Diversi utenti appariranno in colori diversi e potranno anche chattare nella barra laterale. Questo è installato come un sistema privato in cui solo gli utenti sul tuo server LibreServer saranno in grado di creare e modificare documenti, quindi non è aperto a utenti casuali su Internet.
This is a federated social networking system. It can federate with other popular fediverse systems.|Questo è un sistema di social networking federato. Può federarsi con altri sistemi di fediverse popolari.
This is a blogging system which has no database and only uses text files for storage.|Questo è un sistema di blogging che non ha database e utilizza solo file di testo per l'archiviazione.
This is a git hosting system. It's very similar to Github in appearance and use, is lightweight and so is well suited for use on low power ARM servers.|Questo è un sistema di hosting git. È molto simile a Github nell'aspetto e nell'uso, è leggero e quindi è adatto per l'uso su server ARM a bassa potenza.
This is a web publishing and social network system which includes wiki, web pages, photo albums and file storage. It also has nomadic identity allowing you to easily move your account between different servers and privacy controls which allow you to define who can see what content.|Questo è un sistema di web publishing e social network che include wiki, pagine web, album di foto e archiviazione di file. Ha anche un'identità nomade che ti consente di spostare facilmente il tuo account tra server diversi e controlli di privacy che ti permettono di definire chi può vedere quali contenuti.
Kanbans are one way of managing projects. They're traditionally used in businesses but can also be useful for personal TODO lists or within open source or DIY projects. If you have a list of things which need to be done and want to keep track of progress then this provides a way to do that.|I kanban sono un modo per gestire i progetti. Sono tradizionalmente utilizzati nelle aziende ma possono anche essere utili per le liste TODO personali o all'interno di progetti open source o fai-da-te. Se hai una lista di cose che devi fare e vuoi tenere traccia dei progressi, allora questo fornisce un modo per farlo.
The default login is username "admin" and the login password which you usually use for the web interface.|L'accesso predefinito è username "admin" e la password di accesso che di solito usi per l'interfaccia web.
If you're using a Tor browser then you may need to allow javascript for the site by selecting the NoScript icon.|Se stai utilizzando un browser Tor, potrebbe essere necessario consentire javascript per il sito selezionando l'icona NoScript.
Extra users can be added from the drop down menu at the top right of the screen, under "Users management".|Gli utenti aggiuntivi possono essere aggiunti dal menu a discesa in alto a destra dello schermo, sotto "Gestione utenti".
This enables you to store your music on the LibreServer server and then access it from any internet connected device.|Ciò consente di memorizzare la musica sul server LibreServer e quindi accedervi da qualsiasi dispositivo connesso a Internet.
This is a simple and lightweight photo album for the web. Whether you're an amateur or professional photographer, or want to publish random holiday pics or cat pictures. Lychee just does what it says it does without any fuss.|Questo è un album fotografico semplice e leggero per il web. Che tu sia un fotografo dilettante o professionista o che desideri pubblicare foto di vacanze casuali o foto di gatti. Il litchi fa esattamente quello che dice, senza problemi.
This provides an webmail interface suitable for use on desktop or mobile clients and with built in support for encryption.|Questo fornisce un'interfaccia webmail adatta per l'utilizzo su client desktop o mobili e con supporto integrato per la crittografia.
This is a system for file synchronisation and also has many other plugins for calendar, videoconferencing, collaborative document editing and federated file sharing.|Questo è un sistema per la sincronizzazione dei file e ha anche molti altri plugin per calendario, videoconferenza, modifica di documenti collaborativi e condivisione di file federati.
This is a video hosting system which uses webtorrent to help distribute the files to or between clients.|Questo è un sistema di hosting video che utilizza webtorrent per aiutare a distribuire i file tra o tra i client.
Use the username 'root' and your usual password to log in as the administrator. You can then change settings as needed.|Usa il nome utente 'root' e la tua solita password per accedere come amministratore. È quindi possibile modificare le impostazioni secondo necessità.
This is an OStatus and ActivityPub compatible social networking server which federates with other fediverse systems. It is high-performance and so is especially well suited for running on low power single board computers without much RAM.|Questo è un server di social networking compatibile con OStatus e ActivityPub che si configura con altri sistemi di fediverse. È ad alte prestazioni e quindi è particolarmente adatto per l'esecuzione su computer a scheda singola a bassa potenza senza molta RAM.
Since Pleroma supports the same protocols, any Mastodon client for Android should work with it.|Poiché Pleroma supporta gli stessi protocolli, qualsiasi client Mastodon per Android dovrebbe funzionare con esso.
This is a fork of GNU Social which includes some extra fixes and optimisations to improve performance. It federates with other fediverse servers, such as Pleroma or Mastodon.|Questo è un fork di GNU Social che include alcune correzioni e ottimizzazioni extra per migliorare le prestazioni. Si confonde con altri server di Fediverse, come Pleroma o Mastodon.
This is an encrypted pastebin, such that the server has zero knowledge of the content. It's intended for small amounts of text less than 32K in length. It's not intended for transfering large files, or for storing pastes for more than a day.|Si tratta di un pastebin crittografato, in modo tale che il server non abbia conoscenza del contenuto. È destinato a piccole quantità di testo di lunghezza inferiore a 32K. Non è inteso per il trasferimento di file di grandi dimensioni o per la memorizzazione di paste per più di un giorno.
This is a web based user interface to the Matrix federated chat system. You will need to have already installed the Matrix app for this to work.|Questa è un'interfaccia utente basata sul Web per il sistema di chat federato Matrix. È necessario aver già installato l'app Matrix affinché funzioni.
This is yet another chat system, but the server part of it isn't federated and so it's suitable for small private groups rather than for general public discussions.|Questo è ancora un altro sistema di chat, ma la parte server non è federata e quindi è adatta per piccoli gruppi privati ​​piuttosto che per discussioni pubbliche generali.
Provides a similar capability to proprietary systems such as Dropbox, and also is well suited for use with low power single board computers. You can have one or more directories which are synchronized across your various laptops/desktops/devices, and this makes it hard for you to ever lose important files. Of course, you don't necessarily need to be running a server in order to use Syncthing, but if you do have a server which is always running then there's always at least one place to synchronize your files to or from.|Fornisce funzionalità simili a sistemi proprietari come Dropbox e si adatta bene anche ai computer a scheda singola di bassa potenza. È possibile avere una o più directory sincronizzate tra i vari laptop / desktop / dispositivi e ciò rende difficile la perdita di file importanti. Ovviamente, non è necessario che sia in esecuzione un server per poter utilizzare Syncthing, ma se si dispone di un server sempre funzionante, c'è sempre almeno un posto in cui sincronizzare i file da o verso.
On a Debian based system:|Su un sistema basato su Debian:
Or on Android search for the Syncthing app.|O su Android cerca l'app Syncthing.
Using the settings button within the LibreServer web interface for the Syncthing app you can then paste in any IDs for other devices. They will then sync with your server.|Utilizzando il pulsante delle impostazioni nell'interfaccia Web di LibreServer per l'app Syncthing, è possibile incollare qualsiasi ID per altri dispositivi. Saranno quindi sincronizzati con il tuo server.
A system for privately creating and sharing notes and images, similar to Evernote. It can be set up so that a small number of users on the server can share their notes in a convenient way. It doesn't have any web user interface, and you need to install native clients on mobile or laptop/desktop machines.|Un sistema per creare e condividere privatamente note e immagini, simile a Evernote. Può essere impostato in modo che un numero limitato di utenti sul server possano condividere le proprie note in modo conveniente. Non ha alcuna interfaccia utente web ed è necessario installare client nativi su macchine mobili o laptop / desktop.
Since the data at rest is stored in PGP encrypted format this is a good system to use in cases where security really is a critical factor.|Poiché i dati a riposo sono archiviati in formato crittografato PGP, questo è un buon sistema da utilizzare nei casi in cui la sicurezza è davvero un fattore critico.
Go to https://turtlapp.com/download and you'll then be able to download the appropriate app for your laptop or phone.|Vai a https://turtlapp.com/download e potrai scaricare l'app appropriata per il tuo laptop o telefono.
Run the downloaded native app then at the bottom of the screen select "advanced settings" and enter your turl domain name, then register a new account. The password can be anything you choose, but since the client side encryption depends upon having a good password make it a long random string generated by a password manager such as KeepassX.|Esegui l'app nativa scaricata quindi nella parte inferiore dello schermo seleziona "impostazioni avanzate" e inserisci il tuo nome di dominio turl, quindi registra un nuovo account. La password può essere qualsiasi cosa tu scelga, ma dal momento che la crittografia lato client dipende dall'avere una buona password, crea una lunga stringa casuale generata da un gestore di password come KeepassX.
You should then be able to log in and start using the app. You might also want to invite any other users of your LibreServer system to also sign up using the turtl domain name which you specified during installation.|Dovresti quindi essere in grado di accedere e iniziare a utilizzare l'app. Potresti anche invitare altri utenti del tuo sistema LibreServer a registrarti utilizzando il nome del dominio turtl che hai specificato durante l'installazione.
Disabling new registrations|Disabilitare nuove registrazioni
Once you have set up the server with however many users are needed you can then disable any new registrations by selecting Turtl on the LibreServer web interface and going to the settings screen.|Una volta impostato il server con tutti gli utenti necessari, è possibile disabilitare qualsiasi nuova registrazione selezionando Turtl nell'interfaccia Web di LibreServer e andando alla schermata delle impostazioni.
This is similar to Hubzilla but with a reduced range of features concentrating exclusively upon social networking with the latest version of the Zot protocol. Nomadic identity is supported, so to can export your channels and import them on other servers if necessary, without losing followers.|Questo è simile a Hubzilla ma con una gamma ridotta di funzionalità che si concentra esclusivamente sul social networking con l'ultima versione del protocollo Zot. L'identità nomade è supportata, quindi puoi esportare i tuoi canali e importarli su altri server, se necessario, senza perdere seguaci.
The first account you register will be the administrator user, and from there you can go to the admin settings and disable new registrations if needed.|Il primo account registrato sarà l'utente amministratore e da lì potrai accedere alle impostazioni dell'amministratore e disabilitare le nuove registrazioni, se necessario.
To find other users to follow select "directory" from the drop down menu at the top right of the screen and set "this site only" to "no".|Per trovare altri utenti da seguire seleziona "directory" dal menu a discesa in alto a destra dello schermo e imposta "solo questo sito" su "no".
There is an Android app available called Nomad.|È disponibile un'app per Android denominata Nomad.
End-to-end encrypted sync of calendar and contacts between devices|Sincronizzazione crittografata end-to-end del calendario e dei contatti tra dispositivi
Secure, end-to-end encrypted and journaled personal information cloud synchronization for Android and the desktop, supporting contacts and calendars|Sincronizzazione sicura e end-to-end delle informazioni personali crittografate e registrate su giornale per Android e desktop, supporto di contatti e calendari
Nomadic social network server|Server di social network nomade
Change background|Cambia sfondo
Diagnostics|Diagnostica
Please wait while your app is installing|Attendi mentre la tua app si sta installando
The app could not be installed|L'app non può essere installata
Add a new member|Aggiungi un nuovo membro
Kanban focussed on simplicity and minimalism|Kanban si è concentrato sulla semplicità e sul minimalismo
Emails, chat or social network posts will be blocked if they contain the following words or phrases|Messaggi di posta elettronica, chat o social network verranno bloccati se contengono le seguenti parole o frasi
Muted words|Parole silenziose
Disk space is getting too low. Installation stopped.|Lo spazio su disco sta diventando troppo basso. Installazione interrotta.
Password changed|Password cambiata
Play media from any UPNP/DLNA device on your local network|Riproduci i file multimediali da qualsiasi dispositivo UPNP / DLNA sulla rete locale
This allows you to play media on any DLNA supporting device within your local network.|Ciò consente di riprodurre file multimediali su qualsiasi dispositivo di supporto DLNA all'interno della rete locale.
No Access Control|Nessun controllo di accesso
DLNA doesn't have any access controls, so keep in mind that anyone with a mobile device or laptop within your local network is potentially able to play any media on the server. Hence this may not be suitable for situations where you want parental control over what media can be accessed.|DLNA non ha controlli di accesso, quindi tieni presente che chiunque disponga di un dispositivo mobile o laptop nella rete locale è potenzialmente in grado di riprodurre qualsiasi supporto sul server. Pertanto, potrebbe non essere adatto alle situazioni in cui si desidera il controllo dei genitori su quale tipo di supporto è possibile accedere.
Adding Media|Aggiungere media
You can add media by selecting the settings button from the DLNA app.|È possibile aggiungere contenuti multimediali selezionando il pulsante delle impostazioni dall'app DLNA.
Your homepage can also be accessed with a Tor browser on:|La tua homepage è accessibile anche con un browser Tor su:
Chat|Chat
Media|Media
Social|sociale
Sync|Sync
Publishing|editoriale
Other|Altro
Recommended Firefox Add-ons:|Componenti aggiuntivi consigliati per Firefox:
Change your default domain name|Cambia il tuo nome di dominio predefinito
Do you want to change your default domain name to:|Vuoi cambiare il nome di dominio predefinito in:
rsync failed|rsync fallito
For most purposes Syncthing is an easier file synchronization system, but rsync is still a reliable solution if you prefer to do things the more traditional way or if you just want to create a mirror from an existing rsync server.|Per la maggior parte degli scopi, Syncthing è un sistema di sincronizzazione file più semplice, ma rsync è ancora una soluzione affidabile se si preferisce fare le cose nel modo più tradizionale o se si desidera semplicemente creare un mirror da un server rsync esistente.
Rsync is unencrypted but can be used via an onion address for transport security. If you are using it via your domain name then third parties will be able to see the content, but this may not matter if you are synchronizing already public files, such as GNU/Linux distro downloads.|Rsync non è crittografato, ma può essere utilizzato tramite un indirizzo cipolla per la sicurezza del trasporto. Se la stai usando tramite il tuo nome di dominio, terze parti saranno in grado di vedere il contenuto, ma questo potrebbe non essere importante se stai sincronizzando già file pubblici, come download di distro GNU / Linux.
Avoid using this for private data, unless you are exclusively using rsync via the onion address.|Evita di usare questo per dati privati, a meno che tu non stia usando esclusivamente rsync tramite l'indirizzo di cipolla.
Creating a Mirror|Creare uno specchio
Select the Settings button then enter the domain and module name for the mirror. From then on synchronization will happen once per day.|Seleziona il pulsante Impostazioni quindi inserisci il dominio e il nome del modulo per il mirror. Da quel momento in poi la sincronizzazione avverrà una volta al giorno.
Local Sync|Sincronizzazione locale
If you created a mirror to your server you can then sync those files to other machines or devices on your local network as follows:|Se hai creato un mirror sul tuo server, puoi sincronizzare quei file con altri computer o dispositivi sulla tua rete locale come segue:
If "libreserver" doesn't work then you can substitute the local IP address of your server.|Se "libreserver" non funziona, puoi sostituire l'indirizzo IP locale del tuo server.
Create a mirror of public files|Crea un mirror di file pubblici
The domain name could not be changed|Il nome del dominio non può essere cambiato
This might be because you do not have ports 80 and 443 forwarded to the server.|Ciò potrebbe essere dovuto al fatto che le porte 80 e 443 non sono state inoltrate al server.
Check the port forwarding settings on your internet router.|Controlla le impostazioni di port forwarding sul tuo router internet.
Please specify a domain name which will be used for your email or XMPP address.|Specifica un nome di dominio che verrà utilizzato per la tua email o l'indirizzo XMPP.
Please forward the following ports from your internet router:|Si prega di inoltrare le seguenti porte dal proprio router internet:
Search for 'Barcode Scanner', then select 'install'|Cerca 'Barcode Scanner', quindi seleziona 'installa'
Download the DarkMessenger apk file via the link below, preferably using a Tor based browser, then install it|Scarica il file apk di DarkMessenger tramite il link sottostante, preferibilmente utilizzando un browser basato su Tor, quindi installalo
Run DarkMessenger and the initial account setup will be shown. DarkMessenger only allows onion addresses to be used to create accounts|Esegui DarkMessenger e verrà mostrata la configurazione iniziale dell'account. DarkMessenger consente solo di utilizzare gli indirizzi di cipolla per creare account
You can obtain your onion XMPP address from the Members section within the web interface, usually at http://libreserver/admin or http://libreserver.local/admin. If you can't easily copy and paste it into the account setup within DarkMessenger then you can use the barcode scanner on the QRcode displayed|È possibile ottenere l'indirizzo XMPP della cipolla dalla sezione Membri all'interno dell'interfaccia Web, in genere all'indirizzo http: // libreserver / admin o http: //libreserver.local/admin. Se non è possibile copiarlo e incollarlo facilmente nell'impostazione dell'account in DarkMessenger, è possibile utilizzare lo scanner di codici a barre sul QRcode visualizzato
Enter the password which you stored during initial setup of the system and also the onion domain|Immettere la password memorizzata durante l'installazione iniziale del sistema e anche il dominio onion
You should now be able to connect to your onion XMPP account and set an avatar image if necessary|Ora dovresti essere in grado di collegarti al tuo account XMPP di cipolla e impostare un'immagine avatar se necessario
When sending or receiving pictures or other attachments for the first time you will need to accept the self-signed certificates. Select 'always' twice. This should only happen once per contact|Quando si inviano o si ricevono foto o altri allegati per la prima volta, è necessario accettare i certificati autofirmati. Seleziona "sempre" due volte. Questo dovrebbe accadere solo una volta per contatto
Under Settings/Expert you may want to change the automatic message deletion period. By default this is one day|Sotto Impostazioni / Esperto potresti voler cambiare il periodo di cancellazione automatica dei messaggi. Di default questo è un giorno
When setting up a group chat first ensure that you have separately confirmed two way messaging with each of the participants individually|Quando si configura una chat di gruppo, assicurarsi di avere separatamente un messaggio di conferma a due vie con ciascuno dei partecipanti individualmente
Enable strict TLS authentication between XMPP servers?|Abilitare l'autenticazione TLS rigorosa tra i server XMPP?
If you or other people are having difficulty joining multi-user chat then enabling this might help|Se tu o altre persone incontrate difficoltà nel partecipare a chat multiutente, abilitare questo potrebbe aiutare
Music can be uploaded using Nextcloud. Install the app and then create a directory called 'Music'.|La musica può essere caricata usando Nextcloud. Installa l'app e quindi crea una directory chiamata "Musica".
Drag your files into the Music directory and they will then become available to mpd.|Trascina i tuoi file nella directory Music e questi diventeranno disponibili per mpd.
Select search (magnifying glass icon) and search for 'MALP', then select 'install'|Seleziona la ricerca (icona lente d'ingrandimento) e cerca "MALP", quindi seleziona "installa"
Open MALP and from the settings select Profiles|Apri MALP e dalle impostazioni seleziona Profili
Enter the following settings:|Inserisci le seguenti impostazioni:
Save the settings by selecting the disk icon at the top right of the screen|Salvare le impostazioni selezionando l'icona del disco in alto a destra sullo schermo
You should now be able to connect to mpd on your server and select and play albums.|Ora dovresti essere in grado di collegarti a mpd sul tuo server e selezionare e riprodurre album.
In a non-Tor browser navigate to http://libreserver:8250 or http://[server local IP address]:8250 and you should be able to play the selected album.|In un browser non Tor, accedere a http: // libreserver: 8250 o http: // [indirizzo IP locale del server]: 8250 e dovresti riuscire a riprodurre l'album selezionato.
Setting up on the desktop|Impostazione sul desktop
Install Sonata|Installa Sonata
Run Sonata and enter the following settings:|Esegui Sonata e inserisci le seguenti impostazioni:
You should now be able to see your albums listed and be able to add them to the currently playing list.|Ora dovresti riuscire a vedere i tuoi album elencati ed essere in grado di aggiungerli alla lista in riproduzione.
In a non-Tor browser navigate to http://libreserver:8250 or http://[server local IP address]:8250 and you should be able to play the selected album.|In un browser non Tor, accedere a http: // libreserver: 8250 o http: // [indirizzo IP locale del server]: 8250 e dovresti riuscire a riprodurre l'album selezionato.
Select your music file format:|Seleziona il tuo formato di file musicale:
pixelfed allow new registrations|pixelfed consente nuove registrazioni
Groceries and household management|Generi alimentari e gestione della famiglia
Organization|Organizzazione
VPN domain or IP address:|Dominio VPN o indirizzo IP:
VPN public key:|Chiave pubblica VPN:
Public key for this server:|Chiave pubblica per questo server:
Public keys for the laptops or devices that you wish to be able to use this server to connect to the internet.|Chiavi pubbliche per computer portatili o dispositivi che si desidera essere in grado di utilizzare questo server per connettersi a Internet.
Network|Rete
Set your coordinates on the map|Imposta le tue coordinate sulla mappa
Longitude:|Longitudine:
Latitude:|Latitudine:
Join|Aderire
Docs|Documenti
Community network map is being generated|Viene generata una mappa della rete comunitaria
Please wait|attendere prego
IP address (optional):|Indirizzo IP (opzionale):
Export|Esportare
Add a new community network node|Aggiungi un nuovo nodo di rete della comunità
Remove a community network node|Rimuovere un nodo di rete della comunità
WARNING: Only change this if you know what you are doing. Selecting the wrong mesh protocol may make your server disappear from the network, and be difficult to recover|ATTENZIONE: cambia questo solo se sai cosa stai facendo. La selezione del protocollo di mesh errato potrebbe far sparire il server dalla rete ed essere difficile da ripristinare
WARNING: Only change this if you know what you are doing. Setting an incorrect IP address or gateway may cause your server to become inaccessible, and may be difficult to recover|ATTENZIONE: cambia questo solo se sai cosa stai facendo. L'impostazione di un indirizzo IP o gateway non corretto potrebbe rendere inaccessibile il server e potrebbe essere difficile ripristinarlo
Choose your network:|Scegli la tua rete:
Language is being changed|La lingua viene cambiata
Community Network|Community Network
Theme is being changed|Il tema è stato cambiato
Install a new app|Installa una nuova app
Restore APPNAME from backup?|Ripristina APPNAME dal backup?
Add or remove feeds|Aggiungi o rimuovi feed
Enter an RSS feed URL to add or remove. The domain name is enough for removals.|Inserisci un URL del feed RSS da aggiungere o rimuovere. Il nome di dominio è sufficiente per le rimozioni.
Show onion address|Mostra l'indirizzo della cipolla
Multi User Dungeon from the era of Welsh mainframe computing|Multi User Dungeon dell'era del computer mainframe in gallese
Forward the UDP port 5100 from your internet router|Inoltra la porta UDP 5100 dal tuo router internet
Since this app only uses the UDP protocol it won't work via an onion address. If you are running the onion only version of LibreServer then use its local IP address (usually 192.168.1.x) to connect to the game on the above port.|Poiché questa app utilizza solo il protocollo UDP, non funzionerà tramite un indirizzo di cipolla. Se stai utilizzando la versione solo cipriota di LibreServer, usa il suo indirizzo IP locale (solitamente 192.168.1.x) per collegarti al gioco sulla porta precedente.
Near infinite world block sandbox game|Vicino a un infinito gioco sandbox a blocchi del mondo
Federation List|Lista della Federazione
Add or remove the domain names for instances with whom you wish to federate. Don't include your own domain names.|Aggiungere o rimuovere i nomi di dominio per le istanze con cui si desidera federare. Non includere i tuoi nomi di dominio.
Notify via|Notifica via
Receive admin notifications|Ricevi notifiche amministrative
New calendar event|Nuovo evento del calendario
New direct message|Nuovo messaggio diretto
New reply|Nuova risposta
