About|के बारे में
Selecting the server by pressing on it then connects you to the server so that you can chat with other connected users|इसे दबाकर सर्वर का चयन करना आपको सर्वर से जोड़ता है ताकि आप अन्य कनेक्टेड उपयोगकर्ताओं के साथ चैट कर सकें
Serbian|सर्बियाई
Setting up on a laptop|एक लैपटॉप पर सेट अप
Setting up on Android|एंड्रॉइड पर सेट अप
Setting up with an Android phone|एक एंड्रॉइड फोन के साथ स्थापित करना
Settings|सेटिंग्स
Setup on Android|एंड्रॉइड पर सेटअप
Shortcode|छोटे संकेत
Shutdown|बंद करना
Shutting down|बंद करना
Simple kanban|सरल कन्नबान
Simple Markdown blogging|सरल मार्कडाउन ब्लॉगिंग
Simple notes|सरल नोट्स
Slovak|स्लोवाक
Slovenian|स्लोवेनियाई
Somali|सोमाली
Spanish (International)|स्पेनिश (अंतर्राष्ट्रीय)
SSH access is disabled|एसएसएच एक्सेस अक्षम है
SSH access is enabled|एसएसएच एक्सेस सक्षम है
Stream Description|स्ट्रीम विवरण
Streaming media|स्ट्रीमिंग मीडिया
Submit|जमा करें
Submitting your translations to the LibreServer project|LibreServer परियोजना में अपने अनुवाद जमा कर रहा है
Swedish|स्वीडिश
System Monitor|सिस्टम मॉनीटर
Systems may be temporarily unavailable in the next few minutes|अगले कुछ मिनटों में सिस्टम अस्थायी रूप से अनुपलब्ध हो सकते हैं
Tagalog|तागालोग
Tamil|तामिल
Thai|थाई
Thankyou for choosing the LibreServer home internet appliance|LibreServer घर इंटरनेट उपकरण चुनने के लिए धन्यवाद
The account will now be removed. This may take a minute or two. For details see:|खाता अब हटा दिया जाएगा। इसमें एक या दो मिनट लग सकते हैं। विवरण के लिए देखें:
The classic low bandwidth chat system|क्लासिक कम बैंडविड्थ चैट सिस्टम
The LibreServer system isn't primarily aimed at companies or institutions, but if you're a one person company or freelancer then having the ability to run your own accounting system and keep the data private and also backed up is useful. Akaunting provides a nice web based system for small business accounts, and is also quite usable within a mobile web browser.|LibreServer प्रणाली मुख्य रूप से कंपनियों या संस्थानों के लिए लक्षित नहीं है, लेकिन यदि आप एक व्यक्ति कंपनी या फ्रीलांसर हैं तो अपने स्वयं के लेखांकन प्रणाली को चलाने की क्षमता रखने और डेटा को निजी रखने और बैक अप लेने के लिए उपयोगी है। अकुंटिंग छोटे व्यवसाय खातों के लिए एक अच्छी वेब आधारित प्रणाली प्रदान करता है, और यह मोबाइल वेब ब्राउज़र के भीतर भी काफी उपयोगी है।
A new member is being added. This may take a minute or two.|नया उपयोगकर्ता जोड़ा जा रहा है। अपना पासवर्ड लिखें या सहेजें।
The passwords do not match|पासवर्ड एक - दूसरे से मिलते - जुलते नहीं हैं
There are a few things to know about using the federated wiki.|संघीय विकी का उपयोग करने के बारे में कुछ बातें जानी चाहिए।
There are no apps installed. Select the plus button above to install new apps.|कोई ऐप इंस्टॉल नहीं है। नए ऐप्स इंस्टॉल करने के लिए उपरोक्त प्लस बटन का चयन करें।
This app may be useful if you have a new child or babysitting duties. It helps caregivers track sleep, feedings, diaper changes, and tummy time to learn about and predict baby's needs without as much guess work.|यदि आपके पास कोई नया बच्चा है या बेबीसिटिंग कर्तव्यों है तो यह ऐप उपयोगी हो सकता है। यह देखभाल करने वालों को सोने की नींद, भोजन, डायपर परिवर्तन, और पेटी की जरूरतों को जानने के लिए बच्चे की जरूरतों के बारे में जानने और भविष्यवाणी करने में मदद करता है।
This is a server system which enables you to run internet apps such as a blog or federated social network.|यह एक सर्वर सिस्टम है जो आपको ब्लॉग या संघीय सोशल नेटवर्क जैसे इंटरनेट ऐप्स चलाने में सक्षम बनाता है।
This is certainly the type of data which you might want to keep private and away from companies who might otherwise use surveillance of parenting app data to try to guilt you into buying all sorts of junk that you don't really need or can't afford.|यह निश्चित रूप से डेटा का प्रकार है जिसे आप निजी और दूर रखने वाली कंपनियों से दूर रखना चाहते हैं जो अन्यथा आपको ऐसे सभी प्रकार के जंक खरीदने में अपराध करने का प्रयास करने के लिए पेरेंटिंग ऐप डेटा की निगरानी का उपयोग कर सकते हैं, जिनकी आपको वास्तव में आवश्यकता नहीं है या वह बर्दाश्त नहीं कर सकता ।
This is your new password|यह आपका नया पासवर्ड है
This may take a few minutes.|इसमें कुछ मिनट लग सकते हैं।
This may take a minute or two. For details see:|इसमें एक या दो मिनट लग सकते हैं। विवरण के लिए देखें:
This system isn't intended to broadcast to large audiences and the upper limit of listeners is set at ten. So a family and friends type group.|इस प्रणाली का उद्देश्य बड़े दर्शकों को प्रसारित करना नहीं है और श्रोताओं की ऊपरी सीमा दस पर निर्धारित है। तो एक परिवार और दोस्तों समूह टाइप करें।
This will make a backup of the keys which encrypt your backups, protecting them against accidental loss or exposure. You should keep this drive in a safe place, separate from other backups.|यह उन चाबियों का बैकअप बनाएगा जो आपके बैकअप को एन्क्रिप्ट करते हैं, उन्हें आकस्मिक हानि या एक्सपोजर के खिलाफ सुरक्षा करते हैं। आपको इस ड्राइव को अन्य बैकअप से अलग, एक सुरक्षित स्थान पर रखना चाहिए।
This will restore the keys used to encrypt backups.|यह बैकअप को एन्क्रिप्ट करने के लिए उपयोग की जाने वाली कुंजियों को पुनर्स्थापित करेगा।
To add a new paragraph use the + button|नया पैराग्राफ जोड़ने के लिए + बटन का उपयोग करें
To claim/fork a page from another server click on the flag icon|किसी अन्य सर्वर से किसी पृष्ठ को दावा / फोर्क करने के लिए ध्वज आइकन पर क्लिक करें
To edit a paragraph double click on it|अनुच्छेद को संपादित करने के लिए डबल क्लिक करें
To remove a paragraph just delete all of its text|अनुच्छेद को हटाने के लिए बस इसके सभी टेक्स्ट हटा दें
To upload music files install Syncthing then copy album directories into ~/Sync/music_upload, then within Koel go to settings and scan the directory /music|संगीत फ़ाइलों को अपलोड करने के लिए Syncthing इंस्टॉल करें, फिर एल्बम निर्देशिका को ~ / sync / music_upload में कॉपी करें, फिर कोएल के भीतर सेटिंग्स पर जाएं और निर्देशिका / संगीत स्कैन करें
Tor Bridges|टोर पुल
Translate|अनुवाद करना
Translations|अनुवाद
Turkish|तुर्की
Type: SRV|टाइप करें: एसआरवी
Ukrainian|यूक्रेनी
Uncheck use global user information.|उपयोग वैश्विक उपयोगकर्ता जानकारी अनचेक करें।
Uninstall|स्थापना रद्द करें
Update|अद्यतन करें
Updates settings changed|अपडेट सेटिंग्स बदल दी
Upgrade|अपग्रेड
Upgrades happen automatically. You don't need to start them manually like this, except in rare circumstances|उन्नयन स्वचालित रूप से होता है। दुर्लभ परिस्थितियों को छोड़कर, आपको इसे मैन्युअल रूप से शुरू करने की आवश्यकता नहीं है
Upload|अपलोड
URL to upload from|से अपलोड करने के लिए यूआरएल
USB drive format has failed|यूएसबी ड्राइव प्रारूप विफल रहा है
USB drive format in progress|प्रगति पर यूएसबी ड्राइव प्रारूप
USB drive format is complete|यूएसबी ड्राइव प्रारूप पूरा हो गया है
Username: |उपयोगकर्ता नाम:
Username: admin|उपयोगकर्ता नाम: व्यवस्थापक
Members|उपयोगकर्ता
Using your preferred editor|अपने पसंदीदा संपादक का उपयोग करना
Video broadcast|वीडियो प्रसारण
Vietnamese|वियतनामी
Voice chat|ध्वनि वार्तालाप
WARNING: THIS WILL ERASE ALL CONTENT OF THE USB DRIVE|चेतावनी: यह यूएसबी ड्राइव की सभी सामग्री पैदा करेगा
We're sorry, but the username you gave is not suitable. Check that it does not contain spaces, is lower case and at least 3 characters in length.|हमें खेद है, लेकिन आपके द्वारा दिया गया उपयोगकर्ता नाम उपयुक्त नहीं है। जांचें कि इसमें रिक्त स्थान नहीं हैं, कम मामला है और लंबाई में कम से कम 3 वर्ण हैं।
Web publishing system|वेब प्रकाशन प्रणाली
When done editing click on the wiki button again|संपादन करने पर फिर विकी बटन पर क्लिक करें
When it's done it will appear on the apps screen|जब यह किया जाता है तो यह ऐप स्क्रीन पर दिखाई देगा
When removal is finished it will disappear from apps|जब निष्कासन समाप्त हो जाता है तो यह ऐप्स से गायब हो जाएगा
When you are done with translating select the 'import' button on the translations screen.|जब आप अनुवाद के साथ किए जाते हैं तो अनुवाद स्क्रीन पर 'आयात' बटन का चयन करें।
When you've added your translations select the 'update' button. This will update the translations file for the selected language. Note that this does not change the current language within the user interface. If you want to do that go back to the language screen, select a language and then the 'select' button.|जब आप अपने अनुवाद जोड़ते हैं तो 'अपडेट' बटन का चयन करें। यह चयनित भाषा के लिए अनुवाद फ़ाइल अद्यतन करेगा। ध्यान दें कि यह उपयोगकर्ता इंटरफ़ेस के भीतर वर्तमान भाषा को नहीं बदलता है। यदि आप ऐसा करना चाहते हैं तो भाषा स्क्रीन पर वापस जाएं, एक भाषा का चयन करें और फिर 'चयन करें' बटन चुनें।
Whichever screen you are currently on, you can get back to the previous screen by clicking or pressing on the LibreServer logo at the top.|आप जिस भी स्क्रीन पर वर्तमान में हैं, आप शीर्ष पर LibreServer लोगो पर क्लिक करके या दबाकर पिछली स्क्रीन पर वापस जा सकते हैं।
With Icecast you can run your own internet radio stream from an onion address. As always, be careful about copyright issues and preferably stick to Creative Commons music or music files that you own.|आइसकास्ट के साथ आप प्याज के पते से अपनी खुद की इंटरनेट रेडियो स्ट्रीम चला सकते हैं। हमेशा के रूप में, कॉपीराइट मुद्दों के बारे में सावधान रहें और अधिमानतः क्रिएटिव कॉमन्स संगीत या संगीत फ़ाइलों के साथ चिपके रहें जो आपके पास हैं।
Within the network list click, Add and enter your domain name then click Edit.|नेटवर्क सूची में क्लिक करें, अपना डोमेन नाम जोड़ें और दर्ज करें और फिर संपादित करें पर क्लिक करें।
Within the Password field enter the password which you originally set up the box with.|पासवर्ड फ़ील्ड के भीतर वह पासवर्ड दर्ज करें जिसे आपने मूल रूप से बॉक्स को सेट किया था।
Within the software center search for "mumble" and install the client then run it. Skip through the audio setup wizard. Cancel the initial connection window.|सॉफ़्टवेयर सेंटर के भीतर "mumble" के लिए खोजें और क्लाइंट इंस्टॉल करें, फिर इसे चलाएं। ऑडियो सेटअप विज़ार्ड के माध्यम से छोड़ें। प्रारंभिक कनेक्शन विंडो रद्द करें।
Write it down or save it|इसे लिखें या इसे सेव करें
XMPP|XMPP
xmpp based chat system|xmpp आधारित चैट सिस्टम
Yes|हाँ
You can edit the translated text on the right side of the screen.|आप स्क्रीन के दाईं ओर अनुवादित पाठ को संपादित कर सकते हैं।
You can get to this system remotely via:|आप इस प्रणाली को दूरस्थ रूप से इस माध्यम से प्राप्त कर सकते हैं:
You can now go back to the initial Conversations app screen and start using it. You'll probably want to add contacts using the icon at the bottom right. For more information see the Conversations website (conversations.im) or subscribe to the chat group conversations@conference.siacs.eu|अब आप प्रारंभिक वार्तालाप ऐप स्क्रीन पर वापस जा सकते हैं और इसका उपयोग शुरू कर सकते हैं। आप शायद नीचे दाईं ओर आइकन का उपयोग करके संपर्क जोड़ना चाहेंगे। अधिक जानकारी के लिए वार्तालाप वेबसाइट (बातचीत.आईएम) देखें या चैट समूह बातचीत की सदस्यता लें @conference.siacs.eu
You can now log in with:|अब आप इसके साथ लॉग इन कर सकते हैं:
You can see upgrade progress|आप उन्नयन प्रगति देख सकते हैं
You can use left and right cursor keys to move through pages|आप पृष्ठों के माध्यम से स्थानांतरित करने के लिए बाएं और दाएं कर्सर कुंजी का उपयोग कर सकते हैं
You may also want to make another entry with the same settings but replacing tcp with udp.|आप एक ही सेटिंग के साथ एक और प्रविष्टि बनाना चाहते हैं लेकिन udp के साथ टीसीपी बदलना चाहते हैं।
You may now remove the USB drive|अब आप यूएसबी ड्राइव को हटा सकते हैं
You might have mistyped one of them|आपने उनमें से एक को गलत टाइप किया होगा
You will see the translations file with some instructions at the top.|आप शीर्ष पर कुछ निर्देशों के साथ अनुवाद फ़ाइल देखेंगे।
Your password must be at least 8 characters in length and only use the characters a-z A-Z and 0-9|आपका पासवर्ड लंबाई में कम से कम 8 अक्षर होना चाहिए और केवल अक्षर ए-जेड ए-जेड और 0-9 का उपयोग करना चाहिए
Zero knowledge pastebin|शून्य ज्ञान पेस्टबिन
Theme|विषय
Light|रोशनी
Dark|अंधेरा
Mail|मेल
Clear|स्पष्ट
Send email through a proxy|प्रॉक्सी के माध्यम से ईमेल भेजें
If you find that you can't send out email and that you get 'failed delivery' messages returned instead then you may be able to proxy sent emails through another server. Sometimes ISPs or companies provide an SMTP server which can do this.|एचआईवी डू फाइनर यूट्यूब के माध्यम से ई-पोस्ट के माध्यम से ई-पोस्ट के माध्यम से ई-पोस्ट और ई-पोस्ट के माध्यम से डू फॉर मिस्लीक्केड लेवरिंगमेल्डिंगर, कान डु प्रेषक प्रॉक्सी। कभी-कभी बेडिजवेन लेवेरेन ईएनएम के आईएसपी एसएमटीपी-सर्वर मर जाते हैं।
Failed to install. For details see admin/applog.txt|इनस्टॉल करने में असफल। विवरण के लिए व्यवस्थापक / applog.txt देखें
Installed successfully|सफलतापूर्वक स्थापित किया गया
pihole|pihole
Unlike browser based ad blockers, pihole works at the domain name resolution level to block domains known to privide the ads appearing in web pages.|ब्राउज़र आधारित विज्ञापन अवरोधकों के विपरीत, वेब पेजों में दिखाई देने वाले विज्ञापनों को निजीकृत करने के लिए जाने वाले डोमेन को अवरोधित करने के लिए डोमेन नाम रिज़ॉल्यूशन स्तर पर पिहोल काम करता है।
Set your DNS IP address to the one shown and many ads will get blocked even before they're delivered to your laptop or mobile device. This can save a lot of bandwidth and generally speed up the loading of websites.| अपने DNS आईपी पते को दिखाए गए एक पर सेट करें और आपके लैपटॉप या मोबाइल डिवाइस पर पहुंचने से पहले भी कई विज्ञापन अवरुद्ध हो जाएंगे। यह बहुत सारी बैंडविड्थ बचा सकता है और आम तौर पर वेबसाइटों की लोडिंग को तेज करता है
Change DNS on your internet router| अपने इंटरनेट राउटर पर DNS बदलें
If your internet router allows you to change the DNS IP address then this is the best way to use pihole because it will then provide coverage for all of the devices and computers in your home.|यदि आपका इंटरनेट राउटर आपको DNS आईपी पता बदलने की अनुमति देता है तो यह पिहोल का उपयोग करने का सबसे अच्छा तरीका है क्योंकि यह आपके घर के सभी उपकरणों और कंप्यूटरों के लिए कवरेज प्रदान करेगा।
Change DNS on individual devices|व्यक्तिगत उपकरणों पर DNS बदलें
If you can't change your internet router's DNS then you can do that on individual GNU/Linux systems as follows:| यदि आप अपने इंटरनेट राउटर के DNS को नहीं बदल सकते हैं तो आप इसे व्यक्तिगत जीएनयू / लिनक्स सिस्टम पर निम्नानुसार कर सकते हैं:
Remove or comment out any existing nameservers and add one with the IP address shown for the pihole app. Something like:|किसी मौजूदा नेमसर्वर को निकालें या टिप्पणी करें और पिहोल ऐप के लिए दिखाए गए आईपी पते के साथ एक जोड़ें। कुछ ऐसा है:
Then save and exit and prevent the file from being automatically changed with:| फिर सहेजें और बाहर निकलें और फ़ाइल को स्वचालित रूप से बदलने से रोकें:
If you're running the standard version of LibreServer (not the onion version) then you may need to modify your hosts file to access your own domain.|यदि आप फ्रीडमॉम्बोन का मानक संस्करण चला रहे हैं (प्याज संस्करण नहीं) तो आपको अपने डोमेन तक पहुंचने के लिए अपनी मेजबान फ़ाइल को संशोधित करने की आवश्यकता हो सकती है।
Then add something like:|फिर कुछ जोड़ें:
This only works when you're within your home network, so if you're outside of your home then undo the changes made above.|यह केवल तभी काम करता है जब आप अपने घर के नेटवर्क में हों, इसलिए यदि आप अपने घर से बाहर हैं तो ऊपर दिए गए परिवर्तनों को पूर्ववत करें
The Pi-hole is a DNS sinkhole that protects your devices from unwanted content, without installing any client-side software.|पीआई-होल एक DNS सिंकहोल है जो किसी भी क्लाइंट-साइड सॉफ़्टवेयर को इंस्टॉल किए बिना आपके डिवाइस को अवांछित सामग्री से सुरक्षित करता है।
Search|खोज
removed|हटाया
To get email working you will need to forward some ports. Email using your onion address will work anyway, so long as you are contacting other onion based email addresses.|ईमेल काम करने के लिए आपको कुछ बंदरगाहों को अग्रेषित करने की आवश्यकता होगी। आपके प्याज पते का उपयोग करके ईमेल वैसे भी काम करेगा, जब तक कि आप अन्य प्याज आधारित ईमेल पते से संपर्क कर रहे हों।
Forward ports 25, 587 and 465 from your internet router|अपने इंटरनेट राउटर से फॉरवर्ड पोर्ट 25, 587 और 465
To access cryptpad you'll need to use a Tor browser. Navigate to the URL and enable javascript for the site under the NoScript icon. The screen will be blank for a few seconds while it's downloading the application into your browser.|क्रिप्टपैड तक पहुंचने के लिए आपको एक टोर ब्राउजर का उपयोग करना होगा। यूआरएल पर नेविगेट करें और नोस्क्रिप्ट आइकन के तहत साइट के लिए जावास्क्रिप्ट को सक्षम करें। स्क्रीन आपके ब्राउज़र में एप्लिकेशन डाउनलोड करते समय कुछ सेकंड के लिए खाली हो जाएगी।
Cryptpad is an almost peer-to-peer application. No data is stored on the server, which only does minimal orchestration between the clients. If an adversary subsequently obtains the server they still learn nothing.|क्रिप्टपैड लगभग पीयर-टू-पीयर एप्लिकेशन है। सर्वर पर कोई डेटा संग्रहीत नहीं होता है, जो क्लाइंट के बीच केवल न्यूनतम ऑर्केस्टेशन करता है। यदि कोई विरोधी बाद में सर्वर प्राप्त करता है तो वे अभी भी कुछ भी नहीं सीखते हैं।
Authentication Token|प्रमाणीकरण टोकन
This is only needed if you're using FreeDNS. Otherwise you can leave it blank.|यह केवल तभी जरूरी है जब आप फ्रीडीएनएस का उपयोग कर रहे हों। अन्यथा आप इसे खाली छोड़ सकते हैं।
On the site where you obtained your domain name set up some custom nameservers as follows:|उस साइट पर जहां आपने अपना डोमेन नाम प्राप्त किया है, कुछ कस्टम नेमसर्वर निम्नानुसार सेट करें:
On the FreeDNS site go to the "Dynamic DNS" section and make sure that "link updates of the same IP together" is set to ON.|FreeDNS साइट पर "डायनामिक DNS" अनुभाग पर जाएं और सुनिश्चित करें कि "एक ही आईपी के लिंक अपडेट एक साथ चालू हैं"।
For your main domain name select "quick cron example" and then your authentication token is the random string on the last line between the ? and = characters.|अपने मुख्य डोमेन नाम के लिए "त्वरित क्रॉन उदाहरण" चुनें और फिर आपका प्रमाणीकरण टोकन? और = वर्णों के बीच अंतिम पंक्ति पर यादृच्छिक स्ट्रिंग है।
Your current IP address is shown at the top of the Dynamic DNS screen of the LibreServer user interface. You can use the "Mass Mod" feature at the top of the "Subdomains" part of the FreeDNS site to set all of your subdomains to that IP address.|आप अपने सभी सबडोमेन को सेट करने के लिए FreeDNS साइट के "सबडोमेन" भाग के शीर्ष पर "मास मोड" सुविधा का उपयोग कर सकते हैं आईपी पता
Select the MX entry for your main domain and change the destination to 10:mydomainname rather than 10:mail.mydomainname.|अपने मुख्य डोमेन के लिए एमएक्स प्रविष्टि का चयन करें और गंतव्य को 10: mail.mydomainname के बजाय 10: mydomainname में बदलें।
Enter your FreeDNS login details and the authentication token on the Dynamic DNS screen of the LibreServer user interface.|LibreServer उपयोगकर्ता इंटरफ़ेस की डायनामिक DNS स्क्रीन पर अपना फ्रीडीएनएस लॉगिन विवरण और प्रमाणीकरण टोकन दर्ज करें।
To make a playlist insert a USB drive containing audio files in a directory called playlist, add a description below and then select Update|प्लेलिस्ट बनाने के लिए प्लेलिस्ट नामक निर्देशिका में ऑडियो फ़ाइलों वाली एक यूएसबी ड्राइव डालें, नीचे एक विवरण जोड़ें और फिर अपडेट का चयन करें
To add music copy it to a directory called Music on a USB drive then plug it into your server and select Update|संगीत जोड़ने के लिए इसे यूएसबी ड्राइव पर संगीत नामक निर्देशिका में कॉपी करें, फिर इसे अपने सर्वर में प्लग करें और अपडेट का चयन करें
This is a wiki which stores its content in text files. Having no database makes maintaining it simpler, and it's not tied to any particular domain name so you can easily copy the files to a different domain if you need to.|यह एक विकी है जो टेक्स्ट सामग्री में अपनी सामग्री संग्रहीत करता है। कोई डेटाबेस नहीं होने से इसे सरल बना दिया जाता है, और यह किसी विशेष डोमेन नाम से बंधे नहीं है, इसलिए यदि आपको आवश्यकता हो तो आप आसानी से फ़ाइलों को एक अलग डोमेन पर कॉपी कर सकते हैं।
Provides an easy and private way to sync calendar and contacts between devices.|उपकरणों और उपकरणों के बीच संपर्क सिंक करने के लिए एक आसान और निजी तरीका प्रदान करता है।
Using on mobile|मोबाइल पर प्रयोग करना
The user interface is a little misleading. Make sure that you log in with your username, not your email addres.|यूजर इंटरफेस थोड़ा भ्रामक है। सुनिश्चित करें कि आप अपने उपयोगकर्ता नाम से लॉग इन करें, न कि आपके ईमेल एड्रेस।
Also choose the advanced option and enter the subdomain that you installed etesync on.|उन्नत विकल्प भी चुनें और उस सबडोमेन को दर्ज करें जिसे आपने etesync इंस्टॉल किया था।
This is a well known system for real time collaborative editing of documents. Just log in, choose a document title and then edit. Different users will appear in different colours, and can also chat in the sidebar. This is installed as a private system in which only users on your LibreServer server will be able to create and edit documents, so it's not open to any random users on the internet.|दस्तावेजों के वास्तविक समय सहयोगी संपादन के लिए यह एक प्रसिद्ध प्रणाली है। बस लॉग इन करें, दस्तावेज़ शीर्षक चुनें और फिर संपादित करें। विभिन्न उपयोगकर्ता विभिन्न रंगों में दिखाई देंगे, और साइडबार में भी चैट कर सकते हैं। यह एक निजी प्रणाली के रूप में स्थापित है जिसमें आपके फ्रीडमॉम्बोन सर्वर पर केवल उपयोगकर्ता दस्तावेज़ बनाने और संपादित करने में सक्षम होंगे, इसलिए यह इंटरनेट पर किसी भी यादृच्छिक उपयोगकर्ताओं के लिए खुला नहीं है।
This is a federated social networking system. It can federate with other popular fediverse systems.|यह एक संघीय सोशल नेटवर्किंग सिस्टम है। यह अन्य लोकप्रिय संघीय प्रणालियों के साथ संघीय हो सकता है।
This is a blogging system which has no database and only uses text files for storage.|यह एक ब्लॉगिंग सिस्टम है जिसमें डेटाबेस नहीं है और केवल स्टोरेज के लिए टेक्स्ट फाइलों का उपयोग करता है।
This is a git hosting system. It's very similar to Github in appearance and use, is lightweight and so is well suited for use on low power ARM servers.|यह एक गिट होस्टिंग सिस्टम है। यह उपस्थिति और उपयोग में गिथब के समान ही है, हल्का वजन है और इसलिए कम बिजली एआरएम सर्वर पर उपयोग के लिए उपयुक्त है।
This is a web publishing and social network system which includes wiki, web pages, photo albums and file storage. It also has nomadic identity allowing you to easily move your account between different servers and privacy controls which allow you to define who can see what content.|यह एक वेब प्रकाशन और सोशल नेटवर्क सिस्टम है जिसमें विकी, वेब पेज, फोटो एलबम और फ़ाइल स्टोरेज शामिल है। इसमें नाममात्र पहचान भी है जो आपको अपने खाते को विभिन्न सर्वरों और गोपनीयता नियंत्रणों के बीच आसानी से स्थानांतरित करने की अनुमति देती है जो आपको यह परिभाषित करने की अनुमति देती है कि कौन सी सामग्री देख सकता है।
Kanbans are one way of managing projects. They're traditionally used in businesses but can also be useful for personal TODO lists or within open source or DIY projects. If you have a list of things which need to be done and want to keep track of progress then this provides a way to do that.|कानबंस परियोजनाओं के प्रबंधन का एक तरीका है। वे परंपरागत रूप से व्यवसायों में उपयोग किए जाते हैं लेकिन निजी TODO सूचियों के लिए या खुले स्रोत या DIY परियोजनाओं के लिए भी उपयोगी हो सकते हैं। यदि आपके पास ऐसी चीजों की एक सूची है जो करने की आवश्यकता है और प्रगति का ट्रैक रखना चाहते हैं तो यह ऐसा करने का एक तरीका प्रदान करता है।
The default login is username "admin" and the login password which you usually use for the web interface.|डिफ़ॉल्ट लॉगिन उपयोगकर्ता नाम "व्यवस्थापक" और लॉगिन पासवर्ड है जिसे आप आमतौर पर वेब इंटरफ़ेस के लिए उपयोग करते हैं।
If you're using a Tor browser then you may need to allow javascript for the site by selecting the NoScript icon.|यदि आप टोर ब्राउज़र का उपयोग कर रहे हैं तो आपको नोस्क्रिप्ट आइकन चुनकर साइट के लिए जावास्क्रिप्ट को अनुमति देने की आवश्यकता हो सकती है।
Extra users can be added from the drop down menu at the top right of the screen, under "Users management".|"उपयोगकर्ता प्रबंधन" के तहत, स्क्रीन के ऊपरी दाएं भाग में ड्रॉप डाउन मेनू से अतिरिक्त उपयोगकर्ताओं को जोड़ा जा सकता है।
This enables you to store your music on the LibreServer server and then access it from any internet connected device.|यह आपको अपने संगीत को फ्रीडमॉम्बोन सर्वर पर स्टोर करने और फिर किसी भी इंटरनेट से जुड़े डिवाइस से एक्सेस करने में सक्षम बनाता है।
This is a simple and lightweight photo album for the web. Whether you're an amateur or professional photographer, or want to publish random holiday pics or cat pictures. Lychee just does what it says it does without any fuss.|यह वेब के लिए एक सरल और हल्का फोटो एलबम है। चाहे आप एक शौकिया या पेशेवर फोटोग्राफर हों, या यादृच्छिक अवकाश चित्र या बिल्ली चित्र प्रकाशित करना चाहते हैं। लीची सिर्फ यह कहता है कि यह बिना किसी झगड़े के करता है।
This provides an webmail interface suitable for use on desktop or mobile clients and with built in support for encryption.|यह एक वेबमेल इंटरफ़ेस प्रदान करता है जो डेस्कटॉप या मोबाइल क्लाइंट्स पर उपयोग के लिए उपयुक्त है और एन्क्रिप्शन के लिए समर्थन में बनाया गया है।
This is a system for file synchronisation and also has many other plugins for calendar, videoconferencing, collaborative document editing and federated file sharing.|यह फ़ाइल सिंक्रनाइज़ेशन के लिए एक प्रणाली है और कैलेंडर, वीडियो कॉन्फ़्रेंसिंग, सहयोगी दस्तावेज़ संपादन और संघीय फ़ाइल साझाकरण के लिए कई अन्य प्लगइन भी हैं।
This is a video hosting system which uses webtorrent to help distribute the files to or between clients.|यह एक वीडियो होस्टिंग सिस्टम है जो ग्राहकों को या उसके बीच फ़ाइलों को वितरित करने में मदद के लिए वेबटोरेंट का उपयोग करता है।
Use the username 'root' and your usual password to log in as the administrator. You can then change settings as needed.|व्यवस्थापक के रूप में लॉग इन करने के लिए उपयोगकर्ता नाम 'रूट' और अपना सामान्य पासवर्ड का उपयोग करें। फिर आप आवश्यकतानुसार सेटिंग्स बदल सकते हैं।
This is an OStatus and ActivityPub compatible social networking server which federates with other fediverse systems. It is high-performance and so is especially well suited for running on low power single board computers without much RAM.|यह एक ओएसटैटस और एक्टिविटीप संगत सोशल नेटवर्किंग सर्वर है जो अन्य फेडरल सिस्टम के साथ संघीय है। यह उच्च प्रदर्शन है और इसलिए बहुत कम रैम के बिना कम पावर सिंगल बोर्ड कंप्यूटर पर चलने के लिए विशेष रूप से उपयुक्त है।
Since Pleroma supports the same protocols, any Mastodon client for Android should work with it.|चूंकि प्लरोमा एक ही प्रोटोकॉल का समर्थन करता है, एंड्रॉइड के लिए किसी भी मास्टोडन क्लाइंट को इसके साथ काम करना चाहिए।
This is a fork of GNU Social which includes some extra fixes and optimisations to improve performance. It federates with other fediverse servers, such as Pleroma or Mastodon.|यह जीएनयू सोशल का एक कांटा है जिसमें प्रदर्शन में सुधार के लिए कुछ अतिरिक्त सुधार और अनुकूलन शामिल हैं। यह अन्य फेरियस सर्वर, जैसे प्लरोमा या मास्टोडन के साथ संघीय है।
This is an encrypted pastebin, such that the server has zero knowledge of the content. It's intended for small amounts of text less than 32K in length. It's not intended for transfering large files, or for storing pastes for more than a day.|यह एक एन्क्रिप्टेड पेस्टबिन है, जैसे कि सर्वर के पास सामग्री का शून्य ज्ञान है। यह लंबाई 32K से कम पाठ की छोटी मात्रा के लिए है। यह बड़ी फ़ाइलों को स्थानांतरित करने, या एक दिन से अधिक समय तक पेस्ट स्टोर करने के लिए नहीं है।
This is a web based user interface to the Matrix federated chat system. You will need to have already installed the Matrix app for this to work.|यह मैट्रिक्स संघीय चैट सिस्टम के लिए एक वेब आधारित यूजर इंटरफेस है। काम करने के लिए आपको पहले ही मैट्रिक्स ऐप इंस्टॉल करना होगा।
This is yet another chat system, but the server part of it isn't federated and so it's suitable for small private groups rather than for general public discussions.|यह अभी तक एक और चैट सिस्टम है, लेकिन इसका सर्वर हिस्सा संघीय नहीं है और इसलिए यह सामान्य सार्वजनिक चर्चाओं के बजाय छोटे निजी समूहों के लिए उपयुक्त है।
