About|Sur
When you've added your translations select the 'update' button. This will update the translations file for the selected language. Note that this does not change the current language within the user interface. If you want to do that go back to the language screen, select a language and then the 'select' button.|Lorsque vous avez ajouté vos traductions, sélectionnez le bouton "Mettre à jour". Cela mettra à jour le fichier de traductions pour la langue sélectionnée. Notez que cela ne change pas la langue actuelle dans l'interface utilisateur. Si vous voulez faire cela, retournez à l’écran de langue, sélectionnez une langue, puis le bouton "Sélectionner".
Whichever screen you are currently on, you can get back to the previous screen by clicking or pressing on the LibreServer logo at the top.|Quel que soit l'écran sur lequel vous vous trouvez, vous pouvez revenir à l'écran précédent en cliquant ou en appuyant sur le logo LibreServer en haut.
With Icecast you can run your own internet radio stream from an onion address. As always, be careful about copyright issues and preferably stick to Creative Commons music or music files that you own.|Avec Icecast, vous pouvez lancer votre propre flux radio Internet depuis une adresse oignon. Comme toujours, faites attention aux problèmes de copyright et préférez de préférence la musique Creative Commons ou les fichiers musicaux que vous possédez.
Within the network list click, Add and enter your domain name then click Edit.|Dans la liste des réseaux, cliquez sur Ajouter et entrez votre nom de domaine, puis cliquez sur Modifier.
Within the Password field enter the password which you originally set up the box with.|Dans le champ Mot de passe, entrez le mot de passe avec lequel vous avez initialement configuré la boîte.
Within the software center search for "mumble" and install the client then run it. Skip through the audio setup wizard. Cancel the initial connection window.|Dans le centre de logiciels, recherchez «mumble» et installez le client, puis exécutez-le. Passer à travers l'assistant de configuration audio. Annuler la fenêtre de connexion initiale.
Write it down or save it|Écrivez-le ou sauvegardez-le
XMPP|XMPP
xmpp based chat system|Système de chat basé sur xmpp
Yes|Oui
You can edit the translated text on the right side of the screen.|Vous pouvez modifier le texte traduit sur le côté droit de l'écran.
You can get to this system remotely via:|Vous pouvez accéder à ce système à distance via:
You can now go back to the initial Conversations app screen and start using it. You'll probably want to add contacts using the icon at the bottom right. For more information see the Conversations website (conversations.im) or subscribe to the chat group conversations@conference.siacs.eu|Vous pouvez maintenant revenir à l'écran initial de l'application Conversations et commencer à l'utiliser. Vous voudrez probablement ajouter des contacts en utilisant l'icône en bas à droite. Pour plus d'informations, consultez le site Web Conversations (conversations.im) ou abonnez-vous au groupe de discussion conversations@conference.siacs.eu
You can now log in with:|Vous pouvez maintenant vous connecter avec:
You can see upgrade progress|Vous pouvez voir les progrès de la mise à niveau
You can use left and right cursor keys to move through pages|Vous pouvez utiliser les touches fléchées gauche et droite pour parcourir les pages
You may also want to make another entry with the same settings but replacing tcp with udp.|Vous pouvez également vouloir faire une autre entrée avec les mêmes paramètres, mais en remplaçant tcp par udp.
You may now remove the USB drive|Vous pouvez maintenant retirer le lecteur USB
You might have mistyped one of them|Vous avez peut-être tapé l'un d'eux
You will see the translations file with some instructions at the top.|Vous verrez le fichier de traductions avec quelques instructions en haut.
Your password must be at least 8 characters in length and only use the characters a-z A-Z and 0-9|Votre mot de passe doit comporter au moins 8 caractères et utiliser uniquement les caractères a-z A-Z et 0-9.
Zero knowledge pastebin|Zéro savoir faire
Theme|Thème
Light|Lumière
Dark|Foncé
Mail|Courrier
Clear|Clair
If you find that you can't send out email and that you get 'failed delivery' messages returned instead then you may be able to proxy sent emails through another server. Sometimes ISPs or companies provide an SMTP server which can do this.|Si vous constatez que vous ne pouvez pas envoyer d'e-mail et que vous recevez des messages de type «échec de livraison», vous pouvez alors envoyer par courrier électronique des emails envoyés via un autre serveur. Parfois, les FAI ou les entreprises fournissent un serveur SMTP capable de le faire.
Send email through a proxy|Envoyer un email via un proxy
Failed to install. For details see admin/applog.txt|Échec de l'installation. Pour plus de détails, voir admin/applog.txt
Installed successfully|Installé avec succès
pihole|pihole
Unlike browser based ad blockers, pihole works at the domain name resolution level to block domains known to privide the ads appearing in web pages.|Contrairement aux bloqueurs de publicité basés sur un navigateur, pihole fonctionne au niveau de résolution du nom de domaine pour bloquer les domaines connus pour protéger les annonces diffusées dans les pages Web.
Set your DNS IP address to the one shown and many ads will get blocked even before they're delivered to your laptop or mobile device. This can save a lot of bandwidth and generally speed up the loading of websites.| Définissez votre adresse IP DNS sur celle indiquée et de nombreuses annonces seront bloquées avant même leur diffusion sur votre ordinateur portable ou votre appareil mobile. Cela peut économiser beaucoup de bande passante et généralement accélérer le chargement des sites Web.
Change DNS on your internet router| Changer le DNS sur votre routeur internet
If your internet router allows you to change the DNS IP address then this is the best way to use pihole because it will then provide coverage for all of the devices and computers in your home.|Si votre routeur Internet vous permet de modifier l’adresse IP du DNS, c’est la meilleure façon d’utiliser Pihole car il couvre alors tous les périphériques et ordinateurs de votre domicile.
Change DNS on individual devices|Changer le DNS sur des appareils individuels
If you can't change your internet router's DNS then you can do that on individual GNU/Linux systems as follows:| Si vous ne pouvez pas modifier le DNS de votre routeur Internet, vous pouvez le faire sur les systèmes GNU/Linux individuels, comme suit:
Remove or comment out any existing nameservers and add one with the IP address shown for the pihole app. Something like:|Supprimez ou mettez en commentaire les serveurs de noms existants et ajoutez-en un avec l'adresse IP indiquée pour l'application pihole. Quelque chose comme:
Then save and exit and prevent the file from being automatically changed with:| Puis enregistrez et quittez et empêchez le fichier d'être automatiquement modifié avec:
If you're running the standard version of LibreServer (not the onion version) then you may need to modify your hosts file to access your own domain.|Si vous utilisez la version standard de LibreServer (pas la version onion), vous devrez peut-être modifier votre fichier hosts pour accéder à votre propre domaine.
Then add something like:|Puis ajoutez quelque chose comme:
This only works when you're within your home network, so if you're outside of your home then undo the changes made above.|Cela ne fonctionne que lorsque vous êtes dans votre réseau domestique. Par conséquent, si vous vous trouvez en dehors de votre domicile, annulez les modifications apportées ci-dessus.
The Pi-hole is a DNS sinkhole that protects your devices from unwanted content, without installing any client-side software.|Pi-hole est un gouffre DNS qui protège vos appareils contre les contenus non désirés, sans installer de logiciel côté client.
Search|Chercher
removed|Enlevé
To get email working you will need to forward some ports. Email using your onion address will work anyway, so long as you are contacting other onion based email addresses.|Pour que le courrier électronique fonctionne, vous devez transférer certains ports. Un courrier électronique utilisant votre adresse oignon fonctionnera de toute façon, à condition que vous contactiez d'autres adresses électroniques à base d'oignon.
Forward ports 25, 587 and 465 from your internet router|Transférez les ports 25, 587 et 465 de votre routeur Internet
To access cryptpad you'll need to use a Tor browser. Navigate to the URL and enable javascript for the site under the NoScript icon. The screen will be blank for a few seconds while it's downloading the application into your browser.|Pour accéder à cryptpad, vous devez utiliser un navigateur Tor. Accédez à l'URL et activez JavaScript pour le site sous l'icône NoScript. L'écran sera vide pendant quelques secondes pendant le téléchargement de l'application dans votre navigateur.
Cryptpad is an almost peer-to-peer application. No data is stored on the server, which only does minimal orchestration between the clients. If an adversary subsequently obtains the server they still learn nothing.|Cryptpad est une application presque peer-to-peer. Aucune donnée n'est stockée sur le serveur, orchestration minimale entre les clients. Si un adversaire obtient le serveur par la suite, il n'apprend toujours rien.
Authentication Token|Jeton d'authentification
This is only needed if you're using FreeDNS. Otherwise you can leave it blank.|Cela n’est nécessaire que si vous utilisez FreeDNS, sinon vous pouvez le laisser vide.
On the site where you obtained your domain name set up some custom nameservers as follows:|Sur le site où vous avez obtenu votre nom de domaine, configurez des serveurs de noms personnalisés comme suit:
On the FreeDNS site go to the "Dynamic DNS" section and make sure that "link updates of the same IP together" is set to ON.|Sur le site FreeDNS, accédez à la section "DNS dynamique" et assurez-vous que "lier les mises à jour de la même adresse IP ensemble" est défini sur ON.
For your main domain name select "quick cron example" and then your authentication token is the random string on the last line between the ? and = characters.|Pour votre nom de domaine principal, sélectionnez "exemple exemple rapide", puis votre jeton d'authentification est la chaîne aléatoire située sur la dernière ligne entre les caractères? Et =.
Your current IP address is shown at the top of the Dynamic DNS screen of the LibreServer user interface. You can use the "Mass Mod" feature at the top of the "Subdomains" part of the FreeDNS site to set all of your subdomains to that IP address.|Vous pouvez utiliser la fonction "Mass Mod" en haut de la partie "Sous-domaines" du site FreeDNS pour définir tous vos sous-domaines sur celui-ci. Adresse IP.
Select the MX entry for your main domain and change the destination to 10:mydomainname rather than 10:mail.mydomainname.|Sélectionnez l'entrée MX de votre domaine principal et définissez la destination sur 10:nom_domaine plutôt que sur 10:nom_domaine_mail.
Enter your FreeDNS login details and the authentication token on the Dynamic DNS screen of the LibreServer user interface.|Entrez vos informations de connexion FreeDNS et le jeton d'authentification sur l'écran DNS dynamique de l'interface utilisateur LibreServer.
To make a playlist insert a USB drive containing audio files in a directory called playlist, add a description below and then select Update|Pour qu'une liste de lecture insère un lecteur USB contenant des fichiers audio dans un répertoire appelé liste de lecture, ajoutez une description ci-dessous, puis sélectionnez Mettre à jour.
To add music copy it to a directory called Music on a USB drive then plug it into your server and select Update|Pour ajouter de la musique, copiez-le dans un répertoire appelé Musique sur un lecteur USB, puis branchez-le sur votre serveur et sélectionnez Mettre à jour.
This is a wiki which stores its content in text files. Having no database makes maintaining it simpler, and it's not tied to any particular domain name so you can easily copy the files to a different domain if you need to.|Ceci est un wiki qui stocke son contenu dans des fichiers texte. Le fait de ne pas avoir de base de données facilite la maintenance, et n'est lié à aucun nom de domaine particulier, vous pouvez donc facilement copier les fichiers dans un autre domaine si vous en avez besoin.
Provides an easy and private way to sync calendar and contacts between devices.|Fournit un moyen simple et privé de synchroniser le calendrier et les contacts entre appareils.
Using on mobile|Utilisation sur mobile
The user interface is a little misleading. Make sure that you log in with your username, not your email addres.|L'interface utilisateur est un peu trompeuse. Assurez-vous que vous vous connectez avec votre nom d'utilisateur, pas votre adresse email.
Also choose the advanced option and enter the subdomain that you installed etesync on.|Choisissez également l'option avancée et entrez le sous-domaine sur lequel vous avez installé etesync.
This is a well known system for real time collaborative editing of documents. Just log in, choose a document title and then edit. Different users will appear in different colours, and can also chat in the sidebar. This is installed as a private system in which only users on your LibreServer server will be able to create and edit documents, so it's not open to any random users on the internet.|Il s'agit d'un système bien connu pour l'édition collaborative en temps réel de documents. Il suffit de vous connecter, choisissez un titre de document, puis modifiez-le. Différents utilisateurs apparaîtront dans différentes couleurs et pourront également discuter dans la barre latérale. Ceci est installé en tant que système privé dans lequel seuls les utilisateurs de votre serveur LibreServer seront capables de créer et d'éditer des documents, de sorte qu'ils ne sont pas ouverts aux utilisateurs aléatoires sur Internet.
This is a federated social networking system. It can federate with other popular fediverse systems.|Il s'agit d'un système de réseau social fédéré. Il peut fédérer avec d'autres systèmes fedivers populaires.
This is a blogging system which has no database and only uses text files for storage.|Ceci est un système de blogging qui n'a pas de base de données et utilise uniquement des fichiers texte pour le stockage.
This is a git hosting system. It's very similar to Github in appearance and use, is lightweight and so is well suited for use on low power ARM servers.|Ceci est un système d'hébergement git. Il est très similaire à Github en apparence et en utilisation, il est léger et convient donc parfaitement aux serveurs ARM à faible consommation.
This is a web publishing and social network system which includes wiki, web pages, photo albums and file storage. It also has nomadic identity allowing you to easily move your account between different servers and privacy controls which allow you to define who can see what content.|Il s’agit d’un système de publication Web et de réseau social qui comprend un wiki, des pages Web, des albums photo et un stockage de fichiers. Il possède également une identité nomade vous permettant de déplacer facilement votre compte entre différents serveurs et des contrôles de confidentialité vous permettant de définir qui peut voir quel contenu.
Kanbans are one way of managing projects. They're traditionally used in businesses but can also be useful for personal TODO lists or within open source or DIY projects. If you have a list of things which need to be done and want to keep track of progress then this provides a way to do that.|Les Kanbans sont un moyen de gérer des projets. Ils sont traditionnellement utilisés dans les entreprises mais peuvent également être utiles pour les listes personnelles TODO, les projets open source ou les projets de bricolage. Si vous avez une liste de choses à faire et que vous souhaitez garder une trace des progrès réalisés, cela constitue un moyen de le faire.
The default login is username "admin" and the login password which you usually use for the web interface.|La connexion par défaut est le nom d'utilisateur "admin" et le mot de passe de connexion que vous utilisez habituellement pour l'interface Web.
If you're using a Tor browser then you may need to allow javascript for the site by selecting the NoScript icon.|Si vous utilisez un navigateur Tor, vous devrez peut-être autoriser le javascript pour le site en sélectionnant l'icône NoScript.
Extra users can be added from the drop down menu at the top right of the screen, under "Users management".|Des utilisateurs supplémentaires peuvent être ajoutés à partir du menu déroulant en haut à droite de l'écran, sous "Gestion des utilisateurs".
This enables you to store your music on the LibreServer server and then access it from any internet connected device.|Cela vous permet de stocker votre musique sur le serveur LibreServer, puis d'y accéder à partir de tout périphérique connecté à Internet.
This is a simple and lightweight photo album for the web. Whether you're an amateur or professional photographer, or want to publish random holiday pics or cat pictures. Lychee just does what it says it does without any fuss.|C'est un album photo simple et léger pour le Web. Que vous soyez photographe amateur ou professionnel, ou que vous souhaitiez publier des images de vacances ou des images de chat au hasard. Litchi fait juste ce qu'il dit faire sans tracas.
This provides an webmail interface suitable for use on desktop or mobile clients and with built in support for encryption.|Ceci fournit une interface de messagerie Web adaptée à une utilisation sur des clients de bureau ou mobiles et avec un support intégré pour le cryptage.
This is a system for file synchronisation and also has many other plugins for calendar, videoconferencing, collaborative document editing and federated file sharing.|Il s’agit d’un système de synchronisation de fichiers doté de nombreux autres plugins pour le calendrier, la vidéoconférence, l’édition collaborative de documents et le partage de fichiers fédéré.
This is a video hosting system which uses webtorrent to help distribute the files to or between clients.|Il s'agit d'un système d'hébergement de vidéos qui utilise Webtorrent pour distribuer les fichiers entre les clients.
Use the username 'root' and your usual password to log in as the administrator. You can then change settings as needed.|Utilisez le nom d'utilisateur 'root' et votre mot de passe habituel pour vous connecter en tant qu'administrateur. Vous pouvez ensuite modifier les paramètres selon vos besoins.
This is an OStatus and ActivityPub compatible social networking server which federates with other fediverse systems. It is high-performance and so is especially well suited for running on low power single board computers without much RAM.|Il s’agit d’un serveur de réseau social compatible OStatus et ActivityPub qui se fédère avec d’autres systèmes fedivers. Il est très performant et convient donc tout particulièrement aux ordinateurs monocarte à faible consommation d’énergie et disposant de peu de RAM.
Since Pleroma supports the same protocols, any Mastodon client for Android should work with it.|Étant donné que Pleroma prend en charge les mêmes protocoles, tout client Mastodon pour Android devrait fonctionner avec ce dernier.
This is a fork of GNU Social which includes some extra fixes and optimisations to improve performance. It federates with other fediverse servers, such as Pleroma or Mastodon.|C'est un fork de GNU Social qui inclut quelques corrections et optimisations supplémentaires pour améliorer les performances. Il se fédère avec d'autres serveurs fedivers, tels que Pleroma ou Mastodon.
This is an encrypted pastebin, such that the server has zero knowledge of the content. It's intended for small amounts of text less than 32K in length. It's not intended for transfering large files, or for storing pastes for more than a day.|Il s'agit d'une pastebin chiffrée, de sorte que le serveur n'a aucune connaissance du contenu. Il est destiné aux petites quantités de texte de moins de 32 Ko. Il n'est pas destiné au transfert de gros fichiers ni au stockage de pâtes pendant plus d'une journée.
This is a web based user interface to the Matrix federated chat system. You will need to have already installed the Matrix app for this to work.|Il s'agit d'une interface utilisateur Web avec le système de discussion fédéré Matrix. Pour que cela fonctionne, vous devez avoir déjà installé l'application Matrix.
This is yet another chat system, but the server part of it isn't federated and so it's suitable for small private groups rather than for general public discussions.|C'est encore un autre système de discussion, mais la partie serveur de celui-ci n'est pas fédérée et convient donc aux petits groupes privés plutôt qu'aux discussions grand public.
Provides a similar capability to proprietary systems such as Dropbox, and also is well suited for use with low power single board computers. You can have one or more directories which are synchronized across your various laptops/desktops/devices, and this makes it hard for you to ever lose important files. Of course, you don't necessarily need to be running a server in order to use Syncthing, but if you do have a server which is always running then there's always at least one place to synchronize your files to or from.|Offre une capacité similaire aux systèmes propriétaires tels que Dropbox, et convient également à une utilisation avec des ordinateurs monocarte à faible consommation. Vous pouvez avoir un ou plusieurs répertoires synchronisés sur vos différents ordinateurs portables / ordinateurs de bureau / périphériques, ce qui vous empêche de perdre des fichiers importants. Bien sûr, vous n’avez pas nécessairement besoin d’exécuter un serveur pour utiliser Syncthing, mais si vous avez un serveur qui est toujours en cours d’exécution, il y a toujours au moins un emplacement pour synchroniser vos fichiers.
On a Debian based system:|Sur un système basé sur Debian:
Or on Android search for the Syncthing app.|Ou, sur Android, recherchez l'application Syncthing.
Using the settings button within the LibreServer web interface for the Syncthing app you can then paste in any IDs for other devices. They will then sync with your server.|En utilisant le bouton de configuration de l’interface Web LibreServer pour l’application Syncthing, vous pouvez ensuite coller tout ID correspondant à d’autres appareils. Ils se synchroniseront ensuite avec votre serveur.
A system for privately creating and sharing notes and images, similar to Evernote. It can be set up so that a small number of users on the server can share their notes in a convenient way. It doesn't have any web user interface, and you need to install native clients on mobile or laptop/desktop machines.|Un système de création et de partage privés de notes et d'images, similaire à Evernote. Il peut être configuré de sorte qu'un petit nombre d'utilisateurs sur le serveur puissent partager leurs notes de manière pratique. Il ne possède aucune interface utilisateur Web et vous devez installer des clients natifs sur des ordinateurs portables ou des ordinateurs de bureau / portables.
Since the data at rest is stored in PGP encrypted format this is a good system to use in cases where security really is a critical factor.|Étant donné que les données inactives sont stockées au format crypté PGP, il s'agit d'un bon système à utiliser dans les cas où la sécurité constitue un facteur critique.
Go to https://turtlapp.com/download and you'll then be able to download the appropriate app for your laptop or phone.|Accédez à https://turtlapp.com/download et vous pourrez alors télécharger l'application appropriée pour votre ordinateur portable ou votre téléphone.
Run the downloaded native app then at the bottom of the screen select "advanced settings" and enter your turl domain name, then register a new account. The password can be anything you choose, but since the client side encryption depends upon having a good password make it a long random string generated by a password manager such as KeepassX.|Exécutez l'application native téléchargée, puis sélectionnez "paramètres avancés" en bas de l'écran, entrez votre nom de domaine turl, puis enregistrez un nouveau compte. Le mot de passe peut être celui que vous choisissiez, mais comme le cryptage côté client dépend d'un bon mot de passe, faites-en une longue chaîne aléatoire générée par un gestionnaire de mots de passe tel que KeepassX.
You should then be able to log in and start using the app. You might also want to invite any other users of your LibreServer system to also sign up using the turtl domain name which you specified during installation.|Vous devriez alors pouvoir vous connecter et commencer à utiliser l'application. Vous pouvez également inviter d'autres utilisateurs de votre système LibreServer à s'inscrire également à l'aide du nom de domaine turtl que vous avez spécifié lors de l'installation.
Disabling new registrations|Désactiver les nouvelles inscriptions
Once you have set up the server with however many users are needed you can then disable any new registrations by selecting Turtl on the LibreServer web interface and going to the settings screen.|Une fois que vous avez configuré le serveur avec le nombre d'utilisateurs requis, vous pouvez désactiver tout nouvel enregistrement en sélectionnant Turtl sur l'interface Web de LibreServer et en accédant à l'écran des paramètres.
This is similar to Hubzilla but with a reduced range of features concentrating exclusively upon social networking with the latest version of the Zot protocol. Nomadic identity is supported, so to can export your channels and import them on other servers if necessary, without losing followers.|Ceci est similaire à Hubzilla mais avec une gamme réduite de fonctionnalités se concentrant exclusivement sur les réseaux sociaux avec la dernière version du protocole Zot. L'identité nomade est prise en charge. Vous pouvez donc exporter vos chaînes et les importer sur d'autres serveurs si nécessaire, sans perdre d'adeptes.
Zap also has sophisticated privacy controls which enable you to decide exactly how you wish to interact with other users and what information of yours they can view.|Zap dispose également de contrôles de confidentialité sophistiqués qui vous permettent de décider exactement de la manière dont vous souhaitez interagir avec les autres utilisateurs et des informations qui vous intéressent.
The first account you register will be the administrator user, and from there you can go to the admin settings and disable new registrations if needed.|Le premier compte que vous enregistrez sera l’utilisateur administrateur. À partir de là, vous pourrez accéder aux paramètres de l’administrateur et désactiver les nouveaux enregistrements si nécessaire.
To find other users to follow select "directory" from the drop down menu at the top right of the screen and set "this site only" to "no".|Pour trouver d'autres utilisateurs à suivre, sélectionnez "répertoire" dans le menu déroulant en haut à droite de l'écran et définissez "ce site uniquement" sur "non".
There is an Android app available called Nomad.|Il existe une application Android appelée Nomad.
End-to-end encrypted sync of calendar and contacts between devices|Synchronisation cryptée de bout en bout du calendrier et des contacts entre appareils
Secure, end-to-end encrypted and journaled personal information cloud synchronization for Android and the desktop, supporting contacts and calendars|Synchronisation en nuage d'informations personnelles sécurisée, chiffrée et journalisée de bout en bout pour Android et le bureau, prise en charge des contacts et des calendriers
Nomadic social network server|Serveur de réseau social nomade
Zap is a full featured social network application running under the Zot6 protocol. It provides enhanced privacy modes and identity/content mirroring across multiple servers ("nomadic identity").|Zap est une application de réseau social complète fonctionnant sous le protocole Zot6. Il fournit des modes de confidentialité améliorés et une mise en miroir identité / contenu sur plusieurs serveurs ("identité nomade").
Change background|Changement de fond
Diagnostics|Diagnostics
Please wait while your app is installing|Veuillez patienter pendant l'installation de votre application
The app could not be installed|L'application n'a pas pu être installée
Add a new member|Ajouter un nouveau membre
Kanban focussed on simplicity and minimalism|Kanban misant sur la simplicité et le minimalisme
Emails, chat or social network posts will be blocked if they contain the following words or phrases|Les courriels, discussions en ligne ou messages sur les réseaux sociaux seront bloqués s'ils contiennent les mots ou expressions suivants
Muted words|Mots en sourdine
Disk space is getting too low. Installation stopped.|L'espace disque devient trop faible. L'installation s'est arrêtée.
Password changed|Mot de passe changé
Play media from any UPNP/DLNA device on your local network|Lecture de contenu multimédia à partir de n’importe quel périphérique UPNP / DLNA sur votre réseau local
This allows you to play media on any DLNA supporting device within your local network.|Cela vous permet de lire du contenu multimédia sur n’importe quel périphérique compatible DLNA au sein de votre réseau local.
No Access Control|Pas de contrôle d'accès
DLNA doesn't have any access controls, so keep in mind that anyone with a mobile device or laptop within your local network is potentially able to play any media on the server. Hence this may not be suitable for situations where you want parental control over what media can be accessed.|DLNA ne comporte aucun contrôle d'accès. N'oubliez donc pas que toute personne disposant d'un appareil mobile ou d'un ordinateur portable au sein de votre réseau local est potentiellement capable de lire n'importe quel support sur le serveur. Par conséquent, cela peut ne pas convenir aux situations dans lesquelles vous souhaitez un contrôle parental sur les supports auxquels vous pouvez accéder.
Adding Media|Ajout de média
You can add media by selecting the settings button from the DLNA app.|Vous pouvez ajouter du contenu multimédia en sélectionnant le bouton des paramètres dans l'application DLNA.
Your homepage can also be accessed with a Tor browser on:|Votre page d’accueil est également accessible avec un navigateur Tor sur:
Chat|Chat
Media|Médias
Social|Social
Sync|Sync
Publishing|Publication
Other|Autre
Recommended Firefox Add-ons:|Add-ons de Firefox recommandés:
Change your default domain name|Changer votre nom de domaine par défaut
Do you want to change your default domain name to:|Voulez-vous changer votre nom de domaine par défaut en:
rsync failed|rsync a échoué
For most purposes Syncthing is an easier file synchronization system, but rsync is still a reliable solution if you prefer to do things the more traditional way or if you just want to create a mirror from an existing rsync server.|Dans la plupart des cas, Syncthing est un système de synchronisation de fichiers plus simple, mais rsync reste une solution fiable si vous préférez procéder de la manière plus traditionnelle ou si vous souhaitez simplement créer un miroir à partir d'un serveur rsync existant.
Rsync is unencrypted but can be used via an onion address for transport security. If you are using it via your domain name then third parties will be able to see the content, but this may not matter if you are synchronizing already public files, such as GNU/Linux distro downloads.|Rsync n'est pas crypté mais peut être utilisé via une adresse oignon pour la sécurité du transport. Si vous l'utilisez via votre nom de domaine, des tiers pourront en voir le contenu, mais cela n'aura peut-être pas d'importance si vous synchronisez déjà des fichiers publics, tels que des téléchargements de la distribution GNU / Linux.
Avoid using this for private data, unless you are exclusively using rsync via the onion address.|Évitez de l'utiliser pour des données privées, sauf si vous utilisez exclusivement rsync via l'adresse oignon.
Creating a Mirror|Créer un miroir
Select the Settings button then enter the domain and module name for the mirror. From then on synchronization will happen once per day.|Sélectionnez le bouton Paramètres, puis entrez le nom de domaine et de module du miroir. A partir de là, la synchronisation se fera une fois par jour.
Local Sync|Sync locale
If you created a mirror to your server you can then sync those files to other machines or devices on your local network as follows:|Si vous avez créé un miroir sur votre serveur, vous pouvez ensuite synchroniser ces fichiers sur d'autres machines ou périphériques de votre réseau local, comme suit:
If "libreserver" doesn't work then you can substitute the local IP address of your server.|Si "libreserver" ne fonctionne pas, vous pouvez remplacer l'adresse IP locale de votre serveur.
Create a mirror of public files|Créer un miroir de fichiers publics
The domain name could not be changed|Le nom de domaine n'a pas pu être changé
This might be because you do not have ports 80 and 443 forwarded to the server.|Cela peut être dû au fait que les ports 80 et 443 ne sont pas transférés sur le serveur.
Check the port forwarding settings on your internet router.|Vérifiez les paramètres de redirection de port sur votre routeur Internet.
Please specify a domain name which will be used for your email or XMPP address.|Veuillez spécifier un nom de domaine qui sera utilisé pour votre adresse électronique ou votre adresse XMPP.
Please forward the following ports from your internet router:|Veuillez transférer les ports suivants de votre routeur Internet:
Search for 'Barcode Scanner', then select 'install'|Recherchez 'Barcode Scanner', puis sélectionnez 'install'
Download the DarkMessenger apk file via the link below, preferably using a Tor based browser, then install it|Téléchargez le fichier apk DarkMessenger via le lien ci-dessous, de préférence en utilisant un navigateur basé sur Tor, puis installez-le.
Run DarkMessenger and the initial account setup will be shown. DarkMessenger only allows onion addresses to be used to create accounts|Exécuter DarkMessenger et la configuration initiale du compte sera affichée. DarkMessenger autorise uniquement l'utilisation d'adresses d'oignon pour créer des comptes.
You can obtain your onion XMPP address from the Members section within the web interface, usually at http://libreserver/admin or http://libreserver.local/admin. If you can't easily copy and paste it into the account setup within DarkMessenger then you can use the barcode scanner on the QRcode displayed|Vous pouvez obtenir votre adresse XMPP onion dans la section Membres de l'interface Web, généralement à l'adresse http: // libreserver / admin ou http: //libreserver.local/admin. Si vous ne pouvez pas facilement le copier et le coller dans la configuration du compte dans DarkMessenger, vous pouvez utiliser le lecteur de code à barres du code QR affiché.
Enter the password which you stored during initial setup of the system and also the onion domain|Entrez le mot de passe que vous avez enregistré lors de la configuration initiale du système, ainsi que le domaine de l'oignon.
You should now be able to connect to your onion XMPP account and set an avatar image if necessary|Vous devriez maintenant pouvoir vous connecter à votre compte XMPP onion et définir une image d'avatar si nécessaire.
When sending or receiving pictures or other attachments for the first time you will need to accept the self-signed certificates. Select 'always' twice. This should only happen once per contact|Lorsque vous envoyez ou recevez des images ou d’autres pièces jointes pour la première fois, vous devez accepter les certificats auto-signés. Sélectionnez «toujours» deux fois. Cela ne devrait se produire qu'une fois par contact
Under Settings/Expert you may want to change the automatic message deletion period. By default this is one day|Sous Paramètres / Expert, vous souhaiterez peut-être modifier la période de suppression automatique des messages. Par défaut c'est un jour
When setting up a group chat first ensure that you have separately confirmed two way messaging with each of the participants individually|Lors de la configuration d’une discussion de groupe, assurez-vous d’abord que vous avez confirmé séparément la messagerie bidirectionnelle avec chacun des participants.
Enable strict TLS authentication between XMPP servers?|Activer l'authentification TLS stricte entre les serveurs XMPP?
If you or other people are having difficulty joining multi-user chat then enabling this might help|Si vous-même ou d’autres personnes rencontrez des difficultés pour rejoindre la discussion multi-utilisateurs, activer cette option pourrait aider.
Music can be uploaded using NextCloud. Install the app and then create a directory called 'Music'.|La musique peut être téléchargée en utilisant NextCloud. Installez l'application, puis créez un répertoire appelé «Musique».
Drag your files into the Music directory and they will then become available to mpd.|Faites glisser vos fichiers dans le répertoire Musique et ils deviendront disponibles pour mpd.
Select search (magnifying glass icon) and search for 'MALP', then select 'install'|Sélectionnez Rechercher (icône en forme de loupe) et recherchez "MALP", puis sélectionnez "Installer".
Open MALP and from the settings select Profiles|Ouvrez MALP et dans les paramètres, sélectionnez Profils.
Enter the following settings:|Entrez les paramètres suivants:
Save the settings by selecting the disk icon at the top right of the screen|Enregistrez les paramètres en sélectionnant l'icône du disque en haut à droite de l'écran.
You should now be able to connect to mpd on your server and select and play albums.|Vous devriez maintenant pouvoir vous connecter à mpd sur votre serveur et sélectionner et lire des albums.
In a non-Tor browser navigate to http://libreserver:8250 or http://[server local IP address]:8250 and you should be able to play the selected album.|Dans un navigateur autre que Tor, accédez à http: // libreserver: 8250 ou http: // [adresse IP locale du serveur]: 8250 et vous devriez pouvoir lire l'album sélectionné.
Setting up on the desktop|Mise en place sur le bureau
Install Sonata|Installer Sonata
Run Sonata and enter the following settings:|Exécutez Sonata et entrez les paramètres suivants:
You should now be able to see your albums listed and be able to add them to the currently playing list.|Vous devriez maintenant pouvoir voir vos albums dans la liste et pouvoir les ajouter à la liste en cours de lecture.
In a non-Tor browser navigate to http://libreserver:8250 or http://[server local IP address]:8250 and you should be able to play the selected album.|Dans un navigateur autre que Tor, accédez à http: // libreserver: 8250 ou http: // [adresse IP locale du serveur]: 8250 et vous devriez pouvoir lire l'album sélectionné.
Select your music file format:|Sélectionnez votre format de fichier de musique:
pixelfed allow new registrations|pixelfed permet de nouvelles inscriptions
