About|약
Vietnamese|베트남 사람
Voice chat|음성 채팅
WARNING: THIS WILL ERASE ALL CONTENT OF THE USB DRIVE|경고 : USB 드라이브의 모든 내용이 지워집니다.
We're sorry, but the username you gave is not suitable. Check that it does not contain spaces, is lower case and at least 3 characters in length.|죄송합니다. 제공해 주신 사용자 이름은 적합하지 않습니다. 공백이 포함되지 않았는지, 소문자이며 길이가 3 자 이상인지 확인하십시오.
Web publishing system|웹 출판 시스템
When done editing click on the wiki button again|편집이 끝나면 위키 버튼을 다시 클릭하십시오.
When it's done it will appear on the apps screen|완료되면 앱 화면에 표시됩니다.
When removal is finished it will disappear from apps|제거가 완료되면 앱에서 사라집니다.
When you are done with translating select the 'import' button on the translations screen.|번역이 끝나면 번역 화면에서 '가져 오기'버튼을 선택하십시오.
When you've added your translations select the 'update' button. This will update the translations file for the selected language. Note that this does not change the current language within the user interface. If you want to do that go back to the language screen, select a language and then the 'select' button.|번역을 추가하면 '업데이트'버튼을 선택하십시오. 그러면 선택한 언어의 번역 파일이 업데이트됩니다. 이 값은 사용자 인터페이스 내에서 현재 언어를 변경하지 않습니다. 언어 화면으로 돌아가려면 언어를 선택한 다음 '선택'버튼을 누르십시오.
Whichever screen you are currently on, you can get back to the previous screen by clicking or pressing on the LibreServer logo at the top.|현재 사용중인 화면 중 상단의 LibreServer 로고를 클릭하거나 눌러 이전 화면으로 돌아갈 수 있습니다.
With Icecast you can run your own internet radio stream from an onion address. As always, be careful about copyright issues and preferably stick to Creative Commons music or music files that you own.|Icecast를 사용하면 양파 주소에서 인터넷 라디오 스트림을 실행할 수 있습니다. 항상 그렇듯이 저작권 문제에주의하고 소유하고있는 Creative Commons 음악 또는 음악 파일을 고집하는 것이 좋습니다.
Within the network list click, Add and enter your domain name then click Edit.|네트워크 목록에서 추가를 클릭하고 도메인 이름을 입력 한 다음 편집을 클릭하십시오.
Within the Password field enter the password which you originally set up the box with.|암호 필드에 원래 상자를 설정 한 암호를 입력하십시오.
Within the software center search for "mumble" and install the client then run it. Skip through the audio setup wizard. Cancel the initial connection window.|소프트웨어 센터에서 "mumble"을 검색하고 클라이언트를 설치 한 다음 실행하십시오. 오디오 설정 마법사를 건너 뜁니다. 초기 연결 창을 취소하십시오.
Write it down or save it|적어 두거나 저장하십시오.
XMPP|XMPP
xmpp based chat system|xmpp 기반 채팅 시스템
Yes|예
You can edit the translated text on the right side of the screen.|번역 된 텍스트는 화면의 오른쪽에서 편집 할 수 있습니다.
You can get to this system remotely via:|다음을 통해이 시스템에 원격으로 접속할 수 있습니다.
You can now go back to the initial Conversations app screen and start using it. You'll probably want to add contacts using the icon at the bottom right. For more information see the Conversations website (conversations.im) or subscribe to the chat group conversations@conference.siacs.eu|이제 초기 대화 앱 화면으로 돌아가서 사용을 시작할 수 있습니다. 오른쪽 하단의 아이콘을 사용하여 연락처를 추가하고 싶을 것입니다. 자세한 내용은 Conversations 웹 사이트 (conversations.im)를 참조하거나 대화 그룹 conversations@conference.siacs.eu에 가입하십시오.
You can now log in with:|이제 다음과 같이 로그인 할 수 있습니다.
You can see upgrade progress|업그레이드 진행 상황을 볼 수 있습니다.
You can use left and right cursor keys to move through pages|왼쪽 및 오른쪽 커서 키를 사용하여 페이지 사이를 이동할 수 있습니다.
You may also want to make another entry with the same settings but replacing tcp with udp.|같은 설정으로 다른 항목을 만들고 tcp를 udp로 바꿀 수도 있습니다.
You may now remove the USB drive|이제 USB 드라이브를 제거 할 수 있습니다.
You might have mistyped one of them|그들 중 하나를 잘못 입력했을 수도 있습니다.
You will see the translations file with some instructions at the top.|맨 위에 몇 가지 지침이있는 번역 파일이 표시됩니다.
Your password must be at least 8 characters in length and only use the characters a-z A-Z and 0-9|비밀번호는 최소 8 자 이상이어야하며 문자 a-z A-Z 및 0-9 만 사용하십시오.
Zero knowledge pastebin|제로 지식 붙여 넣기 상자
Theme|테마
Light|빛
Dark|어두운
Mail|우편
Clear|명확한
If you find that you can't send out email and that you get 'failed delivery' messages returned instead then you may be able to proxy sent emails through another server. Sometimes ISPs or companies provide an SMTP server which can do this.|전자 메일을 통해 전자 메일을 통해 전자 메일을 보내거나 전자 메일을 통해 전자 메일을 통해 전자 메일을 보낼 수 있습니다. 때로는 ISP가 SMTP 서버를 사용할 수없는 경우도 있습니다.
Send email through a proxy|프록시를 통해 이메일 보내기
Failed to install. For details see admin/applog.txt|설치하지 못했습니다. 자세한 내용은 admin/applog.txt를 참조하십시오.
Installed successfully|성공적으로 설치되었습니다.
pihole|피홀
Unlike browser based ad blockers, pihole works at the domain name resolution level to block domains known to privide the ads appearing in web pages.|브라우저 기반 광고 차단기와 달리 pihole은 도메인 이름 확인 수준에서 작동하여 웹 페이지에 나타나는 광고를 비공개로 인식하는 도메인을 차단합니다.
Set your DNS IP address to the one shown and many ads will get blocked even before they're delivered to your laptop or mobile device. This can save a lot of bandwidth and generally speed up the loading of websites.| 표시된 IP 주소로 DNS IP 주소를 설정하면 많은 광고가 랩톱이나 모바일 장치에 배달되기 전에 차단됩니다. 이렇게하면 많은 대역폭을 절약 할 수 있으며 일반적으로 웹 사이트 로딩 속도를 높일 수 있습니다.
Change DNS on your internet router| 인터넷 라우터에서 DNS 변경
If your internet router allows you to change the DNS IP address then this is the best way to use pihole because it will then provide coverage for all of the devices and computers in your home.|인터넷 라우터를 사용하면 DNS IP 주소를 변경할 수 있으므로 집안의 모든 장치와 컴퓨터에 대한 서비스를 제공하므로 pihole을 사용하는 가장 좋은 방법입니다.
Change DNS on individual devices|개별 장치에서 DNS 변경
If you can't change your internet router's DNS then you can do that on individual GNU/Linux systems as follows:| 인터넷 라우터의 DNS를 변경할 수 없다면 다음과 같이 개별 GNU/Linux 시스템에서 할 수 있습니다 :
Remove or comment out any existing nameservers and add one with the IP address shown for the pihole app. Something like:|기존 네임 서버를 제거하거나 주석 처리하고 pihole 앱에 대해 표시된 IP 주소를 추가하십시오. 다음과 같은 :
Then save and exit and prevent the file from being automatically changed with:| 그런 다음 저장하고 종료하고 파일이 자동으로 변경되지 않도록하십시오.
If you're running the standard version of LibreServer (not the onion version) then you may need to modify your hosts file to access your own domain.|표준 버전의 LibreServer (양파 버전 ​​아님)을 실행중인 경우 호스트 파일을 수정하여 자신의 도메인에 액세스해야 할 수 있습니다.
Then add something like:|다음과 같이 추가하십시오 :
This only works when you're within your home network, so if you're outside of your home then undo the changes made above.|이것은 홈 네트워크 내에있을 때만 작동하므로 집 밖에 있다면 위에서 만든 변경 사항을 실행 취소하십시오.
The Pi-hole is a DNS sinkhole that protects your devices from unwanted content, without installing any client-side software.|Pi-hole은 클라이언트 측 소프트웨어를 설치하지 않고 원치 않는 콘텐츠로부터 장치를 보호하는 DNS 싱크 홀입니다.
Search|수색
removed|제거됨
To get email working you will need to forward some ports. Email using your onion address will work anyway, so long as you are contacting other onion based email addresses.|전자 우편을 작동 시키려면 일부 포트를 전달해야합니다. 양파 주소를 사용하는 전자 메일은 어쨌든 다른 양파 기반 전자 메일 주소로 연락하는 한 작동합니다.
Forward ports 25, 587 and 465 from your internet router|인터넷 라우터의 포트 25, 587 및 465 전달
To access cryptpad you'll need to use a Tor browser. Navigate to the URL and enable javascript for the site under the NoScript icon. The screen will be blank for a few seconds while it's downloading the application into your browser.|cryptpad에 액세스하려면 Tor 브라우저를 사용해야하며, NoScript 아이콘 아래에서 URL로 이동하여 javascript를 활성화하십시오. 브라우저에 응용 프로그램을 다운로드하는 동안 화면이 잠시 비어 있습니다.
Cryptpad is an almost peer-to-peer application. No data is stored on the server, which only does minimal orchestration between the clients. If an adversary subsequently obtains the server they still learn nothing.|Cryptpad는 거의 피어 투 피어 (peer-to-peer) 응용 프로그램으로 클라이언트간에 최소한의 조정 만 수행하는 데이터는 서버에 저장되지 않습니다.
Authentication Token|인증 토큰
This is only needed if you're using FreeDNS. Otherwise you can leave it blank.|FreeDNS를 사용하는 경우에만 필요하며 그렇지 않으면 비워 둘 수 있습니다.
On the site where you obtained your domain name set up some custom nameservers as follows:|도메인 이름을 얻은 사이트에서 다음과 같이 맞춤 네임 서버를 설정하십시오.
On the FreeDNS site go to the "Dynamic DNS" section and make sure that "link updates of the same IP together" is set to ON.|FreeDNS 사이트에서 "동적 DNS"섹션으로 이동하여 "같은 IP의 링크 업데이트"가 켜짐으로 설정되어 있는지 확인하십시오.
For your main domain name select "quick cron example" and then your authentication token is the random string on the last line between the ? and = characters.|주 도메인 이름으로 "quick cron example"을 선택하면 인증 토큰은?와 = 사이의 마지막 줄에있는 임의의 문자열입니다.
Your current IP address is shown at the top of the Dynamic DNS screen of the LibreServer user interface. You can use the "Mass Mod" feature at the top of the "Subdomains" part of the FreeDNS site to set all of your subdomains to that IP address.|FreeDNS 사이트의 "Subdomains"부분 상단에있는 "Mass Mod"기능을 사용하여 모든 하위 도메인을 IP 주소.
Select the MX entry for your main domain and change the destination to 10:mydomainname rather than 10:mail.mydomainname.|주 도메인에 대한 MX 항목을 선택하고 10 : mail.mydomainname 대신 10 : mydomainname으로 대상을 변경하십시오.
Enter your FreeDNS login details and the authentication token on the Dynamic DNS screen of the LibreServer user interface.|LibreServer 사용자 인터페이스의 동적 DNS 화면에 FreeDNS 로그인 세부 정보 및 인증 토큰을 입력하십시오.
To make a playlist insert a USB drive containing audio files in a directory called playlist, add a description below and then select Update|재생 목록에 재생 목록이라는 디렉토리에 오디오 파일이 들어있는 USB 드라이브를 삽입하려면 아래 설명을 추가하고 업데이트를 선택하십시오.
To add music copy it to a directory called Music on a USB drive then plug it into your server and select Update|음악을 추가하려면 USB 드라이브의 Music이라는 디렉토리에 복사 한 다음 서버에 연결하고 업데이트를 선택하십시오
This is a wiki which stores its content in text files. Having no database makes maintaining it simpler, and it's not tied to any particular domain name so you can easily copy the files to a different domain if you need to.|이것은 내용을 텍스트 파일에 저장하는 위키입니다. 데이터베이스가 없으면 관리가 더 간단 해지며 특정 도메인 이름에 묶여 있지 않아 필요한 경우 파일을 다른 도메인에 쉽게 복사 할 수 있습니다.
Provides an easy and private way to sync calendar and contacts between devices.|장치간에 일정 및 연락처를 쉽고 개인적으로 동기화 할 수있는 방법을 제공합니다.
Using on mobile|모바일에서 사용
The user interface is a little misleading. Make sure that you log in with your username, not your email addres.|사용자 인터페이스는 약간 오해의 소지가 있습니다. 이메일 주소가 아닌 사용자 이름으로 로그인하십시오.
Also choose the advanced option and enter the subdomain that you installed etesync on.|또한 고급 옵션을 선택하고 etesync를 설치 한 하위 도메인을 입력하십시오.
This is a well known system for real time collaborative editing of documents. Just log in, choose a document title and then edit. Different users will appear in different colours, and can also chat in the sidebar. This is installed as a private system in which only users on your LibreServer server will be able to create and edit documents, so it's not open to any random users on the internet.|이것은 문서의 실시간 공동 편집을위한 잘 알려진 시스템입니다. 로그인하여 문서 제목을 선택한 다음 편집하십시오. 서로 다른 사용자가 서로 다른 색으로 표시되며 사이드 바에서 채팅 할 수도 있습니다. 이것은 LibreServer 서버의 사용자 만 문서를 작성하고 편집 할 수있는 개인 시스템으로 설치되므로 인터넷상의 임의의 임의의 사용자에게는 공개되지 않습니다.
This is a federated social networking system. It can federate with other popular fediverse systems.|이것은 연합 소셜 네트워킹 시스템입니다. 그것은 다른 인기있는 연방 시스템과 연합 할 수 있습니다.
This is a blogging system which has no database and only uses text files for storage.|이것은 데이터베이스가없고 텍스트 파일 만 사용하여 저장하는 블로깅 시스템입니다.
This is a git hosting system. It's very similar to Github in appearance and use, is lightweight and so is well suited for use on low power ARM servers.|이 시스템은 git 호스팅 시스템입니다. 외관 및 사용면에서 Github과 매우 유사하며 가볍기 때문에 저전력 ARM 서버에 사용하기에 적합합니다.
This is a web publishing and social network system which includes wiki, web pages, photo albums and file storage. It also has nomadic identity allowing you to easily move your account between different servers and privacy controls which allow you to define who can see what content.|이것은 wiki, 웹 페이지, 사진 앨범 및 파일 저장소가 포함 된 웹 게시 및 소셜 네트워크 시스템입니다. 또한 다른 서버와 개인 정보 제어간에 계정을 쉽게 이동할 수있는 유목민 ID를 사용하여 어떤 콘텐츠를 볼 수 있는지 정의 할 수 있습니다.
Kanbans are one way of managing projects. They're traditionally used in businesses but can also be useful for personal TODO lists or within open source or DIY projects. If you have a list of things which need to be done and want to keep track of progress then this provides a way to do that.|Kanban은 프로젝트를 관리하는 한 가지 방법입니다. 비즈니스에서 전통적으로 사용되지만 개인 TODO 목록이나 오픈 소스 또는 DIY 프로젝트에도 유용 할 수 있습니다. 수행해야 할 일들의 목록이 있고 진행 상황을 추적하고자하는 경우,이를 수행 할 수있는 방법이 제공됩니다.
The default login is username "admin" and the login password which you usually use for the web interface.|기본 로그인은 사용자 이름 "admin"과 일반적으로 웹 인터페이스에 사용하는 로그인 비밀번호입니다.
If you're using a Tor browser then you may need to allow javascript for the site by selecting the NoScript icon.|Tor 브라우저를 사용하는 경우 NoScript 아이콘을 선택하여 사이트의 자바 스크립트를 허용해야 할 수도 있습니다.
Extra users can be added from the drop down menu at the top right of the screen, under "Users management".|추가 사용자는 화면 오른쪽 상단의 '사용자 관리'아래에있는 드롭 다운 메뉴에서 추가 할 수 있습니다.
This enables you to store your music on the LibreServer server and then access it from any internet connected device.|이를 통해 LibreServer 서버에 음악을 저장 한 다음 인터넷에 연결된 모든 장치에서 음악에 액세스 할 수 있습니다.
This is a simple and lightweight photo album for the web. Whether you're an amateur or professional photographer, or want to publish random holiday pics or cat pictures. Lychee just does what it says it does without any fuss.|이것은 웹용으로 단순하고 가벼운 사진 앨범입니다. 아마추어 사진 작가이든 전문 사진 작가이든 무작위로 휴가 사진이나 고양이 사진을 게시하고 싶을 때. 라이시는 단지 소란이 없다고 말하는대로 행동합니다.
This provides an webmail interface suitable for use on desktop or mobile clients and with built in support for encryption.|이 기능은 데스크톱 또는 모바일 클라이언트에서 사용하기에 적합하고 내장 암호화 지원 기능을 갖춘 웹 메일 인터페이스를 제공합니다.
This is a system for file synchronisation and also has many other plugins for calendar, videoconferencing, collaborative document editing and federated file sharing.|이것은 파일 동기화를위한 시스템이며, 캘린더, 화상 회의, 협업 문서 편집 및 연합 파일 공유를위한 다른 많은 플러그인도 있습니다.
This is a video hosting system which uses webtorrent to help distribute the files to or between clients.|웹 토 런트를 사용하여 파일을 클라이언트간에 배포하는 비디오 호스팅 시스템입니다.
Use the username 'root' and your usual password to log in as the administrator. You can then change settings as needed.|사용자 이름 'root'와 일반적인 비밀번호를 사용하여 관리자로 로그인하십시오. 그런 다음 필요에 따라 설정을 변경할 수 있습니다.
This is an OStatus and ActivityPub compatible social networking server which federates with other fediverse systems. It is high-performance and so is especially well suited for running on low power single board computers without much RAM.|이것은 다른 fediverse 시스템과 제휴 한 OStatus 및 ActivityPub 호환 소셜 네트워킹 서버입니다. 이것은 고성능이기 때문에 RAM이 거의없는 저전력 단일 보드 컴퓨터에서 실행하기에 특히 적합합니다.
Since Pleroma supports the same protocols, any Mastodon client for Android should work with it.|Pleroma가 동일한 프로토콜을 지원하기 때문에 안드로이드 용 Mastodon 클라이언트는 Plastoma와 함께 작동해야합니다.
This is a fork of GNU Social which includes some extra fixes and optimisations to improve performance. It federates with other fediverse servers, such as Pleroma or Mastodon.|이것은 성능 향상을위한 몇 가지 추가 수정 및 최적화가 포함 된 GNU Social 포크입니다. Pleroma 또는 Mastodon과 같은 다른 fediverse 서버와 연합합니다.
This is an encrypted pastebin, such that the server has zero knowledge of the content. It's intended for small amounts of text less than 32K in length. It's not intended for transfering large files, or for storing pastes for more than a day.|이것은 서버가 내용에 대한 지식이 없도록 암호화 된 pastebin입니다. 길이가 32K 미만인 소량의 텍스트를위한 것입니다. 대용량 파일을 전송하거나 1 일 이상 붙여 넣기를하기위한 것이 아닙니다.
This is a web based user interface to the Matrix federated chat system. You will need to have already installed the Matrix app for this to work.|Matrix 연합 채팅 시스템에 대한 웹 기반 사용자 인터페이스입니다. 이 기능을 사용하려면 이미 Matrix 응용 프로그램을 설치해야합니다.
This is yet another chat system, but the server part of it isn't federated and so it's suitable for small private groups rather than for general public discussions.|이것은 아직 또 다른 채팅 시스템이지만, 서버 부분은 연합되어 있지 않으므로 일반 대중 토론보다는 작은 개인 그룹에 적합합니다.
Provides a similar capability to proprietary systems such as Dropbox, and also is well suited for use with low power single board computers. You can have one or more directories which are synchronized across your various laptops/desktops/devices, and this makes it hard for you to ever lose important files. Of course, you don't necessarily need to be running a server in order to use Syncthing, but if you do have a server which is always running then there's always at least one place to synchronize your files to or from.|Dropbox와 같은 독점 시스템과 유사한 기능을 제공하며 저전력 싱글 보드 컴퓨터와도 잘 맞습니다. 다양한 랩탑 / 데스크탑 / 장치에서 동기화되는 하나 이상의 디렉토리를 가질 수 있으며 이로 인해 중요한 파일을 잃어 버리지 않게됩니다. 물론 Syncthing을 사용하기 위해 반드시 서버를 실행해야하는 것은 아니지만 항상 실행중인 서버가 있으면 파일을 동기화 할 장소가 적어도 하나 이상 있어야합니다.
On a Debian based system:|데비안 기반 시스템 :
Or on Android search for the Syncthing app.|또는 Android에서 Syncthing 앱을 검색합니다.
Using the settings button within the LibreServer web interface for the Syncthing app you can then paste in any IDs for other devices. They will then sync with your server.|Syncthing 앱의 LibreServer 웹 인터페이스에서 설정 버튼을 사용하면 다른 기기의 모든 ID에 붙여 넣을 수 있습니다. 그러면 서버와 동기화됩니다.
A system for privately creating and sharing notes and images, similar to Evernote. It can be set up so that a small number of users on the server can share their notes in a convenient way. It doesn't have any web user interface, and you need to install native clients on mobile or laptop/desktop machines.|Evernote와 마찬가지로 메모 및 이미지를 비공개로 만들고 공유하는 시스템입니다. 서버에있는 소수의 사용자가 자신의 노트를 편리하게 공유 할 수 있도록 설정할 수 있습니다. 웹 사용자 인터페이스가 없으므로 모바일 또는 랩톱 / 데스크톱 컴퓨터에 기본 클라이언트를 설치해야합니다.
Since the data at rest is stored in PGP encrypted format this is a good system to use in cases where security really is a critical factor.|나머지 데이터는 PGP 암호화 형식으로 저장되기 때문에 보안이 중요한 요소 인 경우에 사용할 수있는 좋은 시스템입니다.
Go to https://turtlapp.com/download and you'll then be able to download the appropriate app for your laptop or phone.|https://turtlapp.com/download로 이동하면 노트북이나 휴대 전화에 적합한 앱을 다운로드 할 수 있습니다.
Run the downloaded native app then at the bottom of the screen select "advanced settings" and enter your turl domain name, then register a new account. The password can be anything you choose, but since the client side encryption depends upon having a good password make it a long random string generated by a password manager such as KeepassX.|다운로드 한 기본 응용 프로그램을 실행 한 다음 화면 하단에서 "고급 설정"을 선택하고 turl 도메인 이름을 입력 한 다음 새 계정을 등록하십시오. 암호는 사용자가 선택하는 모든 항목이 될 수 있지만 클라이언트 쪽 암호화가 좋은 암호를 사용하는 데 의존하기 때문에 KeepassX와 같은 암호 관리자가 생성 한 긴 임의의 문자열이됩니다.
You should then be able to log in and start using the app. You might also want to invite any other users of your LibreServer system to also sign up using the turtl domain name which you specified during installation.|그런 다음 로그인하여 앱을 사용할 수 있어야합니다. 또한 LibreServer 시스템의 다른 사용자를 초대하여 설치 중에 지정한 turtl 도메인 이름을 사용하여 등록 할 수도 있습니다.
Disabling new registrations|새 등록 사용 안 함
Once you have set up the server with however many users are needed you can then disable any new registrations by selecting Turtl on the LibreServer web interface and going to the settings screen.|그러나 많은 사용자가 필요한 서버를 설정하고 나면 LibreServer 웹 인터페이스에서 Turtl을 선택하고 설정 화면으로 이동하여 새로운 등록을 비활성화 할 수 있습니다.
This is similar to Hubzilla but with a reduced range of features concentrating exclusively upon social networking with the latest version of the Zot protocol. Nomadic identity is supported, so to can export your channels and import them on other servers if necessary, without losing followers.|이것은 Hubzilla와 유사하지만 Zot 프로토콜의 최신 버전과의 소셜 네트워킹에만 집중된 기능 범위가 축소되었습니다. 유목민 신원이 지원되므로 필요에 따라 채널을 내보내고 다른 서버로 가져올 수 있습니다. 그러면 팔로어를 잃지 않고 채널을 내보낼 수 있습니다.
The first account you register will be the administrator user, and from there you can go to the admin settings and disable new registrations if needed.|등록한 첫 번째 계정은 관리자 사용자가되며 관리자 설정으로 이동하여 필요한 경우 새 등록을 비활성화 할 수 있습니다.
To find other users to follow select "directory" from the drop down menu at the top right of the screen and set "this site only" to "no".|다른 사용자를 찾으려면 화면 오른쪽 상단의 드롭 다운 메뉴에서 "디렉토리"를 선택하고 "이 사이트 만"을 "아니오"로 설정하십시오.
There is an Android app available called Nomad.|Nomad라는 Android 앱을 사용할 수 있습니다.
End-to-end encrypted sync of calendar and contacts between devices|장치 간의 일정 및 연락처의 종단 간 암호화 된 동기화
Secure, end-to-end encrypted and journaled personal information cloud synchronization for Android and the desktop, supporting contacts and calendars|Android 및 데스크톱 용 암호화 된 저널링 된 개인 정보 클라우드 동기화, 연락처 및 캘린더 지원
Nomadic social network server|유목 사회 네트워크 서버
Change background|배경을 바꾸다
Diagnostics|진단
Please wait while your app is installing|앱을 설치하는 동안 기다려주세요.
The app could not be installed|앱을 설치할 수 없습니다.
Add a new member|새 회원 추가
Kanban focussed on simplicity and minimalism|Kanban은 단순함과 미니멀리즘에 중점을 두었습니다.
Emails, chat or social network posts will be blocked if they contain the following words or phrases|다음 단어 나 문구가 포함 된 이메일, 채팅 또는 소셜 네트워크 게시물은 차단됩니다.
Muted words|음소거 된 단어
Disk space is getting too low. Installation stopped.|디스크 공간이 너무 작습니다. 설치가 중지되었습니다.
Password changed|비밀번호가 변경되었습니다.
Play media from any UPNP/DLNA device on your local network|로컬 네트워크의 UPNP / DLNA 장치에서 미디어 재생
This allows you to play media on any DLNA supporting device within your local network.|이를 통해 로컬 네트워크 내의 DLNA 지원 장치에서 미디어를 재생할 수 있습니다.
No Access Control|액세스 제어 없음
DLNA doesn't have any access controls, so keep in mind that anyone with a mobile device or laptop within your local network is potentially able to play any media on the server. Hence this may not be suitable for situations where you want parental control over what media can be accessed.|DLNA에는 액세스 제어가 없으므로 로컬 네트워크에있는 모바일 장치 또는 랩톱을 사용하는 사람은 누구나 서버의 모든 미디어를 재생할 수 있습니다. 따라서 어떤 매체에 액세스 할 수 있는지에 대한 부모의 통제가 필요한 상황에는 적합하지 않을 수 있습니다.
Adding Media|미디어 추가하기
You can add media by selecting the settings button from the DLNA app.|DLNA 응용 프로그램에서 설정 버튼을 선택하여 미디어를 추가 할 수 있습니다.
Your homepage can also be accessed with a Tor browser on:|Tor 브라우저를 사용하여 홈페이지에 액세스 할 수도 있습니다.
Chat|채팅
Media|미디어
Social|사회
Sync|동기화
Publishing|출판
Other|기타
Recommended Firefox Add-ons:|권장 Firefox 부가 기능 :
Change your default domain name|기본 도메인 이름 변경
Do you want to change your default domain name to:|기본 도메인 이름을 다음으로 변경 하시겠습니까?
rsync failed|rsync 실패
For most purposes Syncthing is an easier file synchronization system, but rsync is still a reliable solution if you prefer to do things the more traditional way or if you just want to create a mirror from an existing rsync server.|대부분의 경우 Syncthing은보다 쉬운 파일 동기화 시스템이지만 rsync는 기존의 rsync 서버에서 미러를 생성하려는 경우보다 전통적인 방식으로 작업하기를 원하거나 신뢰할 수있는 솔루션입니다.
Rsync is unencrypted but can be used via an onion address for transport security. If you are using it via your domain name then third parties will be able to see the content, but this may not matter if you are synchronizing already public files, such as GNU/Linux distro downloads.|Rsync는 암호화되지 않지만 전송 보안을 위해 양파 주소를 통해 사용될 수 있습니다. 도메인 이름을 통해이 파일을 사용하는 경우 타사에서 내용을 볼 수 있지만 GNU / Linux 배포판 다운로드와 같이 이미 공용 파일을 동기화하는 경우에는 문제가되지 않습니다.
Avoid using this for private data, unless you are exclusively using rsync via the onion address.|양파 주소를 통해 rsync를 독점적으로 사용하는 경우가 아니면 개인 데이터로 사용하지 마십시오.
Creating a Mirror|거울 만들기
Select the Settings button then enter the domain and module name for the mirror. From then on synchronization will happen once per day.|설정 버튼을 선택한 다음 미러의 도메인 및 모듈 이름을 입력하십시오. 그때부터 동기화는 하루에 한 번 발생합니다.
Local Sync|로컬 동기화
If you created a mirror to your server you can then sync those files to other machines or devices on your local network as follows:|서버에 미러를 만든 경우 다음과 같이 해당 파일을 로컬 네트워크의 다른 컴퓨터 나 장치에 동기화 할 수 있습니다.
If "libreserver" doesn't work then you can substitute the local IP address of your server.|"libreserver"이 작동하지 않으면 서버의 로컬 IP 주소로 대체 할 수 있습니다.
Create a mirror of public files|공개 파일의 미러 만들기
The domain name could not be changed|도메인 이름을 변경할 수 없습니다.
This might be because you do not have ports 80 and 443 forwarded to the server.|이는 포트 80 및 443이 서버에 전달되지 않았기 때문일 수 있습니다.
Check the port forwarding settings on your internet router.|인터넷 라우터의 포트 전달 설정을 확인하십시오.
Please specify a domain name which will be used for your email or XMPP address.|전자 메일 또는 XMPP 주소에 사용할 도메인 이름을 지정하십시오.
Please forward the following ports from your internet router:|인터넷 라우터에서 다음 포트를 전달하십시오.
Search for 'Barcode Scanner', then select 'install'|'바코드 스캐너'를 검색 한 다음 '설치'를 선택하십시오.
Download the DarkMessenger apk file via the link below, preferably using a Tor based browser, then install it|아래 링크를 통해 DarkMessenger apk 파일을 다운로드하십시오. Tor 기반 브라우저를 사용하여 설치하십시오.
Run DarkMessenger and the initial account setup will be shown. DarkMessenger only allows onion addresses to be used to create accounts|DarkMessenger를 실행하면 초기 계정 설정이 표시됩니다. DarkMessenger는 양파 주소를 사용하여 계정을 만들 수 있습니다.
You can obtain your onion XMPP address from the Members section within the web interface, usually at http://libreserver/admin or http://libreserver.local/admin. If you can't easily copy and paste it into the account setup within DarkMessenger then you can use the barcode scanner on the QRcode displayed|onion XMPP 주소는 웹 인터페이스의 구성원 섹션 (일반적으로 http : // libreserver / admin 또는 http : //libreserver.local/admin)에서 얻을 수 있습니다. DarkMessenger 내의 계정 설정에 쉽게 복사하여 붙여 넣기 할 수 없다면 표시된 QR 코드에 바코드 스캐너를 사용할 수 있습니다
Enter the password which you stored during initial setup of the system and also the onion domain|시스템의 초기 설정시 저장 한 비밀번호와 양파 도메인을 입력하십시오
You should now be able to connect to your onion XMPP account and set an avatar image if necessary|이제 XMPP 계정에 연결하고 필요한 경우 아바타 이미지를 설정할 수 있습니다.
When sending or receiving pictures or other attachments for the first time you will need to accept the self-signed certificates. Select 'always' twice. This should only happen once per contact|처음으로 사진이나 기타 첨부 파일을 보내거나받을 때 자체 서명 인증서를 수락해야합니다. '항상'을 두 번 선택하십시오. 연락처 당 한 번만 발생해야합니다.
Under Settings/Expert you may want to change the automatic message deletion period. By default this is one day|설정 / 전문가에서 자동 메시지 삭제 기간을 변경할 수 있습니다. 기본적으로 이것은 하루입니다.
When setting up a group chat first ensure that you have separately confirmed two way messaging with each of the participants individually|그룹 채팅을 설정할 때 먼저 각 참가자와 양방향 메시징을 개별적으로 확인했는지 확인하십시오
Enable strict TLS authentication between XMPP servers?|XMPP 서버간에 엄격한 TLS 인증을 사용 하시겠습니까?
If you or other people are having difficulty joining multi-user chat then enabling this might help|귀하 또는 다른 사람들이 다중 사용자 채팅에 참여하는 데 어려움이있는 경우이 기능을 사용하면 도움이 될 수 있습니다.
Music can be uploaded using Nextcloud. Install the app and then create a directory called 'Music'.|Nextcloud를 사용하여 음악을 업로드 할 수 있습니다. 앱을 설치하고 'Music'이라는 디렉토리를 만듭니다.
Drag your files into the Music directory and they will then become available to mpd.|파일을 음악 디렉토리로 드래그하면 mpd에서 사용할 수있게됩니다.
Select search (magnifying glass icon) and search for 'MALP', then select 'install'|검색 (돋보기 아이콘)을 선택하고 'MALP'를 검색 한 다음 '설치'를 선택하십시오.
Open MALP and from the settings select Profiles|MALP를 열고 설정에서 프로파일 선택
Enter the following settings:|다음 설정을 입력하십시오.
Save the settings by selecting the disk icon at the top right of the screen|화면 오른쪽 상단에서 디스크 아이콘을 선택하여 설정을 저장하십시오.
You should now be able to connect to mpd on your server and select and play albums.|이제 서버의 mpd에 연결하여 앨범을 선택하고 재생할 수 있습니다.
