About|約
You can use left and right cursor keys to move through pages|左右のカーソルキーを使用してページを移動できます
You may also want to make another entry with the same settings but replacing tcp with udp.|同じ設定でtcpをudpに置き換えて別のエントリを作成することもできます。
You may now remove the USB drive|これでUSBドライブを取り外すことができます
You might have mistyped one of them|あなたはそれらの1つを誤って入力したかもしれません
You will see the translations file with some instructions at the top.|翻訳ファイルの上部にいくつかの指示が表示されます。
Your password must be at least 8 characters in length and only use the characters a-z A-Z and 0-9|パスワードは8文字以上で、a-z A-Zと0-9の文字のみを使用してください
Zero knowledge pastebin|ゼロ知識ペーストビン
Theme|テーマ
Light|光
Dark|ダーク
Mail|郵便物
Clear|クリア
If you find that you can't send out email and that you get 'failed delivery' messages returned instead then you may be able to proxy sent emails through another server. Sometimes ISPs or companies provide an SMTP server which can do this.|電子メールを介して電子メールを介して電子メールを送信することができます。 時には、SMTPサーバーがISPに接続されていないISPもあります。
Send email through a proxy|プロキシ経由で電子メールを送信する
Failed to install. For details see admin/applog.txt|インストールに失敗しました。 詳細は、admin/applog.txtを参照してください。
Installed successfully|正常にインストールされました
pihole|ピホール
Unlike browser based ad blockers, pihole works at the domain name resolution level to block domains known to privide the ads appearing in web pages.|ブラウザベースの広告ブロッカーとは異なり、piholeはドメイン名解決レベルで動作し、ウェブページに表示される広告を特定するドメインをブロックします。
Set your DNS IP address to the one shown and many ads will get blocked even before they're delivered to your laptop or mobile device. This can save a lot of bandwidth and generally speed up the loading of websites.| DNS IPアドレスを表示されたものに設定すると、ラップトップやモバイルデバイスに配信される前でも多くの広告がブロックされます。これにより、多くの帯域幅を節約でき、一般にWebサイトの読み込み速度を向上させることができます。
Change DNS on your internet router| インターネットルータのDNSを変更する
If your internet router allows you to change the DNS IP address then this is the best way to use pihole because it will then provide coverage for all of the devices and computers in your home.|あなたのインターネットルータがDNSのIPアドレスを変更することを許可している場合、これはあなたの家のすべてのデバイスとコンピュータのカバレッジを提供するので、これはピホールを使用する最良の方法です。
Change DNS on individual devices|個々のデバイスのDNSを変更する
If you can't change your internet router's DNS then you can do that on individual GNU/Linux systems as follows:| インターネットルータのDNSを変更できない場合は、次のように個々のGNU/Linuxシステムで行うことができます。
Remove or comment out any existing nameservers and add one with the IP address shown for the pihole app. Something like:|既存のネームサーバを削除またはコメントアウトし、ピホールアプリに表示されているIPアドレスを追加します。何かのように：
Then save and exit and prevent the file from being automatically changed with:| 次に、保存して終了し、ファイルが自動的に変更されないようにします。
If you're running the standard version of LibreServer (not the onion version) then you may need to modify your hosts file to access your own domain.|LibreServerの標準バージョン（玉ねぎバージョンではない）を実行している場合は、ホストファイルを変更して自分のドメインにアクセスする必要があるかもしれません。
Then add something like:|次に、次のようなものを追加します。
This only works when you're within your home network, so if you're outside of your home then undo the changes made above.|これはあなたがホームネットワーク内にいる場合にのみ機能するので、家の外にいる場合は上記の変更を元に戻してください。
The Pi-hole is a DNS sinkhole that protects your devices from unwanted content, without installing any client-side software.|Pi-holeは、クライアント側のソフトウェアをインストールすることなく、不要なコンテンツからデバイスを保護するDNSシンクホールです。
Search|サーチ
removed|削除済み
To get email working you will need to forward some ports. Email using your onion address will work anyway, so long as you are contacting other onion based email addresses.|電子メールを有効にするには、いくつかのポートを転送する必要があります。タマネギのアドレスを使用している電子メールは、とにかく、タマネギをベースにした他の電子メールアドレスに連絡している限り動作します。
Forward ports 25, 587 and 465 from your internet router|あなたのインターネットルータからのポート25,587および465を転送します
To access cryptpad you'll need to use a Tor browser. Navigate to the URL and enable javascript for the site under the NoScript icon. The screen will be blank for a few seconds while it's downloading the application into your browser.|cryptpadにアクセスするには、Torブラウザを使用する必要があります.NoScriptアイコンの下にあるURLに移動し、javascriptを有効にします。ブラウザにアプリケーションをダウンロードしている間、画面は数秒間空白になります。
Cryptpad is an almost peer-to-peer application. No data is stored on the server, which only does minimal orchestration between the clients. If an adversary subsequently obtains the server they still learn nothing.|Cryptpadはほぼピアツーピアのアプリケーションであり、クライアント間での最小限のオーケストレーションしか行われないデータはサーバーに保存されません。
Authentication Token|認証トークン
This is only needed if you're using FreeDNS. Otherwise you can leave it blank.|これは、FreeDNSを使用している場合にのみ必要です。それ以外の場合は空白のままにしておきます。
On the site where you obtained your domain name set up some custom nameservers as follows:|ドメイン名を取得したサイトで、次のようにカスタムネームサーバーを設定します。
On the FreeDNS site go to the "Dynamic DNS" section and make sure that "link updates of the same IP together" is set to ON.|FreeDNSサイトで、「ダイナミックDNS」セクションに移動し、「同じIPのリンク更新」が「オン」に設定されていることを確認します。
For your main domain name select "quick cron example" and then your authentication token is the random string on the last line between the ? and = characters.|あなたのメインドメイン名は "quick cron example"を選択し、認証トークンは？と=の間の最後の行にあるランダムな文字列です。
Your current IP address is shown at the top of the Dynamic DNS screen of the LibreServer user interface. You can use the "Mass Mod" feature at the top of the "Subdomains" part of the FreeDNS site to set all of your subdomains to that IP address.|FreeDNSサイトの "Subdomains"部分の上部にある "Mass Mod"機能を使用して、すべてのサブドメインを IPアドレス。
Select the MX entry for your main domain and change the destination to 10:mydomainname rather than 10:mail.mydomainname.|メインドメインのMXエントリを選択し、10：mail.mydomainnameではなくmydomainnameを10：10に変更します。
Enter your FreeDNS login details and the authentication token on the Dynamic DNS screen of the LibreServer user interface.|FreeDNSのログインの詳細と認証トークンをLibreServerのユーザーインターフェイスの動的DNS画面に入力します。
To make a playlist insert a USB drive containing audio files in a directory called playlist, add a description below and then select Update|プレイリストにプレイリストというディレクトリにオーディオファイルを含むUSBドライブを挿入するには、以下の説明を追加して、「アップデート」を選択します。
To add music copy it to a directory called Music on a USB drive then plug it into your server and select Update|音楽を追加するには、USBドライブ上のMusicというディレクトリにコピーし、それをサーバーに接続し、Updateを選択します
This is a wiki which stores its content in text files. Having no database makes maintaining it simpler, and it's not tied to any particular domain name so you can easily copy the files to a different domain if you need to.|これは、その内容をテキストファイルに保存するwikiです。データベースを持たないため、よりシンプルに保つことができます。また、必要に応じてファイルを別のドメインに簡単にコピーできるので、特定のドメイン名には結びついていません。
Provides an easy and private way to sync calendar and contacts between devices.|デバイス間でカレンダーや連絡先を簡単かつプライベートに同期させる方法を提供します。
Using on mobile|モバイルでの使用
The user interface is a little misleading. Make sure that you log in with your username, not your email addres.|ユーザーインターフェイスは少し誤解を招く。メールアドレスではなく、ユーザー名でログインしてください。
Also choose the advanced option and enter the subdomain that you installed etesync on.|また、拡張オプションを選択し、etesyncをインストールしたサブドメインを入力します。
This is a well known system for real time collaborative editing of documents. Just log in, choose a document title and then edit. Different users will appear in different colours, and can also chat in the sidebar. This is installed as a private system in which only users on your LibreServer server will be able to create and edit documents, so it's not open to any random users on the internet.|これは、文書のリアルタイム共同編集のための周知のシステムである。ログインしてドキュメントのタイトルを選択し、編集してください。異なるユーザーが異なる色で表示され、サイドバーでチャットすることもできます。これはLibreServerサーバー上のユーザーだけがドキュメントを作成し編集できるプライベートシステムとしてインストールされるため、インターネット上の任意のランダムユーザーには公開されていません。
This is a federated social networking system. It can federate with other popular fediverse systems.|これは連合されたソーシャルネットワーキングシステムです。それは他の一般的な宇宙システムと連合することができます。
This is a blogging system which has no database and only uses text files for storage.|これはデータベースを持たず、保存用のテキストファイルのみを使用するブログシステムです。
This is a git hosting system. It's very similar to Github in appearance and use, is lightweight and so is well suited for use on low power ARM servers.|これはgitホスティングシステムです。これはGithubと外観や使用方法が非常に似ています。軽量であるため、低消費電力のARMサーバーでの使用に適しています。
This is a web publishing and social network system which includes wiki, web pages, photo albums and file storage. It also has nomadic identity allowing you to easily move your account between different servers and privacy controls which allow you to define who can see what content.|これは、wiki、Webページ、フォトアルバム、およびファイルストレージを含むWeb公開およびソーシャルネットワークシステムです。また、さまざまなサーバーとプライバシー管理の間でアカウントを簡単に移動できる遊牧民のアイデンティティーがあり、どのコンテンツを誰が見ることができるかを定義することができます。
Kanbans are one way of managing projects. They're traditionally used in businesses but can also be useful for personal TODO lists or within open source or DIY projects. If you have a list of things which need to be done and want to keep track of progress then this provides a way to do that.|かんばんはプロジェクトを管理する一つの方法です。それらはビジネスで伝統的に使用されていますが、個人のTODOリストやオープンソースやDIYプロジェクトにも役立ちます。実行する必要のある項目のリストがあり、進捗状況を把握したい場合は、これを行う方法があります。
The default login is username "admin" and the login password which you usually use for the web interface.|デフォルトのログインはユーザー名 "admin"と、通常はWebインターフェイスで使用するログインパスワードです。
If you're using a Tor browser then you may need to allow javascript for the site by selecting the NoScript icon.|Torブラウザを使用している場合は、NoScriptアイコンを選択して、サイトのjavascriptを許可する必要があります。
Extra users can be added from the drop down menu at the top right of the screen, under "Users management".|余分なユーザーは、画面の右上にある「ユーザー管理」のドロップダウンメニューから追加できます。
This enables you to store your music on the LibreServer server and then access it from any internet connected device.|これにより、あなたの音楽をLibreServerサーバーに保存して、インターネットに接続されたどのデバイスからでもアクセスできます。
This is a simple and lightweight photo album for the web. Whether you're an amateur or professional photographer, or want to publish random holiday pics or cat pictures. Lychee just does what it says it does without any fuss.|これはウェブ用のシンプルで軽量なフォトアルバムです。あなたがアマチュアやプロのフォトグラファーであれ、ランダムな休日の写真や猫の写真を公開したい場合でも、ライチはちょうどそれがどんな大騒ぎなしでそれが言うことを行います。
This provides an webmail interface suitable for use on desktop or mobile clients and with built in support for encryption.|これにより、デスクトップまたはモバイルクライアントでの使用、および暗号化のサポートが組み込まれたWebメールインターフェイスが提供されます。
This is a system for file synchronisation and also has many other plugins for calendar, videoconferencing, collaborative document editing and federated file sharing.|これはファイル同期のためのシステムであり、カレンダー、ビデオ会議、コラボレーティブなドキュメント編集、フェデレーションファイル共有のための他の多くのプラグインも備えています。
This is a video hosting system which uses webtorrent to help distribute the files to or between clients.|これはWebtorrentを使用してファイルをクライアント間で配布するビデオホスティングシステムです。
Use the username 'root' and your usual password to log in as the administrator. You can then change settings as needed.|ユーザー名 'root'と通常のパスワードを使用して、管理者としてログインします。必要に応じて設定を変更することができます。
This is an OStatus and ActivityPub compatible social networking server which federates with other fediverse systems. It is high-performance and so is especially well suited for running on low power single board computers without much RAM.|これは、OStatusとActivityPub互換のソーシャルネットワーキングサーバーで、他のfediverseシステムと連携します。これは高性能なので、RAMをほとんど必要としない低電力のシングルボードコンピュータでの実行に特に適しています。
Since Pleroma supports the same protocols, any Mastodon client for Android should work with it.|Pleromaは同じプロトコルをサポートしているので、Android用のMastodonクライアントであれば、それを使用する必要があります。
This is a fork of GNU Social which includes some extra fixes and optimisations to improve performance. It federates with other fediverse servers, such as Pleroma or Mastodon.|これはGNU Socialのフォークで、パフォーマンスを向上させるためのいくつかの追加の修正と最適化が含まれています。 PleromaやMastodonなどの他のfediverseサーバーと連携します。
This is an encrypted pastebin, such that the server has zero knowledge of the content. It's intended for small amounts of text less than 32K in length. It's not intended for transfering large files, or for storing pastes for more than a day.|これは暗号化されたペーストビンなので、サーバはそのコンテンツに関する知識を持っていません。これは、長さが32K未満の少量のテキストを対象としています。これは、大きなファイルの転送や、1日以上のペーストの保存を目的としたものではありません。
This is a web based user interface to the Matrix federated chat system. You will need to have already installed the Matrix app for this to work.|これは、Matrixフェデレーションチャットシステムに対するWebベースのユーザーインターフェイスです。これを行うにはMatrixアプリをインストールしておく必要があります。
This is yet another chat system, but the server part of it isn't federated and so it's suitable for small private groups rather than for general public discussions.|これはもう一つのチャットシステムですが、サーバーの一部は統合されていないため、一般公開の議論ではなく小さなプライベートグループに適しています。
Provides a similar capability to proprietary systems such as Dropbox, and also is well suited for use with low power single board computers. You can have one or more directories which are synchronized across your various laptops/desktops/devices, and this makes it hard for you to ever lose important files. Of course, you don't necessarily need to be running a server in order to use Syncthing, but if you do have a server which is always running then there's always at least one place to synchronize your files to or from.|Dropboxなどの独自のシステムと同様の機能を提供し、低電力シングルボードコンピュータでの使用にも適しています。さまざまなラップトップ/デスクトップ/デバイス間で同期された1つまたは複数のディレクトリを作成することができます。これにより、重要なファイルを失うことが難しくなります。もちろん、Syncthingを使用するために必ずしもサーバーを稼働させる必要はありませんが、常に稼動しているサーバーを持っている場合は、ファイルを同期させる場所が常に少なくとも1つあります。
On a Debian based system:|Debianベースのシステム：
Or on Android search for the Syncthing app.|または、SyncthingアプリのAndroid検索で。
Using the settings button within the LibreServer web interface for the Syncthing app you can then paste in any IDs for other devices. They will then sync with your server.|SyncthingアプリケーションのLibreServer Webインターフェイス内の設定ボタンを使用すると、他のデバイスのIDに貼り付けることができます。それらはあなたのサーバーと同期します。
A system for privately creating and sharing notes and images, similar to Evernote. It can be set up so that a small number of users on the server can share their notes in a convenient way. It doesn't have any web user interface, and you need to install native clients on mobile or laptop/desktop machines.|Evernoteと同様に、個人的にメモや画像を作成し共有するシステム。サーバ上の少数のユーザが便利な方法でノートを共有できるように設定することができます。 Webユーザーインターフェイスはありません。ネイティブクライアントをモバイルコンピュータまたはラップトップ/デスクトップマシンにインストールする必要があります。
Since the data at rest is stored in PGP encrypted format this is a good system to use in cases where security really is a critical factor.|安心してデータがPGP暗号化された形式で保存されるので、これはセキュリティが本当に重要な要素である場合に使用するのに適したシステムです。
Go to https://turtlapp.com/download and you'll then be able to download the appropriate app for your laptop or phone.|https://turtlapp.com/downloadにアクセスすると、ノートパソコンや携帯電話用の適切なアプリをダウンロードできます。
Run the downloaded native app then at the bottom of the screen select "advanced settings" and enter your turl domain name, then register a new account. The password can be anything you choose, but since the client side encryption depends upon having a good password make it a long random string generated by a password manager such as KeepassX.|ダウンロードしたネイティブアプリを実行し、画面の下部にある[詳細設定]を選択し、あなたのドメイン名を入力して、新しいアカウントを登録します。パスワードは任意のものを選択することができますが、クライアント側の暗号化は良好なパスワードの使用に依存するため、KeepassXなどのパスワードマネージャーによって生成される長いランダムな文字列になります。
You should then be able to log in and start using the app. You might also want to invite any other users of your LibreServer system to also sign up using the turtl domain name which you specified during installation.|これで、ログインしてアプリの使用を開始できるはずです。また、LibreServerシステムの他のユーザーを招待して、インストール中に指定したturtlドメイン名を使用してサインアップすることもできます。
Disabling new registrations|新しい登録を無効にする
Once you have set up the server with however many users are needed you can then disable any new registrations by selecting Turtl on the LibreServer web interface and going to the settings screen.|多くのユーザーが必要なサーバーをセットアップしたら、LibreServer WebインターフェイスでTurtlを選択し、設定画面に移動して新しい登録を無効にすることができます。
This is similar to Hubzilla but with a reduced range of features concentrating exclusively upon social networking with the latest version of the Zot protocol. Nomadic identity is supported, so to can export your channels and import them on other servers if necessary, without losing followers.|これはHubzillaに似ていますが、Zotプロトコルの最新バージョンとのソーシャルネットワーキングに集中している機能の範囲が狭くなっています。ノマディックアイデンティティがサポートされているため、必要に応じてチャンネルをエクスポートして他のサーバーにインポートすることができ、フォロワーを失うこともありません。
The first account you register will be the administrator user, and from there you can go to the admin settings and disable new registrations if needed.|登録する最初のアカウントは管理者ユーザーになります。そこから管理者設定に移動し、必要に応じて新しい登録を無効にすることができます。
To find other users to follow select "directory" from the drop down menu at the top right of the screen and set "this site only" to "no".|画面の右上にあるドロップダウンメニューから「ディレクトリ」を選択し、「このサイトのみ」を「いいえ」に設定します。
There is an Android app available called Nomad.|NomadというAndroidアプリがあります。
End-to-end encrypted sync of calendar and contacts between devices|デバイス間のカレンダーと連絡先のエンドツーエンドの暗号化された同期
Secure, end-to-end encrypted and journaled personal information cloud synchronization for Android and the desktop, supporting contacts and calendars|連絡先とカレンダーをサポートし、安全なエンドツーエンドの暗号化とジャーナル化された個人情報のクラウド同期をAndroidおよびデスクトップに提供
Nomadic social network server|ノマディックソーシャルネットワークサーバー
Change background|背景を変更する
Diagnostics|診断
Please wait while your app is installing|あなたのアプリのインストール中にお待ちください
The app could not be installed|アプリをインストールできませんでした
Add a new member|新しいメンバーを追加する
Kanban focussed on simplicity and minimalism|Kanbanはシンプルさとミニマムに焦点を当てた
Emails, chat or social network posts will be blocked if they contain the following words or phrases|メール、チャット、ソーシャルネットワークの投稿には、次の単語やフレーズが含まれているとブロックされます
Muted words|黙った言葉
Disk space is getting too low. Installation stopped.|ディスク容量が少なくなっています。 インストールが停止しました。
Password changed|パスワード変更済み
Play media from any UPNP/DLNA device on your local network|ローカルネットワーク上のUPNP / DLNAデバイスからメディアを再生する
This allows you to play media on any DLNA supporting device within your local network.|これにより、ローカルネットワーク内のDLNA対応デバイスでメディアを再生することができます。
No Access Control|アクセス制御なし
DLNA doesn't have any access controls, so keep in mind that anyone with a mobile device or laptop within your local network is potentially able to play any media on the server. Hence this may not be suitable for situations where you want parental control over what media can be accessed.|DLNAにはアクセス制御がないため、ローカルネットワーク内のモバイルデバイスまたはラップトップを持つ人は、潜在的にサーバ上のメディアを再生できます。 したがって、アクセス可能なメディアに対するペアレンタルコントロールを必要とする状況には適していない可能性があります。
Adding Media|メディアの追加
You can add media by selecting the settings button from the DLNA app.|DLNAアプリから設定ボタンを選択して、メディアを追加することができます。
Your homepage can also be accessed with a Tor browser on:|あなたのホームページにはTorブラウザでアクセスすることもできます：
Chat|チャット
Media|メディア
Social|ソーシャル
Sync|同期
Publishing|公開
Other|その他
Recommended Firefox Add-ons:|推奨されるFirefoxアドオン：
Change your default domain name|デフォルトドメイン名を変更する
Do you want to change your default domain name to:|デフォルトのドメイン名を次のように変更しますか。
rsync failed|rsyncが失敗しました
For most purposes Syncthing is an easier file synchronization system, but rsync is still a reliable solution if you prefer to do things the more traditional way or if you just want to create a mirror from an existing rsync server.|ほとんどの場合、Syncthingはより簡単なファイル同期システムですが、より伝統的な方法で作業したい場合、または既存のrsyncサーバーからミラーを作成したい場合には、rsyncは依然として信頼性の高いソリューションです。
Rsync is unencrypted but can be used via an onion address for transport security. If you are using it via your domain name then third parties will be able to see the content, but this may not matter if you are synchronizing already public files, such as GNU/Linux distro downloads.|Rsyncは暗号化されていませんが、輸送セキュリティのためにタマネギアドレスを介して使用することができます。 ドメイン名で使用している場合は、第三者がそのコンテンツを見ることができますが、GNU / Linuxのディストリビューションダウンロードなど、すでに公開されているファイルを同期している場合は、これは関係ありません。
Avoid using this for private data, unless you are exclusively using rsync via the onion address.|タマネギアドレスを介してrsyncを排他的に使用しているのでなければ、これを個人データには使用しないでください。
Creating a Mirror|ミラーを作成する
Select the Settings button then enter the domain and module name for the mirror. From then on synchronization will happen once per day.|[設定]ボタンを選択してから、ミラーのドメインとモジュール名を入力します。 それ以降、同期は1日1回行われます。
Local Sync|ローカル同期
If you created a mirror to your server you can then sync those files to other machines or devices on your local network as follows:|サーバーにミラーを作成した場合は、これらのファイルをローカルネットワーク上の他のマシンまたはデバイスに次のように同期させることができます。
If "libreserver" doesn't work then you can substitute the local IP address of your server.|"libreserver"が機能しない場合は、サーバーのローカルIPアドレスを代用できます。
Create a mirror of public files|公開ファイルのミラーを作成する
The domain name could not be changed|ドメイン名は変更できませんでした
This might be because you do not have ports 80 and 443 forwarded to the server.|これは、ポート80と443がサーバーに転送されていないことが原因である可能性があります。
Check the port forwarding settings on your internet router.|インターネットルーターのポート転送設定を確認してください。
Please specify a domain name which will be used for your email or XMPP address.|メールアドレスまたはXMPPアドレスに使用されるドメイン名を指定してください。
Please forward the following ports from your internet router:|インターネットルーターから次のポートを転送してください。
Search for 'Barcode Scanner', then select 'install'|「バーコードスキャナー」を検索し、「インストール」を選択します
Download the DarkMessenger apk file via the link below, preferably using a Tor based browser, then install it|下記のリンクから、できればTorベースのブラウザを使用してDarkMessenger apkファイルをダウンロードし、インストールしてください。
Run DarkMessenger and the initial account setup will be shown. DarkMessenger only allows onion addresses to be used to create accounts|DarkMessengerを起動すると、初期アカウント設定が表示されます。 DarkMessengerはアカウントを作成するためにタマネギアドレスを使用することのみを許可します
You can obtain your onion XMPP address from the Members section within the web interface, usually at http://libreserver/admin or http://libreserver.local/admin. If you can't easily copy and paste it into the account setup within DarkMessenger then you can use the barcode scanner on the QRcode displayed|あなたのタマネギXMPPアドレスはウェブインターフェース内のメンバーセクションから、通常はhttp：// libreserver / adminまたはhttp：//libreserver.local/adminで入手できます。あなたが簡単にそれをDarkMessengerの中のアカウント設定にコピーして貼り付けることができないならば、あなたは表示されたQRcodeでバーコードスキャナーを使うことができます
Enter the password which you stored during initial setup of the system and also the onion domain|システムの初期設定時に保存したパスワードとオニオンドメインを入力してください
You should now be able to connect to your onion XMPP account and set an avatar image if necessary|あなたは今あなたのタマネギXMPPアカウントに接続し、必要ならばアバター画像を設定することができるはずです。
When sending or receiving pictures or other attachments for the first time you will need to accept the self-signed certificates. Select 'always' twice. This should only happen once per contact|写真やその他の添付ファイルを初めて送受信するときは、自己署名証明書を受け入れる必要があります。 「常に」を2回選択してください。これは連絡先ごとに一度だけ起こるべきです
Under Settings/Expert you may want to change the automatic message deletion period. By default this is one day|設定/エキスパートでは、自動メッセージ削除期間を変更することができます。デフォルトではこれは1日です
When setting up a group chat first ensure that you have separately confirmed two way messaging with each of the participants individually|グループチャットを設定するときは、最初に各参加者と個別に双方向のメッセージングを個別に確認してください。
Enable strict TLS authentication between XMPP servers?|XMPPサーバー間で厳密なTLS認証を有効にしますか？
If you or other people are having difficulty joining multi-user chat then enabling this might help|あなたや他の人がマルチユーザーチャットに参加するのが困難な場合は、これを有効にすると効果的です
Music can be uploaded using Nextcloud. Install the app and then create a directory called 'Music'.|Nextcloudを使って音楽をアップロードできます。 アプリをインストールしてから、「Music」というディレクトリを作成します。
Drag your files into the Music directory and they will then become available to mpd.|ファイルをMusicディレクトリにドラッグすると、それらはmpdで利用できるようになります。
Select search (magnifying glass icon) and search for 'MALP', then select 'install'|検索（虫眼鏡アイコン）を選択し、「MALP」を検索してから、「インストール」を選択します。
Open MALP and from the settings select Profiles|MALPを開き、設定からプロファイルを選択します
Enter the following settings:|次の設定を入力してください。
Save the settings by selecting the disk icon at the top right of the screen|画面右上のディスクアイコンを選択して設定を保存します
You should now be able to connect to mpd on your server and select and play albums.|これでサーバー上のmpdに接続してアルバムを選択して再生できるはずです。
In a non-Tor browser navigate to http://libreserver:8250 or http://[server local IP address]:8250 and you should be able to play the selected album.|Tor以外のブラウザでは、http：// libreserver：8250またはhttp：// [サーバーのローカルIPアドレス]：8250に移動すると、選択したアルバムを再生できます。
Setting up on the desktop|デスクトップに設定する
Install Sonata|Sonataをインストールする
Run Sonata and enter the following settings:|Sonataを起動し、以下の設定を入力してください。
You should now be able to see your albums listed and be able to add them to the currently playing list.|これでアルバムがリストに表示され、それらを現在再生中のリストに追加できるようになります。
In a non-Tor browser navigate to http://libreserver:8250 or http://[server local IP address]:8250 and you should be able to play the selected album.|Tor以外のブラウザでは、http：// libreserver：8250またはhttp：// [サーバーのローカルIPアドレス]：8250に移動すると、選択したアルバムを再生できます。
Select your music file format:|音楽ファイル形式を選択してください。
pixelfed allow new registrations|pixelfedが新規登録を許可
Groceries and household management|食料品および世帯管理
Organization|組織
VPN domain or IP address:|VPNドメインまたはIPアドレス
VPN public key:|VPN公開鍵：
Public key for this server:|このサーバーの公開鍵
Public keys for the laptops or devices that you wish to be able to use this server to connect to the internet.|このサーバーを使用してインターネットに接続できるようにするための、ラップトップまたはデバイス用の公開鍵。
Network|ネットワーク
Set your coordinates on the map|地図上に座標を設定する
Longitude:|経度：
Latitude:|緯度：
Join|参加する
Docs|ドキュメント
Community network map is being generated|コミュニティネットワークマップが生成されています
Please wait|お待ちください
IP address (optional):|IPアドレス（オプション）：
Export|輸出する
Add a new community network node|新しいコミュニティネットワークノードを追加する
Remove a community network node|コミュニティネットワークノードを削除する
WARNING: Only change this if you know what you are doing. Selecting the wrong mesh protocol may make your server disappear from the network, and be difficult to recover|警告：自分がしていることがわかっている場合にのみこれを変更してください。 間違ったメッシュプロトコルを選択すると、サーバーがネットワークから見えなくなり、復旧が困難になる可能性があります。
WARNING: Only change this if you know what you are doing. Setting an incorrect IP address or gateway may cause your server to become inaccessible, and may be difficult to recover|警告：自分がしていることがわかっている場合にのみこれを変更してください。 誤ったIPアドレスまたはゲートウェイを設定すると、サーバーにアクセスできなくなり、復旧が困難になる場合があります。
Choose your network:|ネットワークを選択してください。
Language is being changed|言語が変更されています
Community Network|コミュニティネットワーク
Theme is being changed|テーマは変更されています
Install a new app|新しいアプリをインストールする
Restore APPNAME from backup?|バックアップからAPPNAMEを復元しますか？
Add or remove feeds|フィードを追加または削除する
Enter an RSS feed URL to add or remove. The domain name is enough for removals.|追加または削除するRSSフィードのURLを入力してください。 ドメイン名は削除には十分です。
Show onion address|タマネギの住所を表示
Multi User Dungeon from the era of Welsh mainframe computing|ウェールズのメインフレームコンピューティングの時代からのマルチユーザーダンジョン
Forward the UDP port 5100 from your internet router|インターネットルーターからUDPポート5100を転送します。
Since this app only uses the UDP protocol it won't work via an onion address. If you are running the onion only version of LibreServer then use its local IP address (usually 192.168.1.x) to connect to the game on the above port.|このアプリはUDPプロトコルしか使用していないため、タマネギアドレスを介しては機能しません。 あなたがLibreServerのタマネギ専用バージョンを実行しているならば、上記のポートでゲームに接続するためにそのローカルIPアドレス（通常192.168.1.x）を使用してください。
Near infinite world block sandbox game|無限大ブロックサンドボックスゲームに近い
Federation List|連携リスト
Add or remove the domain names for instances with whom you wish to federate. Don't include your own domain names.|連携したいインスタンスのドメイン名を追加または削除します。 自分のドメイン名を含めないでください。
Notify via|経由で通知
Receive admin notifications|管理者通知を受け取る
New calendar event|新しいカレンダーイベント
New direct message|新しいダイレクトメッセージ
New reply|新しい返信
New shared item|新しい共有アイテム
New follow request|新しいフォローリクエスト
Number of connections on HTTP port is high|HTTPポートの接続数が多い
Number of connections on HTTPS port is high|HTTPSポートの接続数が多い
Cryptpad allow new signups|Cryptpadは新しいサインアップを許可します
Name of the Dungeon Master|ダンジョンマスターの名前
Message Of The Day|今日のメッセージ
port|ネットワークポート
Server Password|サーバーパスワード
DNS over TLS|DNS over TLS
IP Address|IPアドレス
New git patch|新しいgitパッチ
liked your post|あなたの投稿を高く評価しました
IRC Password|IRCパスワード
Reaction by|による反応
ssh connections too high|ssh接続が高すぎます
