About|על אודות
Uninstall|הסר את ההתקנה
Update|עדכון
Updates settings changed|הגדרות העדכונים השתנו
Upgrade|שדרג
Upgrades happen automatically. You don't need to start them manually like this, except in rare circumstances|שדרוגים לקרות באופן אוטומטי. אתה לא צריך להפעיל אותם באופן ידני ככה, למעט במקרים נדירים
Upload|העלה
URL to upload from|כתובת אתר להעלאה מ
USB drive format has failed|פורמט כונן ה- USB נכשל
USB drive format in progress|תבנית כונן USB מתבצעת
USB drive format is complete|פורמט כונן ה- USB הושלם
Username: |שם משתמש:
Username: admin|שם משתמש: admin
Members|משתמשים
Using your preferred editor|שימוש בעורך המועדף עליך
Video broadcast|שידור וידאו
Vietnamese|ויאטנמית
Voice chat|צאט קולי
WARNING: THIS WILL ERASE ALL CONTENT OF THE USB DRIVE|אזהרה: זה יהיה למחוק את כל התוכן של כונן USB
We're sorry, but the username you gave is not suitable. Check that it does not contain spaces, is lower case and at least 3 characters in length.|אנו מתנצלים, אך שם המשתמש שנתת אינו מתאים. ודא כי הוא אינו מכיל רווחים, הוא מקרה נמוך לפחות 3 תווים אורך.
Web publishing system|מערכת פרסום באינטרנט
When done editing click on the wiki button again|כאשר נעשה עריכה לחץ על כפתור ויקי שוב
When it's done it will appear on the apps screen|כאשר זה נעשה, הוא יופיע במסך היישומים
When removal is finished it will disappear from apps|לאחר הסרה הוא ייעלם מן היישומים
When you are done with translating select the 'import' button on the translations screen.|כאשר תסיים עם תרגום בחר את הלחצן 'ייבוא' במסך התרגומים.
When you've added your translations select the 'update' button. This will update the translations file for the selected language. Note that this does not change the current language within the user interface. If you want to do that go back to the language screen, select a language and then the 'select' button.|לאחר שהוספת את התרגומים שלך, בחר בלחצן 'עדכן'. פעולה זו תעדכן את קובץ התרגומים עבור השפה שנבחרה. שים לב שהדבר אינו משנה את השפה הנוכחית בממשק המשתמש. אם אתה רוצה לעשות את זה לחזור למסך השפה, בחר שפה ולאחר מכן על כפתור 'בחר'.
Whichever screen you are currently on, you can get back to the previous screen by clicking or pressing on the LibreServer logo at the top.|בכל מסך שבו אתה נמצא כעת, תוכל לחזור למסך הקודם על ידי לחיצה על הלוגו של LibreServer או לחיצה עליו.
With Icecast you can run your own internet radio stream from an onion address. As always, be careful about copyright issues and preferably stick to Creative Commons music or music files that you own.|עם Icecast אתה יכול להפעיל את זרם האינטרנט שלך רדיו מתוך כתובת בצל. כמו תמיד, להיות זהיר לגבי בעיות זכויות יוצרים עדיף מקל Creative Commons מוסיקה או קבצי מוסיקה שבבעלותך.
Within the network list click, Add and enter your domain name then click Edit.|בתוך רשימת הרשת לחץ, הוסף והזן את שם התחום שלך ולאחר מכן לחץ על עריכה.
Within the Password field enter the password which you originally set up the box with.|בתוך השדה סיסמה הזן את הסיסמה שבה הגדרת במקור את התיבה.
Within the software center search for "mumble" and install the client then run it. Skip through the audio setup wizard. Cancel the initial connection window.|בתוך מרכז התוכנה לחפש "מלמול" ולהתקין את הלקוח ולאחר מכן להפעיל אותו. דלג על אשף הגדרת השמע. בטל את חלון החיבור הראשוני.
Write it down or save it|כתוב את זה או לשמור אותו
XMPP|XMPP
xmpp based chat system|xmpp מבוסס צ 'אט המערכת
Yes|כן
You can edit the translated text on the right side of the screen.|ניתן לערוך את הטקסט המתורגם בצד ימין של המסך.
You can get to this system remotely via:|אתה יכול להגיע למערכת זו מרחוק באמצעות:
You can now go back to the initial Conversations app screen and start using it. You'll probably want to add contacts using the icon at the bottom right. For more information see the Conversations website (conversations.im) or subscribe to the chat group conversations@conference.siacs.eu|כעת תוכל לחזור למסך היישום 'שיחות ראשוניות' ולהתחיל להשתמש בו. סביר להניח שתרצה להוסיף אנשי קשר באמצעות הסמל בפינה השמאלית התחתונה. לקבלת מידע נוסף, בקר באתר השיחות (conversations.im) או הירשם כמנוי לצ'אט.
You can now log in with:|כעת תוכל להיכנס באמצעות:
You can see upgrade progress|ניתן לראות התקדמות בשדרוג
You can use left and right cursor keys to move through pages|ניתן להשתמש במקשי הסמן שמאלה וימינה כדי לעבור בין הדפים
You may also want to make another entry with the same settings but replacing tcp with udp.|ייתכן שתרצה גם להזין ערך נוסף עם אותן הגדרות, אך החלפת TCP עם udp.
You may now remove the USB drive|כעת תוכל להסיר את כונן ה- USB
You might have mistyped one of them|יכול להיות שאתה misiped אחד מהם
You will see the translations file with some instructions at the top.|תראה את קובץ התרגומים עם הוראות בחלק העליון.
Your password must be at least 8 characters in length and only use the characters a-z A-Z and 0-9|על הסיסמה להיות באורך של לפחות 8 תווים ורק להשתמש בתווים a-z A-Z ו- 0-9
Zero knowledge pastebin|אפס ידע pastebin
Theme|נושא
Light|אוֹר
Dark|אפל
Mail|דוֹאַר
Clear|ברור
If you find that you can't send out email and that you get 'failed delivery' messages returned instead then you may be able to proxy sent emails through another server. Sometimes ISPs or companies provide an SMTP server which can do this.|Hvis du finner ut ב ekka קן דואר אלקטרוני דואר אלקטרוני לכתובת דואר אלקטרוני על ידי דואר אלקטרוני על ידי דואר אלקטרוני באמצעות en annen שרת. לפעמים ספקי שירותי אינטרנט של שרת SMTP שרתים למות dit קאן doen.
Send email through a proxy|שלח דוא"ל באמצעות proxy
Failed to install. For details see admin/applog.txt|ההתקנה נכשלה. לפרטים ראה admin/applog.txt
Installed successfully|הותקן בהצלחה
pihole|חרא
Unlike browser based ad blockers, pihole works at the domain name resolution level to block domains known to privide the ads appearing in web pages.|שלא כמו חוסמי מודעות מבוססי דפדפן, peeole עובד ברמת הרזולוציה של שם התחום כדי לחסום תחומים הידועים כמפרסמים את המודעות המופיעות בדפי אינטרנט.
Set your DNS IP address to the one shown and many ads will get blocked even before they're delivered to your laptop or mobile device. This can save a lot of bandwidth and generally speed up the loading of websites.| הגדר את כתובת ה- IP של ה- DNS לזו המוצגת ומודעות רבות ייחסמו עוד לפני שהן מועברות למחשב הנייד או לנייד שלך. זה יכול לחסוך הרבה רוחב פס ובאופן כללי להאיץ את הטעינה של אתרי אינטרנט
Change DNS on your internet router| שינוי DNS בנתב האינטרנט שלך
If your internet router allows you to change the DNS IP address then this is the best way to use pihole because it will then provide coverage for all of the devices and computers in your home.|אם נתב האינטרנט שלך מאפשר לך לשנות את כתובת ה- IP DNS אז זה הדרך הטובה ביותר להשתמש pihole כי זה יהיה אז לספק כיסוי עבור כל המכשירים והמחשבים בבית שלך.
Change DNS on individual devices|שינוי DNS בהתקנים בודדים
If you can't change your internet router's DNS then you can do that on individual GNU/Linux systems as follows:| אם אתה לא יכול לשנות את ה- DNS של הנתב שלך לאינטרנט אז אתה יכול לעשות את זה על מערכות גנו / לינוקס בודדים כדלקמן:
Remove or comment out any existing nameservers and add one with the IP address shown for the pihole app. Something like:|הסר או ציין את כל שרתי השמות הקיימים והוסף אחד עם כתובת ה- IP המוצגת עבור האפליקציה pyole. משהו כמו:
Then save and exit and prevent the file from being automatically changed with:| לאחר מכן לשמור ולצאת ולמנוע את הקובץ מלהשתנה באופן אוטומטי עם:
If you're running the standard version of LibreServer (not the onion version) then you may need to modify your hosts file to access your own domain.|אם אתה מפעיל את הגרסה הרגילה של LibreServer (לא את גירסת הבצל), ייתכן שיהיה עליך לשנות את הקובץ המארח שלך כדי לגשת לתחום שלך.
Then add something like:|ואז להוסיף משהו כמו:
This only works when you're within your home network, so if you're outside of your home then undo the changes made above.|זה עובד רק כאשר אתה בתוך הרשת הביתית שלך, אז אם אתה מחוץ לבית שלך ואז לבטל את השינויים שבוצעו לעיל
The Pi-hole is a DNS sinkhole that protects your devices from unwanted content, without installing any client-side software.|ה- Py-hole הוא בור ה- DNS שמגן על ההתקנים שלך מפני תוכן לא רצוי, מבלי להתקין כל תוכנה בצד הלקוח.
Search|לחפש
removed|הוסר
To get email working you will need to forward some ports. Email using your onion address will work anyway, so long as you are contacting other onion based email addresses.|כדי לקבל עבודה דוא"ל תצטרך להעביר כמה יציאות.דוא"ל באמצעות כתובת הבצל שלך יעבוד בכל מקרה, כל עוד אתה יוצר קשר עם בצל אחר כתובות דוא"ל מבוסס.
Forward ports 25, 587 and 465 from your internet router|העבר יציאות 25, 587 ו - 465 מנתב האינטרנט שלך
To access cryptpad you'll need to use a Tor browser. Navigate to the URL and enable javascript for the site under the NoScript icon. The screen will be blank for a few seconds while it's downloading the application into your browser.|כדי לגשת ל- cryptpad, יהיה עליך להשתמש בדפדפן Tor.ניווט אל כתובת האתר והפעל JavaScript עבור האתר מתחת לסמל ה- NoScript, המסך יהיה ריק למשך מספר שניות בזמן שהוא מוריד את היישום לדפדפן.
Cryptpad is an almost peer-to-peer application. No data is stored on the server, which only does minimal orchestration between the clients. If an adversary subsequently obtains the server they still learn nothing.|Cryptpad הוא יישום כמעט עמית-לעמית.לא נתונים מאוחסנים בשרת, אשר עושה רק תזמור מינימלי בין הלקוחות.אם היריב לאחר מכן מקבל את השרת הם עדיין לא ללמוד כלום.
Authentication Token|אסימון אימות
This is only needed if you're using FreeDNS. Otherwise you can leave it blank.|פעולה זו נחוצה רק אם אתה משתמש ב- FreeDNS, אחרת אתה יכול להשאיר אותה ריקה.
On the site where you obtained your domain name set up some custom nameservers as follows:|באתר שבו השגת את שם התחום שלך להגדיר כמה שרתי שמות מותאמים אישית כדלקמן:
On the FreeDNS site go to the "Dynamic DNS" section and make sure that "link updates of the same IP together" is set to ON.|באתר FreeDNS עבור אל "Dynamic DNS" סעיף ולוודא כי "עדכוני הקישור של אותו IP יחד" מוגדר על.
For your main domain name select "quick cron example" and then your authentication token is the random string on the last line between the ? and = characters.|עבור שם התחום הראשי שלך, בחר "דוגמת cron מהירה" ולאחר מכן אסימון האימות שלך הוא מחרוזת אקראית בשורה האחרונה בין התווים = ו- =.
Your current IP address is shown at the top of the Dynamic DNS screen of the LibreServer user interface. You can use the "Mass Mod" feature at the top of the "Subdomains" part of the FreeDNS site to set all of your subdomains to that IP address.|ניתן להשתמש בתכונה "Mass Mass" בחלק העליון של החלק "תת-דומיינים" של אתר ה- FreeDNS כדי להגדיר את כל תת-הדומיינים שלך לזה כתובת IP.
Select the MX entry for your main domain and change the destination to 10:mydomainname rather than 10:mail.mydomainname.|בחר את הערך MX עבור הדומיין הראשי שלך ושנה את היעד ל -10: mydomainname ולא ב- mail: mail.mydomainname.
Enter your FreeDNS login details and the authentication token on the Dynamic DNS screen of the LibreServer user interface.|הזן את פרטי ההתחברות שלך ב- FreeDNS ואת אסימון האימות במסך Dynamic DNS בממשק המשתמש של LibreServer.
To make a playlist insert a USB drive containing audio files in a directory called playlist, add a description below and then select Update|כדי ליצור רשימת השמעה, הכנס כונן USB המכיל קובצי שמע בספריה הנקראת פלייליסט, הוסף תיאור למטה ולאחר מכן בחר Update
To add music copy it to a directory called Music on a USB drive then plug it into your server and select Update|כדי להוסיף מוסיקה להעתיק אותה לספרייה שנקראת מוסיקה בכונן USB ולאחר מכן חבר אותה לשרת ובחר באפשרות עדכן
This is a wiki which stores its content in text files. Having no database makes maintaining it simpler, and it's not tied to any particular domain name so you can easily copy the files to a different domain if you need to.|זהו ויקי אשר מאחסן את התוכן של קבצי טקסט. אין מסד נתונים עושה שמירה על זה פשוט יותר, וזה לא קשור שם תחום מסוים, כך שאתה יכול בקלות להעתיק את הקבצים לתחום אחר אם אתה צריך.
Provides an easy and private way to sync calendar and contacts between devices.|מספק דרך קלה ופשוטה לסנכרן יומן ואנשי קשר בין מכשירים.
Using on mobile|שימוש בנייד
The user interface is a little misleading. Make sure that you log in with your username, not your email addres.|ממשק המשתמש הוא קצת מטעה. ודא שאתה מתחבר עם שם המשתמש שלך, לא את כתובת הדוא"ל שלך.
Also choose the advanced option and enter the subdomain that you installed etesync on.|כמו כן, בחר באפשרות המתקדמת והזן את תת-הדומיין שהתקנת ב- etesync.
This is a well known system for real time collaborative editing of documents. Just log in, choose a document title and then edit. Different users will appear in different colours, and can also chat in the sidebar. This is installed as a private system in which only users on your LibreServer server will be able to create and edit documents, so it's not open to any random users on the internet.|זוהי מערכת ידועה לעריכה משותפת בזמן אמת של מסמכים. פשוט היכנס, בחר כותרת מסמך ולאחר מכן ערוך. משתמשים שונים יופיעו בצבעים שונים, ויכולים גם לשוחח בצ'אט בסרגל הצד. זה מותקן כמו מערכת פרטית שבה רק משתמשים בשרת Freedomone שלך ​​יוכלו ליצור ולערוך מסמכים, אז זה לא פתוח לכל משתמשים אקראיים באינטרנט.
This is a federated social networking system. It can federate with other popular fediverse systems.|זוהי מערכת רשת חברתית מאוחדת. זה יכול להתאחד עם מערכות fediverse פופולריים אחרים.
This is a blogging system which has no database and only uses text files for storage.|זוהי מערכת בלוגים אשר אין מסד נתונים רק משתמש קבצי טקסט לאחסון.
This is a git hosting system. It's very similar to Github in appearance and use, is lightweight and so is well suited for use on low power ARM servers.|זוהי מערכת אירוח git. זה דומה מאוד Github במראה ושימוש, הוא קל ולכן הוא מתאים גם לשימוש על שרתי ARM כוח נמוכה.
This is a web publishing and social network system which includes wiki, web pages, photo albums and file storage. It also has nomadic identity allowing you to easily move your account between different servers and privacy controls which allow you to define who can see what content.|זהו פרסום באינטרנט ומערכת רשת חברתית הכוללת ויקי, דפי אינטרנט, אלבומי תמונות ואחסון קבצים. כמו כן יש זהות נוודית המאפשר לך להעביר בקלות את החשבון בין שרתים שונים ובקרות פרטיות המאפשרים לך להגדיר מי יכול לראות איזה תוכן.
Kanbans are one way of managing projects. They're traditionally used in businesses but can also be useful for personal TODO lists or within open source or DIY projects. If you have a list of things which need to be done and want to keep track of progress then this provides a way to do that.|Kanbans הם דרך אחת לניהול פרויקטים. הם משמשים באופן מסורתי בעסקים, אבל יכול גם להיות שימושי עבור רשימות TODO אישי או בתוך קוד פתוח או פרויקטים DIY. אם יש לך רשימה של דברים אשר צריך לעשות ורוצים לעקוב אחר התקדמות אז זה מספק דרך לעשות את זה.
The default login is username "admin" and the login password which you usually use for the web interface.|ברירת המחדל היא שם משתמש "admin" ואת סיסמת הכניסה שבה אתה בדרך כלל להשתמש עבור ממשק האינטרנט.
If you're using a Tor browser then you may need to allow javascript for the site by selecting the NoScript icon.|אם אתה משתמש בדפדפן Tor, ייתכן שיהיה עליך לאפשר JavaScript עבור האתר על ידי בחירה בסמל NoScript.
Extra users can be added from the drop down menu at the top right of the screen, under "Users management".|משתמשים נוספים ניתן להוסיף מהתפריט הנפתח בפינה השמאלית העליונה של המסך, תחת "ניהול משתמשים".
This enables you to store your music on the LibreServer server and then access it from any internet connected device.|זה מאפשר לך לאחסן את המוסיקה שלך בשרת Freedomone ולאחר מכן לגשת אליו מכל מכשיר מחובר לאינטרנט.
This is a simple and lightweight photo album for the web. Whether you're an amateur or professional photographer, or want to publish random holiday pics or cat pictures. Lychee just does what it says it does without any fuss.|זהו אלבום תמונות פשוט וקל משקל עבור האינטרנט. בין אם אתה צלם מקצועי או חובב, או רוצה לפרסם תמונות חג אקראיות או תמונות חתול. ליצ'י פשוט עושה את מה שהוא אומר זה עושה בלי שום מהומה.
This provides an webmail interface suitable for use on desktop or mobile clients and with built in support for encryption.|זה מספק ממשק דואר אלקטרוני מתאים לשימוש על שולחן העבודה או לקוחות ניידים עם תמיכה מובנית הצפנה.
This is a system for file synchronisation and also has many other plugins for calendar, videoconferencing, collaborative document editing and federated file sharing.|זוהי מערכת סינכרון קבצים ויש לו גם תוספים רבים אחרים עבור לוח שנה, ועידות וידאו, שיתוף מסמכים שיתופי שיתוף קבצים מאוחדת.
This is a video hosting system which uses webtorrent to help distribute the files to or between clients.|זוהי מערכת אירוח וידאו אשר משתמש webtorrent כדי לעזור להפיץ את הקבצים או בין לקוחות.
Use the username 'root' and your usual password to log in as the administrator. You can then change settings as needed.|השתמש בשם המשתמש 'root' ובסיסמה הרגילה שלך כדי להיכנס כמנהל המערכת. לאחר מכן תוכל לשנות את ההגדרות לפי הצורך.
This is an OStatus and ActivityPub compatible social networking server which federates with other fediverse systems. It is high-performance and so is especially well suited for running on low power single board computers without much RAM.|זהו שרת רשת חברתית התואמת ל- OStatus ו- ActivityPub, הפועלת עם מערכות fediverse אחרות. זה ביצועים גבוהים ולכן הוא מתאים במיוחד לרוץ על כוח נמוך מחשבים בודדים ללא RAM הרבה.
Since Pleroma supports the same protocols, any Mastodon client for Android should work with it.|מאז Pleroma תומך בפרוטוקולים אותו, כל לקוח Mastodon עבור אנדרואיד צריך לעבוד עם זה.
This is a fork of GNU Social which includes some extra fixes and optimisations to improve performance. It federates with other fediverse servers, such as Pleroma or Mastodon.|זהו מזלג של GNU Social הכולל כמה תיקונים נוספים ואופטימיזציה לשיפור הביצועים. זה פדרציה עם שרתי fediverse אחרים, כגון פלרומה או Mastodon.
This is an encrypted pastebin, such that the server has zero knowledge of the content. It's intended for small amounts of text less than 32K in length. It's not intended for transfering large files, or for storing pastes for more than a day.|זהו pastebin מוצפן, כך השרת יש אפס הידע של התוכן. זה מיועד כמויות קטנות של טקסט פחות מ 32K אורך. זה לא מיועד להעברת קבצים גדולים, או לאחסון משחות במשך יותר מיום.
This is a web based user interface to the Matrix federated chat system. You will need to have already installed the Matrix app for this to work.|זהו ממשק משתמש מבוסס אינטרנט למערכת מטריקס מאוחדת צ'אט. אתה צריך כבר מותקן App מטריקס זה לעבוד.
This is yet another chat system, but the server part of it isn't federated and so it's suitable for small private groups rather than for general public discussions.|זוהי עוד מערכת צ'אט, אבל חלק השרת של זה לא מאוחדת ולכן זה מתאים לקבוצות פרטיות קטנות ולא לדיונים ציבוריים.
Provides a similar capability to proprietary systems such as Dropbox, and also is well suited for use with low power single board computers. You can have one or more directories which are synchronized across your various laptops/desktops/devices, and this makes it hard for you to ever lose important files. Of course, you don't necessarily need to be running a server in order to use Syncthing, but if you do have a server which is always running then there's always at least one place to synchronize your files to or from.|מספק יכולת דומה למערכות קנייניות כגון Dropbox, וגם הוא מתאים לשימוש עם מחשבים כוח יחיד יחיד. אתה יכול לקבל ספריה אחת או יותר אשר מסונכרנים בין מחשבים ניידים / שולחנות עבודה / התקנים שונים, וזה עושה את זה קשה לך אי פעם לאבד קבצים חשובים. כמובן, אתה לא בהכרח צריך להיות מפעיל שרת כדי להשתמש Syncthing, אבל אם יש לך שרת שבו הוא תמיד פועל אז תמיד יש לפחות מקום אחד כדי לסנכרן את הקבצים שלך או ממנה.
On a Debian based system:|במערכת מבוססת דביאן:
Or on Android search for the Syncthing app.|או בחיפוש Android עבור האפליקציה Syncthing.
Using the settings button within the LibreServer web interface for the Syncthing app you can then paste in any IDs for other devices. They will then sync with your server.|באמצעות כפתור הגדרות בממשק האינטרנט LibreServer עבור היישום Syncthing אתה יכול להדביק את כל מזהי עבור התקנים אחרים. לאחר מכן הם יסונכרנו עם השרת שלך.
A system for privately creating and sharing notes and images, similar to Evernote. It can be set up so that a small number of users on the server can share their notes in a convenient way. It doesn't have any web user interface, and you need to install native clients on mobile or laptop/desktop machines.|מערכת ליצירה ושיתוף של הערות ותמונות, בדומה לאוורנוטה. זה יכול להיות מוגדר כך מספר קטן של משתמשים בשרת יכול לשתף את ההערות שלהם בצורה נוחה. זה לא צריך כל ממשק משתמש באינטרנט, ואתה צריך להתקין את הילידים על מחשבים ניידים או ניידים / שולחן העבודה.
Since the data at rest is stored in PGP encrypted format this is a good system to use in cases where security really is a critical factor.|מאז הנתונים במנוחה מאוחסן בפורמט PGP מוצפן זו מערכת טובה לשימוש במקרים בהם האבטחה היא באמת גורם קריטי.
Go to https://turtlapp.com/download and you'll then be able to download the appropriate app for your laptop or phone.|עבור אל https://turtlapp.com/download ותוכל להוריד את האפליקציה המתאימה למחשב הנייד או לטלפון שלך.
Run the downloaded native app then at the bottom of the screen select "advanced settings" and enter your turl domain name, then register a new account. The password can be anything you choose, but since the client side encryption depends upon having a good password make it a long random string generated by a password manager such as KeepassX.|הפעל את היישום המקורי שהורד ולאחר מכן בתחתית המסך בחר "הגדרות מתקדמות" והזן את שם הדומיין שלך בטורל, ולאחר מכן רשום חשבון חדש. הסיסמה יכולה להיות כל דבר שתבחר, אבל מאז הצפנת בצד הלקוח תלויה עם סיסמה טובה לעשות את זה מחרוזת אקראית ארוכה שנוצר על ידי מנהל סיסמאות כגון KeepassX.
You should then be able to log in and start using the app. You might also want to invite any other users of your LibreServer system to also sign up using the turtl domain name which you specified during installation.|לאחר מכן תוכל להיכנס ולהתחיל להשתמש באפליקציה. מומלץ גם להזמין משתמשים אחרים של מערכת LibreServer שלך ​​גם להירשם באמצעות שם הדומיין צב אשר ציינת במהלך ההתקנה.
Disabling new registrations|השבתת רישומים חדשים
Once you have set up the server with however many users are needed you can then disable any new registrations by selecting Turtl on the LibreServer web interface and going to the settings screen.|לאחר שהגדרת את השרת עם כמה משתמשים רבים נדרשים אתה יכול להשבית כל רישומים חדשים על ידי בחירת Turtl בממשק האינטרנט LibreServer ו הולך למסך ההגדרות.
This is similar to Hubzilla but with a reduced range of features concentrating exclusively upon social networking with the latest version of the Zot protocol. Nomadic identity is supported, so to can export your channels and import them on other servers if necessary, without losing followers.|זה דומה Hubzilla אבל עם מגוון מופחת של תכונות להתרכז אך ורק ברשת החברתית עם הגרסה העדכנית ביותר של פרוטוקול זוט. זהות נומדית נתמכת, כך שניתן לייצא את הערוצים שלך ולייבא אותם בשרתים אחרים במידת הצורך, מבלי לאבד את העוקבים.
The first account you register will be the administrator user, and from there you can go to the admin settings and disable new registrations if needed.|החשבון הראשון שתירשם יהיה המשתמש המנהל, ומשם אתה יכול ללכת להגדרות מנהל ולהשבית רישומים חדשים במידת הצורך.
To find other users to follow select "directory" from the drop down menu at the top right of the screen and set "this site only" to "no".|כדי למצוא משתמשים אחרים כדי לעקוב אחר בחר "ספרייה" מהתפריט הנפתח בפינה השמאלית העליונה של המסך ולהגדיר "אתר זה בלבד" ל "לא".
There is an Android app available called Nomad.|יש אפליקציית Android זמינה בשם Nomad.
End-to-end encrypted sync of calendar and contacts between devices|סינכרון מוצפן מקצה לקצה של לוח שנה ואנשי קשר בין התקנים
Secure, end-to-end encrypted and journaled personal information cloud synchronization for Android and the desktop, supporting contacts and calendars|סינכרון ענן מאובטחת, מקצה לקצה, מסונכרן ויישומון של מידע אישי עבור Android ושולחן העבודה, תמיכה ביומנים ובלוחות שנה
Nomadic social network server|Nomadic שרת רשת חברתית
Change background|שנה רקע
Diagnostics|אבחון
Please wait while your app is installing|המתן בזמן שהאפליקציה שלך מותקנת
The app could not be installed|לא ניתן להתקין את האפליקציה
Add a new member|הוסף חבר חדש
Kanban focussed on simplicity and minimalism|Kanban התמקד בפשטות מינימליזם
Emails, chat or social network posts will be blocked if they contain the following words or phrases|הודעות אימייל, צ'אט או רשתות חברתיות ייחסמו אם הן מכילות את המילים או הביטויים הבאים
Muted words|מילים שהושתקו
Disk space is getting too low. Installation stopped.|שטח הדיסק מתחיל להיות נמוך מדי. ההתקנה הופסקה.
Password changed|סיסמא שונתה
Play media from any UPNP/DLNA device on your local network|הפעל מדיה מכל התקן UPNP / DLNA ברשת המקומית
This allows you to play media on any DLNA supporting device within your local network.|זה מאפשר לך לנגן מדיה על כל התקן תומך DLNA ברשת המקומית.
No Access Control|אין בקרת גישה
DLNA doesn't have any access controls, so keep in mind that anyone with a mobile device or laptop within your local network is potentially able to play any media on the server. Hence this may not be suitable for situations where you want parental control over what media can be accessed.|ל- DLNA אין פקדי גישה, לכן זכרו שכל מי שיש לו מכשיר נייד או מחשב נייד ברשת המקומית שלכם מסוגל להפעיל כל מדיה בשרת. לכן זה לא יכול להיות מתאים למצבים שבהם אתה רוצה בקרת הורים על איזה מדיה ניתן לגשת.
Adding Media|הוספת מדיה
You can add media by selecting the settings button from the DLNA app.|ניתן להוסיף מדיה על ידי בחירה בלחצן ההגדרות מיישום DLNA.
Your homepage can also be accessed with a Tor browser on:|ניתן לגשת לדף הבית שלך גם באמצעות דפדפן Tor ב:
Chat|צ'אט
Media|מדיה
Social|חברתי
Sync|סנכרון
Publishing|הוצאה לאור
Other|אחר
Recommended Firefox Add-ons:|תוספים מומלצים לפיירפוקס:
Change your default domain name|שנה את שם הדומיין המוגדר כברירת מחדל
Do you want to change your default domain name to:|האם ברצונך לשנות את שם דומיין ברירת המחדל שלך ל:
rsync failed|rsync נכשל
For most purposes Syncthing is an easier file synchronization system, but rsync is still a reliable solution if you prefer to do things the more traditional way or if you just want to create a mirror from an existing rsync server.|עבור רוב המטרות Syncthing היא מערכת סינכרון קבצים קלה יותר, אבל rsync הוא עדיין פתרון אמין אם אתה מעדיף לעשות דברים בדרך המסורתית יותר או אם אתה רק רוצה ליצור מראה משרת rsync הקיים.
Rsync is unencrypted but can be used via an onion address for transport security. If you are using it via your domain name then third parties will be able to see the content, but this may not matter if you are synchronizing already public files, such as GNU/Linux distro downloads.|Rsync אינו מוצפן, אך ניתן להשתמש בו באמצעות כתובת בצל לאבטחת תחבורה. אם אתה משתמש בו באמצעות שם התחום שלך, צדדים שלישיים יוכלו לראות את התוכן, אבל זה לא משנה אם אתה מסנכרן קבצים ציבוריים כבר, כגון הורדות גנו / לינוקס הפצה.
Avoid using this for private data, unless you are exclusively using rsync via the onion address.|הימנע משימוש זה עבור נתונים פרטיים, אלא אם אתה משתמש באופן בלעדי באמצעות rsync באמצעות כתובת בצל.
Creating a Mirror|יצירת מראה
Select the Settings button then enter the domain and module name for the mirror. From then on synchronization will happen once per day.|בחר בלחצן הגדרות ולאחר מכן הזן את שם הדומיין והמודול עבור המראה. מכאן ואילך על סנכרון יקרה פעם ביום.
Local Sync|סנכרון מקומי
If you created a mirror to your server you can then sync those files to other machines or devices on your local network as follows:|אם יצרת מראה לשרת שלך, תוכל לסנכרן קבצים אלה למכונות או התקנים אחרים ברשת המקומית באופן הבא:
If "libreserver" doesn't work then you can substitute the local IP address of your server.|אם "libreserver" לא עובד אז אתה יכול להחליף את כתובת ה- IP המקומית של השרת שלך.
Create a mirror of public files|צור מראה של קבצים ציבוריים
The domain name could not be changed|לא ניתן לשנות את שם הדומיין
This might be because you do not have ports 80 and 443 forwarded to the server.|ייתכן שהדבר נובע מכך שאין ברשותך יציאות 80 ו -443 מועברות לשרת.
Check the port forwarding settings on your internet router.|בדוק את הגדרות העברת הנמל בנתב האינטרנט שלך.
Please specify a domain name which will be used for your email or XMPP address.|ציין שם דומיין שישמש לאימייל או לכתובת XMPP.
Please forward the following ports from your internet router:|העבר את היציאות הבאות מהנתב שלך לאינטרנט:
Search for 'Barcode Scanner', then select 'install'|חפש 'ברקוד סורק', ולאחר מכן בחר 'להתקין'
Download the DarkMessenger apk file via the link below, preferably using a Tor based browser, then install it|הורד את קובץ ה- apk של DarkMessenger דרך הקישור שלהלן, רצוי להשתמש בדפדפן מבוסס Tor, ולאחר מכן התקן אותו
Run DarkMessenger and the initial account setup will be shown. DarkMessenger only allows onion addresses to be used to create accounts|הפעל את DarkMessenger והגדרת החשבון הראשונית תוצג. DarkMessenger רק מאפשר כתובות בצל לשמש ליצירת חשבונות
You can obtain your onion XMPP address from the Members section within the web interface, usually at http://libreserver/admin or http://libreserver.local/admin. If you can't easily copy and paste it into the account setup within DarkMessenger then you can use the barcode scanner on the QRcode displayed|אתה יכול לקבל את הבצל XMPP כתובת מתוך סעיף חברים בממשק האינטרנט, בדרך כלל ב http: // libreserver / admin או http: //libreserver.local/admin. אם אתה לא יכול בקלות להעתיק ולהדביק אותו לתוך הגדרת החשבון בתוך DarkMessenger אז אתה יכול להשתמש סורק ברקוד על QRcode מוצג
Enter the password which you stored during initial setup of the system and also the onion domain|הזן את הסיסמה שאחסנת במהלך ההתקנה הראשונית של המערכת וגם את תחום הבצל
You should now be able to connect to your onion XMPP account and set an avatar image if necessary|כעת אתה אמור להיות מסוגל להתחבר לחשבון XMPP הבצל שלך ולהגדיר תמונה אווטר אם יש צורך
