About|Sobre
You can now go back to the initial Conversations app screen and start using it. You'll probably want to add contacts using the icon at the bottom right. For more information see the Conversations website (conversations.im) or subscribe to the chat group conversations@conference.siacs.eu|Agora você pode voltar para a tela inicial do aplicativo Conversas e começar a usá-lo. Você provavelmente desejará adicionar contatos usando o ícone no canto inferior direito. Para mais informações, consulte o site Conversations (conversations.im) ou inscreva-se no chat chat conversations@conference.siacs.eu
You can now log in with:|Agora você pode fazer o login com:
You can see upgrade progress|Você pode ver o progresso da atualização
You can use left and right cursor keys to move through pages|Você pode usar as teclas esquerda e direita do cursor para percorrer as páginas
You may also want to make another entry with the same settings but replacing tcp with udp.|Você também pode querer fazer outra entrada com as mesmas configurações, mas substituindo tcp por udp.
You may now remove the USB drive|Agora você pode remover o drive USB
You might have mistyped one of them|Você pode ter digitado errado um deles
You will see the translations file with some instructions at the top.|Você verá o arquivo de traduções com algumas instruções no topo.
Your password must be at least 8 characters in length and only use the characters a-z A-Z and 0-9|Sua senha deve ter pelo menos 8 caracteres e usar apenas os caracteres a-z A-Z e 0-9
Zero knowledge pastebin|Conhecimento zero pastebin
Theme|Tema
Light|Luz
Dark|Sombrio
Mail|Enviar
Clear|Claro
Send email through a proxy|Enviar email por meio de um proxy
If you find that you can't send out email and that you get 'failed delivery' messages returned instead then you may be able to proxy sent emails through another server. Sometimes ISPs or companies provide an SMTP server which can do this.|Hvis du finner está usando um ikke kan no seu próprio e-mail e um post no sistema de alavancagem, como o proxy do cliente através do e-mail via e-mail no servidor. Às vezes, os provedores de serviços de Internet e de servidores SMTP morrem no ken doen.
Failed to install. For details see admin/applog.txt|Falha na instalação. Para detalhes, veja admin/applog.txt
Installed successfully|Instalado com sucesso
pihole|pihole
Unlike browser based ad blockers, pihole works at the domain name resolution level to block domains known to privide the ads appearing in web pages.|Diferentemente dos bloqueadores de anúncios com base no navegador, o pihole funciona no nível de resolução de nome de domínio para bloquear domínios conhecidos como privados dos anúncios exibidos em páginas da Web.
Set your DNS IP address to the one shown and many ads will get blocked even before they're delivered to your laptop or mobile device. This can save a lot of bandwidth and generally speed up the loading of websites.| Defina o seu endereço IP de DNS para o mostrado e muitos anúncios serão bloqueados, mesmo antes de serem entregues ao seu laptop ou dispositivo móvel. Isso pode economizar muita largura de banda e geralmente acelerar o carregamento de sites.
Change DNS on your internet router| Alterar o DNS no seu roteador de internet
If your internet router allows you to change the DNS IP address then this is the best way to use pihole because it will then provide coverage for all of the devices and computers in your home.|Se o seu roteador de internet permitir que você altere o endereço IP do DNS, essa é a melhor maneira de usar o pihole, pois ele fornecerá cobertura para todos os dispositivos e computadores da sua casa.
Change DNS on individual devices|Alterar o DNS em dispositivos individuais
If you can't change your internet router's DNS then you can do that on individual GNU/Linux systems as follows:| Se você não pode mudar o DNS do seu roteador de internet, então você pode fazer isso em sistemas GNU/Linux individuais da seguinte forma:
Remove or comment out any existing nameservers and add one with the IP address shown for the pihole app. Something like:|Remova ou comente quaisquer servidores de nomes existentes e adicione um com o endereço IP mostrado para o aplicativo pihole. Algo como:
Then save and exit and prevent the file from being automatically changed with:| Em seguida, salve e saia e evite que o arquivo seja alterado automaticamente com:
If you're running the standard version of LibreServer (not the onion version) then you may need to modify your hosts file to access your own domain.|Se você estiver executando a versão padrão do LibreServer (não a versão de cebola), talvez seja necessário modificar seu arquivo hosts para acessar seu próprio domínio.
Then add something like:|Em seguida, adicione algo como:
This only works when you're within your home network, so if you're outside of your home then undo the changes made above.|Isso só funciona quando você está em sua rede doméstica, portanto, se você estiver fora de sua casa, desfaça as alterações feitas acima.
The Pi-hole is a DNS sinkhole that protects your devices from unwanted content, without installing any client-side software.|O Pi-hole é um sumidouro de DNS que protege seus dispositivos contra conteúdo indesejado, sem instalar nenhum software do lado do cliente.
Search|Procurar
removed|Removido
To get email working you will need to forward some ports. Email using your onion address will work anyway, so long as you are contacting other onion based email addresses.|Para que o e-mail funcione, você precisará encaminhar algumas portas. O e-mail que usa seu endereço da cebola funcionará de qualquer maneira, contanto que você entre em contato com outros endereços de e-mail baseados em cebola.
Forward ports 25, 587 and 465 from your internet router|Encaminhar as portas 25, 587 e 465 do seu roteador de internet
To access cryptpad you'll need to use a Tor browser. Navigate to the URL and enable javascript for the site under the NoScript icon. The screen will be blank for a few seconds while it's downloading the application into your browser.|Para acessar o cryptpad você precisará usar um navegador Tor. Navegue até a URL e habilite o javascript para o site sob o ícone NoScript A tela ficará em branco por alguns segundos enquanto ele estiver baixando o aplicativo no seu navegador.
Cryptpad is an almost peer-to-peer application. No data is stored on the server, which only does minimal orchestration between the clients. If an adversary subsequently obtains the server they still learn nothing.|O Cryptpad é uma aplicação quase peer-to-peer.Nenhum dado é armazenado no servidor, o que só faz uma orquestração mínima entre os clientes.Se um adversário obtém subsequentemente o servidor, ele ainda não aprende nada.
Authentication Token|Token de Autenticação
This is only needed if you're using FreeDNS. Otherwise you can leave it blank.|Isso só é necessário se você estiver usando o FreeDNS, senão você pode deixar em branco.
On the site where you obtained your domain name set up some custom nameservers as follows:|No site em que você obteve seu nome de domínio, configure alguns servidores de nomes personalizados da seguinte maneira:
On the FreeDNS site go to the "Dynamic DNS" section and make sure that "link updates of the same IP together" is set to ON.|No site do FreeDNS, vá para a seção "DNS dinâmico" e certifique-se de que "atualizações de link do mesmo IP juntas" estejam definidas como ON.
For your main domain name select "quick cron example" and then your authentication token is the random string on the last line between the ? and = characters.|Para seu nome de domínio principal, selecione "quick cron example" e, em seguida, seu token de autenticação é a string aleatória na última linha entre os caracteres? E =.
Your current IP address is shown at the top of the Dynamic DNS screen of the LibreServer user interface. You can use the "Mass Mod" feature at the top of the "Subdomains" part of the FreeDNS site to set all of your subdomains to that IP address.|Você pode usar o recurso "Mass Mod" no topo da parte "Subdomínios" do site do FreeDNS para definir todos os seus subdomínios para aquele Endereço IP.
Select the MX entry for your main domain and change the destination to 10:mydomainname rather than 10:mail.mydomainname.|Selecione a entrada MX para seu domínio principal e altere o destino para 10: mydomainname em vez de 10: mail.mydomainname.
Enter your FreeDNS login details and the authentication token on the Dynamic DNS screen of the LibreServer user interface.|Digite seus detalhes de login do FreeDNS e o token de autenticação na tela DNS dinâmico da interface do usuário do LibreServer.
To make a playlist insert a USB drive containing audio files in a directory called playlist, add a description below and then select Update|Para criar uma lista de reprodução, insira uma unidade USB que contenha arquivos de áudio em um diretório chamado playlist, adicione uma descrição abaixo e selecione Atualizar.
To add music copy it to a directory called Music on a USB drive then plug it into your server and select Update|Para adicionar música, copie-a para um diretório chamado Música em uma unidade USB, conecte-a ao seu servidor e selecione Atualizar.
This is a wiki which stores its content in text files. Having no database makes maintaining it simpler, and it's not tied to any particular domain name so you can easily copy the files to a different domain if you need to.|Este é um wiki que armazena seu conteúdo em arquivos de texto. Não ter nenhum banco de dados torna a manutenção mais simples, e ele não está vinculado a nenhum nome de domínio específico, portanto, é possível copiar facilmente os arquivos para um domínio diferente, se necessário.
Provides an easy and private way to sync calendar and contacts between devices.|Fornece uma maneira fácil e particular de sincronizar calendário e contatos entre dispositivos.
Using on mobile|Usando no celular
The user interface is a little misleading. Make sure that you log in with your username, not your email addres.|A interface do usuário é um pouco enganosa. Certifique-se de fazer login com seu nome de usuário, não com seus endereços de e-mail.
Also choose the advanced option and enter the subdomain that you installed etesync on.|Escolha também a opção avançada e insira o subdomínio no qual você instalou o etesync.
This is a well known system for real time collaborative editing of documents. Just log in, choose a document title and then edit. Different users will appear in different colours, and can also chat in the sidebar. This is installed as a private system in which only users on your LibreServer server will be able to create and edit documents, so it's not open to any random users on the internet.|Este é um sistema bem conhecido para edição colaborativa em tempo real de documentos. Faça o login, escolha o título do documento e edite. Usuários diferentes aparecerão em cores diferentes e também poderão conversar na barra lateral. Este é instalado como um sistema privado no qual apenas os usuários do seu servidor LibreServer poderão criar e editar documentos, portanto, ele não está aberto a usuários aleatórios na Internet.
This is a federated social networking system. It can federate with other popular fediverse systems.|Este é um sistema de rede social federado. Pode federar com outros sistemas populares da fediverse.
This is a blogging system which has no database and only uses text files for storage.|Este é um sistema de blog que não possui banco de dados e usa apenas arquivos de texto para armazenamento.
This is a git hosting system. It's very similar to Github in appearance and use, is lightweight and so is well suited for use on low power ARM servers.|Este é um sistema de hospedagem git. É muito semelhante ao Github na aparência e uso, é leve e, portanto, é adequado para uso em servidores ARM de baixa potência.
This is a web publishing and social network system which includes wiki, web pages, photo albums and file storage. It also has nomadic identity allowing you to easily move your account between different servers and privacy controls which allow you to define who can see what content.|Este é um sistema de publicação na web e de redes sociais que inclui wiki, páginas da web, álbuns de fotos e armazenamento de arquivos. Ele também possui uma identidade nômade que permite que você mova facilmente sua conta entre diferentes servidores e controles de privacidade que permitem definir quem pode ver qual conteúdo.
Kanbans are one way of managing projects. They're traditionally used in businesses but can also be useful for personal TODO lists or within open source or DIY projects. If you have a list of things which need to be done and want to keep track of progress then this provides a way to do that.|Kanbans são uma maneira de gerenciar projetos. Eles são tradicionalmente usados ​​em empresas, mas também podem ser úteis para listas TODO pessoais ou em projetos de código aberto ou DIY. Se você tem uma lista de coisas que precisam ser feitas e quer acompanhar o progresso, isso fornece uma maneira de fazer isso.
The default login is username "admin" and the login password which you usually use for the web interface.|O login padrão é o nome de usuário "admin" e a senha de login que você geralmente usa para a interface da web.
If you're using a Tor browser then you may need to allow javascript for the site by selecting the NoScript icon.|Se você estiver usando um navegador Tor, talvez seja necessário permitir o javascript para o site, selecionando o ícone NoScript.
Extra users can be added from the drop down menu at the top right of the screen, under "Users management".|Usuários extras podem ser adicionados no menu suspenso no canto superior direito da tela, em "Gerenciamento de usuários".
This enables you to store your music on the LibreServer server and then access it from any internet connected device.|Isso permite armazenar suas músicas no servidor LibreServer e depois acessá-las de qualquer dispositivo conectado à Internet.
This is a simple and lightweight photo album for the web. Whether you're an amateur or professional photographer, or want to publish random holiday pics or cat pictures. Lychee just does what it says it does without any fuss.|Este é um álbum de fotos simples e leve para a web. Seja você um fotógrafo amador ou profissional, ou queira publicar fotos aleatórias de feriados ou fotos de gatos. A lichia faz o que diz sem complicações.
This provides an webmail interface suitable for use on desktop or mobile clients and with built in support for encryption.|Isso fornece uma interface de webmail adequada para uso em computadores ou clientes móveis e com suporte embutido para criptografia.
This is a system for file synchronisation and also has many other plugins for calendar, videoconferencing, collaborative document editing and federated file sharing.|Este é um sistema para sincronização de arquivos e também possui muitos outros plugins para calendário, videoconferência, edição colaborativa de documentos e compartilhamento de arquivos federados.
This is a video hosting system which uses webtorrent to help distribute the files to or between clients.|Este é um sistema de hospedagem de vídeo que usa o webtorrent para ajudar a distribuir os arquivos para ou entre os clientes.
Use the username 'root' and your usual password to log in as the administrator. You can then change settings as needed.|Use o nome de usuário 'root' e sua senha usual para fazer login como administrador. Você pode alterar as configurações conforme necessário.
This is an OStatus and ActivityPub compatible social networking server which federates with other fediverse systems. It is high-performance and so is especially well suited for running on low power single board computers without much RAM.|Este é um servidor de rede social compatível com OStatus e ActivityPub que se associa a outros sistemas fediverse. Ele é de alto desempenho e, portanto, é especialmente adequado para rodar em computadores de placa única de baixa potência sem muita memória RAM.
Since Pleroma supports the same protocols, any Mastodon client for Android should work with it.|Como o Pleroma suporta os mesmos protocolos, qualquer cliente Mastodon para Android deve trabalhar com ele.
This is a fork of GNU Social which includes some extra fixes and optimisations to improve performance. It federates with other fediverse servers, such as Pleroma or Mastodon.|Esta é uma bifurcação do GNU Social, que inclui algumas correções extras e otimizações para melhorar o desempenho. Ele se associa a outros servidores fediverse, como o Pleroma ou Mastodon.
This is an encrypted pastebin, such that the server has zero knowledge of the content. It's intended for small amounts of text less than 32K in length. It's not intended for transfering large files, or for storing pastes for more than a day.|Este é um pastebin criptografado, de tal forma que o servidor tem conhecimento zero do conteúdo. É destinado a pequenas quantidades de texto com menos de 32K de comprimento. Não se destina à transferência de arquivos grandes ou ao armazenamento de pastas por mais de um dia.
This is a web based user interface to the Matrix federated chat system. You will need to have already installed the Matrix app for this to work.|Esta é uma interface de usuário baseada na web para o sistema de bate-papo federado Matrix. Você precisará já ter instalado o aplicativo Matrix para que isso funcione.
This is yet another chat system, but the server part of it isn't federated and so it's suitable for small private groups rather than for general public discussions.|Este é mais um sistema de bate-papo, mas a parte do servidor não é federada e, portanto, é adequada para pequenos grupos privados, e não para discussões públicas gerais.
Provides a similar capability to proprietary systems such as Dropbox, and also is well suited for use with low power single board computers. You can have one or more directories which are synchronized across your various laptops/desktops/devices, and this makes it hard for you to ever lose important files. Of course, you don't necessarily need to be running a server in order to use Syncthing, but if you do have a server which is always running then there's always at least one place to synchronize your files to or from.|Fornece um recurso semelhante aos sistemas proprietários, como o Dropbox, e também é adequado para uso com computadores de placa única de baixo consumo. Você pode ter um ou mais diretórios que são sincronizados em seus vários laptops / desktops / dispositivos, e isso dificulta a perda de arquivos importantes. É claro que você não precisa necessariamente executar um servidor para usar o Syncthing, mas se você tiver um servidor que esteja sempre em execução, sempre haverá pelo menos um lugar para sincronizar seus arquivos.
On a Debian based system:|Em um sistema baseado no Debian:
Or on Android search for the Syncthing app.|Ou no Android, pesquise pelo aplicativo Syncthing.
Using the settings button within the LibreServer web interface for the Syncthing app you can then paste in any IDs for other devices. They will then sync with your server.|Usando o botão de configurações dentro da interface web do LibreServer para o aplicativo Syncthing, você pode colar quaisquer IDs para outros dispositivos. Eles serão sincronizados com o seu servidor.
A system for privately creating and sharing notes and images, similar to Evernote. It can be set up so that a small number of users on the server can share their notes in a convenient way. It doesn't have any web user interface, and you need to install native clients on mobile or laptop/desktop machines.|Um sistema para criar e compartilhar de forma privada notas e imagens, semelhante ao Evernote. Ele pode ser configurado de forma que um pequeno número de usuários no servidor possa compartilhar suas anotações de maneira conveniente. Ele não tem nenhuma interface de usuário da web e você precisa instalar clientes nativos em máquinas móveis ou de laptop / desktop.
Since the data at rest is stored in PGP encrypted format this is a good system to use in cases where security really is a critical factor.|Como os dados em repouso são armazenados em formato criptografado por PGP, esse é um bom sistema para usar nos casos em que a segurança é realmente um fator crítico.
Go to https://turtlapp.com/download and you'll then be able to download the appropriate app for your laptop or phone.|Vá para https://turtlapp.com/download e você poderá baixar o aplicativo apropriado para seu laptop ou telefone.
Run the downloaded native app then at the bottom of the screen select "advanced settings" and enter your turl domain name, then register a new account. The password can be anything you choose, but since the client side encryption depends upon having a good password make it a long random string generated by a password manager such as KeepassX.|Execute o aplicativo nativo baixado e, na parte inferior da tela, selecione "configurações avançadas" e insira seu nome de domínio turl. Em seguida, registre uma nova conta. A senha pode ser qualquer coisa que você escolher, mas como a criptografia do lado do cliente depende de ter uma boa senha, crie uma longa cadeia aleatória gerada por um gerenciador de senhas, como o KeepassX.
You should then be able to log in and start using the app. You might also want to invite any other users of your LibreServer system to also sign up using the turtl domain name which you specified during installation.|Você deve então poder fazer login e começar a usar o aplicativo. Você também pode convidar outros usuários do seu sistema LibreServer para também se inscrever usando o nome de domínio turtl que você especificou durante a instalação.
Disabling new registrations|Desativando novos registros
Once you have set up the server with however many users are needed you can then disable any new registrations by selecting Turtl on the LibreServer web interface and going to the settings screen.|Uma vez que você tenha configurado o servidor com quantos usuários forem necessários, você poderá desabilitar quaisquer novos registros selecionando Turtl na interface web do LibreServer e indo para a tela de configurações.
This is similar to Hubzilla but with a reduced range of features concentrating exclusively upon social networking with the latest version of the Zot protocol. Nomadic identity is supported, so to can export your channels and import them on other servers if necessary, without losing followers.|Isso é semelhante ao Hubzilla, mas com uma gama reduzida de recursos concentrados exclusivamente nas redes sociais com a versão mais recente do protocolo Zot. A identidade nômade é suportada, portanto, você pode exportar seus canais e importá-los em outros servidores, se necessário, sem perder seguidores.
The first account you register will be the administrator user, and from there you can go to the admin settings and disable new registrations if needed.|A primeira conta registrada por você será o usuário administrador e, a partir daí, você pode acessar as configurações do administrador e desativar novos registros, se necessário.
To find other users to follow select "directory" from the drop down menu at the top right of the screen and set "this site only" to "no".|Para localizar outros usuários, selecione "diretório" no menu suspenso no canto superior direito da tela e defina "somente este site" como "não".
There is an Android app available called Nomad.|Existe um aplicativo Android disponível chamado Nomad.
End-to-end encrypted sync of calendar and contacts between devices|Sincronização criptografada de ponta a ponta do calendário e contatos entre dispositivos
Secure, end-to-end encrypted and journaled personal information cloud synchronization for Android and the desktop, supporting contacts and calendars|Sincronização de nuvem de informações pessoais segura, criptografada de ponta a ponta e registrada para o Android e a área de trabalho, suportando contatos e calendários
Nomadic social network server|Servidor de rede social nômade
Change background|Mude o fundo
Diagnostics|Diagnóstico
Please wait while your app is installing|Aguarde enquanto seu aplicativo está instalando
The app could not be installed|O aplicativo não pôde ser instalado
Add a new member|Adicione um novo membro
Kanban focussed on simplicity and minimalism|Kanban focado na simplicidade e minimalismo
Emails, chat or social network posts will be blocked if they contain the following words or phrases|Mensagens de e-mail, bate-papo ou redes sociais serão bloqueadas se contiverem as seguintes palavras ou frases
Muted words|Palavras silenciadas
Disk space is getting too low. Installation stopped.|O espaço em disco está ficando muito baixo. Instalação parada.
Password changed|Senha alterada
Play media from any UPNP/DLNA device on your local network|Reproduza mídia de qualquer dispositivo UPNP / DLNA na sua rede local
This allows you to play media on any DLNA supporting device within your local network.|Isso permite que você reproduza mídia em qualquer dispositivo de suporte DLNA em sua rede local.
No Access Control|Sem controle de acesso
DLNA doesn't have any access controls, so keep in mind that anyone with a mobile device or laptop within your local network is potentially able to play any media on the server. Hence this may not be suitable for situations where you want parental control over what media can be accessed.|O DLNA não possui nenhum controle de acesso, portanto, lembre-se de que qualquer pessoa que tenha um dispositivo móvel ou laptop em sua rede local poderá, potencialmente, reproduzir qualquer mídia no servidor. Portanto, isso pode não ser adequado para situações em que você deseja o controle dos pais sobre qual mídia pode ser acessada.
Adding Media|Adicionando Mídia
You can add media by selecting the settings button from the DLNA app.|Você pode adicionar mídia selecionando o botão de configurações no aplicativo DLNA.
Your homepage can also be accessed with a Tor browser on:|Sua homepage também pode ser acessada com um navegador Tor em:
Chat|Bate-papo
Media|Mídia
Social|Social
Sync|Sincronizar
Publishing|Publicação
Other|Outro
Recommended Firefox Add-ons:|Complementos recomendados para o Firefox:
Change your default domain name|Alterar seu nome de domínio padrão
Do you want to change your default domain name to:|Você deseja alterar seu nome de domínio padrão para:
rsync failed|rsync falhou
For most purposes Syncthing is an easier file synchronization system, but rsync is still a reliable solution if you prefer to do things the more traditional way or if you just want to create a mirror from an existing rsync server.|Para a maioria das finalidades, o Syncthing é um sistema de sincronização de arquivos mais fácil, mas o rsync ainda é uma solução confiável se você preferir fazer as coisas da maneira mais tradicional ou se quiser apenas criar um espelho a partir de um servidor rsync existente.
Rsync is unencrypted but can be used via an onion address for transport security. If you are using it via your domain name then third parties will be able to see the content, but this may not matter if you are synchronizing already public files, such as GNU/Linux distro downloads.|O Rsync não é criptografado, mas pode ser usado por meio de um endereço da cebola para segurança do transporte. Se você estiver usando-o através do seu nome de domínio, então terceiros poderão ver o conteúdo, mas isso pode não importar se você estiver sincronizando arquivos já públicos, como os downloads de distro do GNU / Linux.
Avoid using this for private data, unless you are exclusively using rsync via the onion address.|Evite usar isso para dados privados, a menos que você esteja usando exclusivamente o rsync através do endereço da cebola.
Creating a Mirror|Criando um Espelho
Select the Settings button then enter the domain and module name for the mirror. From then on synchronization will happen once per day.|Selecione o botão Configurações e insira o nome do domínio e do módulo para o espelho. A partir de então, a sincronização ocorrerá uma vez por dia.
Local Sync|Sincronização local
If you created a mirror to your server you can then sync those files to other machines or devices on your local network as follows:|Se você criou um espelho para o servidor, poderá sincronizar esses arquivos com outras máquinas ou dispositivos em sua rede local da seguinte maneira:
If "libreserver" doesn't work then you can substitute the local IP address of your server.|Se "libreserver" não funcionar, você poderá substituir o endereço IP local do seu servidor.
Create a mirror of public files|Crie um espelho de arquivos públicos
The domain name could not be changed|O nome do domínio não pôde ser alterado
This might be because you do not have ports 80 and 443 forwarded to the server.|Isso pode ser porque você não tem as portas 80 e 443 encaminhadas para o servidor.
Check the port forwarding settings on your internet router.|Verifique as configurações de encaminhamento de porta em seu roteador de internet.
Please specify a domain name which will be used for your email or XMPP address.|Por favor, especifique um nome de domínio que será usado para o seu endereço de e-mail ou XMPP.
Please forward the following ports from your internet router:|Por favor, envie as seguintes portas do seu roteador de internet:
Search for 'Barcode Scanner', then select 'install'|Procure por 'Barcode Scanner' e selecione 'instalar'
Download the DarkMessenger apk file via the link below, preferably using a Tor based browser, then install it|Baixe o arquivo apk DarkMessenger através do link abaixo, de preferência usando um navegador baseado em Tor, em seguida, instalá-lo
Run DarkMessenger and the initial account setup will be shown. DarkMessenger only allows onion addresses to be used to create accounts|Execute o DarkMessenger e a configuração inicial da conta será mostrada. O DarkMessenger permite apenas que endereços de cebola sejam usados ​​para criar contas
You can obtain your onion XMPP address from the Members section within the web interface, usually at http://libreserver/admin or http://libreserver.local/admin. If you can't easily copy and paste it into the account setup within DarkMessenger then you can use the barcode scanner on the QRcode displayed|Você pode obter o endereço XMPP de sua cebola na seção Members da interface da Web, geralmente em http: // libreserver / admin ou http: //libreserver.local/admin. Se você não pode copiá-lo e colá-lo facilmente na configuração da conta no DarkMessenger, então você pode usar o scanner de código de barras no QRcode exibido
Enter the password which you stored during initial setup of the system and also the onion domain|Digite a senha que você armazenou durante a configuração inicial do sistema e também o domínio da cebola
You should now be able to connect to your onion XMPP account and set an avatar image if necessary|Agora você deve poder se conectar à sua conta XMPP de cebola e definir uma imagem de avatar, se necessário
When sending or receiving pictures or other attachments for the first time you will need to accept the self-signed certificates. Select 'always' twice. This should only happen once per contact|Ao enviar ou receber fotos ou outros anexos pela primeira vez, você precisará aceitar os certificados auto-assinados. Selecione "sempre" duas vezes. Isso só deve acontecer uma vez por contato
Under Settings/Expert you may want to change the automatic message deletion period. By default this is one day|Em Configurações / Especialista, você pode querer alterar o período de exclusão automática de mensagens. Por padrão, este é um dia
When setting up a group chat first ensure that you have separately confirmed two way messaging with each of the participants individually|Ao configurar um chat em grupo, primeiro verifique se você confirmou separadamente as mensagens bidirecionais com cada um dos participantes individualmente
Enable strict TLS authentication between XMPP servers?|Ativar autenticação TLS rígida entre servidores XMPP?
If you or other people are having difficulty joining multi-user chat then enabling this might help|Se você ou outras pessoas estiverem tendo dificuldades em participar de um bate-papo com vários usuários, habilitar isso pode ajudar
Music can be uploaded using NextCloud. Install the app and then create a directory called 'Music'.|A música pode ser carregada usando o NextCloud. Instale o aplicativo e crie um diretório chamado "Música".
Drag your files into the Music directory and they will then become available to mpd.|Arraste seus arquivos para o diretório Music e eles ficarão disponíveis para o mpd.
Select search (magnifying glass icon) and search for 'MALP', then select 'install'|Selecione a pesquisa (ícone de lupa) e pesquise por 'MALP', depois selecione 'instalar'
Open MALP and from the settings select Profiles|Abra o MALP e, a partir das configurações, selecione Perfis
Enter the following settings:|Digite as seguintes configurações:
Save the settings by selecting the disk icon at the top right of the screen|Salve as configurações selecionando o ícone de disco no canto superior direito da tela
You should now be able to connect to mpd on your server and select and play albums.|Agora você deve conseguir se conectar ao mpd em seu servidor e selecionar e reproduzir álbuns.
In a non-Tor browser navigate to http://libreserver:8250 or http://[server local IP address]:8250 and you should be able to play the selected album.|Em um navegador que não seja o Tor, navegue até http: // libreserver: 8250 ou http: // [endereço IP local do servidor]: 8250 e você poderá reproduzir o álbum selecionado.
Setting up on the desktop|Configurando na área de trabalho
Install Sonata|Instale o Sonata
Run Sonata and enter the following settings:|Execute o Sonata e insira as seguintes configurações:
You should now be able to see your albums listed and be able to add them to the currently playing list.|Agora você poderá ver seus álbuns listados e adicioná-los à lista de reprodução atualmente.
In a non-Tor browser navigate to http://libreserver:8250 or http://[server local IP address]:8250 and you should be able to play the selected album.|Em um navegador que não seja o Tor, navegue até http: // libreserver: 8250 ou http: // [endereço IP local do servidor]: 8250 e você poderá reproduzir o álbum selecionado.
Select your music file format:|Selecione o seu formato de arquivo de música:
pixelfed allow new registrations|o pixelfed permite novos registros
Groceries and household management|Mantimentos e gestão doméstica
Organization|Organização
VPN domain or IP address:|Domínio VPN ou endereço IP:
VPN public key:|Chave pública de VPN:
Public key for this server:|Chave pública para este servidor:
Public keys for the laptops or devices that you wish to be able to use this server to connect to the internet.|Chaves públicas para os laptops ou dispositivos que você deseja poder usar este servidor para se conectar à Internet.
Network|Rede
Set your coordinates on the map|Defina suas coordenadas no mapa
Longitude:|Longitude:
Latitude:|Latitude:
Join|Junte-se
Docs|Docs
Community network map is being generated|Mapa de rede da comunidade está sendo gerado
Please wait|Por favor, espere
IP address (optional):|Endereço IP (opcional):
Export|Exportar
Add a new community network node|Adicionar um novo nó da rede da comunidade
Remove a community network node|Remover um nó da rede da comunidade
WARNING: Only change this if you know what you are doing. Selecting the wrong mesh protocol may make your server disappear from the network, and be difficult to recover|ATENÇÃO: Altere isso apenas se você souber o que está fazendo. A seleção do protocolo de malha errado pode fazer com que seu servidor desapareça da rede e seja difícil de recuperar
WARNING: Only change this if you know what you are doing. Setting an incorrect IP address or gateway may cause your server to become inaccessible, and may be difficult to recover|ATENÇÃO: Altere isso apenas se você souber o que está fazendo. Definir um endereço IP ou gateway incorreto pode tornar seu servidor inacessível e pode ser difícil recuperar
Choose your network:|Escolha sua rede:
Language is being changed|A linguagem está sendo alterada
Community Network|Rede Comunitária
Theme is being changed|Tema está sendo alterado
Install a new app|Instalar um novo aplicativo
Restore APPNAME from backup?|Restaurar APPNAME do backup?
Add or remove feeds|Adicionar ou remover feeds
Enter an RSS feed URL to add or remove. The domain name is enough for removals.|Digite um URL de feed RSS para adicionar ou remover. O nome de domínio é suficiente para remoções.
Show onion address|Mostrar o endereço da cebola
Multi User Dungeon from the era of Welsh mainframe computing|Multi User Dungeon da era da computação mainframe galesa
Forward the UDP port 5100 from your internet router|Encaminhe a porta UDP 5100 do seu roteador de internet
Since this app only uses the UDP protocol it won't work via an onion address. If you are running the onion only version of LibreServer then use its local IP address (usually 192.168.1.x) to connect to the game on the above port.|Como este aplicativo usa apenas o protocolo UDP, ele não funciona por meio de um endereço em cebola. Se você estiver executando a versão somente em cebola do LibreServer, use seu endereço IP local (geralmente 192.168.1.x) para se conectar ao jogo na porta acima.
Near infinite world block sandbox game|Perto do mundo infinito sandbox jogo
Federation List|Lista de Federação
Add or remove the domain names for instances with whom you wish to federate. Don't include your own domain names.|Adicione ou remova os nomes de domínio para instâncias com as quais você deseja federar. Não inclua seus próprios nomes de domínio.
Notify via|Notificar via
Receive admin notifications|Receba notificações de administrador
New calendar event|Novo evento da agenda
New direct message|Nova mensagem direta
New reply|Nova resposta
New shared item|Novo item compartilhado
New follow request|Nova solicitação de acompanhamento
Number of connections on HTTP port is high|O número de conexões na porta HTTP é alto
Number of connections on HTTPS port is high|O número de conexões na porta HTTPS é alto
Cryptpad allow new signups|Cryptpad permite novas inscrições
Name of the Dungeon Master|Nome do Mestre do Calabouço
Message Of The Day|Mensagem do Dia
port|porta de rede
Server Password|Senha do servidor
DNS over TLS|DNS sobre TLS
IP Address|Endereço de IP
New git patch|Novo patch git
liked your post|gostou da sua postagem
IRC Password|Senha do IRC
Reaction by|Reação por
