About|Acerca de
With Icecast you can run your own internet radio stream from an onion address. As always, be careful about copyright issues and preferably stick to Creative Commons music or music files that you own.|Con Icecast puede ejecutar su propia transmisión de radio por Internet desde una dirección de cebolla. Como siempre, tenga cuidado con los problemas de derechos de autor y preferiblemente se adhiera a la música de Creative Commons o archivos de música que posee.
Within the network list click, Add and enter your domain name then click Edit.|Dentro de la lista de redes, haga clic en Agregar e ingrese su nombre de dominio luego haga clic en Editar.
Within the Password field enter the password which you originally set up the box with.|Dentro del campo Contraseña, ingrese la contraseña con la que configuró originalmente la casilla.
Within the software center search for "mumble" and install the client then run it. Skip through the audio setup wizard. Cancel the initial connection window.|Dentro del centro de software busque "murmurar" e instale el cliente, luego ejecútelo. Omita el asistente de configuración de audio. Cancele la ventana de conexión inicial.
Write it down or save it|Escríbelo o guárdalo
XMPP|XMPP
xmpp based chat system|sistema de chat basado en xmpp
Yes|Sí
You can edit the translated text on the right side of the screen.|Puede editar el texto traducido en el lado derecho de la pantalla.
You can get to this system remotely via:|Puede acceder a este sistema de forma remota a través de:
You can now go back to the initial Conversations app screen and start using it. You'll probably want to add contacts using the icon at the bottom right. For more information see the Conversations website (conversations.im) or subscribe to the chat group conversations@conference.siacs.eu|Ahora puede volver a la pantalla inicial de la aplicación Conversaciones y comenzar a usarla. Probablemente quiera agregar contactos utilizando el icono en la parte inferior derecha. Para obtener más información, consulte el sitio web de Conversations (conversations.im) o suscríbase al grupo de chat conversations@conference.siacs.eu
You can now log in with:|Ahora puede iniciar sesión con:
You can see upgrade progress|Puedes ver el progreso de actualización
You can use left and right cursor keys to move through pages|Puede usar las teclas de cursor izquierda y derecha para moverse por las páginas
You may also want to make another entry with the same settings but replacing tcp with udp.|También puede querer hacer otra entrada con la misma configuración pero reemplazando tcp con udp.
You may now remove the USB drive|Ahora puede quitar la unidad USB
You might have mistyped one of them|Es posible que haya escrito mal uno de ellos
You will see the translations file with some instructions at the top.|Verá el archivo de traducciones con algunas instrucciones en la parte superior.
Your password must be at least 8 characters in length and only use the characters a-z A-Z and 0-9|Su contraseña debe tener al menos 8 caracteres de longitud y solo debe usar los caracteres a-z A-Z y 0-9.
Zero knowledge pastebin|Cero conocimiento pastebin
Theme|Tema
Light|Ligero
Dark|Oscuro
Mail|Correo
Clear|Claro
If you find that you can't send out email and that you get 'failed delivery' messages returned instead then you may be able to proxy sent emails through another server. Sometimes ISPs or companies provide an SMTP server which can do this.|Hvis du finner ut at du ikke kan sende ut e-post og at du får mislykkede leveringsmeldinger, kan du sende proxy via e-post via en annen server. A veces, los proveedores de servicios de Internet se apalancan en un servidor SMTP en su servidor.
Send email through a proxy|Enviar correo electrónico a través de un proxy
Failed to install. For details see admin/applog.txt|Fallo en la instalación. Para más detalles ver admin/applog.txt
Installed successfully|Instalado correctamente
pihole|agujero de ojo
Unlike browser based ad blockers, pihole works at the domain name resolution level to block domains known to privide the ads appearing in web pages.|A diferencia de los bloqueadores de anuncios basados ​​en el navegador, pihole funciona en el nivel de resolución de nombres de dominio para bloquear los dominios que se sabe que privilegian los anuncios que aparecen en las páginas web.
Set your DNS IP address to the one shown and many ads will get blocked even before they're delivered to your laptop or mobile device. This can save a lot of bandwidth and generally speed up the loading of websites.| Configure su dirección IP de DNS como la que se muestra y muchos anuncios se bloquearán incluso antes de que se entreguen en su computadora portátil o dispositivo móvil. Esto puede ahorrar una gran cantidad de ancho de banda y, en general, acelerar la carga de sitios web.
Change DNS on your internet router| Cambiar DNS en su enrutador de internet
If your internet router allows you to change the DNS IP address then this is the best way to use pihole because it will then provide coverage for all of the devices and computers in your home.|Si su enrutador de Internet le permite cambiar la dirección IP del DNS, esta es la mejor manera de usar poros porque proporcionará cobertura para todos los dispositivos y computadoras en su hogar.
Change DNS on individual devices|Cambiar DNS en dispositivos individuales
If you can't change your internet router's DNS then you can do that on individual GNU/Linux systems as follows:| Si no puede cambiar el DNS de su enrutador de Internet, puede hacerlo en sistemas GNU/Linux individuales de la siguiente manera:
Remove or comment out any existing nameservers and add one with the IP address shown for the pihole app. Something like:|Elimine o comente los servidores de nombres existentes y agregue uno con la dirección IP que se muestra para la aplicación pihole. Algo como:
Then save and exit and prevent the file from being automatically changed with:| Luego guarde, salga y evite que el archivo se cambie automáticamente con:
If you're running the standard version of LibreServer (not the onion version) then you may need to modify your hosts file to access your own domain.|Si está ejecutando la versión estándar de LibreServer (no la versión de cebolla), es posible que deba modificar su archivo de hosts para acceder a su propio dominio.
Then add something like:|A continuación, agregue algo como:
This only works when you're within your home network, so if you're outside of your home then undo the changes made above.|Esto solo funciona cuando está dentro de su red doméstica, así que si está fuera de su hogar, deshaga los cambios realizados anteriormente.
The Pi-hole is a DNS sinkhole that protects your devices from unwanted content, without installing any client-side software.|Pi-hole es un sumidero DNS que protege sus dispositivos de contenido no deseado, sin instalar ningún software del lado del cliente.
Search|Buscar
removed|Eliminado
To get email working you will need to forward some ports. Email using your onion address will work anyway, so long as you are contacting other onion based email addresses.|Para que el correo electrónico funcione, deberá reenviar algunos puertos. El correo electrónico con su dirección de cebolla funcionará de todos modos, siempre y cuando se ponga en contacto con otras direcciones de correo electrónico basadas en cebolla.
Forward ports 25, 587 and 465 from your internet router|Reenvíe los puertos 25, 587 y 465 desde su enrutador de internet
To access cryptpad you'll need to use a Tor browser. Navigate to the URL and enable javascript for the site under the NoScript icon. The screen will be blank for a few seconds while it's downloading the application into your browser.|Para acceder a Cryptpad, deberá usar un navegador Tor. Navegue hasta la URL y habilite javascript para el sitio bajo el ícono de NoScript. La pantalla estará en blanco durante unos segundos mientras se descarga la aplicación en su navegador.
Cryptpad is an almost peer-to-peer application. No data is stored on the server, which only does minimal orchestration between the clients. If an adversary subsequently obtains the server they still learn nothing.|Cryptpad es una aplicación casi peer-to-peer. No se almacenan datos en el servidor, lo que hace solo una orquestación mínima entre los clientes. Si un adversario obtiene posteriormente el servidor, todavía no aprenden nada.
Authentication Token|Token de Autentificación
This is only needed if you're using FreeDNS. Otherwise you can leave it blank.|Esto solo es necesario si está utilizando FreeDNS. De lo contrario, puede dejarlo en blanco.
On the site where you obtained your domain name set up some custom nameservers as follows:|En el sitio donde obtuvo su nombre de dominio, configure algunos servidores de nombres personalizados de la siguiente manera:
On the FreeDNS site go to the "Dynamic DNS" section and make sure that "link updates of the same IP together" is set to ON.|En el sitio de FreeDNS, vaya a la sección "DNS dinámico" y asegúrese de que las "actualizaciones de enlaces de la misma IP" estén activadas.
For your main domain name select "quick cron example" and then your authentication token is the random string on the last line between the ? and = characters.|Para su nombre de dominio principal, seleccione "ejemplo de cron rápido" y luego su token de autenticación es la cadena aleatoria en la última línea entre los caracteres? Y =.
Your current IP address is shown at the top of the Dynamic DNS screen of the LibreServer user interface. You can use the "Mass Mod" feature at the top of the "Subdomains" part of the FreeDNS site to set all of your subdomains to that IP address.|Puede usar la función "Modificación masiva" en la parte superior de la parte de "Subdominios" del sitio FreeDNS para configurar todos sus subdominios para eso Direccion IP
Select the MX entry for your main domain and change the destination to 10:mydomainname rather than 10:mail.mydomainname.|Seleccione la entrada MX para su dominio principal y cambie el destino a 10:mydomainname en lugar de 10:mail.mydomainname.
Enter your FreeDNS login details and the authentication token on the Dynamic DNS screen of the LibreServer user interface.|Ingrese los detalles de inicio de sesión de FreeDNS y el token de autenticación en la pantalla DNS dinámico de la interfaz de usuario de LibreServer.
To make a playlist insert a USB drive containing audio files in a directory called playlist, add a description below and then select Update|Para hacer una lista de reproducción, inserte una unidad USB que contenga archivos de audio en un directorio llamado lista de reproducción, agregue una descripción a continuación y luego seleccione Actualizar
To add music copy it to a directory called Music on a USB drive then plug it into your server and select Update|Para agregar música, cópielo en un directorio llamado Música en una unidad USB y luego conéctelo a su servidor y seleccione Actualizar
This is a wiki which stores its content in text files. Having no database makes maintaining it simpler, and it's not tied to any particular domain name so you can easily copy the files to a different domain if you need to.|Este es un wiki que almacena su contenido en archivos de texto. No tener una base de datos hace que sea más sencillo mantenerlo, y no está vinculado a ningún nombre de dominio en particular, por lo que puede copiar fácilmente los archivos a un dominio diferente si lo necesita.
Provides an easy and private way to sync calendar and contacts between devices.|Proporciona una forma fácil y privada de sincronizar el calendario y los contactos entre dispositivos.
Using on mobile|Usando en el móvil
The user interface is a little misleading. Make sure that you log in with your username, not your email addres.|La interfaz de usuario es un poco engañosa. Asegúrese de iniciar sesión con su nombre de usuario, no con su dirección de correo electrónico.
Also choose the advanced option and enter the subdomain that you installed etesync on.|También elija la opción avanzada e ingrese el subdominio en el que instaló etesync.
This is a well known system for real time collaborative editing of documents. Just log in, choose a document title and then edit. Different users will appear in different colours, and can also chat in the sidebar. This is installed as a private system in which only users on your LibreServer server will be able to create and edit documents, so it's not open to any random users on the internet.|Este es un sistema bien conocido para la edición colaborativa en tiempo real de documentos. Simplemente inicie sesión, elija un título de documento y luego edite. Los diferentes usuarios aparecerán en diferentes colores, y también pueden chatear en la barra lateral. Esto se instala como un sistema privado en el que solo los usuarios de su servidor LibreServer podrán crear y editar documentos, por lo que no está abierto a usuarios aleatorios en Internet.
This is a federated social networking system. It can federate with other popular fediverse systems.|Este es un sistema de redes sociales federadas. Puede federarse con otros sistemas federales populares.
This is a blogging system which has no database and only uses text files for storage.|Este es un sistema de blogs que no tiene base de datos y solo usa archivos de texto para el almacenamiento.
This is a git hosting system. It's very similar to Github in appearance and use, is lightweight and so is well suited for use on low power ARM servers.|Este es un sistema de alojamiento git. Es muy similar a Github en apariencia y uso, es liviano y, por lo tanto, es adecuado para su uso en servidores ARM de bajo consumo.
This is a web publishing and social network system which includes wiki, web pages, photo albums and file storage. It also has nomadic identity allowing you to easily move your account between different servers and privacy controls which allow you to define who can see what content.|Este es un sistema de red social y publicación web que incluye wiki, páginas web, álbumes de fotos y almacenamiento de archivos. También tiene una identidad nómada que le permite mover fácilmente su cuenta entre diferentes servidores y controles de privacidad que le permiten definir quién puede ver qué contenido.
Kanbans are one way of managing projects. They're traditionally used in businesses but can also be useful for personal TODO lists or within open source or DIY projects. If you have a list of things which need to be done and want to keep track of progress then this provides a way to do that.|Los kanbans son una forma de gestionar proyectos. Se utilizan tradicionalmente en empresas, pero también pueden ser útiles para listas de TODO personales o en proyectos de código abierto o de bricolaje. Si tiene una lista de cosas que deben hacerse y desea realizar un seguimiento del progreso, esto proporciona una manera de hacerlo.
The default login is username "admin" and the login password which you usually use for the web interface.|El inicio de sesión predeterminado es el nombre de usuario "admin" y la contraseña de inicio de sesión que usualmente utiliza para la interfaz web.
If you're using a Tor browser then you may need to allow javascript for the site by selecting the NoScript icon.|Si está utilizando un navegador Tor, es posible que deba permitir javascript para el sitio seleccionando el ícono NoScript.
Extra users can be added from the drop down menu at the top right of the screen, under "Users management".|Se pueden agregar usuarios adicionales desde el menú desplegable en la parte superior derecha de la pantalla, en "Administración de usuarios".
This enables you to store your music on the LibreServer server and then access it from any internet connected device.|Esto le permite almacenar su música en el servidor LibreServer y luego acceder a ella desde cualquier dispositivo conectado a Internet.
This is a simple and lightweight photo album for the web. Whether you're an amateur or professional photographer, or want to publish random holiday pics or cat pictures. Lychee just does what it says it does without any fuss.|Este es un álbum de fotos simple y ligero para la web. Tanto si eres un fotógrafo aficionado o profesional, como si quieres publicar fotos de vacaciones o imágenes de gatos al azar. Lychee simplemente hace lo que dice que hace sin ningún problema.
This provides an webmail interface suitable for use on desktop or mobile clients and with built in support for encryption.|Esto proporciona una interfaz de correo web adecuada para su uso en clientes de escritorio o móviles y con soporte incorporado para el cifrado.
This is a system for file synchronisation and also has many other plugins for calendar, videoconferencing, collaborative document editing and federated file sharing.|Este es un sistema para la sincronización de archivos y también tiene muchos otros complementos para el calendario, las videoconferencias, la edición colaborativa de documentos y el intercambio de archivos federados.
This is a video hosting system which uses webtorrent to help distribute the files to or between clients.|Este es un sistema de alojamiento de videos que utiliza webtorrent para ayudar a distribuir los archivos entre los clientes o entre ellos.
Use the username 'root' and your usual password to log in as the administrator. You can then change settings as needed.|Utilice el nombre de usuario 'root' y su contraseña habitual para iniciar sesión como administrador. A continuación, puede cambiar la configuración según sea necesario.
This is an OStatus and ActivityPub compatible social networking server which federates with other fediverse systems. It is high-performance and so is especially well suited for running on low power single board computers without much RAM.|Este es un servidor de redes sociales compatible con OStatus y ActivityPub que se federan con otros sistemas federales. Es de alto rendimiento y, por lo tanto, es especialmente adecuado para funcionar en computadoras de una sola placa de baja potencia sin mucha RAM.
Since Pleroma supports the same protocols, any Mastodon client for Android should work with it.|Dado que Pleroma es compatible con los mismos protocolos, cualquier cliente Mastodon para Android debería funcionar con él.
This is a fork of GNU Social which includes some extra fixes and optimisations to improve performance. It federates with other fediverse servers, such as Pleroma or Mastodon.|Esta es una bifurcación de GNU Social que incluye algunas correcciones adicionales y optimizaciones para mejorar el rendimiento. Se federan con otros servidores federales, como Pleroma o Mastodon.
This is an encrypted pastebin, such that the server has zero knowledge of the content. It's intended for small amounts of text less than 32K in length. It's not intended for transfering large files, or for storing pastes for more than a day.|Este es un pastebin encriptado, de manera que el servidor no tiene conocimiento del contenido. Está diseñado para pequeñas cantidades de texto de menos de 32K de longitud. No está diseñado para transferir archivos grandes, o para almacenar pastas por más de un día.
This is a web based user interface to the Matrix federated chat system. You will need to have already installed the Matrix app for this to work.|Esta es una interfaz de usuario basada en web para el sistema de chat federado de Matrix. Necesitará haber instalado ya la aplicación Matrix para que esto funcione.
This is yet another chat system, but the server part of it isn't federated and so it's suitable for small private groups rather than for general public discussions.|Este es otro sistema de chat, pero la parte del servidor no está federada y, por lo tanto, es adecuada para pequeños grupos privados en lugar de para debates públicos generales.
Provides a similar capability to proprietary systems such as Dropbox, and also is well suited for use with low power single board computers. You can have one or more directories which are synchronized across your various laptops/desktops/devices, and this makes it hard for you to ever lose important files. Of course, you don't necessarily need to be running a server in order to use Syncthing, but if you do have a server which is always running then there's always at least one place to synchronize your files to or from.|Proporciona una capacidad similar a los sistemas propietarios, como Dropbox, y también es adecuado para su uso con computadoras de una sola placa de baja potencia. Puede tener uno o más directorios que se sincronizan en sus diferentes computadoras portátiles / computadoras de escritorio / dispositivos, y esto hace que sea más difícil para usted perder archivos importantes. Por supuesto, no necesariamente tiene que estar ejecutando un servidor para usar Syncthing, pero si tiene un servidor que siempre está ejecutándose, siempre hay al menos un lugar para sincronizar sus archivos desde o hacia.
On a Debian based system:|En un sistema basado en Debian:
Or on Android search for the Syncthing app.|O en la búsqueda de Android de la aplicación Syncthing.
Using the settings button within the LibreServer web interface for the Syncthing app you can then paste in any IDs for other devices. They will then sync with your server.|Al usar el botón de configuración dentro de la interfaz web de LibreServer para la aplicación Syncthing, puede pegar cualquier ID para otros dispositivos. Luego se sincronizarán con su servidor.
A system for privately creating and sharing notes and images, similar to Evernote. It can be set up so that a small number of users on the server can share their notes in a convenient way. It doesn't have any web user interface, and you need to install native clients on mobile or laptop/desktop machines.|Un sistema para crear y compartir de forma privada notas e imágenes, similar a Evernote. Puede configurarse para que una pequeña cantidad de usuarios en el servidor puedan compartir sus notas de una manera conveniente. No tiene ninguna interfaz de usuario web, y necesita instalar clientes nativos en máquinas móviles o portátiles / de escritorio.
Since the data at rest is stored in PGP encrypted format this is a good system to use in cases where security really is a critical factor.|Dado que los datos en reposo se almacenan en formato encriptado PGP, este es un buen sistema para usar en casos donde la seguridad realmente es un factor crítico.
Go to https://turtlapp.com/download and you'll then be able to download the appropriate app for your laptop or phone.|Vaya a https://turtlapp.com/download y luego podrá descargar la aplicación adecuada para su computadora portátil o teléfono.
Run the downloaded native app then at the bottom of the screen select "advanced settings" and enter your turl domain name, then register a new account. The password can be anything you choose, but since the client side encryption depends upon having a good password make it a long random string generated by a password manager such as KeepassX.|Ejecute la aplicación nativa descargada y luego en la parte inferior de la pantalla seleccione "configuración avanzada" e ingrese su nombre de dominio turl, luego registre una nueva cuenta. La contraseña puede ser cualquier cosa que usted elija, pero dado que el cifrado del lado del cliente depende de tener una buena contraseña, se convierte en una larga cadena aleatoria generada por un administrador de contraseñas como KeepassX.
You should then be able to log in and start using the app. You might also want to invite any other users of your LibreServer system to also sign up using the turtl domain name which you specified during installation.|Entonces deberías poder iniciar sesión y comenzar a usar la aplicación. También es posible que desee invitar a otros usuarios de su sistema LibreServer a que también se registren con el nombre de dominio turtl que especificó durante la instalación.
Disabling new registrations|Deshabilitando nuevos registros
Once you have set up the server with however many users are needed you can then disable any new registrations by selecting Turtl on the LibreServer web interface and going to the settings screen.|Una vez que haya configurado el servidor, independientemente de la cantidad de usuarios necesarios, puede deshabilitar cualquier registro nuevo seleccionando Turtl en la interfaz web de LibreServer y accediendo a la pantalla de configuración.
This is similar to Hubzilla but with a reduced range of features concentrating exclusively upon social networking with the latest version of the Zot protocol. Nomadic identity is supported, so to can export your channels and import them on other servers if necessary, without losing followers.|Esto es similar a Hubzilla pero con una gama reducida de funciones que se concentran exclusivamente en las redes sociales con la última versión del protocolo Zot. La identidad nómada es compatible, por lo que puede exportar sus canales e importarlos a otros servidores si es necesario, sin perder seguidores.
The first account you register will be the administrator user, and from there you can go to the admin settings and disable new registrations if needed.|La primera cuenta que registre será el usuario administrador, y desde allí puede ir a la configuración de administración y deshabilitar nuevos registros si es necesario.
To find other users to follow select "directory" from the drop down menu at the top right of the screen and set "this site only" to "no".|Para encontrar a otros usuarios a seguir, seleccione "directorio" en el menú desplegable en la parte superior derecha de la pantalla y configure "solo este sitio" a "no".
There is an Android app available called Nomad.|Hay una aplicación de Android disponible llamada Nomad.
End-to-end encrypted sync of calendar and contacts between devices|Sincronización cifrada de extremo a extremo del calendario y contactos entre dispositivos
Secure, end-to-end encrypted and journaled personal information cloud synchronization for Android and the desktop, supporting contacts and calendars|Sincronización segura, de extremo a extremo, de la nube de información personal registrada en diario para Android y el escritorio, que admite contactos y calendarios.
Nomadic social network server|Servidor de red social nómada.
Change background|Cambiar el fondo
Diagnostics|Diagnósticos
Please wait while your app is installing|Por favor, espere mientras se instala su aplicación
The app could not be installed|La aplicación no pudo ser instalada
Add a new member|Añadir un nuevo miembro
Kanban focussed on simplicity and minimalism|Kanban enfocado en la simplicidad y el minimalismo.
Emails, chat or social network posts will be blocked if they contain the following words or phrases|Los correos electrónicos, mensajes de chat o de redes sociales se bloquearán si contienen las siguientes palabras o frases
Muted words|Palabras silenciadas
Disk space is getting too low. Installation stopped.|El espacio en disco está disminuyendo. Instalación detenida.
Password changed|contraseña cambiada
Play media from any UPNP/DLNA device on your local network|Reproduzca medios desde cualquier dispositivo UPNP / DLNA en su red local
This allows you to play media on any DLNA supporting device within your local network.|Esto le permite reproducir medios en cualquier dispositivo compatible con DLNA dentro de su red local.
No Access Control|Sin control de acceso
DLNA doesn't have any access controls, so keep in mind that anyone with a mobile device or laptop within your local network is potentially able to play any media on the server. Hence this may not be suitable for situations where you want parental control over what media can be accessed.|DLNA no tiene ningún control de acceso, así que tenga en cuenta que cualquier persona con un dispositivo móvil o portátil dentro de su red local puede reproducir cualquier medio en el servidor. Por lo tanto, esto puede no ser adecuado para situaciones en las que desee el control de los padres sobre a qué medios se puede acceder.
Adding Media|Añadiendo medios
You can add media by selecting the settings button from the DLNA app.|Puede agregar medios seleccionando el botón de configuración de la aplicación DLNA.
Your homepage can also be accessed with a Tor browser on:|También se puede acceder a su página de inicio con un navegador Tor en:
Chat|Chatear
Media|Media
Social|Social
Sync|Sincronizar
Publishing|Publicacion
Other|Otros
Recommended Firefox Add-ons:|Complementos de Firefox recomendados:
Change your default domain name|Cambia tu nombre de dominio predeterminado
Do you want to change your default domain name to:|¿Desea cambiar su nombre de dominio predeterminado a:
rsync failed|rsync falló
For most purposes Syncthing is an easier file synchronization system, but rsync is still a reliable solution if you prefer to do things the more traditional way or if you just want to create a mirror from an existing rsync server.|Para la mayoría de los propósitos, Syncthing es un sistema de sincronización de archivos más sencillo, pero rsync sigue siendo una solución confiable si prefiere hacer las cosas de la manera más tradicional o si solo desea crear un espejo desde un servidor rsync existente.
Rsync is unencrypted but can be used via an onion address for transport security. If you are using it via your domain name then third parties will be able to see the content, but this may not matter if you are synchronizing already public files, such as GNU/Linux distro downloads.|Rsync no está encriptado, pero se puede usar a través de una dirección de cebolla para la seguridad del transporte. Si lo está utilizando a través de su nombre de dominio, entonces terceros podrán ver el contenido, pero esto no importa si está sincronizando archivos ya públicos, como las descargas de la distribución de GNU / Linux.
Avoid using this for private data, unless you are exclusively using rsync via the onion address.|Evite usar esto para datos privados, a menos que esté utilizando exclusivamente rsync a través de la dirección de cebolla.
Creating a Mirror|Creando un espejo
Select the Settings button then enter the domain and module name for the mirror. From then on synchronization will happen once per day.|Seleccione el botón Configuración y luego ingrese el dominio y el nombre del módulo para el espejo. A partir de entonces la sincronización se realizará una vez al día.
Local Sync|Sincronización local
If you created a mirror to your server you can then sync those files to other machines or devices on your local network as follows:|Si creó un espejo en su servidor, puede sincronizar esos archivos con otras máquinas o dispositivos en su red local de la siguiente manera:
If "libreserver" doesn't work then you can substitute the local IP address of your server.|Si "libreserver" no funciona, puede sustituir la dirección IP local de su servidor.
Create a mirror of public files|Crea un espejo de archivos públicos.
The domain name could not be changed|El nombre de dominio no pudo ser cambiado
This might be because you do not have ports 80 and 443 forwarded to the server.|Esto puede deberse a que no tiene los puertos 80 y 443 reenviados al servidor.
Check the port forwarding settings on your internet router.|Compruebe la configuración de reenvío de puerto en su enrutador de internet.
Please specify a domain name which will be used for your email or XMPP address.|Especifique un nombre de dominio que se utilizará para su correo electrónico o dirección XMPP.
Please forward the following ports from your internet router:|Reenvíe los siguientes puertos desde su enrutador de internet:
Search for 'Barcode Scanner', then select 'install'|Busque 'Barcode Scanner', luego seleccione 'instalar'
Download the DarkMessenger apk file via the link below, preferably using a Tor based browser, then install it|Descargue el archivo apk DarkMessenger a través del siguiente enlace, preferiblemente con un navegador basado en Tor, luego instálelo
Run DarkMessenger and the initial account setup will be shown. DarkMessenger only allows onion addresses to be used to create accounts|Ejecute DarkMessenger y se mostrará la configuración inicial de la cuenta. DarkMessenger solo permite usar direcciones de cebolla para crear cuentas
You can obtain your onion XMPP address from the Members section within the web interface, usually at http://libreserver/admin or http://libreserver.local/admin. If you can't easily copy and paste it into the account setup within DarkMessenger then you can use the barcode scanner on the QRcode displayed|Puede obtener su dirección XMPP de cebolla en la sección Miembros dentro de la interfaz web, generalmente en http: // libreserver / admin o http: //libreserver.local/admin. Si no puede copiarlo y pegarlo fácilmente en la configuración de la cuenta dentro de DarkMessenger, puede usar el escáner de código de barras en el código QR que se muestra
Enter the password which you stored during initial setup of the system and also the onion domain|Introduzca la contraseña que almacenó durante la configuración inicial del sistema y también el dominio de cebolla
You should now be able to connect to your onion XMPP account and set an avatar image if necessary|Ahora debería poder conectarse a su cuenta de XMPP de cebolla y configurar una imagen de avatar si es necesario
When sending or receiving pictures or other attachments for the first time you will need to accept the self-signed certificates. Select 'always' twice. This should only happen once per contact|Cuando envíe o reciba imágenes u otros archivos adjuntos por primera vez, deberá aceptar los certificados autofirmados. Seleccione 'siempre' dos veces. Esto solo debería ocurrir una vez por contacto.
Under Settings/Expert you may want to change the automatic message deletion period. By default this is one day|En Configuración / Experto puede cambiar el período de eliminación automática de mensajes. Por defecto esto es un día.
When setting up a group chat first ensure that you have separately confirmed two way messaging with each of the participants individually|Al configurar un chat grupal, primero asegúrese de haber confirmado por separado los mensajes bidireccionales con cada uno de los participantes individualmente
Enable strict TLS authentication between XMPP servers?|¿Habilitar la autenticación TLS estricta entre servidores XMPP?
If you or other people are having difficulty joining multi-user chat then enabling this might help|Si usted u otras personas tienen dificultades para unirse al chat multiusuario, habilitar esto podría ayudar
Music can be uploaded using Nextcloud. Install the app and then create a directory called 'Music'.|La música se puede cargar usando Nextcloud. Instala la aplicación y luego crea un directorio llamado 'Música'.
Drag your files into the Music directory and they will then become available to mpd.|Arrastre sus archivos al directorio de Música y luego estarán disponibles para mpd.
Select search (magnifying glass icon) and search for 'MALP', then select 'install'|Seleccione buscar (icono de lupa) y busque 'MALP', luego seleccione 'instalar'
Open MALP and from the settings select Profiles|Abre MALP y desde la configuración selecciona Perfiles.
Enter the following settings:|Ingrese los siguientes ajustes:
Save the settings by selecting the disk icon at the top right of the screen|Guarde la configuración seleccionando el icono del disco en la parte superior derecha de la pantalla
You should now be able to connect to mpd on your server and select and play albums.|Ahora debería poder conectarse a mpd en su servidor y seleccionar y reproducir álbumes.
In a non-Tor browser navigate to http://libreserver:8250 or http://[server local IP address]:8250 and you should be able to play the selected album.|En un navegador que no sea Tor, navegue a http: // libreserver: 8250 o http: // [dirección IP local del servidor]: 8250 y debería poder reproducir el álbum seleccionado.
Setting up on the desktop|Configuración en el escritorio
Install Sonata|Instalar sonata
Run Sonata and enter the following settings:|Ejecute Sonata e ingrese los siguientes ajustes:
You should now be able to see your albums listed and be able to add them to the currently playing list.|Ahora debería poder ver sus álbumes en la lista y poder agregarlos a la lista de reproducción actual.
In a non-Tor browser navigate to http://libreserver:8250 or http://[server local IP address]:8250 and you should be able to play the selected album.|En un navegador que no sea Tor, navegue a http: // libreserver: 8250 o http: // [dirección IP local del servidor]: 8250 y debería poder reproducir el álbum seleccionado.
Select your music file format:|Seleccione su formato de archivo de música:
pixelfed allow new registrations|pixelfed permite nuevos registros
Groceries and household management|Comestibles y gestión del hogar.
Organization|Organización
VPN domain or IP address:|Dominio VPN o dirección IP:
VPN public key:|Clave pública VPN:
Public key for this server:|Clave pública para este servidor:
Public keys for the laptops or devices that you wish to be able to use this server to connect to the internet.|Claves públicas para las computadoras portátiles o dispositivos que desea que puedan usar este servidor para conectarse a Internet.
Network|Red
Set your coordinates on the map|Establece tus coordenadas en el mapa
Longitude:|Longitud:
Latitude:|Latitud:
Join|Unirse
Docs|Docs
Community network map is being generated|Se está generando un mapa de la red comunitaria.
Please wait|por favor espera
IP address (optional):|Dirección IP (opcional):
Export|Exportar
Add a new community network node|Agregar un nuevo nodo de red comunitaria
Remove a community network node|Eliminar un nodo de red comunitaria
WARNING: Only change this if you know what you are doing. Selecting the wrong mesh protocol may make your server disappear from the network, and be difficult to recover|ADVERTENCIA: Cambie esto solo si sabe lo que está haciendo. Seleccionar el protocolo de malla incorrecto puede hacer que su servidor desaparezca de la red y sea difícil recuperarlo
WARNING: Only change this if you know what you are doing. Setting an incorrect IP address or gateway may cause your server to become inaccessible, and may be difficult to recover|ADVERTENCIA: Cambie esto solo si sabe lo que está haciendo. Establecer una dirección IP o puerta de enlace incorrecta puede hacer que su servidor se vuelva inaccesible y puede ser difícil recuperar
Choose your network:|Elige tu red:
Language is being changed|El idioma esta siendo cambiado
Community Network|Red comunitaria
Theme is being changed|El tema esta siendo cambiado
Install a new app|Instala una nueva aplicación
Restore APPNAME from backup?|¿Restaurar APPNAME desde la copia de seguridad?
Add or remove feeds|Añadir o eliminar feeds
Enter an RSS feed URL to add or remove. The domain name is enough for removals.|Introduzca una URL de fuente RSS para agregar o eliminar. El nombre de dominio es suficiente para eliminaciones.
Show onion address|Mostrar dirección de cebolla
Multi User Dungeon from the era of Welsh mainframe computing|Multi User Dungeon de la era de la computación de mainframe galés
Forward the UDP port 5100 from your internet router|Reenvíe el puerto UDP 5100 de su enrutador de internet
Since this app only uses the UDP protocol it won't work via an onion address. If you are running the onion only version of LibreServer then use its local IP address (usually 192.168.1.x) to connect to the game on the above port.|Como esta aplicación solo usa el protocolo UDP, no funcionará a través de una dirección de cebolla. Si está ejecutando la versión exclusiva de LibreServer en cebolla, use su dirección IP local (generalmente 192.168.1.x) para conectarse al juego en el puerto anterior.
Near infinite world block sandbox game|Juego de caja de arena de bloque de mundo casi infinito
Federation List|Lista de federaciones
Add or remove the domain names for instances with whom you wish to federate. Don't include your own domain names.|Agregue o elimine los nombres de dominio para las instancias con las que desea federarse. No incluya sus propios nombres de dominio.
