About|Um
Username: |Notandanafn:
Username: admin|Notandanafn: admin
Members|Notendur
Using your preferred editor|Notaðu valinn ritstjóra
Video broadcast|Vídeó útsending
Vietnamese|Víetnamska
Voice chat|Röddspjall
WARNING: THIS WILL ERASE ALL CONTENT OF THE USB DRIVE|VIÐVÖRUN: Þetta mun eyða öllu innihaldi USB drifsins
We're sorry, but the username you gave is not suitable. Check that it does not contain spaces, is lower case and at least 3 characters in length.|Því miður, en notandanafnið sem þú gafst ekki við. Athugaðu að það innihaldi ekki bil, lágstafir og að minnsta kosti 3 stafir að lengd.
Web publishing system|Vefútgáfukerfi
When done editing click on the wiki button again|Þegar búið er að breyta skaltu smella á wiki-hnappinn aftur
When it's done it will appear on the apps screen|Þegar það er búið birtist það á forritaskjánum
When removal is finished it will disappear from apps|Þegar flutningur er lokið mun það hverfa frá forritum
When you are done with translating select the 'import' button on the translations screen.|Þegar þú ert búinn að þýða veldu "Import" hnappinn á þýðingarskjánum.
When you've added your translations select the 'update' button. This will update the translations file for the selected language. Note that this does not change the current language within the user interface. If you want to do that go back to the language screen, select a language and then the 'select' button.|Þegar þú hefur bætt við þýðingarunum þínum skaltu velja "uppfærslu" hnappinn. Þetta mun uppfæra þýðingarskrána fyrir valið tungumál. Athugaðu að þetta breytir ekki núverandi tungumáli innan notendaviðmótsins. Ef þú vilt gera það, farðu aftur á tungumálaskjáinn, veldu tungumál og síðan á "hnappinn".
Whichever screen you are currently on, you can get back to the previous screen by clicking or pressing on the LibreServer logo at the top.|Hvaða skjár þú ert núna á, þú getur farið aftur á fyrri skjá með því að smella á eða ýta á LibreServer merkið efst.
With Icecast you can run your own internet radio stream from an onion address. As always, be careful about copyright issues and preferably stick to Creative Commons music or music files that you own.|Með Icecast getur þú keyrt eigin netvarpsstraum frá laukardag. Eins og alltaf, vertu varkár um höfundarréttarvandamál og helst haltu Creative Commons tónlist eða tónlistarskrám sem þú átt.
Within the network list click, Add and enter your domain name then click Edit.|Innan netlistann smellirðu á Bæta við og sláðu inn lénið þitt og smelltu síðan á Breyta.
Within the Password field enter the password which you originally set up the box with.|Innan reitinn Lykilorð er sláðu inn lykilorðið sem þú upphaflega settir upp í reitnum með.
Within the software center search for "mumble" and install the client then run it. Skip through the audio setup wizard. Cancel the initial connection window.|Innan hugbúnaðarmiðstöðvarinnar leitaðu að "mumble" og settu upp viðskiptavininn og hlaupa þá. Fara í gegnum hljóðuppsetningarhjálpina. Hætta við upphaflega tengingargluggann.
Write it down or save it|Skrifaðu það niður eða vistaðu það
XMPP|XMPP
xmpp based chat system|xmpp undirstaða spjallkerfi
Yes|Já
You can edit the translated text on the right side of the screen.|Þú getur breytt þýddum texta hægra megin á skjánum.
You can get to this system remotely via:|Þú getur fengið þetta kerfi í gegnum:
You can now go back to the initial Conversations app screen and start using it. You'll probably want to add contacts using the icon at the bottom right. For more information see the Conversations website (conversations.im) or subscribe to the chat group conversations@conference.siacs.eu|Þú getur nú farið aftur í upphafssamtalaskilmyndina og byrjað að nota það. Þú munt líklega vilja bæta við tengiliðum með því að nota táknið neðst til hægri. Nánari upplýsingar er að finna á vefsíðu Samtöl (samtöl.im) eða gerast áskrifandi að spjallhópnum conversations@conference.siacs.eu
You can now log in with:|Þú getur nú skráð þig inn með:
You can see upgrade progress|Þú getur séð uppfærsla framfarir
You can use left and right cursor keys to move through pages|Þú getur notað vinstri og hægri bendilinn til að fara í gegnum síður
You may also want to make another entry with the same settings but replacing tcp with udp.|Þú gætir líka viljað gera aðra færslu með sömu stillingum en skipta um tcp með UDP.
You may now remove the USB drive|Þú getur nú fjarlægt USB-drifið
You might have mistyped one of them|Þú gætir hafa mistyped einn af þeim
You will see the translations file with some instructions at the top.|Þú munt sjá þýðingar skrá með einhverjum leiðbeiningum efst.
Your password must be at least 8 characters in length and only use the characters a-z A-Z and 0-9|Lykilorðið þitt verður að vera að minnsta kosti 8 stafir að lengd og aðeins nota stafina A-Z A-Z og 0-9
Zero knowledge pastebin|Núllþekking pastebin
Theme|Þema
Light|Ljós
Dark|Myrkur
Mail|Póstur
If you find that you can't send out email and that you get 'failed delivery' messages returned instead then you may be able to proxy sent emails through another server. Sometimes ISPs or companies provide an SMTP server which can do this.|Ef þú finnur út þar sem þú getur ekki sent út tölvupóst og þegar þú færð rangar sendingar tilkynningar, getur þú sent umboð með tölvupósti í gegnum annan miðlara. Stundum veitir þjónustuveitendur fyrirtækjanna en SMTP-miðlara deyja þetta getur gert.
Clear|Hreinsa
Send email through a proxy|Senda tölvupóst í gegnum umboð
Failed to install. For details see admin/applog.txt|Mistókst að setja upp. Nánari upplýsingar er að finna í admin/applog.txt
Installed successfully|Uppsett með góðum árangri
pihole|pihole
Unlike browser based ad blockers, pihole works at the domain name resolution level to block domains known to privide the ads appearing in web pages.|Ólíkt vafra undirstaða auglýsinga blokkar, virkar pihole á lénsupplausn stigi til að loka lén sem vitað er að privide auglýsingarnar birtast á vefsíðum.
Set your DNS IP address to the one shown and many ads will get blocked even before they're delivered to your laptop or mobile device. This can save a lot of bandwidth and generally speed up the loading of websites.| Stilltu DNS IP-tölu þína við þann sem sýndur er og margar auglýsingar verða lokaðar jafnvel áður en þær eru afhentar á fartölvu eða farsíma. Þetta getur sparað mikið af bandbreidd og almennt flýtt fyrir hleðslu vefsvæða.
Change DNS on your internet router| Breyta DNS á netleiðinni þinni
If your internet router allows you to change the DNS IP address then this is the best way to use pihole because it will then provide coverage for all of the devices and computers in your home.|Ef netleiðin þín leyfir þér að breyta DNS IP tölu þá er þetta besta leiðin til að nota pihole því það mun þá veita umfjöllun um öll tæki og tölvur á heimilinu.
Change DNS on individual devices|Breyta DNS á einstökum tækjum
If you can't change your internet router's DNS then you can do that on individual GNU/Linux systems as follows:| Ef þú getur ekki breytt DNS DNS internetinu þínu þá getur þú gert það á einstökum GNU/Linux kerfum sem hér segir:
Remove or comment out any existing nameservers and add one with the IP address shown for the pihole app. Something like:|Fjarlægðu eða athugaðu einhverjar nafngreiðslur sem eru til staðar og bættu við einu með IP-töluinu sem er sýnt fyrir forritið. Eitthvað eins og:
Then save and exit and prevent the file from being automatically changed with:| Þá vistaðu og lokaðu og komið í veg fyrir að skráin sé sjálfkrafa breytt með:
If you're running the standard version of LibreServer (not the onion version) then you may need to modify your hosts file to access your own domain.|Ef þú ert að keyra staðlaða útgáfuna af LibreServer (ekki laukútgáfu) þá gætir þú þurft að breyta vélarskránni til að fá aðgang að eigin léni.
Then add something like:|Bættu síðan við eitthvað eins og:
This only works when you're within your home network, so if you're outside of your home then undo the changes made above.|Þetta virkar aðeins þegar þú ert innan heimasímkerfisins, þannig að ef þú ert utan heimilis þíns skaltu afturkalla breytingarnar hér að ofan
The Pi-hole is a DNS sinkhole that protects your devices from unwanted content, without installing any client-side software.|The Pi-holan er DNS sinkhole sem verndar tækin frá óæskilegu efni án þess að setja upp hugbúnað fyrir viðskiptavinarhlið.
Search|Leita
removed|Fjarlægt
To get email working you will need to forward some ports. Email using your onion address will work anyway, so long as you are contacting other onion based email addresses.|Til að fá tölvupóstvinnu þarftu að senda nokkrar hafnir. Tölvupóstur með laukardaginn þinn mun virka engu að síður, svo lengi sem þú ert að hafa samband við aðrar netföng sem eru lauk.
Forward ports 25, 587 and 465 from your internet router|Forsenda höfn 25, 587 og 465 úr netleiðinni þinni
To access cryptpad you'll need to use a Tor browser. Navigate to the URL and enable javascript for the site under the NoScript icon. The screen will be blank for a few seconds while it's downloading the application into your browser.|Til að fá aðgang að dulritunarskjá þarftu að nota Tor-vafra. Farðu í slóðina og virkjaðu javascript fyrir síðuna undir NoScript-tákninu. Skjárinn verður tómur í nokkrar sekúndur meðan forritið er hlaðið niður í vafrann þinn.
Cryptpad is an almost peer-to-peer application. No data is stored on the server, which only does minimal orchestration between the clients. If an adversary subsequently obtains the server they still learn nothing.|Cryptpad er nánast jafningjaforrit. Engin gögn eru geymd á netþjóninum, sem aðeins gerir lágmarkskröfur á milli viðskiptavina. Ef mótherji fær síðan netþjóninn lærir hann enn ekki neitt.
Authentication Token|Auðkenningarmerki
This is only needed if you're using FreeDNS. Otherwise you can leave it blank.|Þetta er aðeins nauðsynlegt ef þú notar FreeDNS. Annars geturðu skilið það ógeðt.
On the site where you obtained your domain name set up some custom nameservers as follows:|Á síðunni þar sem þú fékkst lénið þitt settu upp nokkrar sérsniðnar nameservers sem hér segir:
On the FreeDNS site go to the "Dynamic DNS" section and make sure that "link updates of the same IP together" is set to ON.|Á FreeDNS-vefsvæðinu er farið í "Dynamic DNS" kafla og tryggt að "tengja uppfærslur af sama IP saman" sé stillt á ON.
For your main domain name select "quick cron example" and then your authentication token is the random string on the last line between the ? and = characters.|Fyrir aðal lénið þitt skaltu velja "quick cron example" og þá er auðkenningarmerkið þitt handahófi strengurinn á síðustu línu milli? Og = stafana.
Your current IP address is shown at the top of the Dynamic DNS screen of the LibreServer user interface. You can use the "Mass Mod" feature at the top of the "Subdomains" part of the FreeDNS site to set all of your subdomains to that IP address.|Þú getur notað "Mass Mod" löguninn efst á "Subdomains" hluta FreeDNS síðuna til að setja öll undirlén þín á það IP-tölu.
Select the MX entry for your main domain and change the destination to 10:mydomainname rather than 10:mail.mydomainname.|Veldu MX færsluna fyrir aðal lénið þitt og breyttu áfangastaðnum í 10: mydomainname frekar en 10: mail.mydomainname.
Enter your FreeDNS login details and the authentication token on the Dynamic DNS screen of the LibreServer user interface.|Sláðu inn FreeDNS innskráningarupplýsingar þínar og auðkenningarmerkið á Dynamic DNS skjánum á LibreServer notendaviðmótinu.
To make a playlist insert a USB drive containing audio files in a directory called playlist, add a description below and then select Update|Til að búa til lagalista skaltu setja inn USB-drif sem inniheldur hljóðskrár í möppu sem heitir lagalista, bæta við lýsingu hér fyrir neðan og veldu síðan Uppfæra
To add music copy it to a directory called Music on a USB drive then plug it into your server and select Update|Til að bæta við tónlist afritaðu það í möppu sem heitir Tónlist á USB-drifi og stingdu því á netþjóninn og veldu Uppfæra
This is a wiki which stores its content in text files. Having no database makes maintaining it simpler, and it's not tied to any particular domain name so you can easily copy the files to a different domain if you need to.|Þetta er wiki sem geymir innihald hennar í textaskrár. Ef þú hefur enga gagnagrunni er það einfaldara að halda því áfram og það er ekki bundið við tiltekið lén svo þú getir auðveldlega afritað skrárnar á annað lén ef þú þarft.
Provides an easy and private way to sync calendar and contacts between devices.|Veitir auðveldan og einkanota leið til að samstilla dagbók og tengiliði milli tækja.
Using on mobile|Notkun á farsíma
The user interface is a little misleading. Make sure that you log in with your username, not your email addres.|Notendaviðmótið er svolítið villandi. Gakktu úr skugga um að þú skráir þig inn með notandanafninu þínu, ekki netfangið þitt.
Also choose the advanced option and enter the subdomain that you installed etesync on.|Veldu einnig háþróaða valkostinn og sláðu inn undirlénið sem þú hefur sett upp á etesync á.
This is a well known system for real time collaborative editing of documents. Just log in, choose a document title and then edit. Different users will appear in different colours, and can also chat in the sidebar. This is installed as a private system in which only users on your LibreServer server will be able to create and edit documents, so it's not open to any random users on the internet.|Þetta er þekkt kerfi fyrir rauntíma samvinnuvinnslu skjala. Bara skráðu þig inn, veldu skjal titil og síðan breyta. Mismunandi notendur munu birtast í mismunandi litum og geta einnig spjallað í stikunni. Þetta er sett upp sem einka kerfi þar sem aðeins notendur á LibreServer þjóninum þínum geta búið til og breytt skjölum, þannig að það er ekki opið fyrir handahófi notendur á internetinu.
This is a federated social networking system. It can federate with other popular fediverse systems.|Þetta er tengt félagslegt netkerfi. Það getur samband við aðrar vinsælar fediverse kerfi.
This is a blogging system which has no database and only uses text files for storage.|Þetta er bloggkerfi sem hefur ekki gagnagrunn og notar aðeins textaskrár til geymslu.
This is a git hosting system. It's very similar to Github in appearance and use, is lightweight and so is well suited for use on low power ARM servers.|Þetta er git hýsingu kerfi. Það er mjög svipað Github í útliti og notkun, það er léttt og það er vel til þess fallin að nota á ARM-netþjónum með lágmarkskraft.
This is a web publishing and social network system which includes wiki, web pages, photo albums and file storage. It also has nomadic identity allowing you to easily move your account between different servers and privacy controls which allow you to define who can see what content.|Þetta er vefútgáfa og félagsleg netkerfi sem inniheldur wiki, vefsíður, myndaalbúm og skrár. Það hefur einnig nafnlaus auðkenni sem gerir þér kleift að flytja reikninginn þinn auðveldlega á milli mismunandi netþjóna og persónuverndarstýringar sem leyfir þér að skilgreina hverjir geta séð hvaða efni.
Kanbans are one way of managing projects. They're traditionally used in businesses but can also be useful for personal TODO lists or within open source or DIY projects. If you have a list of things which need to be done and want to keep track of progress then this provides a way to do that.|Kanbans eru ein leið til að stjórna verkefnum. Þeir eru venjulega notaðir í fyrirtækjum en geta einnig verið gagnlegar fyrir persónulega TODO listi eða innan opinn eða DIY verkefni. Ef þú hefur lista yfir hluti sem þarf að gera og langar að fylgjast með framförum þá er þetta leið til að gera það.
The default login is username "admin" and the login password which you usually use for the web interface.|Sjálfgefið innskráning er notandanafn "admin" og innskráningarlykill sem þú notar venjulega fyrir vefviðmótið.
If you're using a Tor browser then you may need to allow javascript for the site by selecting the NoScript icon.|Ef þú ert að nota Tor vafra þá gætir þú þurft að leyfa javascript fyrir síðuna með því að velja NoScript táknið.
Extra users can be added from the drop down menu at the top right of the screen, under "Users management".|Auka notendur geta verið bætt við í fellilistanum efst til hægri á skjánum, undir "Notendur stjórnun".
This enables you to store your music on the LibreServer server and then access it from any internet connected device.|Þetta gerir þér kleift að geyma tónlistina þína á LibreServer miðlara og þá fá aðgang að því frá hvaða internet tengdum tæki.
This is a simple and lightweight photo album for the web. Whether you're an amateur or professional photographer, or want to publish random holiday pics or cat pictures. Lychee just does what it says it does without any fuss.|Þetta er einfalt og létt myndaalbúm fyrir netið. Hvort sem þú ert áhugamaður eða faglegur ljósmyndari, eða vilt birta handahófi frídaga eða myndir úr köttum. Lychee gerir það sem það segir að það gerist án kvíða.
This provides an webmail interface suitable for use on desktop or mobile clients and with built in support for encryption.|Þetta veitir vefpóstflug sem er hentugur til notkunar á skrifborð eða farsíma viðskiptavinum og með innbyggðu stuðningi við dulkóðun.
This is a system for file synchronisation and also has many other plugins for calendar, videoconferencing, collaborative document editing and federated file sharing.|Þetta er kerfi fyrir skrá samstillingu og einnig hefur marga aðra viðbætur fyrir dagatal, videoconferencing, samvinnu skjal útgáfa og federated skrá hlutdeild.
This is a video hosting system which uses webtorrent to help distribute the files to or between clients.|Þetta er vídeó hýsingu kerfi sem notar webtorrent til að hjálpa dreifa skrám til eða milli viðskiptavina.
Use the username 'root' and your usual password to log in as the administrator. You can then change settings as needed.|Notaðu notandanafnið "rót" og venjulegt lykilorð til að skrá þig inn sem stjórnandi. Þú getur síðan breytt stillingum eftir þörfum.
This is an OStatus and ActivityPub compatible social networking server which federates with other fediverse systems. It is high-performance and so is especially well suited for running on low power single board computers without much RAM.|Þetta er OStatus og ActivityPub samhæft félagslegur netþjónn sem tengir við önnur fediverse kerfi. Það er afkastamikill og það er sérstaklega vel til þess fallið að keyra á tölvum með lágmarksvinnu, en ekki mikið RAM.
Since Pleroma supports the same protocols, any Mastodon client for Android should work with it.|Þar sem Pleroma styður sömu samskiptareglur, ætti hvaða Mastodon viðskiptavinur fyrir Android að vinna með það.
This is a fork of GNU Social which includes some extra fixes and optimisations to improve performance. It federates with other fediverse servers, such as Pleroma or Mastodon.|Þetta er gaffal af GNU Social sem inniheldur nokkrar aukalega lagfæringar og hagræðingar til að bæta árangur. Það tengir við aðra fediverse netþjóna, svo sem Pleroma eða Mastodon.
This is an encrypted pastebin, such that the server has zero knowledge of the content. It's intended for small amounts of text less than 32K in length. It's not intended for transfering large files, or for storing pastes for more than a day.|Þetta er dulkóðað pastebin, þannig að þjónninn hefur núllþekkingu á innihaldi. Það er ætlað fyrir lítið magn af texta minna en 32k að lengd. Það er ekki ætlað að flytja stórar skrár, eða til að geyma pasta í meira en einn dag.
This is a web based user interface to the Matrix federated chat system. You will need to have already installed the Matrix app for this to work.|Þetta er vefur tengt notandi tengi við Matrix federated spjall kerfi. Þú verður að hafa þegar sett upp Matrix forritið til að hægt sé að vinna þetta.
This is yet another chat system, but the server part of it isn't federated and so it's suitable for small private groups rather than for general public discussions.|Þetta er ennþá annað spjallkerfi en miðlara hluti þess er ekki tengt og það er hentugur fyrir litla einkahópa frekar en fyrir almenningsviðræður.
Provides a similar capability to proprietary systems such as Dropbox, and also is well suited for use with low power single board computers. You can have one or more directories which are synchronized across your various laptops/desktops/devices, and this makes it hard for you to ever lose important files. Of course, you don't necessarily need to be running a server in order to use Syncthing, but if you do have a server which is always running then there's always at least one place to synchronize your files to or from.|Veitir svipaða möguleika til sérkerfa eins og Dropbox, og er einnig vel við hæfi til notkunar með tölvum með lágmarksvinnu. Þú getur haft einn eða fleiri möppur sem eru samstilltar yfir mismunandi fartölvur þínar / skjáborð / tæki og þetta gerir það erfitt fyrir þig að missa alltaf mikilvægar skrár. Auðvitað þarf ekki endilega að keyra miðlara til þess að nota Syncthing en ef þú ert með miðlara sem er alltaf í gangi þá er alltaf að minnsta kosti ein stað til að samstilla skrárnar þínar til eða frá.
On a Debian based system:|Á Debian undirstaða kerfi:
Or on Android search for the Syncthing app.|Eða á Android leit að Syncthing app.
Using the settings button within the LibreServer web interface for the Syncthing app you can then paste in any IDs for other devices. They will then sync with your server.|Notkun stillingarhnappsins innan LibreServer vefviðmótsins fyrir Syncthing appið getur þú síðan límt inn hvaða auðkenni fyrir önnur tæki. Þeir munu þá samstilla við netþjóninn þinn.
A system for privately creating and sharing notes and images, similar to Evernote. It can be set up so that a small number of users on the server can share their notes in a convenient way. It doesn't have any web user interface, and you need to install native clients on mobile or laptop/desktop machines.|Kerfi til að búa til persónulega og deila skýringum og myndum, svipað Evernote. Hægt er að setja það upp þannig að lítill fjöldi notenda á þjóninum geti deilt notendunum á þægilegan hátt. Það hefur enga notendaviðmót fyrir notendur, og þú þarft að setja upp innbyggða viðskiptavini á farsíma eða fartölvu / skrifborðsvélar.
Since the data at rest is stored in PGP encrypted format this is a good system to use in cases where security really is a critical factor.|Þar sem gögnin í hvíld eru geymd í PGP dulkóðaðri sniði er þetta gott kerfi til notkunar í þeim tilvikum þar sem öryggi er í raun mikilvægur þáttur.
Go to https://turtlapp.com/download and you'll then be able to download the appropriate app for your laptop or phone.|Farðu á https://turtlapp.com/download og þá munt þú geta hlaðið niður viðeigandi forriti fyrir fartölvuna þína eða símann.
Run the downloaded native app then at the bottom of the screen select "advanced settings" and enter your turl domain name, then register a new account. The password can be anything you choose, but since the client side encryption depends upon having a good password make it a long random string generated by a password manager such as KeepassX.|Hlaupa niður innfæddur app þá neðst á skjánum veldu "háþróaðar stillingar" og sláðu inn heitið þitt til að láta þig vita, skráðu síðan nýjan reikning. Lykilorðið getur verið allt sem þú velur, en þar sem dulkóðun viðskiptavina fer eftir því að hafa gott aðgangsorð, þá er það langur handahófi strengur sem er búin til af lykilorðsstjóri, svo sem KeepassX.
You should then be able to log in and start using the app. You might also want to invite any other users of your LibreServer system to also sign up using the turtl domain name which you specified during installation.|Þú ættir þá að geta skráð þig inn og byrjað að nota forritið. Þú gætir líka viljað bjóða öðrum notendum LibreServer kerfisins til að skrá þig líka með því að nota turtl lénið sem þú tilgreindir við uppsetningu.
Disabling new registrations|Slökkt á nýjum skráningum
Once you have set up the server with however many users are needed you can then disable any new registrations by selecting Turtl on the LibreServer web interface and going to the settings screen.|Þegar þú hefur sett upp miðlara með því að nota margar notendur, getur þú þá slökkt á nýjum skráningum með því að velja Turtl á LibreServer vefviðmótið og fara á stillingarskjáinn.
This is similar to Hubzilla but with a reduced range of features concentrating exclusively upon social networking with the latest version of the Zot protocol. Nomadic identity is supported, so to can export your channels and import them on other servers if necessary, without losing followers.|Þetta er svipað og Hubzilla en með minna úrval af eiginleikum sem einbeita sér eingöngu á félagslega neti með nýjustu útgáfunni af Zot samskiptareglum. Nafnlaus auðkenni er stutt, svo að hægt sé að flytja út rásirnar og flytja þær inn á aðra netþjóna ef nauðsyn krefur, án þess að tapa fylgjendum.
Zap also has sophisticated privacy controls which enable you to decide exactly how you wish to interact with other users and what information of yours they can view.|Zap hefur einnig háþróaða persónuverndarstýringar sem gerir þér kleift að ákveða nákvæmlega hvernig þú vilt hafa samskipti við aðra notendur og hvaða upplýsingar sem þú getur skoðað.
The first account you register will be the administrator user, and from there you can go to the admin settings and disable new registrations if needed.|Fyrsta reikningurinn sem þú skráir verður stjórnandi notandi og þaðan getur þú farið í stjórnunarstillingar og slökkt á nýjum skráningum ef þörf krefur.
To find other users to follow select "directory" from the drop down menu at the top right of the screen and set "this site only" to "no".|Til að finna aðra notendur að fylgja veldu "möppu" í fellilistanum efst til hægri á skjánum og stilltu aðeins "þessa síðu" í "nei".
There is an Android app available called Nomad.|Það er Android app í boði sem heitir Nomad.
End-to-end encrypted sync of calendar and contacts between devices|Endalokað dulkóðað samstilling dagbókar og tengiliða milli tækja
Secure, end-to-end encrypted and journaled personal information cloud synchronization for Android and the desktop, supporting contacts and calendars|Öruggt, endalokað dulkóðuð og blaðsíðanlegt persónuupplýsingaský samstilling fyrir Android og skjáborðið, styðja tengiliði og dagatöl
Nomadic social network server|Nomadic félagslegur netþjónn
Zap is a full featured social network application running under the Zot6 protocol. It provides enhanced privacy modes and identity/content mirroring across multiple servers ("nomadic identity").|Zap er fullbúið félagsleg netforrit sem keyrir undir Zot6 samskiptareglum. Það veitir aukna persónuverndarmöguleika og auðkenni / innihaldspeglun á mörgum netþjónum ("nafnlaus auðkenni").
Change background|Breyta bakgrunn
Diagnostics|Greining
Please wait while your app is installing|Bíddu meðan forritið þitt er að setja upp
The app could not be installed|Forritið gat ekki verið sett upp
Add a new member|Bæta við nýjum meðlimi
Kanban focussed on simplicity and minimalism|Kanban áherslu á einfaldleika og naumhyggju
Emails, chat or social network posts will be blocked if they contain the following words or phrases|Tölvupóst, spjall eða félagslegur netpóstur verður lokað ef þau innihalda eftirfarandi orð eða orðasambönd
Muted words|Muted orð
Disk space is getting too low. Installation stopped.|Diskur rúm er að verða of lágt. Uppsetning hætt.
Password changed|Lykilorð breytt
Play media from any UPNP/DLNA device on your local network|Spilaðu frá miðöldum frá hvaða UPNP / DLNA tæki á þínu staðarneti
This allows you to play media on any DLNA supporting device within your local network.|Þetta gerir þér kleift að spila fjölmiðla á hvaða DLNA-stuðningsbúnaði sem er innan sveitarstjórnar.
No Access Control|Engin aðgangsstýring
DLNA doesn't have any access controls, so keep in mind that anyone with a mobile device or laptop within your local network is potentially able to play any media on the server. Hence this may not be suitable for situations where you want parental control over what media can be accessed.|DLNA hefur ekki aðgangsstýringu, svo hafðu í huga að einhver með farsíma eða fartölvu innan netkerfis þíns gæti hugsanlega spilað hvaða miðla á þjóninum. Þess vegna getur þetta ekki verið hentugur fyrir aðstæður þar sem þú vilt stjórna foreldra yfir hvaða miðla er hægt að nálgast.
Adding Media|Bæta við fjölmiðlum
You can add media by selecting the settings button from the DLNA app.|Þú getur bætt við fjölmiðlum með því að velja stillingarhnappinn úr DLNA appinu.
Your homepage can also be accessed with a Tor browser on:|Einnig er hægt að nálgast heimasíðuna þína með Tor-vafra á:
Chat|Spjall
Media|Media
Social|Félagsleg
Sync|Sync
Publishing|Útgáfa
Other|Annað
Recommended Firefox Add-ons:|Mælt Firefox viðbætur:
Change your default domain name|Breyta sjálfgefnu léninu þínu
Do you want to change your default domain name to:|Viltu breyta sjálfgefnu léninu þínu á:
rsync failed|rsync mistókst
For most purposes Syncthing is an easier file synchronization system, but rsync is still a reliable solution if you prefer to do things the more traditional way or if you just want to create a mirror from an existing rsync server.|Í flestum tilgangi Syncthing er auðveldara skrá samstillingu kerfi, en rsync er enn áreiðanlegur lausn ef þú vilt frekar gera hluti á hefðbundnum hátt eða ef þú vilt bara búa til spegil frá núverandi rsync miðlara.
Rsync is unencrypted but can be used via an onion address for transport security. If you are using it via your domain name then third parties will be able to see the content, but this may not matter if you are synchronizing already public files, such as GNU/Linux distro downloads.|Rsync er ókóðað en hægt er að nota með laukfangi til flutningsöryggis. Ef þú notar það í gegnum lénið þitt þá munu þriðju aðilar geta séð efnið, en þetta skiptir ekki máli ef þú ert að samstilla nú þegar opinberar skrár, svo sem GNU / Linux distro niðurhal.
Avoid using this for private data, unless you are exclusively using rsync via the onion address.|Forðastu að nota þetta til einkanota, nema þú notar eingöngu rsync með laukalanganum.
Creating a Mirror|Búa til spegil
Select the Settings button then enter the domain and module name for the mirror. From then on synchronization will happen once per day.|Veldu Stillingar hnappinn og sláðu síðan inn lénið og mát nafnið fyrir spegilinn. Frá þeim tíma mun samstilling verða einu sinni á dag.
Local Sync|Staðbundin samstilling
If you created a mirror to your server you can then sync those files to other machines or devices on your local network as follows:|Ef þú hefur búið til spegil á netþjóninn geturðu þá samstilla þær skrár við aðrar vélar eða tæki á staðarneti þínu sem hér segir:
If "libreserver" doesn't work then you can substitute the local IP address of your server.|Ef "libreserver" virkar ekki þá getur þú skipt um staðbundna IP tölu miðlara þinnar.
Create a mirror of public files|Búðu til spegil af opinberum skrám
The domain name could not be changed|Lénið gæti ekki breyst
This might be because you do not have ports 80 and 443 forwarded to the server.|Þetta gæti verið vegna þess að þú hefur ekki höfn 80 og 443 send á vefþjóninn.
Check the port forwarding settings on your internet router.|Athugaðu stillingar hafnarforrita á internetinu þínu.
Please specify a domain name which will be used for your email or XMPP address.|Vinsamlegast tilgreindu lén sem verður notað fyrir netfangið þitt eða XMPP-netfangið.
Please forward the following ports from your internet router:|Vinsamlegast sendu eftirfarandi höfn frá netleiðinni þinni:
Search for 'Barcode Scanner', then select 'install'|Leitaðu að 'Strikamerkjaskanni' og veldu 'setja'
Download the DarkMessenger apk file via the link below, preferably using a Tor based browser, then install it|Sækja skrá af fjarlægri tölvu DarkMessenger apk skráin í gegnum tengilinn hér fyrir neðan, helst með því að nota Tor-vafra og settu hana síðan upp
Run DarkMessenger and the initial account setup will be shown. DarkMessenger only allows onion addresses to be used to create accounts|Hlaupa DarkMessenger og upphafsreikningurinn verður sýndur. DarkMessenger leyfir aðeins lúta heimilisföng til að búa til reikninga
You can obtain your onion XMPP address from the Members section within the web interface, usually at http://libreserver/admin or http://libreserver.local/admin. If you can't easily copy and paste it into the account setup within DarkMessenger then you can use the barcode scanner on the QRcode displayed|Þú getur fengið lauk XMPP-netfangið þitt frá meðlimum hluta innan vefviðmótsins, venjulega á http: // libreserver / admin eða http: //libreserver.local/admin. Ef þú getur ekki auðveldlega afritað og límt það inn í reikningsuppsetninguna í DarkMessenger þá geturðu notað strikamerkjaskannann á QRcode birtist
Enter the password which you stored during initial setup of the system and also the onion domain|Sláðu inn lykilorðið sem þú hefur geymt við fyrstu uppsetningu kerfisins og einnig laukalén
You should now be able to connect to your onion XMPP account and set an avatar image if necessary|Þú ættir nú að geta tengst XMPP reikningnum þínum og lauk mynd af Avatar ef þörf krefur
When sending or receiving pictures or other attachments for the first time you will need to accept the self-signed certificates. Select 'always' twice. This should only happen once per contact|Þegar þú sendir eða tekur á móti myndum eða öðrum viðhengjum í fyrsta sinn þarftu að samþykkja sjálfanrituð vottorð. Veldu 'alltaf' tvisvar. Þetta ætti aðeins að gerast einu sinni á tengilið
Under Settings/Expert you may want to change the automatic message deletion period. By default this is one day|Undir Stillingar / Sérfræðingur gætirðu viljað breyta sjálfvirka skilaboðum. Sjálfgefið er þetta ein dagur
When setting up a group chat first ensure that you have separately confirmed two way messaging with each of the participants individually|Þegar þú setur upp hópspjall skal fyrst ganga úr skugga um að þú hafir sérstaklega staðfest tvíhliða skilaboð með hverjum þátttakendum fyrir sig
Enable strict TLS authentication between XMPP servers?|Virkja ströng TLS staðfesting á milli XMPP netþjóna?
If you or other people are having difficulty joining multi-user chat then enabling this might help|Ef þú eða aðrir eiga í erfiðleikum með að taka þátt í multi-notandi spjall þá gæti þetta hjálpað
