About|Около
You can now go back to the initial Conversations app screen and start using it. You'll probably want to add contacts using the icon at the bottom right. For more information see the Conversations website (conversations.im) or subscribe to the chat group conversations@conference.siacs.eu|Теперь вы можете вернуться к первому экрану приложения «Разговоры» и начать использовать его. Вероятно, вы захотите добавить контакты, используя значок внизу справа. Для получения дополнительной информации см. Веб-сайт Conversations (conversations.im) или подпишитесь на чат-группу conversations@conference.siacs.eu
You can now log in with:|Теперь вы можете войти в систему с помощью:
You can see upgrade progress|Вы можете увидеть прогресс обновления
You can use left and right cursor keys to move through pages|Вы можете использовать левую и правую клавиши курсора для перемещения по страницам
You may also want to make another entry with the same settings but replacing tcp with udp.|Вы также можете сделать еще одну запись с теми же настройками, но вместо tcp вместо udp.
You may now remove the USB drive|Теперь вы можете удалить USB-накопитель
You might have mistyped one of them|Возможно, вы ошиблись один из них
You will see the translations file with some instructions at the top.|Вы увидите файл с несколькими инструкциями вверху.
Your password must be at least 8 characters in length and only use the characters a-z A-Z and 0-9|Ваш пароль должен содержать не менее 8 символов и использовать только символы a-z A-Z и 0-9
Zero knowledge pastebin|Нулевое знание pastebin
Theme|тема
Light|Легкий
Dark|Темно
Mail|почта
Clear|Очистить
Send email through a proxy|Отправить письмо через прокси-сервер
If you find that you can't send out email and that you get 'failed delivery' messages returned instead then you may be able to proxy sent emails through another server. Sometimes ISPs or companies provide an SMTP server which can do this.|Hvis du finner ut at du ikke kan sende ut e-post og at du får mislykkede leveringsmeldinger, kan du sende proxy через электронную почту через сервер en annen. Иногда интернет-провайдеры могут работать с SMTP-сервером.
Failed to install. For details see admin/applog.txt|Не удалось установить. Подробнее см. Admin / applog.txt
Installed successfully|Установлен успешно
pihole|pihole
Unlike browser based ad blockers, pihole works at the domain name resolution level to block domains known to privide the ads appearing in web pages.|В отличие от браузеров, основанных на объявлениях, pihole работает на уровне разрешения имен доменов, чтобы блокировать домены, которые, как известно, лишают объявления, появляющиеся на веб-страницах.
Set your DNS IP address to the one shown and many ads will get blocked even before they're delivered to your laptop or mobile device. This can save a lot of bandwidth and generally speed up the loading of websites.| Установите IP-адрес DNS на тот, который был показан, и многие объявления будут заблокированы даже до того, как они будут доставлены на ваш ноутбук или мобильное устройство. Это может сэкономить много полосы пропускания и, как правило, ускорить загрузку веб-сайтов.
Change DNS on your internet router| Изменение DNS на вашем интернет-маршрутизаторе
If your internet router allows you to change the DNS IP address then this is the best way to use pihole because it will then provide coverage for all of the devices and computers in your home.|Если ваш интернет-маршрутизатор позволяет вам изменить IP-адрес DNS, тогда это лучший способ использовать pihole, потому что он будет обеспечивать покрытие для всех устройств и компьютеров в вашем доме.
Change DNS on individual devices|Изменение DNS на отдельных устройствах
If you can't change your internet router's DNS then you can do that on individual GNU/Linux systems as follows:| Если вы не можете изменить DNS своего интернет-маршрутизатора, вы можете сделать это на отдельных системах GNU/Linux следующим образом:
Remove or comment out any existing nameservers and add one with the IP address shown for the pihole app. Something like:|Удалите или закомментируйте существующие серверы имен и добавьте их с IP-адресом, указанным для приложения pihole. Что-то вроде:
Then save and exit and prevent the file from being automatically changed with:| Затем сохраните и выйдите и запретите автоматическое изменение файла с помощью:
If you're running the standard version of LibreServer (not the onion version) then you may need to modify your hosts file to access your own domain.|Если вы используете стандартную версию LibreServer (а не версию лука), вам может потребоваться изменить файл hosts для доступа к вашему собственному домену.
Then add something like:|Затем добавьте что-то вроде:
This only works when you're within your home network, so if you're outside of your home then undo the changes made above.|Это работает только тогда, когда вы находитесь в своей домашней сети, поэтому, если вы находитесь за пределами своего дома, отмените сделанные выше изменения.
The Pi-hole is a DNS sinkhole that protects your devices from unwanted content, without installing any client-side software.|Pi-hole - это прорезь DNS, которая защищает ваши устройства от нежелательного контента, не устанавливая программное обеспечение на стороне клиента.
Search|Поиск
removed|удален
To get email working you will need to forward some ports. Email using your onion address will work anyway, so long as you are contacting other onion based email addresses.|Для работы с электронной почтой вам нужно будет перенаправить некоторые порты. Электронная почта с использованием вашего лукового адреса будет работать в любом случае, если вы обратитесь к другим адресам электронной почты на основе лука.
Forward ports 25, 587 and 465 from your internet router|Переслать порты 25, 587 и 465 с вашего интернет-маршрутизатора
To access cryptpad you'll need to use a Tor browser. Navigate to the URL and enable javascript for the site under the NoScript icon. The screen will be blank for a few seconds while it's downloading the application into your browser.|Чтобы получить доступ к cryptpad, вам необходимо использовать браузер Tor. Перейдите к URL-адресу и включите javascript для сайта под значком NoScript. Экран будет пустым в течение нескольких секунд, пока он загрузит приложение в ваш браузер.
Cryptpad is an almost peer-to-peer application. No data is stored on the server, which only does minimal orchestration between the clients. If an adversary subsequently obtains the server they still learn nothing.|Cryptpad - это почти одноранговое приложение. На сервере не хранятся данные, которые только делают минимальную согласованность между клиентами. Если впоследствии игрок получает сервер, они все равно ничего не узнают.
Authentication Token|Идентификатор аутентификации
This is only needed if you're using FreeDNS. Otherwise you can leave it blank.|Это необходимо, только если вы используете FreeDNS. В противном случае вы можете оставить его пустым.
On the site where you obtained your domain name set up some custom nameservers as follows:|На сайте, где вы получили свое доменное имя, настроены некоторые пользовательские серверы имен следующим образом:
On the FreeDNS site go to the "Dynamic DNS" section and make sure that "link updates of the same IP together" is set to ON.|На сайте FreeDNS перейдите в раздел «Динамический DNS» и убедитесь, что «обновления ссылок на один и тот же IP-адрес» установлены в ON.
For your main domain name select "quick cron example" and then your authentication token is the random string on the last line between the ? and = characters.|Для вашего основного имени домена выберите «быстрый пример cron», а затем ваш токен аутентификации - это случайная строка на последней строке между символами? И =.
Your current IP address is shown at the top of the Dynamic DNS screen of the LibreServer user interface. You can use the "Mass Mod" feature at the top of the "Subdomains" part of the FreeDNS site to set all of your subdomains to that IP address.|Вы можете использовать функцию «Mass Mod» в верхней части части «Subdomains» сайта FreeDNS, чтобы установить все ваши поддомены в это IP-адрес.
Select the MX entry for your main domain and change the destination to 10:mydomainname rather than 10:mail.mydomainname.|Выберите запись MX для вашего основного домена и измените пункт назначения на 10: mydomainname, а не 10: mail.mydomainname.
Enter your FreeDNS login details and the authentication token on the Dynamic DNS screen of the LibreServer user interface.|Введите данные для входа FreeDNS и токен аутентификации на экран динамического DNS пользовательского интерфейса LibreServer.
To make a playlist insert a USB drive containing audio files in a directory called playlist, add a description below and then select Update|Чтобы плейлист ввел USB-накопитель, содержащий аудиофайлы в каталог с именем playlist, добавьте описание ниже, а затем выберите «Обновить»
To add music copy it to a directory called Music on a USB drive then plug it into your server and select Update|Чтобы добавить музыку, скопируйте ее в каталог под названием «Музыка» на USB-накопителе, затем подключите его к своему серверу и выберите «Обновить».
This is a wiki which stores its content in text files. Having no database makes maintaining it simpler, and it's not tied to any particular domain name so you can easily copy the files to a different domain if you need to.|Это wiki, который хранит его содержимое в текстовых файлах. Отсутствие базы данных упрощает ее упрощение и не привязывается к какому-либо конкретному доменному имени, поэтому вы можете легко скопировать файлы в другой домен, если вам нужно.
Provides an easy and private way to sync calendar and contacts between devices.|Обеспечивает простой и удобный способ синхронизации календаря и контактов между устройствами.
Using on mobile|Использование на мобильных устройствах
The user interface is a little misleading. Make sure that you log in with your username, not your email addres.|Пользовательский интерфейс немного вводит в заблуждение. Убедитесь, что вы входите в систему с вашим именем пользователя, а не по электронной почте.
Also choose the advanced option and enter the subdomain that you installed etesync on.|Также выберите расширенный вариант и введите субдомен, на который вы установили etesync.
This is a well known system for real time collaborative editing of documents. Just log in, choose a document title and then edit. Different users will appear in different colours, and can also chat in the sidebar. This is installed as a private system in which only users on your LibreServer server will be able to create and edit documents, so it's not open to any random users on the internet.|Это хорошо известная система совместного редактирования документов в режиме реального времени. Просто войдите в систему, выберите заголовок документа и затем отредактируйте его. Различные пользователи будут отображаться в разных цветах, а также могут общаться на боковой панели. Это устанавливается как частная система, в которой только пользователи на вашем сервере LibreServer смогут создавать и редактировать документы, поэтому они не открыты для случайных пользователей в Интернете.
This is a federated social networking system. It can federate with other popular fediverse systems.|Это объединенная система социальных сетей. Он может объединяться с другими популярными системами fediverse.
This is a blogging system which has no database and only uses text files for storage.|Это система ведения блога, которая не имеет базы данных и использует только текстовые файлы для хранения.
This is a git hosting system. It's very similar to Github in appearance and use, is lightweight and so is well suited for use on low power ARM servers.|Это система хостинга git. Он очень похож на Github по внешнему виду и использованию, является легким и поэтому хорошо подходит для использования на серверах с низким энергопотреблением ARM.
This is a web publishing and social network system which includes wiki, web pages, photo albums and file storage. It also has nomadic identity allowing you to easily move your account between different servers and privacy controls which allow you to define who can see what content.|Это система веб-публикации и социальной сети, которая включает в себя вики, веб-страницы, фотоальбомы и хранилище файлов. Он также имеет кочевой идентификатор, позволяющий легко перемещать вашу учетную запись между различными серверами и средствами контроля конфиденциальности, которые позволяют определить, кто может видеть, какой контент.
Kanbans are one way of managing projects. They're traditionally used in businesses but can also be useful for personal TODO lists or within open source or DIY projects. If you have a list of things which need to be done and want to keep track of progress then this provides a way to do that.|Канбанс - это один из способов управления проектами. Они традиционно используются на предприятиях, но также могут быть полезны для личных списков TODO или проектов с открытым исходным кодом или DIY. Если у вас есть список вещей, которые нужно сделать, и вы хотите отслеживать прогресс, то это дает возможность сделать это.
The default login is username "admin" and the login password which you usually use for the web interface.|Логин по умолчанию - это имя пользователя «admin» и пароль для входа, который вы обычно используете для веб-интерфейса.
If you're using a Tor browser then you may need to allow javascript for the site by selecting the NoScript icon.|Если вы используете браузер Tor, вам может потребоваться разрешить javascript для сайта, выбрав значок NoScript.
Extra users can be added from the drop down menu at the top right of the screen, under "Users management".|Дополнительные пользователи могут быть добавлены из выпадающего меню в правом верхнем углу экрана в разделе «Управление пользователями».
This enables you to store your music on the LibreServer server and then access it from any internet connected device.|Это позволяет хранить музыку на сервере LibreServer, а затем получать доступ к ней с любого подключенного к Интернету устройства.
This is a simple and lightweight photo album for the web. Whether you're an amateur or professional photographer, or want to publish random holiday pics or cat pictures. Lychee just does what it says it does without any fuss.|Это простой и легкий фотоальбом для Интернета. Независимо от того, являетесь ли вы любителем или профессиональным фотографом, или хотите публиковать случайные фотографии для отдыха или фотографии кошек. Личи просто делает то, что он говорит, без суеты.
This provides an webmail interface suitable for use on desktop or mobile clients and with built in support for encryption.|Это обеспечивает интерфейс веб-почты, подходящий для использования на настольных или мобильных клиентах и ​​со встроенной поддержкой шифрования.
This is a system for file synchronisation and also has many other plugins for calendar, videoconferencing, collaborative document editing and federated file sharing.|Это система для синхронизации файлов, а также множество других плагинов для календаря, видеоконференций, совместного редактирования документов и совместного использования файлов.
This is a video hosting system which uses webtorrent to help distribute the files to or between clients.|Это система видео-хостинга, которая использует webtorrent для распространения файлов между клиентами или между ними.
Use the username 'root' and your usual password to log in as the administrator. You can then change settings as needed.|Используйте имя пользователя «root» и свой обычный пароль для входа в систему как администратор. Затем вы можете изменить настройки по мере необходимости.
This is an OStatus and ActivityPub compatible social networking server which federates with other fediverse systems. It is high-performance and so is especially well suited for running on low power single board computers without much RAM.|Это совместимый с OStatus и ActivityPub социальный сетевой сервер, который объединяется с другими системами fediverse. Он отличается высокой производительностью и особенно хорошо подходит для работы на маломощных одноплатных компьютерах без большой памяти.
Since Pleroma supports the same protocols, any Mastodon client for Android should work with it.|Поскольку Pleroma поддерживает те же протоколы, любой клиент Mastodon для Android должен работать с ним.
This is a fork of GNU Social which includes some extra fixes and optimisations to improve performance. It federates with other fediverse servers, such as Pleroma or Mastodon.|Это вилка GNU Social, которая включает некоторые дополнительные исправления и оптимизацию для повышения производительности. Он объединяется с другими серверами fediverse, такими как Pleroma или Mastodon.
This is an encrypted pastebin, such that the server has zero knowledge of the content. It's intended for small amounts of text less than 32K in length. It's not intended for transfering large files, or for storing pastes for more than a day.|Это зашифрованный пастебин, так что сервер имеет нулевое знание содержимого. Он предназначен для небольших объемов текста длиной менее 32K. Он не предназначен для переноса больших файлов или для хранения паст более чем на один день.
This is a web based user interface to the Matrix federated chat system. You will need to have already installed the Matrix app for this to work.|Это веб-интерфейс пользователя для системы Matrix со встроенным чатом. Для этого вам нужно будет установить приложение Matrix.
This is yet another chat system, but the server part of it isn't federated and so it's suitable for small private groups rather than for general public discussions.|Это еще одна чат-система, но серверная часть ее не объединяется и поэтому подходит для небольших частных групп, а не для общих публичных обсуждений.
Provides a similar capability to proprietary systems such as Dropbox, and also is well suited for use with low power single board computers. You can have one or more directories which are synchronized across your various laptops/desktops/devices, and this makes it hard for you to ever lose important files. Of course, you don't necessarily need to be running a server in order to use Syncthing, but if you do have a server which is always running then there's always at least one place to synchronize your files to or from.|Обеспечивает аналогичную возможность для проприетарных систем, таких как Dropbox, а также хорошо подходит для использования с маломощными одноплатными компьютерами. У вас может быть одна или несколько каталогов, которые синхронизируются на разных ноутбуках / настольных компьютерах / устройствах, и это затрудняет вам когда-либо потерять важные файлы. Конечно, вам не обязательно запускать сервер, чтобы использовать Syncthing, но если у вас есть сервер, который всегда работает, всегда есть хотя бы одно место для синхронизации ваших файлов с или из.
On a Debian based system:|В системе на базе Debian:
Or on Android search for the Syncthing app.|Или в Android найдите приложение Syncthing.
Using the settings button within the LibreServer web interface for the Syncthing app you can then paste in any IDs for other devices. They will then sync with your server.|Используя кнопку настроек в веб-интерфейсе LibreServer для приложения Syncthing, вы можете вставить любые идентификаторы для других устройств. Затем они будут синхронизироваться с вашим сервером.
A system for privately creating and sharing notes and images, similar to Evernote. It can be set up so that a small number of users on the server can share their notes in a convenient way. It doesn't have any web user interface, and you need to install native clients on mobile or laptop/desktop machines.|Система для частного создания и обмена заметками и изображениями, аналогичная Evernote. Его можно настроить таким образом, чтобы небольшое количество пользователей на сервере могло делиться своими заметками удобным способом. Он не имеет веб-интерфейса пользователя, и вам нужно установить собственные клиенты на мобильных или портативных / настольных компьютерах.
Since the data at rest is stored in PGP encrypted format this is a good system to use in cases where security really is a critical factor.|Поскольку данные в состоянии покоя хранятся в зашифрованном формате PGP, это хорошая система для использования в тех случаях, когда безопасность действительно является критическим фактором.
Go to https://turtlapp.com/download and you'll then be able to download the appropriate app for your laptop or phone.|Перейдите на страницу https://turtlapp.com/download, после чего вы сможете загрузить соответствующее приложение для своего ноутбука или телефона.
Run the downloaded native app then at the bottom of the screen select "advanced settings" and enter your turl domain name, then register a new account. The password can be anything you choose, but since the client side encryption depends upon having a good password make it a long random string generated by a password manager such as KeepassX.|Запустите загруженное собственное приложение, а затем в нижней части экрана выберите «расширенные настройки» и введите свое доменное имя turl, а затем зарегистрируйте новую учетную запись. Пароль может быть любым, что вы выбираете, но поскольку шифрование на стороне клиента зависит от наличия хорошего пароля, это делает длинную случайную строку, создаваемую менеджером паролей, таким как KeepassX.
You should then be able to log in and start using the app. You might also want to invite any other users of your LibreServer system to also sign up using the turtl domain name which you specified during installation.|Затем вы должны войти в систему и начать использовать приложение. Вы также можете пригласить других пользователей вашей системы LibreServer также зарегистрироваться с использованием доменного имени turtl, которое вы указали во время установки.
Disabling new registrations|Отключение новых регистраций
Once you have set up the server with however many users are needed you can then disable any new registrations by selecting Turtl on the LibreServer web interface and going to the settings screen.|После того, как вы настроили сервер, но сколько угодно пользователей, вы можете отключить любые новые регистрации, выбрав Turtl на веб-интерфейсе LibreServer и перейдя на экран настроек.
This is similar to Hubzilla but with a reduced range of features concentrating exclusively upon social networking with the latest version of the Zot protocol. Nomadic identity is supported, so to can export your channels and import them on other servers if necessary, without losing followers.|Это похоже на Hubzilla, но с ограниченным набором функций, концентрирующихся исключительно на социальных сетях с последней версией протокола Zot. Поддержка Nomadic идентична, поэтому вы можете экспортировать свои каналы и импортировать их на другие серверы, если это необходимо, без потери последователей.
The first account you register will be the administrator user, and from there you can go to the admin settings and disable new registrations if needed.|Первая учетная запись, которую вы регистрируете, будет пользователем администратора, и оттуда вы можете перейти к настройкам администратора и отключить новые регистрации, если это необходимо.
To find other users to follow select "directory" from the drop down menu at the top right of the screen and set "this site only" to "no".|Чтобы найти других пользователей, выберите «каталог» в раскрывающемся меню в правом верхнем углу экрана и установите «этот сайт только» в «нет».
There is an Android app available called Nomad.|Существует приложение для Android под названием Nomad.
End-to-end encrypted sync of calendar and contacts between devices|Сквозная зашифрованная синхронизация календаря и контактов между устройствами
Secure, end-to-end encrypted and journaled personal information cloud synchronization for Android and the desktop, supporting contacts and calendars|Безопасная, сквозная зашифрованная и журнализированная личная синхронизация информации для Android и рабочего стола, поддержка контактов и календарей
Nomadic social network server|Nomadic социальный сетевой сервер
Change background|Изменить фон
Diagnostics|диагностика
Please wait while your app is installing|Подождите, пока приложение будет установлено.
The app could not be installed|Приложение не может быть установлено
Add a new member|Добавить нового участника
Kanban focussed on simplicity and minimalism|Канбан сосредоточился на простоте и минимализме
Emails, chat or social network posts will be blocked if they contain the following words or phrases|Сообщения электронной почты, чата или социальной сети будут заблокированы, если они содержат следующие слова или фразы
Muted words|Приглушенные слова
Disk space is getting too low. Installation stopped.|Дисковое пространство становится слишком низким. Установка остановлена.
Password changed|пароль изменен
Play media from any UPNP/DLNA device on your local network|Воспроизведение медиа с любого устройства UPNP / DLNA в локальной сети
This allows you to play media on any DLNA supporting device within your local network.|Это позволяет воспроизводить медиа на любом поддерживающем DLNA устройстве в локальной сети.
No Access Control|Нет контроля доступа
DLNA doesn't have any access controls, so keep in mind that anyone with a mobile device or laptop within your local network is potentially able to play any media on the server. Hence this may not be suitable for situations where you want parental control over what media can be accessed.|У DLNA нет элементов управления доступом, поэтому имейте в виду, что любой, у кого есть мобильное устройство или ноутбук в вашей локальной сети, потенциально может воспроизводить любые носители на сервере. Следовательно, это может быть неприемлемо для ситуаций, когда вы хотите, чтобы родительский контроль над доступом к СМИ.
Adding Media|Добавление мультимедиа
You can add media by selecting the settings button from the DLNA app.|Вы можете добавить медиа, выбрав кнопку настроек из приложения DLNA.
Your homepage can also be accessed with a Tor browser on:|Ваша домашняя страница также доступна через браузер Tor на:
Chat|чат
Media|Медиа
Social|Социальные
Sync|Синхронизация
Publishing|Издательство
Other|Другое
Recommended Firefox Add-ons:|Рекомендуемые дополнения Firefox:
Change your default domain name|Изменить имя домена по умолчанию
Do you want to change your default domain name to:|Вы хотите изменить имя домена по умолчанию на:
rsync failed|Rsync не удалось
For most purposes Syncthing is an easier file synchronization system, but rsync is still a reliable solution if you prefer to do things the more traditional way or if you just want to create a mirror from an existing rsync server.|Для большинства целей Syncthing - более простая система синхронизации файлов, но rsync по-прежнему является надежным решением, если вы предпочитаете делать вещи более традиционным способом или если вы просто хотите создать зеркало на существующем сервере rsync.
Rsync is unencrypted but can be used via an onion address for transport security. If you are using it via your domain name then third parties will be able to see the content, but this may not matter if you are synchronizing already public files, such as GNU/Linux distro downloads.|Rsync не зашифрован, но может использоваться через адрес лука для безопасности транспорта. Если вы используете его через свое доменное имя, тогда сторонние пользователи смогут просматривать контент, но это может не иметь значения, если вы синхронизируете уже общедоступные файлы, такие как загрузки дистрибутивов GNU / Linux.
Avoid using this for private data, unless you are exclusively using rsync via the onion address.|Избегайте использования этого для личных данных, если только вы не используете rsync только по луковому адресу.
Creating a Mirror|Создание зеркала
Select the Settings button then enter the domain and module name for the mirror. From then on synchronization will happen once per day.|Нажмите кнопку «Настройки», затем введите домен и имя модуля для зеркала. С этого момента синхронизация будет происходить один раз в день.
Local Sync|Локальная синхронизация
If you created a mirror to your server you can then sync those files to other machines or devices on your local network as follows:|Если вы создали зеркало на своем сервере, вы можете синхронизировать эти файлы с другими компьютерами или устройствами в вашей локальной сети следующим образом:
If "libreserver" doesn't work then you can substitute the local IP address of your server.|Если «libreserver» не работает, вы можете заменить локальный IP-адрес вашего сервера.
Create a mirror of public files|Создать зеркало публичных файлов
The domain name could not be changed|Доменное имя не может быть изменено
This might be because you do not have ports 80 and 443 forwarded to the server.|Это может быть связано с тем, что у вас нет портов 80 и 443, перенаправленных на сервер.
Check the port forwarding settings on your internet router.|Проверьте настройки переадресации портов на вашем интернет-роутере.
Please specify a domain name which will be used for your email or XMPP address.|Пожалуйста, укажите доменное имя, которое будет использоваться для вашей электронной почты или адреса XMPP.
Please forward the following ports from your internet router:|Пожалуйста, перешлите следующие порты с вашего интернет-роутера:
Search for 'Barcode Scanner', then select 'install'|Найдите «Сканер штрих-кода», затем выберите «Установить»
Download the DarkMessenger apk file via the link below, preferably using a Tor based browser, then install it|Загрузите apk-файл DarkMessenger по ссылке ниже, желательно с помощью браузера на базе Tor, затем установите его
Run DarkMessenger and the initial account setup will be shown. DarkMessenger only allows onion addresses to be used to create accounts|Запустите DarkMessenger, и начальные настройки учетной записи будут показаны. DarkMessenger разрешает использовать только луковые адреса для создания учетных записей
You can obtain your onion XMPP address from the Members section within the web interface, usually at http://libreserver/admin or http://libreserver.local/admin. If you can't easily copy and paste it into the account setup within DarkMessenger then you can use the barcode scanner on the QRcode displayed|Вы можете получить свой XMPP-адрес в разделе «Члены» в веб-интерфейсе, обычно по адресу http: // libreserver / admin или http: //libreserver.local/admin. Если вы не можете легко скопировать и вставить его в настройки учетной записи в DarkMessenger, тогда вы можете использовать сканер штрих-кода на отображаемом QR-коде.
Enter the password which you stored during initial setup of the system and also the onion domain|Введите пароль, который вы сохранили при первоначальной настройке системы, а также домен onion
You should now be able to connect to your onion XMPP account and set an avatar image if necessary|Теперь вы сможете подключиться к своей учетной записи XMPP и установить аватарку, если это необходимо.
When sending or receiving pictures or other attachments for the first time you will need to accept the self-signed certificates. Select 'always' twice. This should only happen once per contact|При отправке или получении изображений или других вложений в первый раз вам необходимо будет принять самозаверяющие сертификаты. Выберите «всегда» дважды. Это должно происходить только один раз за контакт
Under Settings/Expert you may want to change the automatic message deletion period. By default this is one day|В разделе «Настройки» / «Эксперт» вы можете изменить период автоматического удаления сообщений. По умолчанию это один день
When setting up a group chat first ensure that you have separately confirmed two way messaging with each of the participants individually|При настройке группового чата сначала убедитесь, что вы отдельно подтвердили двусторонний обмен сообщениями с каждым из участников в отдельности.
Enable strict TLS authentication between XMPP servers?|Включить строгую аутентификацию TLS между серверами XMPP?
If you or other people are having difficulty joining multi-user chat then enabling this might help|Если вам или другим людям трудно присоединиться к многопользовательскому чату, то включение этого может помочь
Music can be uploaded using NextCloud. Install the app and then create a directory called 'Music'.|Музыка может быть загружена с помощью NextCloud. Установите приложение, а затем создайте каталог под названием «Музыка».
Drag your files into the Music directory and they will then become available to mpd.|Перетащите ваши файлы в каталог Music, и они станут доступны для mpd.
Select search (magnifying glass icon) and search for 'MALP', then select 'install'|Выберите поиск (значок увеличительного стекла) и найдите «MALP», затем выберите «установить»
Open MALP and from the settings select Profiles|Откройте MALP и в настройках выберите Профили
Enter the following settings:|Введите следующие настройки:
Save the settings by selecting the disk icon at the top right of the screen|Сохраните настройки, выбрав значок диска в правом верхнем углу экрана.
You should now be able to connect to mpd on your server and select and play albums.|Теперь вы сможете подключиться к mpd на вашем сервере, выбирать и воспроизводить альбомы.
In a non-Tor browser navigate to http://libreserver:8250 or http://[server local IP address]:8250 and you should be able to play the selected album.|В браузере без Tor перейдите по адресу http: // libreserver: 8250 или http: // [локальный IP-адрес сервера]: 8250, и вы сможете воспроизвести выбранный альбом.
Setting up on the desktop|Настройка на рабочем столе
Install Sonata|Установить сонату
Run Sonata and enter the following settings:|Запустите Sonata и введите следующие параметры:
You should now be able to see your albums listed and be able to add them to the currently playing list.|Теперь вы сможете видеть свои альбомы в списке и добавлять их в текущий воспроизводимый список.
In a non-Tor browser navigate to http://libreserver:8250 or http://[server local IP address]:8250 and you should be able to play the selected album.|В браузере без Tor перейдите по адресу http: // libreserver: 8250 или http: // [локальный IP-адрес сервера]: 8250, и вы сможете воспроизвести выбранный альбом.
Select your music file format:|Выберите формат музыкального файла:
pixelfed allow new registrations|pixelfed позволяет новые регистрации
Groceries and household management|Продовольственные товары и управление домашним хозяйством
Organization|организация
VPN domain or IP address:|VPN-домен или IP-адрес:
VPN public key:|Открытый ключ VPN:
Public key for this server:|Открытый ключ для этого сервера:
Public keys for the laptops or devices that you wish to be able to use this server to connect to the internet.|Публичные ключи для ноутбуков или устройств, которые вы хотите использовать на этом сервере для подключения к Интернету.
Network|сеть
Set your coordinates on the map|Установите свои координаты на карте
Longitude:|Долгота:
Latitude:|Широта:
Join|Присоединиться
Docs|Документы
Community network map is being generated|Создается карта сети сообщества
Please wait|пожалуйста, подождите
IP address (optional):|IP-адрес (необязательно):
Export|экспорт
Add a new community network node|Добавить новый сетевой узел сообщества
Remove a community network node|Удалить узел сети сообщества
WARNING: Only change this if you know what you are doing. Selecting the wrong mesh protocol may make your server disappear from the network, and be difficult to recover|ВНИМАНИЕ: Измените это, только если вы знаете, что делаете. Выбор неправильного протокола сетки может привести к тому, что ваш сервер исчезнет из сети, и его будет сложно восстановить.
WARNING: Only change this if you know what you are doing. Setting an incorrect IP address or gateway may cause your server to become inaccessible, and may be difficult to recover|ВНИМАНИЕ: Измените это, только если вы знаете, что делаете. Установка неверного IP-адреса или шлюза может привести к недоступности вашего сервера и может быть затруднена для восстановления
Choose your network:|Выберите свою сеть:
Language is being changed|Язык меняется
Community Network|Сеть сообщества
Theme is being changed|Тема меняется
Install a new app|Установите новое приложение
Restore APPNAME from backup?|Восстановить APPNAME из резервной копии?
Add or remove feeds|Добавить или удалить каналы
Enter an RSS feed URL to add or remove. The domain name is enough for removals.|Введите URL-адрес RSS-канала для добавления или удаления. Доменное имя достаточно для удаления.
Show onion address|Показать адрес лука
Multi User Dungeon from the era of Welsh mainframe computing|Многопользовательская темница эпохи валлийских мэйнфреймов
Forward the UDP port 5100 from your internet router|Переадресация UDP-порта 5100 с вашего интернет-роутера
Since this app only uses the UDP protocol it won't work via an onion address. If you are running the onion only version of LibreServer then use its local IP address (usually 192.168.1.x) to connect to the game on the above port.|Поскольку это приложение использует только протокол UDP, оно не будет работать через луковый адрес. Если вы используете версию LibreServer только для лука, используйте ее локальный IP-адрес (обычно 192.168.1.x) для подключения к игре через указанный выше порт.
Near infinite world block sandbox game|Рядом с бесконечным миром блочная песочница
Federation List|Список федераций
Add or remove the domain names for instances with whom you wish to federate. Don't include your own domain names.|Добавьте или удалите доменные имена для экземпляров, с которыми вы хотите объединиться. Не включайте ваши собственные доменные имена.
Notify via|Уведомить через
Receive admin notifications|Получать уведомления администратора
New calendar event|Новое календарное событие
New direct message|Новое прямое сообщение
New reply|Новый ответ
New shared item|Новый общий элемент
New follow request|Новый последующий запрос
Number of connections on HTTP port is high|Количество подключений по HTTP-порту велико
Number of connections on HTTPS port is high|Количество подключений по HTTPS-порту велико
Cryptpad allow new signups|Cryptpad позволяет новые регистрации
Name of the Dungeon Master|Имя Мастера Подземелья
Message Of The Day|Сообщение дня
port|сетевой порт
Server Password|Пароль сервера
DNS over TLS|DNS через TLS
IP Address|Айпи адрес
New git patch|Новый git patch
liked your post|понравился твой пост
IRC Password|IRC Пароль
