About|O
USB drive format has failed|Format napędu USB nie powiódł się
USB drive format in progress|Format dysku USB w toku
USB drive format is complete|Format napędu USB został zakończony
Username: |Nazwa Użytkownika:
Username: admin|Nazwa użytkownika: admin
Members|Użytkownicy
Using your preferred editor|Korzystanie z preferowanego edytora
Video broadcast|Transmisja wideo
Vietnamese|wietnamski
Voice chat|Chat głosowy
WARNING: THIS WILL ERASE ALL CONTENT OF THE USB DRIVE|OSTRZEŻENIE: TO WSZELKĄ ZAWARTOŚĆ DYSKU USB
We're sorry, but the username you gave is not suitable. Check that it does not contain spaces, is lower case and at least 3 characters in length.|Przepraszamy, ale podana nazwa użytkownika jest nieodpowiednia. Sprawdź, czy nie zawiera spacji, ma małe litery i co najmniej 3 znaki.
Web publishing system|System publikacji internetowej
When done editing click on the wiki button again|Po zakończeniu edycji kliknij ponownie przycisk wiki
When it's done it will appear on the apps screen|Po zakończeniu pojawi się na ekranie aplikacji
When removal is finished it will disappear from apps|Po zakończeniu usuwania zniknie z aplikacji
When you are done with translating select the 'import' button on the translations screen.|Po zakończeniu tłumaczenia wybierz przycisk "Importuj" na ekranie tłumaczeń.
When you've added your translations select the 'update' button. This will update the translations file for the selected language. Note that this does not change the current language within the user interface. If you want to do that go back to the language screen, select a language and then the 'select' button.|Po dodaniu tłumaczeń wybierz przycisk "Aktualizuj". Spowoduje to zaktualizowanie pliku tłumaczeń dla wybranego języka. Pamiętaj, że nie zmienia to bieżącego języka w interfejsie użytkownika. Jeśli chcesz to zrobić, wróć do ekranu języka, wybierz język, a następnie przycisk "Wybierz".
Whichever screen you are currently on, you can get back to the previous screen by clicking or pressing on the LibreServer logo at the top.|Niezależnie od tego, na którym ekranie aktualnie się znajdujesz, możesz wrócić do poprzedniego ekranu, klikając lub naciskając na logo LibreServer u góry.
With Icecast you can run your own internet radio stream from an onion address. As always, be careful about copyright issues and preferably stick to Creative Commons music or music files that you own.|Z Icecastem możesz uruchomić własny strumień radiowy z adresu cebuli. Jak zawsze, uważaj na kwestie związane z prawami autorskimi i korzystaj z muzyki Creative Commons lub plików muzycznych, które posiadasz.
Within the network list click, Add and enter your domain name then click Edit.|W obrębie listy sieci kliknij przycisk Dodaj i wprowadź nazwę swojej domeny, a następnie kliknij przycisk Edytuj.
Within the Password field enter the password which you originally set up the box with.|W polu Hasło wprowadź hasło, które pierwotnie ustawiłeś w polu.
Within the software center search for "mumble" and install the client then run it. Skip through the audio setup wizard. Cancel the initial connection window.|W centrum wyszukiwania oprogramowania "mumble" i zainstaluj klienta, a następnie uruchom go. Pomiń kreator konfiguracji audio. Anuluj początkowe okno połączenia.
Write it down or save it|Zapisz lub zapisz
XMPP|XMPP
xmpp based chat system|system czatowy oparty na XMPP
Yes|tak
You can edit the translated text on the right side of the screen.|Możesz edytować przetłumaczony tekst po prawej stronie ekranu.
You can get to this system remotely via:|Możesz dostać się do tego systemu zdalnie poprzez:
You can now go back to the initial Conversations app screen and start using it. You'll probably want to add contacts using the icon at the bottom right. For more information see the Conversations website (conversations.im) or subscribe to the chat group conversations@conference.siacs.eu|Możesz teraz wrócić do początkowego ekranu aplikacji Konwersacje i zacząć z niego korzystać. Prawdopodobnie będziesz chciał dodać kontakty za pomocą ikony w prawym dolnym rogu. Więcej informacji można znaleźć na stronie Rozmowy (rozmowy.im) lub zasubskrybuj grupę czatu conversations@conference.siacs.eu
You can now log in with:|Możesz teraz zalogować się za pomocą:
You can see upgrade progress|Możesz zobaczyć postęp aktualizacji
You can use left and right cursor keys to move through pages|Do poruszania się po stronach można używać lewego i prawego klawisza kursora
You may also want to make another entry with the same settings but replacing tcp with udp.|Możesz także chcieć wprowadzić inny wpis z tymi samymi ustawieniami, ale zastępując tcp przez udp.
You may now remove the USB drive|Możesz teraz usunąć dysk USB
You might have mistyped one of them|Być może źle wpisałeś jedną z nich
You will see the translations file with some instructions at the top.|Zobaczysz plik z tłumaczeniami z instrukcjami na górze.
Your password must be at least 8 characters in length and only use the characters a-z A-Z and 0-9|Twoje hasło musi mieć co najmniej 8 znaków i używać tylko znaków a-z A-Z i 0-9
Zero knowledge pastebin|Zero wiedzy pastebin
Theme|Motyw
Light|Lekki
Dark|Ciemny
Mail|Poczta
Clear|Jasny
Send email through a proxy|Wyślij e-mail za pośrednictwem serwera proxy
If you find that you can't send out email and that you get 'failed delivery' messages returned instead then you may be able to proxy sent emails through another server. Sometimes ISPs or companies provide an SMTP server which can do this.|Hvis du finner ut w du ikke kan sende e-post i du får mislykkede leveringsmeldinger, kan du sende proxy za pośrednictwem e-post poprzez serwer en annen. Czasami dostawcy usług internetowych mają do czynienia z serwerem SMTP die dit kan doen.
Failed to install. For details see admin/applog.txt|Instalacja nie powiodła się. Aby uzyskać szczegółowe informacje, zobacz admin/applog.txt
Installed successfully|Zainstalowany pomyślnie
pihole|pihole
Unlike browser based ad blockers, pihole works at the domain name resolution level to block domains known to privide the ads appearing in web pages.|W przeciwieństwie do blokerów reklam działających w przeglądarce, pihole działa na poziomie rozdzielczości nazw domenowych, aby blokować domeny znane z prywatności wyświetlanych na stronach internetowych.
Set your DNS IP address to the one shown and many ads will get blocked even before they're delivered to your laptop or mobile device. This can save a lot of bandwidth and generally speed up the loading of websites.| Ustaw adres IP DNS na taki, który jest wyświetlany, a wiele reklam zostanie zablokowanych, zanim zostaną dostarczone na laptopa lub urządzenie mobilne. Może to zaoszczędzić dużo przepustowości i ogólnie przyspieszyć ładowanie stron internetowych
Change DNS on your internet router| Zmień DNS na swoim routerze internetowym
If your internet router allows you to change the DNS IP address then this is the best way to use pihole because it will then provide coverage for all of the devices and computers in your home.|Jeśli twój router internetowy pozwala zmienić adres IP DNS, to jest to najlepszy sposób na użycie pihole, ponieważ wtedy zapewni pokrycie wszystkich urządzeń i komputerów w twoim domu.
Change DNS on individual devices|Zmień DNS na poszczególnych urządzeniach
If you can't change your internet router's DNS then you can do that on individual GNU/Linux systems as follows:| Jeśli nie możesz zmienić DNS swojego routera internetowego, możesz to zrobić w poszczególnych systemach GNU/Linux w następujący sposób:
Remove or comment out any existing nameservers and add one with the IP address shown for the pihole app. Something like:|Usuń lub skomentuj istniejące serwery nazw i dodaj je z adresem IP pokazanym dla aplikacji pihole. Coś jak:
Then save and exit and prevent the file from being automatically changed with:| Następnie zapisz i wyjdź, aby automatycznie nie zmienić pliku za pomocą:
If you're running the standard version of LibreServer (not the onion version) then you may need to modify your hosts file to access your own domain.|Jeśli używasz standardowej wersji LibreServer (nie wersji cebuli), być może będziesz musiał zmodyfikować plik hosts, aby uzyskać dostęp do własnej domeny.
Then add something like:|Następnie dodaj coś takiego:
This only works when you're within your home network, so if you're outside of your home then undo the changes made above.|Działa to tylko wtedy, gdy jesteś w domowej sieci, więc jeśli jesteś poza domem, cofnij zmiany dokonane powyżej
The Pi-hole is a DNS sinkhole that protects your devices from unwanted content, without installing any client-side software.|Pi-hole to tunel DNS, który chroni twoje urządzenia przed niechcianymi treściami, bez instalowania żadnego oprogramowania po stronie klienta.
Search|Szukaj
removed|Usunięto
To get email working you will need to forward some ports. Email using your onion address will work anyway, so long as you are contacting other onion based email addresses.|Aby korzystać z poczty e-mail, musisz przesłać niektóre porty. E-mail z adresem cebuli będzie działał tak długo, jak długo będziesz kontaktował się z innymi adresami e-mail opartymi na cebuli.
Forward ports 25, 587 and 465 from your internet router|Przesyłaj porty 25, 587 i 465 z routera internetowego
To access cryptpad you'll need to use a Tor browser. Navigate to the URL and enable javascript for the site under the NoScript icon. The screen will be blank for a few seconds while it's downloading the application into your browser.|Aby uzyskać dostęp do kryptpada, musisz użyć przeglądarki Tor, przejdź do adresu URL i włącz javascript dla witryny pod ikoną NoScript. Ekran będzie pusty przez kilka sekund podczas pobierania aplikacji do przeglądarki.
Cryptpad is an almost peer-to-peer application. No data is stored on the server, which only does minimal orchestration between the clients. If an adversary subsequently obtains the server they still learn nothing.|Cryptpad jest aplikacją niemal peer-to-peer.Nie jest przechowywany żaden serwer na serwerze, który tylko minimalizuje orkiestrację między klientami.Jeżeli przeciwnik następnie otrzymuje serwer, to nadal nie uczy się niczego.
Authentication Token|Token uwierzytelniania
This is only needed if you're using FreeDNS. Otherwise you can leave it blank.|Jest to potrzebne tylko w przypadku korzystania z FreeDNS. W przeciwnym razie możesz zostawić to pole puste.
On the site where you obtained your domain name set up some custom nameservers as follows:|W witrynie, w której uzyskałeś nazwę domeny, skonfiguruj niestandardowe serwery nazw w następujący sposób:
On the FreeDNS site go to the "Dynamic DNS" section and make sure that "link updates of the same IP together" is set to ON.|Na stronie FreeDNS przejdź do sekcji "Dynamiczny DNS" i upewnij się, że "aktualizacje linków tego samego adresu IP razem" są ustawione na WŁ.
For your main domain name select "quick cron example" and then your authentication token is the random string on the last line between the ? and = characters.|Dla swojej głównej nazwy domeny wybierz "szybki przykład crona", a następnie token uwierzytelniający to losowy ciąg w ostatnim wierszu między znakami? I =.
Your current IP address is shown at the top of the Dynamic DNS screen of the LibreServer user interface. You can use the "Mass Mod" feature at the top of the "Subdomains" part of the FreeDNS site to set all of your subdomains to that IP address.|Możesz użyć funkcji "Mass Mod" na górze strony "Subdomeny" witryny FreeDNS, aby ustawić wszystkie swoje subdomeny do tej Adres IP.
Select the MX entry for your main domain and change the destination to 10:mydomainname rather than 10:mail.mydomainname.|Wybierz pozycję MX dla domeny głównej i zmień miejsce docelowe na 10: mydomainname zamiast 10: mail.moja_domena.
Enter your FreeDNS login details and the authentication token on the Dynamic DNS screen of the LibreServer user interface.|Wprowadź dane logowania FreeDNS i token uwierzytelniania na ekranie Dynamic DNS w interfejsie użytkownika LibreServer.
To make a playlist insert a USB drive containing audio files in a directory called playlist, add a description below and then select Update|Aby utworzyć listę odtwarzania, włóż dysk USB zawierający pliki audio do katalogu o nazwie Lista odtwarzania, dodaj opis poniżej, a następnie wybierz Aktualizuj
To add music copy it to a directory called Music on a USB drive then plug it into your server and select Update|Aby dodać muzykę, skopiuj ją do katalogu muzycznego na dysku USB, a następnie podłącz go do swojego serwera i wybierz opcję Aktualizuj
This is a wiki which stores its content in text files. Having no database makes maintaining it simpler, and it's not tied to any particular domain name so you can easily copy the files to a different domain if you need to.|To jest wiki, które przechowuje swoją zawartość w plikach tekstowych. Brak bazy danych sprawia, że ​​obsługa jest łatwiejsza i nie jest związana z żadną konkretną nazwą domeny, więc możesz z łatwością skopiować pliki do innej domeny, jeśli potrzebujesz.
Provides an easy and private way to sync calendar and contacts between devices.|Zapewnia łatwy i prywatny sposób synchronizacji kalendarza i kontaktów między urządzeniami.
Using on mobile|Korzystanie z telefonu komórkowego
The user interface is a little misleading. Make sure that you log in with your username, not your email addres.|Interfejs użytkownika jest trochę mylący. Upewnij się, że logujesz się przy użyciu swojej nazwy użytkownika, a nie adresu e-mail.
Also choose the advanced option and enter the subdomain that you installed etesync on.|Wybierz także opcję zaawansowaną i wprowadź poddomeny, na której zainstalowałeś etesync.
This is a well known system for real time collaborative editing of documents. Just log in, choose a document title and then edit. Different users will appear in different colours, and can also chat in the sidebar. This is installed as a private system in which only users on your LibreServer server will be able to create and edit documents, so it's not open to any random users on the internet.|Jest to dobrze znany system do edycji dokumentów w czasie rzeczywistym. Po prostu zaloguj się, wybierz tytuł dokumentu, a następnie edytuj. Różni użytkownicy będą wyświetlani w różnych kolorach, a także będą mogli czatować na pasku bocznym. Jest instalowany jako prywatny system, w którym tylko użytkownicy na serwerze LibreServer będą mogli tworzyć i edytować dokumenty, więc nie jest otwarty dla przypadkowych użytkowników w Internecie.
This is a federated social networking system. It can federate with other popular fediverse systems.|Jest to federacyjny system społecznościowy. Może współpracować z innymi popularnymi systemami fediverse.
This is a blogging system which has no database and only uses text files for storage.|Jest to system blogowania, który nie ma bazy danych i wykorzystuje tylko pliki tekstowe do przechowywania.
This is a git hosting system. It's very similar to Github in appearance and use, is lightweight and so is well suited for use on low power ARM servers.|To jest system hostingu git. Jest bardzo podobny do wyglądu i użytkowania Github, jest lekki i dlatego doskonale nadaje się do stosowania na serwerach ARM o małej mocy.
This is a web publishing and social network system which includes wiki, web pages, photo albums and file storage. It also has nomadic identity allowing you to easily move your account between different servers and privacy controls which allow you to define who can see what content.|Jest to internetowy system publikowania i sieci społecznościowej, który obejmuje wiki, strony internetowe, albumy ze zdjęciami i przechowywanie plików. Posiada również tożsamość nomadyczną, która pozwala na łatwe przenoszenie konta między różnymi serwerami i kontrolę prywatności, co pozwala określić, kto może zobaczyć, jaka treść.
Kanbans are one way of managing projects. They're traditionally used in businesses but can also be useful for personal TODO lists or within open source or DIY projects. If you have a list of things which need to be done and want to keep track of progress then this provides a way to do that.|Kanbany to jeden ze sposobów zarządzania projektami. Są tradycyjnie używane w firmach, ale mogą być również przydatne na osobistych listach TODO lub w projektach Open Source lub DIY. Jeśli masz listę rzeczy, które należy zrobić i chcesz śledzić postęp, to zapewnia to sposób.
The default login is username "admin" and the login password which you usually use for the web interface.|Domyślnym loginem jest nazwa użytkownika "admin" i hasło logowania, z którego zwykle korzystasz w interfejsie internetowym.
If you're using a Tor browser then you may need to allow javascript for the site by selecting the NoScript icon.|Jeśli używasz przeglądarki Tor, być może musisz zezwolić na javascript dla witryny, wybierając ikonę NoScript.
Extra users can be added from the drop down menu at the top right of the screen, under "Users management".|Dodatkowi użytkownicy mogą zostać dodani z rozwijanego menu w prawym górnym rogu ekranu, pod "Zarządzanie użytkownikami".
This enables you to store your music on the LibreServer server and then access it from any internet connected device.|Umożliwia to przechowywanie muzyki na serwerze LibreServer, a następnie dostęp do niej z dowolnego urządzenia podłączonego do Internetu.
This is a simple and lightweight photo album for the web. Whether you're an amateur or professional photographer, or want to publish random holiday pics or cat pictures. Lychee just does what it says it does without any fuss.|Jest to prosty i lekki album fotograficzny do internetu. Niezależnie od tego, czy jesteś amatorem, czy profesjonalnym fotografem, lub chcesz opublikować losowe zdjęcia z wakacji lub zdjęcia kota. Lychee robi to, co mówi, bez zbędnego zamieszania.
This provides an webmail interface suitable for use on desktop or mobile clients and with built in support for encryption.|Zapewnia to interfejs poczty internetowej odpowiedni do użytku na komputerach stacjonarnych lub mobilnych oraz z wbudowaną obsługą szyfrowania.
This is a system for file synchronisation and also has many other plugins for calendar, videoconferencing, collaborative document editing and federated file sharing.|Jest to system do synchronizacji plików, a także wiele innych wtyczek do kalendarza, wideokonferencji, edycji dokumentów zbiorowych i udostępniania plików stowarzyszonych.
This is a video hosting system which uses webtorrent to help distribute the files to or between clients.|Jest to system hostingu wideo, który korzysta z serwera sieciowego w celu rozpowszechniania plików między klientami lub między nimi.
Use the username 'root' and your usual password to log in as the administrator. You can then change settings as needed.|Użyj nazwy użytkownika "root" i zwykłego hasła, aby zalogować się jako administrator. W razie potrzeby możesz zmienić ustawienia.
This is an OStatus and ActivityPub compatible social networking server which federates with other fediverse systems. It is high-performance and so is especially well suited for running on low power single board computers without much RAM.|Jest to serwer sieci społecznościowej zgodny z OStatus i ActivityPub, który łączy się z innymi systemami fediverse. Jest to urządzenie o wysokiej wydajności i jest szczególnie dobrze dostosowane do pracy na komputerach jednopłytowych o małej mocy bez dużej ilości pamięci RAM.
Since Pleroma supports the same protocols, any Mastodon client for Android should work with it.|Ponieważ Pleroma obsługuje te same protokoły, każdy klient Mastodon dla systemu Android powinien z nim pracować.
This is a fork of GNU Social which includes some extra fixes and optimisations to improve performance. It federates with other fediverse servers, such as Pleroma or Mastodon.|To jest rozwidlenie GNU Social, które zawiera dodatkowe poprawki i optymalizacje w celu poprawy wydajności. Łączy się z innymi serwerami fediverse, takimi jak Pleroma lub Mastodon.
This is an encrypted pastebin, such that the server has zero knowledge of the content. It's intended for small amounts of text less than 32K in length. It's not intended for transfering large files, or for storing pastes for more than a day.|Jest to zaszyfrowany pastebin, taki, że serwer ma zerową wiedzę o zawartości. Jest przeznaczony dla małych ilości tekstu o długości mniejszej niż 32 KB. Nie jest przeznaczony do przesyłania dużych plików ani do przechowywania past przez więcej niż jeden dzień.
This is a web based user interface to the Matrix federated chat system. You will need to have already installed the Matrix app for this to work.|Jest to internetowy interfejs użytkownika ze stowarzyszonym systemem czatowym Matrix. Aby to działało, musisz mieć już zainstalowaną aplikację Matrix.
This is yet another chat system, but the server part of it isn't federated and so it's suitable for small private groups rather than for general public discussions.|Jest to kolejny system czatu, ale jego część serwerowa nie jest stowarzyszona, dlatego jest odpowiednia dla małych grup prywatnych, a nie do ogólnych dyskusji publicznych.
Provides a similar capability to proprietary systems such as Dropbox, and also is well suited for use with low power single board computers. You can have one or more directories which are synchronized across your various laptops/desktops/devices, and this makes it hard for you to ever lose important files. Of course, you don't necessarily need to be running a server in order to use Syncthing, but if you do have a server which is always running then there's always at least one place to synchronize your files to or from.|Zapewnia podobną możliwość do zastrzeżonych systemów, takich jak Dropbox, a także doskonale nadaje się do użytku z komputerami jednopłytowymi małej mocy. Możesz mieć jeden lub więcej katalogów, które są zsynchronizowane na różnych laptopach / komputerach / urządzeniach, a to utrudnia utratę ważnych plików. Oczywiście nie musisz uruchamiać serwera, aby korzystać z Syncthing, ale jeśli masz serwer, który zawsze działa, zawsze jest co najmniej jedno miejsce do synchronizowania plików do lub od.
On a Debian based system:|W systemie opartym na Debianie:
Or on Android search for the Syncthing app.|Lub w Androidzie wyszukaj aplikację Syncthing.
Using the settings button within the LibreServer web interface for the Syncthing app you can then paste in any IDs for other devices. They will then sync with your server.|Za pomocą przycisku ustawień w interfejsie internetowym LibreServer dla aplikacji Syncthing możesz wkleić dowolny identyfikator dla innych urządzeń. Następnie zostaną zsynchronizowane z serwerem.
A system for privately creating and sharing notes and images, similar to Evernote. It can be set up so that a small number of users on the server can share their notes in a convenient way. It doesn't have any web user interface, and you need to install native clients on mobile or laptop/desktop machines.|System do prywatnego tworzenia i udostępniania notatek i obrazów, podobny do Evernote. Można go skonfigurować tak, aby niewielka liczba użytkowników na serwerze mogła w wygodny sposób udostępniać swoje notatki. Nie ma on żadnego interfejsu użytkownika WWW i trzeba instalować rodzimych klientów na urządzeniach mobilnych lub laptopach / komputerach.
Since the data at rest is stored in PGP encrypted format this is a good system to use in cases where security really is a critical factor.|Ponieważ dane spoczynkowe są przechowywane w formacie zaszyfrowanym PGP, jest to dobry system do zastosowania w przypadkach, w których bezpieczeństwo naprawdę jest czynnikiem krytycznym.
Go to https://turtlapp.com/download and you'll then be able to download the appropriate app for your laptop or phone.|Przejdź na stronę https://turtlapp.com/download, a następnie będziesz mógł pobrać odpowiednią aplikację na laptopa lub telefon.
Run the downloaded native app then at the bottom of the screen select "advanced settings" and enter your turl domain name, then register a new account. The password can be anything you choose, but since the client side encryption depends upon having a good password make it a long random string generated by a password manager such as KeepassX.|Uruchom pobraną aplikację natywną, a następnie u dołu ekranu wybierz "Ustawienia zaawansowane" i wprowadź swoją nazwę domeny turl, a następnie zarejestruj nowe konto. Hasło może być dowolnie wybrane, ale ponieważ szyfrowanie po stronie klienta zależy od dobrego hasła, niech będzie długim losowym łańcuchem generowanym przez menedżera haseł, takiego jak KeepassX.
You should then be able to log in and start using the app. You might also want to invite any other users of your LibreServer system to also sign up using the turtl domain name which you specified during installation.|Następnie powinieneś być w stanie się zalogować i zacząć korzystać z aplikacji. Możesz także zaprosić wszystkich innych użytkowników systemu LibreServer do zarejestrowania się przy użyciu nazwy domeny turtl podanej podczas instalacji.
Disabling new registrations|Wyłączanie nowych rejestracji
Once you have set up the server with however many users are needed you can then disable any new registrations by selecting Turtl on the LibreServer web interface and going to the settings screen.|Po skonfigurowaniu serwera przy użyciu wielu użytkowników można wyłączyć wszystkie nowe rejestracje, wybierając opcję Turtl w interfejsie internetowym LibreServer i przechodząc do ekranu ustawień.
This is similar to Hubzilla but with a reduced range of features concentrating exclusively upon social networking with the latest version of the Zot protocol. Nomadic identity is supported, so to can export your channels and import them on other servers if necessary, without losing followers.|Jest to podobne do Hubzilli, ale z ograniczonym zakresem funkcji koncentrującym się wyłącznie na sieciach społecznościowych z najnowszą wersją protokołu Zot. Nomadyczna tożsamość jest obsługiwana, więc możesz eksportować swoje kanały i importować je na inne serwery, jeśli to konieczne, bez utraty obserwujących.
Zap also has sophisticated privacy controls which enable you to decide exactly how you wish to interact with other users and what information of yours they can view.|Zap ma również zaawansowane mechanizmy ochrony prywatności, które pozwalają ci zdecydować, w jaki sposób chcesz wchodzić w interakcje z innymi użytkownikami i jakie informacje możesz zobaczyć.
The first account you register will be the administrator user, and from there you can go to the admin settings and disable new registrations if needed.|Pierwsze zarejestrowane konto będzie administratorem, a stamtąd możesz przejść do ustawień administratora i w razie potrzeby wyłączyć nowe rejestracje.
To find other users to follow select "directory" from the drop down menu at the top right of the screen and set "this site only" to "no".|Aby znaleźć innych użytkowników do obserwowania, wybierz "katalog" z rozwijanego menu w prawym górnym rogu ekranu i ustaw "tylko tę witrynę" na "nie".
There is an Android app available called Nomad.|Dostępna jest aplikacja na Androida o nazwie Nomad.
End-to-end encrypted sync of calendar and contacts between devices|Kompleksowa, zaszyfrowana synchronizacja kalendarza i kontaktów między urządzeniami
Secure, end-to-end encrypted and journaled personal information cloud synchronization for Android and the desktop, supporting contacts and calendars|Bezpieczna, kompleksowa, zaszyfrowana i zapisana w dzienniku synchronizacja chmur danych osobowych na Androida i komputer, obsługująca kontakty i kalendarze
Nomadic social network server|Nomadyczny serwer sieci społecznościowej
Zap is a full featured social network application running under the Zot6 protocol. It provides enhanced privacy modes and identity/content mirroring across multiple servers ("nomadic identity").|Zap jest w pełni funkcjonalną aplikacją sieci społecznościowej działającą pod kontrolą protokołu Zot6. Udostępnia ulepszone tryby prywatności i mirroring tożsamości / treści na wielu serwerach ("tożsamość nomadyczna").
Change background|Zmień tło
Diagnostics|Diagnostyka
Please wait while your app is installing|Poczekaj, aż aplikacja się zainstaluje
The app could not be installed|Nie można zainstalować aplikacji
Add a new member|Dodaj nowego członka
Kanban focussed on simplicity and minimalism|Kanban skupił się na prostocie i minimalizmie
Emails, chat or social network posts will be blocked if they contain the following words or phrases|E-maile, czat lub posty w serwisach społecznościowych będą blokowane, jeśli zawierają poniższe słowa lub wyrażenia
Muted words|Wyciszone słowa
Disk space is getting too low. Installation stopped.|Przestrzeń dyskowa jest zbyt mała. Instalacja zatrzymana.
Password changed|Hasło zostało zmienione
Play media from any UPNP/DLNA device on your local network|Odtwarzaj multimedia z dowolnego urządzenia UPNP / DLNA w sieci lokalnej
This allows you to play media on any DLNA supporting device within your local network.|Umożliwia to odtwarzanie multimediów na dowolnym urządzeniu obsługującym DLNA w sieci lokalnej.
No Access Control|Brak kontroli dostępu
DLNA doesn't have any access controls, so keep in mind that anyone with a mobile device or laptop within your local network is potentially able to play any media on the server. Hence this may not be suitable for situations where you want parental control over what media can be accessed.|DLNA nie ma żadnych kontroli dostępu, więc pamiętaj, że każdy, kto ma urządzenie przenośne lub laptop w sieci lokalnej, potencjalnie może odtwarzać dowolne multimedia na serwerze. W związku z tym może to nie być odpowiednie w sytuacjach, w których potrzebna jest kontrola rodzicielska nad dostępnymi mediami.
Adding Media|Dodawanie mediów
You can add media by selecting the settings button from the DLNA app.|Możesz dodać multimedia, wybierając przycisk ustawień z aplikacji DLNA.
Your homepage can also be accessed with a Tor browser on:|Dostęp do Twojej strony głównej można uzyskać również za pomocą przeglądarki Tor:
Chat|Czat
Media|Media
Social|Społecznościowy
Sync|Synchronizuj
Publishing|Publikowanie
Other|Inne
Recommended Firefox Add-ons:|Polecane dodatki dla Firefoksa:
Change your default domain name|Zmień domyślną nazwę domeny
Do you want to change your default domain name to:|Czy chcesz zmienić domyślną nazwę domeny na:
rsync failed|rsync nie powiodło się
For most purposes Syncthing is an easier file synchronization system, but rsync is still a reliable solution if you prefer to do things the more traditional way or if you just want to create a mirror from an existing rsync server.|Dla większości celów Synchronowanie jest łatwiejszym systemem synchronizacji plików, ale rsync jest nadal niezawodnym rozwiązaniem, jeśli wolisz robić rzeczy w bardziej tradycyjny sposób lub jeśli chcesz tylko stworzyć mirror z istniejącego serwera rsync.
Rsync is unencrypted but can be used via an onion address for transport security. If you are using it via your domain name then third parties will be able to see the content, but this may not matter if you are synchronizing already public files, such as GNU/Linux distro downloads.|Rsync jest nieszyfrowany, ale można go użyć za pośrednictwem adresu cebuli do zabezpieczenia transportu. Jeśli korzystasz z niego za pośrednictwem nazwy domeny, strony trzecie będą mogły zobaczyć zawartość, ale to nie ma znaczenia, jeśli synchronizujesz już publiczne pliki, takie jak pliki do pobrania dla dystrybucji GNU / Linux.
Avoid using this for private data, unless you are exclusively using rsync via the onion address.|Unikaj używania tego do prywatnych danych, chyba że używasz wyłącznie rsync przez adres cebuli.
Creating a Mirror|Tworzenie lustra
Select the Settings button then enter the domain and module name for the mirror. From then on synchronization will happen once per day.|Wybierz przycisk Ustawienia, a następnie wprowadź nazwę domeny i modułu dla serwera lustrzanego. Odtąd synchronizacja nastąpi raz dziennie.
Local Sync|Lokalna synchronizacja
If you created a mirror to your server you can then sync those files to other machines or devices on your local network as follows:|Jeśli utworzyłeś serwer lustrzany, możesz zsynchronizować te pliki z innymi komputerami lub urządzeniami w sieci lokalnej w następujący sposób:
If "libreserver" doesn't work then you can substitute the local IP address of your server.|Jeśli "libreserver" nie działa, możesz zastąpić lokalny adres IP swojego serwera.
Create a mirror of public files|Utwórz zwierciadło publicznych plików
The domain name could not be changed|Nie można zmienić nazwy domeny
This might be because you do not have ports 80 and 443 forwarded to the server.|Może to wynikać z tego, że nie masz portów 80 i 443 przekazanych na serwer.
Check the port forwarding settings on your internet router.|Sprawdź ustawienia przekazywania portów na routerze internetowym.
Please specify a domain name which will be used for your email or XMPP address.|Proszę podać nazwę domeny, która będzie używana dla adresu e-mail lub XMPP.
Please forward the following ports from your internet router:|Prześlij następujące porty z routera internetowego:
Search for 'Barcode Scanner', then select 'install'|Wyszukaj "Skaner kodów kreskowych", a następnie wybierz "zainstaluj"
Download the DarkMessenger apk file via the link below, preferably using a Tor based browser, then install it|Pobierz plik apk DarkMessenger za pomocą poniższego linku, najlepiej za pomocą przeglądarki opartej na Torze, a następnie zainstaluj
Run DarkMessenger and the initial account setup will be shown. DarkMessenger only allows onion addresses to be used to create accounts|Uruchom DarkMessenger i pojawi się początkowa konfiguracja konta. DarkMessenger pozwala tylko na używanie adresów cebuli do tworzenia kont
You can obtain your onion XMPP address from the Members section within the web interface, usually at http://libreserver/admin or http://libreserver.local/admin. If you can't easily copy and paste it into the account setup within DarkMessenger then you can use the barcode scanner on the QRcode displayed|Możesz uzyskać swój adres XMPP cebuli z sekcji Członkowie w interfejsie internetowym, zwykle pod adresem http: // libreserver / admin lub http: //libreserver.local/admin. Jeśli nie możesz łatwo skopiować i wkleić go do ustawień konta w DarkMessenger, możesz użyć skanera kodów kreskowych na wyświetlonym QRcode
Enter the password which you stored during initial setup of the system and also the onion domain|Wprowadź hasło, które zostało zapisane podczas wstępnej konfiguracji systemu, a także domeny cebuli
You should now be able to connect to your onion XMPP account and set an avatar image if necessary|Teraz powinieneś być w stanie połączyć się z kontem cebuli XMPP i ustawić obraz awatara, jeśli to konieczne
When sending or receiving pictures or other attachments for the first time you will need to accept the self-signed certificates. Select 'always' twice. This should only happen once per contact|Podczas wysyłania lub odbierania zdjęć lub innych załączników po raz pierwszy musisz zaakceptować samopodpisane certyfikaty. Wybierz dwukrotnie "zawsze". To powinno się zdarzyć tylko raz na kontakt
Under Settings/Expert you may want to change the automatic message deletion period. By default this is one day|W Ustawieniach / Ekspertach możesz chcieć zmienić okres usuwania automatycznych wiadomości. Domyślnie jest to jeden dzień
When setting up a group chat first ensure that you have separately confirmed two way messaging with each of the participants individually|Konfigurując czat grupowy, najpierw upewnij się, że osobno potwierdziłeś dwukierunkową komunikację z każdym z uczestników
Enable strict TLS authentication between XMPP servers?|Włączyć ścisłe uwierzytelnianie TLS między serwerami XMPP?
