About|Quant a
When removal is finished it will disappear from apps|Quan finalitzi l'eliminació, desapareixerà de les aplicacions
When you are done with translating select the 'import' button on the translations screen.|Quan hàgiu acabat de traduir, seleccioneu el botó "Importar" a la pantalla de traduccions.
When you've added your translations select the 'update' button. This will update the translations file for the selected language. Note that this does not change the current language within the user interface. If you want to do that go back to the language screen, select a language and then the 'select' button.|Quan hàgiu afegit les vostres traduccions, seleccioneu el botó "Actualitzar". Això actualitzarà el fitxer de traduccions per a l'idioma seleccionat. Tingueu en compte que això no canvia el llenguatge actual dins de la interfície d'usuari. Si voleu fer-ho, torneu a la pantalla d'idioma, seleccioneu un idioma i, a continuació, el botó "seleccioneu".
Whichever screen you are currently on, you can get back to the previous screen by clicking or pressing on the LibreServer logo at the top.|Tant la pantalla en qüestió actualment activa com la pantalla anterior, feu clic o feu clic al logotip de LibreServer a la part superior.
With Icecast you can run your own internet radio stream from an onion address. As always, be careful about copyright issues and preferably stick to Creative Commons music or music files that you own.|Amb Icecast podeu executar el vostre propi flux de ràdio per Internet des d'una adreça de ceba. Com sempre, tingueu cura amb els problemes de drets d'autor i, preferiblement, adheriu-vos a la música de Creative Commons o als fitxers de música que tingueu.
Within the network list click, Add and enter your domain name then click Edit.|A la llista de xarxa, feu clic a Afegeix i introduïu el vostre nom de domini i feu clic a Edita.
Within the Password field enter the password which you originally set up the box with.|Al camp Contrasenya, introduïu la contrasenya que originalment teniu establerta amb el quadre.
Within the software center search for "mumble" and install the client then run it. Skip through the audio setup wizard. Cancel the initial connection window.|Dins del centre de programari busqueu "mumble" i instal·leu el client i executeu-lo. Passa per l'assistent de configuració d'àudio. Cancel·la la finestra de connexió inicial.
Write it down or save it|Escriviu-lo o deseu-lo
XMPP|XMPP
xmpp based chat system|sistema de xat basat en xmpp
Yes|Sí
You can edit the translated text on the right side of the screen.|Podeu editar el text traduït a la part dreta de la pantalla.
You can get to this system remotely via:|Podeu accedir a aquest sistema de manera remota a través de:
You can now go back to the initial Conversations app screen and start using it. You'll probably want to add contacts using the icon at the bottom right. For more information see the Conversations website (conversations.im) or subscribe to the chat group conversations@conference.siacs.eu|Ara podeu tornar a la pantalla de l'aplicació Conversacions inicial i començar a utilitzar-la. És probable que vulgueu afegir contactes utilitzant la icona a la part inferior dreta. Per obtenir més informació, consulteu el lloc web Conversations (conversations.im) o subscriure's al grup de conversa conversations@conference.siacs.eu
You can now log in with:|Ara podeu iniciar sessió amb:
You can see upgrade progress|Podeu veure el progrés de l'actualització
You can use left and right cursor keys to move through pages|Podeu utilitzar les tecles de cursor esquerra i dreta per moure's per les pàgines
You may also want to make another entry with the same settings but replacing tcp with udp.|També és possible que vulgueu fer una altra entrada amb la mateixa configuració, però substituint tcp amb udp.
You may now remove the USB drive|Ara podeu eliminar la unitat USB
You might have mistyped one of them|És possible que hagueu escrit un error en una d'elles
You will see the translations file with some instructions at the top.|Veureu el fitxer de traduccions amb algunes instruccions a la part superior.
Your password must be at least 8 characters in length and only use the characters a-z A-Z and 0-9|La vostra contrasenya ha de tenir un màxim de 8 caràcters i només utilitzar els caràcters a-z A-Z i 0-9
Zero knowledge pastebin|Pastebin de coneixement zero
Theme|Tema
Light|Llum
Dark|Fosc
Mail|Correu
Clear|Clar
Send email through a proxy|Enviar correu electrònic a través d'un servidor intermediari
If you find that you can't send out email and that you get 'failed delivery' messages returned instead then you may be able to proxy sent emails through another server. Sometimes ISPs or companies provide an SMTP server which can do this.|Si trobeu que no podeu enviar missatges de correu electrònic i que heu rebut missatges de "lliurament fallida", aleshores podeu enviar missatges de correu electrònic proxy a través d'un altre servidor. De vegades, els ISP o les empreses proporcionen un servidor SMTP que pot fer-ho.
Failed to install. For details see admin/applog.txt|No s'ha pogut instal·lar. Per obtenir més informació, consulteu l'administrador / applog.txt
Installed successfully|S'ha instal·lat correctament
pihole|pihole
Unlike browser based ad blockers, pihole works at the domain name resolution level to block domains known to privide the ads appearing in web pages.|A diferència dels bloquejadors d'anuncis basats en el navegador, el pihole funciona en el nivell de resolució de noms de domini per bloquejar els dominis coneguts que priven els anuncis que apareixen a les pàgines web.
Set your DNS IP address to the one shown and many ads will get blocked even before they're delivered to your laptop or mobile device. This can save a lot of bandwidth and generally speed up the loading of websites.|Establiu la vostra adreça IP DNS a la que es mostra i molts anuncis es bloquejaran fins i tot abans de lliurar-los al vostre portàtil o dispositiu mòbil. Això pot estalviar molt ample de banda i en general accelerar la càrrega de llocs web
Change DNS on your internet router|Canvi de DNS al vostre enrutador d'Internet
If your internet router allows you to change the DNS IP address then this is the best way to use pihole because it will then provide coverage for all of the devices and computers in your home.|Si el vostre enrutador d'Internet us permet canviar l'adreça IP del DNS, aquesta és la millor manera d'utilitzar el dispositiu, ja que donarà cobertura a tots els dispositius i ordinadors de la seva llar.
Change DNS on individual devices|Canvi de DNS en dispositius individuals
If you can't change your internet router's DNS then you can do that on individual GNU/Linux systems as follows:|Si no podeu canviar el DNS del vostre enrutador d'Internet, podeu fer-ho en sistemes GNU/Linux individuals de la manera següent:
Remove or comment out any existing nameservers and add one with the IP address shown for the pihole app. Something like:|Elimineu o comenteu els servidors de noms existents i afegiu-ne un amb l'adreça IP que es mostra a l'aplicació pihole. Una cosa així com:
Then save and exit and prevent the file from being automatically changed with:|A continuació, guarda i surt i evita que el fitxer canviï automàticament amb:
If you're running the standard version of LibreServer (not the onion version) then you may need to modify your hosts file to access your own domain.|Si utilitzeu la versió estàndard de LibreServer (no la versió de la ceba), és possible que hàgiu de modificar el vostre fitxer d'amfitrió per accedir al vostre propi domini.
Then add something like:|A continuació, afegiu alguna cosa així:
This only works when you're within your home network, so if you're outside of your home then undo the changes made above.|Això només funciona quan us trobeu a la vostra xarxa domèstica, de manera que si esteu fora de casa, desfà els canvis realitzats anteriorment
The Pi-hole is a DNS sinkhole that protects your devices from unwanted content, without installing any client-side software.|El Pi-hole és un buit d'accés DNS que protegeix els vostres dispositius de contingut no desitjat, sense instal·lar cap programari de client.
Search|Cerca
removed|S'ha eliminat
To get email working you will need to forward some ports. Email using your onion address will work anyway, so long as you are contacting other onion based email addresses.|Per obtenir treballs per correu electrònic, haureu de reenviar alguns ports. El correu electrònic amb la vostra adreça de ceba funcionarà de totes maneres, sempre que contacteu amb altres adreces electròniques basades en ceba.
Forward ports 25, 587 and 465 from your internet router|Porteu els ports 25, 587 i 465 des del vostre enrutador d'Internet
To access cryptpad you'll need to use a Tor browser. Navigate to the URL and enable javascript for the site under the NoScript icon. The screen will be blank for a few seconds while it's downloading the application into your browser.|Per accedir al cryptpad necessitareu utilitzar un navegador Tor. Aneu a l'URL i activeu javascript per al lloc sota la icona de NoScript. La pantalla quedarà en blanc durant uns segons mentre es descarrega l'aplicació al vostre navegador.
Cryptpad is an almost peer-to-peer application. No data is stored on the server, which only does minimal orchestration between the clients. If an adversary subsequently obtains the server they still learn nothing.|Cryptpad és una aplicació pràcticament igual a igual. No hi ha dades emmagatzemades al servidor, que només fan una mínima orquestració entre els clients. Si un adversari posteriorment obté el servidor, encara no aprenen res.
Authentication Token|Tòner d'autenticació
This is only needed if you're using FreeDNS. Otherwise you can leave it blank.|Això només és necessari si esteu utilitzant FreeDNS. En cas contrari, podeu deixar-lo en blanc.
On the site where you obtained your domain name set up some custom nameservers as follows:|Al lloc on vau obtenir el vostre nom de domini, s'ha configurat alguns servidors de noms personalitzats de la manera següent:
On the FreeDNS site go to the "Dynamic DNS" section and make sure that "link updates of the same IP together" is set to ON.|Al lloc FreeDNS, aneu a la secció "DNS dinàmic" i assegureu-vos que "actualitzacions d'enllaç de la mateixa IP juntes" s'estableix a ON.
For your main domain name select "quick cron example" and then your authentication token is the random string on the last line between the ? and = characters.|Per al vostre nom de domini principal, seleccioneu "exemple ràpid de cron" i el vostre símbol d'autenticació és la cadena aleatòria de l'última línia entre els caràcters? I =.
Your current IP address is shown at the top of the Dynamic DNS screen of the LibreServer user interface. You can use the "Mass Mod" feature at the top of the "Subdomains" part of the FreeDNS site to set all of your subdomains to that IP address.|Podeu utilitzar la funció "Mass Mod" a la part superior de la part "Subdomini" del lloc FreeDNS per establir tots els subdominis a aquesta Adreça IP.
Select the MX entry for your main domain and change the destination to 10:mydomainname rather than 10:mail.mydomainname.|Seleccioneu l'entrada MX del vostre domini principal i canvieu la destinació a 10: el nom del meu cognom en comptes de 10: el correu, el nom del meu nom.
Enter your FreeDNS login details and the authentication token on the Dynamic DNS screen of the LibreServer user interface.|Introduïu els detalls d'inici de FreeDNS i el testimoni d'autenticació a la pantalla DNS dinàmic de la interfície d'usuari de LibreServer.
To make a playlist insert a USB drive containing audio files in a directory called playlist, add a description below and then select Update|Per fer que una llista de reproducció introduïu una unitat USB que contingui fitxers d'àudio en un directori anomenat llista de reproducció, afegiu una descripció a continuació i seleccioneu Actualitza
To add music copy it to a directory called Music on a USB drive then plug it into your server and select Update|Per afegir música, copieu-lo a un directori anomenat Música en una unitat USB i, a continuació, connecteu-lo al vostre servidor i seleccioneu Actualitza
This is a wiki which stores its content in text files. Having no database makes maintaining it simpler, and it's not tied to any particular domain name so you can easily copy the files to a different domain if you need to.| Aquesta és una wiki que emmagatzema el seu contingut en fitxers de text. No tenir cap base de dades fa que sigui més senzill, i no està lligat a cap nom de domini en particular perquè pugui copiar fàcilment els fitxers a un altre domini si és necessari.
Provides an easy and private way to sync calendar and contacts between devices.|Proporciona una manera senzilla i privada de sincronitzar calendari i contactes entre dispositius.
Using on mobile|Ús en mòbil
The user interface is a little misleading. Make sure that you log in with your username, not your email addres.|La interfície d'usuari és una mica enganyosa. Assegureu-vos que inicieu sessió amb el vostre nom d'usuari i no el correu electrònic addres.
Also choose the advanced option and enter the subdomain that you installed etesync on.| També trieu l'opció avançada i introduïu el subdomini que heu instal·lat a etesync.
This is a well known system for real time collaborative editing of documents. Just log in, choose a document title and then edit. Different users will appear in different colours, and can also chat in the sidebar. This is installed as a private system in which only users on your LibreServer server will be able to create and edit documents, so it's not open to any random users on the internet.|Aquest és un sistema ben conegut per a l'edició en col·laboració en temps real de documents. Només has d'iniciar sessió, triar un títol del document i editar-lo. Diferents usuaris apareixeran en diferents colors, i també poden xatejar a la barra lateral. S'instal·la com un sistema privat en el qual només els usuaris del vostre servidor de LibreServer podran crear i editar documents, de manera que no està obert a cap usuari aleatori a Internet.
This is a federated social networking system. It can federate with other popular fediverse systems.|Es tracta d'un sistema de xarxes socials federat. Es pot federar amb altres sistemes federals populars.
This is a blogging system which has no database and only uses text files for storage.|  Es tracta d'un sistema de blogging que no té base de dades i només utilitza fitxers de text per a l'emmagatzematge.
This is a git hosting system. It's very similar to Github in appearance and use, is lightweight and so is well suited for use on low power ARM servers.|Aquest és un sistema d'allotjament git. És molt semblant a Github en aparença i ús, és lleuger, per la qual cosa és molt adequat per al seu ús en servidors ARM de baix consum.
This is a web publishing and social network system which includes wiki, web pages, photo albums and file storage. It also has nomadic identity allowing you to easily move your account between different servers and privacy controls which allow you to define who can see what content.| Es tracta d'un sistema de publicació web i xarxa social que inclou wiki, pàgines web, àlbums de fotos i emmagatzematge d'arxius. També té una identitat nòmada que us permetrà moure fàcilment el vostre compte entre diferents servidors i controls de privadesa que us permeten definir qui pot veure el contingut.
Kanbans are one way of managing projects. They're traditionally used in businesses but can also be useful for personal TODO lists or within open source or DIY projects. If you have a list of things which need to be done and want to keep track of progress then this provides a way to do that.|Els kanbans són una forma de gestionar projectes. S'utilitzen tradicionalment a les empreses, però també poden ser útils per a llistes TODO personal o en projectes de codi obert o DIY. Si teniu una llista de les coses que cal fer i voleu fer un seguiment del progrés, això proporciona una forma de fer-ho.
The default login is username "admin" and the login password which you usually use for the web interface.|  El nom d'usuari predeterminat és el nom d'usuari "administrador" i la contrasenya d'inici de sessió que sol utilitzar per a la interfície web.
If you're using a Tor browser then you may need to allow javascript for the site by selecting the NoScript icon.|   Si utilitzeu un navegador Tor, és possible que necessiteu permetre javascript per al lloc seleccionant la icona NoScript.
Extra users can be added from the drop down menu at the top right of the screen, under "Users management".| Es poden afegir usuaris addicionals al menú desplegable a la part superior dreta de la pantalla, sota "Administració d'usuaris".
This enables you to store your music on the LibreServer server and then access it from any internet connected device.|  Això us permet emmagatzemar la vostra música al servidor de LibreServer i accedir-hi des de qualsevol dispositiu connectat a Internet.
This is a simple and lightweight photo album for the web. Whether you're an amateur or professional photographer, or want to publish random holiday pics or cat pictures. Lychee just does what it says it does without any fuss.|  Aquest és un àlbum de fotos senzill i lleuger per a la web. Ja sigui que sou un fotògraf amateur o professional o voleu publicar fotos de vacances aleatòries o imatges de gat. Lychee només fa el que diu que ho fa sense cap contratemps.
This provides an webmail interface suitable for use on desktop or mobile clients and with built in support for encryption.| Proporciona una interfície de correu web adequada per al seu ús en clients d'escriptori o mòbils i amb suport incorporat per al xifratge.
This is a system for file synchronisation and also has many other plugins for calendar, videoconferencing, collaborative document editing and federated file sharing.|  Aquest és un sistema per a la sincronització d'arxius i també té molts altres connectors per al calendari, la videoconferència, l'edició de documents col·laboratius i l'intercanvi d'arxius federats.
This is a video hosting system which uses webtorrent to help distribute the files to or between clients.|   Es tracta d'un sistema d'allotjament de vídeo que utilitza webtorrent per ajudar a distribuir els fitxers als clients o entre ells.
Use the username 'root' and your usual password to log in as the administrator. You can then change settings as needed.|Utilitzeu el nom d'usuari 'root' i la vostra contrasenya habitual per iniciar sessió com a administrador. A continuació, podeu canviar la configuració segons sigui necessari.
This is an OStatus and ActivityPub compatible social networking server which federates with other fediverse systems. It is high-performance and so is especially well suited for running on low power single board computers without much RAM.|Aquest és un servidor de xarxes socials compatible amb OStatus i ActivityPub que es federava amb altres sistemes fediverse. És d'alt rendiment i, per tant, és especialment adequat per funcionar amb ordinadors de taula senzilla amb poca potència sense molta RAM.
Since Pleroma supports the same protocols, any Mastodon client for Android should work with it.|Atès que Pleroma admet els mateixos protocols, qualsevol client de Mastodon per a Android ha de treballar amb ell.
This is a fork of GNU Social which includes some extra fixes and optimisations to improve performance. It federates with other fediverse servers, such as Pleroma or Mastodon.|Aquesta és una bifurcació de GNU Social que inclou algunes correccions i optimitzacions addicionals per millorar el rendiment. Es fusiona amb altres servidors de Fedivers, com ara Pleroma o Mastodon.
This is an encrypted pastebin, such that the server has zero knowledge of the content. It's intended for small amounts of text less than 32K in length. It's not intended for transfering large files, or for storing pastes for more than a day.|Es tracta d'un pastebo encriptat, de manera que el servidor no té coneixement del contingut. Està destinat a petites quantitats de text de menys de 32K de longitud. No està destinat a la transferència de fitxers grans, o per emmagatzemar pastes durant més d'un dia.
This is a web based user interface to the Matrix federated chat system. You will need to have already installed the Matrix app for this to work.|Aquesta és una interfície d'usuari basada en web al sistema de xat federat de Matrix. Haureu d'haver instal·lat l'aplicació Matrix per tal que funcioni.
This is yet another chat system, but the server part of it isn't federated and so it's suitable for small private groups rather than for general public discussions.|Aquest és un altre sistema de xat, però la part del servidor no està federada i, per tant, és adequat per a petits grups privats en lloc de per a debats públics generals.
Provides a similar capability to proprietary systems such as Dropbox, and also is well suited for use with low power single board computers. You can have one or more directories which are synchronized across your various laptops/desktops/devices, and this makes it hard for you to ever lose important files. Of course, you don't necessarily need to be running a server in order to use Syncthing, but if you do have a server which is always running then there's always at least one place to synchronize your files to or from.|Proporciona una capacitat similar a sistemes propietaris com Dropbox, i també és molt adequat per al seu ús amb ordinadors d'una sola taula de baix consum. Podeu tenir un o més directoris que estiguin sincronitzats en diferents ordinadors portàtils / equips d'escriptori / dispositius, i això us dificulta perdre fitxers importants. Per descomptat, no necessàriament necessiteu executar un servidor per poder utilitzar Syncthing, però si teniu un servidor que sempre s'executa, sempre hi ha almenys un lloc per sincronitzar els fitxers des de i cap a fora.
On a Debian based system:|En un sistema basat en Debian:
Or on Android search for the Syncthing app.|O bé a la cerca d'Android de l'aplicació de sincronització.
Using the settings button within the LibreServer web interface for the Syncthing app you can then paste in any IDs for other devices. They will then sync with your server.|Utilitzant el botó de configuració a la interfície web de LibreServer per a l'aplicació Syncing, podeu enganxar-los a qualsevol ID per a altres dispositius. Després es sincronitzaran amb el vostre servidor.
A system for privately creating and sharing notes and images, similar to Evernote. It can be set up so that a small number of users on the server can share their notes in a convenient way. It doesn't have any web user interface, and you need to install native clients on mobile or laptop/desktop machines.|Un sistema per crear i compartir notes i imatges de manera privada, similar a Evernote. Es pot configurar perquè una petita quantitat d'usuaris del servidor puguin compartir les seves notes d'una forma còmoda. No té cap interfície d'usuari web, i necessiteu instal·lar clients natius a màquines mòbils o portàtils / d'escriptori.
Since the data at rest is stored in PGP encrypted format this is a good system to use in cases where security really is a critical factor.|Atès que les dades en repòs s'emmagatzemen en format xifrat PGP, aquest és un bon sistema per a utilitzar en casos en què la seguretat realment és un factor crític.
Go to https://turtlapp.com/download and you'll then be able to download the appropriate app for your laptop or phone.|Aneu a https://turtlapp.com/download i, a continuació, podreu descarregar l'aplicació adequada per al vostre portàtil o telèfon.
Run the downloaded native app then at the bottom of the screen select "advanced settings" and enter your turl domain name, then register a new account. The password can be anything you choose, but since the client side encryption depends upon having a good password make it a long random string generated by a password manager such as KeepassX.|Executeu l'aplicació nativa baixada i, a la part inferior de la pantalla, seleccioneu "Configuració avançada" i introduïu el vostre nom de domini turl i, a continuació, registreu un compte nou. La contrasenya pot ser qualsevol cosa que trieu, però com que el xifrat del costat del client depèn de tenir una bona contrasenya, és una cadena aleatòria llarga generada per un gestor de contrasenyes com KeepassX.
You should then be able to log in and start using the app. You might also want to invite any other users of your LibreServer system to also sign up using the turtl domain name which you specified during installation.|A continuació, hauria de poder iniciar sessió i començar a utilitzar l'aplicació. També és possible que vulgueu convidar qualsevol altre usuari del vostre sistema LibreServer per registrar-vos també amb el nom del domini turtl que heu especificat durant la instal·lació.
Disabling new registrations|Desactivació de registres nous
Once you have set up the server with however many users are needed you can then disable any new registrations by selecting Turtl on the LibreServer web interface and going to the settings screen.|Una vegada que hagueu configurat el servidor amb el nombre de molts usuaris necessaris, podeu inhabilitar els registres nous seleccionant Turtl a la interfície web de LibreServer i anant a la pantalla de configuració.
This is similar to Hubzilla but with a reduced range of features concentrating exclusively upon social networking with the latest version of the Zot protocol. Nomadic identity is supported, so to can export your channels and import them on other servers if necessary, without losing followers.|Això és similar a Hubzilla però amb una reduïda gamma de funcions que se centren exclusivament en xarxes socials amb l'última versió del protocol Zot. La identitat nòmada és compatible, de manera que podeu exportar els vostres canals i importar-los en altres servidors si cal, sense perdre seguidors.
Zap also has sophisticated privacy controls which enable you to decide exactly how you wish to interact with other users and what information of yours they can view.|Zap també té sofisticats controls de privadesa que us permeten decidir exactament com voleu interactuar amb altres usuaris i quina informació vostra pot veure.
The first account you register will be the administrator user, and from there you can go to the admin settings and disable new registrations if needed.|El primer compte que registreu serà l'usuari administrador, i des d'allà podeu anar a la configuració de l'administrador i desactivar registres nous si és necessari.
To find other users to follow select "directory" from the drop down menu at the top right of the screen and set "this site only" to "no".|Per trobar altres usuaris a seguir seleccioneu "directori" al menú desplegable a la part superior dreta de la pantalla i configurar "aquest lloc només" a "no".
There is an Android app available called Nomad.|Hi ha disponible una aplicació per a Android anomenada Nomad.
End-to-end encrypted sync of calendar and contacts between devices|Sincronització encriptada endavant de calendari i contactes entre dispositius
Secure, end-to-end encrypted and journaled personal information cloud synchronization for Android and the desktop, supporting contacts and calendars|Sincronització segura i sincronitzada en el núvol d'informació personal encriptada i actualitzada per a Android i l'escriptori, suport de contactes i calendaris
Nomadic social network server|Servidor de xarxes socials nòmades
Change background|Canvia el fons
Diagnostics|Diagnòstic
Please wait while your app is installing|Espereu mentre s'està instal·lant la vostra aplicació
The app could not be installed|No s'ha pogut instal·lar l'aplicació
Add a new member|Afegeix un nou membre
Kanban focussed on simplicity and minimalism|Kanban es va centrar en la simplicitat i el minimalisme
Emails, chat or social network posts will be blocked if they contain the following words or phrases|Els correus electrònics, xats o publicacions de la xarxa social seran bloquejades si contenen les següents paraules o frases
Muted words|Paraules silenciades
Disk space is getting too low. Installation stopped.|L'espai de disc s'està massa baix. S'ha aturat la instal·lació.
Password changed|S'ha canviat la contrasenya
Play media from any UPNP/DLNA device on your local network|
This allows you to play media on any DLNA supporting device within your local network.|
No Access Control|
Play media from any UPNP/DLNA device on your local network|Reproduïu els mitjans des de qualsevol dispositiu UPNP / DLNA a la vostra xarxa local
This allows you to play media on any DLNA supporting device within your local network.|Això us permet jugar a qualsevol dispositiu de suport DLNA dins de la vostra xarxa local.
No Access Control|Sense control d'accés
DLNA doesn't have any access controls, so keep in mind that anyone with a mobile device or laptop within your local network is potentially able to play any media on the server. Hence this may not be suitable for situations where you want parental control over what media can be accessed.|DLNA no té cap control d'accés, així que tingueu en compte que qualsevol que tingui un dispositiu mòbil o ordinador portàtil a la vostra xarxa local pugui reproduir qualsevol mitjà al servidor. Per tant, això pot no ser adequat per a situacions en què es vol controlar pares sobre el que es pot accedir als mitjans de comunicació.
Adding Media|Addició de mitjans de comunicació
You can add media by selecting the settings button from the DLNA app.|Podeu afegir mitjans seleccionant el botó de configuració de l'aplicació DLNA.
Your homepage can also be accessed with a Tor browser on:|També podeu accedir a la vostra pàgina d'inici amb un navegador Tor:
Chat|Xat
Media|Mitjans de comunicació
Social|Social
Sync|Sincronització
Publishing|Publicació
Other|Altres
Recommended Firefox Add-ons:|Complements recomanats de Firefox:
Change your default domain name|Canvieu el vostre nom de domini predeterminat
Do you want to change your default domain name to:|Voleu canviar el vostre nom de domini predeterminat per:
rsync failed|rsync ha fallat
For most purposes Syncthing is an easier file synchronization system, but rsync is still a reliable solution if you prefer to do things the more traditional way or if you just want to create a mirror from an existing rsync server.|Per a la majoria dels propòsits Syncthing és un sistema de sincronització d'arxius més fàcil, però rsync segueix sent una solució fiable si preferiu fer les coses de la manera més tradicional o si només voleu crear un mirall d'un servidor rsync existent.
Rsync is unencrypted but can be used via an onion address for transport security. If you are using it via your domain name then third parties will be able to see the content, but this may not matter if you are synchronizing already public files, such as GNU/Linux distro downloads.|Rsync is unencrypted but can be used via an onion address for transport security. If you are using it via your domain name then third parties will be able to see the content, but this may not matter if you are synchronizing already public files, such as GNU/Linux distro downloads.
Avoid using this for private data, unless you are exclusively using rsync via the onion address.|Eviteu fer-ho per a dades privades, tret que estigueu utilitzant exclusivament rsync a través de l'adreça de ceba.
Creating a Mirror|Creant un mirall
Select the Settings button then enter the domain and module name for the mirror. From then on synchronization will happen once per day.|Seleccioneu el botó Configuració i, a continuació, introduïu el nom del domini i el mòdul de la rèplica. A partir d'aquí la sincronització passarà una vegada al dia.
Local Sync|Sincronització local
If you created a mirror to your server you can then sync those files to other machines or devices on your local network as follows:|Si heu creat una rèplica al vostre servidor, podeu sincronitzar aquests fitxers a altres màquines o dispositius de la xarxa local de la manera següent:
If "libreserver" doesn't work then you can substitute the local IP address of your server.|Si "libreserver" no funciona, podeu substituir l'adreça IP local del vostre servidor.
Create a mirror of public files|Crea un mirall de fitxers públics
The domain name could not be changed|El nom del domini no s'ha pogut canviar
This might be because you do not have ports 80 and 443 forwarded to the server.|Això podria ser perquè no teniu ports 80 i 443 reenviats al servidor.
Check the port forwarding settings on your internet router.|Comproveu la configuració de reenviament del port al vostre enrutador d'Internet.
Please specify a domain name which will be used for your email or XMPP address.|Especifiqueu un nom de domini que s'utilitzarà per a la vostra adreça de correu electrònic o XMPP.
Please forward the following ports from your internet router:|Reenvieu els següents ports des del vostre enrutador d'Internet:
Search for 'Barcode Scanner', then select 'install'|Cerqueu 'Barcode Scanner', a continuació, seleccioneu 'instal·lar'
Download the DarkMessenger apk file via the link below, preferably using a Tor based browser, then install it|Descarregueu el fitxer d'aprenentatge DarkMessenger a través de l'enllaç següent, preferiblement utilitzant un navegador basat en Tor i, a continuació, instal·leu-lo
Run DarkMessenger and the initial account setup will be shown. DarkMessenger only allows onion addresses to be used to create accounts|Es mostrarà DarkMessenger i la configuració inicial del compte. DarkMessenger només permet utilitzar adreces de ceba per crear comptes
You can obtain your onion XMPP address from the Members section within the web interface, usually at http://libreserver/admin or http://libreserver.local/admin. If you can't easily copy and paste it into the account setup within DarkMessenger then you can use the barcode scanner on the QRcode displayed|Podeu obtenir l'adreça XMPP de la cua de la secció Membres dins de la interfície web, normalment a http: // libreserver / admin o http: //libreserver.local/admin. Si no podeu copiar fàcilment i enganxar-lo a la configuració del compte a DarkMessenger, podeu utilitzar l'escàner del codi de barres al QRcode que es mostrarà
Enter the password which you stored during initial setup of the system and also the onion domain|Introduïu la contrasenya que heu emmagatzemat durant la configuració inicial del sistema i també el domini de ceba
You should now be able to connect to your onion XMPP account and set an avatar image if necessary|Ara hauríeu de poder connectar-vos al vostre compte XMPP de ceba i establir una imatge d'avatar si fos necessari
When sending or receiving pictures or other attachments for the first time you will need to accept the self-signed certificates. Select 'always' twice. This should only happen once per contact|En enviar o rebre imatges o altres fitxers adjunts per primera vegada, haureu d'acceptar els certificats autofirmats. Seleccioneu "sempre" dues vegades. Això només hauria de passar una vegada per cada contacte
Under Settings/Expert you may want to change the automatic message deletion period. By default this is one day|A Configuració / Expert, potser voldreu canviar el període automàtic de supressió del missatge. Per defecte, aquest és un dia
When setting up a group chat first ensure that you have separately confirmed two way messaging with each of the participants individually|Quan configureu un xat de grup primer, assegureu-vos que heu confirmat per separat la missatgeria bidireccional amb cada un dels participants individualment
Enable strict TLS authentication between XMPP servers?|Voleu habilitar l'autenticació TLS estricta entre els servidors XMPP?
If you or other people are having difficulty joining multi-user chat then enabling this might help|Si tu o altres persones teniu dificultats per unir-vos a un xat de diversos usuaris, podeu activar-ho si us plau
Music can be uploaded using NextCloud. Install the app and then create a directory called 'Music'.|La música es pot carregar mitjançant NextCloud. Instal·leu l'aplicació i, a continuació, creeu un directori anomenat "Música".
Drag your files into the Music directory and they will then become available to mpd.|Arrossegueu els fitxers al directori de música i, a continuació, estaran disponibles per mpd.
Select search (magnifying glass icon) and search for 'MALP', then select 'install'|Seleccioneu la cerca (icona de lupa) i cerqueu 'MALP', després seleccioneu 'instal·lar'
Open MALP and from the settings select Profiles|Obriu MALP i des de la configuració seleccioneu Perfils
Enter the following settings:|Introduïu la configuració següent:
Save the settings by selecting the disk icon at the top right of the screen|Deseu els paràmetres seleccionant la icona del disc a la part superior dreta de la pantalla
You should now be able to connect to mpd on your server and select and play albums.|Ara haureu de connectar-vos a MPD al vostre servidor i seleccionar i reproduir àlbums.
In a non-Tor browser navigate to http://libreserver:8250 or http://[server local IP address]:8250 and you should be able to play the selected album.|En un navegador que no sigui Tor, navegueu a http: // libreserver: 8250 o http: // [adreça IP local del servidor]: 8250 i hauríeu de poder reproduir l'àlbum seleccionat.
Setting up on the desktop|S'està configurant a l'escriptori
Install Sonata|Instal·leu la Sonata
Run Sonata and enter the following settings:|Executeu Sonata i introduïu la configuració següent:
You should now be able to see your albums listed and be able to add them to the currently playing list.|Ara hauríeu de poder veure els vostres àlbums a la llista i poder-los afegir a la llista de reproducció actual.
In a non-Tor browser navigate to http://libreserver:8250 or http://[server local IP address]:8250 and you should be able to play the selected album.|En un navegador que no sigui Tor, navegueu a http: // libreserver: 8250 o http: // [adreça IP local del servidor]: 8250 i hauríeu de poder reproduir l'àlbum seleccionat.
Select your music file format:|Seleccioneu el vostre format de fitxer de música:
pixelfed allow new registrations|Els pixelfed permeten nous registres
Groceries and household management|Comestibles i gestió de la llar
Organization|Organització
VPN domain or IP address:|Domini de VPN o adreça IP:
VPN public key:|Clau pública de VPN:
Public key for this server:|Clau pública per a aquest servidor:
Public keys for the laptops or devices that you wish to be able to use this server to connect to the internet.|Les claus públiques dels ordinadors portàtils o dispositius que voleu utilitzar per connectar-se a Internet.
Network|Xarxa
Set your coordinates on the map|Configureu les coordenades al mapa
Longitude:|Longitud:
Latitude:|Latitude:
Join|Uneix-te
Docs|Documents
