About|Om
Within the software center search for "mumble" and install the client then run it. Skip through the audio setup wizard. Cancel the initial connection window.|Inden for softwarecenteret søg efter "mumble" og installer klienten, så kør den. Spring over guiden til lydopsætning. Annuller det oprindelige forbindelsesvindue.
Write it down or save it|Skriv det ned eller gem det
XMPP|XMPP
xmpp based chat system|xmpp baseret chat system
Yes|Ja
You can edit the translated text on the right side of the screen.|Du kan redigere den oversatte tekst på højre side af skærmen.
You can get to this system remotely via:|Du kan komme til dette system på afstand via:
You can now go back to the initial Conversations app screen and start using it. You'll probably want to add contacts using the icon at the bottom right. For more information see the Conversations website (conversations.im) or subscribe to the chat group conversations@conference.siacs.eu|Du kan nu gå tilbage til den oprindelige samtaleprogramskærm og begynde at bruge den. Du vil nok gerne tilføje kontakter ved hjælp af ikonet nederst til højre. For mere information se webstedet for samtaler (conversations.im) eller abonner på chatgruppen conversations@conference.siacs.eu
You can now log in with:|Du kan nu logge ind med:
You can see upgrade progress|Du kan se opgradering fremskridt
You can use left and right cursor keys to move through pages|Du kan bruge venstre og højre cursortaster til at flytte gennem sider
You may also want to make another entry with the same settings but replacing tcp with udp.|Du kan også gerne lave en anden post med de samme indstillinger, men erstatter tcp med udp.
You may now remove the USB drive|Du kan nu fjerne USB-drevet
You might have mistyped one of them|Du har muligvis mistyped en af ​​dem
You will see the translations file with some instructions at the top.|Du vil se oversættelsesfilen med nogle instruktioner øverst.
Your password must be at least 8 characters in length and only use the characters a-z A-Z and 0-9|Dit kodeord skal være mindst 8 tegn og kun bruge tegnene a-z A-Z og 0-9
Zero knowledge pastebin|Nul viden pastebin
Theme|Tema
Light|Lys
Dark|Mørk
Mail|Post
Clear|Klar
Send email through a proxy|Send e-mail via en proxy
If you find that you can't send out email and that you get 'failed delivery' messages returned instead then you may be able to proxy sent emails through another server. Sometimes ISPs or companies provide an SMTP server which can do this.|Hvis du finner u dukke kan sende e-post og at du får mislykkede leveringsmeldinger, kan du sende proxy přes e-mail přes en annen server. Někdy poskytovatelé internetového připojení na serveru SMTP-server zemřeli.
Failed to install. For details see admin/applog.txt|Kunne ikke installere. For detaljer se admin/applog.txt
Installed successfully|Installeret med succes
pihole|pihole
Unlike browser based ad blockers, pihole works at the domain name resolution level to block domains known to privide the ads appearing in web pages.|I modsætning til browserbaserede annonceblokkere fungerer pihole på domænenavnsopløsningsniveau for at blokere domæner, der er kendt for at beskytte annoncerne på websider.
Set your DNS IP address to the one shown and many ads will get blocked even before they're delivered to your laptop or mobile device. This can save a lot of bandwidth and generally speed up the loading of websites.| Indstil din DNS-IP-adresse til den viste, og mange annoncer bliver blokeret, før de leveres til din bærbare computer eller mobilenhed. Dette kan spare meget båndbredde og generere hurtigere indlæsningen af ​​websteder.
Change DNS on your internet router| Skift DNS på din internetrouter
If your internet router allows you to change the DNS IP address then this is the best way to use pihole because it will then provide coverage for all of the devices and computers in your home.|Hvis din internetrouter giver dig mulighed for at ændre DNS-IP-adressen, er dette den bedste måde at bruge pihole på, da det vil give dækning for alle enheder og computere i dit hjem.
Change DNS on individual devices|Skift DNS på individuelle enheder
If you can't change your internet router's DNS then you can do that on individual GNU/Linux systems as follows:| Hvis du ikke kan ændre din internetrouter DNS, kan du gøre det på individuelle GNU/Linux-systemer som følger:
Remove or comment out any existing nameservers and add one with the IP address shown for the pihole app. Something like:|Fjern eller kommentér eventuelle eksisterende navneservere og tilføj en med den IP-adresse, der vises for pihole-appen. Noget som:
Then save and exit and prevent the file from being automatically changed with:| Gem derefter og afslut og undgå, at filen ændres automatisk med:
If you're running the standard version of LibreServer (not the onion version) then you may need to modify your hosts file to access your own domain.|Hvis du kører standardversionen af ​​LibreServer (ikke løgversionen), skal du muligvis ændre din hosts-fil for at få adgang til dit eget domæne.
Then add something like:|Tilføj derefter noget som:
This only works when you're within your home network, so if you're outside of your home then undo the changes made above.|Dette virker kun, når du er inden for dit hjemmenetværk, så hvis du er uden for dit hjem, skal du fortryde de ovenfor foretagne ændringer.
The Pi-hole is a DNS sinkhole that protects your devices from unwanted content, without installing any client-side software.|Pi-hullet er et DNS-hulhul, der beskytter dine enheder mod uønsket indhold uden at installere nogen software til klientsiden.
Search|Søg
removed|fjernet
To get email working you will need to forward some ports. Email using your onion address will work anyway, so long as you are contacting other onion based email addresses.|For at få e-mail-arbejde skal du sende nogle porte. E-mail ved hjælp af din løgadresse vil fungere alligevel, så længe du kontakter andre løgbaserede emailadresser.
Forward ports 25, 587 and 465 from your internet router|Videresend havne 25, 587 og 465 fra din internetrouter
To access cryptpad you'll need to use a Tor browser. Navigate to the URL and enable javascript for the site under the NoScript icon. The screen will be blank for a few seconds while it's downloading the application into your browser.|For at få adgang til krypteringspuden skal du bruge en Tor-browser. Naviger til webadressen og aktiver javascript for webstedet under NoScript-ikonet. Skærmen bliver tom i nogle sekunder, mens den downloader programmet i din browser.
Cryptpad is an almost peer-to-peer application. No data is stored on the server, which only does minimal orchestration between the clients. If an adversary subsequently obtains the server they still learn nothing.|Cryptpad er en næsten peer-to-peer-applikation. Der opbevares ingen data på serveren, hvilket kun gør minimal orkestration mellem klienterne. Hvis en modstander senere får serveren, lærer de stadig ingenting.
Authentication Token|Autentifikationstoken
This is only needed if you're using FreeDNS. Otherwise you can leave it blank.|Dette er kun nødvendigt, hvis du bruger FreeDNS. Ellers kan du lade det være tomt.
On the site where you obtained your domain name set up some custom nameservers as follows:|På det websted, hvor du har fået dit domænenavn, oprettes nogle brugerdefinerede navneservere som følger:
On the FreeDNS site go to the "Dynamic DNS" section and make sure that "link updates of the same IP together" is set to ON.|På FreeDNS-webstedet skal du gå til sektionen "Dynamisk DNS" og sørge for, at "link opdateringer af samme IP sammen" er indstillet til ON.
For your main domain name select "quick cron example" and then your authentication token is the random string on the last line between the ? and = characters.|For dit primære domænenavn vælg "quick cron example" og derefter er din autentificeringstoken den tilfældige streng på den sidste linje mellem? Og = tegnene.
Your current IP address is shown at the top of the Dynamic DNS screen of the LibreServer user interface. You can use the "Mass Mod" feature at the top of the "Subdomains" part of the FreeDNS site to set all of your subdomains to that IP address.|Du kan bruge funktionen "Mass Mod" øverst i "Underdomæner" -delen af FreeDNS-webstedet til at indstille alle dine underdomæner til det IP-adresse.
Select the MX entry for your main domain and change the destination to 10:mydomainname rather than 10:mail.mydomainname.|Vælg MX-posten for dit hoveddomæne, og skift destinationen til 10: mydomainname i stedet for 10: mail.mydomainname.
Enter your FreeDNS login details and the authentication token on the Dynamic DNS screen of the LibreServer user interface.|Indtast dine FreeDNS login detaljer og autentificeringstoken på Dynamisk DNS-skærmen i LibreServer brugergrænsefladen.
To make a playlist insert a USB drive containing audio files in a directory called playlist, add a description below and then select Update|For at gøre en afspilningsliste indsæt et USB-drev, der indeholder lydfiler i en mappe kaldet afspilningsliste, skal du tilføje en beskrivelse nedenfor og derefter vælge Opdater
To add music copy it to a directory called Music on a USB drive then plug it into your server and select Update|For at tilføje musik skal du kopiere det til en mappe, der hedder Musik på et USB-drev, og derefter tilslutte det til din server og vælge Opdater
This is a wiki which stores its content in text files. Having no database makes maintaining it simpler, and it's not tied to any particular domain name so you can easily copy the files to a different domain if you need to.|Dette er en wiki, der gemmer indholdet i tekstfiler. At have ingen database gør det enklere, og det er ikke knyttet til et bestemt domænenavn, så du nemt kan kopiere filerne til et andet domæne, hvis du har brug for det.
Provides an easy and private way to sync calendar and contacts between devices.|Giver en nem og privat måde at synkronisere kalender og kontakter mellem enheder.
Using on mobile|Brug på mobil
The user interface is a little misleading. Make sure that you log in with your username, not your email addres.|Brugergrænsefladen er lidt vildledende. Sørg for, at du logger ind med dit brugernavn, ikke din emailaddress.
Also choose the advanced option and enter the subdomain that you installed etesync on.|Vælg også den avancerede indstilling og indtast det underdomæne, du har installeret etesync på.
This is a well known system for real time collaborative editing of documents. Just log in, choose a document title and then edit. Different users will appear in different colours, and can also chat in the sidebar. This is installed as a private system in which only users on your LibreServer server will be able to create and edit documents, so it's not open to any random users on the internet.|Dette er et velkendt system til samarbejdsmæssig redigering af dokumenter i realtid. Bare log ind, vælg en dokumenttitel og rediger derefter. Forskellige brugere vises i forskellige farver og kan også chatte i sidepanelet. Dette er installeret som et privat system, hvor kun brugere på din LibreServer server vil kunne oprette og redigere dokumenter, så det er ikke åbent for nogen tilfældige brugere på internettet.
This is a federated social networking system. It can federate with other popular fediverse systems.|Dette er et fødereret socialt netværkssystem. Det kan forbinde med andre populære fediverse systemer.
This is a blogging system which has no database and only uses text files for storage.|Dette er et blogsystem, der ikke har nogen database og kun bruger tekstfiler til opbevaring.
This is a git hosting system. It's very similar to Github in appearance and use, is lightweight and so is well suited for use on low power ARM servers.|Dette er et git hosting system. Det ligner meget Github i udseende og brug, er let og er velegnet til brug på ARM-servere med lav effekt.
This is a web publishing and social network system which includes wiki, web pages, photo albums and file storage. It also has nomadic identity allowing you to easily move your account between different servers and privacy controls which allow you to define who can see what content.|Dette er et webpublicerings- og socialt netværkssystem, der indeholder wiki, websider, fotoalbum og filopbevaring. Det har også nomadisk identitet, så du nemt kan flytte din konto mellem forskellige servere og privatlivskontrol, som giver dig mulighed for at definere, hvem der kan se hvilket indhold.
Kanbans are one way of managing projects. They're traditionally used in businesses but can also be useful for personal TODO lists or within open source or DIY projects. If you have a list of things which need to be done and want to keep track of progress then this provides a way to do that.|Kanbans er en måde at styre projekter på. De bruges traditionelt i virksomheder, men kan også være nyttige til personlige TODO lister eller inden for open source eller DIY projekter. Hvis du har en liste over ting, der skal gøres og vil holde styr på fremskridt, så giver dette mulighed for at gøre det.
The default login is username "admin" and the login password which you usually use for the web interface.|Standard login er brugernavn "admin" og login adgangskoden, som du normalt bruger til webgrænsefladen.
If you're using a Tor browser then you may need to allow javascript for the site by selecting the NoScript icon.|Hvis du bruger en Tor-browser, skal du muligvis tillade javascript for webstedet ved at vælge NoScript-ikonet.
Extra users can be added from the drop down menu at the top right of the screen, under "Users management".|Ekstra brugere kan tilføjes fra rullemenuen øverst til højre på skærmen under "Brugernes ledelse".
This enables you to store your music on the LibreServer server and then access it from any internet connected device.|Dette gør det muligt at gemme din musik på LibreServer-serveren og derefter få adgang til den fra enhver internetforbundet enhed.
This is a simple and lightweight photo album for the web. Whether you're an amateur or professional photographer, or want to publish random holiday pics or cat pictures. Lychee just does what it says it does without any fuss.|Dette er et simpelt og let fotoalbum til internettet. Uanset om du er en amatør eller professionel fotograf, eller ønsker at offentliggøre tilfældige feriebilleder eller kattebilleder. Lychee gør bare hvad det siger, det gør uden noget ståhej.
This provides an webmail interface suitable for use on desktop or mobile clients and with built in support for encryption.|Dette giver en webmail interface, der er egnet til brug på stationære eller mobile klienter og med indbygget support til kryptering.
This is a system for file synchronisation and also has many other plugins for calendar, videoconferencing, collaborative document editing and federated file sharing.|Dette er et system til filsynkronisering og har også mange andre plugins til kalender, videokonference, samarbejdspapirredigering og fødereret fildeling.
This is a video hosting system which uses webtorrent to help distribute the files to or between clients.|Dette er et video hosting system, der bruger webtorrent til at hjælpe med at distribuere filerne til eller mellem klienter.
Use the username 'root' and your usual password to log in as the administrator. You can then change settings as needed.|Brug brugernavnet 'root' og dit sædvanlige kodeord til at logge ind som administrator. Du kan derefter ændre indstillinger efter behov.
This is an OStatus and ActivityPub compatible social networking server which federates with other fediverse systems. It is high-performance and so is especially well suited for running on low power single board computers without much RAM.|Dette er en OStatus og ActivityPub kompatibel social networking server, der forbinder med andre fediverse systemer. Det er højtydende og er derfor særligt velegnet til at køre på single-board computere med lavt strømforbrug uden meget RAM.
Since Pleroma supports the same protocols, any Mastodon client for Android should work with it.|Da Pleroma understøtter de samme protokoller, skal enhver Mastodon-klient til Android arbejde med det.
This is a fork of GNU Social which includes some extra fixes and optimisations to improve performance. It federates with other fediverse servers, such as Pleroma or Mastodon.|Dette er en gaffel af GNU Social, som indeholder nogle ekstra rettelser og optimeringer til forbedring af ydeevnen. Det forbinder med andre fediverse servere, såsom Pleroma eller Mastodon.
This is an encrypted pastebin, such that the server has zero knowledge of the content. It's intended for small amounts of text less than 32K in length. It's not intended for transfering large files, or for storing pastes for more than a day.|Dette er en krypteret pastebin, sådan at serveren har nul kendskab til indholdet. Det er beregnet til små mængder tekst mindre end 32K i længden. Det er ikke beregnet til overførsel af store filer, eller til lagring af pastaer i mere end en dag.
This is a web based user interface to the Matrix federated chat system. You will need to have already installed the Matrix app for this to work.|Dette er en webbaseret brugergrænseflade til Matrix fødererede chat-system. Du skal allerede have installeret Matrix-appen, så dette kan fungere.
This is yet another chat system, but the server part of it isn't federated and so it's suitable for small private groups rather than for general public discussions.|Dette er endnu et chat-system, men serverdelen af ​​det er ikke fødereret, og det er derfor egnet til små private grupper snarere end til offentlige diskussioner.
Provides a similar capability to proprietary systems such as Dropbox, and also is well suited for use with low power single board computers. You can have one or more directories which are synchronized across your various laptops/desktops/devices, and this makes it hard for you to ever lose important files. Of course, you don't necessarily need to be running a server in order to use Syncthing, but if you do have a server which is always running then there's always at least one place to synchronize your files to or from.|Giver en lignende evne til proprietære systemer som Dropbox, og det er også velegnet til brug med single-board computere med lavt strømforbrug. Du kan have en eller flere mapper, som er synkroniseret på tværs af dine forskellige bærbare computere / desktops / enheder, og det gør det svært for dig at tabe vigtige filer nogensinde. Selvfølgelig behøver du ikke nødvendigvis at køre en server for at kunne bruge Syncthing, men hvis du har en server, der altid kører, er der altid mindst et sted at synkronisere dine filer til eller fra.
On a Debian based system:|På et Debian-baseret system:
Or on Android search for the Syncthing app.|Eller på Android søgning efter Syncthing-appen.
Using the settings button within the LibreServer web interface for the Syncthing app you can then paste in any IDs for other devices. They will then sync with your server.|Ved hjælp af indstillingsknappen i LibreServer-webgrænsefladen til Syncthing-appen kan du derefter indsætte i nogen id'er til andre enheder. De vil derefter synkronisere med din server.
A system for privately creating and sharing notes and images, similar to Evernote. It can be set up so that a small number of users on the server can share their notes in a convenient way. It doesn't have any web user interface, and you need to install native clients on mobile or laptop/desktop machines.|Et system til privat oprettelse og deling af noter og billeder, svarende til Evernote. Det kan konfigureres, så et lille antal brugere på serveren kan dele deres noter på en bekvem måde. Det har ingen web-brugergrænseflade, og du skal installere hjemmehørende klienter på mobile eller bærbare / stationære maskiner.
Since the data at rest is stored in PGP encrypted format this is a good system to use in cases where security really is a critical factor.|Da data i hvile er gemt i PGP-krypteret format, er dette et godt system til brug i tilfælde, hvor sikkerhed virkelig er en kritisk faktor.
Go to https://turtlapp.com/download and you'll then be able to download the appropriate app for your laptop or phone.|Gå til https://turtlapp.com/download, og du kan derefter downloade den relevante app til din bærbare computer eller telefon.
Run the downloaded native app then at the bottom of the screen select "advanced settings" and enter your turl domain name, then register a new account. The password can be anything you choose, but since the client side encryption depends upon having a good password make it a long random string generated by a password manager such as KeepassX.|Kør den downloadede native app, så i bunden af ​​skærmen vælg "advanced settings" og indtast dit turl domænenavn, og registrer derefter en ny konto. Adgangskoden kan være alt, hvad du vælger, men da klientsiden kryptering afhænger af at have et godt kodeord, gør det en lang tilfældig streng genereret af en adgangskodeadministrator som KeepassX.
You should then be able to log in and start using the app. You might also want to invite any other users of your LibreServer system to also sign up using the turtl domain name which you specified during installation.|Du skal derefter kunne logge ind og begynde at bruge appen. Du kan også invitere andre brugere af dit LibreServer-system til også at tilmelde dig ved hjælp af det turtl-domænenavn, du angav under installationen.
Disabling new registrations|Deaktivering af nye registreringer
Once you have set up the server with however many users are needed you can then disable any new registrations by selecting Turtl on the LibreServer web interface and going to the settings screen.|Når du har konfigureret serveren, hvor der dog er brug for mange brugere, kan du deaktivere nye registreringer ved at vælge Turtl på LibreServer web-interface og gå til indstillingsskærmen.
This is similar to Hubzilla but with a reduced range of features concentrating exclusively upon social networking with the latest version of the Zot protocol. Nomadic identity is supported, so to can export your channels and import them on other servers if necessary, without losing followers.|Dette ligner Hubzilla, men med et reduceret udvalg af funktioner, der udelukkende koncentrerer sig om sociale netværk med den nyeste version af Zot-protokollen. Nomadisk identitet understøttes, så du kan eksportere dine kanaler og importere dem på andre servere, hvis det er nødvendigt uden at miste tilhængere.
The first account you register will be the administrator user, and from there you can go to the admin settings and disable new registrations if needed.|Den første konto, du registrerer, er administratorbrugeren, og derfra kan du gå til administratorindstillingerne og deaktivere nye registreringer, hvis det er nødvendigt.
To find other users to follow select "directory" from the drop down menu at the top right of the screen and set "this site only" to "no".|For at finde andre brugere, skal du vælge "bibliotek" fra rullemenuen øverst til højre på skærmen og indstille kun "dette websted" til "nej".
There is an Android app available called Nomad.|Der er en Android-app tilgængelig kaldet Nomad.
End-to-end encrypted sync of calendar and contacts between devices|End-to-end krypteret synkronisering af kalender og kontakter mellem enheder
Secure, end-to-end encrypted and journaled personal information cloud synchronization for Android and the desktop, supporting contacts and calendars|Sikker, end-til-ende krypteret og journaliseret personlig information cloud synkronisering til Android og skrivebordet, understøttelse af kontakter og kalendere
Nomadic social network server|Nomadisk social network server
Change background|Skift baggrund
Diagnostics|Diagnosticering
Please wait while your app is installing|Vent venligst mens din app installerer
The app could not be installed|App'en kunne ikke installeres
Add a new member|Tilføj et nyt medlem
Kanban focussed on simplicity and minimalism|Kanban fokuserede på enkelhed og minimalisme
Emails, chat or social network posts will be blocked if they contain the following words or phrases|Emails, chat eller sociale netværksindlæg vil blive blokeret, hvis de indeholder følgende ord eller sætninger
Muted words|Udstødte ord
Disk space is getting too low. Installation stopped.|Diskpladsen bliver for lav. Installationen er stoppet.
Password changed|Adgangskode ændret
Play media from any UPNP/DLNA device on your local network|Afspil medier fra enhver UPNP / DLNA-enhed på dit lokale netværk
This allows you to play media on any DLNA supporting device within your local network.|Dette giver dig mulighed for at afspille medier på enhver DLNA-understøttende enhed i dit lokale netværk.
No Access Control|Ingen adgangskontrol
DLNA doesn't have any access controls, so keep in mind that anyone with a mobile device or laptop within your local network is potentially able to play any media on the server. Hence this may not be suitable for situations where you want parental control over what media can be accessed.|DLNA har ingen adgangskontroller, så husk at enhver, der har en mobil enhed eller bærbar computer i dit lokale netværk, potentielt kan spille medier på serveren. Derfor kan dette ikke være egnet til situationer, hvor du vil have forældrekontrol over, hvilke medier der er adgang til.
Adding Media|Tilføjelse af medier
You can add media by selecting the settings button from the DLNA app.|Du kan tilføje medier ved at vælge indstillingsknappen fra DLNA-appen.
Your homepage can also be accessed with a Tor browser on:|Din hjemmeside kan også åbnes med en Tor-browser på:
Chat|Chat
Media|medier
Social|Social
Sync|Sync
Publishing|Publishing
Other|Andre
Recommended Firefox Add-ons:|Anbefalede Firefox-tilføjelser:
Change your default domain name|Skift dit standard domænenavn
Do you want to change your default domain name to:|Vil du ændre dit domænenavn til:
rsync failed|rsync mislykkedes
For most purposes Syncthing is an easier file synchronization system, but rsync is still a reliable solution if you prefer to do things the more traditional way or if you just want to create a mirror from an existing rsync server.|For de fleste formål er Syncthing et lettere filsynkroniseringssystem, men rsync er stadig en pålidelig løsning, hvis du foretrækker at gøre tingene på den mere traditionelle måde, eller hvis du bare vil oprette et spejl fra en eksisterende rsync-server.
Rsync is unencrypted but can be used via an onion address for transport security. If you are using it via your domain name then third parties will be able to see the content, but this may not matter if you are synchronizing already public files, such as GNU/Linux distro downloads.|Rsync er ukrypteret, men kan bruges via en løgadresse til transportsikkerhed. Hvis du bruger det via dit domænenavn, kan tredjeparter se indholdet, men det kan ikke være noget, hvis du allerede synkroniserer offentlige filer, f.eks. GNU / Linux distro downloads.
Avoid using this for private data, unless you are exclusively using rsync via the onion address.|Undgå at bruge dette til private data, medmindre du udelukkende bruger rsync via løgadressen.
Creating a Mirror|Oprettelse af en spejl
Select the Settings button then enter the domain and module name for the mirror. From then on synchronization will happen once per day.|Vælg knappen Indstillinger, og indtast derefter domænet og modulnavnet for spejlet. Fra da af sker synkronisering en gang om dagen.
Local Sync|Lokal synkronisering
If you created a mirror to your server you can then sync those files to other machines or devices on your local network as follows:|Hvis du har oprettet et spejl til din server, kan du derefter synkronisere disse filer til andre maskiner eller enheder på dit lokale netværk som følger:
If "libreserver" doesn't work then you can substitute the local IP address of your server.|Hvis "libreserver" ikke virker, kan du erstatte den lokale IP-adresse på din server.
Create a mirror of public files|Opret et spejl af offentlige filer
The domain name could not be changed|Domænenavnet kunne ikke ændres
This might be because you do not have ports 80 and 443 forwarded to the server.|Dette kan skyldes, at du ikke har porte 80 og 443 videresendt til serveren.
Check the port forwarding settings on your internet router.|Kontroller indstillingerne for portvideresendelse på din internetrouter.
Please specify a domain name which will be used for your email or XMPP address.|Zadejte název domény, který bude použit pro vaši e-mailovou adresu nebo adresu XMPP.
Please forward the following ports from your internet router:|Posílejte následující porty z internetového směrovače:
Search for 'Barcode Scanner', then select 'install'|Søg efter 'Barcode Scanner', vælg derefter 'installer'
Download the DarkMessenger apk file via the link below, preferably using a Tor based browser, then install it|Download DarkMessenger Apk-filen via linket nedenfor, helst ved at bruge en Tor-baseret browser, og installer den derefter
Run DarkMessenger and the initial account setup will be shown. DarkMessenger only allows onion addresses to be used to create accounts|Kør DarkMessenger, og den oprindelige konto opsætning vises. DarkMessenger tillader kun løgadresser til at oprette konti
You can obtain your onion XMPP address from the Members section within the web interface, usually at http://libreserver/admin or http://libreserver.local/admin. If you can't easily copy and paste it into the account setup within DarkMessenger then you can use the barcode scanner on the QRcode displayed|Du kan få din løg XMPP-adresse fra Medlemmer-sektionen i web-grænsefladen, normalt på http: // libreserver / admin eller http: //libreserver.local/admin. Hvis du ikke nemt kan kopiere og indsætte det i kontoopsætningen i DarkMessenger, kan du bruge stregkodescanneren på QRcode vist
Enter the password which you stored during initial setup of the system and also the onion domain|Indtast adgangskoden, som du lagrede under første opsætning af systemet og også løgdomænet
You should now be able to connect to your onion XMPP account and set an avatar image if necessary|Du skal nu kunne oprette forbindelse til din løg XMPP-konto og indstille et avatarbillede, hvis det er nødvendigt
When sending or receiving pictures or other attachments for the first time you will need to accept the self-signed certificates. Select 'always' twice. This should only happen once per contact|Når du sender eller modtager billeder eller andre vedhæftede filer for første gang, skal du acceptere de selvsignerede certifikater. Vælg 'altid' to gange. Dette bør kun ske én gang pr. Kontakt
Under Settings/Expert you may want to change the automatic message deletion period. By default this is one day|Under Indstillinger / Ekspert skal du muligvis ændre den automatiske besked sletning periode. Som standard er det en dag
When setting up a group chat first ensure that you have separately confirmed two way messaging with each of the participants individually|Når du konfigurerer en gruppechat, skal du først sikre dig, at du har separat bekræftet tovejsbeskeder med hver enkelt deltager individuelt
Enable strict TLS authentication between XMPP servers?|Aktivér streng TLS-godkendelse mellem XMPP-servere?
If you or other people are having difficulty joining multi-user chat then enabling this might help|Hvis du eller andre har svært ved at deltage i multi-user chat, kan det hjælpe med at aktivere dette
Music can be uploaded using NextCloud. Install the app and then create a directory called 'Music'.|Musik kan uploades ved hjælp af NextCloud. Installer appen, og lav derefter en mappe, der hedder 'Musik'.
Drag your files into the Music directory and they will then become available to mpd.|Træk dine filer i musikmappen, og de bliver så tilgængelige for mpd.
Select search (magnifying glass icon) and search for 'MALP', then select 'install'|Vælg søgning (forstørrelsesglasikon) og søg efter 'MALP', og vælg derefter 'installer'
Open MALP and from the settings select Profiles|Åbn MALP og vælg Profiler fra indstillingerne
Enter the following settings:|Indtast følgende indstillinger:
Save the settings by selecting the disk icon at the top right of the screen|Gem indstillingerne ved at vælge diskikonet øverst til højre på skærmen
You should now be able to connect to mpd on your server and select and play albums.|Du skal nu kunne oprette forbindelse til mpd på din server og vælge og afspille album.
In a non-Tor browser navigate to http://libreserver:8250 or http://[server local IP address]:8250 and you should be able to play the selected album.|I en ikke-Tor-browser navigerer du til http: // libreserver: 8250 eller http: // [server lokal IP-adresse]: 8250 og du skal kunne afspille det valgte album.
Setting up on the desktop|Opsætning på skrivebordet
Install Sonata|Installer Sonata
Run Sonata and enter the following settings:|Kør Sonata og indtast følgende indstillinger:
You should now be able to see your albums listed and be able to add them to the currently playing list.|Du skal nu kunne se dine album opført og kunne tilføje dem til den aktuelle afspilningsliste.
In a non-Tor browser navigate to http://libreserver:8250 or http://[server local IP address]:8250 and you should be able to play the selected album.|I en ikke-Tor-browser navigerer du til http: // libreserver: 8250 eller http: // [server lokal IP-adresse]: 8250 og du skal kunne afspille det valgte album.
Select your music file format:|Vælg dit musikfilformat:
pixelfed allow new registrations|pixelfed tillade nye registreringer
Groceries and household management|Levnedsmidler og husholdningernes ledelse
organization|Organisation
VPN domain or IP address:|VPN-domæne eller IP-adresse:
VPN public key:|VPN-offentlig nøgle:
Public key for this server:|Offentlig nøgle til denne server:
Public keys for the laptops or devices that you wish to be able to use this server to connect to the internet.|Offentlige nøgler til de bærbare computere eller enheder, som du ønsker at kunne bruge denne server til at oprette forbindelse til internettet.
Network|Netværk
Set your coordinates on the map|Indstil dine koordinater på kortet
Longitude:|Længde:
Latitude:|Breddegrad:
Join|Tilslutte
Docs|Dokumenter
Community network map is being generated|EF-netværkskort genereres
Please wait|Vent venligst
IP address (optional):|IP-adresse (valgfrit):
Export|Eksport
Add a new community network node|Tilføj et nyt netværksknude for netværk
Remove a community network node|Fjern et netværkskode for et netværk
WARNING: Only change this if you know what you are doing. Selecting the wrong mesh protocol may make your server disappear from the network, and be difficult to recover|ADVARSEL: Skift kun dette, hvis du ved hvad du gør. Hvis du vælger den forkerte netprotokol, kan din server forsvinde fra netværket, og det er svært at genoprette
WARNING: Only change this if you know what you are doing. Setting an incorrect IP address or gateway may cause your server to become inaccessible, and may be difficult to recover|ADVARSEL: Skift kun dette, hvis du ved hvad du gør. Indstilling af en forkert IP-adresse eller gateway kan medføre, at din server bliver utilgængelig og kan være svært at genoprette
Choose your network:|Vælg dit netværk:
Language is being changed|Sproget ændres
Community Network|Fællesskabsnetværk
Theme is being changed|Temaet bliver ændret
Install a new app|Installer en ny app
Restore APPNAME from backup?|Gendan APPNAME fra backup?
Add or remove feeds|Tilføj eller fjern feeds
Enter an RSS feed URL to add or remove. The domain name is enough for removals.|Indtast en RSS-feed-URL for at tilføje eller fjerne. Domænenavnet er nok til flytninger.
Show onion address|Vis løgadresse
Multi User Dungeon from the era of Welsh mainframe computing|Multi User Dungeon fra den æra af walisisk mainframe computing
Forward the UDP port 5100 from your internet router|Videresend UDP-port 5100 fra din internetrouter
Since this app only uses the UDP protocol it won't work via an onion address. If you are running the onion only version of LibreServer then use its local IP address (usually 192.168.1.x) to connect to the game on the above port.|Da denne app kun bruger UDP-protokollen, fungerer den ikke via en løgadresse. Hvis du kører løgens eneste version af LibreServer, så brug den lokale IP-adresse (normalt 192.168.1.x) for at oprette forbindelse til spillet på ovennævnte port.
Near infinite world block sandbox game|Nær uendelig verden blok sandbox spil
Federation List|Federation List
Add or remove the domain names for instances with whom you wish to federate. Don't include your own domain names.|Tilføj eller fjern domænenavne for forekomster, med hvem du ønsker at forpligte. Indsæt ikke dine egne domænenavne.
Notify via|Underret via
Receive admin notifications|Modtag admin-meddelelser
New calendar event|Ny kalenderbegivenhed
New direct message|Ny direkte besked
New reply|Nyt svar
New shared item|Ny delt vare
New follow request|Ny følgeanmodning
Number of connections on HTTP port is high|Antallet af forbindelser på HTTP-port er stort
Number of connections on HTTPS port is high|Antallet af forbindelser på HTTPS-port er stort
Cryptpad allow new signups|Cryptpad tillader nye tilmeldinger
Name of the Dungeon Master|Dungeon Master's navn
Message Of The Day|Dagens meddelelse
port|netværksport
Server Password|Serveradgangskode
DNS over TLS|DNS over TLS
IP Address|IP-adresse
New git patch|Ny git patch
liked your post|kunne lide dit indlæg
IRC Password|IRC Password
