About|关于
To access cryptpad you'll need to use a Tor browser. Navigate to the URL and enable javascript for the site under the NoScript icon. The screen will be blank for a few seconds while it's downloading the application into your browser.|要访问cryptpad，您需要使用Tor浏览器。 导航到URL并在NoScript图标下为站点启用javascript。 在将应用程序下载到浏览器中时，屏幕将显示空白几秒钟。
Cryptpad is an almost peer-to-peer application. No data is stored on the server, which only does minimal orchestration between the clients. If an adversary subsequently obtains the server they still learn nothing.|Cryptpad是一个几乎是点对点的应用程序。 没有数据存储在服务器上，只在客户端之间进行最小的编排。 如果对手随后获得了服务器，他们仍然没有学到任何东西。
Authentication Token|身份验证令牌
This is only needed if you're using FreeDNS. Otherwise you can leave it blank.|只有在使用FreeDNS时才需要这样做。 否则你可以留空。
On the site where you obtained your domain name set up some custom nameservers as follows:|在您获取域名的站点上设置一些自定义名称服务器，如下所示：
On the FreeDNS site go to the "Dynamic DNS" section and make sure that "link updates of the same IP together" is set to ON.|在FreeDNS站点上，转到“动态DNS”部分，确保“将相同IP的链接更新”设置为“开”。
For your main domain name select "quick cron example" and then your authentication token is the random string on the last line between the ? and = characters.|对于您的主域名选择“快速cron示例”，然后您的身份验证令牌是最后一行之间的随机字符串？ 和=字符。
Your current IP address is shown at the top of the Dynamic DNS screen of the LibreServer user interface. You can use the "Mass Mod" feature at the top of the "Subdomains" part of the FreeDNS site to set all of your subdomains to that IP address.|您当前的IP地址显示在LibreServer用户界面的动态DNS屏幕顶部。 您可以使用FreeDNS网站“Subdomains”部分顶部的“Mass Mod”功能将所有子域设置为该IP地址。
Select the MX entry for your main domain and change the destination to 10:mydomainname rather than 10:mail.mydomainname.|选择主域的MX条目，并将目标更改为10：mydomainname而不是10：mail.mydomainname。
Enter your FreeDNS login details and the authentication token on the Dynamic DNS screen of the LibreServer user interface.|在LibreServer用户界面的动态DNS屏幕上输入您的FreeDNS登录详细信息和身份验证令牌。
To make a playlist insert a USB drive containing audio files in a directory called playlist, add a description below and then select Update|要制作播放列表，请将包含音频文件的USB驱动器插入名为播放列表的目录中，在下面添加说明，然后选择“更新”
To add music copy it to a directory called Music on a USB drive then plug it into your server and select Update|要添加音乐，请将其复制到USB驱动器上名为Music的目录中，然后将其插入服务器并选择更新
This is a wiki which stores its content in text files. Having no database makes maintaining it simpler, and it's not tied to any particular domain name so you can easily copy the files to a different domain if you need to.|这是一个将其内容存储在文本文件中的Wiki。没有数据库使维护更简单，并且它不依赖于任何特定的域名，因此您可以根据需要轻松地将文件复制到其他域。
Provides an easy and private way to sync calendar and contacts between devices.|提供一种简单而私密的方式来同步设备之间的日历和联系人。
Using on mobile|在移动设备上使用
The user interface is a little misleading. Make sure that you log in with your username, not your email addres.|用户界面有点误导。确保使用您的用户名登录，而不是使用电子邮件地址登录。
Also choose the advanced option and enter the subdomain that you installed etesync on.|同时选择高级选项并输入您在其上安装etesync的子域。
This is a well known system for real time collaborative editing of documents. Just log in, choose a document title and then edit. Different users will appear in different colours, and can also chat in the sidebar. This is installed as a private system in which only users on your LibreServer server will be able to create and edit documents, so it's not open to any random users on the internet.|这是用于文档的实时协作编辑的众所周知的系统。只需登录，选择文档标题，然后进行编辑。不同的用户将以不同的颜色显示，也可以在侧边栏中聊天。这是作为一个私人系统安装的，其中只有LibreServer服务器上的用户才能创建和编辑文档，因此它不对互联网上的任何随机用户开放。
This is a federated social networking system. It can federate with other popular fediverse systems.|这是一个联合社交网络系统。它可以与其他流行的fediverse系统联合。
This is a blogging system which has no database and only uses text files for storage.|这是一个没有数据库的博客系统，只使用文本文件进行存储。
This is a git hosting system. It's very similar to Github in appearance and use, is lightweight and so is well suited for use on low power ARM servers.|这是一个git托管系统。它在外观和使用方面与Github非常相似，重量轻，非常适合在低功耗ARM服务器上使用。
This is a web publishing and social network system which includes wiki, web pages, photo albums and file storage. It also has nomadic identity allowing you to easily move your account between different servers and privacy controls which allow you to define who can see what content.|这是一个网络发布和社交网络系统，包括维基，网页，相册和文件存储。它还具有游牧身份，允许您轻松地在不同服务器和隐私控制之间移动您的帐户，从而可以定义谁可以查看哪些内容。
Kanbans are one way of managing projects. They're traditionally used in businesses but can also be useful for personal TODO lists or within open source or DIY projects. If you have a list of things which need to be done and want to keep track of progress then this provides a way to do that.|看板是管理项目的一种方式。它们传统上用于商业，但也可用于个人TODO列表或开源或DIY项目。如果您有一系列需要完成的事情并希望跟踪进度，那么这就提供了一种方法。
The default login is username "admin" and the login password which you usually use for the web interface.|默认登录名是用户名“admin”和您通常用于Web界面的登录密码。
If you're using a Tor browser then you may need to allow javascript for the site by selecting the NoScript icon.|如果您使用的是Tor浏览器，则可能需要通过选择NoScript图标为该网站允许javascript。
Extra users can be added from the drop down menu at the top right of the screen, under "Users management".|可以从屏幕右上角的“用户管理”下的下拉菜单中添加额外用户。
This enables you to store your music on the LibreServer server and then access it from any internet connected device.|这使您可以将音乐存储在LibreServer服务器上，然后从任何连接到互联网的设备访问它。
This is a simple and lightweight photo album for the web. Whether you're an amateur or professional photographer, or want to publish random holiday pics or cat pictures. Lychee just does what it says it does without any fuss.|这是一个简单轻便的网络相册。无论您是业余摄影师还是专业摄影师，或想发布随机假日照片或猫图片。荔枝只是做它所说的没有任何大惊小怪。
This provides an webmail interface suitable for use on desktop or mobile clients and with built in support for encryption.|这提供了适用于桌面或移动客户端的webmail接口，并且内置了对加密的支持。
This is a system for file synchronisation and also has many other plugins for calendar, videoconferencing, collaborative document editing and federated file sharing.|这是一个用于文件同步的系统，还有许多其他用于日历，视频会议，协作文档编辑和联合文件共享的插件。
This is a video hosting system which uses webtorrent to help distribute the files to or between clients.|这是一个视频托管系统，它使用webtorrent帮助将文件分发到客户端或客户端之间。
Use the username 'root' and your usual password to log in as the administrator. You can then change settings as needed.|使用用户名“root”和常用密码以管理员身份登录。然后，您可以根据需要更改设置。
This is an OStatus and ActivityPub compatible social networking server which federates with other fediverse systems. It is high-performance and so is especially well suited for running on low power single board computers without much RAM.|这是一个OStatus和ActivityPub兼容的社交网络服务器，它与其他的fediverse系统联合。它具有高性能，因此特别适合在没有太多RAM的低功耗单板计算机上运行。
Since Pleroma supports the same protocols, any Mastodon client for Android should work with it.|由于Pleroma支持相同的协议，因此Android的任何Mastodon客户端都应该使用它。
This is a fork of GNU Social which includes some extra fixes and optimisations to improve performance. It federates with other fediverse servers, such as Pleroma or Mastodon.|这是GNU Social的一个分支，它包含一些额外的修复和优化以提高性能。它与其他fediverse服务器联合，例如Pleroma或Mastodon。
This is an encrypted pastebin, such that the server has zero knowledge of the content. It's intended for small amounts of text less than 32K in length. It's not intended for transfering large files, or for storing pastes for more than a day.|这是一个加密的pastebin，因此服务器对内容没有任何了解。它适用于少量长度小于32K的文本。它不是用于传输大文件，也不是用于存储超过一天的粘贴。
This is a web based user interface to the Matrix federated chat system. You will need to have already installed the Matrix app for this to work.|这是Matrix联合聊天系统的基于Web的用户界面。您需要已经安装了Matrix应用程序才能实现此功能。
This is yet another chat system, but the server part of it isn't federated and so it's suitable for small private groups rather than for general public discussions.|这是另一个聊天系统，但它的服务器部分不是联合的，因此它适用于小型私人组而不是一般的公共讨论。
Provides a similar capability to proprietary systems such as Dropbox, and also is well suited for use with low power single board computers. You can have one or more directories which are synchronized across your various laptops/desktops/devices, and this makes it hard for you to ever lose important files. Of course, you don't necessarily need to be running a server in order to use Syncthing, but if you do have a server which is always running then there's always at least one place to synchronize your files to or from.|提供与Dropbox等专有系统类似的功能，也非常适合与低功耗单板计算机一起使用。您可以拥有一个或多个在各种笔记本电脑/台式机/设备上同步的目录，这使您很难丢失重要文件。当然，您不一定需要运行服务器才能使用Syncthing，但如果您确实有一台始终运行的服务器，那么始终至少有一个地方可以同步您的文件。
On a Debian based system:|在基于Debian的系统上：
Or on Android search for the Syncthing app.|或者在Android上搜索Syncthing应用。
Using the settings button within the LibreServer web interface for the Syncthing app you can then paste in any IDs for other devices. They will then sync with your server.|使用LibreServer Web界面中的设置按钮为Syncthing应用程序，您可以粘贴其他设备的任何ID。然后，他们将与您的服务器同步。
A system for privately creating and sharing notes and images, similar to Evernote. It can be set up so that a small number of users on the server can share their notes in a convenient way. It doesn't have any web user interface, and you need to install native clients on mobile or laptop/desktop machines.|私人创建和共享笔记和图像的系统，类似于Evernote。它可以设置为使服务器上的少量用户可以方便地共享他们的笔记。它没有任何Web用户界面，您需要在移动或笔记本电脑/台式机上安装本机客户端。
Since the data at rest is stored in PGP encrypted format this is a good system to use in cases where security really is a critical factor.|由于静态数据以PGP加密格式存储，因此在安全性确实是关键因素的情况下，这是一个很好的系统。
Go to https://turtlapp.com/download and you'll then be able to download the appropriate app for your laptop or phone.|转到https://turtlapp.com/download，然后您就可以为您的笔记本电脑或手机下载相应的应用程序。
Run the downloaded native app then at the bottom of the screen select "advanced settings" and enter your turl domain name, then register a new account. The password can be anything you choose, but since the client side encryption depends upon having a good password make it a long random string generated by a password manager such as KeepassX.|运行下载的本机应用程序，然后在屏幕底部选择“高级设置”并输入您的turl域名，然后注册一个新帐户。密码可以是您选择的任何密码，但由于客户端加密取决于具有良好的密码，因此密码管理器（如KeepassX）生成的长随机字符串。
You should then be able to log in and start using the app. You might also want to invite any other users of your LibreServer system to also sign up using the turtl domain name which you specified during installation.|然后，您应该能够登录并开始使用该应用程序。您可能还想邀请LibreServer系统的任何其他用户也使用您在安装期间指定的turtl域名进行注册。
Disabling new registrations|禁用新注册
Once you have set up the server with however many users are needed you can then disable any new registrations by selecting Turtl on the LibreServer web interface and going to the settings screen.|一旦您设置了服务器，但需要很多用户，您可以通过选择LibreServer Web界面上的Turtl并进入设置屏幕来禁用任何新注册。
This is similar to Hubzilla but with a reduced range of features concentrating exclusively upon social networking with the latest version of the Zot protocol. Nomadic identity is supported, so to can export your channels and import them on other servers if necessary, without losing followers.|这与Hubzilla类似，但功能范围缩小，专注于使用最新版Zot协议的社交网络。支持游牧身份，因此可以导出您的频道并在必要时将其导入其他服务器，而不会丢失关注者。
The first account you register will be the administrator user, and from there you can go to the admin settings and disable new registrations if needed.|您注册的第一个帐户将是管理员用户，从那里您可以转到管理员设置并在需要时禁用新注册。
To find other users to follow select "directory" from the drop down menu at the top right of the screen and set "this site only" to "no".|要查找其他用户，请从屏幕右上角的下拉菜单中选择“目录”，并将“仅此站点”设置为“否”。
There is an Android app available called Nomad.|有一个名为Nomad的Android应用程序。
End-to-end encrypted sync of calendar and contacts between devices|设备之间的日历和联系人的端到端加密同步
Secure, end-to-end encrypted and journaled personal information cloud synchronization for Android and the desktop, supporting contacts and calendars|适用于Android和桌面的安全，端到端加密和记录的个人信息云同步，支持联系人和日历
Nomadic social network server|游牧社交网络服务器
Change background|换背景
Diagnostics|诊断
Please wait while your app is installing|请等待您的应用安装
The app could not be installed|该应用无法安装
Add a new member|添加新成员
Kanban focussed on simplicity and minimalism|看板专注于简约和极简主义
Emails, chat or social network posts will be blocked if they contain the following words or phrases|如果电子邮件，聊天或社交网络帖子包含以下字词或短语，则会被阻止
Muted words|无言的话
Disk space is getting too low. Installation stopped.|磁盘空间过低。 安装停止了。
Password changed|密码已更改
Play media from any UPNP/DLNA device on your local network|从本地网络上的任何UPNP / DLNA设备播放媒体
This allows you to play media on any DLNA supporting device within your local network.|这允许您在本地网络中的任何DLNA支持设备上播放媒体。
No Access Control|无访问控制
DLNA doesn't have any access controls, so keep in mind that anyone with a mobile device or laptop within your local network is potentially able to play any media on the server. Hence this may not be suitable for situations where you want parental control over what media can be accessed.|DLNA没有任何访问控制，因此请记住，在本地网络中拥有移动设备或笔记本电脑的任何人都有可能在服务器上播放任何媒体。 因此，这可能不适合您希望家长控制可访问的媒体的情况。
Adding Media|添加媒体
You can add media by selecting the settings button from the DLNA app.|您可以通过从DLNA应用程序中选择设置按钮来添加媒体。
Your homepage can also be accessed with a Tor browser on:|您也可以使用Tor浏览器访问您的主页：
Chat|聊天
Media|媒体
Social|社会
Sync|同步
Publishing|出版
Other|其他
Recommended Firefox Add-ons:|推荐的Firefox附加组件：
Change your default domain name|更改您的默认域名
Do you want to change your default domain name to:|是否要将默认域名更改为：
rsync failed|rsync失败了
For most purposes Syncthing is an easier file synchronization system, but rsync is still a reliable solution if you prefer to do things the more traditional way or if you just want to create a mirror from an existing rsync server.|对于大多数用途，Syncthing是一个更简单的文件同步系统，但如果您更喜欢以更传统的方式执行操作，或者只是想从现有rsync服务器创建镜像，则rsync仍然是可靠的解决方案。
Rsync is unencrypted but can be used via an onion address for transport security. If you are using it via your domain name then third parties will be able to see the content, but this may not matter if you are synchronizing already public files, such as GNU/Linux distro downloads.|Rsync是未加密的，但可以通过洋葱地址用于传输安全性。 如果您通过您的域名使用它，那么第三方将能够看到内容，但如果您正在同步已经公开的文件，例如GNU / Linux发行版下载，这可能无关紧要。
Avoid using this for private data, unless you are exclusively using rsync via the onion address.|避免将此用于私人数据，除非您通过洋葱地址专门使用rsync。
Creating a Mirror|创建镜像
Select the Settings button then enter the domain and module name for the mirror. From then on synchronization will happen once per day.|选择“设置”按钮，然后输入镜像的域和模块名称。 从那时起，同步将每天发生一次。
Local Sync|本地同步
If you created a mirror to your server you can then sync those files to other machines or devices on your local network as follows:|如果您为服务器创建了镜像，则可以将这些文件同步到本地网络上的其他计算机或设备，如下所示：
If "libreserver" doesn't work then you can substitute the local IP address of your server.|如果“libreserver”不起作用，那么您可以替换服务器的本地IP地址。
Create a mirror of public files|创建公共文件的镜像
The domain name could not be changed|域名无法更改
This might be because you do not have ports 80 and 443 forwarded to the server.|这可能是因为您没有将端口80和443转发到服务器。
Check the port forwarding settings on your internet router.|检查Internet路由器上的端口转发设置。
Please specify a domain name which will be used for your email or XMPP address.|请指定将用于您的电子邮件或XMPP地址的域名。
Please forward the following ports from your internet router:|请从您的互联网路由器转发以下端口：
Search for 'Barcode Scanner', then select 'install'|搜索“条码扫描器”，然后选择“安装”
Download the DarkMessenger apk file via the link below, preferably using a Tor based browser, then install it|通过下面的链接下载DarkMessenger apk文件，最好使用基于Tor的浏览器，然后安装
Run DarkMessenger and the initial account setup will be shown. DarkMessenger only allows onion addresses to be used to create accounts|运行DarkMessenger并显示初始帐户设置。 DarkMessenger仅允许使用洋葱地址来创建帐户
You can obtain your onion XMPP address from the Members section within the web interface, usually at http://libreserver/admin or http://libreserver.local/admin. If you can't easily copy and paste it into the account setup within DarkMessenger then you can use the barcode scanner on the QRcode displayed|您可以从Web界面中的“成员”部分获取洋葱XMPP地址，通常位于http：// libreserver / admin或http：//libreserver.local/admin。如果您无法轻松将其复制并粘贴到DarkMessenger中的帐户设置中，那么您可以使用显示的QRcode上的条形码扫描仪
Enter the password which you stored during initial setup of the system and also the onion domain|输入在初始设置系统期间存储的密码以及洋葱域
You should now be able to connect to your onion XMPP account and set an avatar image if necessary|您现在应该可以连接到您的洋葱XMPP帐户并在必要时设置头像图像
When sending or receiving pictures or other attachments for the first time you will need to accept the self-signed certificates. Select 'always' twice. This should only happen once per contact|首次发送或接收图片或其他附件时，您需要接受自签名证书。选择“始终”两次。这应该只发生一次
Under Settings/Expert you may want to change the automatic message deletion period. By default this is one day|在“设置/专家”下，您可能想要更改自动消息删除期间。默认情况下，这是一天
When setting up a group chat first ensure that you have separately confirmed two way messaging with each of the participants individually|首先设置群聊时，请确保您已单独确认每个参与者的双向消息
Enable strict TLS authentication between XMPP servers?|在XMPP服务器之间启用严格的TLS身份验证？
If you or other people are having difficulty joining multi-user chat then enabling this might help|如果您或其他人在加入多用户聊天时遇到困难，那么启用此功能可能会有所帮助
Music can be uploaded using Nextcloud. Install the app and then create a directory called 'Music'.|可以使用Nextcloud上传音乐。 安装应用程序，然后创建一个名为“音乐”的目录。
Drag your files into the Music directory and they will then become available to mpd.|将文件拖到Music目录中，然后它们将可用于mpd。
Select search (magnifying glass icon) and search for 'MALP', then select 'install'|选择搜索（放大镜图标）并搜索“MALP”，然后选择“安装”
Open MALP and from the settings select Profiles|打开MALP并从设置中选择配置文件
Enter the following settings:|输入以下设置：
Save the settings by selecting the disk icon at the top right of the screen|通过选择屏幕右上角的磁盘图标来保存设置
You should now be able to connect to mpd on your server and select and play albums.|您现在应该能够连接到服务器上的mpd并选择并播放专辑。
In a non-Tor browser navigate to http://libreserver:8250 or http://[server local IP address]:8250 and you should be able to play the selected album.|在非Tor浏览器中，导航到http：// libreserver：8250或http：// [服务器本地IP地址]：8250，您应该能够播放所选专辑。
Setting up on the desktop|在桌面上设置
Install Sonata|安装Sonata
Run Sonata and enter the following settings:|运行Sonata并输入以下设置：
You should now be able to see your albums listed and be able to add them to the currently playing list.|您现在应该能够看到列出的相册，并能够将它们添加到当前播放的列表中。
In a non-Tor browser navigate to http://libreserver:8250 or http://[server local IP address]:8250 and you should be able to play the selected album.|在非Tor浏览器中，导航到http：// libreserver：8250或http：// [服务器本地IP地址]：8250，您应该能够播放所选专辑。
Select your music file format:|选择您的音乐文件格式：
pixelfed allow new registrations|pixelfed允许新的注册
Groceries and household management|杂货和家庭管理
Organization|组织
VPN domain or IP address:|VPN域或IP地址：
VPN public key:|VPN公钥：
Public key for this server:|此服务器的公钥：
Public keys for the laptops or devices that you wish to be able to use this server to connect to the internet.|您希望能够使用此服务器连接到互联网的笔记本电脑或设备的公钥。
Network|网络
Set your coordinates on the map|在地图上设置坐标
Longitude:|经度：
Latitude:|纬度：
Join|加入
Docs|文件
Community network map is being generated|正在生成社区网络地图
Please wait|请耐心等待
IP address (optional):|IP地址（可选）：
Export|出口
Add a new community network node|添加新的社区网络节点
Remove a community network node|删除社区网络节点
WARNING: Only change this if you know what you are doing. Selecting the wrong mesh protocol may make your server disappear from the network, and be difficult to recover|警告：只有在知道自己在做什么的情况下才能更改此项。 选择错误的网状协议可能会使您的服务器从网络中消失，并且难以恢复
WARNING: Only change this if you know what you are doing. Setting an incorrect IP address or gateway may cause your server to become inaccessible, and may be difficult to recover|警告：只有在知道自己在做什么的情况下才能更改此项。 设置错误的IP地址或网关可能会导致服务器无法访问，并且可能难以恢复
Choose your network:|选择你的网络：
Language is being changed|语言正在改变
Community Network|社区网络
Theme is being changed|主题正在改变
Install a new app|安装新应用
Restore APPNAME from backup?|从备份恢复APPNAME？
Add or remove feeds|添加或删除Feed
Enter an RSS feed URL to add or remove. The domain name is enough for removals.|输入要添加或删除的RSS源URL。 域名足以删除。
Show onion address|显示洋葱地址
Multi User Dungeon from the era of Welsh mainframe computing|来自威尔士大型机计算时代的多用户地下城
Forward the UDP port 5100 from your internet router|从您的互联网路由器转发UDP端口5100
Since this app only uses the UDP protocol it won't work via an onion address. If you are running the onion only version of LibreServer then use its local IP address (usually 192.168.1.x) to connect to the game on the above port.|由于此应用程序仅使用UDP协议，因此无法通过洋葱地址工作。 如果您正在运行仅有洋葱版本的LibreServer，则使用其本地IP地址（通常为192.168.1.x）连接到上述端口上的游戏。
Near infinite world block sandbox game|近无限世界块沙盒游戏
Federation List|联邦名单
Add or remove the domain names for instances with whom you wish to federate. Don't include your own domain names.|添加或删除要与其联合的实例的域名。 不要包含您自己的域名。
Notify via|通知通过
Receive admin notifications|接收管理员通知
New calendar event|新日历活动
New direct message|新直接讯息
New reply|新回覆
New shared item|新共享项
New follow request|新的关注请求
Number of connections on HTTP port is high|HTTP端口上的连接数很高
Number of connections on HTTPS port is high|HTTPS端口上的连接数很高
Cryptpad allow new signups|加密板允许新注册
Name of the Dungeon Master|地牢大师的名字
Message Of The Day|每日讯息
port|网络端口
Server Password|服务器密码
DNS over TLS|TLS上的DNS
IP Address|IP地址
New git patch|新的git补丁
liked your post|喜欢你的帖子
IRC Password|IRC密码
Reaction by|反应由
ssh connections too high|ssh 连接太高
