About|O
With Icecast you can run your own internet radio stream from an onion address. As always, be careful about copyright issues and preferably stick to Creative Commons music or music files that you own.|S Icecastem můžete spustit vlastní internetový rozhlasový proud z cibulové adresy. Jako vždy buďte opatrní ohledně problémů s autorskými právy a nejlépe se držte hudebních nebo hudebních souborů Creative Commons, které vlastníte.
Within the network list click, Add and enter your domain name then click Edit.|V seznamu sítí klikněte na Přidat a zadejte název domény a klikněte na Upravit.
Within the Password field enter the password which you originally set up the box with.|Do pole Heslo zadejte heslo, které jste původně nastavili.
Within the software center search for "mumble" and install the client then run it. Skip through the audio setup wizard. Cancel the initial connection window.|V softwarovém centru vyhledejte "mumble" a nainstalujte klienta a pak jej spusťte. Přeskočte průvodce zvukovým nastavením. Zrušte počáteční okno připojení.
Write it down or save it|Napište jej nebo uložte
XMPP|XMPP
xmpp based chat system|xmpp systém založený na chatu
Yes|Ano
You can edit the translated text on the right side of the screen.|Přeložený text můžete upravit na pravé straně obrazovky.
You can get to this system remotely via:|Do tohoto systému se můžete dostat vzdáleně prostřednictvím:
You can now go back to the initial Conversations app screen and start using it. You'll probably want to add contacts using the icon at the bottom right. For more information see the Conversations website (conversations.im) or subscribe to the chat group conversations@conference.siacs.eu|Nyní se můžete vrátit zpět na obrazovku aplikace Konverzace a začít ji používat. Pravděpodobně budete chtít přidat kontakty pomocí ikony vpravo dole. Další informace naleznete na webové stránce Konverzace (conversations.im) nebo se přihlaste k chatové skupině conversations@conference.siacs.eu
You can now log in with:|Nyní se můžete přihlásit pomocí:
You can see upgrade progress|Můžete vidět průběh upgradu
You can use left and right cursor keys to move through pages|Pomocí levého a pravého kurzorového tlačítka můžete procházet stránkami
You may also want to make another entry with the same settings but replacing tcp with udp.|Můžete také chtít vytvořit další položku se stejnými nastaveními, ale nahrazovat tcp s udp.
You may now remove the USB drive|Nyní můžete vyjmout jednotku USB
You might have mistyped one of them|Možná jste někdy zklamal jeden z nich
You will see the translations file with some instructions at the top.|Uvidíte soubor překladů s některými pokyny nahoře.
Your password must be at least 8 characters in length and only use the characters a-z A-Z and 0-9|Vaše heslo musí mít délku nejméně 8 znaků a používat pouze znaky a-z A-Z a 0-9
Zero knowledge pastebin|Zero znalosti pastebin
Theme|Téma
Light|Světlo
Dark|Temný
Mail|Pošta
Clear|Průhledná
Send email through a proxy|Odeslat e-mail prostřednictvím serveru proxy
If you find that you can't send out email and that you get 'failed delivery' messages returned instead then you may be able to proxy sent emails through another server. Sometimes ISPs or companies provide an SMTP server which can do this.|Pokud zjistíte, že nemůžete odesílat e-maily a že se vám vrátily zprávy o "nedoručeném doručení", pak budete moci odesílat e-maily prostřednictvím serveru proxy jiným serverem. Někdy poskytovatelé služeb Internetu nebo společnosti poskytují server SMTP, který to může provést.
Failed to install. For details see admin/applog.txt|Instalace se nezdařila. Podrobnosti najdete v admin/applog.txt
Installed successfully|Úspěšně instalována
pihole|pihole
Unlike browser based ad blockers, pihole works at the domain name resolution level to block domains known to privide the ads appearing in web pages.|Na rozdíl od prohlížečů zablokovaných ad blockerů, pihole pracuje na úrovni rozlišení doménového jména pro blokování domén, o kterých je známo, že inzerují reklamy na webových stránkách.
Set your DNS IP address to the one shown and many ads will get blocked even before they're delivered to your laptop or mobile device. This can save a lot of bandwidth and generally speed up the loading of websites.| Nastavte adresu DNS na zobrazenou adresu a mnoho reklam bude zablokováno ještě předtím, než budou doručeny do vašeho notebooku nebo mobilního zařízení. To může ušetřit hodně šířky pásma a obecně urychlit načítání webových stránek
Change DNS on your internet router| Změna DNS na internetovém routeru
If your internet router allows you to change the DNS IP address then this is the best way to use pihole because it will then provide coverage for all of the devices and computers in your home.|Pokud váš internetový směrovač umožňuje změnit adresu DNS IP, pak je to nejlepší způsob, jak použít pihole, protože pak bude poskytovat pokrytí všech zařízení a počítačů ve vašem domě.
Change DNS on individual devices|Změna DNS na jednotlivých zařízeních
If you can't change your internet router's DNS then you can do that on individual GNU/Linux systems as follows:| Pokud nemůžete změnit DNS internetového směrovače, můžete to provést na jednotlivých GNU/Linux systémech následovně:
Remove or comment out any existing nameservers and add one with the IP address shown for the pihole app. Something like:|Odebrat nebo komentovat existující jmenné servery a přidat jednu adresu IP zobrazenou v aplikaci. Něco jako:
Then save and exit and prevent the file from being automatically changed with:| Pak uložte a ukončete a zabraňte automatickému změně souboru pomocí:
If you're running the standard version of LibreServer (not the onion version) then you may need to modify your hosts file to access your own domain.|Pokud používáte standardní verzi programu LibreServer (nikoliv verze s cibulí), bude pravděpodobně nutné upravit soubor hostitelů pro přístup k vaší vlastní doméně.
Then add something like:|Pak přidejte něco jako:
This only works when you're within your home network, so if you're outside of your home then undo the changes made above.|To funguje pouze v domácí síti, takže pokud jste mimo doma, vrátit zpět výše uvedené změny
The Pi-hole is a DNS sinkhole that protects your devices from unwanted content, without installing any client-side software.|Pi-hole je DNS zásuvka, která chrání vaše zařízení před nežádoucím obsahem, aniž byste museli instalovat software na straně klienta.
Search|Vyhledávání
removed|Odstraněno
To get email working you will need to forward some ports. Email using your onion address will work anyway, so long as you are contacting other onion based email addresses.|Chcete-li získat e-mailovou práci, budete muset předat některé porty. E-mail s vaší cibulí adresou bude fungovat stejně, pokud budete kontaktovat jiné e-mailové adresy založené na cibulích.
Forward ports 25, 587 and 465 from your internet router|Přední porty 25, 587 a 465 z vašeho internetového směrovače
To access cryptpad you'll need to use a Tor browser. Navigate to the URL and enable javascript for the site under the NoScript icon. The screen will be blank for a few seconds while it's downloading the application into your browser.|Chcete-li získat přístup k kryptopadu, musíte použít prohlížeč Tor.Přejděte na adresu URL a povolte javascript pro web pod ikonou NoScript. Během stahování aplikace do prohlížeče bude obrazovka několik sekund prázdná.
Cryptpad is an almost peer-to-peer application. No data is stored on the server, which only does minimal orchestration between the clients. If an adversary subsequently obtains the server they still learn nothing.|Cryptpad je téměř peer-to-peer aplikace. Na serveru nejsou uložena žádná data, která mezi klienty provádí pouze minimální orchestraci.
Authentication Token|Ověřovací token
This is only needed if you're using FreeDNS. Otherwise you can leave it blank.|To je zapotřebí pouze v případě, že používáte aplikaci FreeDNS, jinak ji můžete nechat prázdné.
On the site where you obtained your domain name set up some custom nameservers as follows:|Na webu, kde jste získali název domény, nastavte některé vlastní servery s názvem:
On the FreeDNS site go to the "Dynamic DNS" section and make sure that "link updates of the same IP together" is set to ON.|Na webu FreeDNS přejděte do sekce "Dynamic DNS" a ujistěte se, že "aktualizace odkazů stejné IP společně" jsou nastaveny na hodnotu ON.
For your main domain name select "quick cron example" and then your authentication token is the random string on the last line between the ? and = characters.|Pro váš hlavní název domény vyberte "příklad rychlého cronu" a váš token ověřování je náhodný řetězec na posledním řádku mezi znaky? A =.
Your current IP address is shown at the top of the Dynamic DNS screen of the LibreServer user interface. You can use the "Mass Mod" feature at the top of the "Subdomains" part of the FreeDNS site to set all of your subdomains to that IP address.|Pomocí funkce "Mass Mod" v horní části části "Subdomény" webu FreeDNS můžete nastavit všechny své subdomény tak, aby Adresa IP.
Select the MX entry for your main domain and change the destination to 10:mydomainname rather than 10:mail.mydomainname.|Vyberte položku MX pro vaši hlavní doménu a změňte cíl na 10: mydomainname namísto 10: mail.mydomainname.
Enter your FreeDNS login details and the authentication token on the Dynamic DNS screen of the LibreServer user interface.|Zadejte své přihlašovací údaje FreeDNS a token ověřování na obrazovce Dynamic DNS uživatelského rozhraní LibreServer.
To make a playlist insert a USB drive containing audio files in a directory called playlist, add a description below and then select Update|Chcete-li vytvořit playlist vložte jednotku USB obsahující zvukové soubory do adresáře nazvaného playlist, přidejte níže uvedený popis a pak vyberte Aktualizovat
To add music copy it to a directory called Music on a USB drive then plug it into your server and select Update|Chcete-li přidat hudbu, zkopírujte jej do adresáře s názvem Hudba na jednotce USB a poté ji připojte k serveru a vyberte Aktualizovat
This is a wiki which stores its content in text files. Having no database makes maintaining it simpler, and it's not tied to any particular domain name so you can easily copy the files to a different domain if you need to.| Jedná se o wiki, která ukládá svůj obsah do textových souborů. Nemáte-li žádnou databázi, je to jednodušší a není to vázáno na konkrétní název domény, takže můžete snadno zkopírovat soubory do jiné domény, pokud potřebujete.
Provides an easy and private way to sync calendar and contacts between devices.|Poskytuje snadný a soukromý způsob synchronizace kalendáře a kontaktů mezi zařízeními.
Using on mobile|Používání v mobilu
The user interface is a little misleading. Make sure that you log in with your username, not your email addres.|Uživatelské rozhraní je trochu zavádějící. Ujistěte se, že se přihlašujete pomocí uživatelského jména, nikoliv vašeho e-mailu.
Also choose the advanced option and enter the subdomain that you installed etesync on.| Vyberte také rozšířenou možnost a zadejte subdoménu, na kterou jste nainstalovali etesync.
This is a well known system for real time collaborative editing of documents. Just log in, choose a document title and then edit. Different users will appear in different colours, and can also chat in the sidebar. This is installed as a private system in which only users on your LibreServer server will be able to create and edit documents, so it's not open to any random users on the internet.|Jedná se o dobře známý systém pro spolupráci dokumentů v reálném čase. Stačí se přihlásit, vybrat název dokumentu a pak upravit. Různí uživatelé se budou zobrazovat v různých barvách a mohou také chatovat v postranním panelu. Toto je nainstalováno jako soukromý systém, ve kterém mohou uživatelé na vašem serveru LibreServer vytvářet a upravovat dokumenty, takže nejsou přístupné všem náhodným uživatelům na internetu.
This is a federated social networking system. It can federate with other popular fediverse systems.|Jedná se o federovaný systém sociálních sítí. To může federovat s jinými populárními systémy fediverse.
This is a blogging system which has no database and only uses text files for storage.|Jedná se o blogovací systém, který nemá databázi a používá pouze textové soubory pro ukládání.
This is a git hosting system. It's very similar to Github in appearance and use, is lightweight and so is well suited for use on low power ARM servers.|Jedná se o git hostingový systém. Je velmi podobný Githubu ve vzhledu a použití, je lehký a je vhodný pro použití na serverech ARM s nízkou spotřebou energie.
This is a web publishing and social network system which includes wiki, web pages, photo albums and file storage. It also has nomadic identity allowing you to easily move your account between different servers and privacy controls which allow you to define who can see what content.| Jedná se o publikační systém a systém sociálních sítí, který obsahuje wiki, webové stránky, fotoalba a ukládání souborů. Má také kočovnou identitu, která vám umožní snadno přesunout váš účet mezi různými servery a prvky ochrany osobních údajů, které vám umožňují definovat, kdo může vidět, jaký obsah.
Kanbans are one way of managing projects. They're traditionally used in businesses but can also be useful for personal TODO lists or within open source or DIY projects. If you have a list of things which need to be done and want to keep track of progress then this provides a way to do that.|Kanbany jsou jedním ze způsobů řízení projektů. Tradičně se používají v podnikání, ale mohou být také užitečné pro osobní seznamy TODO nebo pro open source nebo DIY projekty. Pokud máte seznam věcí, které je třeba udělat a chcete sledovat pokrok, pak to nabízí způsob, jak to udělat.
The default login is username "admin" and the login password which you usually use for the web interface.|Výchozí přihlašovací jméno je uživatelské jméno "admin" a přihlašovací heslo, které obvykle používáte pro webové rozhraní.
If you're using a Tor browser then you may need to allow javascript for the site by selecting the NoScript icon.|Pokud používáte prohlížeč Tor, bude pravděpodobně nutné povolit javascript pro daný web výběrem ikony NoScript.
Extra users can be added from the drop down menu at the top right of the screen, under "Users management".| Další uživatelé mohou být přidáni z rozbalovací nabídky v pravém horním rohu obrazovky v části "Správa uživatelů".
This enables you to store your music on the LibreServer server and then access it from any internet connected device.|Umožňuje vám ukládat hudbu na server LibreServer a pak ji získat z libovolného zařízení připojeného k internetu.
This is a simple and lightweight photo album for the web. Whether you're an amateur or professional photographer, or want to publish random holiday pics or cat pictures. Lychee just does what it says it does without any fuss.|Jedná se o jednoduché a lehké fotoalbum pro web. Ať už jste amatérský nebo profesionální fotograf, nebo chcete zveřejnit náhodné fotografie dovolené nebo kočky. Lychee jen dělá to, co říká, že to dělá bez jakéhokoli rozruchu.
This provides an webmail interface suitable for use on desktop or mobile clients and with built in support for encryption.| To poskytuje rozhraní pro webmail, které je vhodné pro použití na klientských počítačích nebo mobilních klientech, a s vestavěnou podporou šifrování.
This is a system for file synchronisation and also has many other plugins for calendar, videoconferencing, collaborative document editing and federated file sharing.|Jedná se o systém pro synchronizaci souborů a má také mnoho dalších pluginů pro kalendář, videokonference, společnou úpravu dokumentů a federované sdílení souborů.
This is a video hosting system which uses webtorrent to help distribute the files to or between clients.|Jedná se o video hostingový systém, který používá webtorrent k distribuci souborů mezi klienty.
Use the username 'root' and your usual password to log in as the administrator. You can then change settings as needed.|Použijte uživatelské jméno "root" a vaše obvyklé heslo pro přihlášení jako správce. Poté můžete změnit nastavení podle potřeby.
This is an OStatus and ActivityPub compatible social networking server which federates with other fediverse systems. It is high-performance and so is especially well suited for running on low power single board computers without much RAM.|Jedná se o server OStatus a ActivityPub kompatibilní se sociální sítí, který federuje s jinými systémy fediverse. Je vysoce výkonný a je zvlášť vhodný pro běh na nízkonapěťových počítačích s jednou deskou bez velké paměti RAM.
Since Pleroma supports the same protocols, any Mastodon client for Android should work with it.|Vzhledem k tomu, že aplikace Pleroma podporuje stejné protokoly, měl by s ní pracovat každý klient Mastodon pro Android.
This is a fork of GNU Social which includes some extra fixes and optimisations to improve performance. It federates with other fediverse servers, such as Pleroma or Mastodon.|Jedná se o vidlici GNU Social, která obsahuje některé opravy a optimalizace pro zlepšení výkonu. To federuje s jinými servery fediverse, jako je Pleroma nebo Mastodon.
This is an encrypted pastebin, such that the server has zero knowledge of the content. It's intended for small amounts of text less than 32K in length. It's not intended for transfering large files, or for storing pastes for more than a day.|Toto je šifrovaný pastebin, takže server má nulovou znalost obsahu. Je určen pro menší množství textu s délkou menší než 32 kB. Není určen k přenosu velkých souborů nebo k uložení pasty déle než jeden den.
This is a web based user interface to the Matrix federated chat system. You will need to have already installed the Matrix app for this to work.|Jedná se o uživatelské rozhraní založené na webu na federálním chatovém systému Matrix. Musíte mít již nainstalovanou aplikaci Matrix, aby fungovalo.
This is yet another chat system, but the server part of it isn't federated and so it's suitable for small private groups rather than for general public discussions.|Jedná se o další chatovací systém, ale jeho serverová část není federovaná, a proto je vhodná spíše pro malé soukromé skupiny než pro veřejné diskuse.
Provides a similar capability to proprietary systems such as Dropbox, and also is well suited for use with low power single board computers. You can have one or more directories which are synchronized across your various laptops/desktops/devices, and this makes it hard for you to ever lose important files. Of course, you don't necessarily need to be running a server in order to use Syncthing, but if you do have a server which is always running then there's always at least one place to synchronize your files to or from.|Poskytuje podobnou schopnost jako proprietární systémy, jako je Dropbox, a je také vhodný pro použití s ​​nízkopříkonovými jednopáskovými počítači. Můžete mít jeden nebo více adresářů, které jsou synchronizovány mezi vašimi různými notebooky / desktopy / zařízeními, což vám znesnadňuje ztrátu důležitých souborů. Samozřejmě, nemusíte nutně používat server, abyste mohli používat Synchronizaci, ale pokud máte server, který je vždy spuštěn, vždy existuje alespoň jedno místo pro synchronizaci souborů z nebo do.
On a Debian based system:|V systému založeném na Debianu:
Or on Android search for the Syncthing app.|Nebo ve Vyhledávání Android pro aplikaci Sync.
Using the settings button within the LibreServer web interface for the Syncthing app you can then paste in any IDs for other devices. They will then sync with your server.|Pomocí tlačítka nastavení v rámci webového rozhraní LibreServer pro aplikaci Sync můžete vložit libovolné ID pro ostatní zařízení. Potom se synchronizují se serverem.
A system for privately creating and sharing notes and images, similar to Evernote. It can be set up so that a small number of users on the server can share their notes in a convenient way. It doesn't have any web user interface, and you need to install native clients on mobile or laptop/desktop machines.|Systém pro soukromé vytváření a sdílení poznámek a obrázků, podobně jako Evernote. Může být nastaven tak, aby malý počet uživatelů na serveru mohl pohodlně sdílet své poznámky. Nemá žádné webové uživatelské rozhraní a je třeba nainstalovat nativní klienty na mobilních nebo přenosných počítačích.
Since the data at rest is stored in PGP encrypted format this is a good system to use in cases where security really is a critical factor.|Vzhledem k tomu, že data v klidu jsou uložena v šifrovaném formátu PGP, je to dobrý systém, který se používá v případech, kdy je bezpečnost skutečně kritickým faktorem.
Go to https://turtlapp.com/download and you'll then be able to download the appropriate app for your laptop or phone.|Přejděte na stránku https://turtlapp.com/download a poté budete moci stáhnout příslušnou aplikaci pro svůj laptop nebo telefon.
Run the downloaded native app then at the bottom of the screen select "advanced settings" and enter your turl domain name, then register a new account. The password can be anything you choose, but since the client side encryption depends upon having a good password make it a long random string generated by a password manager such as KeepassX.|Spusťte staženou nativní aplikaci a potom v dolní části obrazovky vyberte "rozšířená nastavení" a zadejte svůj název domény turl a zaregistrujte nový účet. Heslo může být vše, co si vyberete, ale protože šifrování na straně klienta závisí na tom, že má dobré heslo, udělá to dlouhý náhodný řetězec vygenerovaný správcem hesel, například KeepassX.
You should then be able to log in and start using the app. You might also want to invite any other users of your LibreServer system to also sign up using the turtl domain name which you specified during installation.|Potom byste se měli přihlásit a začít používat aplikaci. Můžete také pozvat další uživatele systému LibreServer, aby se také zaregistrovali pomocí názvu domény turtl, který jste zadali při instalaci.
Disabling new registrations|Zakázání nových registrací
Once you have set up the server with however many users are needed you can then disable any new registrations by selecting Turtl on the LibreServer web interface and going to the settings screen.|Jakmile budete mít server nastaven tak, aby bylo zapotřebí mnoho uživatelů, pak můžete zakázat všechny nové registrace tím, že vyberete Turtl na webovém rozhraní LibreServer a přejdete na obrazovku nastavení.
This is similar to Hubzilla but with a reduced range of features concentrating exclusively upon social networking with the latest version of the Zot protocol. Nomadic identity is supported, so to can export your channels and import them on other servers if necessary, without losing followers.|Toto je podobné jako Hubzilla, ale s omezeným rozsahem funkcí, které se soustředí výlučně na sociální sítě s nejnovější verzí protokolu Zot. Nomadická identita je podporována, takže můžete exportovat kanály a importovat je na jiných serverech, pokud to bude nutné, aniž byste museli ztrácet následovníky.
The first account you register will be the administrator user, and from there you can go to the admin settings and disable new registrations if needed.|Prvým účtem, který zaregistrujete, bude uživatel správce a odtud můžete přejít na nastavení administrátora a v případě potřeby zakázat nové registrace.
To find other users to follow select "directory" from the drop down menu at the top right of the screen and set "this site only" to "no".|Chcete-li najít další uživatele, kteří budou následovat vybrat "adresář" z rozbalovací nabídky v pravém horním rohu obrazovky a nastavte "pouze tento web" na "ne".
There is an Android app available called Nomad.|K dispozici je aplikace pro Android s názvem Nomad.
End-to-end encrypted sync of calendar and contacts between devices|Konečná a šifrovaná synchronizace kalendáře a kontaktů mezi zařízeními
Secure, end-to-end encrypted and journaled personal information cloud synchronization for Android and the desktop, supporting contacts and calendars|Zabezpečená, synchronizovaná cloudová synchronizace osobních informací se zakončenou koncovou synchronizací pro Android a pracovní plochu, podpora kontaktů a kalendářů
Nomadic social network server|Nomadický server sociální sítě
Change background|Změnit pozadí
Diagnostics|Diagnostika
Please wait while your app is installing|Počkejte prosím, než aplikace nainstaluje
The app could not be installed|Aplikaci nelze nainstalovat
Add a new member|Přidejte nového člena
Kanban focussed on simplicity and minimalism|Kanban se soustředil na jednoduchost a minimalismus
Emails, chat or social network posts will be blocked if they contain the following words or phrases|Emaily, příspěvky v chatu nebo sociální sítě budou blokovány, pokud budou obsahovat následující slova nebo fráze
Muted words|Zmatená slova
Disk space is getting too low. Installation stopped.|Místo na disku je příliš nízké. Instalace byla zastavena.
Password changed|heslo změněno
Play media from any UPNP/DLNA device on your local network|Přehrávejte média z libovolného zařízení UPNP / DLNA v místní síti
This allows you to play media on any DLNA supporting device within your local network.|Umožňuje vám přehrávat média na libovolném podporovacím zařízení DLNA v místní síti.
No Access Control|Bez řízení přístupu
DLNA doesn't have any access controls, so keep in mind that anyone with a mobile device or laptop within your local network is potentially able to play any media on the server. Hence this may not be suitable for situations where you want parental control over what media can be accessed.|DLNA nemá žádné ovládací prvky pro přístup, takže mějte na paměti, že někdo s mobilním zařízením nebo notebookem v místní síti může potenciálně hrát libovolné médium na serveru. Proto to nemusí být vhodné pro situace, kdy chcete rodičovskou kontrolu nad jakým médiím máte přístup.
Adding Media|Přidávání médií
You can add media by selecting the settings button from the DLNA app.|Médium můžete přidat výběrem tlačítka nastavení z aplikace DLNA.
Your homepage can also be accessed with a Tor browser on:|Na domovskou stránku lze také přistupovat pomocí prohlížeče Tor na adrese:
Chat|Chat
Media|Média
Social|Sociální.
Sync|Synchronizace
Publishing|Vydavatelství
Other|Ostatní
Recommended Firefox Add-ons:|Doporučené doplňky pro Firefox:
Change your default domain name|Změňte výchozí název domény
Do you want to change your default domain name to:|Chcete změnit výchozí název domény na:
rsync failed|rsync se nezdařilo
For most purposes Syncthing is an easier file synchronization system, but rsync is still a reliable solution if you prefer to do things the more traditional way or if you just want to create a mirror from an existing rsync server.|Syntaxe je pro většinu účelů snazší systém pro synchronizaci souborů, ale rsync je stále spolehlivým řešením, pokud dáváte přednost dělat věci tradičním způsobem nebo pokud chcete vytvořit pouze zrcadlo ze stávajícího serveru rsync.
Rsync is unencrypted but can be used via an onion address for transport security. If you are using it via your domain name then third parties will be able to see the content, but this may not matter if you are synchronizing already public files, such as GNU/Linux distro downloads.|Rsync je nešifrovaná, ale může být použita přes adresu cibule pro bezpečnost dopravy. Používáte-li je prostřednictvím vašeho doménového jména, pak třetí strany budou moci zobrazit obsah, ale to nemusí být jedno, pokud synchronizujete již veřejné soubory, jako jsou stahování distribuce GNU / Linux.
Avoid using this for private data, unless you are exclusively using rsync via the onion address.|Nepoužívejte toto pro soukromá data, pokud nevyužíváte výhradně rsync přes adresu cibule.
Creating a Mirror|Vytvoření zrcadla
Select the Settings button then enter the domain and module name for the mirror. From then on synchronization will happen once per day.|Zvolte tlačítko Nastavení a zadejte název domény a modulu pro zrcadlo. Od této chvíle se synchronizace stává jednou za den.
Local Sync|Místní synchronizace
If you created a mirror to your server you can then sync those files to other machines or devices on your local network as follows:|Pokud jste vytvořili zrcadlo na serveru, můžete tyto soubory synchronizovat s jinými počítači nebo zařízeními v místní síti takto:
If "libreserver" doesn't work then you can substitute the local IP address of your server.|Pokud "libreserver" nefunguje, můžete nahradit místní adresu IP vašeho serveru.
Create a mirror of public files|Vytvořte zrcadlo veřejných souborů
The domain name could not be changed|Název domény nemohl být změněn
This might be because you do not have ports 80 and 443 forwarded to the server.|Může to být proto, že nemáte porty 80 a 443 přesměrovány na server.
Check the port forwarding settings on your internet router.|Zkontrolujte nastavení přesměrování portů na internetovém směrovači.
Please specify a domain name which will be used for your email or XMPP address.|Zadejte název domény, který bude použit pro vaši e-mailovou adresu nebo adresu XMPP.
Please forward the following ports from your internet router:|Posílejte následující porty z internetového směrovače:
Search for 'Barcode Scanner', then select 'install'|Hledejte 'Barcode Scanner' a pak vyberte 'install'
Download the DarkMessenger apk file via the link below, preferably using a Tor based browser, then install it|Stáhněte soubor Apk DarkMessenger pomocí níže uvedeného odkazu, nejlépe pomocí prohlížeče založeného na Tor, a poté jej nainstalujte
Run DarkMessenger and the initial account setup will be shown. DarkMessenger only allows onion addresses to be used to create accounts|Spusťte program DarkMessenger a zobrazí se počáteční nastavení účtu. Aplikace DarkMessenger umožňuje pouze použití cibulových adres k vytváření účtů
You can obtain your onion XMPP address from the Members section within the web interface, usually at http://libreserver/admin or http://libreserver.local/admin. If you can't easily copy and paste it into the account setup within DarkMessenger then you can use the barcode scanner on the QRcode displayed|Adresa XMPP cembule můžete získat v sekci Členové v rámci webového rozhraní, obvykle na adrese http: // libreserver / admin nebo http: //libreserver.local/admin. Pokud jej nemůžete snadno kopírovat a vložit do nastavení účtu v rámci aplikace DarkMessenger, můžete pomocí QRCode použít snímač čárového kódu
Enter the password which you stored during initial setup of the system and also the onion domain|Zadejte heslo, které jste uložili během počátečního nastavení systému, a také doménu cibule
You should now be able to connect to your onion XMPP account and set an avatar image if necessary|Nyní byste se měli připojit k účtu XMPP na cibuli a v případě potřeby nastavit avatarový obrázek
When sending or receiving pictures or other attachments for the first time you will need to accept the self-signed certificates. Select 'always' twice. This should only happen once per contact|Při prvním odeslání nebo příjmu obrázků nebo jiných příloh budete muset přijmout certifikáty s vlastním podpisem. Dvakrát vyberte "vždy". To by se mělo stát pouze jednou na jeden kontakt
Under Settings/Expert you may want to change the automatic message deletion period. By default this is one day|V části Nastavení / Expert můžete změnit dobu automatického mazání zpráv. Ve výchozím nastavení je to jeden den
When setting up a group chat first ensure that you have separately confirmed two way messaging with each of the participants individually|Při nastavování skupinového rozhovoru se nejprve ujistěte, že jste samostatně potvrdili dva způsoby zasílání zpráv s každým z účastníků individuálně
Enable strict TLS authentication between XMPP servers?|Povolit přísné ověřování TLS mezi servery XMPP?
If you or other people are having difficulty joining multi-user chat then enabling this might help|Pokud vy nebo ostatní lidé máte potíže s připojením do víceúčelového chatu, pak by to mohlo pomoci
Music can be uploaded using Nextcloud. Install the app and then create a directory called 'Music'.|Hudbu lze nahrát pomocí nástroje Nextcloud. Nainstalujte aplikaci a vytvořte adresář nazvaný "Hudba".
Drag your files into the Music directory and they will then become available to mpd.|Přetáhněte soubory do adresáře Hudba a pak budou dostupné MPD.
Select search (magnifying glass icon) and search for 'MALP', then select 'install'|Zvolte vyhledávání (ikona lupy) a vyhledejte položku 'MALP' a vyberte možnost 'install'
Open MALP and from the settings select Profiles|Otevřete MALP a z nastavení vyberte Profily
Enter the following settings:|Zadejte následující nastavení:
Save the settings by selecting the disk icon at the top right of the screen|Uložte nastavení výběrem ikony disku v pravém horním rohu obrazovky
You should now be able to connect to mpd on your server and select and play albums.|Nyní byste se měli připojit k serveru mpd a vybrat a přehrávat alba.
In a non-Tor browser navigate to http://libreserver:8250 or http://[server local IP address]:8250 and you should be able to play the selected album.|V prohlížeči, který nepracuje, se podívejte na http: // libreserver: 8250 nebo http: // [server local IP address]: 8250 a měli byste mít možnost přehrát vybrané album.
Setting up on the desktop|Nastavení na ploše
Install Sonata|Instalujte Sonata
Run Sonata and enter the following settings:|Spusťte Sonatu a zadejte následující nastavení:
You should now be able to see your albums listed and be able to add them to the currently playing list.|Nyní byste měli mít možnost zobrazit vaše alba a přidat je do aktuálně přehrávaného seznamu.
In a non-Tor browser navigate to http://libreserver:8250 or http://[server local IP address]:8250 and you should be able to play the selected album.|V prohlížeči, který nepracuje, se podívejte na http: // libreserver: 8250 nebo http: // [server local IP address]: 8250 a měli byste mít možnost přehrát vybrané album.
Select your music file format:|Vyberte formát hudebního souboru:
pixelfed allow new registrations|pixelfed umožňují nové registrace
Groceries and household management|Potraviny a správa domácností
Organization|Organizace
VPN domain or IP address:|Doména nebo adresa IP VPN:
VPN public key:|Veřejný klíč VPN:
Public key for this server:|Veřejný klíč pro tento server:
Public keys for the laptops or devices that you wish to be able to use this server to connect to the internet.|Veřejné klíče pro notebooky nebo zařízení, které chcete používat pro připojení k internetu.
Network|Síť
Set your coordinates on the map|Nastavte své souřadnice na mapě
Longitude:|Zeměpisná délka:
Latitude:|Zeměpisná šířka:
Join|Připojit
Docs|Dokumenty
Community network map is being generated|Generuje se mapa sítě Společenství
Please wait|Prosím, čekejte
IP address (optional):|Adresa IP (volitelné):
Export|Vývozní
Add a new community network node|Přidat nový síťový uzel komunity
Remove a community network node|Odebrat uzel síťové komunity
WARNING: Only change this if you know what you are doing. Selecting the wrong mesh protocol may make your server disappear from the network, and be difficult to recover|VAROVÁNÍ: Změňte pouze v případě, že víte, co děláte. Výběr chybného protokolu sítě může způsobit, že server zmizí ze sítě a bude obtížné jej obnovit
WARNING: Only change this if you know what you are doing. Setting an incorrect IP address or gateway may cause your server to become inaccessible, and may be difficult to recover|VAROVÁNÍ: Změňte pouze v případě, že víte, co děláte. Nastavení nesprávné adresy IP nebo brány může způsobit, že se server stane nedostupným, a může být obtížné jej obnovit
Choose your network:|Vyberte síť:
Language is being changed|Jazyk se mění
Community Network|Komunitní síť
Theme is being changed|Téma se mění
Install a new app|Nainstalujte novou aplikaci
Restore APPNAME from backup?|Obnovit APPNAME ze zálohy?
Add or remove feeds|Přidání nebo odebrání kanálů
Enter an RSS feed URL to add or remove. The domain name is enough for removals.|Zadejte adresu URL kanálu RSS, který chcete přidat nebo odebrat. Název domény stačí pro odstranění.
Show onion address|Zobrazit adresu cibule
Multi User Dungeon from the era of Welsh mainframe computing|Multi User Dungeon z éry velšského mainframového počítače
Forward the UDP port 5100 from your internet router|Přesměrujte port UDP 5100 z internetového směrovače
